quipetitseme petitq uialt	--|----|---|----|-⌫----|
etmot ne di s trent	-|--|-|--⌫-⌫----|
et uir e ntcel ui qui ses ist	-|---⌫-⌫-|---⌫-|--|-|-⌫--|
delez lordameetm ot	----|--|---|-|-⌫-|
porc edepa r lerse tenoit	--|-⌫|-|--⌫-⌫--|-|-----|
chastilisouenoit	-----|-|-------|
que li pr od omliauoit fet	--|-|--⌫--⌫-|-|----|--|
sant enoientantr axgran t	|-|-⌫------|---|-|----⌫|
t uitlic heualieracons oil	-⌫--|-|-⌫-------||----⌫--|
dexfet chascunsmoutmeme ruo il	--|--|-------|---|-|--⌫---⌫-|
se cilcheualiersestmuiax	-|--|---------|--|----|
g ran zdiaxs eroitconquessibiax	-⌫---⌫|---|-⌫----||-----|-|---|
cheualiers nefunezdefame	---------|-|-|--|-|---|
mo utaui ent	--⌫-|---⌫--|
b i endelezma	-⌫-⌫-|----|-|
silne fusse ntmuelandui	|-|-|-----⌫-|---|----|
ta n test cil biaxetceleb ele	--⌫-⌫|--|--|---|-|---|-⌫--|
conques cheuali er s nepucele	|-----|-------⌫--⌫|-|-----|
s i biennauindrent me sansanble	-⌫|---||--------|--⌫|-------|
q uedelun etde	-⌫-|-||-|-|-|
lau tre san ble	|--⌫--|---⌫--|
quedexlunpor	--|--||-|--|
lautrefeist	|----|----|
porcequ ansanblel esmeist	--|-|-|-------|-⌫-|----|
ett ui tcil qui lea nz es t o ient	-|-⌫--⌫|--|--|---⌫-|--⌫-⌫-⌫---|
antrax grant	---|-|----|
parole an fe isoient	-----|-|--⌫------|
dameiseleatand oit	--------|-----⌫--|
l ap arlastdequequesoit	|--⌫-----|-|-----|---|
t antqueleuit tres bienetso t	-⌫----|--|--|---|---|-|--⌫|
queil ne lidiroitia mot	--|-|-|-|-----|-|--|
sele n e lar e snoitauant	|--|-⌫||--⌫-⌫----|----|
e tdi st m ou td ebon eremen t	-⌫|--⌫-|-⌫--⌫|-⌫----⌫------⌫|
uenistesuoshui	-------|--|--|
dameiselefet i li eiui	--------|--|-⌫|-⌫|--|
chiesun pro dome anun chastel	----|-|---⌫---|-|-|------|
ouioiosteletbon et	-||-|----|-|--|-|
y y torzforz eteslites	-⌫|---|---|-|------|
unegrantet yype tit es	--|----|-|-|--⌫---⌫-|
ne saito telue ureasomer	-|--|--⌫-||--⌫--|-----|
nelechastel ne	-|-|------|-|
mes iesa ibienqueli	--|-|--⌫|---|--|-|
gornem an zde	------⌫--⌫|-|
gohorza non	-----||--|
habiaxami s fet lapu cele	-|---|---⌫|--|-|--⌫---|
mout estuostreparolebele	---|--|-----|-----|---|
etmout auez dit que cortois	-|---|---|--|--|------|
greuosan s ache dexlirois	--|--|-|-⌫---|--|-|---|
qantuo s prod o melape lastes	---|--⌫|----⌫-⌫-||---⌫-----|
o n que splusuoirmotneparlastes	-⌫-⌫---⌫|---|---|--|-|--------|
qu ile stprodom	-|-|-⌫-|-----|
icepuisie bienafichi er	--|---|-|---|------⌫-|
e tsachiez que	-⌫|------|--|
iesui s aniece	-|--|-⌫|----|
luimoutagrantpiece	|-|---||----|----|
etcer tespu is queuosm eustes	-|---⌫--|--⌫--⌫--|--|-⌫-----|
de uostreo steln e queneustes	-|-----|-⌫---|-⌫|---------|
plusprodomemien	---|------|---|
moutlieost elet m outioia nt	---|--|---⌫-|-|-⌫--|----⌫-|
u osfistqueillesot	-⌫-|---|--|-|-|--|
bien feire	---|----|
come p rodo m etdebon eire	---|-⌫----⌫|-|-----⌫---|
puissanzet	-------|-|
aeisiez et ric he s	------|-|---⌫--⌫|
mesceanz namesqueyy miches	--|----|||-----|-|-----|
cun s mien sonc l es quie stprieus	|--⌫|----⌫|---⌫-⌫-|--|-⌫-|-----|
mout sainzho m	---|----|--⌫|
etreli g ie us	-|----⌫-⌫--⌫-|
manueaporsoper e n uit	|----|--|----|-⌫-⌫--|
et unboce lplaindeuin	-|-|----⌫|----|-|--|
deuitaillenapl us ce an z	-|-------|||--⌫-|--⌫--⌫|
forsuncheurel	---|-|------|
c uns mie ns sergenz	|--|---⌫-|------|
o c i sthui maind une saiete	-⌫-⌫-⌫-|--|---||--|-----|
atantcom ande qu e lanme te	----|---⌫---|--⌫|--|--⌫-|
lestable set elessontmises	--|-----⌫|-|---|---|----|
etlesg e nz au soperasis es	-|--|-⌫-⌫-|-|----|----⌫-|
aumangier ontmoutpetit sis	-|------|--|---|----|--|
moutgrantta lant lont pris	---|----|--⌫---||--|---|
apresmang iersedepartirent	----|----⌫--|-|----------|
cilr eme st re ntqui	--|-⌫---⌫--⌫--⌫-|--|
sedormir ent	-|------⌫--|
quil au tr enuitu ei lli é auoient	--||--⌫--⌫|---|-⌫--⌫---⌫-|------|
iss irentqui	---⌫----|--|
l anuitparlechastelueillier	-⌫|---|--|-|------|-------|
se rgentfurentet e scuier	--⌫----|-----|-|-⌫-----|
yy quil anuit	-|--|-⌫|---|
ueillie re nt	-------⌫--⌫-|
l iautremout setraueilliere nt	-⌫|----|---|-|------------⌫-|
delorost ebienaeisi er	-|--|---⌫|---|-----⌫-|
biax drasetcouertorm outchi er	---|---|-|-------|-⌫--|---⌫-|
et orellierauchiefl i	-|-------|-|----|-⌫|
cilquidelcouchiersant remeste n t	--|--|--|-------||---⌫-------⌫-⌫|
tre stotleisee ttotle deli t	---⌫---||---|-⌫|--|-|----⌫|
qu an saustde uis eranlit	-|-|----|--⌫---⌫-|-|--|
ot li cheualier sce le	-|-|---------⌫|--⌫-|
fors que solemen t	----⌫--|-------⌫|
dep u celese lu i pleust	-|-⌫-⌫---|-|--⌫|-----|
oudedamese li leust	-|-|---|-|-|----|
mesil n ansauoitn ule rien	--|-||-|-----|-⌫--|---|
etpor ceuosd ige	-|--|-|--|-⌫|-|
s and ormi auques	|---⌫---|-----|
qu i l nestoitderie nanespans	-|-⌫||-----|-|---⌫|-|-----|
ostessepa sn ere po se	------|--⌫|-⌫|--⌫--⌫-|
quiestoitansachanbre	--|-----|-|-|------|
cild ortaeiseet	--|-⌫--||---|-|
quinaanlinuledesfanse	--|||-|-|---|-------|
d u nebataillequilasa ut	|-⌫-|-------|--||---⌫-|
mo ut setr e storneet mo ut	--⌫-|-|--⌫-⌫-----|-|--⌫-|
mout sedeg iete	---|-|---⌫---|
etsedemainne	-|-|-------|
unmant elcortdesoie	-|----⌫-|---|-|---|
an grainne	-|------|
aafublésor	|------|--|
si s estenauanturem ise	-||--|-|-------|-⌫--|
comehardi ee t	---|-----⌫|-⌫|
c orageuse	-⌫-------|
mes cene stmieporo ise use	--|-||-⌫-|--|--|-⌫---⌫--|
einzsep ansequeele ira	---|-|-⌫---|--|--|--|
ason osteet	|--|---|-|
lorss e stdesonlitdepartie	---||-⌫-|-|--|--|-------|
et issue f orsdesachanbre	-|----|-⌫--|-|-|------|
peorque tuit li man bre	---|--|---|-|---⌫--|
lit r anblent etli	-|-⌫-⌫------|-|-|
corsli sue	---|-|--|
plo rantestdela	---⌫---|--|-|-|
chan breissue	----⌫--|----|
et uienta ul itou ci l se dort	-|----|-⌫|-⌫-|-|--⌫|-|---|
et plor eetsopi remout	-|----⌫|-|----⌫-|---|
sisaclineetsis agenoille	-||-----|-|-||--------|
p loretant queelelimoille	-⌫---|----⌫--|--|-|-----|
dese slermesto telafa ce	-|--⌫|-----|--⌫-|-|--⌫-|
nahardeme ntqueplus liface	||-------⌫-|--|---|-|---|
t ant aploréquecilsesuoill e	-⌫--||-----|--|--||-------⌫|
s ises baistto z etmeruoille	-⌫||--⌫----|--⌫|-|--------|
desafacequilsen tmoilliee	-|-|---|-|-|---⌫|-------|
etuoitceli age noilliee	-|---|---|---⌫-------|
deuantsonlitquilet enoit	-----|--|--|--|-|-⌫----|
parlec olanbracié	--|-|-⌫-|--------|
ettantdecorteisi efi s t	-|---|-|--------⌫|--⌫-⌫|
ses br az la re p rist	--|--⌫-|-|--⌫-⌫---|
mainte nantet	------⌫---|-|
uersluila trest	---|--|-|----|
silidist bele	-|-|---|---|
queu os ples	--|-⌫-|---|
iestesuosuenue ci	-----|--|----|-|
ha gentixche ualiers	-|-----|---⌫------|
pordeuuosprietporson	--|--|--|--|-|--|--|
queuosn e m	--|--|-⌫||
decequeiesuici u enue	-|-|--|-|--|-|-⌫---|
porceque ie suipresquenue	--|-|--|-|--|------|--|
n ip anssaigeonquesfolie	||-⌫-----|-|-----|----|
nemaluestien e	-|--------|-⌫|
qu iln aelmo nderienq uiuiue	-|-|||-|--⌫--|---|-⌫-|---|
ta nt dolantene	--⌫-|------|-|
tantch eitiue	---|--⌫-----|
qu eienesoieplusdolante	--⌫|-|-|---|---|------|
rienqueiaienematalant e	---|--||--|-||-------⌫|
conquesnuli or	|-----|--|-⌫-|
sanz malnefui	---|--|-|--|
ens imale u reesui	---⌫|----⌫-⌫--|--|
queieneuerraii ames	--|-|-|-----|-⌫---|
que solemantcestid annuit	--|-------|----||-----|
neio r quecelui	-|--⌫|--|----|
encoismocirrai de ma	-----||------|-|-|
deyycheualiersetdis	-|-|---------|-|--|
d oncistchastia x estoi tga rni s	-⌫-|---|-------⌫|-----⌫|--⌫---⌫|
naceanzremesquec inq uant e	||----|----|--|-⌫---⌫----⌫|
dismoinsdeseissante	--|----|-|--------|
