moutparfugente c reature	---|--|-|----|-⌫------|
cild erommepareuls recoeurent	--|-⌫|----|--|---|---------|
licompaignon forment seproeuent	-|---------|------|-|-------|
quilfontmont erlempereour	-|-|---|----⌫-||--------|
maisaurescourre	---|-|--------|
ot grantest our	-|----|---⌫--|
mortiot un	---||-|-|
estoi tcortoisetprous	-----⌫|------|-|----|
sectorsoten l	-----||-|-||
estour sonfre r e	-----|--|---⌫-⌫|
quifistgrantduel	--|---|----|---|
e t lempere r e	-⌫||------⌫-⌫|
g r antd ueldema ine pour sector	-⌫-⌫--|-⌫--|----⌫--|---|-----|
o nques atr oi ep ou r hector	-⌫----||--⌫--⌫|-⌫--⌫|-----|
nemen erent	-|---⌫----|
f ranc homme	-⌫---|----|
conpo r sectormainent	--|--⌫|-----|------|
laueissiésestou r	-|--------|-----⌫|
m outgrant	-⌫--|----|
tren chier tanthiaumeluisant	----⌫----|---|-----|------|
bienlefi rentl icompai g non	---|-|--⌫---|-⌫|------⌫-⌫--|
l e roigarir ent de pris on	-⌫|--|-----⌫--|-|----⌫-|
athis i asoffertgrantpaine	----|||------|----|----|
m outsou uentic rioitath aine	-⌫--|---⌫---||-⌫----|---⌫---|
bataille uaita this	-------|---|-⌫---|
etmout gr ieu es esanemis	-|---|--⌫---⌫|-⌫-|-----|
proceliasetcilderomme	--------|-|--|-|----|
celiorocismain t homme	--|--|---|----⌫|----|
auroifrolon font grant	-|--|-----|---|----|
dom m a ge	---⌫-⌫-⌫-|
fera n tle	----⌫-⌫|-|
main entauriuage	----⌫--|-|-----|
nelporent plus	-||-----|---|
l ilorsoffrir	-⌫|--|------|
est uetoumorir	---⌫--|-|----|
parforceles m ainentasnes	--|----|--|-⌫-----|-|--|
touslorfire ntguerpirles tres	---|--|----⌫-|------|--|---|
entr e rifontgrant	----⌫-⌫||---|----|
lagen tderommelesdeserte	-|---⌫|-|----|--|------|
mout iperdir ent	---||------⌫--|
el darrain	-|------|
mout en ocient liro mmain	---|-|-----|-|--⌫----|
assesen ore nt retenu	----|-|---⌫-|-----|
cildegipt e	--||-----⌫|
iont moutperd u	|--|---|----⌫|
desmor sestla terresanglen te	--|---⌫|--|-|----|-------⌫-|
maintpaue illon etmaintetente	----|----⌫----|-|-----|----|
et mai ntetarg ea o r	-|---⌫--|----⌫||-⌫|
iueis s iés floter so rlonde	|----⌫-⌫---|-----|--⌫||---|
quantc ilfurentdes aancré	----|-⌫-|-----|---⌫------|
etilfu rentesnesentré	-|-|--⌫---|-|--|-----|
drecentloruoilessi s en uont	------|--|-----|-||-|---|
mout gr antdomageeuiont	---|--⌫--|-----|-||--|
parontgra ntduel	--|--|---⌫-|---|
delorauoiretdelorgent	-|--|----|-|-|--|---|
quantlirommainlesemb atir ent	----|-|------|--|---⌫----⌫--|
esnesetterrelortolirent	-|--|-|----|--|-------|
quant esnes lesont	----|-|--|--|--|
entass és	------⌫--|
athisifueluis naurés	----||-|-|--|------|
lis ansuermausa u al li co u le	-|-⌫--|------|-⌫-⌫-|-|--⌫-⌫-|
parmilaface lesla go ule	----|-|---|--|-|--⌫--|
quantath isfu eluisb lechiés	----|---⌫-|-|-|--|-⌫-------|
procelias fumoutiriés	--------|-|---|-----|
ma is athisditqu	--⌫-|----|--|-|
par lar esnetint soncheual	--|-|-⌫---|---|--|-----|
quant liro mmainorentu ainc u	----|-|--⌫----|----|-⌫----⌫|
arrieresont el	------|---|-|
champ uenu	----|---|
lor mors enpor t ent etf ontquerre	--|---|-|---⌫-⌫--|-|-⌫--|-----|
a honnourlesmettenten terre	|------|--|------|-|----|
sontrepairié	---|--------|
asses iorent gaaignié	----||----|--------|
moutlon t bienfait	---||--⌫|---|---|
seno nt grant pris	|-|-⌫-|----|---|
maisproc elias et	---|----⌫----|-|
sortousle sautres l ontbie nfet	--|---|--⌫|-----||--|---⌫|--|
carmieus lont faitetmieus	--|----||--|---|-|----|
m aisdathisontacreanté	-⌫--||----|--|--------|
que deso r	--|----⌫|
tousl e prisenot	---|-⌫|---|-|-|
gaieteestli e	-----|--|--⌫|
qu ant lesot	--⌫--|-|--|
asfenestrese stoitdel mur	-|--------|-⌫----|--|--|
lecue rseur	-|---⌫|---|
de luiueoir mou t se has toit	-|--|----|---⌫|-|---⌫---|
la deess e	-|-----⌫|
pourl uiprioit	---|-⌫-|-----|
que leledeffend ist demort	-|-⌫-|-|-------⌫--|-|---|
etfeistsi sonescu fort	-|----|-|--|---|---|
que n us n elp uissedomagier	--|-⌫-|-⌫||-⌫----|-------|
neleuassalel cors plaier	-|-|-----|-|---|-----|
atantsenesttorn eeaual	----||-|--|----⌫-|---|
parla portegarder eal	--|-|----|----|-⌫--|
uitla r u ede	--|-|-⌫-⌫|-|
ge ntemplir	--⌫-|-----|
et les y ycompai gnonsuenir	-|--|-⌫|------⌫----|----|
quibienresa mble ntch eual iers	--|---|----⌫----⌫-|--⌫----⌫---|
nont mielorescus	|--|--|--|----|
lor hiaum eestoient	--|-----⌫|-------|
d etren chie ́	-⌫-----⌫----⌫|
etlo rbranctoutf raitetoschié	-|--⌫|----|---|-⌫---|-|------|
tousauoient trenchiezl orlas	---|------|--------|-⌫-|--|
sauoien ttoussan glans lorb ras	|------⌫|---|---⌫----|--|-⌫--|
lor cheueusf urent	--|------|-⌫----|
qu en la presseauo ientesté	-|-|-|-----|---⌫---|----|
quantgaieteregarde ath is	----|-----|------|---⌫-|
etuitla plaie	-|--|-|----|
uitlesourcil	--|-|------|
ensanglanté	-----------|
ouli escusauoit	-|-|----|----|
lorsotpaourli ui s	---|-|----|-|--⌫|
unso uspi r gie t e	-|--⌫----⌫|---⌫-⌫|
et fistunpl aint	-|---|-|--⌫---|
l assefa iteleque nferai	-⌫---|--⌫-|--|-|-⌫|----|
mort ca r me	---|--⌫|-|
p ren sime morrai	-⌫--|-|-|-----|
la sepasmastnesteustmes	-|-|------||------|--|
maishonteotpourcardiones	---|----|-|---|--------|
enson mantel estr a intsoncuer	-|--|-----|----⌫-⌫--|--|---|
ensou spi rantdist	-|---⌫---⌫---|---|
ast u ueuprocelias	-|-⌫|--|--------|
conse tien tmesper eseuas	--|-|----⌫|--|---⌫-|---|
sauoiru osissedelorestre	-----|-⌫-----|-|--|----|
trop esthauteceste f enestr e	---|--|----|----|-⌫------⌫|
a ceuls dau alnepuis	|----||--⌫-|-|---|
ne d e snostres gen sdemander	-|-⌫-⌫|------|---⌫|-------|
athis regarde contre mont	----|------|------⌫---|
a l af enestreouelessont	|-⌫|-⌫------|-|---|---|
uitgaie te etcardi ones	--|----⌫-|-|-----⌫---|
qui sontases tres del p ales	--|---|-|--⌫---|--|-⌫---|
quileregarden tmout souuent	--|-|--------⌫|---|------|
uersluiauoientbon talen t	---|--|------|--|-----⌫|
c hascune d eles	-⌫------||---|
moutlamoit	---||----|
pour l autr e s ence loit	---||----⌫||-|--⌫---|
il lesamoitdebonegu ise	-|--|----|-|---|--⌫--|
uerslu ned e lesas	---||-⌫-||-⌫--|||
amormi s e	---|--⌫-⌫|
gai eteamoitdetout soncuer	---⌫--|----|-|---|--|---|
mais enue rslau trepornul	---|----⌫-||--⌫--|--|--|
n eus tamor separbi ennon	|---⌫|---|-|--|--⌫-|--|
porlamordesoncomp aignon	--||---|-|--|----⌫-----|
la plaieuit car diones	-|----|--|---⌫-----|
quathisotel uisde	-|----|-|-|--|-|
etlahu rteedel escu	-|-|--⌫---|-||---|
quee nselfr ont	--|-⌫-|-|--⌫--|
agrant merue illelenpesa	|----|-----⌫---||-|---|
uns ouspirfi stsi	-|-⌫-----|--⌫-|-|
s en clina	|--⌫----|
mai smoutsechoilep orceli	---⌫|---|-|-----|-⌫-|---|
queeleauo itdeio u steli	--|--|---⌫-|----⌫-⌫--|-|
diresonc o rage	---|--|-⌫-⌫---|
decefistelemoutquesage	-|-|---|--|---|--|---|
qu encorl ipoisedel es ch ange	-|----|-⌫|----|-||--⌫--⌫---|
quedeluifiren t liestrange	--|-|--|-----⌫|-|-------|
athisesgardeuers	----|------|---|
quison co rag e	--|--|--⌫---⌫|
mout uosistquele le	---|-----|-|--|-|
corageconne ust	-----|-----⌫--|
etl amorqui s iled est raint	-||---|--|-⌫|-|-⌫---⌫----|
quemoutsouuentlango isse ett aint	--|---|------||----⌫---|-|-⌫---|
uers lui s e trai st	---|--|-⌫|----⌫-|
sam blantli fist	---⌫----|-|---|
que moutuolenti e rs leteni st	--|---|-------⌫-⌫-|-|----⌫-|
lapucelel ifi stunr is	-|-----|-⌫|--⌫-|-|-⌫-|
asa maina sonm antel	|-|---||--|-⌫----|
gr a nti oieeust mou t lifustbel	--⌫-⌫-|-⌫--|---|---⌫|-|---|--|
s auo eclifust so u sleman tel	|---⌫-|-|---|--⌫-⌫|-|---⌫--|
unp lainten souspi ra ntg ita	-|-⌫----|-|------⌫--⌫-|-⌫--|
siqueathis	-|--|----|
le regarda	-|------|
samb lant lifi stdesongant tendr e	----⌫---|-|--⌫-|-|--|---|-----⌫|
ostels enuontdescendre	----||-|---|--------|
entreathisetprocelias	----|----|-|--------|
qui moutestoit delestout	--|---|-----|-||-----|
sontdesarmé	---|-------|
at hisont un mireman d é	--⌫--|--|-|---|---⌫-⌫-|
p orl apla iedeluis	-⌫-|-⌫|---⌫-|--|--|
maisplus la	---|---|||
faitl au trelangui r	---||--⌫--|------⌫|
la plaiequilauoit	-|----|-|-|----|
colps nepertpasd efors	----|-|---|--|-⌫----|
quili auoit	--|-|----|
lecor sespris	-|---⌫|-----|
pisli faitquelautredeluis	--|-|---|--||----|--|--|
lapla ie athisfumouttost saine	-|---⌫-|----|-|---|---|----|
quiloteluismais lau tre	-|-|-|-|--|---||--⌫--|
lapl aiequil	-|--⌫--|-|-|
ne puetgarir mais	-|---|----|---|
se label ene l engari st	-|-|---⌫|-||-|----⌫-|
cestedolorlemist	----|----|-|---|
mors estathis nese t q uedire	---|--|----|-|--⌫|-⌫-|---|
segaiete n eli	-|-----|-⌫|-|
puetaliparl er	---||-|----⌫-|
nilne l i set par	|-|-|-⌫|--|--|
cuimande r	--|-----⌫|
ne liose s onmalgeh ir	-|-|--|-⌫-|--|---⌫-|
cor agedescouri r	---⌫--|--------⌫|
ca rselesa uoitconcorage	--⌫||--|--⌫---|--|-----|
bi e n tos t li tendroit	--⌫-⌫|---⌫|-|-------|
etcilquiaim e folement	-|--|--|---⌫|-------|
bonescient	--|------|
autruiet nestamés	-----|-||--|----|
s ou ue nten est	-⌫--⌫--⌫-|-|--|
nu sne l apue te sperm enter	--⌫|-|-⌫|---⌫|-⌫-----⌫----|
teuslecuidemou tbienauoi r	---|-|----|---⌫|---|----⌫|
quil litornelebl ancelno ir	-|-|-|----|-|--⌫--|-|--⌫-|
aunhommeest amorsmoutbele	|-|----|--|----|---|---|
a un autretornesa r oele	|-|----|----|-|-⌫---|
uneore estet coieet clere	--|--|--|-|---|-|----|
alautre est et fiereettropau ere	||----|--|-|----|-|---|--⌫--|
quiplus l e prie	--|---|-⌫|---|
plusi per t	---||---⌫|
des truisenest quitrop lesert	---⌫----|-|--|--|---|-|---|
tout autr etel estild	---|----⌫---|--|-||
qui p lu slesert plus	--|-⌫--⌫|-|---|---|
du pluss age fait le plusfo l	-|---|-⌫--|---|-|---|--⌫|
a mislelas aucol	|--|-|--|-|--|
puisledemai ne a	---|-|-----⌫-||
duplusuiell art faitione	-|---|-----⌫--|---|---|
asont alentl es	|--|-⌫----|-⌫-|
pl usorsm aine	--⌫----|-⌫---|
et tieusimet mou tpoudepaine	-|----||--|---⌫|--|-|----|
qu en a plus	-|-||---|
tost sauole nte	---|-|----⌫--|
que c il qui to us	--|-⌫-|--|--⌫-|
en celepaine es toitathis	-|---|----|--⌫---|----|
amorsl auoitenso n l asm is	----||----|-|--⌫|-⌫-|-⌫-|
ueil lierle	----⌫---|-|
faite tgeuner	---|-⌫|-----|
amorslefai tas oipe nsse r	----|-|---⌫||-⌫-|--⌫----⌫|
souuen ttressautsouuentsouspire	------⌫|-------|------|-------|
souuenta painesouuentire	------||----|------|--|
souuent ge mistsouuent baa ille	------|--⌫---|------|---⌫---|
amorsdurementletrauaille	----|-------|-|--------|
licuersettuitli	-|----|-|---|-|
quantde g aietelir ememb re	----|-|-⌫----|-|-⌫-----⌫-|
de sonsamblan tdesonbel	-|--|-------⌫|-|--|--|
qu ant ill a uit a la	--⌫--|-|-⌫|--||-|
b el eer tsor	-⌫--⌫|--⌫|--|
toute creat u re	----|-----⌫-⌫-|
etauo itsa rega rdeure	-|---⌫-|-|----⌫-----|
enco ntreual	----⌫---|--|
uers luitor nee	---|--|---⌫--|
lemant el d ontertaffub le e	-|----⌫-|-⌫--|--|-----⌫--⌫|
clotenuers	---|-----|
lui en estraignant	--|-|----------|
l orsmefi stauque s	-⌫--|-|--⌫-|-----⌫|
de sa mblant	-|--⌫-----|
belefustpr es demoi	---|---|--⌫-|-|--|
tenistencon tresoi	-----|-----⌫--|--|
el m ot roias t li ets	-||--⌫-----⌫|-|-||
ditmoutgrant	--|---|----|
dontsui ief ousquanti e	---|--|-|-⌫--|----|-⌫|
amors l angoisseen plusorssens	----||-------|-|------|---|
fait taindreetmuer	---|------|-|---|
souu entpalir	----⌫--|----|
ettressuer	-|-------|
a this respo ntetdit asoi	-⌫---|-----⌫-|-|--||--|
quant el eauoi t	----|--⌫|----⌫|
eleaucunpensse	--|----|-----|
femmequi ason cu e rt orné	----|--||--|--⌫-⌫|-⌫----|
uer s hommemout	---⌫|----|---|
et selenelaimederien	-||--|-||---|-|---|
nele n estgairespoil en	-||-⌫|--|-----|--||-|
quelparti l	---|---|-⌫|
uiegn eneil au t	-----⌫|-|-|--⌫|
ne saiser ien li	-|--|-|-⌫--|-|
maisiesuipour	---|-|--|---|
lie ne ffroi	-|-⌫|-⌫----|
pourlilangui spou rli trauail	---|-|------⌫|---⌫|-|------|
tropaur aipainese g	---|---⌫-|----|-||
athisestoi te n mo ut	----|-----⌫|-⌫|--⌫-|
grantpaine	----|----|
poramorqui	--|---|--|
s iledemaine	-⌫|-|------|
engra ntdolou r restoitgaiete	-|---⌫-|-----⌫|------|-----|
pai neetamors lauoita fflite	---⌫-|-|----||----|-⌫-----|
l amo u rathis souentligrieu e	|---⌫-⌫|----|-----|-|-----⌫|
grantpainedel litlieue	----|----|--|--|----|
elenep uetl a	--|-|-⌫--|-⌫|
nuitdormir	---|-----|
ne sonmaln osedes couurir	-|--|--||--|---⌫------|
elenosegehir	--||--|----|
nelenecuideauoirconfort	|--|-|----|----|------|
sele losa sta ut rui mostrer	|--||---⌫-|-⌫--⌫--|------|
sa dolou rd ireetr a conter	-|-----⌫|-⌫--|-|-⌫-⌫-----|
lorsd epartistpar n ui tsesmaus	---|-⌫-------|--|-⌫--⌫|--|---|
ne li fust miesimortaus	-|-|---|--|-|------|
carqui nepue tson plaisir	--|--|-|---⌫|--|------|
couuient soffrir ettaire	-------|------|-|----|
gri eueensa uolente	---⌫--|-|-|------|
ildeisttoutso npensse	-|----|---|--⌫|-----|
gaieteso effre son martire	-----|--⌫----|--|------|
q u ean ului nel	-⌫-⌫||-⌫---|-||
ose d i re	--|-⌫-⌫-|
nosepasf airesontalent	|--|--|-⌫---|--|-----|
osemoustr er sonsam b lant	--|------⌫-|--|---⌫-⌫---|
ma is ensonc uer	--⌫-|-|--|-⌫--|
moutseclaimelasse	---|-|-----|----|
chaitiuepour	-------|---|
coi fui ien ee	--|--|-|-⌫-|
male de s tinee	---|--⌫-⌫----|
lan uit souspiretleso iru eil	-|-⌫--|------|-|-|--⌫-|-⌫--|
ne puis auoirce que ieuoeil	-|---|----|-|--|-|----|
l amor athis	|---|----|
ma pris aulas	||---|-|--|
uism es t queltiegneentremes	--||--⌫|--||-----|----|--|
tan tcon iedorsde dens monlit	---⌫|--|-|---|--⌫---|--|--|
tant aiieaaiseet	---|-|-|----|-|
qu ant ie m es ue ilmes	--⌫--|-||--⌫--⌫-|--|
brase ste n t	---|-⌫---⌫-⌫|
pr endreleuo il	--⌫----|-|--⌫-|
en paineet enpensse	-|----|-|-|-----|
quantie recort ma	----|-|-----|-|
queenuei llantmestue tf aillir	--|-|---⌫----||-----⌫|-⌫-----|
si uodroi et ous tansdormir	-|------⌫|-⌫--|---|-----|
lorsmecouui ent tous tanspensser	---|-|-----⌫--|---|---|------|
et son sam blant ar emirer	-|--|---⌫----||-⌫-----|
q uitantestbons	-⌫-|---|--|---|
et t antest fiers	-|-⌫--|--|----|
i a estil si bons cheualiers	-⌫|--|-|-|---|---------|
quennulete rrena	-|-|---|--⌫--|||
iafistilsi bienenl	-|---|-|-|---|-||
toutle pris otdec esttornoi	---|-|---|-|-|-⌫--|-----|
etsipris tlen eueul eroi	-|-|----⌫|-|-⌫---|-⌫|--|
mout leuisliementuen ir	---|-|--|------|---⌫-|
eten l estorbi en maintenir	-|-||----|--⌫-|--------|
e sgarda mou t dou cement	-⌫-----|---⌫|---⌫-----|
au u eni rdutornoiement	-|-⌫---⌫|-|----------|
merueill ou sbelsa mb lant me fi st	--------⌫--⌫|--|--⌫--⌫---|-|--⌫-|
lorss arre staetsimeris t	---||----⌫--|-|-|-|---⌫|
un samblant fist degrantdol or	-|-------|---|-|----|---⌫-|
l asseuer raiie ialeior	-⌫---|---⌫--|-|-|-|--|
soiede lu ipriuee	---|-|--⌫|-----|
s am orasseur ee	|--⌫-|------⌫-|
qui simamis	--|-|||--|
encor mest uisquei eleuoi	----||--|--|--|-⌫|-|--|
ensic ong e lui	---|-⌫-|-⌫||-|
re uenirdel	--⌫----|--|
tornoiement	----------|
tousertd epechiés sesescu s	---|--|-⌫--------|--|----⌫|
et il esto iteluisferu s	-|-|----⌫-|-|--|----⌫|
dieusle def fendede	----|-|---⌫----|-|
souuent l imembredelsorcil	------|-⌫|-----|--|-----|
ouses e scusferulauoit	-|--|-⌫---|---||----|
car merueill es lia uenoit	--|--------⌫-|-|-⌫-----|
samblantlifisde mongant tendre	-------|-|--|-|--|---|-----|
cil refist	--|-----|
samblantdu prendre	-------|-|------|
contr elui ouurimon	-----⌫|--|----|--|
puislereclosmoutlifu	---|-|-----|---|-|-|
c e fu sam blan ts ege l tenisse	-⌫|-|---⌫----⌫|-⌫|-||------|
quen t re mesbrastoutl enclo sisse	-|--⌫-⌫-|--|---|---||-----⌫----|
p uisli m ost rai q ui ls enal ast	-⌫--|-|-⌫---⌫--|-⌫|-⌫||-|--⌫--|
etque pl usne s i	-|--|--⌫-|-|||
paour auoieporle sanc	----|----|--|-|---|
quili co uroit	--|-|--⌫----|
parleu isblanc	--|-|-⌫-|----|
ne lifeistl i	-|-|----|-⌫|
ar mésestoitsor	--⌫---|-----|--|
e sta itcoment li uait	-⌫---⌫-|-----|-|---|
n e puis sauo ircomen tilfait	-⌫|---|----⌫-|-----⌫|-|---|
noideluip arler	|-|-|--|-⌫----|
uisme stquen tre	--||-⌫-|-|--⌫--|
moi estauisqui lest	--|--|---|-|-⌫|--|
tropl oing	---|-⌫---|
de luiueoir ai grantbe soing	-|--|----|-|----|--⌫----|
moutl icontas seuolen tiers	---|-⌫|------⌫-|-----⌫----|
lemalqu isim e stdurs	-|--|--⌫|-||-⌫-|---|
n elipui s	-⌫|-|---⌫|
raconterma uie	-------|-|--|
m essagequil idie	-⌫-----|--|-⌫|--|
maintefoisoi par ler	-----|---|-|---⌫--|
domme qui uoloit	|---|--|-----|
femm eamer	----⌫|---|
quil limandoitpar so n	-|-|-|------|--|--⌫|
de sc o u uroit soncorage	--⌫--⌫-⌫-⌫----|--|-----|
se l i man doie monp enss e	-|-⌫|---⌫---|--|-⌫----⌫|
quef eroie s auolente	--|-⌫----|-⌫|------|
i l me ntendroi tpor plus l egiere	-⌫||-⌫|-------⌫|--|---|-⌫-----|
se ie limandoie premiere	-|-|-|------|-------|
ilmec ouuient m etreausoffrir	-|-|-⌫------|-⌫---|-|------|
o r fa itde	-⌫|--⌫-|-|
moias onplaisir	--||-⌫-|------|
quanque iedi	------|-|-|
a icest motlicuers me faut	|----|--|-|----|-|---|
pasmee chi et el l i tarriere	-----|---⌫-|-|-⌫-⌫|------|
quantelreuintfistmornechie re	----|-|-----|---|----|----⌫-|
desorso ncotesapoia	----|--⌫|---||----|
git aun p la intsisousp ira	---⌫|-|-⌫--⌫--|-|-----⌫--|
pleuredesi eu s	-----|--|-⌫--⌫|
niot nul ris	||-|--|--|
lorsse pourp ens seet distathis	---|-|-----⌫---⌫-|-|---|----|
la uostre amorformen t	-|-----|---|------⌫|
du touten to utmaués uaincue	-|---|-|--⌫-||----|------|
