uousau és deuantbienoit	---|--⌫--|-----|---|--|
riennimentirai	---|||-------|
o r uosdiiouciertainnement	-⌫|--|-|--|-------------|
q uer ou fu	-⌫-|-⌫-|-|
duspremier emen t	--|-------⌫----⌫|
otlafillec harl on	-|-|----|-⌫----⌫-|
le simpl eki gil le ot a non	-|-----⌫|-|---⌫-|-||--|
guillau mes a pries	-------⌫--|-⌫----|
longe espee	----|----|
fuli seconspar r enoume e	-|-|-----|--|-⌫------⌫|
ric arsfius guillaum e	---⌫--|---|--------⌫|
quimoult fuuaillansceualiers	--|----|-|-------|--------|
ricart filr ica rtfontle quart	-----|--|-⌫---⌫-|---|-|----|
connetenoit mieac ou a rt	|-|-|-----|--||-⌫--⌫-⌫-|
rob i e rtfil ricartfontlequin t	---⌫-⌫-⌫-|--|-----|---|-|----⌫|
qu i m oult be le maisnie tin t	--⌫|-⌫---|--⌫-|------|---⌫|
guillaumesf iu srobiertfu sistes	---------|-⌫--⌫|------|-|-----|
qu i moul tfu s a ges preuset u i stes	--⌫|----⌫|-|-⌫-⌫--|----|-|-⌫-⌫---|
terisfius guillaumefu	----|---|--------|-|
ki nefup a scrueusnepiesmes	-|-|-|-⌫-⌫|-----|-|------|
cistintquan qu eses	--|---|----⌫--⌫|--|
moul tp e utetualu	----⌫|-⌫-⌫-|-|---|
et moultsot	-|----|--|
acestuinelmescreés	|-----|-||--------|
sifinader oula	-|---|-|-⌫-|-|
parcoufucreuslib oin s	--|--|-|----|-|-⌫---⌫|
les r oiesdelbaston	--|-⌫---|--|-----|
encorle tiesmognent	----|-|----------|
dem oultgran t poo ir	-|-⌫---|----⌫|---⌫-|
n onquesn efudecuer	|-----|-⌫|-|-|---|
fu a ruemseue lis	-||---|----⌫--|
guillau mes ses f ius tint latiere	-------⌫--|--|-⌫--|---|-|----|
assesiot etpaiset gier re	----||-|-|---|-|----⌫-|
sag e sfu et	---⌫-⌫|-|-|
preus etengries	----|-|------|
liautr ey yuinrent	-|----⌫|-⌫|------|
alta nsguillaume lefilrou	-|--⌫-|--------|-|--|--|
si auint ila pries zz pou	-|----|-|-⌫----|-|--|
que dont moru liroisr aous	--|---|---|-|---|-⌫---|
q ui moultfup reus etuigero us	-⌫-|----|-|-⌫---|-|------⌫-|
yyans r e gnaciertai nsensui	-|--|-⌫-⌫--|-------⌫-|-|--|
mo ult tenoient	--⌫--|-------|
apr eucestui	|--⌫-|-----|
quant desbaro ns fu e n ti erés	----|--|----⌫-|-|-⌫-⌫--⌫----|
gransetlibarnes	----|-|-|-----|
defrancetoutco mmune ment	-|-----|---|--⌫-----⌫---|
parlecons el n oumeement	--|-|----⌫-|-⌫--------|
l educ willaum edesnormans	-⌫|--|-------⌫|--|------|
quimoultestoit pre us	--|----|-----|---⌫-|
etualla ns	-|-----⌫-|
redem anderenttot en a piert	-----⌫-------|--|-|-⌫----|
par larceuesq ue ghilebiert	--||--------⌫-|---------|
loei ski fu fius charlon	----⌫|-|-|---|------|
estoitenla pri s on	-----|-|-|---⌫-⌫-|
lecontehi erbe rtde piero nne	-|----|--⌫----⌫-|-|-----⌫--|
la rceu esquess	|-⌫----⌫-----||
enabandonne	-|--------|
quan tle congies l	----⌫|-|------||
en fu d oné s	-|-|-⌫----⌫|
p o ur l oe ys sene st	-⌫-⌫-|-⌫--⌫-||-|-⌫-|
en eng letiereert	-|---⌫------|--|
uiersd uriaum e	----|-⌫------⌫|
od s o ntaio n le roi antiaum e	-|-⌫-⌫|----⌫|-|--|-------⌫|
qui li l oale	--|-|-⌫-|-|
commentquenp eustauenir	--------|-|-⌫---|-----|
assesl i quist et nes etgent	----|-⌫|----|-|--|-|---|
drasetceua uso ret	---|-|----⌫-|-⌫|-|
eti lreuin tsi	-|-⌫|-----⌫|-|
p as sa m er	-⌫--⌫-|-⌫-|
s elfisentaroicouronner	-⌫||-----||--|--------|
lames tr esale	-|---⌫--⌫|---|
al co uronnerotmoultg r antal e	-|--⌫------|-|----|-⌫-⌫--|--⌫|
yyroiacest uo s	-|--||---|--⌫|
si coml estoreledesp ont	-|--||-----|-|----⌫--|
parcauski seuent l e sescris	--|---|-|-----|-⌫-⌫|-----|
fre re cisl oeys	---⌫-|--|-⌫---|
loh i ersot	---⌫-⌫--|-|
otloherain ne	-|--------⌫-|
e tsi ti ntais en sondemainne	-⌫|-|--⌫-|--|-|--|-------|
otuneserourains nee	-|--|-----|----⌫--|
gillainquerouot espousee	------|--|--|-|-------|
sotcisrois yy autres	|-|--|---|-|-----|
quitier estinrente t ho nors	--|----⌫-|------|-⌫|--⌫---|
sespe reslesot	--|--⌫--|--|-|
asonuiu ante tmariees	|--|---⌫--|-⌫|------|
herluiso tanonla insnee	------|-⌫||--||-⌫-----|
s ifualduc	-⌫|-|-|--|
ga r in dounee	--⌫-⌫-|-----|
kitenoituimeu etponti	-|-----|----|-|----|
et lesaluesaa	-|--|----|-|
decou fuherluisdouwee	-|--|-|------|-----|
aelaislautre fudou nee	-----||----|-|---⌫--|
a tai lleferd el	|---⌫-----|-⌫-|
quimoult fuuallan set g entis	--|----|-|------⌫|-|-⌫----|
raoul lecuuiert	----|-|------|
kigueroia lesfiusherbiert	-|------|--|---|-------|
deaa quentinet biernec on	-|-|------|-|-------⌫-|
feri el cie f parcont encon	---|-|---⌫|--|----⌫----|
nounains dorigni	-------||-----|
maispuis le na u iunt ilensi	---|---||-⌫|-⌫-⌫---|-|---|
fuocise t depecié s	-|---|-⌫|--------⌫|
qu aril otfais mausetpecies	--⌫-|-|-|---|---|-|-----|
etdema d ameherluit	-|-|-|-⌫--|------|
don t ieuo us ai cideuantdit	---⌫|-|--⌫-|-|-|-----|--|
qu e spousee ot	-|-⌫------|-|
fuisembar setg i rard ins	-|-------⌫|-|-⌫-⌫----⌫--|
l oeislor onclese ruiren t	-⌫---|--|----|--⌫------⌫|
maislesf rancoisles enhairen t	---|--|-⌫------|--|--------⌫|
siconsellierent tantle roi	-|------------|---|-|--|
etparoutrag eet par desroi	-|--|------⌫|-|--|-----|
uneeure etautreettempre	--|---|-|----|-|-----|
que liro istrami stysembart	--|-|--⌫-|-----⌫-|-------|
a l r oiguionendanemarce	-⌫|-⌫-|----|-|--------|
pourl etreurouueren marc e	---|-⌫|---|-----|-|----⌫|
e nt ruesfisenten	-⌫--⌫---|-----|-|
sonfrereocire girardin	--|----|----|-------|
qua nt ysemb a rss en repaira	---⌫-|-----⌫-⌫-||-|------|
m oult d uremen tsenair a	-⌫---|-⌫------⌫||-|---⌫|
al atab le le	|-⌫|---⌫-|-|
roiyy siers	--|-|----|
enocistpuisgen sui	-|----|---||-|--|
to usciers	--⌫-|----|
quar li roiscreoituolentiers	---|-|---|-----|---------|
et g engleoursetno uu e lier s	-|-⌫--------|-|--⌫--⌫-⌫----⌫|
qua ntyzembars le sotocis	---⌫-|-------|--⌫|-|---|
fuiois enesten	-----|-|--|-|
et pui suotloeysdouner	-|---⌫|--|----|-----|
poursapainnegu er redouner	---|-|-----|--⌫--⌫-------|
alardin son	------|--|
arbalestrier	-----------|
quil es lui menoitsonde strier	--|-⌫-|--|-----|--|--⌫-----|
beatrissa sero urlafrance	------|-|----⌫-|-|-----|
maisysembars nen	---|-------||-|
fist so fran ce	---|--⌫----⌫-|
e tloeyssencour echa	-⌫|----||-|----⌫---|
ysemba rtmoultenenmenaca	------⌫-|----|-|-------|
queporlafaideademorer	--|--|-|----||------|
neliuot sa	-|-|--|-|
ser ourdonner	---⌫--|-----|
a oes cel uiqui pereocist	|--|---⌫-|--|---|----|
ses os somonre lues	--|-|------|---|
sourl educgarin sen	---|-⌫|--|----||-|
droit en p ontiusi las ega	----|-|-⌫----|-||--⌫--|
tantquilestutpar sapoisance	-----|-|----|--|-|-------|
a yzembart	|-------|
foriur er france	------⌫-|-----|
ettoute l atiereson pere	-|----|-⌫|----|--|---|
grantduelen otet sueret mere	----|---|-|-|-|---|-|---|
ysemb a rsuint a	-----⌫-⌫-|---||
cordesiot e t	-----||-|-⌫|
estuoiant leroi	--|-----|-|--|
enmenaautreconroi	-----|----|-----|
q uesonesquier	-⌫-|--|------|
pontiuclamaquiteensapart	-----|----|----|-|-|---|
en e ngletiereestariu és	-|-⌫--------|--|----⌫--|
ses tmainte n ant alroi r emes	|--⌫|------⌫-⌫--|-|--|-⌫---|
e tloe yswida pontiu	-⌫|---⌫-|---|-----|
uintason droitliu	---||--|----|--|
maisquantil sot laue rite	---|----|-|--|-|--⌫---|
kysenb a rs ie rt asauuet e	|-----⌫-⌫-|--⌫-||------⌫|
le roiman da	-|--|---⌫-|
toutcoureciés	---|---------|
quedengletiere	--||---------|
fustkaciés	---|------|
etliro is len	-|-|--⌫-||-|
dels iendou né	--|-⌫--|---⌫--|
p arleconse ldeurart lenglo is	-⌫-|-|-----⌫||-----||-----⌫-|
kiotaprissarrasinois	-|-|----|----------|
alroigormont parmersenua	-|--|------|--|--||-|-|
aluitismeiou rar iua	||------|---⌫|--⌫--|
etgorm onsla bien rete nu	-|----⌫--|||---|----⌫-|
pourc ou que biausb acele rsfu	---|-⌫-|--|----|-⌫-----⌫-|-|
mais die uli afait renoiier	---|---⌫|-||---|-------|
kigaritlauoitdenoi ier	-|----||----|-|---⌫--|
maismou lt enots oncuer mari	---|---⌫-|-|-|-⌫-|---|---|
puis uenq ui	---|----⌫-|
ilz zaumacour	-|-⌫|-------|
q u i liuoloit tolir s ounour	-⌫-⌫|-|-----|----||-----|
gormons bie n ligueredou n a	------|---⌫|-|--------⌫-⌫|
m argotsafillelidoun a	-⌫----|-|----|-|----⌫|
dounabocidante	----|--------|
unegrant tiereenoriante	--|----|----|-|------|
e tpuisafaittant ysambar s	-⌫|---||---|---|-------⌫|
quego rmons	--|--⌫----|
fist neset	---|--|-|
s or franc euinrent p ourdest ru ire	-⌫-|-----⌫|------|-⌫--|----⌫--⌫--|
maislamers commen caa	---|-|---|------⌫-||
de la gentqu il ot auoiié	-|-|---|-|-|-|------|
fubienla tierce	-|---|-|-----|
parsnoiié	---|-----|
maisysem bars limargaris	---|----⌫---|-|-------|
est ariués	--|------|
od lu igormonslide sfaés	-|--⌫|------|-|--⌫-----|
ardoi rlesfi s t et	-----⌫|--|--⌫-⌫|-|
quilnenpeusse ntrepairier	-|-||-|------⌫-|--------|
lemou stieraa ricierontars	-|---⌫----|-|-----|--|--|
etdelatiere le s yypars	-|-|-|----|--⌫|-|---|
unsclersquigau tiersotano n	--|----|--|---⌫----|-||--⌫|
l enoncaleroialoon	-⌫|----|-|--||---|
adon que s france	----⌫---⌫|-----|
teleestoit	---|-----|
quequ ant zzhausomim oroit	--|--⌫--|-|---|-||-⌫----|
liroisprendoi tla tiere toute	-|---|-------⌫|-|----|----|
damessansnuledo ute	----|---|---|--⌫--|
receuoit aforc erelief	-------||----⌫|-----|
tropestoient	---|-------|
mauua isl ifief	-----⌫-|-⌫|---|
quant c es	----|-⌫-|
no uuielesdist gauti ers	--⌫------|---|-----⌫--|
hue lins unsgran sceualiers	---⌫---|--|----⌫|--------|
le so is iadit au	--⌫|-⌫|-⌫||--|-|
siluolo it	|-|----⌫-|
lai scierson desroi	---⌫----|--|-----|
etlesreliesquitesclamer	-|--|-----|-----|-----|
etsesbaronsuosist	-|--|-----|-----|
desarrasins iroit	-|--------|----|
et leur pooirlirediroi t	-|---|----|-|-------⌫|
li roislotria esr anme nt	-|---||----|---⌫----⌫-|
puis en iurale sai rement	---|-|---|-|---⌫-----|
huelinses taparillie ́s	------|--⌫|---------⌫-|
iusque s alo s tsest t rauelliés	------⌫|||-⌫-⌫||--|-⌫---------|
ysemb artsonneueu troua	-----⌫--|--|----|----|
dist lique	---|-|--|
fors defrance ua	---|-|-----|-|
exi l liésetdes hire tés	---⌫-⌫----|-|---⌫----⌫---|
pour lui esto it	---|--|----⌫-|
a courtretés	|----|-----|
ay senbart bielenest a	|-⌫------|---|-|---⌫|
al ro igormont l	-|--⌫|------||
ene nacointa	-|-⌫-------|
hu e linsdis tkil	--⌫-⌫---|---⌫||-|
s en r iro it	|-|-⌫---⌫-|
poursescausessi re uenroit	---|--|-----|-|--⌫------|
huelinle preulesene ́	-----|-|---|-|----⌫|
enay semba rsramené	-||-⌫-----⌫-|------|
a sontre fparl ost	|--|---⌫|--||--|
c ontreual	-⌫-------|
m ous tréli	-⌫---⌫---|-|
part elsilsepuetentre me tre	--|-⌫-||-|-|---|-----⌫--⌫--|
que frain et sielelipui stmetre	--|----|-|----|-|---⌫-|----|
quite ssoitsiens	-----⌫|---|----|
e nabandon	-⌫|------|
quant huelinsoi le	----|------|-|-|
alceualuintfe r i le e lc ief	-|----|---|--⌫-⌫|-|-⌫|-⌫--|
etpui sliua	-|---⌫|-|-|
decie fen cief	-|---⌫|-|---|
lefrainelciefla seleeldos	-|----|-|---|-|---|-|--|
liamisesus	-||---|--|
so nesquiere na piela	--⌫|------|-⌫|-⌫----|
uat entfa itil sim	-||--|--⌫-|-|-||
a ces arbresla	|--|-----|-|
susbienlo ing	--|---|--⌫--|
prentm o n	----|-⌫-⌫|
ceua lpourleb esoing	----⌫|---|-|-⌫-----|
enalaparmilestres	-|--|----|--|---|
ehueli ns fuiaoutre ́s	|-----⌫-|-|-|-----⌫-|
lestressourlericec eu al	--|---|---|-|---|-⌫--⌫-|
selpoursailli deualen	-||---------|-|--|-|
ys em barsn eno t giu	--⌫--⌫---||-|-⌫|--|
s iliaditlimargaris	-⌫|-||--|-|-------|
cousinm on destrierramené s	-----|-⌫-|-------|-------⌫|
alonsm angiercar reuenés	----|-⌫-----|--|-------|
e ntint amusart	-⌫|---||-----|
pu is li a ditsireys embart	--⌫-|-||--|---|--⌫-----|
iaiuo s trec eualgaegnié	|-|--⌫-⌫--|-⌫---|-------|
a igormontengignié	-⌫|------|--------|
cariousuiespieleroi	--|--|--|----|-|--|
noncerail i	-------|-⌫|
uostredesroi	-----|-----|
atant hurte desesperons	----|----|--|-------|
etl iceuau s	-|-⌫|-----⌫|
com esprohons	--|--------|
airuole c o ntreual	--|---|-⌫-⌫------|
sen uaita mo nt parl eboscal	|-|---|-⌫--⌫-|--|-⌫|-----|
etsarras i nsmontentapries	-|------⌫-⌫-|------|-----|
del ataindresontmou ltengries	-||-------|---|---⌫-|------|
maispourno ientisont	---|---|--⌫---||---|
h u elinsatantc e miné	-⌫-⌫----||---|-⌫-⌫----|
que leroiconta cel afaire	--|-|--|----|--|-----|
f istbries et car tresfaire	-⌫--|----|-|---⌫---|----|
manda sier gans etceualiers	----|----⌫---|-|--------|
etc ommugnes	-|-⌫-------|
etsodoiers	-|-------|
sor ausala aquanquilpot	--|--|--||-----|-|--|
pries daminois	----||------|
uille ssot	-----⌫||-|
l aci e ́iotmainteuentaille	-⌫---⌫-⌫||-|-----|--------|
sicommenca gransla bataille	||-------|----|-|-------|
etliestoursru iste se t fors	-|-|------|--⌫----⌫|-⌫|---|
moulti o t denosfra ncoismors	----||-⌫|-|--|---⌫----|---|
et gorm on s etlisarrasin	-|----⌫--⌫|-|-|-------|
fur enttouto cisen	---⌫--|---|-⌫--|-|
huelinslesot espiiés	------|--|-|-------|
q uifist rauoirtieres et fies	-⌫-|---|-----|-----|-|---|
garin slidus alcuergentil	-----⌫|-|--|-|---|-----|
otassespa rlé tasonfil	-|----|--⌫----⌫||--|--|
ma is t antnelsota planoier	--⌫-|-⌫--|-||--|-⌫-------|
k il u osistgormontrenoiier	|-|-⌫----|------|-------|
aq uiilse s toit	|-⌫-|-||-⌫-⌫---|
par son perer oil oeys	--|--|---|-⌫-|-⌫---|
desfia et il s	-----|-|-||
le roi tout a at i	-|--|---|-⌫--⌫|
yzenbarsreconnutsensagne	-------|-------||------|
silabati iusenlaplag ne	-||----|--|-|-|----⌫-|
lamesleerecoum enca	-|-----|------⌫---|
lauloeystrebucha	-||----|-------|
asanbleruont	-------|---|
lance sorfautre	----|--|-----|
totmuerent d unepartet dautre	--|------||--|---|-||----|
ysenbars meism esfu	-------|-----⌫-|-|
liroisfistentier erlec ors	-|---|---|------⌫-|-|-⌫--|
ets ile plora comme	-|-⌫|-|----|----|
lid usgarins kifusespere	-|-⌫-|-----|-|-|--|---|
serendipourl armedelu i	-|----|---||---|-|--⌫|
plai nsdegrantpesance	----⌫-|-|----|------|
et d anu i	-||---⌫|
samereetb eatris	-|---|-|-⌫-----|
d euinrent n onnains	-⌫-------|-⌫------|
debon cuer	-|--|---|
etmargos la	-|-----|-|
fillegormont	----|------|
qui fu laplus biele delmont	--|-|-|---|----|--|---|
s e bati s sa etd ieucrei	-⌫|----⌫-⌫-|-|-⌫--|---|
auoeclesautresse	----|--|-----|-|
abei ed emo us truel	----⌫|-⌫|--⌫--⌫----|
m aisbea trismoru deduel	-⌫--|---⌫---|---|-|---|
etsa mere proiatous dis	-|-|---|----|---|--|
alast enparadis	----|-|------|
pourcou quepecies lanoia	---|--|--|-----||----|
quantpourgormon tdieurenoia	----|---|------⌫|---|-----|
mais alamorts enrepenti	---||-|---||-|------|
etdeltout adieus	-|--|---||---||
et bienif usesespe ris	-|---||-⌫|--|----⌫--|
si nosdire qu	-||-|---|-|
i l soitperis	-⌫|---|----|
etgranscoupesi	-|----|-----||
otl i rois	-|-⌫|---|
kiliot to lu sesconroi s	-|-|-|--⌫-|--|------⌫|
et desatiere lotkaciét	-|-|-|----||-|------|
s enot grant part asonpeciet	|-|-|----|---||--|-----|
maisia ne fussent desconfi	---|-|-|------|-------|
l isarrasiniousaidefi	-⌫|-------|--|--|-|-|
q uantles dameskinorisoient	-⌫---|--|----|-|---------|
lo renfanc ons	--⌫|------⌫--|
etal aitoi e nt	-|--⌫-----⌫-⌫-|
desfrancoisquetantm or si uiren t	--|-------|--|---|-⌫--⌫||-----⌫|
hiaumes escus obie rsuestire n t	------|----|----⌫-|-------⌫-⌫|
siq uelor laises gransb atailles	---⌫-|--|---|-|----|-⌫-------|
l ordegoutoit parmilesmal les	-⌫-|--------|----|--|---⌫--|
e ncorei p e rtsauoi r ne fal	-⌫----||-⌫-⌫-|-----⌫|-|--|
es canscon distmo lleron ual	-|---||-|---|--⌫-----|--|
enlacontree daminoi s	-|-|------||------⌫|
aspaiensfisen tmoult d	-|-----|-----⌫|----||
p ar elesfuuen cuslic ans	-⌫-|---|-|---⌫--|-|-⌫--|
etloeysc ilroissacans	-|----|-⌫-|---|-----|
fu d esrompusparludemart	-|-⌫-------|--|-------|
etparso nsignourysenbart	-|--|--⌫|------|-------|
ales tordre k	||--⌫-----||
ilfi sta aus	-|--⌫-||--|
qua n t ili oustacommeuasa us	---⌫-⌫|-|-⌫----|----|----⌫-|
moul tlefist bien	----⌫|-|---|---|
a labatalle	|-|------|
ettant i fubleciéss ansf alle	-|---||-|-------|-⌫--|-⌫---|
queyy iors ne ue squipuis	--|-|---|-|--⌫---|---|
cedistlestoreu	-|---||-----||
cest ro ilo eys	---|--⌫|--⌫--|
detant suiiouseu rs etf is	-|---|--|--|---⌫-|-|-⌫-|
a quistliqu e nsernous arras	-⌫----|-|--⌫-⌫-|-----|----|
etli hungreat outlorharnas	-|-|-----||-⌫--|--|-----|
gentetforte etrike	---|-|----|-|---|
prisent l ati eredosteri ke	------|-⌫|--⌫--||------⌫-|
alema g n eettout le	-----⌫-⌫-⌫|-|---|-|
awormaizece distlescris	|-------|-|---||-----|
paseren tlerinet gasterent	-------⌫|-|--|-|--------|
to utefrance u il	--⌫--|-----||-|
senalere nt	|-|-----⌫-|
i usqua lamer	-⌫---||-|--|
m ai sen lau trean	-⌫--⌫|-||--⌫--|-|
furentocisa gra nt aha n	-----|---||---⌫-|---⌫|
qui uintde saisogne	--|---|-|-------|
quimoult bienfisent la beso gn e	--|----|---|-----|-|----⌫--⌫|
nonpour uecsen remest itant	--|----⌫--||-|-----|----|
q uaforcealer enttot gastant	-⌫||----|----⌫--|--|------|
maisconras	---|-----|
lidu s d alema gne	-|--⌫||-----⌫--|
lesconsiuip ar loheragne	--|------|-⌫-|--------|
ag enskilotpoisansetfieres	|-⌫--||-|-|------|-|-----|
iusqu esalbosd ekarbonieres	-----⌫-|-|--|-⌫|----------|
si uinta lo besencon t reaus	-|---||--⌫--|-----⌫-⌫-|--|
comme hardise tbonuasaus	----|-----|-⌫|--|-----|
lihu ngreplusa uantn	-|--⌫---|---|-⌫---||
uerslo rpaiss	---|--⌫|---||
en retornerent	-|----------|
donta ce ltansprist parlement	---||--⌫|---|----|--------|
li quensernouscel eement	-|----|-----|---⌫-----|
alducwillaumedes norm ans	-|--|-------|--|----⌫--|
fumiebi en	-|--|--⌫-|
de uant le roide	--⌫---|-|--|-|
fran ceuint	----⌫-|---|
oie ́scoumentillena ui nt	---⌫-|------|-||-|-⌫--⌫-|
cefutoutdroita pinkeg ni	-|-|---|----||------⌫-|
enzz islet de sai nne	-|-|----|-|---⌫--|
dautre pa rt	|----|--⌫-|
fu rentlin ormant	--⌫---|-|-⌫-----|
quif o r ment furentesmaiant	--|-⌫-⌫-⌫---|-----|-------|
quarli qu ens d eflandres	---|-|--⌫--|-⌫|-------|
k ifelestoit et en gi gn ous	-⌫|--|-----|-|--⌫--⌫--⌫--|
ots agentarmee enlislie l	-|-⌫|---|----|-||-----⌫|
couuiertemente t fa iso itbiel	------------|-⌫|--⌫---⌫-|---|
et si co m la paisfaitee stoit	-|-|--⌫|-|---|----|-⌫----|
etlidusrepasserdeuo it	-|-|--|-------|----⌫-|
liquensiernou sle	-|----|------⌫|-|
et li dusuintarierel a	-|-|--|---|-----|-⌫|
ba u celic ourssacalespee	--⌫-⌫-----⌫---|---||----|
quensa cape o t	-|-|-|---|-⌫|
enu olepee	---⌫-----|
enlatiest efer i	-|-|-----⌫|---⌫|
et apr ies	-|---⌫--|
totlia utreausi	--|-|-⌫---|---|
si l ocise ntdeu ant	-||-----⌫-|---⌫--|
parleuroutrage etpardesroi	--|---|------|-|--|-----|
e t linormant ki	-⌫|-|------|-|
ne pooient	-|------|
leur s ignouraidierkil	---|-⌫-----|-----||-|
fu rentdolan t	--⌫---|-----⌫|
e tplaindirour	-⌫|----||----|
sisenale rent depaour	-||-|---⌫---|-|----|
cefufait se dire leuuel	-|-|---|-|---|-|---|
tout pourle castie l mou s truel	---|---|-|------⌫|---⌫-⌫----|
queli quensiernouso t	--|-|----|------|-⌫|
a he rluinki q ue n sen	|--⌫----|-|-⌫--⌫-⌫|-|
et liduski li otraquis	-|-|--|-|-|-|-----|
enf uceliour ensitrais	-|-⌫|--|---|---|----|
maisliro ise nfu	---|-|--⌫-|-⌫|-|
moul tbla smés	----⌫|---⌫----|
liquenser n ous desc ommand és	-|----|--⌫-⌫--|----⌫------⌫--|
etbaucelicour ssenfuirent	-|-----------⌫||--------|
tout droiten	---|----|-|
flandressenreu inre nt	-------||-|---⌫----⌫-|
maisbaucelic ourspourtuer	---|--------⌫---|---|---|
n i os amie demorer	||--⌫|--|------|
ainswida flandr esa	---|---|------⌫-||
e t puis tousseus asistpauie	-⌫|---|---|---|----|----|
lidusguillaumelo ngee spee	-|--|--------|--⌫--|-⌫---|
quimoult auoitsagent amee	--|----|----|-|---|---|
ruemenbier e po rte ́s	---|-|----⌫|--⌫---⌫-|
le sson perefuentierés	--⌫|--|---|-|--------|
ma isquant li dusfu despouelle ́s	--⌫-|----|-|--|-|----------⌫-|
u ns ceualiers kifusesnies	-⌫-|--------|-|-|--|---|
enson b rai oelun eclauwete	-|--|-⌫---⌫--|--⌫|-------|
tro uuad argentmoult petitete	---⌫--||-----|----|-------|
son ca mbrelenca demandé	--|--⌫-------||-------|
pour quoilidu sotcou porté	---|---|-|--⌫|-|--|-----|
dis tk iluol oitentend re	---⌫||-|---⌫--|------⌫-|
agu megessoimonn ierendre	|--⌫----|--|----⌫-|-----|
etceleclacielegu ardoit	-|---|-------|--⌫-----|
enzzes cri gnet kilauoit	-|-|--⌫---⌫---||-|----|
quanq uestouoita	-----⌫|-------||
cili aler entcoume s age	--||----⌫--|----|-⌫--|
sit rouuer ententirement	-|-⌫------⌫--|---------|
delmonniage uiestement	--|-------|---------|
qu arlidusa la une fo is	--⌫-|-|--|-⌫-|--|--⌫-|
kac ierason	---⌫--||--|
uiuantelbois	-----|-|---|
s itrouuayymonnies sa rtans	-⌫|-----|-|------|--⌫----|
demandacommefra ns	------|----|---⌫-|
d equ elordeneetdequelafai re	-⌫|--⌫-|-----|-|-|---|----⌫-|
ilierent et k il	-|-----|-||-|
uoro ien tfai re	----⌫---⌫|---⌫-|
disentla ue r i te	-----|-|--⌫-⌫-⌫-|
et off rirent leur car ite	-|---⌫-----|---|---⌫--|
maislidusn en u otmi epren dre	---|-|--||-|-⌫-|--⌫|----⌫--|
qu ar ila uoit aelentendre	--⌫-|-|-⌫---||-|-------|
et sicom ilal abierser	-|-|--|-|--⌫|------|
si fu aba tusd	-|-|---⌫--||
unsan glier	-|---⌫----|
etfublecie ́smoult durement	-|-|------⌫-|----|-------|
si c reitout ciertaine ment	-|-⌫--|---|---------⌫---|
q uedepecietlotsi hurt é	-⌫-|-|-----||-|-|----⌫-|
quil r efusaleurcarite	-|-|-⌫----|---|-----|
a ausreu inte t	|--|---⌫--|-⌫|
et gra nsbiensalorglisefist	-|---⌫-|----||--|----|---|
abemar tinenuoia	--|---⌫--|-----|
soi tresimedemoinesla	--|------|-|-----|-|
quegerlossa s ueren cel	--|-----|-|-⌫--|-|--|
litr amist deaa cyprian	-|--⌫----|-|-|------|
ettresdont iotson cuer mis	-|---|---||-|--|---|--|
etmoultlor e stoitbons amis	-|----|--|-⌫----|---|---|
s ifustren dus	||---|---⌫--|
bi enle uous di	--⌫-|-|---|-|
abes lidesfen di	---|-|------⌫-|
p our couquilertp rinces detiere	-⌫--|--|-|-|--|-⌫-----|-|----|
si g ardastsonpais	-|-⌫-----|--|---|
c omuo us sau és	-⌫-|--⌫-|---⌫--|
ci lduskibiensefuproués	--⌫|--|-|---|-|-|------|
ensi de moraci lmesfa is	---|--⌫---|--⌫|-----⌫-|
etric arss esfius	-|---⌫--|-⌫-|---|
fud usfa is	-|-⌫-|--⌫-|
si garda lenfant	-|----||-----|
et sondroit	-|--|----|
quensbiernarsqui	----|-------|--|
dan oisestoit	---⌫--|-----|
p uis ui nta r uemroisleoeys	-⌫--|--⌫-||-⌫--|---|-----|
s an blantk ilfumaris	-⌫--⌫----||-|-|----|
de l ducgui llaumequ ifu	--⌫|--|---⌫-----|--⌫|-|
maisc e stoitdeceu ancef ors	---||-⌫----|-----⌫---|-⌫--|
ses mestreslia aporté	--|------|-||------|
etille baissaetgoy	-|-|-|-----|-|--|
et fistgrantsanbla n td est r e	-|---|----|------⌫-⌫||---⌫-⌫|
len d emainuot lenf antbagnier	|--⌫-⌫----|--||---⌫--|------|
la nouricepouraais ier	-|------|---|----⌫--|
si lemandapar	-|-|----|--|
zz sier gant	-|----⌫---|
etcilesta le ́sp ou rlenfant	-|--|--|-⌫--⌫-|-⌫--⌫||-----|
m aisl i rois	-⌫--|-⌫|---|
ne llaisap ort er	-||----|-⌫---⌫-|
ainc d ist k il	---|-⌫--||-|
leuoloitg arder	-|-----|-⌫----|
l orssedo u terentlinorma nt	-⌫--|-|--⌫-⌫-----|-|-----⌫-|
queneuosi stgre uerl	--|-|----⌫-|---⌫--||
lagent menuesarma tote	-|---|----||---|---|
siuin ren tcourant	-|---⌫---⌫|------|
agra nt rout e	|---⌫-|----⌫|
asyycontesdela	-|-|-----|-|-|
disentsignorpar	-----|-----|--|
com memauuaiset traitour	---⌫-|------|-|-------|
nos uo léstolir nosignour	--|--⌫---|----|-|------|
e tl epere a uonsnousper d u	-⌫|-⌫|---|-⌫---|---|---⌫-⌫|
pa r uost resensq uimauuaisfu	--⌫|----⌫-|---|-⌫-|------|-|
so ufristesalerla	--⌫-------|---|-|
