s eig nors preueire	-⌫---⌫---|-------|
painc o rpor auau cors	---|-⌫-⌫----⌫-|-|---|
e d au painesp iritaua	|-⌫-|---|---⌫-----||
al arme estsainte	||---|--|-----|
doctrine elaprediciacions daus	-------||-|------------|---|
comandemen zde de	----------⌫|-|-|
par quei larme ui t qua n t	--|---||---|--⌫|---⌫-⌫|
li pain sest	-|----⌫|--|
lagari sons auc ors	-|----⌫---|-|-⌫--|
cesauezuos	-|----|--|
que celuiqu e r ezuosuolunters	--|----|--⌫-⌫-⌫-|--|--------|
demandezade nostreseignorquar	-------||-|-----|------|---|
li cors a ceu	-|---||--|
u eu t el arme muered efa im ceu	-⌫--⌫|||---|----|-⌫|--⌫-|--|
estsiell enest	--|-|---⌫||--|
enseignees i comolestd rei z	--------|-⌫|--|-|--|-⌫---⌫|
ira lec orsel arme	--|-|-⌫--|||---|
ensenbleapre s	-------|----⌫|
legrantiugement	-|----|-------|
e nferon fucdurablem as	-⌫---|-|--|------|-⌫-|
sila rme estben enseign eedela	-||-⌫--|--|--|-------⌫-|-|-|
doctrined esai nteigle se	-------|-⌫|---⌫--|----⌫-|
ebenpogue parsonpastordaus	|--|----|--|--|-----|---|
c omandemenzquedexa	-⌫---------|--|--||
c omandé p arle ssaint esiglese s eons	-⌫------|-⌫-|--⌫|-----⌫-|------⌫||--|
saintesescriptu re s	------|--------⌫--⌫|
ceuqueeledeit	--|--|--|---|
ado nc iraauderain	---⌫-|--|-|-----|
dauiuyselarmeelic o rs ens enbl een	--|----||---||-|-⌫-⌫-|---⌫----⌫|-|
la gloire de	-|-----|-|
pardonenos	------|--|
nozmeffaizsi cum nos	--|------|-|--|--|
p ar donomaceausqui	-⌫--⌫----||----|--|
meffaitnosontse igno rs ci	------|--|--|--⌫----⌫-|-|
poezoirq uecil	---|--|-⌫-|--|
quiueutquedexl ipardoint	--|---|--|--|-⌫|-------|
ses pechezesesmeffaiz	--|-----||--|------|
siliconuient qu eil pardoint	-|-|-------|--⌫|-|-------|
ce luiquimeffai t	--⌫--|--|------⌫|
li amaismementquantcilqui	-||---------|----|--|--|
meffai tliali	------⌫|-||-|
crie m ercie il li ofritdreit	---|-⌫---||-|-|----|----|
auenan tpa rson preueire	------⌫|--⌫|--|-------|
oupa rson prosmesiil ad o ncn e	-|--⌫|--|-----|-|-|--⌫-⌫-|-⌫|
pardo ne por nien t	-----⌫-|--|----⌫|
dit lapaternostrequa ril	--|-|----------|---⌫|-|
demandet ad e	-------||-⌫|
sadampnation nonmie	-|---------|--|--|
sasaluatio nla ou	-|--------⌫|-|-|
silisereitmeilz tairequede preer	-|-|-----|----|----|--|-|----|
damerede ceuque il	-------|--|--|-|
aautre pardonersicum	|----|-------|-|--|
pardon ezdonquesaaut ruimaismeme nt	------⌫-|------||---⌫--|--------⌫-|
mercieiluosoffritdreitrai nab le	----||-|--|-----|----|---⌫---⌫-|
siuosuolez	-|--|----|
quedex uos pardointuoz peche z	--|--|--|-------|--|-----⌫|
quarsicumdex meisme s	---|-|--|--|------⌫|
dists egont lame sureque	---|-⌫----|-|--⌫---|--|
mes urez aau truise gon tic e le	---⌫---||--⌫---|--⌫---⌫|--⌫-⌫-|
remesurerailauos	---------|-||--|
nenosm eine	-|--|-⌫---|
entemptamentceu	-|---------|--|
estnesoffr e	--|-|-----⌫|
enemi cs nostempt	-----⌫-|--|----|
neque ilnos	-|--|-|--|
mein t amaup ar	----⌫||--|-⌫-|
temptament lid eables	---------|-|-⌫-----|
uait enuiron	---|------|
lec restie ne	-|-⌫------⌫||
cr estieneas sa ian t e temptantceu	--⌫------|--⌫--⌫---⌫||-------|--|
e st a ssaiela bonege nt	-⌫-|-⌫----|-|---|--⌫-|
siillespoira prendreil te mpt e	-|-|--|----|------|-|--⌫---⌫|
lesmoin es leschanoines	--|----⌫-|--|--------|
l e sherm itansle sre clu s lesc ler z les	-⌫-⌫|----⌫----|--⌫|--⌫---⌫|--|-⌫---⌫|--|
hommeslesfemmesles	-----|--|-----|--|
r i cheselespouresporeaus	-⌫-⌫---||--|-----|--|---|
traire ama u	-----||--⌫|
quarli saiues home lasaiue	---|-|-----|--||-|----|
suntignelement	---|---------|
trebuc héenpec heeli prod ome	------⌫--|-|---⌫-||-|----⌫-||
prodefemme	----|----|
deffend ent uertuos emen te	-------⌫--|-------⌫----⌫||
deli uren osdemaude	----⌫--|-⌫-|-|--|-|
quau maude	---|--|-|
toz maus da uma udau cors	--|---|--⌫|--⌫|--|---|
dauma u delarmedaumaudecest secl e	--|--⌫|-||---|--|--|-|---|----⌫|
dau maudel autre	--|--|-||----|
se cledaum au q ui estapelezpec he	--⌫--|--|-⌫-|-⌫-|--|-----|---⌫-|
daumau q u iest	--|--|-⌫-⌫|--|
apelezpeine ces tueire	-----|----||--⌫|----|
affer me tote sle s c hoses	-----⌫-|----⌫|--⌫|-⌫----|
quenosdemand omen	--|--|------⌫-|-|
lapaternost re	-|---------⌫-|
autr eta ntmontetcu m	----⌫---⌫-|-----|--⌫|
sinosdisiom	-|--|-----|
a dameredesir edex	|-------|---⌫|--|
u eraiementnos otroiestuquantqu e	-⌫--------|--|------|-|-------⌫|
nostauo m de mandéen	--||---⌫|--⌫-----|-|
p aternostreueirementseit	-⌫---------|--------|---|
saintifiezlitonsnonsue irement	---------|-|---|---|--⌫------|
auenge litons	-----|-|---|
regn esuer aiement	----⌫-|---⌫------|
sei tfaite la	---⌫|----|-|
uol untez enterre	---⌫----|-|----|
issicumele e st	---|--|--|-⌫-|
faiteon cel	----|-|--|
u erementno sdongest u	-⌫------|--⌫|-----|-⌫|
n os trepain	-⌫--⌫--|---|
dechascun iorhui	-|------|--|--|
uerementnos	-------|--|
pardongestunoz	--------|-|--|
me ffaiz si	--⌫----|-|
pardo no m	-----⌫--⌫|
ace ausqu imeffaitnoson t	|--⌫--|--⌫|------|--|--⌫|
uerement ne soffret uque	-------|-|-----|-⌫|--|
deablesnostemptama u fair e	------|--|----||--⌫|----⌫|
uerementnesofre	-------|-|----|
qu enosseiomtemptéanul	--⌫|--|----|------||--|
seio m deliuré	----⌫|-------|
lib onior del saintaduent nostre	-|-⌫-|--|--|----|-----|-----|
seignorqui	------|--|
hui entrentnos	--|------|--|
dem ostr ente nos am onestent que	---⌫----⌫--||--|--⌫-------|--|
si nos auo m	-|--|---⌫|
quisunt passécelescho ses	--|---|-----|----|---⌫--|
quenosnedeguis som	--|--|-|------⌫--|
oreeni cezs ainziors	--|-|-⌫--|-⌫---|---|
uenentfacommeil z	-----|----|----⌫|
e pluse fforceement uengom asainte	|---|-⌫----------|-----||-----|
igles e plusde uote me nt	-----⌫|---|--⌫----⌫--⌫-|
oi o mle seruise	--⌫-⌫|-|------|
da meredeplus	--⌫-----|---|
f acomaum osnesplus	-⌫---|---⌫----|---|
arbergompouresplu s facomd	-------|-----|---⌫|----||
autresa umo sn esedautres	-----|-⌫---⌫--⌫-|||-----|
bo nesoures quenos	--⌫--|----|--|--|
ne so liom	-|--⌫---|
s ain te tezdau tempsrequert	-⌫---⌫--⌫--|--|----|------|
l amendemen t deno zuie se	|---------⌫|-|--⌫|---⌫||
s inos faso mce uque	-⌫|--|----⌫|--⌫|--|
labontedautempsdemost re	-|----|--|----|------⌫-|
requiert nosserom	-------|--|----|
tuitleeioiousquar	---|-||-----|---|
dexuendr aiugerles ui s	--|-----⌫|----|--|--⌫|
morz qu arsi cum dit	---|--⌫-|-|--|--|
l asainteesc riptures i	-⌫|-----|---⌫------|-⌫|
dessebrerales	---------|--|
a ignea usdauschebres	-⌫-----⌫-|---|------|
peissonsdelamal uais eu e rm in e	-------|-|-|---⌫----⌫|-⌫-⌫--⌫--⌫|
lebon froment	-|--|------|
delamaluaiseiarcerie lograindela	-|-|-------|-------|-|----|-|-|
paille ceuest	-----|--|--|
lesbonsdausm ausles	--|---|---|-⌫--|--|
met tr aen sa	---⌫--⌫|-|-|
quantillordira	----|-|--|---|
uenezferail	----|---|-|
b en eitmo npere	-⌫--⌫--|--⌫|---|
receu e zlo	-----⌫-⌫|-|
regne quiu o se st	----|--|-⌫-⌫|-⌫-|
a ppare i llezd es lo com mencement	-⌫-----⌫-⌫---|-⌫-|-|---⌫--------|
daumonde lesm aus met traenen f er	--|----|--|-⌫--|---⌫--|-|--⌫-⌫-|
qua ntillor diraalez	---⌫-|-|--|---|---|
f erai lonfucdenf er	-⌫--|-⌫|-|--||---⌫-|
apparillezaudeableea ses	---------|-|-----|||--|
angre s bon es genz enc ontreicest	-----⌫|---⌫-|---|---⌫----|----|
gr a ntnos deuom	--⌫-⌫-|--|----|
apparillersa int ement	---------|--⌫---⌫----|
emaismement	|---------|
enc ontrelana tiuiten ost re	---⌫----|-|--⌫-----|-⌫---⌫-|
seignorquiuent queil ue augea	------|--|---|--|-|--⌫---||
nosuenir eennos	--|----||-|--|
par sagra cefaireson herberiagee son	--|-|---⌫-|----|--|---------||--|
es tagecertes si n ostresires	--⌫---|-----|-|-⌫----|----|
terriensueneit an osherberge rnos	-------|-----||-⌫-|--------⌫|--|
atorne ri omno s ostaus	------⌫--⌫-|--⌫|-----|
auplu s be auque nos	-|---⌫|--⌫-|--|--|
porriomuosen	------|--|-|
gete ri ezfor sl es ordures	----⌫--⌫-|---⌫|-⌫-|------|
maisonse les	------||--|
enbelerieza uplus	---------|-⌫|---|
que uosporriez	--|--|------|
atornomnoseappareillomnos	------|--||----------|--|
encontre lese i g n or	-------|-|--⌫-⌫-⌫-⌫-|
dauce au sainteme nt par repentance	--|--⌫-|--------⌫-|--|---------|
noz p echez p ar ueraieconf ession	--|-⌫----|-⌫-|-----|----⌫-----|
parsai ntepenancepa rb on e esperance	--|---⌫--|------|--⌫|-⌫--⌫|--------|
auerlo regne	---|-|----|
parde amerepar amerno s treprosme	--|-|---||--|---|--⌫-⌫--|-----|
par bones oure s	--|----|----⌫|
parsaintes prieresque	--|------|------|--|
quantuendraau	----|-----|-|
iordela n atiuitenostr e	--|-|-|-⌫------|-----⌫|
seignorqueildeigne ueniranos	------|--|-|-----|----||--|
e fairesonestageennos	|----|--|-----|-|--|
deme nom bo ne uiequequant uendra	----⌫--|--⌫-|--|--|----|-----|
auior da u	-|--|--⌫|
i uisequenos	-⌫---|--|--|
s eomreconté nonmieentrela	-⌫--|-------|--|--|----|-|
uermeneentrelaiarzerie	------|----|-|-------|
entrelap ailleent re les c hebresme s	----|-|-⌫----|---⌫-|--|-⌫-----|--⌫|
seiomreco nt éentreles	----|----⌫--⌫-|----|--|
bonspoissons	---|-------|
quisunt onrez	--|---|-|--|
nostreseigno r e ntrelo bon	-----|------⌫|-⌫---|-|--|
fromen t quiest en	------⌫|--|--|-|
s o ncha mptentre	-⌫-⌫|---⌫--|----|
le s bons g rains qui	--⌫|---|-⌫----|--|
eireentreles oail les	---|----|--|----⌫--|
f oucl i rez ceu estla	-⌫--|-⌫|--|--|--|-|
c hamp scest	-⌫----⌫||--|
cistmondes l airecestsainte	---|-----||---||--|-----|
i gleselifouc sc e st	-⌫----|-|----⌫||-⌫-|
lipoples issi	-|-----|---|
nos p e no md e ben	--|-⌫-⌫--⌫|-⌫|--|
faireed e benuiureenc est	----||-⌫|--|----|-|-⌫--|
t errien seclequenosen	-⌫-----|----|--|--|-|
p u isso m e stre dig ne	-⌫-⌫----⌫|-⌫---|---⌫-|
aueir l ebon	----|-⌫|--|
a peauelo beau	-⌫---||-|---|
donquenostre sires	--|--|-----|----|
d i ra edonera	-⌫-⌫-||-----|
nostresiresquinos	-----|----|--|--|
natu raumentueautquen os	----⌫------|----|--|-⌫-|
seiomgarni e atorne ́quan tuendra	----|----||------⌫|----⌫|-----|
aub e s oing au iorda u	-|-⌫-⌫-⌫---|-|--|--⌫|
iuiseeporceusi	----||--|--|-|
nos mostretq u aus	--|------|-⌫-⌫--|
ec umgranz	|-⌫-|----|
uendro ntaumundeau i ordauiui see	------⌫-|-|----|-|-⌫-|--|---⌫-||
quantnosoiomcum	----|--|---|--|
sunt gran z celesangoisse squi	---|----⌫|----|--------⌫|--|
suntda uant	---|--⌫---|
con uentquen os	---⌫---|--|-⌫-|
aiomp aorde	---|-⌫--|-|
celesquiu endrontapres	----|--|-⌫------|----|
quiuendron te qu i	--|-------⌫||--⌫|
seront maors	-----|----|
quar o nestnule	---|||--|---|
comp areisonsden uleang oissequ i	----⌫-------|-|-⌫--|---⌫----|--⌫|
seitonmundea uers	---|-|----|-⌫---|
celequisera a la findausecl ee	---|--|---||-|--|--|----⌫||
po rce unosditnostre	--⌫|--⌫|--|--|-----|
sireicelesangoisse s qui	---|-----|--------⌫|--|
aue ndro n t	---⌫----⌫-⌫|
q ue il no s	-⌫-|-|--⌫|
e spaontere gar nir	-⌫-------||---⌫--|
contrecelesqui	-----|----|--|
apres uendro n t q uar cedit	----|------⌫-⌫|-⌫--|-|--|
l i eua ngiles dequeenc el	-⌫|---⌫-----|-|--|-|-⌫-|
sera d auantloior	---|-⌫----|-|--|
da uiuisea u endrontsignese miracles	--⌫|----|-⌫-⌫------|-----||-------|
lunee onsesteileseenter re	---||--|-------||-|---⌫-|
gra nzpestilenced egent	---⌫-|---------|-⌫|---|
gran z angoissequarla merse lifloz	----⌫|-------|---|-|---||-|---|
d e la merse	-⌫|-|--|-|
debatront ausriuages e feron t si	--------|--|------||-----⌫|-|
grantn oiseque	----|-⌫---|--|
cheiron tdel apaorede langoissee	-------⌫|-|-⌫|---||-||-------||
delado l or	-|-|--⌫-⌫-|
quis oruend ra	--|-⌫------⌫-|
onmu ndequartot es les	-|--⌫--|---|---⌫-|--|
u ertuz daucel	-⌫----|--|--|
s e smoueronte enaprescedi t	|-⌫--------||------|-|--⌫|
no s tresire uen draen sa	--⌫-⌫--|---|---⌫--|-|-|
maes teensenble obles angres siardr a	----⌫-|-------|-|--|-----|-|----⌫|
lesuise lesmorza donc	--|--||--|---|-⌫---|
lagranzpaors	-|----|----|
granzangoisseecilquisero ntau	----|-------||--|--|----⌫-|-|
te mps dauandlo iuise quant	--⌫--|-----|-|----|----|
ilueirontlessi gnesquenostre	-|------|--|--⌫---|--|-----|
recompte en	-------|-|
leuangile duionsoleileenla lune	|-------||-|-|-----||-|-|---|
eon ses teiles	|--⌫|--⌫-----|
cumditlaseinte	--|--|-|-----|
escripturel i	---------|-⌫|
soleilzperdra sa clarte	------|-----|-|-----|
d euend rarogecomesanc	-⌫-----⌫-|---|---|---|
lesesteiles	--|-------|
cheir ontdaucel	-----⌫--|--|--|
qui se rontenicel	--|--⌫---|-|---|
temps quiser ontdauant	----|--|---⌫--|-----|
iuise iceuueiront	----|---|------|
aurontsi grant pa oresigrant	-----|-|----|--⌫-||-|----|
angoisse q ueil	-------|-⌫-|-|
cheiront de	-------|-|
lor e stant e	--|-⌫----||
se ficheront en tre les	-|--------|--⌫--|--|
roc he se quideront gandir en e	---⌫--⌫||--------|-----||-⌫|
poiront quecuidez uosdonc que	------|--|-----|--|---|--|
serade ceaus qu iseront	---|-|----|--⌫|-----|
auior dauiuise quau	-|--|--|----|---|
an goisseil	--⌫-----|-|
aurontquantil	-----|----|-|
u ei ront le	-⌫--⌫---|-|
mun dearderleselemenzf un d ree	---⌫-|----|--|------|-⌫--⌫-⌫-||
tr espasserpar la chal or def uc	--⌫-------|--|-|----⌫-|-|-⌫-|
qua nt ildauantlesangr ese da uant	---⌫-|-|-----|--|----⌫-||--⌫---|
l emun de r endront	-⌫|---⌫-|-⌫------|
raisonnonpassolementdel or	-----|--|--|-------|-|-⌫-|
delorpensees	-|--|------|
edaus segrez	|---|-----|
cuersq uar si cum	----|-⌫--|-|--|
dit lasain te	--|-|----⌫-|
e scripture	-⌫--------|
finda umundeuendraantecriz	--|--⌫|----|-----|-------|
eesterasi grantdolors	|-----|-|----|-----|
enterreiusque aice l temps enicel	-|----|-----||---⌫|----|-|---|
tempssi sera	----|-|---|
dau mondeengi gnez chasc u nspar son	--|----|----⌫---|-----⌫-⌫-|--|--|
p ec heenapresuendr anostre	-⌫--⌫-|------|-----⌫|-----|
si res si ardra totl e mund edont	--⌫--|-|----|--|-⌫|----⌫|---|
liprophetes	-|--------|
fuecsco npre ndra cedit da u idli	----|--⌫----⌫---|-|--|--⌫-⌫-|-|
prophet e stotlem o nt	-------⌫-⌫|--|-|-⌫-⌫-|
d au antles gardementde ihesucrist	-⌫--⌫--||--⌫--------|-|----|----|
en apre siu geracome	--⌫----⌫|--⌫---|---|
lesbonselesma userendra a	--|---||--|--⌫-||-----||
chascunsegon tceu qu il	------|-----⌫|--|-|-|
auradeseruili bon sen iront	---|------|-|--||-|----|
ensenbleon regnedaus	-------|-|----|---|
c euslimaus	-⌫--|-|--||
enirontensenbleen	-|----|-------|-|
pein e durable epor ceu	----⌫|------||--|--|
que nos tre	--|---⌫--|
sir esueautque	---⌫-|----|--|
facom t aus obres	----|-⌫--|----|
s eiomsegurde sa	-⌫---|----|-|-|
m is ericordeaui or	-⌫--⌫-------|-|-⌫-|
sinosmostre leua ngil ede	-|--|-----||---⌫----⌫|-|
an goissesquiuendr ont	--⌫------|--|-----⌫--|
au antque par lacremedecel esnos	--⌫--|--|--|-|----|-|---⌫-|--|
ato rno mc ontreceles	---⌫---⌫|-⌫----|----|
quiuendronta presornosatorno m	--|-------|-⌫---|-|--|------⌫|
appareillo m	----------⌫|
contrele grant be soigco ntre lodar re r	-----|-|----|--⌫---|--⌫---|-|---⌫--⌫|
iorquen osdonque s	--|--|-⌫-|------⌫|
puissomestreass egurdela	------|----|---⌫---|-|-|
misericordenostreseignor	----------|-----|------|
lauomnosdaus ord uresdenozcuers	----|--|---|---⌫---|-|--|----|
ed enozcors	|-⌫|--|---|
iceleschosesquides plaisen tade	-----|-----|--|---⌫-------⌫||-|
efacomtaus c hoses	|----|---|-⌫----|
oures qu i luiplacenteque	----|--⌫|--|------||--|
puissomsauerea uer	------|----||-⌫--|
la soegloire	-|--|-----|
lisainz euangiles d e nos	-|----|--------|-⌫|--|
qu em is sires sa inzi ohans	--⌫|-⌫-|----|--⌫--|-⌫----|
ba ptistesquanthero des loteneit en	--⌫------|----|----⌫--|-|-----|-|
laprisoneilsot	-|-----||-|--|
que il rece ur eitmortdauantla	--|-|----⌫--⌫--|---|-----|-|
nostreseignor	-----|------|
sienuo ia yy de sesdi ciples	-|----⌫-|-|-|--|--⌫-----|
n ostre seignorp orlui	-⌫----|------|-⌫-|--|
d emander siilparleimeismesuen dr eit	-⌫------|-|-|--|--|------|---⌫--⌫--|
en enferpor	-|----|--|
e porlesautres	|--|--|-----|
amics deliurerdaus	----|-------|---|
p ei nesdenferou siil	-⌫--⌫--||----|-|-|-|
enue ieroitaut re	----⌫-----|---⌫-|
queluiequ ant	--|--||--⌫--|
nostresires ot	-----|----|-|
r e s pondu	-⌫-⌫-⌫----|
au sdeciplesmon seignor saintiohan	--⌫|-------|--|------|----|----|
baptisteceuque l ui	-------|--|--|-⌫-|
alastes uosueer on	------|--|---|-|
desertalastesuos	-----|------|--|
l e roseauqueliuenzdemenaquant uos	-⌫|-----|--|-|---|-----|----|--|
alastesueer	------|---|
sa int i ohanba ptiste	--⌫--|-⌫---|--⌫-----|
ler oseauque li	-|-⌫----|--|-|
u enz demena	-⌫--|-----|
segnefielomaluaiscrestiencui	-------|-|------|-------|--|
deablesdema ine	------|----⌫--|
dauantseiasontala n tliroseaus	-----|--||--|----⌫-⌫|-|------|
baissedauantlo	-----|-----|-|
elimaluaishom obeist	|-|------|--|-----|
sili deablesliamoneste	-|-|------|-|-------|
esil iditua i si fai	|-|-⌫|--|--⌫|-|--|
le cherie d eton cors	--⌫-----|-⌫|--|---|
tar t li estqu	---⌫|-|--|-|
il lait faite si	-||--|----|-|
l ide ables li	-⌫|--⌫----|-|
amo neste e	---⌫----||
li dit pr est ea	-|--|--⌫---⌫||
u sur ei l ou	-⌫---⌫|-⌫|-|
au plu s tostqu	-|---⌫|---|-|
ilpue tissi	-|---⌫|---|
es til detoz l es autres	--⌫|-|-|--|-⌫-|-----|
pechez i gneaus	-----|-⌫-----|
oul ideable sle	-|-⌫|------⌫|-|
ueauttrebuchertartl i	----|--------|---|-⌫|
estt o t e ueesdesquelideables les	--|-⌫-⌫-⌫|---|-----|-|------|--|
as pireque	--⌫---|--|
enz ede denzseisiestnuz d e	--||--⌫---|--|-|--|--|-⌫|
toz bienssi cumliro seaus	--|----|-|--|-|--⌫----|
q uiestcrousdedenz eluzanz	-⌫-|--|----|-----||-----|
