etmo utgrantnoise demen oient	-|--⌫-|----|----|-----⌫----|
riens quiuiu e	----|--|---⌫|
tant d o lente ne tantche itiu e	---|-⌫-⌫----|-|---|---⌫----⌫|
queien esoieplus	--|-|-⌫|---|---|
riensqui uiuene m atalent e	----|--|---|-||-------⌫|
conques nulio ursan zmal nefui	|-----|--|--⌫-|---⌫|--|-|--|
ainssimaleure use	-----|-------⌫--|
negene uiuraiiame snu it	-|-|-|-----|----⌫|--⌫-|
forsseulementc el ede nnuit	---|--------|-⌫--⌫||-⌫----|
ne iourforsc eluide demain	-|---|---|-⌫---|-|-----|
ociraid e mamain	-----|-⌫|-|---|
deyycenzcheualierseslis	-|-|---|---------|----|
doncestchastelest oitga rnis	--|---|------|---⌫--|--⌫---|
remesquecinquante	----|--|--------|
ettro isetyy mainsdequaran te	-|---⌫-|-|-|----|-|------⌫-|
