cefu eltans carbre	-|-|-|---||----|
sisendormi auqu espartens	-||------|----⌫-|--|---|
q u i lnef u en	-⌫|-⌫|-|-⌫|-|
soi ngneen pens	---⌫-|-|-|---|
maisi ln e	---|-⌫|-⌫|
sauoit n ule	-----|-⌫--|
quie nlauile est fort enclose	--|-⌫|-|---|--|---|------|
cildortetlapuc elepense	--|---|-|-|---⌫--|----|
a enli nu lede sf ense	|-|-|--⌫-|--⌫--⌫---|
d uneba tallekila ssau t	|--|--⌫----|-||-⌫----⌫|
moutsedegete mouttresau t	---|-|-----|---|------⌫|
moutsetorne mou tse	---|-|----|---⌫|-|
manteldes oi etante ngraine	-----|-|-⌫--⌫|---|-⌫|-----|
aafubl e ́sour	|-----⌫-⌫|---|
sis esten auent ure	-||--|-|-----⌫--|
comm e hardie etco rageuse	----⌫|-----|-|--⌫------|
maisce nestmie porwiseuse	---|-||--|--|--|------|
ainsse porpense	---|-|-------|
qu ele ira	-|--|--|
aso n ostese lidira	|--⌫|---|-|-|---|
d esonaf faireun epar tie	-⌫|--|--⌫----|--⌫|---⌫--|
lors sestde sonli tdepar tie	---||--|-|--|--⌫|-----⌫--|
e tissuefor sde sacambre	-⌫|----|---⌫|-|-|-----|
sa telpaorque tu itlimambre	||--|---|--|--⌫-|-|-----|
litr ambloien tlicors li sue	-|--⌫--------⌫|-|---|-|--|
p loran testde lacambre	-⌫-----⌫|--|-|-|-----|
et uin t au lit u c issedort	-|---⌫|-|--||-⌫-|-|---|
etpleur eet	-|-----⌫|-|
sospiremou tfor t	------|---⌫|---⌫|
si saclinesi s agenolle	-||-----|-||-------|
et pleuresiqueleli molle	-|-----|-|-|--|-|----|
armes t otela fac e	----|-⌫--|-|---⌫|
naharde men t qu eplus	||-----⌫---⌫|--⌫|---|
t antaploré	-⌫--||-----|
quecilse suelle	--|--||-⌫-----|
esbahist mout ameruelle	-------|---||-------|
desafacequil a m ou llie	-|-|---|-|-||-⌫--⌫---|
etuoit celiaienou llie	-|---|---|------⌫---|
deu antson litkiletenoit	---⌫--|--|--|-|-|-----|
pa r le col	--⌫|-|--|
e mbraciétestr oit	-⌫--------|----⌫--|
etdec ou cortoi sie fist	-|-|-⌫-|------⌫--|---|
queentresesyybras leprist	--|----|--|-|---|-|----|
maintenantet u ers luiletraist	---------|-|-⌫--|--|-|-----|
distbelequeuo usp la ist	---|---|--|--⌫-|-⌫--⌫--|
estesuenuechi	----|----|--|
ha g e ntiusch eualiersmerci	-|-⌫-⌫----|--⌫-------|----|
pordieu uosproi et	--|---|--|---|-|
porso nfil	--|--⌫|--|
nemete nésporuil	-|-|--⌫---|--|--|
decequeiesuici	-|-|--|-|--|-|
p orce que iesuipres quenue	-⌫-|-|--|-|--|----⌫--|--|
ien ipensaio nques	-|||-----|-⌫----|
ne ma uestieneuil ounie	-|--⌫-----|-|---⌫----|
quilnaelmont	-|-|||-|---|
deriensquiu iue	-|----|--|-⌫--|
tantdol ante netantcaitiue	---|---⌫---|-|---|------|
queiou ne soie plus	--|--|-|---|---|
ri enske i aie ne	--⌫--|-||--|-|
m atalente	|-------|
conqueszziorsansm a l	|-----|-|--|---|-⌫-⌫|
comme male ureusesui	----|----⌫-----|--|
ne ieneuiuraiiamaisnuit	-|-|-|-----|-----|---|
quese ule ment cele	--|--⌫---⌫---|---|
neior quecel uide demain	-|--|--|---⌫-|-|-----|
a ncois m ociroiede main	-⌫----||------|-|---|
de yy censc heualiersetd i s	-|-|---|-⌫--------|-|-⌫-⌫|
dontciscasti aus e stoit	---|--|-----⌫--|-⌫----|
caiensremes queyy	-----|----|--|-|
et yyet dismains de	-|-|-|--|----|-|
