Quel par tque	---|---⌫|--|
E ngleis suntn os treaduersaire	-⌫-----|---|-⌫--⌫--|---------|
Denozterr es	-|--|----⌫-|
nusuntgetéE denozfieus desherité	--|--|----||-|--|----|---------|
Nussumes eauum	--|----||---|
Cristïensdecristïens né Ecil sunt	---------|-|---------|--||--|---|
depaenegentEcunue rtisuntnouelment	-|----|---||-----⌫--|---|--------|
Desdein gnussemblë euilchose	-------⌫|--|------||--|----|
Nenu l sdenusl oerne l	-|--⌫-⌫|-|--|-⌫--|-||
Que ac eluiseium	--||-⌫---|----|
Kid ec elssaluer	-|-⌫|-⌫--|-----|
s entremet	|-------|
K i de noz fieus c hacié	-⌫|-|--|----|-⌫-----|
nusuntEennozfieusrem anantsuntEt uit	--|--||-|--|----|---⌫----|---||-⌫--|
no streenemi	--⌫---|----|
Engleissuntcunu er ti E ki od els	------|---|----⌫--⌫-||-|-|--|
unt cumpaignie	--|---------|
parçonerie	----------|
Augusti nn ipot	-------⌫|||--|
plusprend r e	---|-----⌫-⌫|
Ne ne lur po tfaireelent endre	-|-|--|--⌫|----|-|---⌫----|
Ald eberdlemustraE c ilforment	---⌫----|-|-----||-⌫-|------|
sen desdei gna	|-|------⌫--|
Aldebert esteit reisde	-------|-----|---|-|
Elfridmandau nsunpa rent	-----|----|-⌫|--|--⌫---|
N ort humberlandeertreis	-⌫---⌫----------|--|---|
Cilasemblerent	--|----------|
L ur amiselu rhumestu z	-⌫-|---||--⌫|----|--⌫|
Kiplusfortere nte pluspruz	-|---|---|---⌫-||---|---|
Dyonotlabbe ́E les mo inesdela	-----||----⌫||--|--⌫---|-|-|
autr ec ler giéensement	----⌫|-⌫---⌫---|-------|
uolentdestruiremor telment	-----|--------|---⌫------|
K inelurportentreue rence	-⌫|-|--|------|----⌫----|
Ne neuuelentobedienc e	-|-|------|--------⌫|
Fair el urneprofes siun	----⌫|-⌫-|-|------⌫---|
Forsalpre la tde	---|-|---⌫--⌫|-|
A ugustinunt refusé	-⌫------|--|------|
P ur h untedels e	-⌫-|-⌫---||--||
puruil té	--|---⌫--|
Cheuali ersegeldesmandere nt	-------⌫--||-----|-------⌫-|
Leïrc estresasemblerent	------⌫----||----------|
Par l auoleienttrespasser E	--|-⌫|-------|---------||
Guales entrer	-----|-----|
Brochinallacitéteneit	--------|-|----|-----|
Quensertedes	----|--||--|
Bre tunsesteit	---⌫---|-----|
Ma nde ́ot quanque	--⌫---⌫|-|------|
mander pot Eas	-----|--||-|
Engleiscunt reste r u olt	------|----⌫|----⌫|-⌫--|
Engleissetindrent forment	------|-|-------|------|
Des cunfizfudkarp o iot gent	---⌫-----|--|--|-⌫-⌫|-|---|
Deseshumeso tgrantdamage	-|--|----|-⌫|----|-----|
Sis enfui ̈enunboscage	-||-|---⌫|-|-|------|
Libonhe rmiteeli	-|--|--⌫----||-|
E li r eligius chanuine	|-|-⌫------|-------|
B an gor meïsmemen t	-⌫--⌫--|----------⌫|
Erentuenuc ommunement	----|---|-⌫---------|
Leï rce streE celskimeistredurent	----⌫---⌫---||---|-|------|-----|
celpuepleedelcle rgi e ́ Eüs sentmenai e epit i é	--|-----||--|---⌫---⌫-⌫|----⌫---|-----⌫||---⌫-⌫-|
Lih um ederel igi un	-|-⌫--⌫|-|---⌫---⌫-|
K i neuoleientsibien nun	-⌫|-|-------|-|---|--|
H e rm ite moi neclercuila in	-⌫-⌫--⌫--|---⌫-|----|----⌫-|
ge nte citheein	--⌫-||-------|
Kisaloentatapis s ant	-||-----|------⌫-⌫--|
Deplusurslie usuind re n t auant	-|------|---⌫-|----⌫--⌫-⌫|----|
Plusursnu s piez	------|--⌫|---|
plusurs en	------|-|
Querremerciasgen zestr anges	-----|----|-|---⌫|----⌫----|
Cil furent cruelefelunE o rgu illus come	--|-----|----||----||-⌫---⌫----|---|
De çodunt illedesuseurent	-|--|---|-|-|----|-----|
firent queilpe uren t	-----|--|-|--⌫----⌫|
Deusquel dol ur	---|---|---⌫-|
Deu s quel	---⌫|---|
pechié N eneu rent pasgr einurpitié	------||-|--⌫---|--|--⌫----|-----|
Quelusf amei ll usde b erbiz	--|--|-⌫----⌫--⌫-|-|-⌫----|
Multenfirentg rant tuei ̈z	---|-|-----|-⌫---|----⌫-|
Dousm i lliersedous cente npri stren t	---|-⌫-⌫-----||---|---|-⌫|---⌫-----⌫|
Sisdecolere nt	--|--------⌫-|
e oc istrentN ene stmoine neclerc	|--⌫------||-|-⌫-|----|-|----|
Martirsfirentdes cumfessors	------|-----|--|---------|
Puis uoldrent	---|-------|
Ban g or aler	---⌫-⌫-|---|
Citédestruireegenttue r	----|--------||---|---⌫|
Gualeiskil	------|-||
Gran t asembl ee	----⌫|------⌫-|
encontrels fi rent	------|--|--⌫---|
Enlaterreaueittrei sbaruns	-|-|----|----|----⌫|-----|
Kieren tsei gnu r des	-|----⌫|---⌫---⌫|--|
Des al tr es esteientse ignur	--|--⌫--⌫-|-------|--⌫----|
Kar plusforte rent emeillor	--|---|---|-⌫---||------|
Ble dri c de	---⌫---⌫|-|
Cornuaillee rtsireE site ne it	---------|-⌫-|---||-|--⌫--⌫-|
D eu enesire	-⌫--⌫------|
I s sic umle wed	-⌫-⌫-|-⌫-||-⌫-||
Delafunteineuelesurt	-|-|-------||--|---|
Desquenla meru eldescentÇo	--|-|-|-|--||-|------|--|
Bretunlungement	-----|--------|
Adelstanquantil	-------|----|-|
Tambrelesesluina	-----|--|------|
Chatwa n este it reisd e	------⌫|----⌫-|---|-⌫|
Northwales E	---------||
Marg adudreisde	----⌫---|---|-|
Su thw ales	--⌫---⌫---|
Tutes teit luriesquen	--|--⌫---|--|----|-|
Kilez le m untcurt	-|--|-|-⌫--|---|
Aed elstantant	---⌫-----|---|
lesdestr einst	--|-----⌫----|
Que ul tre	--|--⌫--|
W aielesenpeinst	-⌫--|--|-------|
C heualiers egeldes	-⌫--------||-----|
Cil kid esaltressei gnurerent	--|-|-⌫-|-----|---⌫---|----|
Pa r grant ir eepargrantuertud	--⌫|----|--⌫||--|----|-----|
Seisnes a sailli rent Ecil	------|-⌫------⌫---||--|
formentles r ecuilli r ent	------|--|-⌫-------⌫-⌫--|
Elf ri dfudse m p resnafrezE fuiant est delc hampturne z	---⌫--⌫|--|--⌫-⌫-⌫--|-----||-----|--|--|-⌫---|-----⌫|
Mes merueillesi ot ocis	--|---------||-|---|
D esa gent e	-⌫|-|---||
desesa mis	-|--|-⌫--|
Ocis fuden celebata ille	---|--|-|---|----⌫---|
Bledr iclicu ensde	-----⌫-|-|--⌫--|-|
Cornuaille	---------|
Dun cse s unt	---⌫|-|-⌫--|
BretunasembléA	-----|-------||
Leïrces tresuntalé	--------⌫--|---|---|
Cadwankisauanter t	-----|-|-----|--⌫|
Firent reipar lelosd etuz	-----|--|--|-|--|-⌫|--|
Cilad tuz mandez	--|-|--|-----|
Se rianz cheual iersebaruns	--⌫----|------⌫---||-----|
Englei skilescunt ezteneientE reisap ele rse	------⌫|-|--|----⌫-|-------||---|--⌫---⌫|-|
Sunttuit a samer ci u enu	---|---||-|---⌫-|-⌫--|
Esihumesuntde uenu	|-|---|---|--⌫---|
Pui sdistquilpassera l e	---⌫|---|-|-|------|-⌫|
S egen tplusf ierene l e ncumbre	-⌫|---⌫|---|-⌫---|-||-⌫------|
N orthumber landedestruiraEla	-⌫---------⌫----|--------||-|
genttute enchacera	---|---|-|------|
Elfridseillatent	-----|-|-||----|
Sipar f or cenesedefent	-|--|-⌫--⌫-|-|-|-----|
Pre ndraen ch a mpuo cira Uu ifle	---⌫---|-|--⌫-⌫-||-⌫---||-⌫-|-|
deseritera	---------|
Elfri doï	-----⌫|--|
que i luenei tE	--|-⌫|-----⌫||
lesma nacesquil	--|--⌫----|-|-|
Man daamismandap arenz	---⌫-|---|----|-⌫----|
Mand aseshumes	----⌫|--|----|
Engleism anda	------|-⌫---|
Kiguerre auei entas	-|-----|----⌫--|-|
Grant f udlipueplesdamb es par z	----|-⌫-|-|------||---⌫-|---⌫|
Que dehardizquedecuar z	--|-|-----|--|-|----⌫|
Ligentilh um e del	-|-----|-⌫--⌫|--|
Kid ambesparzo rentamis	-||----|---|-⌫---|---|
ui rentle mal kin auendreitEla perteki grant	--⌫---|-|--|--|--------||-|----|-|----|
Seliduirei	-|-|--|--|
secumbateient	-|----------|
Kisigriefm en t s	-|-|------⌫--⌫||
entrehaeient	-----------|
T an t unt dun reial	-⌫--⌫|--||-|--|||
altre alé	----|---|
c u nseilliéepa rlé	-⌫-⌫--------||--⌫---|
Lesreisfi rente n tracorderEpar	--|---|--⌫---|-⌫-⌫-|------||--|
ostagespai sfermer	------|---⌫|-----|
telesg uart	--|---⌫---|
Que c hascunsdelsen ait sa	--|-⌫------||--|-|--|-|
pa rtEcha scuns fe ial	--⌫-||---⌫----|--⌫|||
altre por t	----|---⌫|
Elfridai tdesle	-----|--⌫|--|-|
Humbr eennort E	-----⌫|-|---||
Chatwan ait d el	------|--|-⌫-|
Humbreensu	-----|-|-|
Issi untpaisentr elstenu E e ntr	---|--|---|---|--|---||-⌫--|
p u ist elamur	-⌫-⌫-|-⌫-|---|
i pot auerg rein u r	|--|---|-⌫----⌫-⌫|
Lu r aue irsm istrentencommun	--⌫|---⌫--|-⌫------|-|-----|
Tuti ert as	--|-⌫--|-|
doust utert	---|-⌫-|--|
Greinuramu ra ue rne	------|---⌫|-⌫--⌫|-|
Fem mes pr istre nte enfanz	---⌫--|--⌫-----⌫-||-----|
D ous fiz o rentauntermine	-⌫--|--|-⌫---||-|------|
Elfri d ot nun	-----⌫|-|--|
Chadwalleinle	----------|-|
Anduifurentnezen u n an	----|-----|--|-|-⌫|-|
Purl amur des per esga rd erEpu r les fiz	--||---|--|---⌫-|--⌫--⌫-||--⌫|--|--|
f a ireent ramer	-⌫-⌫--|---⌫|---|
fizensemb le mis	--|------⌫-|--|
Ens em blenur rieaprisD	---⌫--⌫--|---⌫-||----||
u n eguisefur entchalcié	-⌫-⌫|----|---⌫--|-------|
Edune guiseappa raillié	||--|----|----⌫-------|
Quantil porentbi en cheualchier	----|-|-----|--⌫-|----------|
Escuz porterlances	----|-----|-----|
b ailli er	-⌫-----⌫-|
Cheuals bi enp u indreebien tenir	------|--⌫-|-⌫-⌫----||---|----|
Espe estraire e	----⌫-|-----||
Cheualier f ure ntfai t ensemble	--------|-⌫---⌫-|---⌫|-------|
Arm or ichec ̧omesemble	---⌫--⌫---|-⌫-|-|-----|
Chadwanmene rEla	------|----⌫||-|
lur f is tarme sdu n er	--|-⌫--⌫|----⌫|--⌫-⌫-|
Kar siparent	--|-|-----|
ki la maneie nt	-|-|------⌫-|
Br etun nez	--⌫---|--|
Bre tuneste ient	---⌫--|----⌫---|
Quan t lipere	----⌫|-|---|
furent fin éE decest siecletres passé	-----|---⌫-||-|---|-----|----⌫-----|
Chasc undesfiztint s	-----⌫-|--|--|---||
Do usanz untpuisamisesté E dousanzunt	--⌫-|--|--|---|---|----||---|--|--|
lamurtenue	|---|----|
Quel ur duipereor enteüe	--|-⌫-|--|---|--⌫--|---|
Edwinetintdel	-----|---|--|
Humbr e en	-----⌫|-|
C hadwaleindel	-⌫--------|--|
Humbreen ça	-----|-|--|
Chadwaleinotplus asez	---------|-|---|---|
C haste lse uiles e	-⌫-----⌫-||----||
Queli reis	--|-|---|
Edwine n en ot	-----||-|-|
Curunersefistquantiluolt	------|-|---|----|-|---|
Granzfestesegranzcurz teneit E	----|-----||----|---|-----||
noble me nt se cunteneit	-----⌫--⌫-|-|--------|
Edwinelipreiaequist	-----|-|----||----|
Quilotre ias tecunsentist	-|-|----⌫---⌫||---------|
Que il peüstestres acrezEben eïze	--|-|-----|----|-⌫----||---⌫---||
Humbreu il	-----||-|
Humb reesteit	----⌫-|-----|
Cildistqu il s en cunseillereitE	--|---|-|-||-|------------||
gentenparle r eit Eço	---|-|-----⌫-⌫--||--|
quel um len loereit A b rief	--||-||-|------||-⌫---|
term e lir espu ndr eit	----⌫|-|-⌫----⌫---⌫--|
Deiuste l ewe de	------||--|-|
DuglasSentreuindrent auntrespa s	-----||------------||-|------⌫|
chose purue eir	----|-----⌫--|
Cumelpeüstplusbel seeir	--|-|-----|---|--|----|
Asdous riuesdel	-|---|----|-||
ewef u rentEpar	--|-⌫-⌫---||--|
m essa gespar lerdurent	-⌫----⌫--|---⌫--|-----|
Endementier sq ueli message	-----------⌫|-⌫-|-|------|
Li plus uielhum eeli	-|---|---|---⌫||-|
p lus sage	-⌫--|---|
D elu nr eial	-⌫||-⌫|-⌫-|||
altr epassoent	----⌫|-------|
Ki le s cunseil zentrels portoe nt	-|--⌫|-------⌫|---|--|------⌫-|
Ch adwaleindescendi	--⌫-------|-------|
Sumeil otgrant sisend ormi	-----|-|----|-||---⌫---|
Sun chiefli tint s isniés	--|----|-|---|-⌫-|----|
Ki multertiri eze	-|---|--|---⌫-||
Aedwineço req uer eit	------|--|---⌫---⌫--|
Queu n quesmaisestén	--|-⌫-⌫---|---|----||
Decuruz ede marreme nt	-|----||-|-------⌫-|
S uspiramult	-⌫-----|---|
pa rf undement	--⌫--⌫-------|
Mult suspi ra	---|-----⌫-|
emult emfla	|---|----|
Esp esse mentdesoi lzler ma	---⌫----⌫---|--|--⌫-|---⌫-|
Luch i eflurei e nfudmuidliez	-|--⌫-⌫-|-|--|-⌫|--|-------|
esueil liez	------⌫---|
asun c hiefleuee	|--|-⌫---|----|
Sa facetrouaaruse e	-|---|----|-----⌫|
Dunc prist	---|----|
Brien are gard e rE	----||--⌫----⌫-⌫||
Brienescrieu ea plurer	----|-------⌫||-----|
Briendist lireisq ueastu	----|---|-|---|-⌫-|-|-|
Purquei pluresquastueu ̈	--|---|-----|-|-|-|--⌫|
S ir e d istil	-⌫--⌫|-⌫--|-|
iol uus dirrai	--|--|-----|
C urusciezsuiegrant doelai	-⌫-------|--||----|---|-|
Queennostrete nse	--|-|-----|--⌫-||
Dunt sui dolenze	---|--|-----||
c urus çus	-⌫----⌫---|
Adcesteterrehon ur	-|----|----|---⌫-|
Granthunte nuses t auenue	----|----|--|--⌫|-----|
Dousreis curunez uo lez	---|---|------|--⌫--|
fai reAmalc hief	---⌫-||--|-⌫---|
en puissiez	-|-------|
uus trai re	--|----⌫-|
reis sotte nir	---|--|--⌫--|
Edunt lumdeit	|---||-|---|
unrei s erui r	-|--|-⌫----⌫|
Lireis pur çoq ue	-|---|--|--|-⌫-|
Briensd ist	-----|-⌫--|
L otreiquilaue it fait	|----|-|-|---⌫-|---|
Edw inefier ement	---⌫--|----⌫----|
Mandaqu i l nelfer eitneie n t	----|-|-⌫|--|---⌫--|----⌫-⌫|
Karlibarun lecunt r alient	--|-|----|-|----⌫-⌫-----|
Cuntr e raisunse rre itçodientE cuntredreit	-----⌫|-----|--⌫---⌫-|--|----||-----|----|
e cun t r elei	|---⌫-⌫-⌫|--|
Q ue ç oquedeite streaunrei	-⌫-|--⌫|--|---|-⌫---||-|--|
Se itpartieadous	--⌫-|----|||---|
S iquechascuns	-⌫|--|-------|
s eitc urunez	-⌫--|-⌫-----|
Neuoltlu regneretail lier	-|---|-|----|------⌫---|
Nesa dignitéabe issier	-|-|-------|---⌫-----|
Edwineki org uillusfu	-----|-|---⌫-----|-|
Irïementad	--------|-|
cungi énenque rra	-----⌫-||-|---⌫--|
S enz cungi é	-⌫--|-----⌫-|
securunera Ealtretelfranc hi seaura	-|-------||-------|-----⌫--⌫-|---|
re gnecumil	--⌫--|--|-|
C hadw aleindistsil	-⌫----⌫----|---||-|
curune litoldrei t	-----|-|-------⌫|
Lechiefouocli	-|----|---|-|
abatreit Ecil	-------||--|
d ist ç oqu i l	-⌫--|--⌫|-|-⌫|
ne l cre meit	--⌫|---⌫---|
Iss i suntpar maldep artiEc hascunsadl	---⌫|---|--|--|---⌫---||-⌫------|-||
a utrehai ̈	-⌫---|---⌫|
Chascu ns sota	------⌫-|--||
lalt remalgr é	|---⌫-|--|--⌫-|
Chascu nadl au tredesfié	------⌫|-||--⌫--|------|
Edwine fu d	-----|--⌫|
Mu ltfuemfleze orguillus	--⌫-|-|-----||--------|
Deçoquilpri eore	-|--|-|-|---⌫|--|
Serrapreiez iesqua petit	----|-----|----||----|
Es uusesmeü elague rre Eaeissilmise	-|--|------⌫|-|---⌫--|||-----|---|
Tuitli plu surse ntreguereient	---|-|---⌫--||-⌫------------|
Te rressaisissen t uilespr eient	--⌫---|---------⌫|----|--⌫----|
Ch adwaleingrantost as embla	--⌫-------|----|--|--⌫----|
Humbreuintlewepa s sa	-----|---||--|--⌫-⌫-|
N orthumberlandeuo lt guas ter	-⌫-------------|--⌫-|----⌫--|
Edwi nedeseriter	----⌫-|--------|
Edwine fud d egrantc urage	-----|--|-⌫|----|-⌫----|
Ne uoltfuïrp ur nul damage	-|---|----|-⌫-|--|-----|
Seie s aterre uoltdef en dre	--||-⌫|----|---|---⌫--⌫--|
Nedeignapaisn e tr iewes prendr e	-|-----|---|-⌫|--⌫----|------⌫|
Cadwaleincheualch a	--------|--------⌫|
edesbaret aE	|--------⌫||
Chatwale ins	--------⌫-||
enuolt al erEensaterrereturner	-|---|--⌫-||-|-|----|-------|
Edwine de uantl uiuint	-----|--⌫---|-⌫-|---|
Kil aue ie lic lostetint	-|-⌫|--⌫-|-|-⌫---||---|
Ch adwaleinfuï aillurs	--⌫-------|---|------|
Parboscagese par t resturs	--|-------||--|-⌫------|
E scoce fuian t	-⌫----|-----⌫|
E dwine emprésl	-⌫----|------||
al a dq uerant	--⌫-⌫|-⌫-----|
Grantpeineegrant trauai l	----|----||----|------⌫|
I rlandepasserlestut	-⌫-----|-----||----|
Yrla ndelereçutEhenura sicum il dut E	----⌫--|-|-----||-----|-|--|-|--||
Edw ine ki fu remés	---⌫--|-|-|-----|
ne potateindre asnés	-|--|-------|-|---|
Ch adwaleinsai s i	--⌫-------|---⌫-⌫|
Cha stels destruis ttursabati	---⌫----|--------⌫|---|----|
Terres purpr istcit e z g ua s ta	-----|-----⌫--|---⌫-⌫|-⌫--⌫-⌫-|
Humes raïnstuilespreia	----|------|----|----|
Bri enlifudenditeeA	---⌫-|-|--|------||
uire cestrelad troueeA	----⌫-----||-|-----||
Eue rw ic lafi stmener Een sachamb re	---⌫--⌫-|-|--⌫-|----||-|-|-----⌫-|
iluecguard er	----|-----⌫-|
Nesa ikiliot	-|--⌫|-|-|-|
Pellizu nc lerc d	-----|-⌫|-⌫---||
Espainené	------|--|
Ki multesteitdegrantclergieE	-|---|-----|-|----|------||
mults au eitdastron omie	---|-⌫--⌫--||------⌫---|
Alcursdes esteiles luisan z	-|---|--|-------|------⌫|
Ealuoldesoiselsuo lanz	|-|--|--|-----|--⌫---|
Les auenturescunissei t	--|--------|--------⌫|
Deço dunti l	-|--|---|-⌫|
s entre meteit	|-----⌫-----|
Nepo eit rien	-|--⌫--|---|
Cadwaleinf aire Nésa sembler	--------|-⌫---|---|-⌫------|
at r air e	--⌫-⌫---⌫|
Queli deuinsn aparceüst E que	--|-|-----||---------||--|
Edwine nel seüst	-----|--|-----|
Suu ent appar eilla na uie	---⌫--|-----⌫----|--⌫--|
Esuuentotgrantcompainie	|-----|-|----|--------|
Suuentsemistsiglante nmer	-----|-|---|------|-⌫|--|
porz u oltariu er	---|-⌫--|----⌫-|
E dwine d euant ueneit	-⌫----|-⌫----|-----|
Kilaterre li defende it	-|-|----|-|-------⌫-|
K arlideui nstutdeuinotU eq uant	-⌫-|-|----⌫-|--|------|||-⌫---|
ariuerquidot	-----|-----|
Chad w aleinot gra nt marremen t	----⌫-⌫----|-|---⌫-|--------⌫|
Qu e returne ́fudt antsuuent	--⌫|-------⌫|--|-⌫--|-----|
Des a terr el orentsiewi	-|-⌫|----⌫||----|----|
Serianteparent e ami	------||-----||--|
Guer p ies oren tlipl usur	----⌫-⌫--|----⌫|-|--⌫---|
LureritezpursueamurAcels	--|-----|--|--|---||---|
di st qu en	--⌫-|-|-|
Bretaineirreit	-------|-----|
Sa lomunparlereit	--⌫----|--------|
Anduierentdunpa re nté Ec ill	----|----||-|--⌫--⌫---||-⌫-||
aueitsuuent mandé	----|-----|-----|
esteitde grantpoeir	-----|-|----|----|
Queno itqueiorqu emein quese ir	--|--⌫-|--|--|--⌫|---|--|--⌫-|
U ntta n t	-⌫-|--⌫-⌫|
curu etantsigléA	---||---|-----||
Gernerui suntariué	-------|---|-----|
Un isleuerss oleil cu lchantÇoqui	-|---|---|-⌫----|--⌫-----|--|--|
q uedi locenauan tNadaltre	-⌫-||-⌫--|-|----⌫||-|----|
g en tma ine	-⌫--⌫|--⌫--|
Cornuai lle e	-------⌫--||
Bretaine N orent guairesenlidl e	-------||----|------|-||---⌫|
Li re is chaï en e nferte ́	-|--⌫-|----|-|-⌫------⌫|
M aladefud de fieur ea gue	-⌫----|--|-|-----⌫|-⌫--|
D un tcilre turnekibi ensue	-⌫--⌫|--|--⌫----|-|--⌫-|--|
De u eneisun	-|-⌫------|
otdesirier	-|-------|
Nulalt re char nepo tmangier	--|---⌫-|---|-|--⌫|------|
Brienapelé	----|-----|
Preiéliad	-----|-|-|
ec umandé	|-⌫------|
Quechardeuene isunli quie re	--|---|-|----⌫---|-|----⌫-|
Ne lic hail le dequelm anier e	-|-|-⌫----⌫-|-|---|-⌫-----⌫|
Ianeuendraaguaris un	-|-|-----||------⌫-|
Siilnadchardeuenei s un	-|-||-|---|-|-----⌫-⌫-|
Brienfuddelrei an guissus	----|--|--|--|--⌫------|
De luiguarirfuddes irus	-|--|-----|--|---⌫---|
G arço ns apel aeuadlez	-⌫-----⌫-|----⌫||-----|
L eu riers fistmener ebrach ez	-⌫--⌫----|---|----||-----⌫-|
Quistrentualeesquis trentplaines	--------|-----|----⌫----|------|
Quistrent falei se se muntaine s	--------|-----⌫--⌫||--------⌫|
Tute laterreaui ru n eren t	---|-|----|---⌫--⌫-⌫----⌫|
Unc cer f nebissene	--|---⌫|-|----|-|
tro uerent	---⌫-----|
Ne daimne lieuren ech eurol	-|---|-|-----|-⌫|--⌫----|
Brien multgr antdol	----|---|--⌫--|--|
Quan t uit	----⌫|--|
un cles mureit	--⌫---|-----|
Pu rueneisun qu e il n aueit	--⌫|-------|--⌫|-||----|
Neil neset u illatroisse	-|-|-|--||-|-|------|
trencha desaquisse	------|-|-|-----|
Larderle fiste b ien rostir	-----|-|---||-⌫--|-----|
Pu islefist asun	--⌫-|-|---||--|
uncle offrir	----|-----|
Nesai selir eisengusta	-|--|-|-|-⌫--|-|----|
M esil gu ari	-⌫-|-|--⌫--|
e trespassaE desqueilpotsusleuer	|--------||--|--|-|--|--|----|
Sesn efs f istm ettrë a	--|-⌫--|-⌫--|-⌫-----||
Kidal et ariuadr eit	-----⌫-|----|--⌫--|
cel ten scitées teit	--|---⌫|----|--⌫---|
l amarin e	-⌫|-----⌫|
Encorei pertbienla r ui ne	-----||---|---|-|-⌫--⌫-|
Li unsreislautrereireçut Eenura	-|--|---||----|--|-----||----|
queplu snestu t	--|---⌫||----⌫|
Sunherberi ageesunsuior	--|-------⌫--||--|----|
Lifistaueragrande nurEa	-|---|---||----|-⌫--|||
s a ter rerecuure r	-⌫|---⌫-|-------⌫|
Edwineuol taler L	-----|---⌫|---||
auanceram ulthaltement	-------|-⌫--|--------|
De sun auerede sag ent	-|--|---||-|-|-⌫--|
Tut liuern untense mb leeste ́ Etut	--||----|--|----⌫--⌫-|----⌫||--|
untsuio rné	--|----⌫---|
Entretan tunt n éspurchaceesAïe q uise prismainees	--------⌫|--|-⌫--|---------|---|-⌫---|---|------|
Engleterreunten ueé	---------|--|--⌫---|
Entapinag eaparaill e ́	-|-------⌫|--------⌫-⌫|
Brienpurle	----|--|-|
deuinocire	----|----|
K itutsau eitlurestr e dir e	-⌫|--|---⌫--|--|----⌫|---⌫|
Pu rparl éu nt	--⌫-----⌫-|-⌫-|
ecunseil pris	|------|---|
Que tantc umlideuinsert	--|---|-⌫-|-|-----|--|
Engleterren	---------||
nar i uerunt	|--⌫-⌫-----|
d ireaq ue l	-⌫--||-⌫--⌫|
Turn entc il	----⌫--|-⌫-|
qui uuntnauia ntS il e n	--|---|-----⌫-||-|-⌫|
uoltprendreguar dee cure	---|------|----⌫-||---|
Brien semis tenauen tureA	----|-|---⌫|-|----⌫---||
Barbefluéenmer entra	---------|-|--|----|
Suthamtune ariua	---------|----|
Ses draspurpl us mal ueis	--|---|--|--⌫-|---⌫---|
ch a nia E de	--⌫-⌫--||-|
ma lueis s	--⌫----||
aparai lla	------⌫--|
Unbastunfis tfaireferrin	-|-----|---⌫|----|-----|
C ume burdun ap elerin	-⌫--|-----||-⌫-----|
Lifers fu d	-|---|--⌫|
bienlungs eaguz	---|----||---|
Bie nfud tre nchanze	---⌫|--|---⌫-----||
Briense mistenta pina ge	----|-|---|-|--⌫----⌫-|
Cumhuem delui n pelerinage	--|---|-|---⌫|---------|
ueiant gent sal otdes guis ant	-----|---||--⌫-|---⌫----⌫--|
Biensemblotpoure	---|------|----|
Albastun salotapuiantDures en	-|-----||---|------||---|-|
alt resclopignant	---⌫--|---------|
T ant quistlacurtedem and a	-⌫--|----|-|---||---⌫---⌫|
Euer wic lu r e itroua	----⌫--|-|-⌫-⌫|----|
Entre lespouress enbati	----|--|-----||-----|
Entrelespo uressetapi	----|--|--⌫---|-|---|
Entrelesfardusfud	----|--|-----|--|
Cumemendisebusuinus	---|-----||-------|
Sa s uer es tdunec hambre	-|-⌫--|--⌫||--|-⌫-----|
Brienladbiencuneüe	----||-|---|------|
Ensesme insu nba cinte n eitAlareïne	-|--|--⌫--|-⌫|--⌫--|--⌫-⌫--||-|-----|
ewequereit	--|------|
Bri ens enbati ensaueie	---⌫-||-----|-|-|---|
Quelelecunu isseeueie	-|--|-|----⌫---||---|
La suer adle frereenterc ié	-|---|-|-|----|------⌫--|
Mes illiaddit ecluignié	--|-|-|-|--||--------|
se mb lant	--⌫--⌫---|
partiengetantne quan t	--------|---|-|----⌫|
Illabaisa e elelu i	-|-|----||--|--⌫|
Asezplureren t ambedui	---|--------⌫|------|
Deforslapresse se sunttrait	-----|-|-----|-|---|----|
Queh umne femm enesag ueit	--|-⌫-|-|----⌫|--|--⌫---|
Eleliadtutlestredit E si	--|-|-|--||----|--||-|
l i a d mustre ́	-⌫|-⌫|------⌫|
Ledeu in qu i estei tuenuz	-|---⌫-|--⌫|-----⌫|----|
Parauent u re ertfors issuz	--|-----⌫-⌫-|--|---|----|
Suuent ueneit suuent	-----|-----|-----|
Ent reles pourest respassot	---⌫-|--|-----|-⌫--------|
Brie n parti de sa sorur	----⌫|----|-|-|----|
Kideluiert en grant	-|-|--|--|-|----|
En laue ieal	-|-|--⌫-|-|
Ki passot ent relesmendis	-|-----|---⌫-|--|-----|
Tanta tendi eaguaita	---|-⌫----||------|
Que lide uins lezluipassa	--|-|--⌫---|--|--|----|
Delbast undefer qu	--|----⌫-|-|--|-|
il tint gran t	-|---|----⌫|
Lidu n a tel copenbutant	-|--⌫-⌫|--|--|-|-----|
lecors lienbati	-|---|-|-----|
enp e ins tecil	---⌫-⌫---⌫||--|
Un ques ned ist oïne n u n	--⌫---|-|-⌫--|--|-|-⌫-⌫|
Briensilaissalubastun	-----||-----|-|-----|
Senzlebastun tut	---|-|-----|--|
cuintement	---------|
Setraistentrela	-|-----|----|-|
f udaparceüz	-⌫-|--------|
Neenterciez ne m e scre üz	-|--------|-|-⌫-⌫----⌫--|
sest aléd emuçan t	|--|---|-⌫-------⌫|
Entrelespourestrest urnant	----|--|-----|-----⌫-----|
La nuit issidela cité	-|---|---|-|-|----|
T ut suaueteacelé	-⌫-|-----|||----|
Delacuntreese slui na	-|-|------||-⌫----⌫-|
queior t an tespleit aA	--|--|-⌫--⌫|-------⌫||
