laiieperdue	|-|-|-----|
ouseh onte etdoma geiorent	-|-|-⌫---|-|----⌫-||----|
conmen toncoreesch aperporent	------⌫|-----|----⌫---|-----|
de telxperilzsanz	-|---|-----|---|
oud a m eou de corso u d	-||-⌫-⌫|-|-|---|-⌫||
etse ztuouie nnece	-|--⌫|-|-|--⌫----|
quetantpri s en tmaintesetmai nt	--|---|---⌫-⌫--⌫|------|-|---⌫-|
del izlatientensameson	---⌫-|-|----|-|-|----|
tantconmee leestensa seson	---|----|-⌫-|--|-|-|----|
etueust quei ennecele ser ue	-|----|--|-⌫-----|-|---⌫-|
por n o iantfu st neissa	--|-⌫-⌫---|--⌫-|---|-|
etelsifetsiuo lentiers	-|-|-|--|-|--⌫-------|
trace parto uzsentiers	----|--|--⌫-|-------|
et soncorsabandon liliur e	-|--|---||-----|-|----⌫|
nelne uoudroitp as san zlui	|-|-|-------|-⌫-|---⌫|--|
etu iellecesezoudemeure	-|-⌫------|--|-|------|
dir ele teueill	---⌫|-|-|----|
san z demeure	---⌫|------|
carlate conuie nt	--|-|-|------⌫-|
semor t n et e	-|---⌫|-⌫|-⌫|
ou tensde iennecesacaue	-|---|-|------|-|---|
quimoutest	--|---|--|
teneb reus eet haue	-----⌫----⌫|-|---|
trauail let dou leur	-------⌫|-|---⌫---|
l aherbergent	-⌫|---------|
lientetl e nfergent	----|-||-⌫-------|
ettantla b atentettourme ntent	-|---|-|-⌫----|-|------⌫----|
que mortpro icha inelipr ese ntent	--|---|---⌫----⌫--|-|--⌫---⌫----|
ettalent des oi	-|-----|-|-⌫-|
r epen tir	-⌫----⌫--|
tan tlifon tde flaeaus	---⌫|-|---⌫|-|------|
adoncl iuientenre m en bran c e	----|-⌫|----|-|--⌫-⌫--⌫----⌫-⌫|
a nce ste tardiu epre sen ce	-⌫|--⌫--|------⌫|---⌫---⌫-|
quantel se uoit	----|-|-|---|
foi b leet chanue	---⌫-⌫-|-|-----|
que malemant	--|-------|
iennece quitoutagité	------|--|---||----|
sonp reteritanuanite	--|-⌫------|-|-----|
etquel aperdue	-|-|-||-----|
sedufutu r	-|-|----⌫|
n est secourue	|--|-------|
qui lasoutiegne	--|-|--------|
an penitance	-|--------|
despech ie zque lfist e n	--|----⌫--⌫|-|-⌫|---|-⌫|
et par bienferean cestep aine	-|--|---|---|-|----|-⌫---|
ausou uerai n bienlar am aine	-|---⌫-----⌫|---|-|-⌫--⌫---|
donc i e nnec el a deseur oit	---|-⌫-⌫----⌫|-⌫|------⌫--|
quidesuanitezsabeuroit	--|--|------||-------|
quarli p resens si poi l idure	---|-|-⌫-----|-|--|-⌫|---|
quil niac onte ne mesure	-|-||||-⌫---|-|-----|
mesconmen tque	--|------⌫---|
la besoigne aille	-|-------|----|
qu iue ust damorsioi rs anz faille	--⌫|--⌫--||----|---⌫|-⌫--|-----|
doitquerreetcilet cel e	---|-----|-|--|-|---⌫|
quelequ ele soitdame ou	----|-|--|---|---|-|
nedoiu entpasleur	-|----⌫--|--|---|
part quiter	---|-----|
bi en quila n sunt maintes	--⌫-|-|-|-⌫|---|------|
qui neueul entpases t reencaintes	--|-|----⌫--|--|--⌫-⌫-|--------|
ets els lesuntilleuranp oise	-||--|-|---|-|---|-|-⌫---|
si nenfontelsneple tnenoise	-||-|---|--|-|---⌫|-|----|
senest aucunefole	-||--|-----|---|
ouho nte na pointde	-|--⌫--|||----|-|
i ousti ce	-⌫-----⌫-|
b riefmanttuitadelit sacorde nt	-⌫-------|---||----||------⌫-|
cilqui a cesteheure samordent	--|--||----|----||-------|
senesunt genzq uiri en s	-|-|---|---|-⌫-|--⌫--⌫|
neu aillent	-|-⌫------|
deniers uilmen t seb aillent	------|------⌫|-|-⌫------|
quine suntpas de s	--|-|---|--|--⌫|
lais l iee s	---|-⌫---⌫|
parleur ordes	--|---|----|
uiessoi lliees	---|---⌫-----|
mesiace rte s niert fam ebo ne	--|-|--⌫---⌫||---|---⌫|--⌫-|
quipordonsp rendr esaband on e	--|--|---|-⌫-----⌫||-----⌫--⌫|
nushom ne sedeuroit ia prendre	--|--|-|-|------|-|------|
a fame qui sa	|---|--|-|
charueustuendre	---|----|-----|
p enseilquefame aitsoncorsc hier	-⌫---|-|--|---|--|--|---|-⌫---|
qui tout uifleueus tescorchie r	--|---|--|-|----⌫|---------⌫|
bien estchetis	---|--|-----|
etd efolez	-|-⌫-----|
hon quisi uilment e st bol ez	--|--|-|------|-⌫-|---⌫-|
qu ilcui deque	-|-|---⌫-|--|
telf ame l aime	--|-⌫--||---|
porce quesonami le	--|-|--|--|--|-|
e tquelliri t etlife tfeste	-⌫|-|-|-|--⌫|-|-|--⌫|----|
ce r teinementnule	--⌫-⌫--------|---|
ne doitestre	-|---|----|
amieclamee	---|-----|
nel n est pasd igned estre a mee	|-||--|--|-⌫---||----|-⌫--|
lennedoitriens prisier	--|-|---|----|------|
qu ihome beeadesp oillier	--⌫|---|--||----⌫------|
dipasquebi enn e port	-|--|--|--⌫-|-⌫|---|
soulazet par d eport	-----|-|--|-⌫----|
se sesamis	-|--|---|
lel i adoné	-|-⌫||----|
outra mi s	-|---⌫--⌫|
mesqu ele pasnel e demant	----|--|--|-|-⌫|-----|
qu elle prendro it	-|-|-|-------⌫-|
lorsle idem ent	---|--⌫----⌫--|
etdes siens ausinc li redoigne	-|--|----|-----|-|-------|
sellepeut feresanz uergoigne	|-|-|---|---|---|--------|
ainsincle ur queursem sanbleioi ngnent	------|--⌫-|-----|--⌫-----|---⌫-----|
biensentra imentbien	---||-----⌫----|---|
sentredoi gnent	|--------⌫----|
necu idespasque iesdessenble	-|--⌫---|--|--||-|--------|
ieueillbienquil	-|----|---|-|-|
aillen t ens anble	------⌫|---⌫----|
etfacentqu anquil doiuen t fere	-|-----|--⌫---|-|------⌫|---|
conmecourt aisetdeboner e	----|-----⌫--|-|-------⌫|
m es d ela	-⌫-|-⌫|-|
se garden t	-|------⌫|
donclesqueursesprenne nt e t ardent	---|--|-----|--------⌫-|-⌫|-----|
etsoit l amorsanz	-|---||---|---|
couuo itise	-----⌫----|
qui les fausqu eurs de prendreat ise	--|--|---|--⌫---|-|------|--⌫--|
boneamo r doitdefin	---|---⌫|---|-|--|
queurnestre	----|-----|
don nendoiuentpasestre m est re	--||-|------|--|----|-⌫---⌫-|
f ont corpore lsoulaz	-⌫--|-------⌫|-----|
charnexde lizte re presente	------|--⌫--|-|--⌫-------|
si quetu nas ailleurse ntente	-|--|-||-|-------|-⌫-----|
porceuel ztula	--|-|---⌫|-|-|
rose auoir	---|----|
tuni songesn ulau tr e	-|||-----|-⌫-|--⌫--⌫|
mes tun en	--|-||-|
iespas ayyd a ie	--|--||-|-⌫-⌫-|
cestcequila pe a utamegr aie	|--|-|--|-|--⌫-⌫||-----⌫--|
et quidet oute suertuz toste	-|--|-|-⌫----⌫|-----||---|
mout receus d oulereus	---|-----|-⌫-------|
qu ant onquesamor hostelas	--⌫--|-----|---|-------|
mauuesh ostea nto nhostelas	-----|-⌫---|-⌫|--⌫|-----|-|
porcetel oquehors l anbo ute s	--|-|-|-⌫|--|---||-|--⌫---⌫|
qu itetoust	-||-|----|
lespen seestoutes	--|---⌫---|-----|
quited oiu ent apreu	--|-|-⌫---⌫--||---|
nel ilesse plus sei o urne r	-|||----|---|---⌫-⌫----⌫|
tropsunt a grantmesc h i efliuré	---|---||----|----⌫-⌫-⌫-|-----|
queur qu id amorssuntaniuré	----|--⌫||----|---|------|
enlafinencorles aur as	-|-|--|----|-|-⌫---⌫-|
quantton te ns perdu	----|--|--⌫-|----|
et degasteetai ouente	-|-------|-|-⌫-----|
encest eleescedolente	-|----⌫|-----|------|
setu p euzancoretantuiu re	-|-|-⌫--|-----|---|---⌫-|
q uedamorst e uo ies deliure	-⌫-||----|-⌫|--⌫--|------|
le t ensquaurasperduplou rras	-|-⌫--|-|----|----|----⌫---|
mesr e couurer nelepourras	--|-⌫-⌫------|-|-|------|
on co rsepartant	--⌫--⌫|-|--|---|
aneschape s	-|-------⌫|
am orou tutentra pes	--⌫-|-|-||-----⌫--|
maint iperden t biendir e	----||------⌫|---|---⌫|
senstenscha telcorsa melos	---|---|---⌫--|---|-⌫-|--|
ai ns intreson	--⌫--⌫--|----|
mepreescheit	-|---------|
mes amors tout enpeescheit	--|----|---|----------|
queriens aeuuren en meiss e	--|----||----||-|-----⌫|
quebienenten disse	--|---|-----⌫----|
mo tamottout e lamati re	--⌫||--|----⌫|-|----⌫-|
car amorquiformentmatyre	--|---|--|------||----|
qu ipar trestouz	--⌫|--|-------|
mespenserschace	--|------|----|
con cilqui par toutasa chace	--|--|--|--|---||-|----|
e ttouiortientmon queu rsouzs ele	-⌫|-----|----|--|----⌫|---||--|
horsdemate stea u nepele	---|-|-|--⌫--||-⌫-|---|
qu anqueausarm onseant ma guiete	--⌫----|-|----⌫-|----||-⌫-----|
parl unedeso reill esgiete	--||--|--|-⌫-----⌫-|----|
quanquereson en lautre	------|----|-||----|
si qu eele i	-|--⌫|--||
p erts a p einetoute	-⌫--|-⌫|-⌫---|----|
etmenpledecorrozet dire	-||----|-|-----|-||--|
lorslipris	---|-|---|
tou z iriezadire	---⌫|----||---|
damebien meuouleztra ir	---|---|-|-----|---⌫-|
doiiedonques	--|-|------|
lesgenzhair	--|---|---|
doncharre ietoute spers ones	---|----|-|-----⌫|----⌫---|
p uisq uam orsn esun t mie b ones	-⌫----⌫|--⌫--|-⌫|---⌫|--|-⌫---|
ameredamorsfi nes	----||----|--⌫--|
ainzui u rai touiorz enhaine s	---|--⌫-⌫--|------|-|-----⌫|
lorssi seremortex pechierres	---|-|---|-----|---------|
u oirepard ieu piresquelierr es	-⌫---|--|-⌫--|----|--|-----⌫-|
puis iepasfaillir	---|-|--|------|
pa rlun mecou uientilsaillir	--⌫||-|-|---⌫----|-|------|
ouiamereou	-||----|-|
mesespoir queieconparr e	--|-----|--|-|-------⌫|
haineau dasrenier	----|-|--------|
toutne uail le	---|-|----⌫-|
amorsun denier	----|-|-----|
bon conseill	--|-------|
quitou iors mauezs erm oné	--|---⌫---||---|-⌫---⌫---|
queieda ied	--|-|--⌫-||
amor retraire	---|-------|
orestf o ls	-|--|-⌫-⌫-|
quineuosueltcraire	--|-|--|---|-----|
si mauezuos rementeue	-||---|--|--------|
u neautre a morm esc onneue	-⌫-|----|-⌫--|-⌫---⌫-----|
oipasblasmer	-|--|------|
doncgenzsepeu ent	---|---|-|---⌫--|
sela uoliez	-|-|-----|
pou rroietenir	---⌫----|----|
seuolentiersnelescoutoie	-|---------|-||--------|
sa uoi raumainsseiapourroie	--⌫---⌫|-|----|-|-|-------|
lesnaturesd am or s ap rendre	--|------||--⌫--⌫|--⌫-----|
sil uosi plesoita	|-|--||------||
certesbe ausamisf ol sestu	-----|--⌫--|---|-⌫--⌫|-|-|
quanttu n epr ises un	----|-|-⌫|--⌫---|-|
ceque p ortonpreu	-|--|-⌫-|--|---|
s enue ill oncoref e reun sermon	|-|--⌫--|-----|-⌫-⌫-|-|-----|
carde tout	--|-|---|
su i preste	--⌫|-----|
d acomplirta bon e	|-------|-|---⌫|
m esne saisil te uaudraguieres	-⌫-|-|--||-|-|-----|------|
am ors sunt	--⌫--|---|
d e pluseursmanieres	-⌫|-------|-------|
sanz cel equit	---|---⌫|--||
e t detondroi tsenremu é	-⌫|-|--|----⌫|--|----⌫-|
demaleurefusses	-|------|--|--|
garque plusne	--|--|---|-|
la cointes	|-⌫------|
amistiezest n o meelune	-------|--|-⌫-⌫--||--|
cest bo neuola nte conm une	|--|--⌫-|----⌫--|----⌫--|
des gen zant r els sa nzdescordan c e	--|---⌫|---⌫|--|--⌫-|---------⌫-⌫|
seloncladie ubeni uo lance	-----|-|---⌫|----⌫--⌫----|
etsoitentrels conmu nite	-|---|---|--|-----⌫---|
detouzleur b iensenc har it e	-|---|---|-⌫---|-|-⌫---⌫--⌫|
s ique parnulee nte ncion	-⌫|--|--|---|-⌫---⌫----|
nipuisseauoir exce pc ion	||-----|----|----⌫--⌫--|
aidierl autr ela nz	-----||----⌫|--⌫-|
conmehoms ferssagesetce la nz	----|---|---|----|-|--⌫--⌫-|
et lo i ausca rriensne uaudro it	-|--⌫-⌫--|--⌫|----|-|------⌫-|
l ise nsou	-⌫|--⌫-|-|
le autezf audroit	--⌫----|-⌫------|
quanqui losepenser	-----|-⌫|--|-----|
pu isse a son ami rec enser	--⌫---||--|--|---⌫----|
conmeasoiseulseuremant	----||--|---|--------|
s anzsoupecon dexxx	-⌫--|-------|-|--|
t elsmeurs auoirdoiue nt	-⌫--|----|----|-----⌫-|
etseul ent	-|----⌫--|
q uiparfeteman tamerueulent	-⌫-|----------⌫|---|------|
nepeutestrehom b ienamiables	-|---|----|--|-⌫--|-------|
siferset si	-|---|-|-|
queporfor tunene	--|--|---⌫---|-|
siquenunpointtouio rzl et rueue	-|-|-|-|----|-----⌫-|-⌫|-⌫----|
ouri c he ou poure ses	-|--⌫-⌫-|-|----|--|
quitoutanlui sonqueura	--|---|-|--|--|----||
ets a poureteleuoitt a ndre	-|||------|-|---|-⌫-⌫---|
ilnedoitmietantatandre	-|-|---|--|---|------|
quecilsaidelirequiere	--|--||---|-|-------|
ca rbontefetepar pr oiere	--⌫|----|---|--|--⌫----|
esttropma lemantchie ruend ue	--|---|--⌫-----|----⌫|----⌫-|
a q u eursq uisunt degrantu alue	|-⌫-⌫---|-⌫-|---|-|----|-⌫---|
uaillanzhom g rantuergoign e	-------|--|-⌫---|--------⌫|
quanti l requiertque lenlidoigne	----|-⌫|-------|--|--|-|-----|
mouti pensemoutse soussie	---||----|---|-|------|
mout amesese ainceisquilprie	---||-----|--------|-|---|
te lhontead ediresondit	--⌫|----||-⌫|---|--|--|
et si r ed oute	-|-|-⌫--⌫---|
mes quan tuntel a natrouué	--|----⌫|-|--|-⌫||------|
a tantain ceis	|---|---⌫---|
e sprouué	-⌫-------|
estbiencer tains desamor	--|---|---⌫----|-||---|
f ere li uetioieouclamor	-⌫--|-|--|---|-|-----|
de touz lescasquep en ser ose	-|---|--|--|--|-⌫--⌫--|--|
sanzhont e auoir de nule	---|----⌫|----|-|---|
ca rconme nt an auroi til	--⌫|-----⌫-|-|-----⌫|-|
secil esttels	-|--|--|---|
que ieteconte	--|-|-|----|
quantsonsecreditli	----|--|----|--|-|
ia mes letierz nelesa ura	--⌫--|-|----|-|-|--⌫--|
ned u r eproiche	-|-⌫|-⌫-------|
n ailg arde	||-|-⌫---|
carsageshomsa langue	--|----|--|-|-----|
ce ne sauroitm ie foxfere	-|-|------|-⌫-|--|---|
nu sfols n esetsa	--⌫|---|-⌫|--|-|
langue tere	-----|---|
plusfe r aq illesecourra	---|--⌫-⌫||-|-|-------|
detre stout qu a nque	-|---⌫----|--⌫-⌫---|
plu sliezd ufer e audire uo ir	---⌫|---|-⌫|---⌫|-|---|--⌫-|
quesesamisdureceuoir	--|--|---|-|-------|
li fetsareques t e	-|--|-|------⌫-⌫|
n enailp as	|-||-|-⌫-|
mainsdemole ste	----|-|----⌫--|
que cilquila	--|--|--|-|
lia requise	-||------|
t antes tdamorgrantlame strise	-⌫--|--⌫||---|----|-|--⌫-----|
etdesond eul l a	-|-|--|-⌫--|-⌫|
moitieporte	-----|----|
et de quanquilpe utleconforte	-|-|-----|-|--⌫-|-|-------|
saioieas aparti e	-|---||-⌫|-----⌫|
a morestadro itpartie	-⌫--|--||---⌫-|-----|
par lalo ideceste	--|-|--⌫|-|----|
disttulle s enunsuendist ie	---|-----⌫|-|-|---|----⌫-|
quebiendeuonsfer erequ este	--|---|-----|---⌫|----⌫---|
selest honeste	|-|--|------|
r equeste refeson	-⌫------|------|
s ele c ontie ntdroitet r es on	|--|-⌫-----⌫-|----|-|-⌫--⌫-|
ne doitpa sestreautrementfete	-|---|--⌫|----|--------|---|
for sanyyca sq u ilanexcete	---⌫|-|-|--⌫|-⌫|-|-|-----|
sen le s uoloita mo r tliurer	|-|--⌫|-----||--⌫-⌫|-----|
pens er d euonsd	----⌫-|-⌫----||
esde l i u r er	-|--⌫-⌫-⌫-⌫-⌫-|
selenassa utl eurrenom ee	-|--|----⌫-|-⌫--|-----⌫-|
gardons quelne soitdiffamee	------|-|-|-|---|-------|
e n ce s yycasleslaist	-⌫|--⌫|-|--|--|----|
deffe n dre	-----⌫-⌫--|
sanzdroitet sanzreso natendre	---|----|-|---|----⌫|------|
tantconm e	---|----⌫|
a mor peut e scuser	-⌫--|---|-⌫-----|
cene doitnushom	-|-|---|--|--|
cesteamorquecitepropos	----|---|--|-|-|-----|
nestpascontraire	|--|--|--------|
am on prop os	|-⌫-|----⌫-|
cesteueilliebien	----|----|-|---|
quetu siue s	--|-|----⌫|
etuei llq uel autrea mores chiues	-|---⌫-|-⌫-||----|-⌫--|--⌫-----|
ces te a t outeuertusam o rt	---⌫-||-⌫---|----||--⌫-⌫-|
mes l autre	--||----|
metl esgenz amo rt	--|-⌫-|---||--⌫-|
dune autre amor	|--|----|---|
teueil l ret raire	-|----⌫|---⌫----|
qui restaboneamor contraire	--|---||---|---|--------|
etformentrefet	-|------|----|
cestfainte	|--|-----|
uolen tedamer	-----⌫-||---|
enqueurs maladesdu	-|-----|------|-|
decouuoit isede	-|-------⌫--|-|
cest eamorest en	----⌫|---|--|-|
tel balance	--|------|
s it ostco nmeel	-⌫|-⌫--|--⌫--|-|
pe rt l esperance	--⌫-||--------|
du profi tqu	-|-----⌫|-|
eleue ult ataindre	--|--⌫--|-------|
f aillirlaconuientete sta indre	-⌫-----|-|-------|-|-⌫---⌫----|
ca r nepeutbien estreamo reus	--⌫|-|---|---|----|---⌫---|
queursqui naimelesgensporeus	-----|--||---|--|---|--|--|
ainz se faintetles	---|-|----|-|--|
uet flatant	--|------|
por l e profit qu il an a tant	--|-⌫|-----|-|-|-|-⌫---|
cestlamorquiuientde fo rt une	|--||---|--|----|-|--⌫--⌫--|
quise sclipseconmelalune	--||-⌫------|----|-|---|
quelaterreobnulbeet enonbre	--|-|----|------|-|------|
q uantla lunec hiet ens ononbre	-⌫---|-|---|-⌫---|-|-⌫-|----|
satantd esaclar te per due	||---|-⌫|-|----⌫-|---⌫--|
condusoleillpertla ueue	--|-|------|---|-|---|
etquantelral onbrepassee	-|----|-|-||----|-----|
sireuienttoute	-|------|----|
en luminee	--⌫------|
desraies queli solel zli montre	--|----|--|-|-----⌫|-|-----|
qui d autrepartr eluistancontre	--||----|---|-⌫-----|-------|
ce s te amorestdautel nature	--⌫-⌫-|---|--||----|-----|
carorest clere	--|-|--|----|
sitos t conpouretezlafuble	-|---⌫|--|-------||-----|
deson hideus	-|--|-----|
mantelobnuble	-----|------|
que lneuoit	-|-⌫|-|---|
mesrichecesl uire	--|-------|-⌫---|
occurcirl aconuie ntetfuire	-------|-⌫|------⌫-|-|----|
e tqua nt r ic heceslireluise nt	-⌫|---⌫-|-⌫--⌫----|-|-------⌫-|
to ute clerela racon du isent	--⌫--|----|-|-----⌫--⌫----|
quel fautq u ant	-|-|---|-⌫-⌫--|
lesriche ces fail lent	--|-----⌫--|----⌫---|
e t saut si	-⌫|---|-|
toustconme	----|----|
el res aillent	-|---⌫------|
i e cit enome	-⌫|-|-⌫|---|
suntamétrestuitli riche ho me	---|---|-------|-|----|--⌫-|
etspeciaumantliaue r	-|----------|-|---⌫|
q uil neueule ntleurqueur s l auer	-⌫|-|-|-----⌫-|---|-----⌫|-⌫---|
d el ag ra ntarde uretduuice	-⌫|-⌫|-⌫--⌫-|----⌫-|-|-|---|
alacou uoiteu seauarice	|-|---⌫------⌫-|------|
s estpluscor n a ir s	|--|---|---⌫-⌫-⌫--⌫|
ce rsramez	--⌫-|----|
r icheshomqu icuideestre	-⌫----|--|--⌫|----|----|
nestcemiegrantcornar derie	|--|-|--|----|------⌫----|
ilestcertains qu i ln aime	-|--|-------|-|-⌫||---|
etconment cuideilquelen laime	-|------|----|-|--|--||---|
silen cepour	|-|-|-|---|
folne seclaime	--|-|-|-----|
casne stilmiesages	--||-⌫-|-|--|----|
neque ls e st u nbealscers	-|---⌫-|-⌫-|-⌫|----|---|
pardieu cil doit estr eamiables	--|---|--|---|----⌫|-------|
quid esierreamisuerita bles	--|-⌫------|---|------⌫---|
qu iln aimepas prouerlepuis	-|-||---|--|-----|-|---|
asarichecepuis	|-|------|---|
q uesesami s	-⌫-|--|---⌫|
pouresesgard e	-----|------⌫|
et deuant elsla	-|-----|--|-|
tientetgarde	----|-|----|
etto uiorsgarderlapropose	-|--⌫----|-----|-|------|
tantque la	------|-|
b oicheliseitxxx	-⌫----|-|---|--|
et qu e male mort	-|--⌫|---|---|
l acrauant	|-------|
carils elesseroitaua nt	--|-|-⌫|--------|---⌫-|
le c orsparmenbresdepartir	-|-⌫--|--|------|-------|
qu i lla so ffri stdesoip artir	-|-⌫|-|--⌫----⌫-|-|--|-⌫----|
