puisquececi feniauons	------|---|---|----|
quiau r oyd o u c ieldo ye playre	--|-|-⌫-|-⌫-⌫|-⌫--|--⌫-|-----|
gartqu eleuainne m iel	---|--⌫|-----|-|-⌫--|
quaradieu nepl estitelchose	---||---|-|--⌫--|---|----|
deliz dechar qu is eraporte	----|-|---|--⌫|-⌫|------|
ala do uceourq uelemelz	|-|--⌫-----|-⌫-|-|---|
neplestnabelistnene siet	-|----||------|-|-|---|
aceluiquisus lesceau xsiet	|----|--|--|--|----⌫|---|
ap resenord re	--⌫--|-|---⌫-|
s ietlibiens	-⌫--|-|----|
queli ausdieuxne p riseriens	--|-|--|----|-|-⌫---|----|
oezcomment sou entmauient	--|------|---⌫--||-----|
quebone en t enc ionmetien t	--|---|--⌫-⌫---⌫--|-|----⌫|
etcom men z auc un sbiensafaire	-|---⌫---⌫|---⌫--⌫|----||----|
mesco rpesoitqui	--|--⌫--|---|--|
mestcontrayre	|--|--------|
sig e uoildedroiture user	-|-⌫|---|-|-------|---|
ire lemefetrefuser	--|-|-|--|------|
lespoures sosten irenprens	--|-----|------⌫-|------|
mesuoynegloy re uienttant ost	--|----|----⌫-|----|----⌫--|
quit otce bienme mbleet metost	--|-⌫-|-|---||-⌫---|-|-|---|
itiex leuains neporroit	----|------|-|------|
pla ysensauroyc elestre	---⌫----|-|--|-⌫------|
e tsipardona uoir ne puis	-⌫|-|-----|-⌫---|-|---|
de dieu q uide	-|---|-⌫-|-|
pitieestpuis	----|--|---|
p ar les pri micesded izbiens	-⌫-|--|---⌫----|-|-⌫-|----|
tote suo yesd aucunesriens	----⌫|--⌫--||------|----|
enseront apresalig ie ́	-|-----|----|----⌫--⌫|
li m ien meffaitlimienpec hie	-|-⌫--|------|-|---|---⌫--|
lil ierresdeson	-|-⌫-----|-|--|
lar roncin	---⌫-----|
etliusur iersen la	-|-|----⌫---|-|-|
quantdesp remiersmau sse st	----|--|-⌫------|---⌫||-⌫-|
lorsasesdonsad ieu offers	---||--|---||-⌫--|-----|
componction enson coura	----------|-|--|---||
quelespouuresuisit era	--|--|------|-----⌫--|
des bienslordonra	--|----|--|----|
la r g ement	--⌫-⌫-⌫----|
qu il a co nq uismauue sement	-|-||--⌫--⌫--|-----⌫-----|
tiexaumosn ese nitiex c as	---|------⌫-|-⌫|----|-⌫-|
meri tenesontpas	----⌫-|-|---|--|
qua rc ilquitiex ric hec esfont	---⌫|-⌫-|--|---|---⌫---⌫-|---|
dedroit a ma sseesnes	-|----|-⌫--⌫----||-|
messaché s que il lisofit	--|------⌫|--|-|-|----|
si componction enluigit	-|----------|-|--|--|
r etort en sonae	-⌫----|-|--|-|
a cequiliest deu ehé	|-|--|-|--|---⌫---|
et plortetgemisselefait	-|----|-|------|-|---|
auoi tfait	----⌫|---|
aucunsfaitu euetsiprop ose	-----|---|-⌫-|-|-|----⌫--|
foirdelicieu se chose	---|--------⌫-|----|
por ceque iladieumeux s erue	--|-|--|-||---|---|-⌫---|
etquele a utlo yerde serue	-|--|-|-⌫-|--⌫--|--⌫----|
masdelizd egoullet antos t	--|----|-⌫|-----|-⌫-----⌫|
totcepr e posement	--|-|--⌫-⌫-------|
a pelezesticilpechiez	-⌫----|--|---|------|
d ema inzueni au xce sachez	-⌫|--⌫--|----⌫--⌫|-|-----|
etsauc unsplusfeble spropose	-||---⌫--|---|-----⌫|------|
userdelici euses c hoses	---|------⌫----|-⌫----|
et diceuxb iensun e	-||----|-⌫---|--⌫|
en soit aus p ouu r esd e pa rtie	-|---|--|-⌫---⌫-⌫-|-⌫-⌫--⌫---|
icil doneadieudouciel	---|---||---|--|---|
donsquisontapel éde	---|--|---|----⌫-|-|
cisdonsadi euestagreables	--|---||--⌫-|--|--------|
mes iln estmi e	--|-||--|--⌫|
ceque tuo ffre ras	-|--|-|-⌫----⌫--|
adieusaintdousel pose ras	|---|----|--|--|----⌫--|
nep asne li faysostr aence	-|-⌫-|-|-|--|-----⌫----|
dediui nealience	-|----⌫-|------|
d ou selauo ns senef ience	-⌫-|--|---⌫-|-----⌫----|
quec estdou iust	--||--|--|---|
lasap ience	-|---⌫----|
q u ilsoitdiscrezatoz biens faire	-⌫|-|---|------||--|----|----|
sicau ro ydoucielpuisse	-||-|--⌫|--|---|-----|
et ladauant	-|-|-----|
dite alien ce	---|-----⌫-|
des yy lo rsase n ef ience	--|-|--⌫-||--⌫-⌫--⌫----|
quenel l es sag es	-|-|--⌫-⌫-|---⌫-|
homcouuroit	--|-------|
tozs es sens	--|-⌫-|---|
enssi tcomil	-----⌫|--|-|
et saucunspardeuocion	-||-----|--|-------|
ueaut adieufereobl acion	----||---|---|---⌫----|
despremi ces de t otle bl e	--|-----⌫--|-|-⌫-|-|--⌫|
qu ilacoillias emble ́	-|-||-----|--⌫-----⌫|
l acommendeensa igne	-⌫|-------|----⌫---|
quecilloufreenfeu l	--|--||----|-|--||
e thuillepardesus	-⌫|-----|--|----|
auectotcelal oy commande	---|--|-|-|-⌫-|-------|
qu e cil quicest donoffrera	--⌫|--|--|---|--|------|
auda r renierencensdonra	-|--⌫-⌫-----|-----|----|
icia huille	--||-----|
senzdoutence	---|-------|
de leecesenefience	-|----|---------|
q uarcilqui	-⌫--|--|--|
o ffre decuerclier	-⌫---|-|---|----|
et de ledoits ondondo ner	-|-|-|---|-⌫-|--|--⌫--|
encensoroyso nsnote	-----|------⌫-|---|
quarparpri erebien deuote	---|--|---⌫--|---|-----|
doitquerrecilqui s acrifie	---|-----|--|--|-⌫------|
laydeacelu i	|---||----⌫|
qui t otguie	--|-⌫-|---|
quardie xaymel	---|---⌫|---||
qui estfete	--|--|---|
en deuocion	-|-------|
q uant aucuns donealegr ement	-⌫---|-----|---|-----⌫----|
et priedieu	-|---|---|
deuot ement	-----⌫----|
esdonsquisont pacifiable	-|---|--|---|---------|
noteeestuie m oie nab le	----|--|--|-⌫---⌫---⌫-|
deceuxquisouuerain ne	-|---|--|--------|-|
meslessouer ains maus	--|--|-----⌫---|---|
esc hiuent	---⌫-----|
ciss acrifiebeufsenz faill e	--|-⌫------|---|---|-----⌫|
quiparte r riensbiens trauaille	--|--|--⌫-⌫----|----|--------|
etde son laboroffreetdone	-|-|--|----|----|-|---|
donsacel ui qui en auttone	---||---⌫-|--|-|--|---|
etcilsacrifientl ooye lle	-|--|---------||----⌫--|
l a bornesaparoyll e	-⌫-⌫--|-||--------⌫|
enz eslitplaire autre spoissent	--|----|-----|-|---⌫|-------|
par penseeanulluinu issant	--|-----||-----|--⌫-----|
etcislachieure	-|--|-|------|
quia presses	--|-⌫---|--|
pec hiezsafie	---⌫---||---|
retornerau douz ihes ucr is t	-------|-|---|----⌫---⌫--⌫|
etsespechi ezpl aint e tgemist	-|--|-----⌫-|--⌫---|-⌫|-----|
qu antlimaye n	--⌫--|-|----⌫|
et li p arfait	-|-|-⌫-----|
s ese ntent	-⌫|--⌫----|
enuersdieum e ff a it	-----|---|-⌫-⌫--⌫-⌫-|
parauoirdoupe chie	--|----|--|--⌫---|
feront a dieud	-----||---||
unuealdo n	-|---|--⌫|
quinulletacheenluin	--|----|----|-|--||
etcis dontot leslaue ra	-|--|--|--|--|----⌫-|
et pres tres e nnoin zlase ra	-|----⌫---|-⌫-----⌫|-|--⌫-|
qui lesac rific een fe ra	--|-|---⌫-----⌫|-|--⌫-|
cetuip reuoyreeno int	----|-⌫------|---⌫--|
est no tezc il que	--|--⌫--|-⌫-|--|
diex ennoint	---|------|
deluillecedit li	-||----|-|--|-|
de l eecece stihes u criz	-|-⌫---||-⌫-|----⌫-⌫---|
qu i i asoit ceque	--⌫|-⌫|---|-|--|
ilfust quites	-|---|-----|
deg ranztaches oudepetites	-|-⌫---|-----|-|-|------|
totes uoyes	----|----|
lespoynesot	--|-----|-|
sur sesmembresqu arilliplot	--|--|------|--⌫-|-|-|---|
prendrelapoynedou p echie	------|-|----|--|-⌫----|
donnousesti onsentechié	--|---|----⌫--|--------|
nepristpaslep ech ie	-|----|--|-|-⌫---⌫-|
s e nz doute	-⌫-⌫-|----|
mas i lenotla d olo r	--|-⌫|-|-|-|-⌫---⌫|
cis offri adieu uoyrement	--|----||---|--------|
uea ul tache entiere m ent	---⌫-|----|-------⌫-⌫--|
qua ntiloffriadieule	---⌫-|-|----||---|-|
sachar senztache n eteet	-|---|---|----|-⌫--|-|
se stnomezueauxilmeeme	|-⌫-|----|----|-|----|
pa r lescorz	--⌫|--|---|
sainctesme	---------|
croizouillesbrazestendi	----|-|-|--|---|------|
et donils a l u nousrendi	-|--|-|-⌫-⌫-⌫|---|----|
salu tuoyrepar que lmenier e	----⌫|----|--|---⌫|------⌫|
portequ i closeyere	----|--⌫|----|---|
ouerteparconue nt	-----|--|-----⌫-|
nou sfudescel ior	---⌫|-|--|--|--|
situue auxbiensauoirlesto ire	-|-|--⌫--|---|-----||----⌫--|
tu troueras	-|-------|
en ys idoyre	-|--⌫-----|
q u atre sacrifiemenz estre	-⌫-⌫---|-----------|----|
qu imiox o le ntauroy celest re	--⌫|---|-⌫--⌫-|-|--|------⌫-|
c es tsenz	|--⌫|---|
nulle tacheueaux	----|----|----|
etlisegonsce estaygne aux	-|-|-----|-|--|-----⌫--|
l it iersc olo nsou torte re lle	-⌫|-⌫---|-⌫---⌫-|-|-----⌫--⌫--|
liquar zde farinetres	-|----⌫|-|-----|---|
senzleuain et	---|-----|-|
duille arousee	|----|------|
e tpuisaufeuso it afermee	-⌫|---|-|--|--⌫-|------|
laloy commendepar ces m oz	-|--|-------|--|--|-⌫-|
les autr essacrificestoz	--|----⌫-|---------|--|
estreoffers	----|-----|
enci ennement	----⌫-------|
p orlepeu pleco mmune m ent	-⌫-|-|---⌫--|--⌫-----⌫-⌫--|
peuplesseust	------|----|
causequ igreuerledeus t	----|--⌫|-----|-|----⌫|
liueaux est pristdel aumaille	-|----|--|----|-||-------|
totaut resi sensnul le	--|---⌫---|---|---⌫-|
fuihesucr iz	-|-------⌫-|
despatriaches	--|---------|
mondeset nezd etotestach es	-----|-|--|-⌫|----|----⌫-|
ilquiest de	-|--|--|-|
oul a cha rruede la	-|-⌫|---⌫---|-|-|
denostre char laterre ara	-|-----|---|-|----|--|
et deblelabe neura	-|-|--|-|--⌫----|
si deuonsnomercetebl ee	-|-----|----|---|--⌫-|
deb ones uertuzasemblee	-|-⌫---|-----|-------|
dou tabernaclea l uisliez	--|---------|||--|---|
ueaux sacrif iez	----|------⌫--|
et ihe susfors de la cite	-|---⌫--|---|-|-|---|
s offridemort l	-⌫----|-|---||
lesanc lisonsestredoné	-|---|-----|----|----|
par ce aux qui sont de	--|--⌫--|--|---|-|
euxn otonsceme semble	--|-⌫----|-|-|-----|
annasetcayp hasensem bl e	----|-|----⌫--|-----⌫--⌫|
etderechepsegonl esc rit	-|-------|----||---⌫--|
liaigneauxn ote ihesucrit	-|-------|-⌫--|--------|
quar ilhumbles etpaciens	---|-|------|-|------|
portanos blasmesesciens	----|--|------|------|
lofr endenot ed escolons	|---⌫---|---⌫|-⌫-|-----|
celuiquieste tdiexethons	----|--|--|-⌫|---|-|---|
e nlato r tre	-⌫|-|--⌫-⌫--|
segonlescrit	----||-----|
est la cha rau	--|-|---⌫|-|
dousihe sucrit	---|---⌫-----|
ettot plainement l icolons	-|--|---------|-⌫|-----|
e stdou sai n te speritli	-⌫-|--|---⌫-⌫|-⌫-----|-|
quarsalemonsen	---|-------|-|
so nescrit	--⌫|-----|
la tortreadanteaihesucrit	-|-----|-----||--------|
etsegonlescrit saint iohan	-|----||-----|----|----|
esp irs en fl onio rdain	---⌫--|-|--⌫-|--⌫----|
ensemblanced	-|--------||
un colombeau	-|--------|
sur ihesudesc endidouceau	--|----|----⌫---|--|---|
aceluiquifu diexet hons	|----|--|-|---|-|---|
fere toz cesdons	---|--|--|---|
mes alapoetedeuine	--||-|----|-----|
es tliqu ars d onsfez defari ne	--⌫|-|--⌫--|-⌫--|--|-|----⌫-|
etblancheet d eliee	-|------|-|-⌫----|
iglise estsign i f iee	-----|--|----⌫-⌫-⌫--|
lafarinedonert	-|-----|--|--|
faizpain s	---|----⌫|
estconcuilli e	--|---------⌫|
demainzgra ins	-|----|---⌫--|
aussitlipeuples desesli z	-----|-|------|--|----⌫|
es t d e mainsfiaux concuilli z	--⌫|-⌫|----|----|---------⌫|
ces ontcilqui	-|-⌫--|--|--|
baptizé sont	-------|---|
etrecoi u entcresmeenlorfront	-|-----⌫-⌫--|-----|-|--|----|
et quiapressontaffermé	-|--|----|---|-------|
et dous aintconfermé	-|--|-⌫---|--------|
etsiaucuns uo l l o it	-|-|-----|--⌫-⌫-⌫-⌫-|
mo ralit epouti ciprend re	--⌫-----⌫|---|-⌫-|-----⌫-|
huico m en tsaches quetuoffres	--|--⌫-⌫--⌫|-----|--|-|-----|
uealqua nttudorguio tesoffr es	---|---⌫-|-||-----|-|-----⌫-|
etr emainzen telquali te	-|-⌫-----|-|--|-----⌫-|
que ntoyayes	-|-⌫|--|---|
tucesses degay	-|-----|-|--|
boschet off res	------|---⌫--|
au roy ce lestre	-|--|--⌫-----|
ayg nelo ffre s si tulesfai z	---⌫--|-⌫----⌫|-|-|--|---⌫|
lessesquesenzrayso n as fez	-----|--|---|-----⌫|-|--|
si offrestor tre uoyreme nt	-|-----|---⌫--|-------⌫-|
sita ch ar	-|-|--⌫-|
gardeschast ement	-----|-----⌫----|
colonof fr es	----|--⌫--⌫-|
quequenus die	--|--|--|--|
situes simplessenzbo ydie	-|-|-|------|---|--⌫---|
selile uains	-|-|--⌫----|
defause te	-|-----⌫-|
toyetdiniqu ite	--|-||-----⌫--|
queuoirdiestuoffr espain	--|---|---|-|----⌫-|---|
qu idefari ne estsenzleua in	--⌫|-|----⌫-|--|---|----⌫-|
ueu ousereme nt	--|-|------⌫-|
quetu brises outreeme n t	--|-|-----|--------⌫-⌫|
ooylle ou chieureleuer as	-----|-|------|-----⌫-|
de tonparcque tu offreras	-|--|---|--|-|-------|
l oyllehumb l e nous sen efi e	|----|----⌫-⌫|---|---⌫---⌫|
lacostumed actiueuie	-|------||-----|--|
et le shomesquihumblesont	-|--⌫|----|--|-----|---|
q uinuisanceanullui	-⌫-|-------||-----|
lachie ur e qui estclier ueanz	-|----⌫--⌫|--|--|----|----|
etpessenzen	-|------|-|
autetpue n s	--|-|---⌫-⌫|
droyt urer ementsenefi e	-----⌫----⌫----|------⌫|
de co nte mplat i ue	-|--⌫---⌫-----⌫-⌫-|
sices bestes ne po uzauoyr	-|--|-----|-|--⌫-|----|
laloytefaitbi ena	-|--|-|---|--⌫-||
pa rcolonou p artortre rendre	--⌫|----|-|-⌫-|-----|-----|
p ouzpas serdecete	-⌫--|---⌫--|-|---|
mas ilestouraqu ele couble	--|-|------|--⌫|-|-----|
detortre oude soit double	-|-----|-|-|---|-----|
cil duioysel en leu dechant	--|--|----|-|--|-|----|
d onnentplaint etu on t gemi ssent	-⌫-----|-----|-|-⌫--⌫|----⌫----|
doncconuientildon er a home	---|-------|-|---⌫-||---|
deuxgemissemens qu e ie nome	---|----------|--⌫|-|---|
sauoir par	-----|--|
sesm esfaiz	--|-⌫-----|
et po r ceuxque	-|--⌫|---|--|
detortreestli chiesen cisiez	-|-----|--|-|----|--⌫-----|
pasdoutot deuisiez	--|--|--|-------|
li ch iesde cest	-|--⌫--|-|---|
oysea uln ousno te	-----⌫-|-⌫--|--⌫-|
ihesucritnostre	--------|-----|
chi e psenzdote	---⌫-⌫|---|---|
decest oyselli a u tre membre	-|---|----|-|-⌫-⌫--|-----|
notent liglise	-----||-----|
bienm en membre	---||-|-----|
dou quel aaucunsesta uis	--|---||-----|--|-⌫--|
fu tdenous par mortdeuis	--⌫|-|---|--|---|----|
messach ésquenplus	--|----⌫--|-|-|---|
ferm eguise	----⌫|----|
fuilapresioins al iglise	-|-|----|----|||-----|
quardeson s aintnon lacreance	---|-|--|-⌫---|--|-|------|
apres sa mo rtot	----|-|--⌫-|-|
grantcrescence	----|--------|
quapreslegrainenseueli	-|----|-|----|-------|
issigrans moisson sapr esli	---|----|-------⌫|---⌫-|-|
lichi esfu	-|---⌫-|-|
tran c hez enpartie	----⌫-⌫--|-|-----|
etsi endemorapartie	-|-|-|-----|-----|
qua rlacharnonlad eit e z	---⌫|-|---|--|-|-⌫---⌫-⌫|
soff ri en	----⌫-|-|
croiziniq uitez	----|----⌫----|
feuxtozio rs e nlautie rsera	---|--|--⌫-|-⌫||-----⌫|---|
prestres l inorrira	-------|||------|
quartoz iorslido nramatiere	---|--|---|-|--⌫--|------|
si quelifeuxaitforce entiere	-|--|-|---|--|----|------|
liaut ier s	-|---⌫---⌫|
di eu cestl apensee	--⌫-||--|-⌫|-----|
est telle qu eadie usee	--|----|--⌫||---⌫|--|
etsient e ndons	-|-|---⌫-⌫----|
par le pres tre	--|-|----⌫--|
homelesagemestre	---|-|---|-----|
lifeuxamor	-|---|---|
noussenefie	---|------|
li bo is lesfezqueenlour uie	-|--⌫-|--|--|--|-|---|--|
firentlipereen	-----|-|---|-|
plusorsleus	------|---|
quifurentforte tmerueil leux	--|-----|---|-⌫|-------⌫---|
de susla utier ne	--⌫--||-⌫----|-|
d ardoirtozdisqu ant amo r	|-----|--|--|--⌫--|---⌫|
sesboi llist dedanznostrecour	|-----⌫----|-----|-----|---|
posonsparnulfeur	-----|--|--|---|
deboisliprestres se	-|---|-|-------|-|
pre ntgard e	---⌫-|----⌫|
aceque lifeux	|-|--|-|---|
t o zdisa rde	-⌫-⌫|--|-⌫--|
qu ant mes tresensaigneetsermon e	--⌫--|---⌫---|-------|-|------⌫|
ce quesaincte es crituredone	-|--|------|--⌫------|---|
ettote na utretel meniere	-|--|-⌫|-⌫------|------|
com fe uxfen istsil na matier e	--|--⌫-|---⌫--||-|||------⌫|
totaussiamorsen zdoctrine	--|----|---|---⌫|-------|
du rernepout m esfautetfine	--⌫--|-|---|-⌫-|---|-|---|
cis feuxestsenzdefinement	--|---|--|---|---------|
q u apresleiord ou iugement	-⌫|----|-|--|-⌫-|-------|
deceu x quiseront bon etfin	-|---⌫|--|-----|--|-|--|
ne prendra a mornule fin	-|------|-⌫--|---|--|
commende quefarin e	-------|--|-----⌫|
bi e nuelut ee et	--⌫-⌫|-----⌫-|-|
blanc heetfi n e	-----⌫-|-|--⌫-⌫|
en lapaelle	-|-|-----|
etch a u deetduille arousee	-|--⌫-⌫-⌫-|-||----|------|
soitoffert e	---|------⌫|
quartiexdonss iet	---|---|---|-⌫--|
a celui qui suslesceauxsiet	|----|--|--|--|----|---|
lapael lemise enardure	-|----⌫-|---|-|-----|
estdit ef eruour de droiture	--|---⌫|-⌫-----|-|-------|
etl ih uil les pitierese mb le	-|-⌫|-⌫---⌫--|----|----⌫--⌫-|
ceschos essi	--|----⌫-|-|
sontense mble	---|----⌫---|
liiusquidone	-|--|--|---|
ense ignemens	----⌫-------|
sieste tcolumbe etsarpenz	-|--|-⌫|------|-|------|
qu arilhaferuor ded roiture	--⌫-|-|-|-----|-|-⌫------|
mie senzpitiepure	--|---|----|---|
ildoitpa ramor friolez	-|---|--⌫|---|------|
estre etduill e arousez	----|-||----⌫|------|
enssioffre	----|----|
chau defar ine	----⌫-|---⌫--|
qui nestmiesenzamorfine	--||--|--|---|---|---|
quarsachéss	---|------||
amorn ifust m ie	---|||---|-⌫-|
lafar ine fust esfre die	-|---⌫--|---|-----⌫--|
liersq uilerit age	-|--|-⌫-||----⌫--|
parla mortsonpere	--|-|---|--|---|
paroffrir tel oblacion	--------|--|-------|
par ra ysonde succ ess ion	--|--⌫---|-|----⌫---⌫--|
la loy commen d e en dr o itoff i c e	-|--|------⌫-⌫|-|--⌫-⌫-|---⌫-⌫-⌫|
quelacoe do usacrifi ce	--|-|--|--⌫|-------⌫-|
ce estlafi n ssoit	-|--|-|--⌫-⌫|---|
parofferte	---------|
quil plest adie utel	-|-|----||---⌫|--|
chosecerte	----|----|
lacoefinde uie note	-|--|--|-|--|---|
quarchascunspeutadieu sen zdote	---|-------|---||---|---⌫|---|
enlafinde s a uieplaire	-|-|--|-|-⌫|--|-----|
por quoy illest	--|---|-|---|
quardiexdroitefin senefie	---|---|-----|--|------|
lesfezpassezde uie	--|--|-----|-|--|
etli darrenie rsiors	-|-|--------⌫-|---|
totqu antquetrepassésera	--|--⌫-----|--------|---|
li piz auecl	-|--|---||
espaule des tre	------|---⌫--|
auient alapa rtie	-----||-|--⌫---|
lipiz sie stleusded octrine	-|--|-|-⌫-|---|-|-⌫------|
q u ardele scriture d i uin e	-⌫-⌫-|-||-⌫-------|-⌫-⌫---⌫|
doitchascuns prestres aorner	---|-------|-------|-----|
ilaa g ouerner	-|||-⌫------|
siapar ceul	-||--|--||
espau le destre	-----⌫-|-----|
estplusforsq ue las en e stre	--|---|---|-⌫-|-|-⌫--⌫-⌫---|
