qui mul tdolenz en	--|---⌫|-----|-|
esioissoit qu enlaricheceli	---------|-|-|-|------|-|
u oloitades	-⌫----|---|
faireprend re	----|-----⌫-|
quar il uoloitque	---|-|-----|--|
ci ldelacontreequidassent	--⌫|-|-|------|---------|
l uin eustautre chosef orsqu	-⌫-||---|----|----|-⌫----|
il fustpoures	-|---|-----|
linotonnie rquidelo rchosepren dre	-|--------⌫|--|-|--⌫|----|----⌫--|
s epartirent do	-⌫|--------|-|
saintho meetdes esconpaignonsetils	----|--⌫-|-|-|-⌫-|----------|-|-||
enala ensuslameretloing	-|--|----|-|--|-|----|
estrange leudesertporcequ	-------|--|-----|--|-|-|
a ucunmarche antquiuenis sent	-⌫---|------⌫--|--|-----⌫---|
d orian tneloreque neu ssent	|-----⌫|-|-|-----⌫---⌫----|
laconcoil loientil laigne et	-|-------⌫-----|-|-----|-|
am a ss oientet quan tilenn	--⌫-⌫--⌫----|-|----⌫|-|--|
un fais ensembleses	-|---|-------|--|
disciplesli	--------|-|
portoienta	--------||
un euilequi dela	--⌫|---|--|-|-|
estoit prochaine sila	-----|--------|-|-|
uen doitet	---⌫---|-|
achato itpain	------⌫-|---|
depa rtoient	----⌫------|
acel xqui uenoient aeuset dont	|---⌫|--|-------||--|-|---|
ilsostenoientloruies	-|----------|--|---|
ainsic uid oitest rel isainz	----|-⌫---⌫--|---⌫-|-⌫|----|
quedeluinefust	--|-|--|-|---|
plus me nci ons n eparole	---|--⌫---⌫--|-⌫|-----|
me ssicom lie scriture	--⌫|-|--|-|-⌫-------|
t e stemoi gneetdis tmaluaisemen t	-⌫-⌫------⌫--|-|---⌫|-----------⌫|
en r eposelacitequisorhalte	-|-⌫----|-|---|--|--|----|
montaigne est a sise adon tauint	--------|--|-⌫---|----⌫|----|
qun shom delacite d e	|--⌫|--|-|-|---|-⌫|
ronme e rt	----|-⌫-|
ent re prisd e l e nnemiqui el c ors	---⌫--⌫---|-⌫||-⌫----|--|-|-⌫--|
liestoitentrez siestoitmenez	-|-----|-----|-|-----|----|
al mostiersa int	-|------|--⌫--|
conmencalideabl equien l ui ert	-------|-|-----⌫|--|-|-⌫-|--|
di re uncoresna	--⌫-|------|||
gai resque	---⌫--|--|
yla rie s lisers	---⌫---⌫|-|---|
ihesucr ist	----|--⌫--|
uint en sezilee t nus	---|-|-----|-⌫|--|
nel iquenoissoitpor	-|||----------|--|
il est r eenr epos qu e uos	-|---⌫-⌫|-|-⌫---|--⌫|--|
lopu istiamai srequen oistre	-|--⌫--|-----⌫|------⌫-----|
iraie t silenseignerai	---|-⌫|-||----------|
d ont entra liforsenez e n	-⌫--|----|-|-------|-⌫|
nef ens emble	--|---⌫----|
unepa rtiedesa ge nt	--|--⌫---|-|-|--⌫-|
et nagere nt	-|------⌫-|
tanquil u inrent en	----|-|-⌫-----|-|
sezileauleuouli s ainzhom	-----|-|--|-|-|-⌫---|--|
arestezettantos tcomliforsenez	------|-|------⌫|--|-|-------|
lo uit ilse	-|--|-|-|
laissachaoir	-----|-----|
a sespi ezenmeismesl orefu	|--|--⌫-|-|------||--|-|
gar izdesamalauentur e	---⌫-|-|-|----------⌫|
cefu li pr emerainsmirac le	-|-|-|--⌫-------|-----⌫-|
fi stensezile	--⌫-|-|-----|
don t c onmenci erent	---⌫|-⌫-------⌫----|
alu itantdemal adesquil	|--⌫|---|-|---⌫---|-|-|
ertnusnomb reset lisainthomes	--|--|----⌫--|-|-|----|----|
re ligiousausii uenoient entre	--⌫------|---||-------|----|
c eus siuintu n	-⌫--|-|---|-⌫|
hauzhomqui	---|--|--|
toz estoit	--|-----|
enflez eten tr epris de	-----|-|--⌫--⌫----|-|
grieue m ala die et	-----|-⌫---⌫--|-|
meisme ior	-----|--|
quiliuintfuil gariz	-|-||---|-|-|----|
cilliuostdonergranzdonset	--|-|---|----|----|---|-|
grantauoirmaisilnenuolt	----|----|---|-||-|---|
rien prendre	---|------|
demen tiersquelisainz hom	-----⌫-------|-|----|--|
estoit issiensezilecom	-----|---|-|-----|--|
comcesch oses	--|--|--⌫---|
a uenoi ent isechius se sd is cip les	-⌫-----⌫--|-------|--⌫|-⌫--⌫---⌫--|
loqueroitpartotlosiecleet	-|------|--|--|-|-----|-|
aloit partoz	----|--|--|
les porzde m er	--|---|-|-⌫-|
deser ti n essauoir sil	-----⌫--⌫-⌫-|-----||-|
enporroitoirnouellesquar	-|------|--|-------|---|
i lsauo itb i en q uil	-⌫|----⌫-|-⌫-⌫-|-⌫|-|
neser oi t	-|---⌫--⌫|
ennul leua rest ezq ue	-|--|--|-⌫----⌫-|-⌫-|
deluinefustpar totanoncie	-|--|-|---|--|--|------|
tant alaquau	---|--|-|-|
chiefdeyya nz	----|-|-|-⌫-|
guifquneprophetedes	---||--|-------|--|
cres tien se sto itaparueen sezile	----⌫----⌫|-⌫---⌫-|-----|-|-----|
et faisoi tsigra nzmir acles	-|------⌫|-|---⌫-|---⌫----|
cuid oit qu e ce	----⌫--|--⌫|-|
fus tdes hauz	---⌫|--|---|
decaenarrierequant esechius	---|-|------|----|-------|
c eluipa rleret	-⌫---|--⌫---|-|
demandaquel abitilauoit	------|---|---|-|----|
que llangage il maintenoit e tde	---⌫|------|-|---------|-⌫|-|
aageil estoi tligiusnelen	---|-|-----⌫|-|---|-||-|
sotraisonrendre ainzli dis tqu i l	--|-----|-----|---|-|---⌫|-|-⌫|
auo itmi e	---⌫-|--⌫|
ueu n e plu sn	--|-⌫|---⌫||
sauoit quelaboneren onmee q uil	-----|--|-|---|---⌫----|-⌫|-|
auoi toidire ese chiusen tra	----⌫|-|---|---⌫----|--⌫--|
unenefquis	--|--|--||
enaloit en	-|----|-|
etq ua ntiluintl a	-|-⌫--⌫-|-|---|-⌫|
il d emanda en	-|-⌫-----|-|
uneuilequ iestoit en	--|---|--⌫|-----|-|
del a mer dosaint home	-|-⌫|--|-|----|---|
distrenttuitc il qui l a	-------|---|-⌫-|--|-⌫|
are stoie nt	---⌫-----⌫-|
oulisainzhom estoit e tco nme nt	-|-|----|--|-----|-⌫|--⌫---⌫-|
ilsemaint enoite t mults	-|-|-----⌫----|-⌫|---||
emerueillere nttui tdecequi	------------⌫-|---⌫|-|-|--|
ain cpuisque	---⌫|------|
lis ainz hom e stoit	-|-⌫---|--|-⌫----|
la contreeuenuz	-|------|----|
qui tantbel mira cle i	--|---|--|----⌫--||
auo it faitparuolent e n os tre	---⌫-|---|--|------⌫|-⌫--⌫--|
sei gnor neuoltprendre nulle chose	---⌫---|-|---|------|----|----|
terriennetantli	--------|---|-|
p resenterneoffrirneis une solemie	-⌫-------|-|-----|---|--|---|--|
depainporsostenirsau i e	-|---|--|-------|-|-⌫-⌫|
hesechiusl i sainzhom quioo it	--------|-⌫|----|--|--|--⌫-|
ces parolesalatantqu iltro ua	--|------|--|-----|-|---⌫-|
sonmaistre etdont selaiss a c hair	--|------|-|---|-|-----⌫|-⌫---|
a ses ge noi zet conmencaa	|--|--⌫---⌫|-|-------||
se spiezde sesl ermes lisainzhom l	--⌫|---|-|--|-⌫----|-|----|--||
etfur entyy	-|---⌫--|-|
ensembledon tsotetentend it	-------|---⌫|--|-|------⌫-|
esechiu s queli sa inzho mne	-------⌫|--|-|--⌫--|--⌫|-|
plu s iluecarester encelle	---⌫|----|------|-|----|
regi onpor	----⌫-|--|
lestrop gr anztorbesdes genz	--|---|--⌫--|-----|--|---|
qui alui uen oie ntai nzuolo it	--||--|---⌫---⌫-|--⌫-|----⌫-|
estrang es terresque li	-------⌫-|-----|--|-|
dene fust c og n euz	-|-|---|-⌫--⌫-⌫--|
langage k antese chius sot sa uolente	------|-⌫--|---⌫----|--|-|------|
illen mena aunchas telenla	-||-|---||-|----⌫--|-|-|
contreed edalmascelaar esta	------|-⌫|-------|-|--⌫---|
quil cui da men er	-|-|---⌫-|---⌫-|
uiesollitai re	--|--------⌫-|
quarla terreer tsaluageet	---|-|----|--⌫|------|-|
estrangemes illifuttoz	-------|--|--||--|--|
c ogneuzsicomu os porrez oiret	-⌫-----|-|--|-⌫-|-----|--|-|
adonc auoitencele contree ungrant	----|----|-|---|------|-|----|
dr a gonor ribleettro p cru el	--⌫-⌫--|--⌫----|-|---⌫|---⌫-|
quitotelac ontree	--|---|-|-⌫-----|
gasto itet	-----⌫-|-|
mainioitho mesetfam estozla	-------|--⌫--|-|---⌫-|--|-|
ou il lesp ooit atain dre lip aien	-|-|--|-⌫---|-----⌫--|-|-⌫---|
apel oienttelserpentenlor	----⌫----|--|------|-|--|
lang agepor cequilertsitrescru el	----⌫--|--|-|-|-|--|-|---|---⌫-|
et sigra nt	-|-|---⌫-|
qu ilmenioit	-|-|------|
zzbuefa unefoiz	-|---||--|---|
quantlis ainz ho m	----|-|-⌫---|--⌫|
zzgrantfeu a fa ire	-|----|--||--⌫--|
delaigne pres del	-|-----|---|--|
leu ouliserpe nzabi t oit	--|-|-|-----⌫-|---⌫-⌫--|
dont fistses oroi so nsa ihesuc rist	---|---|--|----⌫--⌫-||----|-⌫---|
etquantill esotf aites	-|----|-|-⌫-|-|-⌫----|
loserp ent elfeu	-|----⌫--|-|--|
entrer etsilart	-----|-|-||--|
totapoudred euanttoz	--||-----|-⌫----|--|
la estoient	-|-------|
quant la malebeste fuissiessilie	----|-|---|----|-|---|------|
etla contreeenfudeliureelisainz	-|-|------|-|-|-------|-|----|
homfu multesm aiezquel p arti l	--|-|---|---⌫---|---|-⌫--|-⌫|
porroit ale rquar ilneuoloit	------|---⌫|---|-|-|-----|
lademorerennulemeniereet	-|------|-|---|------|-|
porpen soite n luim eismes les	------⌫---|-⌫|--|-⌫-----|--|
oulanouele	-|-|-----|
deluinefustseue	-|--|-|---|---|
adonc fugranz crollesde	----|-|----|------|-|
q ui apres lamort	-⌫-|----|-|---|
lempereoriulie n	|-------|-----⌫|
auin t quel esmers e sirentf or s	----⌫|--|-⌫-|---|-⌫-----|-⌫--⌫|
deriuestotausi com u ns au tres	-|----|--|---|--|-⌫-|--⌫---|
de liuesdeustuenirparlauolente	--⌫----|----|----|--|-|------|
n ost re seig nor e tle s nes	-⌫---⌫-|----⌫--|-⌫|--⌫|--|
ue noi ent	--⌫---⌫--|
ia es ha ut es m ontaignes qua nt ce	-|-|--⌫--⌫-|-⌫--------|---⌫-|-|
cildela c ontre esicomcilq u i	--|-|-|-⌫-----⌫|-|--|--|-⌫-⌫|
droitauo ientquelor	----|---⌫---|--|--|
ne n elor maisonssi	-|-⌫|--|------|-|
uinrenta u sainthomeet	------|-⌫|----|---|-|
menerent deuantausaus icom	-------|-----|--|---⌫|--|
ba itaille encontre lamerqui	--⌫------|-------|-|--|--|
dont fi st li sainz hom	---|--⌫-|-|----|--|
sab lonett endien contre lamer	---⌫--|-|-⌫---|--⌫-----|-|--|
mains or poezgran tmiracl e oi rq ue	----|-|---|----⌫|------⌫|--⌫|-⌫-|
n osaueniraua n t	|--|----|---⌫-⌫|
enco ntrelosaint hom eai nz c rutet	----⌫---|-|----|---⌫|--⌫-|-⌫--|-|
haucaamontausicomune grant	----|----|---|--|--|----|
montaig neetse	-------⌫-|-|-|
retr aist arriere	----⌫---|------|
pet itetpetit	---⌫-|-|----|
ce testemoigne	-|----------|
uncoretotela	-----|---|-|
co ntreeiusquea hui	--⌫----|-----||--|
cest ioret les meres laprenoient	---|--|-|--|----||---------|
et enseignentaloranf anzp orc equ	-|---------||--|---⌫--|-⌫-|-⌫|-|
ilotiengnent enmemoire	|-|--------|-|------|
a ceusquiuen d ronttuitcil	|---|--|---⌫-⌫---|---|--|
lacontree semerueilloi e nt	-|------||-----------⌫-⌫-|
dessignes e tdesmir aclesdo	--|-----|-⌫|--|---⌫----|-|
honmeq uanti lentenditeus	----|-⌫---|-⌫|------|---|
chose sil pensa	-----⌫|-|----|
demor roit ilplus	-----⌫---|-|---|
lorss en ala	---||-|--|
pa rnuittot	--⌫|---|--|
coieme nt tantquilui n t	------⌫-|-----|-|--⌫-⌫|
auport demer	-|---|-|--|
si t rouazz nefc hargiequi	-|-⌫---|-|--|-⌫-----|--|
deuoi taleren chipre dont	-----⌫|---|-|-----|---|
etsi d iscipleen sembleluili	-|-|-⌫------|--⌫-----|--|-|
notonn iertraisentlorancres	------⌫--|-------|--|-----|
sis edeparti rent del port	-|-⌫|-------⌫---|--|---|
quant ilo rentl or	----|-|-⌫---|-⌫-|
sach iesamontet co rur entgr ant	----⌫--|----|-|--⌫---⌫--|--⌫--|
se l onc terre ta nt qu e robeors demeret	--⌫-⌫--|----|--⌫--⌫--⌫|------|-|--|-|
l arronsquiestoient	-⌫-----|--|-------|
lorapparurentporroberetpor	--|---------|--|----|-|--|
destruiretuitc il	--------|---|-⌫-|
grantpeoret grantdote	----|---|-|----|---|
li di sciple	-|--⌫-----|
liproioi tetq u ise	-|------⌫|-|-⌫||-|
gardastquarrobeors uenoient	------|---|------|-------|
lisainz ho mle sgardadel oig	-|----|--⌫|--⌫|----|-|-⌫--|
etdon tsiconmenca a	-|---⌫|-|-------||
riresidist	---|-|---|
a sesdisciplesuospo ure	|--|--------|--|--⌫--|
etde creanc epor quo	-|-|------⌫|--|--|
paorianenna	---|-||--||
m ie citant	-⌫-|-|---|
com ph aronsen otqu antilen sui	--|--⌫----|-|-|--⌫--|-|--⌫--|
lesfilisrael parmila roge	--|--|-----|----|-|---|
m erfurent	-⌫-|-----|
n oi ép arlauolent e nostreseignor	-⌫--⌫-|-⌫-|-|------⌫|-----|------|
pa rloiti l ae us mesporcene	--⌫----|-⌫||-⌫-|--|--|-|-|
atargioient il m iedes	----------|-|-⌫-|--|
traireensusainzferoient a	-----|----|---|-------||
g rantforceetasi	-⌫---|----|-||-|
gr antairquil	--⌫--|--|-|-|
f ais oi ent escume r	-⌫---⌫--⌫--|------⌫|
lam eretfendre	-|-⌫-|-|-----|
etia estoien t tan taproc hi équ	-|-|-------⌫|---⌫|-----⌫--⌫-|-|
niauoitmieunegitee	||----|--|--|----|
leualisainz	---|-|----|
deuantenlapoped ela nefettendi	-----|-|-|---|-⌫|-|--|-|----|
samainencontre ceus qui	-|---|-------|---|--|
uenoien t si hautement silord ist	-------⌫|-|--------|-|--|-⌫--|
tresquelaouuosiestes uenu	------|-|-|--|-----|---|
uossoffisesanzplu s	--|------|---|---⌫|
uenirauant	----|----|
orp o ez uos oirgrantforceet	-|-⌫-⌫-|--|--|----|----|-|
grantmeruoillosefoi	----|----------|--|
dosainthomequar	-|----|---|---|
les galiesresa ilire nt	--|-----|----⌫-----⌫-|
tan tostarr iereetretorn erentplus	---⌫---|---⌫---|-|------⌫----|---|
isnelementquelesn est oient	---------|-|---||---⌫----|
ue nue smalgrec eusqu i	--⌫---⌫|-----|-⌫--|--⌫|
est oient neaincpuis	---⌫----|-|---|---|
d etornerarri eredeuantqueles	-⌫|-----|----⌫--|-------|---|
paru inrent auriuagedont eles	----⌫-----|-|-----|---|---|
est oientu enues	---⌫----|-⌫----|
or uosuo ilielaissierplu sor s	-|--|--⌫-|-|-------|---⌫---⌫|
choses adire porcequil	-----||---|--|-|-|-|
semblequeieuo illealongierla	-----|--|-|--⌫---|-------|-|
ui emestant so l le mentuos	--⌫|--|---|--⌫-⌫--⌫---|--|
dira ig e que laouiles toi ten	----⌫|-⌫|--|-|-|-|--⌫---⌫|-|
lanefet trespass oi en tpresde	-|--|-|--------⌫--⌫--⌫|---|-|
cit ezqueli	---⌫-|--|-|
acoroientasriuages etsi	--------|-|------|-|-|
crioientil	-------|-|
le sooite t puis l es garissoit	--⌫|---|-⌫|---|-⌫-|--------|
ta ntn agierentadont	--⌫-|-⌫-------|----|
enchipre lisai nz homissi fors	-|-----|-|---⌫-|--|---|---|
lanefetsi entraen une	-|--|-|-|----|-|--|
qu ipaphe estoitape leequiadonc	--⌫|----|-----|---⌫--|--|----|
estoitnob le etrich e	-----|---⌫-|-|----⌫|
etdegran tsignoriemes	-|-|----⌫|-------|--|
cr ole delaterrelo rent	--⌫--|-|-|----||-⌫---|
anien tee qu ilniapert mes	-----⌫--|-|-|||----|--|
choseforslaruineet parce	----|---|-|----|-|--|-|
quencor ipuet	-|----||---|
enbienueo ir	-|---|---⌫-|
p uetenbien sauoir	-⌫--|-|---|-----|
q u elaci tez	-⌫-⌫|-|--⌫--|
fude gran tsei gnorie	-|-|----⌫|---⌫-----|
caenariere	-|-|-----|
de f orsce le	--⌫-⌫--|--⌫-|
citeseherb eriali	---|-|----⌫---|-|
sainzhomcompou resetmul ts	----|--|--|---⌫--|-|---⌫||
esioidecequ ilifu	----|-|-|-|-||-|
nesaiqanziorz	-|--|---|---|
etqu ilnifu	-|-|-|||-|
aperc euzd e ceusdela contree	-----⌫--|-⌫|---|-|-|------|
etquilenpaismenoitsa	-|-|-|-|---|-----|-|
plusdeyy iorsnetrespasserent	---|-|-|---|-|------------|
m iequanttr est uitlidesuéde	-⌫-|----|--⌫---⌫--|-|-----|-|
il edech ipreouqueilfus sent	--⌫|-|--⌫---|-|--|-|---⌫---|
par lesci tez et parlesuiles	--|--|--⌫--|-|--|--|----|
conmence r entahaute u oiz	--------⌫-⌫--||----|-⌫--|
a dire queylariesli	|---|--|------|-|
se rsi hesu	--⌫-|-⌫---|
estoituenuz etcom	-----|----|-||-|
hasterd alera luice	-----||---||--|-|
disoie nt il	------⌫-|-|
enlaci t edesalemineetenla	-|-|--⌫-⌫|-|-------|-|-|-|
cite decurrie	---|-|-----|
citede lapy teet	---|-|-|--⌫-|-|
esautres etbien	-|-----|-|---|
affe rmoient qu ilestoitser s	----⌫------|-|-|-----|---⌫|
dieumesilnesauoientouilert	---|--|-|-|-------|-|-|--|
et aincoisque plusd e yyiorz	-|---------|---|-⌫|-|---|
fuss ent passéo t ildeuan tlo	----⌫--|-----|-⌫|-|-----⌫|-|
sa inthomepr es	--⌫--|---|--⌫-|
homesque famesent re pris	----|--|----|---⌫--⌫---|
de plusorsenfermetezq uialui	-|------|---------|-⌫-||--|
s asembl erentquantillesuit	|------⌫----|----|-|--|--|
i l enfumultdolenzparse mblant	-⌫|-|-|---|-----|--|--⌫-----|
quariln elelaissoientreposer	---|-|-⌫|-|---------|------|
mesnonporquantenfisti lses	--|----------|-|---|-⌫|--|
oroisonsanostre	-------||-----|
seign orteusi	-----⌫-|---||
qui furent senéen icel e horeet	--|-----|----|-|----⌫|---|-|
t eusi ot apresyyiorset	-⌫--||-|----|-|---|-|
a uquantautierciori ssi	-⌫-----|-|----|--|-⌫--|
garitrestuitliyy dedenz	---|-------|-|-|-----|
une se maine par la u ol enteihesu	--|--⌫----|--|-|-⌫--⌫---|----|
etparlesproie re s	-|--|--|-----⌫--⌫|
cele t erremaintlisainz	---|-⌫---|----|-|----|
homy yanz etdedenz ce lterme	--|-⌫|--|-|-----|--⌫|----|
i nostres ire main tbel	|-----|-⌫--|----⌫|--|
mi rac lepor luietil enuoia	--⌫---⌫-|--|--|-|-|-----|
de denzceausien	--⌫---|-|---|-|
la terredepalesti ne	-|----|-|-------⌫-|
salu ers esfr eres etuiseter	----⌫-|-⌫-|--⌫---|-|------|
laestoientquant esechiusfu	-|-------|----|-------|-|
repa iriezl is ainz homse	----⌫----|-⌫|-⌫---|--|-|
quileniroi t	-|-|-|----⌫|
en eg ypteenun e	-|--⌫---|-|--⌫|
deserti ne q ui bu co leestoit	-------⌫-|-⌫-|--⌫--⌫-|-----|
qua rlanabitoit nuscr estiens	---⌫|-||------|--|--⌫------|
ainz erentcilde	---|----|--|-|
lacont ree	-|----⌫--|
multcruel g entetes tra ngedont	---|----|-⌫--|-|--⌫---⌫--|---|
se p artidel atantqu	-|-⌫---|-|-⌫|-----|
lo igdel a	--⌫-|-|-⌫|
me ray yl iuesunleu mult	--⌫||-⌫|-⌫---|-|--|---|
repostent re montaigneshautes	-----|---⌫-|---------|-----|
etasprese ta uiro nne esdeforez et	-|-----|-⌫|-⌫----⌫---⌫-|-|----|-|
darbre setaigue	|-----⌫|-|----|
iauoit belleetclere	|----|----|-|----|
la montaignedescendo it et	-|--------|--------⌫-|-|
unch am pelq uila	-|--⌫--⌫--|-⌫-|-|
estoi tmultbiaus	-----⌫|---|----|
etmu l t del itables	-|--⌫-⌫|---⌫------|
etarb resiau o itqui	-|---⌫--||--⌫-⌫-|--|
portoient deplusorsmanieres	--------|-|------|-------|
mes unques	--|-----|
lisainz homnengos ta	-|----|--||-|---⌫-|
quariln enn auoi t curei oste	---|-||--|----⌫|---|-⌫---|
quisi estoit delitables	--|-|-----|---------|
auoit unmult ancient emple	----|-|---|-----|-⌫----|
depa ien squi	-|--⌫---⌫|--|
to ze stoi entgastez	--⌫|-⌫----⌫--|-----|
e tlesmaisi eresf ondues	-⌫|--|-----⌫---|-⌫-----|
lapresauoitet	-|---|----|-|
parioretpar	--|--|-|--|
nuitt elresonement	---|-⌫-|---------|
crieesdeuoizdedi ables quece	-----|-|---|-|--⌫----|--|-|
se mb loitungranzo uzquilase	--⌫--⌫---|-|----|-⌫-|--|-|-|
logié et cecontoit	-----|-|-|------|
lis ainzhom	-|-⌫---|--|
et sidiscip lele	-|-|------⌫-|-|
testi moignent	-----⌫-------|
qui louirent quant	--|-|-----|----|
lisai nz hom	-|---⌫-|--|
uitcele usi	--|-|--⌫|-|
faitets i es tra nge s	---|-|-⌫|--⌫---⌫---⌫|
illi p lot m ult	-|-|-⌫--|-⌫--|
si iarestaeti	-||-----|-||
remestyyanzetcelifu m ult	-----|-|--|-|-|-|-|-⌫--|
granzcomforzu erslafindesauiequ	----|------|-⌫--|-|--|-|-|--|-|
iln estoi tmiesitr aualie zde	-||-----⌫|--|-|--⌫------⌫|-|
g enz comilso loit	-⌫--|--|-|--⌫---|
asp retedoleuetporcequeli	---⌫---|-|--|-|--|-|--|-|
pu ep les d e lacontreedisoitq ue	--⌫--⌫--|-⌫|-|------|-----|-⌫-|
lesam esiabitoient	--|--⌫-||--------|
o s oitnusuenir quiausainthome	-⌫-⌫--|--|----|--|-|----|---|
adoncauin tzz iorque lis ainz hom	----|----⌫|-|--|--|-|-⌫---|--|
issif ors d e	---|-⌫--|-⌫|
sonhabitacle	--|--------|
siregardadeuantluisi uitun	-|------|-----|--|-|--|-|
palesineusgesira l	---------|----|||
louit sise n	-|--|-||-⌫|
merueill amultet	--------⌫|---|-|
esichiumq ui cil	-------|-⌫-|--|
estoitetconmen t ila uo itla	-----|-|------⌫|-|-⌫--⌫-|-|
est ez amenezisichiu s	---⌫-|-----|-------⌫|
lirespondi	-|-------|
ilauoitestésiresdela	-|----|----|----|-|-|
cuilileus tenoitou	--|-|---|-----|-|
quan tli sainz oi	----⌫|-|----|-|
pl orersit e n disesmains	--⌫---|-|-⌫-⌫-⌫-|--|----|
celuiqui lag isoit	----|--|-|-⌫----|
dist elnon ihesucrist	---|-|--|----|----|
si uadonta uintchose	-|-|---|-⌫---|----|
e smeruil la bl eq uar apaineso t	-⌫-------⌫--⌫--⌫|-⌫--||-----|-⌫|
lisainzhoml aparoled ite	-|----|--|-⌫|-----|-⌫--|
ci l sailisusgarizde toz s es	--⌫|----|--|----|-|--|-⌫-|
qua n tcetechose fuseue	---⌫-⌫|---|----|-|---|
contree u nque slag rieztez ne	------|-⌫----⌫|-|-⌫------|-|
as p rete delauo ienifuresoignie	--⌫-⌫---|-|-|--⌫-|||-|--------|
quebeis o ignen ichacast	--|----⌫-⌫---|||------|
etfeistl espluso rsaleretia	-|----|-⌫-|-----⌫-|---|-|-|
es to it lanouelleespa ndu epa r	--⌫--⌫-|-|------|----⌫---⌫|--⌫|
quilni arest eroitmie	-|-|||-----⌫----|--|
longuement	---------|
quar ilfuiroitl ono rdecest	---|-|------||---⌫|-|---|
siecleetuoloitauoirsilen ceet	-----|-|-----|----|-----⌫-|-|
m enerpoureuie	-⌫---|----|--|
adon cestoitli sainz homdequ atre	----⌫|-----|-|----|--|-|--⌫---|
uinz anz deson aageet mul t ert	---|--|-|--|---|-|---⌫|--|
afebliz etmala dessi	------|-|----⌫--|-|
c omcil qui	-⌫-|--|--|
apro choi tl oior des on	----⌫----⌫|-⌫|--|-|-⌫-|
t respasse ment es ic hiu s niesto it	-⌫--------⌫---|--⌫--⌫---⌫|||----⌫-|
mieadonc etlisainzhom	--|----|-|-|----|--|
es cris tdesaprop remain unpo ide	--⌫----⌫|-|-|----⌫-|---|-|--⌫|-|
leitr ede s onte stam entquil	-----⌫|-|-⌫-|--⌫----⌫--|-|-|
ceestqui l lai ssoita	-|--|-|-⌫|---⌫----||
hesich iumce quil	------⌫--|-|-|-|
etque er tce ceert ses	-|--|--⌫|-|-|--|--|
euangi leset unecot e d esac	------⌫--|-|--|---⌫|-⌫|--|
quariln auo i t nuleautre ch os e	---|-||---⌫-⌫|---|----|--⌫--⌫|
deuantce unpetit e stoit morz	-----|-|-|----|-⌫----|---|
sesd esc iplesquilo se ruoitd ont	--|-⌫---⌫----|--|-|--⌫----|-⌫--|
u in t aluipluso rre ligieushom	-⌫--⌫||--|-----⌫|--⌫------|--|
de l a cited epaph e quant il	-|-⌫|---|-⌫|----⌫|----|-|
estoitmaladesquar il li	-----|------|---|-|-|
auoientoi direqu adonciroit	------|-|---|-|----|----|
il ano st res eig nor	-||--⌫--⌫-|-⌫---⌫--|
e tsiseroit	-⌫|-|-----|
deliurs deslie nsde cestemo rtel	------|--|---⌫-|-|----|--⌫---|
uie et co stance unesaintefame	--|-|--⌫-----|--|-----|---|
et cuibaron lisainz	-|--|----|-|----|
auoitdeliur ez	----|------⌫-|
delamortp arl	-|-|---|-⌫-||
qu ibeneiuintalsi	-||----|---|---|
quanttui tfur e ntasembléli	----|---⌫|---⌫-⌫-|-------|-|
sainzhomlesco ni ura	----|--|--|--⌫--⌫--|
de pardieu	-|--|---|
quetantostcomli	--|------|--|-|
ame liseroit	--|-|-----|
i ssue docors	-⌫---|-|---|
queilne lo	--|-|-|-|
gar d asse ntsort er reneis une so le	---⌫-⌫----⌫-|--|-⌫--⌫-|---|--|--⌫-|
hore ainzlenfoi s sent	---|---||-----⌫-⌫---|
maintenant	---------|
illuecenterretot si	-----|-|----|--|-|
estoitue s t uzatotesa haire	-----|--⌫-⌫-⌫-||---|-|----|
t oterti ali	-⌫-|--|-⌫|-|
sainz homrefroidizet	----|--|--------|-|
amortiz nen auoitenlui	------|-||----|-|--|
nuleuigord omefors tantsollement	---|----||--|---|---|--------|
remenb rance desens et	------⌫----|-|---|-|
n eporquant	-⌫--------|
our oitil lesiauz sidisoi t	---⌫--|-|--|---|-|-----⌫|
ameisfors dece stcors	--|-|---|-|--⌫-|---|
q ue crienstutuaspresserui	-⌫-|-----|-|-|-|---|----|
ihesucr is t deseptente anz	----|--⌫--⌫|-|-------|--|
etsic rienzlamortainsicom il	-|-|-⌫----|-|---|----|--|-|
dis oit c e	---⌫--|-⌫|
sirendilisainz	-|----|-|----|
l a rmedontl	|-⌫--|---||
e nfoirentc il qu i	-⌫-------|-⌫-|--⌫|
laestoi ent	-|-----⌫--|
quanthes echius li sainzhom qu i alez	----|---⌫-----|-|----|--|--⌫|---|
estoitempale stinesot	-----|-|----⌫----|--|
ceste chose il s	----|----|-||
enreuintenchypre	-|-----|-|-----|
so ncuerpor toli rceus dela	--⌫|---|--|----⌫|---|-|-|
totesopecon	---|------|
decequiuoloit	-|-|-||-----|
arr esteret	---⌫----|-|
me noirpor garder	--⌫---|--|-----|
dosa intho meainsii arresta	-|--⌫--|--⌫-|----||------|
moiset donc embl aillo	---|-|---|----⌫|-|-|
ylarie si l	-----|-||
enp ortae n	---⌫---|-⌫|
gra ntperildesa	---⌫-|----|-|-|
ui et antqui lreuint	--⌫|-⌫----|-⌫|-----|
enpalestine a ses freresq antili	-|--------||--|-----|-⌫--|-||
uinttuitlimoineetlesgr anz	---|---|-|----|-|--|--⌫--|
