#META #Text URI BenTro ieC	-----⌫|----⌫--|------⌫--|
#M ETA#DEAFhttp//ww w.deaf-page.de/bibl/bib99b.php#BenTroieC	--⌫---|---|--------⌫---------------------------------------|
#META#TLTroie	-----|-|----|
#META# FEWBenSMaure	-----|--|--------|
#META#ARLIMAhttps//www.arlima. net/ad/ benoit_ de_sainte-m aure.html#tro	-----|-----|------------------⌫-------⌫-------⌫-----------⌫------------|
#META#AuthorBenoît	-----|-----|------|
Come oso nperefumarrie	---||--⌫|---|-|-----|
Porsamauté	--|-|-----|
porsa folie	--|-|----|
DesTroïens	--|-------|
otg uerpiz	-|-⌫-----|
S or reiz sesre sponzeses diz.	|--⌫---|--|--⌫----||--|---|
Pag eu01P021	---⌫-------|
Ap rèsdirail egran ttorne i	--⌫---|----|-⌫|----⌫|-----⌫|
Lagrantbat a illeele	-|----|---⌫-⌫---||-|
QuEctor ifaitqui	-|----||---|--|
tozlesueint	--|--|----|
Co me illontpuis	--⌫-|-||--|---|
ploréeplaint	-----||-----|
De ço quilfu	-|--|-|-|-|
griefmentnaurez	--------|-----|
S orreizlaChambrede	|-----|-|------|-|
Quede labastre	--|-|-------|
Ecomentei fuestablie .	|-----|-|-|--------⌫|
Iluec orreizenchantemenz	----|-----|-----------|
Tresgiez em erueillo segenz	-------||-⌫--------⌫||---|
Sigra nzcomcuersp uetporp enser	-|---⌫-|--|----|-⌫--|----⌫----|
M outlefe rabuenescouter.	-⌫--|-|--⌫-|---|--------|
diraila f ine amo r	----|-|-⌫--|---⌫|
El a destre ceeladolor	|-⌫|------⌫-||-|----|
Que s ofrili fizTydeüs	--|-⌫---|-|--|------|
Puisporl amieTro ïlus.	---|--||---|---⌫-----|
Puisorreizlabatailleoit ai ne	---|-----|-|-------|---⌫--⌫-|
d ur a dun esema ine.	-⌫--⌫||--⌫|----⌫---|
Puisuosd irailauerité	---|--|-⌫---|-|------|
Pageu01P022	----------|
D u ne estrange morta lité	|-⌫-|-------|-----⌫----|
Qu eenl ost f u une f ei ee	--⌫|-||--|-⌫|--|-⌫--⌫-|
Esau eircom	|---⌫--|--|
Lafemm eHectorAndr omacha	-|----⌫|-----|----⌫-----|
De sforz songesqu	--⌫|---|-----|-|
e l esonia	-⌫-⌫|----|
E led eu ié ela	|-|-⌫--⌫--||-|
Qu ele fistd	-|--|---||
Ectorson se i gnor	----|--|--⌫-⌫---|
Quilnen e iss i sta	-|-|--|-⌫---⌫-⌫-||
labataill e	-|-------⌫|
De partlesd eus li	-|---|--|-⌫--|-|
distsansfaille	---|---|-----|
S ilial otnenuendra ituis	|-||--⌫-||-|------⌫-|--|
sereit leior	-----|-|--|
P uis uosdirai les granzd olors	-⌫--|--|----|--|----|-⌫----|
Quenotsamerees es	-|-|-|-|---||-⌫-|
Ad onc porreiz	--⌫--|------|
Comnellaissa	--|--|-----|
eissirPriant—	-----|-----||
pot aueirdeluiconsence—	--|----|-|--|-------||
Ecomlabataille comence	|--|-|-------|------|
Co mli rei sde	--⌫|-|---⌫|-|
Frise fu pris	----|-|---|
Quia grantpeinee n e storstuis	--||----|----|-⌫|-⌫-----|--|
Pag eu01 P023	---⌫----⌫---|
Co mTro ïenore nt leio r	--⌫|---⌫---|---⌫-|-|--⌫|
D ela b ataillelepeior	-⌫|-|-⌫------|-|----|
C om lib astarts iauiuerent	-⌫-|-|-⌫-----|||--------|
tropiendure rent	---||------⌫---|
Co me Hector naura	--⌫-|-----|----|
A chillès	-⌫-------|
E co mcille rocistaprès.	|--⌫|--|-|-----|------|
Aprèsorreizle fierdamage	-----|-----|-|---|-----|
Quenorentcil de sonlignage	-|-|----|--|-|--|------|
ComTroï en so ntaduelmis	--|-----⌫-|--⌫-||---|--|
Parles por t ausdemarbrebis	--|--|---⌫-⌫--|-|-----|--|
Comre isMennonço s auon snos	--|--⌫-|-----|--|-⌫----⌫|--|
TornacontreAchillè s tozsou s.	----|-----|--------⌫|--|---⌫-|
Sorreizles dueus	|-----|--|----|
l esfiersles	-⌫-|----|--|
CuidE ctor fai tli	--||-⌫---|---⌫|-|
reisPrianz	---|-----|
Parissisfrere eTroïlus	----|--|----||-------|
Enea s eDeïphebus	----⌫||---------|
Comfudeluienseuelir	--|-|-|--|--------|
Delcors e mbasmer euestir.	--|---|-⌫------||------|
Parleraide lasepout ure	-------|-|-|------⌫--|
Que t ropfu richese nzmesure	--|-⌫--|-|----|--⌫-|-----|
Pageu01P024	----------|
Iaquant eleuos	-|----|--|--|
iert retrai te	---|------⌫-|
N e direizmais que tel f ust	-⌫|-----|---|--|--|-⌫--|
Aprèsorreizla de scordan ce	-----|-----|-|--⌫-------⌫-|
La tençonla maleuoillance	-|------|-|------------|
Q uePala medèscomença	-⌫-|----⌫-----|-------|
Qu iAgamennon	--⌫|--------|
Parsonpor chaz epar sesdiz	--|--|---⌫---||--|--|--|
F u de la pr incéde ssaisiz.	-⌫|-|-|--⌫----|--⌫-------|
Puisorreiz le	---|-----|-|
complaignement	-------------|
QuereisP r ianz fait	--|---|-⌫-⌫---|---|
a la g ent	|-|-⌫--|
DEctorsonfil	|----|--|--|
queGreu ont	--|---|--|
Eli tolen tsonregneator t	|-|-----⌫|--|----||---⌫|
S orreizc omeil	|-----|-⌫--|-|
l e ua itu engier	-⌫|--⌫-|-⌫-----|
Al espeetrenchant dacier	||----|--------||----|
Mout f istle iorparler desei	---|-⌫--|-|--|-----|-|--|
T otlep ris	-⌫-|-|-⌫--|
o t de celto rne i	-⌫|-|--|--⌫---⌫|
DelreiSarp edonleu aillant	--|--|----⌫---|-|-⌫------|
Ede Telepo lon legr an t	|-|------⌫--|-|--⌫--⌫|
uo scont er a i lefierestor	--⌫|----⌫--⌫-⌫|-|---|----|
Equi en otle	|--|-|-|-|
Page u01P 025	----⌫----⌫--|
Ap rè sporreiz oïrmaneis	--⌫---⌫|------|---|-----|
fumorzlireisPerseis	-|---|-|---|------|
ComTroïe n	--|------⌫|
Furentleiordel	-----|-|--|--|
cham ptorné.	----⌫|------|
Adonc porreizoïr	----|------|---|
Comfaitem entlereipersant	--|------⌫--|-|--|------|
En ont enson païsporté	-|--|-|--|----|-----|
Ecome illontplainteploré	|---|-||--|-----||-----|
E enterré	|-------|
agr anthaute ce .	|--⌫--|-----⌫--⌫|
Puis pa rierai dune destrece	---|--⌫-----||--|-------|
Dune chiertéqueenlostfu	|--|-------|--|-||--|-|
Ecomeil furentsocoru	|---|-|-----|-----|
D elaniue rsair edel grant	-⌫||-----⌫-----⌫|--|----|
QuedEctor fistlerei Priant	--||----|---|-|--|-----|
Dessa crefices qui l ifait	--|--⌫-------|-|-⌫||---|
EcomdanzAchillèsiuait	|--|---|--------||---|
Comeilaamal apucele	---|-|---|-⌫|-----|
Pageu01P026	----------|
Poli xenaquetantertbele	----⌫---|--|---|--|---|
Comeil enuoustl	---|-|-|----||
o stfa i r ealer	-⌫-|--⌫-⌫-⌫|---|
Tant fudeli sorprisdamer	---|-|-|-|------||---|
Quenr e spondil i	-|-|-⌫-⌫-----|-⌫|
rei sT hoas	---⌫|-⌫---|
te neitmiea gas	--⌫---|--||--|
NenelrefistMenesteu ̈s	-|--|-----|--------⌫-|
Cil quidAtheneert sireedus.	--|--||-----|--|---||---|
Ap rè sorrei zla d escordance	--⌫---⌫|-----⌫|-|-⌫---------|
E l ire e lamaleuo illance	||--||-|------⌫------|
Quac e u sdelostaAchillès	-||-⌫-⌫-⌫|-||--||--------|
Quiiure que ianaurontma is	--|---|--|-||-----|--⌫-|
Nu liordelui	--⌫|--|-|--|
s ocorsn aïe	-⌫----||---|
A ses h omm esuieee	|--|-⌫---⌫-|---||
Queuns tozso us por rien quil	--|--|--|--⌫-|--|---|-|-|
noisanzaceusdeTroie	------||---|-|----|
Esi porre iz oï r con ter	|-|-----⌫-|---⌫|---⌫--|
Co m laissaar mesaporter.	--⌫|-----|--⌫--||------|
Lad ozimebata ille	-|-⌫----|----⌫---|
iert gran t	---|----⌫|
Qu eliLiures retr ait auant	--⌫|-|-----|----⌫--|----|
Resali reisd Aresse	---|-|---||-----|
Pageu01P027	----------|
uersTroïenspointe	---|-------|----||
Puis d iraic omDeïphe b us	---|-⌫---|-⌫-|-------⌫-⌫-|
Lo c istueia ntmil Greuse plus	|-⌫-⌫--|----⌫-|--|----||---|
EcomTela mon	|--|----⌫--|
I ertsor t ozc omeuassaus	|--|--|-⌫-|-⌫--|------|
ComentPalamedèslireis	-----|---------|-|---|
Quisireemai streertdes Grezeis	--|---||---⌫---|--|--|------|
OcistleiorDeïphebus	----|-|--|---------|
E Paris luine	|----|--|-|
uesquiplus.	-----|----|
Ad oncuosdiraia dreiture	--⌫--|--|----||-------|
Con fu d ela	--|-|-⌫|-|
d esconfitur e	-⌫----------⌫|
Des paueillon s qui furentpris	--|---------⌫|--|-----|---|
qu i fue s nes mis	--⌫|-|-⌫|--|--|
fuss entarsesle	----⌫--|----|-|
Tot senz defensee	--|---|------||
Nefust TelamonAïaus	-|---|------|-----|
Quiperdiémil deses uassaus .	-||------|--|-|--|-------⌫|
Aprèsdi ra icomfai tement	-----|--⌫--⌫|--|---⌫-----|
Li fiz HebercuiT raceapent	-|--|----|--|-⌫---|----|
uin teltref	---⌫|-|---|
A chillè s iriez.	-⌫-------⌫|-----|
Pageu01P028	----------|
Toz decoupezed etre nc hiez	--|-------||-⌫----⌫--⌫---|
Comeille laide ngeefoli e	---|-|-|-----⌫--||----⌫|
Porço que	--|--|--|
ilneloraïe	-|-|--|---|
Comei lchiet morzueiantse s	---|-⌫|----|---|-----|--⌫|
estsipleins d	--|-|-----||
Quilniguardene	-|-|-|-----|-|
nel en chaut.	-||-|-----|
S orreizco m	|-----|--⌫|
labatail lef aut	-|------⌫-|-⌫--|
ComDeïph ebusestplo re z	--|------⌫---|--|---⌫--⌫|
E de toz plainze	|-|--|-----||
Ereis Sa rpedon autresi	|---|--⌫-----|------|
Greu resont	---|-----|
Delorprince	-|--|-----|
Palam edès	-----⌫----|
Iahomsigrantduel nor ra	-|--|-|----|---||--⌫-|
Apre ̀sorrei z del grantconcire	----⌫-|-----⌫|--|----|------|
Laoi ostatot lor empire	-||-⌫---|--|--|-----|
Ecome Agamennonlireis	|---|--------|-|---|
Par l esguartco mun desG r ez eis	--||------|--⌫--|--|-⌫-⌫--⌫--|
Refuesliz a	---|----||
Sorlostpr inces	--||--|--⌫----|
e c omander e.	|-⌫-------⌫-|
P uis or re izdel trezimeestor	-⌫--|--⌫--⌫-|--|------|----|
Pageu01P029	----------|
Com Tr oïlusleueintle	--|--⌫-----|-|----|-|
Esi refi sti l lendemain	|-|----⌫-|-⌫||-------|
Bi ennos enf ait Dairescertain	--⌫-|--|-|-⌫--|-----|------|
A prèsi r ottriu esdonees	-⌫----||-⌫-|----⌫-|-----|
Quebi enfu rentaseürees.	--|--⌫-|--⌫---|---------|
SorreizcomentDiomedès	|-----|-----|--------|
Nestorliu ieuz e	-----|-|-⌫---||
Aleren t Achillèsprei er	------⌫|--------|----⌫-|
Quasba tailles loru ienge a idier	-|-|--⌫------|--|-⌫----|-⌫----|
Mais nipore nt nul bi en trouer	---|||----⌫-|--|--⌫-|-----|
Por çosencuiderent raler.	--|--||-|--------|-----|
MaisdanzCa lcasli deuiner e	---|---|--⌫---|-|-------⌫|
E li tressagesaugur er e	|-|---|----|-----⌫--⌫|
Parson sen	--|--|--|
Lesatrestozf aiz	--||------|-⌫--|
remane ir.	------⌫--|
Aprèsreconte liEscr iz	-----|------|-|----⌫-|
Comraiostalifereï z	--|------|-|------⌫|
Lidolorose li	-|------||-|
Pag eu01P0 30	---⌫------⌫-|
Oumorurentmil bons uassa us	-|-------|--|---|-----⌫-|
Ou Troi ̈lus ligenzli pr oz	-|----⌫---|-|---|-|--⌫-|
Dambedousparz lesuenqui toz	|-------|---|--|-----|--|
Co meilnaura Diomede ̀s	--⌫-|-|----|-------⌫-|
Par mile c ors d e plai neslais	--|-|-|-⌫--|-⌫|----⌫|-----|
E sicomeillerampo g na	|-|---|-|-|-----⌫-⌫-|
Por s amieBriseïda	--||---|--------|
Li reprochef u rentmou t	-|-------|-⌫-⌫---|---⌫|
Eenmainzlieu sdi t e retra it.	|-|----|----⌫|--⌫||-----⌫--|
Adoncorreiz com faitement	----|-----|--|--------|
LafilleCalcasse	-|----|-----|-|
Por ç o qu	--|--⌫|-|
elea d amorboi s ié	--|||---|---⌫-⌫--|
mentie trichié.	----||--------|
A près orreiz leparlement	-⌫----|-----|-|--------|
Que Greu firent co m unaument	--|---|-----|--⌫-⌫-------|
DAchille ̀srequer reesomondre	|-------⌫-|------⌫-||-------|
Maisneloruous tnulb i enresp ondre	---|-|--|----⌫|--|-⌫-⌫-|----⌫----|
Desorsonui é e sor son peis	----|--|--⌫-||--|--|---|
Lorb aill asesMirmid oneis.	--|-⌫----⌫|--|------⌫-----|
MaisTroïlusleprolesage	---|-------|-|--|-|---|
Moutso u e nt lori fait	---|--⌫-⌫-⌫-|--||---|
Pageu01 P031	-------⌫---|
Souent lor faitlesc ors sanglan z	-----|--|---|--|-⌫--|-------⌫|
Dec est Achillèsmout dol enz	-||--|--------|---|---⌫--|
Etmoutainsos emouti riez	-|---|-----||---|-⌫---|
Qu art ro p se ueitenda magiez .	--⌫-|-⌫--⌫|-|---|----⌫------⌫|
Pu isdirailedef inem ent	--⌫-|----|-|---⌫----⌫--|
De lab atailleedel	-|-|-⌫------||--|
Com Troïlus	--|-------|
fu desarmez	-|-------|
DedenzlaChambredeBea utez	-----|-|------|-|---⌫---|
Ou s a me refistsigrant duel	-|-⌫|--⌫-|---|-|----|---|
Que mor te fus t milfeiz	--|---⌫-|---⌫|--|---|
sonuueil .	--|-----⌫|
Apr ès orreiz	---⌫--|-----|
come il secl ai me	---|-|-|--⌫--⌫-|
De.lafilleCalcas q ui aim e	--|-|----|-----|-⌫-|---⌫|
Son ene mi pesme	--|---⌫-|----|
enditgrant mal.	-|--|----|---|
Aprèsporreizoi ̈r	-----|------|--⌫-|
C om e Ac hillè smue rtporamer	-⌫--⌫|--⌫------⌫|---⌫-|--|---|
Q uiconse il ne	-⌫-|-----⌫-|-|
c onfort nentrueue	-⌫-----||-|-----|
Nenest sih a rdizquil	-||--|-|-⌫-⌫---|-|-|
Ne que iln uisea s Troïens.	-|--|-|-⌫---|-⌫|--------|
A doncorreizquen	-⌫---|-----|-|-|
Irotbata illegr ant e fiere	|--|----⌫---|--⌫--||----|
Pageu01P0 32	---------⌫-|
Te ldonttreim iliur ent en biere	--⌫|---|---|-⌫-|---⌫--|-|----|
A ntilogusleprolebel	-⌫-------|-|--|-|--|
IgetamortBrun	|---|---|---|
Doncuosdirai quant Troïlus	---|--|----|----|-------|
IuintqueGr eus	|---|--|--⌫--|
t intplus.	-⌫--|----|
Adoncorrei zcome Achillès	----|-----⌫|---|--------|
Ne pot sofrirnatendre	-|--|-----||------|
A rme ́ lenestutei ss irfors	-⌫---⌫||-|----|--⌫--⌫-|---|
Epo rmortd efend re so ncors.	|--⌫|---|-⌫-----⌫-|--⌫|----|
Donc por reizmeru e illesoï r	---|---⌫---|----⌫-⌫----|---⌫|
quilf ista l auenir	-|-|-⌫--|||-----|
Comeenlestor disenoua in	---|-||----|--||----⌫-|
OcistT roïlusdesamain	----|-⌫------|-|-|---|
Par legrantesfor z de sagent	--|-|----|-----⌫|-|-|---|
Bienu os seraretrait c oment.	---|-⌫-|---|------|-⌫-----|
Toteno rdre dit uossera	--|-|-⌫---|--|--|---|
La uiec uimeine	-|--|-⌫-|----|
P orsesfiz quisontmort	-⌫-|--|--|--|---|---|
Page u01 P 0 33	----⌫---⌫-⌫-⌫-|
So rreizque l enginel porquiert	|-⌫----|---⌫|----|-|--------|
Entrai ̈son	-|----⌫---|
quar nenpuet	---||-|---|
Faitto tdetrenchierAchillès.	---|--⌫|----------|---------|
L i granze smais elideshaiz	-⌫|----|-⌫----||-|------|
E li gr anzdueus quienfufaiz	|-|--⌫--|----|--|-|-|---|
uossera tozcontez	--|---|--|-----|
Ecomchascu ns s en fust	|--|------⌫-||-|---|
Ne fustCal cas	-|---|---⌫--|
quip ristrespons	--|-⌫---|------|
Equilorfis t parses sermo n s	|--|--|---⌫|--|--|-----⌫-⌫|
QuerrePirronq uimoutfu	-----|-----|-⌫-|---|-|
Quid armes	--||----|
le suenquipuis t oz.	--⌫|-----|---|-⌫--|
Doncuientlab ataille	---|----|-|-⌫------|
Sorreizco ment reisAïa us	|-----|--⌫---|---|----⌫-|
Oc istPar isePa rislui	--⌫--|---⌫-||--⌫--|--|
Ensif inerent ambed ui.	---|-⌫------|-----⌫--|
Retraiz uos i ertlidueus	------|--|-⌫--|-|----|
Pag eu01P034	---⌫-------|
Mais ionecui tque	---|-|-|---⌫|--|
rien humaine	---|------|
F eïs t onques si angoissos	-⌫----⌫|-----|-|--------|
Sipesme nesi doloros .	-|----|-|-|-------⌫|
Le m onde o rreiztresto t	-|-⌫---|-⌫----|------⌫|
Eretrai ree	|------⌫-||
conteredi re	-----||--⌫-|
Coment ilestnenque lmesure	-----|-|--||-|---⌫|-----|
Ço q u onentrueueenescri ture.	--|-⌫|-|-|-----|-|-----⌫----|
Donc uosier tl ueure recontee	---|--|---⌫||----|-------|
ComfaitementPanthes ile e	--|--------|-------⌫---⌫|
socorrelaci té	------|-|--⌫--|
proëcees a	------||-⌫|
C omparerentmoutli	-⌫---------|---|-|
Ainzquepas sassentliduimeis.	---|--|---⌫------|-|--|----|
De li porreizoïr	-|-|------|---|
Quentotlem ont n	-|-|--|-|-⌫--||
ot oncsa per.	-|--|-|---|
Dituoss erac ome	--|--|-⌫--|-⌫--|
el defi ne	-|----⌫-|
E l agrant eueoulom traïne	|-⌫|----|--|-||-|------|
Sonco rsa due le	--|--⌫-||---⌫||
ape chi é.	|--⌫---⌫--|
Apr èsorreizdel granttraitié	---⌫--|-----|--|----|-------|
Quefait Ditis doreenaua nt	--|---|----||--|-|---⌫-|
Coml o n traïstlere i	--||-⌫|------|-|--⌫|
Pa geu01P035	--⌫--------|
Come nt litra ïtor ourerent	----⌫-|-|---⌫----|-------|
Qui la traïs on porparlerent	--|-|------⌫-|-----------|
Quiilfurentc omeorentn on	--|-|-----|-⌫--|----|-⌫-|
QuiemblalePall adi o n	--|----|-|----⌫---⌫-⌫|
Co mli cheuaus fuestabliz	--⌫|-|------|-|-------|
EeltempleMinerueofri z	|-|-----|------|----⌫|
Come enfuarsela	---|-|-|---|-|
EYlio niuscrauenté	|----⌫|--|--------|
EP rianz lireisdetrenchiez	|-⌫----|-|---|----------|
Dont fugranzdueus e granz pechiez.	---|-|----|----||----|-------|
S e orrei z	-⌫|-----⌫|
lagrantocis ion	-|----|----⌫--|
fieredestrucion	----|---------|
Ia nedir eiz que telfustfaite	-|-|---⌫--|--|--|---|----|
Quanteluos	----|-|--|
iert diteeretra ite	---|---||-----⌫--|
Sorreizqui n fume nez ch aitis	|-----|---⌫|-|--⌫--|--⌫----|
Eceus qui enestorstren tui s.	|---|--|-|----------⌫|--⌫-|
Lam esl ee	-|-⌫---⌫-|
el acontenço n	|-⌫|---------⌫|
Q uerefudel P alladion	-⌫-|---|--|-⌫-------|
uossera conteepar diz	--|---|-----|--|--|
Telamo nfum ordriz	------⌫|-|-⌫-----|
ComeUlixès	---|------|
s or cuifu mis	-⌫-|--|-|--|
Pageu01P036	----------|
Sen estden uita lezfuitis.	|-|--|-|-⌫--|-⌫--|------|
Sorrei z c om fu	|-----⌫|-⌫-|-|
rendueHele ine	-----|----⌫--|
A son seignor amoutgrantpei ne	|--|------||---|----|---⌫-|
Com Polixena lapucele	--|-------|-|-----|
L a fillealreiP riantla bel e	-⌫|----|-|--|-⌫----|-|---⌫|
Fupuis altombel	-|---|-|-----|
DAchill ès quitantlot amee	|------⌫--|--|---||-|---|
Ço fugranz dueus	--|-|----|----|
e grantd olor	|----|-⌫---|
Puislec omparerentplusor.	---|-|-⌫---------|------|
Bienest quelacheisonoi e z	---|--|--||-------|--⌫-⌫|
Por quEneasfueissilliez	--|-|----|-|---------|
Comentl i G reu senrepa irierent	-----|-⌫|-⌫--||-|----⌫-------|
Ecomentilr eperi lliere nt	|-----|-|-⌫-----⌫------⌫-|
Comeil alerentadolor	---|-|------||----|
Comen t furentmortliplusor	-----⌫|-----|---|-|-----|
ComeAgamennonfu mor driz	---|--------|-|---⌫---|
Ecom le ue niapuissisfiz	|--|-|--⌫--|---|--|--|
Desame re demeineme nt	-|-|--⌫-|---------⌫-|
Asse zor re iz uo sbien come nt.	----⌫|--⌫--⌫-|--⌫|---|----⌫--|
Contéuosseralesahanz	-----|--|---|--|----|
Pag eu01P 037	---⌫-----⌫--|
Que Ulixès	--|------|
sofrisetanz	----|--|--|
D Anteno rcom eilespleita	|------⌫|---⌫|-|-------|
Desacitéqueil	-|-|----|--|-|
DePirrus lefil	-|-----|-|--|
Achi llès	----⌫----|
Qui asse z fufe leengrès	--|----⌫|-|--⌫||------|
Porreizsaue ir comeill en prist	------|----⌫-|---|-||-|----|
De s esdous	-|-⌫-|---|
on cle s qu ilocist	--⌫---⌫|-|-|----|
Ecomrocis tluiOrestès	|--|-----⌫|--|-------|
Porsafemme lonc tensapre ̀s	--|-|----|---|---|----⌫-|
ComeAndromachala uail lant	---|---------|-|----⌫---|
Enremestgrosse	-|-----|-----|
dunenfan t	|-|-----⌫|
Cuilif iz H ec t or fistpuisrei	--|-|-⌫-|-⌫--⌫-⌫-|---|---|--|
Tresto taua nt	------⌫|---⌫-|
Lesson ge sq uUli xèssonia	--|---⌫--⌫|-⌫|---⌫---|----|
Que ia nus	--|-|--|
hommais teus n	--|---|---||
Comentsi s fizTele gonu s	-----|--⌫|--|----⌫----⌫|
qu is treismei s eplus	--⌫-|----|---⌫||---|
L o cist puisp ar	|-⌫---|---|-⌫-|
mesauenture	----------|
Ens icomretraitl Escri ture .	---⌫|--|------||-----⌫----⌫|
Lesueuresqueci	--|-----|--|-|
son tnomees	---⌫|-----|
Sont elLiu resireconte es	---|-|---⌫-|-|-------⌫-|
Pa g eu01P038	--⌫-⌫-------|
Quatoterieniert aplaisir	-||---|---|---||------|
lesferabuenoïr.	--|---|---|----|
# |LATOISON	||-|-----|
DORAMOURS DE IASONET	|-|-----|-|----|-|
DE MÉDÉE.	-|-------|
Peleu ̈sfu uns riches reis	-----⌫-|-|--|-----|---|
Mo ut prozmou t sages mout	--⌫-|---|---⌫|----|---|
ParG recealot saseignorie	--|-⌫---|---|-|--------|
Edel regne	|--|----|
ot moutgrant	-|---|----|
teneit q ui tement	-----|-⌫--⌫-----|
Bien eenpaisesag eme nt.	---||-|---||---⌫---⌫--|
Icistreisau eitunsuenfrere	----|---|--⌫--|-|---|----|
Fildesonpereede sa mere	--|-|--|---||-|-|---|
Esone r tparnonapelé	---|-⌫-⌫|--|--|-----|
E nPene lope lacité	-⌫|----⌫---|-|----|
Nesai se rtreisocuenso	-|--||-⌫-|---||----||
Quar liLiures nemenditp lus.	---|-|-----|-||-|--|-⌫---|
Ici stEsonunfilaueit	---⌫-|---|-|--|----|
QuiI asonapelez esteit	--|-⌫---|-----|-----|
Pageu01P039	----------|
D e grantbeautéede	-⌫|----|------||-|
grantpri s	----|---⌫|
Edegrantsen	|-|----|--|
sicom iotruis.	-|--|-|-----|
Grantforceaueitegrant	----|----|----||----|
