o ezseignurs pur deuuuspri	-⌫-|-------|--|--|--|--|
grace replenie	----|-------|
ke nes tsuz	-||--⌫|--|
ke nese itpa rluigarrie	-|-|--⌫-|--⌫|--|-----|
tantparest	---|--|--|
dedeuame e	-|--|---⌫|
de quiamurestal ume e	-|--|---|--|--⌫---⌫|
quen epotestreac untee	--|-⌫|--|----|--⌫----|
sagrantua lur ne n ese smee	-|----|--⌫--|-|-⌫-|-⌫---|
nepot homeal uiu eni r	-|--|---||-⌫-|-⌫---⌫|
silestmalade quasun	|-|--|-----|-||--|
nefacesaneregarr ir	-|---|----||----⌫-|
parsa preeresanzmentir	--|-|-----|---|-----|
les mors suscit epar s a preere	--|---|------⌫|--|-⌫|-----|
asc ysdu ne	-|-⌫-|--⌫-|
asmuzparo leentiere	-|--|----⌫-|------|
as surz aclop s rest aidere	-|---||----⌫|---|-----|
purcosauum certeinement	--|-|----|-----------|
quesei luai tdeuotement	--|-|-⌫|---⌫|---------|
sa n és e rrahastiuement	--⌫-⌫-|-⌫-⌫--|----------|
ne u ustargezpurc oni ent	-|-⌫-|-----|--|-⌫|--⌫--|
faitessiretuitaprester	-----|---|---|-------|
quanqueacest	------||---|
err e estmester	---⌫|--|-----|
ecille faitsanz nultarger	|--|-|---|---|--|-----|
pusfaitsunfizlamer	--|---|--|--|-|--|
le fiz acui l t	-|--|----⌫-⌫|
carmultcuueite	--|---|------|
qu ant uentota uol unte	--⌫--|---|-||---⌫---|
enm e rse mets iestpass é	-|-⌫-⌫|-|--|-⌫|--|----⌫-|
quantde l a mer est eitissu	----|-|-⌫|--|---⌫--|---|
tantesterré q u i l es tuenu	---|--|----|-⌫|-⌫|--⌫|---|
deu antladame siestchau	---⌫--|-|---|-|--|---|
deuan tsespieztu itestendu	-----⌫|--|---|--⌫-|------|
damefait ilpurdeu	---|---|-|--|--|
pu rs a bu ntee	--⌫|-⌫|--⌫--||
a i ezmercidela lan gur	-⌫-⌫-|----|-|-|---⌫--|
duntsuisusp ris agrant	---|--|----⌫--||----|
duce damepur deuuuspri	---|---|--|--|--|--|
deces tdolen t eez merci	-|---⌫|-----⌫|--|----|
keion e s eiedelt u it	-|-|-⌫|-⌫--|--|-⌫-⌫-|
parice stmalduntailangui	--|---⌫-|--|---|-|-----|
siione pu sd elmalgarrir	-|-|-|--⌫|-⌫-|--|-----|
eiluusue nistapleisir	|-|--|--⌫---||------|
melz uoldreie	---|-------|
asezmu rrir	---|--⌫---|
quelunges u iu r e	--|-----|-⌫--⌫-⌫|
