cicomenceli	-|------|-|
estquimadescoueté	--|--|||---------|
ainzné filregardesi l aueu riant	---|--|--|------|-|||--|----|
leioene dalezlui corre c ie ́e t dolant	-|----|----|--|-----⌫-⌫--⌫|-⌫|-----|
cui daquil fust	---⌫-|-|-|---|
batu z sisaillien estant	----⌫|-|-----|-|-----|
dimoiporqoituplo resne l me	-|--|--|--|-|---⌫--|-||-|
celernoiant	----|-----|
mes f reresuittonm enb resis	--|-⌫----|--|--|-⌫---⌫-|-||
en alagab ant	-|--|---⌫--|
etieterecouripor	-|-|-|------|--|
ce enuoisplorant	-|-|---|------|
tueusdroit	-|--|----|
biaus fi z qantt udemoiplo r a s	----|--⌫|---|-⌫|-|--|---⌫-⌫-⌫|
certe sie suimolt uiaxsiaiesté	-----⌫|-|--|---|---|-|-|----|
li uinssimeso uprist	-|---|-|-|--⌫-----|
net enmeruilli e r p a s	-||-|--------⌫-⌫|-⌫-⌫|
por cequeme co uris dou cemen t	--|-|--|-|--⌫---|---⌫-----⌫|
de ces dras	-|--|---|
ben eoizsoiestuetbeneoizseras	---⌫---|----|-|-|------|----|
tuua ansuz deciquidemoite gabas	-|-|----|-|-|--|-|--|-|----|
male o iz soiestu tozle siorzq ue uiur as	----⌫-⌫-|----|-|--|--⌫|---|-⌫-|----⌫-|
cuuerstuiesde celenacio n	-----|-|--|-|---|-----⌫|
quedamerd ex mal di st ce fu kains	--|------⌫-|---⌫--⌫-|-|-|----|
ilocis tsonbel	-|----⌫|--|--|
frerea b el	----|-⌫-⌫-|
part raison	--|-⌫-----|
porcequeme	--|-|--|-|
gabas ornosdepartirom	----|-|--|---------|
cilalaissiésomper efuisen	--||-------|--|---⌫|--||-|
tuit cilquideluiuindrentfurentdieu anemis	---|--|--|-|--|-------|-----|---|-----|
ensementsontdouper e liautredeparti	-------|---|--|---⌫|-|----|------|
decesyy poruoirestlimons raampliz	-|--|-|--|---|--|-|---|-------|
de noelqui fist	-|---|--|---|
larchee t desesyy biaxfiz	|----|-⌫|-|--|-|---|--|
tantuesqu i comdi eu plot moltfu bones a	---|-----⌫|--|--⌫-|---|---|-|---|-⌫|
cene fait pasacro ireq	-|-|---|--||---⌫--||
enbonliunefust mi s	-|--|--|-|---|--⌫|
doulinag e noedes	--|-----⌫|--|--|
fiza ses anfanz	--||--|-----|
moute pliali	-----⌫---|-|
gentpl usdemi l	---|--⌫-|-|--⌫|
donc f unez	---|-⌫|--|
encestsieclezz	-|---|-----|-|
sainzhom abrehanz	----|--|-------|
cilfupro dom etsages et	--|-|---⌫--|-|----|-|
fu toz iorzuai llanz	-|--|---|---⌫----|
ce stui am ato zs i ecl e s s icomtrouons l isant	--⌫---|--⌫|--⌫|-⌫-⌫---⌫-⌫|-⌫|--|------|-⌫----|
ancor fust ses linages enuers deumoltuaillanz	----|---|--|------|-----|--|---|-------|
seilcre i ssentce quelordistabrehan z	-|-|---⌫-⌫----|-|--|--|---|-------⌫|
abreha nsfup rodom etplains	------⌫-|-|-⌫----|-|-----|
degrant bo nte	-|----|--⌫--|
mol tmenas aint e uiepuisqu	---⌫|---|-⌫----⌫|--|-----|
il uinten ae	-|---|-|-|
onques nama mancong e ainzamauerite	-----||--|-------⌫|---|--|-----|
nefulu x uriex	-|-|--⌫-⌫----|
ainz amachastee	---|--|------|
d iexdouci el uint	-⌫--|--|--⌫-|---|
aluiiadis ent ri nite	|--|----|-|-⌫--⌫---|
troi sanfa nz	----⌫|----⌫-|
ui tuenirdroit au	--⌫|----|----|-|
piedouman bre	--|--|---⌫--|
enadeces yyabr ehanzaoré	-||-|--|-|---⌫----|----|
herberia lan uitason oste	-------|-|-⌫--||--|---|
moltfistbienabrehanzqantil d eu	---|---|---|-------|---|-|-⌫-|
d roitau pi edoumanbre q antluitier z	-⌫---|-|--⌫|--|-----|-⌫--|--|----⌫|
qanta ses pi ez chaidoucement	---||--|--⌫-|---|--------|
de ce fist ilque	-|-|---|-|--|
sagesqa ntillide manda	----|--⌫-|-|-|--⌫----|
o uirast u	-⌫|---|-⌫|
bia usirecilres pondu lia	---⌫|---|--|---⌫----|-||
sodo me u ois destruire cil mercili cria	----⌫-|-⌫--|--------|--|----|-|---|
que dant loth n e perisseetil	--|---|---|-⌫|------|-|-|
ameffait laenuoilo raler	|------|-|-|---|-⌫|---|
et icild egomorre nelor uoil	-|---|-⌫|------|-|--|---|
qu eil uiu entent rausdegran tiniquite	--⌫|-|---⌫--|---⌫|--|-|----⌫|-------|
nenaurontraancon sa c hiezdeuerite	|-|-----|------|--⌫-⌫---|-|-----|
e nenfer eniro nt lesc itez	-⌫|----|-|---⌫-|--|-⌫---|
loruiees tmoltmaluaise	--|--|--⌫|---|-------|
cesachiezdeuerte	-|------|-|----|
liu n sho mgistala utretuit	-|-⌫-⌫|--⌫|---|||-⌫---|---|
au trete l	--⌫-----⌫|
home femeetenfan t tuitseront	---|---|-|-----⌫|---|-----|
ditesm oibi a usdozsire	----|-⌫-|--⌫-⌫-|--|---|
d edan t lot hque ferom	-⌫|---⌫|---⌫|--|----|
par mafoiabreh ampas ne l	--|-|--|-----⌫-|--|-||
t eceler om	-⌫|-----⌫-|
lacite de sodo me	-|---|-|----⌫-|
trest outedest ruirom	-----⌫---|----⌫-----|
certe sq ueiad	-----⌫|-⌫-|-||
un solnule merci	-|--|---|----|
acexquis ontanaistrecestexemple	|--|--|-⌫--||------|---|------|
pechiese gardentdo ntianauron t	-----|-|------|--⌫-|-||-----⌫|
de ce merc iaur om	-|-|----⌫|---⌫-|
etqu eie rtdesafameice	-|--⌫|--⌫-|-|-|---|--|
bien te d irom	---|-|-⌫---|
abrehan dist li siresam isa moi en tent	------|---|-|----|--⌫-||--|--⌫---|
iesai qenl acitesimainnent	-|--||-|-⌫|---|-|-------|
ilm on ttuit molt	-||--⌫|---|---|
meffaits achesuera ie ment	------|-⌫----|----⌫--⌫---|
dela fe me qu edizd ont	-|-|--⌫-|--⌫|--|-⌫--|
quiersalegement	-----|--------|
al issir qu e ferade celeauersegen t	||----|--⌫|---|-|---|-----|---⌫|
deparmoilidirasnesere gartnoi ent	-|--|--|-|----|-|-|--⌫---|---⌫--|
s ilauien tque trepast cest	|-|-----⌫|--|------|---|
mien com mendement	---|---⌫--------|
e ncel liu rem aindraporexemplea lagent	-⌫|--|--|---⌫-----|--|------||-|---|
alonsalaci teselfe ras	----||-|--⌫-|-||--⌫--|
dialothle messagega r denelimen tir	-||---|-|------|--⌫-⌫-|-|-|---⌫--|
safemeen mainto luiet	-|---|-|----||--|-|
se pai nt defoir	-|---⌫-|-|---|
quela citez fond ra	--|-|----|----⌫-|
parz z sigra nt air	--|-⌫|-|---⌫-|--|
quelonp orrale scroisparto ut	--|--|-⌫---||-⌫-----|--|--⌫-|
le montoir	-|---|--|
ab re hans lisainzhomen	--⌫--⌫---|-|----|--|-|
loth i ssir	---|-⌫---|
ilgarnibien saf emeqantceu int au	-|----|---|-|-⌫--|---|-|-⌫--|-|
qu esarrierregar doit qu	--⌫||-----|-----⌫---|-|
ill estouramorir	-||------|----|
cene fistp aslafole ancois	-|-|---|-⌫-|-|---|-----|
qanteleoilescrois	---|--|-||------|
q uel a citez iet a	-⌫-|-⌫|----|---⌫|
quitout eantiere ardanzen senenferala	--|----⌫|------|-----|--⌫|-|----|--|
aincdouliu	---|--|--|
ne neseremua	-|-|-|----|
neualoirneli	-|-----|-|-|
pot danz loth qui len mena	--|---|---|--||-|---|
e mpie rre d eselet	-⌫|---⌫--|-⌫|--|-|
iluec la laissa	----|-|-----|
ancor iest eleore	----||--|--|--|
iamaisnempartira	-----||-|------|
iu sqaliord ouiuis equed iexnosiugera	--⌫-|-|--|-⌫-|----⌫|--|-⌫--|--|-----|
si com auezoiperirentle s	-|--|---|-|-------|--⌫|
malua is tiezpar	-----⌫--⌫---|--|
texiniq uitez	--|----⌫----|
danz lo theneschapa	---|--⌫-|-|------|
maissaf eme	---|-|-⌫--|
par deforsla cite sico m	--|-----|-|---|-|--⌫|
abreh anzet dansloths i	-----⌫--|-|---|---|-⌫|
sensontretornez	|-|---|-------|
et die xenson hauttron eestlisiremon tez	-|---⌫|-|--|---|----⌫|--|-|---|---⌫--|
signor det expechi ezuosprique	-----|-|-⌫-|-----⌫-|--|--|--|
uos gardez	--|-----|
n isauonspenitance forscelidescitez	||-----|--------|---|---|--|----|
sensiueztex pechiezce rtes uosperirez	|------|--|------|--⌫---|--|------|
aun aturel pech ie desfemesu os	-|-⌫-----|----⌫-|--|----|-⌫-|
d espo usesdeparentessig nor	|----⌫---|-|-------|---⌫--|
bienuosga rdez	---|--|--⌫---|
sign ororentendez zz rom anz	----⌫-|-|-------|-|---⌫--|
qu iest faizet	--⌫|--|---|-|
e straiz de moltha ute raison	-⌫-----|-|---|--⌫--|-----|
i ele faz dece l u i quiestetdiexet	-⌫|-|--|-|--⌫-⌫-⌫|--|--|-|---|-|
te rre funez comsoffripas sion	--⌫--|-|--|--|-----|---⌫---|
com il moruencroiz desaresurrexion	--|-|---|-|----|-|-|----------|
do u i ordepente coustedelaparition	--⌫|-⌫-|-|-----⌫-----|-||--------|
signorcomnosuenisme sparluia	-----|--|--|-------⌫|--|--||
comauiuiseauronsde	--|-|----|-----|-|
n o z pe chiez pardon	-⌫-⌫|--⌫----|-----|
par foisemes coutez	--|--|-||--⌫-----|
uosor rezrai son uo ir e	--|--⌫--|---⌫--|--⌫--⌫|
p arboncue r	-⌫-|--|---⌫|
len t endezque diexuo sd o in t sa	|--⌫-⌫----|--|---|--⌫|-⌫-⌫--⌫|-|
n est pascontroueur ee scritest enestoire	|--|--|----------⌫|-⌫----|--|-|------|
po ramo rdieuu ospri quel	--⌫|---⌫|---|-⌫-|--|--||
ai ezen m i moire	--⌫-|-|-⌫-⌫----|
cenosd ist d an z hermansquidist par ole	-|--|-⌫--|-⌫--⌫|------|--|---|---⌫--|
nese doitcresti e nsdebieno irrecr oi re	-|-|---|------⌫-⌫-|-|---|-⌫-|----⌫--⌫-|
qui b ienoitet	--|-⌫--|--|-|
b ienfaittempresesten uit oire	-⌫--|---|------|--|-|---⌫---|
signor or entendezque diex uosbenoie	-----|-|-------|--|---|--|-----|
cist r om a nznest	---|-⌫--⌫-⌫-||--|
nulelecherie	---|-------|
aincoisestfaizdedieule fil sa inte	------|--|---|-|---|-|--|--⌫---|
de ihesuet deli uosre dir ons	-|----|-|-|-|--|--⌫---⌫--|
doulinage sa me reest b iendroiz	--|-----|-|--⌫-|--|-⌫--|----|
queuo sdie	--|--⌫|--|
s ignor dou montne	-⌫----|--|---|-|
ltenez a folie	|----||----|
se b iennelescoutezuosferezgrantsotie	-|-⌫--|-||-------|--|----|----|----|
ne t enezagaboisiceque uosdirai	-|-⌫---||-----|--|--|--|----|
cefua unnoelque molt bie n	-|-||-|---|--|---|---⌫|
clers meforfist form entmencorreca i	----|-|------|----⌫--||-|-------⌫|
unardan ttiso n pr is	-|-----⌫|----⌫|--⌫-|
enuer slu ile	-----⌫|--⌫|-|
ars mon doi	--|--|--|
zz pe titonquesn e	-|--⌫--|-----|-⌫|
ne feripaslec lercnea lu inadesai	-|---|--|-|-⌫---|-||--⌫||-----|
enzzlitmendo rmi mais qant iem	-|-|--||----⌫--|---|---|-||
mamaintrouai anfl ee	-|---|-----|----⌫-|
sique morirquidai	-|--|----|-----|
adonc mandailep restreca r ie	----|-----|-|-⌫-----|--⌫|-|
quidai m orir	-----|-⌫---|
fair econf esporle	----⌫|----⌫-|--|-|
mie ndepartir	---⌫|-------|
p or lepechieqoifaitdont iequidai morir	-⌫-|-|-----||-|---|---|-|-----|----|
confesfui ae s trousne	-----|--||-⌫-⌫----|-|
uos enquiermentir	--|-|----|-----|
sif uanfle zmes doizque	-|-⌫|-----⌫|--|---|--|
ilm edutpartir	-|-⌫|--|-----|
mandaimirespart outn e	-----|----|--|-⌫--|-⌫|
menporentgarir	|-|-----|----|
i or znepoum angier neboiure n edormi r	-⌫--⌫|-|--|-⌫-----|-|-----|-⌫|-----⌫|
seieoilorspoorne	-|-|-|---|---|-|
faitadema nder	---||----⌫---|
dontqu idai aestrousde cestsi eclefiner	---|--⌫---||------|-|---|--⌫---|----|
en mon lit	-|--|--|
ougisoieme prisa porpense r	-|-----|-|---||--------⌫|
deladame quiset lagen t siconforter	-|-|---|--|--|-|---⌫|-|--------|
p or amordesonfilme daingna esgarder	-⌫-|---|-|--|--|-|------|-------|
ce rtes tuitpecheor l a	--⌫---|---|------|-⌫|
doiu en tmolt amer	----⌫--⌫|---|---|
cefu sai ntem arie signorque	-|-|---⌫--|-⌫---|-----|--|
lanui t dela	-|---⌫|-|-|
tie phainne ce rtesnen	---⌫------|--⌫---||-|
que do rm oieenm onlitilueques	--|--⌫--⌫--|-|-⌫-|--|-------|
me couchai	-|------|
dui tiorzd ormin	|--⌫|---|-⌫---||
auoieiluec	----|----|
mereposa i	-|------⌫|
uinta moiune	---||--|--|
da me etie lidemandai	--⌫-|-|-|-|-------|
quiestesuos mada me	--|----|--|-|--⌫-|
ieaianonmarie pasne l tecelerai	-|-||--|----|--|-||-|------|
tuserasbie n ga r izq ant	-|----|---⌫|--⌫-⌫-|-⌫--|
decitor nerai	-|-|---⌫----|
s e tufai zmoncommant	-⌫|-|---⌫|--|------|
etce queted i rai	-|-|--|-|-⌫-⌫--|
failauieenzzliur e ensicom	--|-|--|-|-|----⌫|---|--|
eltemple comgi fuipresentee	-|-----|--|||--|--------|
et com iefuide langle enterresaluee	-|--|-|--|-||----|-|----|-----|
etfuiembethleem d e mon fildel iu ree	-|--|-|-------|-⌫|--|--|---⌫--⌫--|
et commesfiz	-|--|--|--|
com ie fui	--|-|--|
desyyroi sque	--|-|---⌫|--|
l requi strentd alienecontree	|-----⌫-----||-----|------|
d ela mo rt de mon f il dont lagenz	-⌫|-|--⌫-|-|--|-⌫-|---|-|---|
est sauuee	--|-----|
ga rdelamoiemortnis oitpas oubliee	--⌫--|-|---|---|||-⌫--|--|------|
enromanz so ittoute tra nsposee	-|-----|--⌫-|----|---⌫------|
ditesma bele	----|-|---|
dameicecommentfe rai	---|--|------|--⌫--|
onq u es ite lmes ti ercertesn eco mmancai	---⌫-⌫-|---⌫|---⌫--⌫-|-----|-⌫|--⌫------|
etie su i si m aladesie	-|-|--⌫|-|-⌫-----|-|
ne garra i	-|-----⌫|
qant l ecommencera s en s ambleotoiserai	---|-⌫|----------⌫|--⌫-⌫----||--|----|
g ierecommancemenzetse	|---|-----------|-|-|
ldefin erai	|-----⌫---|
adonc fuiiemolt	----|--|-|---|
li ezparfoisi mesuilla i	--⌫-|--|--|-||-------⌫|
sitos tcom	-|---⌫|--|
fui gariz cest liure	--|----|---|----|
s ed ieupla istet ma dametres bienl efi nerai	-⌫|-⌫--|---⌫--|-|-|---|---|---|-⌫|--⌫----|
abreahans nostre peressignorfum oltprod om	--------|-----|----|-----|-|-⌫--|----⌫-|
simples homf uetsagesainc n	------|--|-⌫|-|----|---||
amatrai son	--|----⌫--|
dechamaxet	-|-----|-|
dau m aillesauoitag rant fuison	|--⌫-⌫-----|----||-⌫---|-----|
diexdou c ielli dona	---|--|-⌫--|-|---|
sagran tbeneicon	-|----⌫|-------|
etensainte esc riture ic e	-|-|-----|---⌫-----|--⌫|
lisanttrouom	-----|-----|
que ainz quediex	--|----⌫--|---|
fust nez nestoitnusplussainzh om	---|--||-----|--|---|----|-⌫-|
patri ache enfi stdi expar grant e le ction	-----⌫---|-|--⌫-|--⌫-|--|----|-⌫--⌫----|
patr iach een fistdiexsi co mtrouonsescrit	----⌫----⌫|-|---|---|-|--⌫|------|-----|
des quilotyyanzainca	---⌫-|-|-|-|--|---||
dieunementit	---|-|-----|
nenele correca ne	-|-|-|------|-|
enfetnee n dit	-|--|-|-⌫|--|
lescommanzson s ign o r uolentiersaampl it	--|------|--|-⌫---⌫-⌫|---------|-----⌫-|
s ignor uosl esauezet bien laue zo it	-⌫----|--|-⌫|----|-|---||---⌫|-⌫-|
que lagenz desgi usdecel	--|-|---|--|--⌫-|-|--|
sa int homeissit	--⌫--|---|----|
li siresdec est mondeabrehanmolt	-|----|-|-⌫--|----|------|---|
tantcomfuen	---|--|-|-|
cestsieclele pro d om e	---|-----|-|---⌫-⌫--⌫|
etp atriacheenfist	-|-⌫-------|-|---|
et femelid ona	-|---|-|-⌫--|
labone ensa	-|---|-|-|
lo i lespousa	--⌫||------|
ob edie ns lifu sicomd i excommanda	--⌫----⌫-|-|-|-|--|-⌫-⌫-|-------|
sac hiezla	---⌫---|-|
onquesnedelaia	-----|-|-----|
chosequ eiluossis t mai s	----|--⌫|-|------⌫|---⌫|
tr estoutcreanta	--⌫-----|------|
abre hamced is t diexdeso rtensa ingnerai	----⌫--|-|-⌫--⌫|---|--|-⌫||----⌫-------|
laloidonttu ui urasetie l ate	-|--|---|-|--⌫---|-|-|-⌫|-|
ilresponttes comanzs iretoz	-|------|--|-----|-⌫--|--|
iorzfe rai	---|--⌫--|
nuli o ramonpo oirn et e	--|-⌫-⌫||--|--⌫--|-⌫|-⌫|
correcera i	---------⌫|
mafeme esttanceleetie	-|---|--||-----|-|-|
t e sse rsse r ai	-⌫-⌫|--⌫-|--⌫-⌫-|
et iedi stnost res ire sz z	-|-|--⌫-|----⌫-|-⌫---⌫|-⌫|
anf a nttedonrai	---⌫-⌫-|-|-----|
a brehano rme diau	-⌫-----|-⌫|-|-|-|
sie cl e comuiu ras	---⌫--⌫|--|---⌫--|
ienesailim i ens siresorententsi	-|-|--|-|-⌫-⌫--|----|-|-----|-|
lassuzestla montain gne	-----|--|-|-------⌫--|
zz m ien anglei u erras	-|-⌫--|----||-⌫----|
unauteltout de terre	-|----|---|-|----|
la donrasdet omblef t aumai ll e	-|-----|-|-⌫-|---||-----⌫--⌫|
et aingnia usisac refieras	-|-------⌫-||---⌫-------|
mo ltuolentiersbiau sireissi soit com	--⌫-|---------|---|---|---|---|--|
abreanz n os tre p eres nedemoranoient	------|-⌫--⌫--|-⌫---|-|-----|-----|
parlec omman ta langleetpa rl	--|-|-⌫-----⌫|||----|-|--⌫||
aparillalautel pa rgrantdeuisement	-------||----|--⌫|----|---------|
ilue cportaladi smede som	----⌫|----|-|--⌫--|-|--|
blebonement	--|-------|
etce lides	-|--⌫-|-||
aumail letouti met	------⌫-|---||--|
empr esent	-|--⌫----|
liblezartlafumeeportentelciel	-|---|--|-|----|------|-|---|
icilfunsert	---|---|--|
plusdozqu emirreneencen s	---|--|--⌫|----|-|-----⌫|
et deso n sacrefice	-|-|--⌫|--------|
commenioitlagent	---------|-|---|
encessorsque u iuo itabrehanz	--------|--|-⌫---⌫-|-------|
cil f ud o lin	--|-⌫|-⌫|--|
noedontestoitbons l i tens	--|---|-----|---|-⌫|---|
iama is nen iert sib on s	----⌫-||-|---|-|-⌫--⌫|
cenoscont e he rmans	-|--|----⌫|--⌫----|
netelei oieenterrene	-|---|-⌫--|-|----|-|
uerrahomuiuanz	----|--|-----|
maisoresttoutmué etuatoutdeclina nt	---|-|--|---|---|-|-|---|-------⌫-|
torn ésonta putage lipetitet	----⌫-|---||-----|-|----|-|
adeu nealorprestr e nesont obeissant	|--|-||--|------⌫|-|---|--------|
orso nttuitfol	-|--⌫-|---|--|
li uieill e sen	-|----|-⌫|--|
orentende z	-|-------⌫|
amo itrestuit commune ment	|--⌫|-------|-------⌫---|
quediexparabreh annos	--|---|--|-----⌫-|--|
doin tamendeme nt	----⌫|--------⌫-|
sa feme ensamble oluiconuersalong uement	-|---|-------||--|-------|----⌫-----|
que ilnu lanfan tn orent ne lorp esa noien t	--|-|--⌫|-----⌫||----|-|--|-⌫--|-----⌫|
neporq u antd eu apelent anduiparfitement	------⌫-⌫--|-⌫-|------|----|----------|
queanfantlordon nast qui	--|-----|--|---⌫---|--|
son talent	--|-----|
sarr ali di stsoue ntpar	----⌫|-|--⌫-|----⌫-|--|
granthumilite	----|-------|
anceleait ia	-----|--|-|
sire senfant me donnesiet en	---||-----|-|-----|-||-|
saurai bongre	-----|--|--|
don rali pe restou ta	---⌫-|-|--⌫--|---⌫||
dontd esc endic aiusl irois	---|-⌫---⌫---|-⌫|--|-⌫|---|
ab reha nnos trepereaasoiapelé	--⌫----⌫|---⌫--|---|||--|-----|
abrehan amisdeu ou ies	------|---|--|-|--|
ne respo ndr as	-|-----⌫---⌫-|
dique uo esentenca si	-|--|--⌫-|----|-|-|
tud emandesenfant	-|-⌫------|-----|
uoirement laueras	--------||-----|
comentaurailn onlenontu	-----|---|-|-⌫-|-|--|-|
li donra s	-|-----⌫|
nofer aiuo irqui	||---⌫-|--⌫-|--|
d onc diexorleme	-⌫--|---|-|-|-|
uo ire u oi rysaac p arnonl	--⌫--|-⌫--⌫|----|-⌫-|--||
moltliezabreh ans	---|---|-----⌫--|
abrehansensarra y s aa c	-------|-|----|-⌫-⌫--⌫|
eng end ra	---⌫---⌫-|
bone espouseuole ntiersleport a	---|------|----⌫-----|-|----⌫|
qantfuneze t fugra nzs es per es	---|-|--|-⌫|-|---⌫-|-⌫-|---⌫-|
