multay usécum pechere	---|-|---|--|------|
erichementle	|--------|-|
fistser uir	---|---⌫--|
desbra u ns e	--|---⌫-⌫-||
deueneysuns	-|--------|
edes c yngnes ed e spouns	|--|-⌫-----||-⌫-⌫|----|
deu esse l deo redeargent	-|-⌫----⌫|-|-⌫||-|-----|
de uyn declareeedepy ement	-|--|-|-----||-|--⌫----|
seru i rlefeit deu in tdanc el s	----⌫-⌫|-|---|-|-⌫--⌫|----⌫--⌫|
desplusnob lese	--|---|---⌫--||
d es plus bels	-⌫-|---|---|
equi mielzsunten parenté	|--|----|---|--⌫-------|
edesplu s halzde sonregne	|--|---⌫|---|-|--|----|
sonfizdemen efistli reis	--|--|-----⌫|---|-|---|
le reio ffeseruiradeis	-|--|-⌫--|-----|----|
e edmundnomerent le meschyn	|-----|-------|-|------|
esteit be alsde	-----|--⌫--|-|
suz ci eln	--|--⌫-||
adhomm eui uant	-|----⌫|--⌫---|
ueitplusbel	---|---|--|
le sbealtes qu	--⌫|------|-|
surtutr ienc urteise steit	--|--|-⌫--|-⌫-----|-⌫----|
e pleyndeg rantensegnement	|----|-|-⌫---|----------|
adaf aitem ent	-|--⌫-----⌫--|
duntilne fut end octriné	---|-|-|--|---⌫-------|
detuteg enz	-|---|-⌫--|
estei tamé	-----⌫|---|
esi outun e rien e n	|-|--|--⌫|---|-⌫|
dieuecristiente	---||---------|
ama surtutesaut resr iens	--|--|----|---⌫--|-⌫---|
ta ntout en li	--⌫-|--|-|-|
kefortme se rrei tl e r etr ei re	-|---|-|--⌫----⌫|-⌫|-⌫---⌫--⌫-|
tantfu es treceo debonei re	---|-|--⌫--|--|-------⌫-|
quil amatutebo nege nt	-|-|--|---|--⌫-|--⌫-|
e tu te gentliensemen t	|--⌫-|---|-|-------⌫|
l ien f antmultse penout	-⌫|--⌫-⌫--|---|-|-----|
sa cu re il	-|--⌫-|-|
tantqu il pout	---|-|-|---|
deser ui rlerei peleryn	-|---⌫--⌫|-|--|------|
seruitbelle meschin	-----|--|-|------|
lirei o ffemult	-|--|-⌫--|---|
aym eepr i se	---⌫||--⌫-⌫-|
edmun dl enfantesonse ruise	-----⌫||-----||--|--⌫----|
sesparoles esonsemblan t	--|------||--|-------⌫|
esabe altequetant ertgrant	|-|--⌫---|--|---|--|----|
so uentreco r de en	--⌫---|----⌫-⌫-|-|
sonpurpense	--|-------|
meruai le desonsens	------⌫-|-|--|---|
ekeenfa ntde sitendre	|-|----⌫-|-|-|-----|
estsip r uz sico intesi	--|-|-⌫-⌫-|-|--⌫---|-|
ekeseruiruitle dan zel	|-|-----|--|-|---⌫--|
tant asene ment ebel	---|-----⌫---||--|
multreco rd ases fezsesdiz	---|----⌫--⌫|--|--|--|--|
sidesiraq u i l f ust sonfiz	-|-----|-⌫|-⌫|-⌫--|--|--|
kant l erei offeoutsuiou rne ́	---|-⌫|--|---|--|-----⌫---⌫|
e nsessoynea sa	-⌫|-------||-|
son eireuoltteni rauant	--|---|---|----⌫|----|
kemult esteitelung	-|---|-----||---|
cung e a ddemandéal	----⌫|-⌫|-------|-|
e asbaru nsqu i l outod	|-|----⌫-|-|-⌫|--|-|
e ce lsdeprientdie u l e	|--⌫-|-------|---⌫|-⌫|
pitousementenplu rant	----------|-|---⌫---|
que dampnedie us parson	--|---------⌫-|--|--|
lidoyne s alueueie tenir	-|----|-⌫---|---|----|
e safueniresalf	|--|----||---|
pays retourner	---|--------|
edmundtendrement	-----|---------|
plure puroffesonpa rent	----|--|---|--|--⌫---|
p itieenadegr ant doe lfeit	-⌫---|-|-||--⌫--|---⌫|---|
elireioff e	|-|--|---⌫|
aseyleapele	|--|-|----|
dese smay ns	-|--⌫|---⌫-|
terstsa facebele	----|-|---|---|
s i lidistbeufiz edmund	-⌫|-|---|--|--|-----|
di e usbone cresan ce uusdoynd	--⌫-⌫-|---|------⌫-|--|----|
deu ant elstrestuzl enbrascea	---⌫--|--|------||--------|
esouen t fezl ebeisa	|-----⌫|--|-⌫|----|
deson dei treist unaneldeor	-|--|--|-----|-|---|-|-|
lapiere u alustgra nttr es or	-|----|-⌫----|---⌫-|--⌫--⌫-|
auan tce lanel	----⌫|--⌫|---|
sil addonéaldamisel	-||-|----|-|------|
edistbealf izcest	|---|---|-⌫-|---|
dou ntenez	---⌫|----|
moye a mu rlegard ez	---|-⌫--⌫|-|----⌫-|
uus doygne en	--|-----|-|
remembra nce	--------⌫--|
entre nus deu sseitco nui sance	----|--|---⌫|---|--⌫---⌫----|
de parentedecusin age	-|------|-|-----⌫--|
e quenussumesdeu n	|--|--|----|-|-⌫|
ekeuusremenbrez de	|-|--|--------|-|
parcest anelde nostredey	--|---|---|-|-----|--|
grant me rci uusre nt	----|--⌫--|--|--⌫-|
de dampnedieu omnipotent	-|---------|---------|
del belse ruicee	--|--|--⌫----||
de lbel het	--⌫|--|--|
e del honur quemea uezf et	|--|----|--|-|-⌫--|-⌫-|
ieo uusestuimult	--|--|----|---|
greniurdoun	------|---|
encura geeentenciun	-|----⌫-||--------|
sia rier epus ere pairer	-|-⌫----⌫|---⌫|--⌫-----|
durr ayuuspat ernellouwer	----⌫-|--|---⌫----|-----|
si nostre seintp er e ihesu	-|-----|----|-⌫--⌫|----|
a dmunrepairerpurueu	-⌫|--|-------|-----|
kantlenf antle	---||---⌫--|-|
anel re sceust	---|--⌫-----|
multl im er cie	---|-⌫|-⌫--⌫--|
cumildu st	--|-|--⌫-|
son perecharnelq uiceouit	--|---|------|-⌫-|--|--|
enbranchaseye	-|------|--||
si sen ri t	-||-|--⌫|
pargeuli disten gabant	--|--|-|---|-|-----|
a y o reedmundbienest	-⌫|-⌫-|-----|---|--|
purpieremeauezdegu erpi	--|----|-|---|----⌫---|
rey offea uezchosi	--|---|-⌫--|----|
il uus g arddes oree nauant	-|--|-⌫--|--|--|-⌫|----|
cumeperedei t fere	---|---|---⌫|---|
euusleser uez	|--|-|---⌫--|
matyneseyr	----||---|
cum pere auostrepoeir	--|---||-----|----|
ne aisondenurer purle myen	-|-|--|-|----|--|-|---|
a ultri enfantceosachez	-⌫----|-----|--|-----|
offel ereimult se	---|-⌫|--|---|-|
delaparolequilad	-|-|-----|-|-|-|
lenfan ttostapellast	|-----⌫|---|-------|
silpristeenbra sceast	|-|----||-----⌫-----|
sitreithorsdesa almonere	-|----|---|-|-|-------|
unanelde orodunepiere	-|---|-|-|-|--|----|
kemultertr ichedegr ant fin	-|---|--|-⌫---|-|--⌫--|--|
aedmu nd lemustra	|----⌫-|-|-----|
leanell iadoffemustré	-|---|-⌫|-|---|------|
quilr esceustkantil	-|-|-⌫------|---|-|
fu curuné	-|------|
de le uesqueq uilben esqui	--⌫|-⌫-----|-⌫|-|---⌫----|
ed esonceptrele	|-⌫|--|-----|-|
edm undfizfistilesgar dez	---⌫--|--|---|-|-----⌫--|
cestane l e bie nleauisez	---|---⌫||---⌫|-|-----|
bla ntelafeiture	---⌫-||-|------|
cu milest feteen	--⌫|-|--|--||-|
quele mes ure	----|---⌫--|
ke bi encunustr e	-|--⌫-|-------⌫|
lepuis sez	-|----⌫--|
bienlec on oissez	---|-|-⌫--⌫-----|
kar siie omesterdeuus	--|-|--⌫|-----|-|--|
ces ens eign esuustrametteray	--|---⌫----⌫-|--|----------|
kefac e zmon com andement	-|---⌫-⌫|--|---⌫-------|
retreieznient	-------|----|
tut l efeites d e chief enchief	--|-⌫|-----|-⌫|----|-|----|
ka nkeuusmanderay parbrief	--⌫--|--|-------|--|----|
leanelgardez pardreitfey	-|---|-----|--|----|--|
s iuu sia uiuez	-⌫|--⌫|-|----|
beals fizchersdesoreenauant	----|--|----|--|--|-|----|
u usamereycummone nfant	-⌫-|-----|--|--|-⌫----|
uostregareysun	-----|-------|
sipuse a uer p osses s iun	-|---|-⌫--|-⌫-----⌫-⌫--|
l ienfant multlemerc ie	-⌫|-----|---|-|----⌫-|
lireyoffe od	-|--|---|-|
s acumpanie	-⌫|-------|
fis ttrusser	---⌫|------|
sess umersan e ire	--|-⌫----|--⌫-⌫--|
tints o neire	---|-⌫-⌫|---|
lireid esessoinele conueie	-|--|-⌫|-------|-|------|
d edenzs esso yne bi engr antue ie	-⌫----|-⌫----⌫--|--⌫-|--⌫--|--⌫-|
a dampnedieuladcoma ndé	|---------||-|----⌫---|
e statantreturné	-⌫-|----|-------|
offe lireis	---|-|---|
ile sagent	-||-|---|
ofmult nobleaparai lement	-|---|----|------⌫-----|
odbele gen todg ra nt auer	-|---|---⌫|-|-⌫--⌫-|---|
eeree chimine matin	---||-----||----|
tantsepenaliber d errer	---|-|---|-|--||----|
kepartereke par	-|--|---|-|--|
keen ie rusalemestuenuz	-|-|--⌫------|--|----|
tut halegretut dru z	--|------|--|---⌫|
kilunkes homme ne	|-|----|----|-|
necumpayn un	-|-------⌫-|
ladieu merc y	-|---|----⌫|
offe odgr anz afflict iuns	---|-|--⌫--|-------⌫---|
fi stal moynese urisuns	--⌫-|--⌫-----||------|
cum pelerin	--|------|
as egl isese asseinzlius	-|---⌫---||-|----|---|
ouihesucristfumorte	-|----|----|-|---||
sepu lcreou ilfu mis	----⌫---|-|-|-|--|
sonofferend e fit	--|--------⌫|--|
r icheereal	-⌫---||---|
e al templee	|-|-----||
alhospital	-|-------|
achape l se amusters	|-----⌫-⌫|||------|
o u b oys o yneesteit emestiers	-⌫|-⌫---⌫-⌫--|-----||-------|
apelerin sa bo seynu ses	|-------⌫||--⌫-----⌫--|
ki deauererent suffr eituse s	-|-|---|----|-----⌫------⌫|
fist lireioffe	---|-|--|---|
ta nt doner	--⌫-|----|
k enlurpaispor entrealer	|-|--|---|---⌫--|-----|
kantli reisout par	---|-|---|--|--|
e en tuzl esbons liusesté	|-|--|-⌫-|---|---|----|
neuoleitplu s	-|-----|---⌫|
teni rsuiour	----⌫|-----|
paispristleretour	---|----|-|-----|
ilerratantparsesiournez	-|---|---|--|--|------|
parestre z	--|-----⌫|
ke alb raceseint	-|-|-⌫---|----|
iorg euyn t tutdrei t	----⌫|---⌫|--|----⌫|
ka rparilucsonchiminesteit	--⌫|--|---|--|-----|-----|
iluclip rist ma l a di e sigrant	---|-|-⌫---|--⌫-⌫-⌫--⌫|-|----|
siangususe e sipesa nt	-|-------||-|----⌫-|
kilneputauanter rer	|-|-|--|----|--⌫--|
iluc liestu e tsuiourne r	---|-|----⌫-⌫|--------⌫|
u e irsest kumditen l escripture	-⌫-⌫--|--||-|--|-||---------|
sage estkie n dieumette sacure	---|--|-|-⌫|---|----|-|---|
kienson querad co nfe rmé	-|-|--|---|-|--⌫---⌫---|
f eye speran cee charite	-⌫-|-⌫------⌫-||------|
p ar tut putaler a s ez	-⌫-|--|--|---|-⌫-⌫-|
silmurt si	|-|---|-|
murgeaboneu r	----||--|--⌫|
pass a ueie	--|-⌫|---|
ainzes t en dieuqui le conu eie	---|--⌫|-|---|--|-|----⌫--|
ho m me soleitdi re esouentauent	--⌫-⌫-|-----|--⌫-||-----|----|
t iluaithors	-⌫-|---|---|
qui ne pasreuent	--|-|--|-----|
si fude ces treipe leryn	-|-|-|---⌫|--|--⌫----|
k i d ampnedieup rist en	-⌫|-⌫--------|-⌫---|-|
d e i erusalemou	-⌫|-⌫-------|-|
ihesucrist	----|----|
alamarchae nus	--|-----||--|
dieusu itquecesti fufet	----|-⌫-|--|----|-|--|
detrestuzs espe che znet	-|------|-⌫-|--⌫---⌫|--|
eauei t cestre is en s ey	|----⌫|--|---⌫-|-|-⌫-|
chariteesperanceefe y	------|--------||--⌫|
purceo le uultdieus a seipr e ndre	--|--|-|---|----||--|--⌫-⌫---|
glorie seinement rendre	-----|--------|-----|
lireio ffe fu mala desfort	-|--|-⌫--|-|----⌫--|---|
nuln ele p ut	--|-⌫|-|-⌫-|
ga rirdelmort	--⌫--|--|---|
forsdieus qua dtuza goue rn er	---|----|-|-⌫|--||----⌫--⌫-|
li reysfist	-|---|---|
ses priuezmande r	--|-----|-----⌫|
eil iuyndrent erra ntement	|-||-------|----⌫------|
purl urs egnurtris te e	--|-⌫-|-⌫----|----⌫-||
segnursfisti lmes	------|---|-⌫|--|
c h ersa mys	-⌫-⌫--|-⌫--|
lemalestfortduntieo	-|--|--|---|---|--|
neu eyautreri enfors la	-|-⌫-|----|--⌫-|---|-|
enu erskei neest	---⌫--|--|-|--|
nulre so rt e	--|--⌫--⌫--⌫|
multmeauez lealmen t	---|-|---|-------⌫|
e bien e bel	|---||--|
entresqueci	--------|-|
eu ncoreaym ester multgran t	|-⌫----|-|-⌫----|---|----⌫|
keuusmereser uezaua nt	-|--|-|-----⌫--|---⌫-|
euosfey esmeafeyerez	|--|---⌫-|-|-------|
kemo n coman dementferez	-|--⌫|-----⌫-----|----|
uee zuus se gnur scestanel	---⌫|--|--⌫----⌫|---|---|
ke i eo mustray aldamisel	-|-⌫-|------|-|------|
a edmundlefizmonco si n	|-----|-|--|--|--⌫--⌫|
ka ntceaendreit	--⌫-|--|------|
prislechimin	---|-|-----|
p arse ssoyneou	-⌫-|--⌫-----|-|
ieosuiour nay	--|------⌫--|
ouce s tanelli	-|--⌫-⌫|---|-|
deces tbrief	-|---⌫|----|
lif reezpresent	-|-⌫---|------|
edeces t an elensement	|-|---⌫|--⌫-|-------|
di teslikesaluzli mand	--⌫--|-|-|----|-|---|
epar cest ane lli co mand	|--|---|---⌫|-|--⌫---|
tr estutmon re gne agouerner	--⌫----|--|--⌫--||-------|
enest ang leultrela	-|---⌫---⌫-|----|-|
quilseitsireeprinceerey	-|-|---|---||-----||--|
eq u ilpr iepur	|-⌫|-|--⌫-|--|
lalmedemey	|---|-|--|
se gnurssouenta uez	--⌫----|-----|-⌫--|
sienest esa p arceu	-|-|---⌫-|-⌫-⌫----|
ka nten u nr ea lm e adsegnur	--⌫-|-|-⌫|-⌫--⌫--⌫|-|-----|
ki pariusti c eepar	-|--|-----⌫-⌫||--|
la gent gouerne	-|---|------|
ki l nes blesmedeneient	|-⌫||-|-----|-|-----|
silencelpoyntm ur tedech iet	--|-|--|----|-⌫--⌫||----⌫--|
nequidezuusqual poep legr iet	-|-----|--|-|-|----⌫-|--⌫--|
siesti l feitlireis demey	-|--|-⌫|---|-|---|-|--|
kiie sque ciay estér ey	-|--⌫---|-|-|----|-⌫-|
deestangle	-|-------|
ore ne puseauant	--|-|---|----|
meis adampnedieula comant	---||---------|-|-----|
bel le sai gardécea en	--|--⌫|-|-----|--|-|
ebiene ndreiture pleni ere	|---|-⌫|-------|-----⌫--|
keunk esparma coue itise	-|---⌫-|--|-|----⌫----|
neparsufre i tede	-|--|-----⌫-⌫-|-|
neper din ulriende sondreit	-|---⌫-|-⌫-|---|-|--|----|
dampne dieu merc iéen seit	------⌫---|----⌫--|-|---|
auer eitg rant	----⌫--|-⌫---|
desagereyeboniustiser	-|---|--||--|-------|
ki pa ise iu stisemai n ting e	-|--⌫-||--⌫----|---⌫-⌫----⌫|
amour le p oepleteinge	----|-|-⌫----|-----|
ieo ne sainul plusaccept able	--|-|--|--|---|------⌫---|
neal p oeple plus coue nable	-|-|-⌫----|---|----⌫----|
mu rgeetrei a mafi n	--⌫--||---||-|--⌫|
ke edmundlefiz moncusin	-|-----|-|--|--|----|
be alestdecorsdulce ensauer	--⌫-|--|-|---|----|-|----|
pruzeforte	---||---||
degrantpoe r	-|----|---⌫|
e de realelyn iage	|-|----|---⌫---|
pars essoyneuusenirrez	--|-⌫------|--|-|----|
sanzfe ynti setutestrus	---|--⌫----⌫-|--|-----|
leame nezenesta ngle	-|---⌫--|-|----⌫---|
eceomeafiere z uusore	|--|-|------⌫|--|--|
qu euuspu r au er ne purrien	--⌫|--|--⌫|--⌫-|-|--|---|
nese rrezen	-|--⌫---|-|
li uneen estal	--⌫|-|-|----|
miencep trereal	---|---⌫--|---|
seitotri éo us eitd oné	---|----⌫-|-⌫|-⌫--|-⌫---|
si la noun	-|-|---|
l ere ip ris tdeeu sl e serem ent	-⌫|--⌫|-⌫---⌫|-|--⌫|-⌫|-----⌫--|
eleschargeap arfu ndeme nt	|--|------|-⌫----⌫-----⌫-|
a di euapr eslescomanda	|--⌫-|---⌫-|--|------|
esabenesciunlesdona	|-|--------|--|---|
ka ntlereiaueitfe t sadeuise	--⌫-|-|--|----|--⌫|-|-----|
e des prelatesdesein teegl ise	|--|-------|-|----⌫-|---⌫--|
aueitresceu	----|-----|
conf essiun	----⌫-----|
ede tuzsespechezpardun	|-|--|--|-----|-----|
unkes pusa elsne parlamot	----|--||--|-|----|--|
lireysabouche eses	-|--|-|-----||--|
entrelur mainsi lucfini	----|--|----|-⌫--|---|
elalmedelcorsdunc parti	||---|--|---|---|----|
unkesenemi n	----|----||
out pussance	--|-------|
karilmur u sten	--|-|---⌫-⌫-|-|
telec reance	---|-⌫-----|
quilout cestreischoses en	-|-|--|--|----|-----|-|
chariteespe rance	------|----⌫----|
dei hesucr isttraista fin	-|-⌫---|--⌫--|-----||--|
r eye noynt eu mblepelrin	-⌫-|-⌫----||-⌫---|-----|
angelsdec iel	-----|-|-⌫--|
quip rezierent	--|-⌫--|-----|
l almeporteren t	|---|--------⌫|
cest ioffedu ntieouusdi	----⌫|---|--⌫-|--|--|-|
k i siseintement fini	-⌫|-|---------|---|
sauietraistalfin	-|--|-----|-|--|
en l eiredieueenle chimin	-||---|---||-|-|-----|
n efu pa soff e lene mis	-⌫|-|--⌫|---⌫||---⌫--|
lerei letirantdesmarchis	-|--|-|-----|--|------|
kiseintayelb ric tlebarun	-|----|-----⌫---⌫|-|----|
traicumencries méfelun	---|--|-------⌫--|----|
eensonprisunfi st	|-|--|-----|--⌫-|
epeynef istsuf r ir	|----|-⌫--|---⌫-⌫-|
e c ruel ement	|-⌫----⌫----|
s oncorspen a	-⌫-|---|---⌫|
parf indecola	----⌫-|-----|
unaut re of feu nc orei	-|---⌫-|--⌫-|-⌫--⌫--||
de sessoyne quirei	-|-------|--|--|
les sesso yneiso rientals	--|-----⌫----|-⌫-------|
gouernac um b onuassals	------|-⌫-|-⌫-|------|
cilf u prodommeeiustisers	--|-⌫|-------||--------|
esa ger ei	|--⌫-|-⌫-|
e d reiturels siama dieu	|-⌫--------|-|--|---|
e maintein tla	|--------⌫|-|
cri stiente	---⌫------|
amadi eubieniparut	--|--⌫-|---||----|
de uant ceoqu ilmorut	--⌫---|--|-|-|----|
parla graceseinte spi rit	--|-|----|----|-⌫---⌫--|
sicumdieusrouaen l escrit	----|----|---|-||-----|
deguerpici lfemmee enfa nz	-------|--⌫|----||----⌫-|
fizefillespetize granz	--||-----|----||----|
eson pais e	|--|---||
eseshommeseso nbarne	|--|-----||--⌫|----|
si pristlescrepeleburdun	-|----||-----||-|-----|
trestutapecu m poun	------||-|--⌫|---|
enpelrinages enueit	-|--------||-|---|
uersseintperearomedreit	---|----|---||---|----|
alap ostoile	-|--⌫------|
cos tentin	---⌫-----|
deli fistle peler in	-|-|---|-|-----⌫-|
tundree feir e mo ig neprofes	-----||----⌫|--⌫--⌫-|-----|
s i se ruitdieu t uz iur sapres	-⌫|--⌫---|---|-⌫-|---⌫|----|
een labit longme ntuesqui	|-||---|------⌫-|-----|
eenlabitsauiefini	|-||---|-|--|---|
delicoedi t lestorie	-|-|--|--⌫||------|
res ceutdieus ensaglorie	---⌫---|----|-|-|-----|
offeduntieodici	---|---|--|-|-|
ne de cilqu i	-|-|--|--⌫|
seintay el brictt rai	----|--⌫--⌫----|-⌫--|
nefupasoffeli palmier s	-|-|--|---|-|-------⌫|
lisei nt ho mme	-|---⌫-|--⌫--|
e lid reiturer es	|-|-⌫--------⌫-|
lidel sepulcre repeirant	-|--|-------|--------|
r esceutma ladiesigrant	-⌫-----|--⌫----|-|----|
qu ilmoru stentele manere	-|-|----⌫-|-|---|-----|
cumieo uusay ditcea	--|--|--|-|--|--|
cil futu ndereysseneg h an	--|--|-⌫|-|---|-----⌫-⌫-|
ki dede nzceissan teunan	-|----⌫-|-------⌫||-|-|
regnerentdeuantseint edmund	--------|-----|----|-----|
leda reynd els	-|--⌫---||--|
e le secund	|-|-----|
de s eint edm undlebo n bar un	-|-⌫---|---⌫--|-|--⌫|---⌫-|
fucestioffesanzmespr isun	-|----|---|---|-----⌫---|
braceseintiorgefumort	----|----|----|-|---|
dunt grantdamage fu efort	---|----|-----|-||---|
deki mortsag ent funtteldoel	-|-|---|-|-⌫--|---|--|---|
morzuolientestre a	---|------|----||
multdemen ere ntgrantdolur	---|-----⌫---⌫-|----|----|
les genzoffepurlur	--|---|---|--|--|
li seneschal	-|--------|
libuteilier	-|--------|
l i ch amberleng li despenser	-⌫|--⌫--------|-|--------|
li s eriant	-|-⌫-----|
pouerri chepetite gr ant	----|--⌫--|----||--⌫--|
plurentcr iente teldoel funt	------|--⌫---||--|---|---|
iln ad s idure	-||-|-⌫|---|
homme ence stmund	----|-|--⌫-|---|
quiue istlurcontenem en t	--|--⌫--|--|--------⌫--⌫|
kenustlurg rant doeldemené	-||--|--|-⌫---|---|------|
kantuntl ur	---|--|-⌫-|
grantdoeldemené	----|---|------|
elu rsegnurunt	|--⌫|-----|--|
uerslurpa i s lauei etie nent	---|--|--⌫-⌫|-|---⌫|---⌫---|
e p armises so yn esenuien net	|-⌫---|---⌫--⌫--⌫||-|----⌫--|
