XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
amen aensen sol lierParamor	----⌫|-|--|---⌫---|--|---|
m ol li erAune	-⌫--⌫--⌫-||--|
c emineede	-⌫-----|-|
marbre chierIost e .i.f u de	-----|----|----⌫|--|-⌫|-|
carbongrant etp lenier. Li ostesl	-----|----|-|-⌫------|-|----||
en apelep aramistié	-|----|-⌫-|-------|
Dontest esdequeltere	---|---⌫-|-|---|---|
biausamisc hiers-Sireioude	----|---|-⌫----||---|--|-|
G a sc ongecil respo ndiéMespe re	-⌫-⌫--⌫---|--|-----⌫----|--|--⌫-|
fu grans honb i en le	-|----|--|-⌫-⌫-|-|
sachiésIafu riche[s] dauoir ete n forciésMa isil	-------|-|-|-------||----|-|-⌫-⌫-------|--⌫-|-|
est pargrantgueret ous	--|--|----|----|-⌫--|
essiliés Et s i es t par	--------|-|-⌫|--⌫|--|
afebloi és.Iel laisaidelau oir	-------⌫---|--|-----|-||--⌫--|
sientrepiésQuiln	-|---------|-|-||
enauoituaillant .iiii .denier s Ne	-|----|-------|-----⌫|------⌫|-|
m ais qu e.iiii.sousqu	-⌫--|--⌫|-----|---|-|
cargiés .Orma baillietces	--------⌫|-|||-------|--|
destrierSi	-------|-|
menuoiaenFranche porgaingi erAlf ort	|-----|-|------|--|------⌫-|-|-⌫--|
roiLoeys pouracointier.-AmisDie uste co nsaut par	--|----|---|---------||---|---⌫-|-|--⌫----|--|
p itiéAnc ̧ oisaurésgr antpaineque	-⌫----|---⌫-⌫--|-----|--⌫--|----|--|
iu(i)engiés . Puis	|-----------⌫|---|
demanderentlaiguesiu ontmangier Issicommeen	----------||----|-|-⌫--|------|---|----|-|
so ntaaisié Asse ́sore nt poi so n pain et uin u ié.	--⌫-|------|----⌫-|---⌫-|---⌫--⌫|---|-|--|-⌫---|
Quantilorent	----|-|----|
grantpl entéLiostes l erapele par	----|--⌫----|-|----|-⌫|-----|--|
amistéDamoiseus de bo inairea	------|--------|-|--⌫-|---||
moiparle ́s.Aler deu és	--|-----⌫--|---|---⌫--|
en F ra ncheceme contésAl fo rtroiLoeys por	-|-⌫--⌫---|-|-|------|-|--⌫-|--|----|--|
conquester	---------|
u os a rm essontmolt laides que uos	-⌫-|-⌫--⌫-|---|---|-----|--|--|
portésEtuos escus est	------|-|--|----|--|
enfumés uos	-------|--|
ch euau s est [ molt] maigre setdescarnés	--⌫----⌫|--|-⌫----|------⌫|-|---------|
Fra nço i s sont orge llous	---⌫----⌫-⌫|---|----⌫----|
de smesur é(s)Ets ison t co u stum[i]e r	--⌫------⌫----|-|-⌫|---⌫|--⌫-⌫--------⌫|
parler Laid eng ieruos	-----|----⌫---⌫--|--|
ua urontetranproner.	--⌫----|-|---------|
-Sire ched istAi ols	|---|--|-⌫--|--⌫--|
ber[A]soufrirm	--|--|------||
es teu ra eten durerEt t outesles	--⌫---⌫-|-|--⌫----|-|-⌫----|--|
paroll esa	------⌫-||
Les boines etles	--|-----|-|--|
malesla isierale r Tant	----|--⌫----|---⌫|---|
comIesu plair a	--|---|-----⌫|
dem aiesté	-|-⌫------|
Etiouere d	-|--|--||
au oirplusam on tés.- Ami s	--⌫--|---|--⌫--⌫----||---⌫|
c hedistli ostesmol tbel parlésSeuospoés	-⌫-|---|-|----|---⌫|--|------|-|--|----|
chou faire	---|----|
uosuainterés. Lesche min suerés	--|----------|--|---⌫---⌫|-----|
gastesetencombre ́sIl	-----|-|--------⌫-|-|
laro nsa grantplentéSe uoceual	----⌫-||----|------|-|-|----|
uos tolent que	--|-----|--|
deueré s Et trestoutesuo sarme squeuospo rtés Iamais	-------⌫|-|---------|--⌫|----⌫|--|--|--⌫----|-----|
endo uche F ranchenen ente ré s.-Sir e chedis t	-|--⌫---|-⌫-----|--|----⌫---⌫-||---⌫|--|---⌫|
la isiésesterTeuslesuauraauoiret	--⌫-----|----|---|--|----|----|-|
conques te rNes	-------⌫--⌫|--|
auramieto t a(sa)uole nté	---|--|--⌫||---|----⌫---|
Etc hierl e comperaain sle	-|-⌫---|-⌫|------|---⌫|-|
Amisch e distli ostes orm e nte ndés. Il i	---|--⌫|---|-|----|-||-⌫---⌫-----|-||
anti quitéDelaprisonlero i	----⌫-----|-|-|-----|-|--⌫|
est es cape ́s.	--|--⌫----⌫--|
Tramisl i fu de Romepar	-----|-⌫|-|-|---|--|
[gra nt]chie rtéI lame ngiets on	----⌫--|----⌫---|-⌫||--⌫----|-⌫-|
maistree t	------|-⌫|
deuou ré.Or	-----⌫---|-|
parfontel bos	------|-|--|
paine[i]osehons tou tseu s	----|--|--|---|---⌫|---⌫|
aler.Il en	----|-|-|
a.c.oc his et	|--|--⌫--|-|
afolé sLe ch emin asene stre frere	------⌫|-|--⌫---||----⌫---|----|
t enésEtl	-⌫----|-||
uoieades tre	---||---⌫--|
celui lairés Carsei luous	----|------|--|-|-⌫|---|
enc ontreni	---⌫----|||
garir és Neuous neuo[s] ceual[s]n	-----⌫--|-|---|-|----|-------||
idurere ́s	|------⌫-|
n esoiés m e ngiéset deuourés .-Sire	-⌫|-----|-⌫-⌫-----|-|---------⌫||---|
chedis tAiol[s]	--|---⌫|------|
laisiés esterQueiapar lion	-------|----|--|-|--|---|
n er e[iou]	|--⌫|----|
encombrés	---------|
g arist lespeeque	-⌫----||----|--|
iaia ulés.	|-|-⌫|----|
Toutemad roite	----|-|-⌫----|
uoieu auraialerCil cuiDex ueut	---|-⌫----|---|--|--|--|---|
gar dc rbienest	---⌫--⌫|---|--|
g a rdés.	-⌫-⌫-----|
uolentiersdormiroi ese stoituo sg rés. Quantli borgoisl	---------|--------⌫||-⌫----|--⌫|-⌫----|----|-|------||
entents iestle ués	-----|-⌫|--|--⌫---|
Seli f a itsonlit fai repara mistéE t	-|-|-⌫-⌫-|--|--|---⌫-|--|-⌫-----|-⌫|
Aiol sse c oucha	----⌫|-|-⌫----|
quiestlassés.Li b orgoisléssa	--|--|-------|-|-⌫-----|---|-|
femeuareposserEnsa	---|-|-------|-|-|
ca mbreperin ee nestentrés. Quantilsefu	--⌫---|-----⌫|-⌫|--|-------|----|-|-|-|
couchiés si a	--------|-||
parlé Do uch ese ur beleamiecha	-----|--⌫---⌫|--⌫-|---|---|--|
entendésAiDieus	--------|-|----|
c is enfes estes ca itiu é suoié scomilestbiaus	-⌫-|----|--|--⌫--⌫----⌫--⌫|-----⌫|--|-|--|----|
e t gens et	-⌫|---|-|
clers Se ilfus tbi enu estuse tacesmésNeust	----|-|-|---⌫|--⌫-|-⌫----|-⌫|-------||---|
b elenfanten.x.chités.Mais il [ par]es t	-⌫-|-----|-|--|-------|---|-|-⌫---|--⌫|
sipou r eset	-|---⌫-⌫-|-|
des nués. Enplusde .xiii.lieuslicarsli	---⌫-----|-|---|-|-----|----|-|---|-|
pert Que il	---|--|-|
aausiblanchecomflors e n pré.D i emenche arons Pasque	|---|------|--|----|-⌫|----|-⌫-⌫------|----|-----|
le saués.Que toutesgens	-|------|--|-----|---|
soidoiuentb elatorner	--|------|-⌫-|------|
Blanchesbraiesues tiretendosser	-------|-----|---⌫--|-|-------|
Se nouspoi e m e sorepor	-|---|---⌫-⌫-⌫-⌫|--|--|
DieupenserQueileus tu ns	---|-----|--|-|---⌫|-⌫-|
et demant e lfustafuble ́s Cheseroitgrantaumoine(s)	-|-|----⌫-⌫|---|------⌫-|--|-----|----|---------|
car ités.Encor(e)n ous	---⌫-----|-------|-⌫--|
poroitestre guere don ne ́.	-----|----|-----⌫---⌫--⌫-|
laborgoissesonceuriréSeliarespondu	-|--------|--|---|---|-|-||-------|
parc ruauté.	--|-⌫-------|
Sire chedist ladam elaisie ́s es ter. Diables	---|--|---|-|---⌫|------⌫-|--⌫---|------|
bonté sSe tu	------⌫|-|-|
astonauoirgrant amas séPar	-|--|----|----|----⌫--|--|
marcheandisel as conqu esté	-----------||-|-----⌫----|
E t iou consa gefeme l	-⌫|--|--|--⌫-|---||
gardé.Ia est chou	------|-|--|---|
.i . ribau s esc aitiué s	--⌫|-----⌫|---⌫-------⌫|
o nquese ncoreen	-⌫----|-⌫----|-|
son aé Quiua usistun m anteldeneufforé	--|--|--|--⌫----|-|-⌫----|-|---|----|
chesgarni me nsa	---|-----⌫--⌫-||
il enbléQu il	-|-----|-|-|
aen sanble o lui chi	|--⌫-----||--|--|
a p orte ́ E tchemaigrecheual ailtr assé. Adon ca	-⌫-⌫----⌫|-⌫|--|-----|-----||-|--⌫-----|----⌫||
borg ois sonc eurire ́	----⌫--|--|-⌫--|---⌫|
Mais neuautas a fe mep oi ntestriu er	---|-|---||-⌫|--⌫-|-⌫--⌫-|------⌫-|
Notc ured e	|-|-⌫--|-⌫|
tenchier nede	-------|-|-|
coserDesial e ndem ainle	----|-|-|||-⌫----⌫--|-|
laiss ee ster	-----⌫|-⌫---|
CAiol s fureuestu set conre ésEtde sesp oures	|----⌫|-|-------⌫|-|-----⌫--|-|-|--|-⌫----|
ratap ine ́s. Rou tsont etdesp anémal	-----⌫---⌫--|---⌫|---|-|----⌫---|--|
atiré. L i	------|-⌫|
regardesen otpi téSil eust	------||-|-|--⌫--||-|---|
asefemeconseltroue ́	|-|---|-----|-----⌫|
Deneufleust uestuetconraé(e). N epor qua nt	-|---||---|----|-|----------|-⌫----⌫---⌫-|
ses consaus a	--|------||
trespasse ́A	---------⌫||
so nes cr in en uient por	--⌫|--⌫--⌫-|-|----|--|
des freme r.Chemis e e t	---⌫-----⌫-|------⌫|-⌫|
brai eb la nce enagetéDu n	----⌫|-⌫--⌫--|-||----||-⌫|
cainsildeliéetaflouré	------|-----|-|-------|
Ai ollef il Elie	--⌫-|-|-⌫-|---|
leu adone r. DeDieu de sain tegloire	-|-⌫|----⌫-|-|---|-|----⌫-|-----|
merchié Procha ine ment liert gueredone ́Con uos porés	-------|------⌫---⌫---|-|--|---------⌫|--|--|-----|
etescouter Ançoisque	-|-------|------|--|
lacanchondo ie finer.	-|------|--⌫-|-----|
Puis alaau	---|--|-|
mostier por DieuorrerCar	------|--|---|----|--|
leseruiche Dieunotoblié	-|-------|---||-|-----|
Carsesperesliot bie ncomman déPuisretorna ariere	--|--|----|-|-|---⌫|------⌫--|---|------|-----|
Etli preudom	-|-|------|
fusag esetporpensésAnç ois	-|---⌫-|-|---------|----⌫--|
senalastla fa it	|-|----|||--⌫-|
d isner.Don cpristAiol[s] ses	-⌫-----|---⌫|----|------|--|
arme s [si]s	----⌫|---||
es t arme ́ sEtuint a Marche ga isi	--⌫|----⌫-⌫|-|---||------⌫--⌫|-|
es tmontés	--⌫|------|
Il p ristcon giet a lost es	-|-⌫---|---⌫---|||---⌫||
enest tornésEt	-|--|------|-|
bo rgo isfu sageseta pensé sSor	--⌫---⌫-|-|----|-|-⌫------⌫|--|
. i .boin pa l efroienest	-⌫-⌫|---|--⌫-⌫----|-|--|
montésSon	------|--|
escu et salancheli	---|-|-|-----|-|
aportéDesgaset	|-----|--|--|-|
la uilel a forsieté.III.lieuesle	-|---|||---|----|----|-----|-|
conuoietoutde son	------|---|-|--|
gré.Dont l apela	----|---||----|
liostespar sabonte ́Dam oiseus	-|----|--|-|-----⌫|---⌫-----|
uoseniré sA Dame ldé de	--|-|----⌫||----⌫---|-|
gl oires oi t comman dés	--⌫---|-⌫--⌫|------⌫---|
e ttap roeche etta bo nt e ́ s uos enire ́smolt	-⌫|-|-⌫-----|-|-|--⌫--⌫-⌫-⌫|--|-|---⌫-|---|
seu setesgaré s	---⌫|-|-------⌫|
Et m oltpourededras etde snués .	-|-⌫--|----|-|---|-|--⌫------⌫|
C e rtesi e nai mon	-⌫-⌫---||-⌫|-|--|
ceurmoltadolé Tenéschestaneldor	---|---|-----|-----|----|---||-|
parcarité Se besoingeuoscro ist	--|------|-|-------|--|---⌫--|
nepouertésS elpoés	-|--------|-⌫-|----|
metre engageauostreostel.-	----|-|---||-----|-----||
Sireched i stAiol[s]bien	---|--|-⌫-⌫-|------|---|
uous pro ués Quantporu o	---|---⌫---|----|--|-⌫|
dro itsignor si	---⌫-|-----|-|
Ben e oit[e] soit lamedeDameldéQui	---⌫-⌫-----|---||--|-|-------|--|
uous aprista	---|-----||
larget é.Oruous pleuigebienmaloiauté	------⌫--|-|---|----|-|---|-|-------|
QueseIhes u	--|-|----⌫|
franch ome melaist	----|-⌫--|-|----|
troue r Quiuoille m onseruicherechoi ure	-----⌫|--|-----|-⌫-|-------|------⌫--|
en gré Chest	-|---|----|
ho noruosferaigueredo ner.	--⌫--|--|----|-------⌫---|
do uchem entl ebaissealdeseu rer ADieu de sainte	--⌫-----⌫--|-⌫|-----|-|-----⌫--||---|-|-----|
com ma ndé.DoncsentornaA iol[s ]lostere m est	---⌫--⌫----|---||-|----|-⌫-----⌫||---|--⌫-⌫--|
distlienfes par t abont éAlpremerain r echet	---|-|----|--|-⌫|----⌫-|-|--------|-⌫----|
u s ui ent rés	|-⌫-|---⌫---|
Comilmes t	--|-||--⌫|
bien en contré(s)	---|--⌫---------|
A hiEliespe rec	-⌫-|----|--⌫-||
or n e ls a uésEtAuissema mere	-|-⌫-⌫|-⌫-⌫---|-|-----|-|---|
r amé( s)Ien efu isse	-⌫-----⌫-|-|-⌫|--⌫---|
siliésp aruerité sQuitout	-|----|-⌫-|-------⌫|--|---|
or medonastdun echité	-|-|-----||--⌫|-----|
maistrech eminen	------|--⌫---|-|
e ntre ́[s]Iusquesanonebasea il	-⌫----⌫---|------||---|---||-|
e sté.A inc n e ncontra	-⌫----|-⌫--||-⌫------|
nu lhomed em erenéNermit ene	--⌫|---|-⌫|-⌫--|--||-----⌫|-|
conuer s up ui stparle r.	------⌫||-⌫--⌫-|-----⌫-|
Pardes(o)us.i.hauttertre en est montés	--|-------|--|---|-----|-|--|------|
adeualé.Ilgarde deuantlui parmi	--------|-|----|-----|--|--|-|
u npréDautre part	-⌫|---||----|---|
une ha i een.i.bois clerSa u eu le	--|--⌫-⌫|-|--|---|---|||-⌫-|-|
lionadeualerQue	---|-------|--|
liauoit liostesau	-|----|-|----|-|
soirnomé. Chel	---|-----|---|
ior auoitochisun gran t	--|----|----|-|----⌫|
sengler Sienauoitmen giet agrant	------|-|-|----|---⌫---||----|
Boiureuenoitalaigue	-----|-----|||----|
carbienleset.Quantilcoisi	--|---|-|---|----|-|----|
sest tornésuersluige uleb aee	|--|------|---|--|--⌫--|-⌫--|
commemaufés	----|------|
Quille uoloitmangier	-|-|-|-----|------|
etestranler	-|--------|
Iama is plu sfiere	----⌫-|---⌫|----|
uo s ne uerés.Aiolsle	--⌫|-|------|----|-|
u o ituen irsil	-⌫-⌫-|---⌫-|-||
a dout e ́Deson	|----⌫-⌫|-|--|
che ual dessent com mesenés A lebranche	---⌫--|------|---⌫-|-----||-|------|
duncaine la	|-|----|||
aresnéQaril	------|--|-|
seredoutoitdel afolerEta tr aite	-|--------|-||-----|-||--⌫---|
espee deso nco stéEncontrelelion enest	----|-|--⌫|--⌫---|-------|-|---|-|--|
alés .Agrant	-----⌫||----|
geule baee commemaufe ́sSeuientcont r e	----|---|----|-----⌫-|-|----|----⌫-⌫|
lenfan tcomme derue ́s	|-----⌫|----|-----⌫-|
leuoloitmengier	-|-----|------|
etdeuourer.As.ii.	-|--------|-|---|
po es deuantle ua	--⌫-|-----|-|-|
combrerAmont parsonesc u	------|----|--|--|---⌫|
uiésenfuméQue	----|------|--|
lesonglesli	--|-----|-|
mi passerEtenprèslu i le	-|-----|-|------|--⌫|-|
sachesi latiré	----|-|||----|
Porunpoiqui lnelfist ius crau enter.	--|-|--|-|-⌫|--|---|--|----⌫-----|
MaisA iol[s]leferi	---|-⌫-----|-|---|
del bran cletré Si ache meem entlaenc ontré Quele	--|----⌫|-----|-|----⌫----⌫--|||---⌫-----|--|-|
et lepoe liacopé .L ilion[s]gete.i.	-|-|--|-||-----⌫|-⌫|------|---|--|
braitq u il fu	----|-⌫|-|-|
greués MaisAi ols	------|---|--⌫--|
le reha stecomme	-|----⌫--|----|
senésQuepardeu ant	-----|--|--|---⌫--|
les arsl a tout cop éQuemo rtl	--|--|||---|---⌫-|--|--⌫-||
aabatu et cra uenté .	|----|-|---⌫------⌫|
Ains maisn	---|---||
enf isttanthom(e)d emerenésSenauoit	-|-⌫--|---|-----|-⌫|---|---||-|----|
mangiésetestranlés .XXXIAiols	-------|-|----------⌫|---|----|
afait bataille pesantet	|---|-------|-----|-|
dureMolt l enestauenub el eaue nture Lepoe	---|---||-|--|----|-⌫--⌫|---⌫----|-|--|
retenu eSilaa	------⌫|-||||
s onarchon deuantpendue.Ia	-⌫-|-----|-----|------|-|
lairamaissi ertueueEtpar	----|---|-|--|---|-|--|
aucunege ntr cconneue	-----|--⌫-|-⌫-------|
Encor(e) li fera ele moltgrantaiue.	-------|-|---|--|---|----|----|
Pu ismonte en	--⌫-|----|-|
Marchegaitouta d roitureEtsiatrespassé	--------|---||-⌫------|-|-||---------|
le sel ue osc ure	-|---⌫-|---⌫--|
EtMarche gailianble	-|------⌫--|-|----|
adesmesure Etel Ca stel	|--------|-|-|--⌫---|
uient adroitureEttrespassedelbourclem aistrerue.	----||-------|-|--------|--|----|-|-⌫-----|---|
M o lt itrouagransfous d egentmenueQui	-⌫-⌫-||----|----|---|-⌫|---|----|--|
t restoutle gaboie nt	-⌫------|-|------⌫-|
p arauen ture.Quantil ont	-⌫-|----⌫----|----|-|--|
legrantpoereconneue	-|----|--|--------|
bes tesa uage	---⌫-|--⌫---|
quitantes t dur eQu itornoi t	--|---|--⌫|---⌫|--⌫|------⌫|
desm es ure Se llaissent	----⌫--⌫--|--⌫|-------|
a gaberporl	|----|--||
auent ure.XXXII	-----⌫---|----|
Deso rcheuauc e Aiol[slligentiexhom .Parmi	--|-⌫|-------⌫|------|-|------|---⌫|--|-|
Chastel Esr aut	------|---⌫--|
uint abandon	---||-----|
Moltitrouade	---||----|-|
folsetdebric on[s]Qui	---|-|-|----⌫----|--|
trestoutlega boientpa r contenc hon. Quant i lui rent	-------|-|--⌫-----|--⌫|-------⌫---|----|-⌫|--⌫---|
grant l ionQui delpais	----|-⌫--|--|--|---|
fai soitdestruision C aren cel	---⌫---|----------|-⌫-|-|--|
bosnoso itentrernushom	--||---⌫-|-----|--|--|
Por tantne	--|---|-|
gabe ntmiele fran c	----⌫-|--|-|----⌫|
ba ron. Bel ementl en a p ele ntenlo r	--⌫---|---⌫----||-|-⌫-⌫---⌫-|-|--⌫|
r aisonDont uen és	-⌫----|---|---⌫--|
de quelterebia u sioue nes	-|---|---|---⌫-⌫|----⌫--|
homUpresistes lepoe decel	--||--------|-|--|-|--|
lion -Sign orielet ro u aides(o)u scel	---||----⌫-|-|-|-⌫--⌫-⌫-|-------⌫|--|
mont.La me	----|-|-|
uol oitmengier parcontenchon QuantDamel dé[s ]m	---⌫--|------|--|---------|----|-----⌫-----⌫||
g aranti son.Alespee	-⌫------⌫---|||----|
mon geronLi copai	--|----|-|----|
p arsaintSimon Lal elasagemortens	-⌫-|----|----|-|-⌫|---|-|---|--|
elsablon .	-|------⌫|
Q uantcillonten tendugrant	-⌫---|--||--|--⌫----|----|
ioieenontCelior ot de	---|-|--|--|--|-|-|
m ain thomebeneiçon.	-⌫---⌫|---|---------|
c heual ier(s) cotnomRaoul	-⌫-----⌫-----||-|--|----|
uauass ordelate re	------⌫-|-|-|--⌫-|
[molt]gent ie xhom	-----|----⌫--⌫|--|
demandadelgrantlion	------|--|----|---|
E t cil leherbergaen sama ison La	-⌫|--|-|-------|-|-|--⌫---|-|
nuitlidone assés	---|-|---|-----|
uinetpois on. Aiol[s]fulaassis lés	--|-|----⌫--|------|-|-|----|---|
le carbon Quant il	-|-----|----|-|
or ent man gie tagrantf u iso nEtMarch egai auoitsa	--⌫--|---⌫---⌫||----|-⌫-⌫---⌫|-|-----⌫---|----|-|
fainet auainea gra n t fuisonLio s tes len	---|-|-----||---⌫-⌫|-----|-|-⌫-⌫--||-|
mistlea raison	---|-||-----|
Dontuenésdequel	---|-----|-|---|
ter ebiausiou enes ho m	---⌫|----|---⌫---|--⌫|
Dontuenésdequelpartu irésu ous -Biaus	---|-----|-|---|---||----|-⌫--||----|
sir een douc he	---⌫|-|----⌫-|
Franchech edi stAiols Alfort	------|--⌫|--⌫-|----|-|---|
ro iLoeys le	--⌫|----|-|
filCha rlo n	--|---⌫---⌫|
delsiensirem a nron.Etr espond il i oste squi	--|---|-|---⌫-⌫----|-|-⌫------⌫|-⌫|----⌫|--|
fupre u domAmisDiexte	-|---⌫-⌫--|---|---|-|
consautparsonurainon	------|--|--|---|--|
Qu[ e]ilaenle cort(Loeys)	---⌫-|-||-|-|---|------|
un mal gloutonMakaired e	-|--|------|------|-⌫|
Losanelapeleon. Ilnaennul e	-----||----|--|-|||-|---⌫|
plu s felon	---⌫|----|
Il est dusde	-|--|--|-|
Los e ne chou es tgransdoulsMolt set	---⌫-⌫-|---|--⌫|----|----|---|--|
lose ngier(le)roi deLoon Ilcachelespr eudomes	----⌫----|---|--|-|---|-|----|--|--⌫------|
deshonor.XXXIII Amis chedist	--------|-----|---|--|---|
lio s tesorm	-|-⌫-⌫--|-||
