quant limundesfuestabliz	----|-|-----|-|-------|
e uersdanemarchesigli er	|---|---------|-----⌫-|
queroiesau e itno ueles	---|---|--⌫-⌫-|--⌫----|
delaqu i moctli	-|-|--⌫|---|-|
erentb eles	----|-⌫---|
g rant uent	-⌫---|---|
lerameinetotdrei tenfrise	-|------|--|----⌫|-|----|
la a rr iualap ri stentpor t	-|-⌫--⌫--|-|-⌫--⌫----|---⌫|
ladit lestoi re quil	-|--||-----⌫-|-|-|
hasten coireeodpei sance	------⌫||--||-|---⌫----|
estr epair iezarr ie re	--|-⌫-----⌫--|---⌫--⌫-|
e n franc e	-⌫|-----⌫|
enl a chaist iue en ladeserte	-|-⌫|------⌫--|-|-|------|
out an t a dolorepouerte	-|-⌫--⌫||----||------|
terre lassede scoutiuee	----|----|--⌫--------|
ee n tanzleu sde sabitee	|-⌫|---|---⌫|--⌫------|
plaignanz ploroseede s haitee	--------|------||--⌫-⌫-----|
ioi osenies triensnelee	---⌫--|||--⌫|----|-|--|
ton ne i rres so ruient	---⌫--⌫-⌫---|--⌫-----|
quetotecriaturecri ent	--|---|-------|---⌫--|
sun tildeceste	---⌫|-|-|----|
dela pe sme ient	-|-|--⌫--|---|
m esc reue	-⌫---⌫---|
ecent itanzpluses bah iz	|---|----|---|--⌫---⌫-|
plu sdotanzeplus e sfreiz	---⌫|-----||---|-⌫-----|
lirepaire m enzdesnor manz	-|-------⌫-⌫--|--|---⌫---|
desp aie nsfe lons m escreanz	--|-⌫---⌫-|--⌫---|-⌫-------|
lesatoz sirespoentez	--||--|-|---------|
setestreconseizdonnez	--|----|------|-----|
seuent nesun tsi esforc is	-----|-|---⌫|-|------⌫-|
uee rlorpui ssentlepais	---⌫|--|---⌫----|-|---|
s ouente m prent	-⌫----|-⌫|----|
li r eisesgart	-|-⌫--|-----|
porueit de nule p art	------|-|---|-⌫--|
ou quergeforce neienttruiss e	-|-----|----|-|---|------⌫|
terreu eer lor	----|-⌫--|--|
deless ilde locision	-||---⌫-|-||------|
e dela persecution	|-|-|----------|
est dolero seen	--|------⌫||-|
queuenue i es t asontens	--|----||--⌫||--|---|
p orc euoudreitmoctconseilpre ndre	-⌫-|-⌫|-------|---|------|---⌫---|
e aceu eillier eenten d re	||-|-⌫------||-----⌫-⌫-|
c om c ilglaiuesc ele	-⌫-|-⌫-|------|-⌫--|
quid er ech efse rapareille	--|-⌫|-⌫---⌫-|-|---------|
eustfin e apaisement	---|--||---------|
si quelirenne selaient	-|--|-|-----⌫||-|---|
eusu nt paiz fermeeentiere	----⌫-|---|----||------|
aceen tent	|-|--⌫---|
agrantmaniere	|----|------|
eporceama n dés ai ent	|--|-||--⌫-⌫--|-⌫|-⌫--|
uiengen ta	-------⌫||
par lemen t	---⌫-----⌫|
duc nearceuesque	--|-|---------|
contenebaron ne	----|-|----|-|
n eche ualer nul	-⌫|---⌫----|--|
quant ilfurenttu itassemblé	----|-|-----|--⌫-|--------|
totsompensee som	--|--|----||--|
lorcommencaadescour ir	--|-------||-------⌫-|
ch eramifait il	--⌫-|--|---|-|
cherseign or	---|-----⌫-|
ueue au ez cest edolor	---|--⌫-|----⌫|----|
comnu le nen	--|--⌫-||-|
plusgrand e	---|-----⌫|
que n os a faitla i enz normande	--|-⌫-||---|-|-⌫--|-------|
cest renneaueientessilli é	---|----|------|-------⌫-|
ord erechie fsuntre pairié	-|-⌫|------⌫|---|--⌫------|
adestruirelereman ant	|--------|-|-----⌫--|
mais orco m sage	---|-|--⌫|---|
hom m euaillant	---⌫-⌫|-------|
prene zc onseilq ue ula	-----⌫|-⌫-----|-⌫--⌫|-|
nequenement	-|--------|
noscontend ron	--|-------⌫--|
nos resuntarriuez	--|-----|------|
qu epa ru os	--⌫|--⌫|-⌫-|
menconui entoir	|-|-----⌫--|--|
comiem emporraico ntenir	--|-||-|-----|--⌫-----|
paroleoctpruduré	-----|--|-------|
elip lusororentp arlé	|-|-⌫----|----|-⌫----|
e ditchascunsce	|--|-------|-|
queli sem ble	--|-|---⌫--|
aureiloer ent tuitensemble	-|--|----⌫--|---|-------|
que to tel aienz qu ilaureit	--|--⌫-|-⌫|---|-|-|-----|
nequilunques	-|-|-|-----|
trouer po rreit	-----|--⌫----|
fussent semuns	------|-----|
q uiseba niz	-⌫--||--⌫--|
debata ille prezegarniz	-|----⌫---|---||-----|
c heu alersaureiz mo ctarmez	-⌫---⌫----|-----|--⌫-|----|
h ardiz eproze adurez	-⌫----||---||-----|
serianzarchierseientap ie	------|-------||---||-⌫-|
quant se ronttant apareil lié	----|--⌫---|---|-------⌫---|
hain os l or sommesefeus	----⌫-|-⌫-|-----||---|
si nosaloncomb at re od	-|--|---|----⌫--⌫-|-|
ai nzquesofr onteudeshonnor	--⌫----|----⌫-|--|--------|
sisei tnostrelaterreou	-|---⌫|-----|-|----|-|
que u h ontedechiensauentiz	---⌫|-⌫---|-|-----|------|
quisinos u ntmorz	--|-|--|-⌫-|---|
alunlesto zuisdecoper	---|--|--⌫|--|------|
quilnenos puissent	-|-|-|--|-------|
contrester	---------|
siseientueniezlesmesfaiz	-|-----|-----|--|------|
untsiorrib les f aiz	--|-|-----⌫--|-⌫--|
aicerespon di rentmaint	|--|------⌫--⌫---|----|
q u ehonn iseiten	-⌫-⌫|----⌫|---|-|
cuire maint	--|--⌫----|
quantlanoisefu trepasse e	----|-|----|-|--------⌫|
lacorzf urasegu ree	-|---|-⌫|------⌫--|
li reisresp ondi enapr es	-|---|----⌫---|-|---⌫-|
seig n ors faitiloraiezpes	----⌫-⌫--|---|-|-|---|--|
e sinr oiez le	|-||-⌫---|-|
mienconseil	---|------|
si saluabeeste	-|------|--||
si l faitesqui porreitde u	-||-----|--|------|--⌫|
le meiuze lep l usb eleslire	-|----||-|-⌫-⌫-|-⌫-|-----|
toteueies sere it saueir	--------|----⌫-|-----|
connois esai d e	------||--|-⌫|
chosefaire	----|----|
quiasseznenos s eitcontrai re	--|----|-|--|-⌫--|-------⌫-|
deu combat re neueinulaise	--|------⌫-|-|--|--|---|
esitantestqueissiuos plaise	|-|---|--|-|----|--|-----|
p orra tro pauei r	-⌫---|---⌫|----⌫|
es i auientpar	|-⌫|-----|--|
est ou eir	---⌫--⌫--|
quil nos uenchent laterre e rtlo r	-|-|--|-------|-|----|-⌫-|--⌫|
nenaurontmaisnost re	|-|-----|---|----⌫-|
e irr etor	-⌫-|-⌫---|
com qu auienge sod	--|-|------||-|
denozhommes	-|--|-----|
t antiperdron	-⌫--||------|
iamais nuliornesero nlie	-|---|--|--|-|----⌫|--|
enossommestropd a magié	|--|-----|---|-⌫-⌫-----|
aplusgrantpe rte receu eir	|---|----|--⌫--|-----⌫--|
labataillene pu isuoleir	-|-------|-|--⌫-|-----|
ud i paspar	|-⌫|--|--|
maisn enosbeso ignereit mie	---|-⌫|--|----⌫-------|--|
eis sitrestotmetreenbal an ce	---⌫-|------|----|-|---⌫--⌫-|
sa euse riez combatuz	||--|-⌫---|-------|
euos lesa ui ezuencuz	|--|--|-⌫--⌫-|-----|
sere it elas	----⌫-|-|-|
ne x l orre paire	--⌫|-⌫-|--⌫----|
ouilnosdoterei ent	-|-||-|-------⌫--|
ainzquos fussezenuozcontrees	-----|-|-----|-|--|-------|
les ra ure ientil arriuees	--|--⌫---⌫---|-|-------|
arrierea s porz sisere itp uis	------|-⌫|---|-|----⌫-|-⌫--|
mais u nco nseiliuei e truis	---|-⌫|--⌫----||--||----|
ouplus estnostresa uuemen t	-|---|--|-----|--⌫------⌫|
a porchacerconfaitemen t	|--------|-----------⌫|
pa ispuisseestred	--⌫-|-----|----||
eusede nos	--||-|--|
ces trenn e se it	---⌫|----⌫|--⌫-|
quidolero sesteplaigna nz	--|------⌫|--||-------⌫-|
ainzqueuiengeiusqu	------|-----|----|
a treisanz	|----|--|
serontsimorzesi	-----|-|---||-|
e sifaitement de parti z	|-|--------|--⌫-----⌫|
elanostreie n z	|-|-----|--⌫-⌫|
e s i at raite	|-⌫|--⌫----|
e si uenue	|-|----|
enuoudrafo rzieter	-|-----|--⌫-|----|
nesi o sserontarester	-|||-⌫------|------|
ieloqu eissit otsaig ement	-|-|-|----|-⌫-|----⌫----|
passo ncest	-----⌫|---|
glaiuee cest torm ent	-----||---|----⌫--|
i usqu ede xnos redont uictoire	-⌫----⌫|--⌫|--|-----|-------|
forcepoerhonnor e gloire	----|---|-----||-----|
ace noct noisene content	|-||--|----|-|------|
tuitlot reiere ntbuennement	---||--⌫------⌫-|---------|
q u elap aiz	-⌫-⌫|-|-⌫--|
seitch erchee e	---|--⌫-----||
prisuntlabe desa int denise	---|--||--|-|--⌫--|-----|
e deseuesquesnesaiquanz	|--|-------|-|--|----|
religiosebienparlanz	-------||---|------|
ahast enclesuntenueiez	|----⌫--|--|--|------|
del oureaprise enseignez	-||---|----||--------|
ecilu nttantodl uiparlé	|--|-⌫-|---|-|-⌫-|-----|
untditemostré	--|--||------|
eta ntp reiée ta ntsemons	|--⌫-|-⌫----||--⌫-|-----|
e tantosfer tderi chesdons	|---|-----⌫|-|--⌫---|---|
e chartres c uitea remanei r	|-------|-⌫---||-------⌫|
domainnea luiea	-------||--|||
qu esos pleianze	--⌫|---⌫------||
de sondesleiassoagie z	-|--|-----|--------⌫|
loro d treielapaizafaire	--|-⌫-⌫----|-|---||----|
decenosquier lonc	-|-||-|----|---|
quontefai re	-----|---⌫-|
li eu esq ue	-|--⌫---⌫-|
sanz demoran ce	---|-------⌫-|
l untamenéau	|--|-----|-|
reidefr a nce	--|-|--⌫-⌫--|
la paizqu ilunt odluiparle e	-|---|-|-|--|-|--|-----⌫|
u nt oi anztoz	-⌫-|--⌫--|--|
dite e con tee	---||---⌫--|
ere traizto zles	|--⌫----|--⌫|--|
conuena nz	-------⌫-|
eleserui gedescincanz	|-|-----⌫-|--|---|--|
faiz erenduz	---||-----|
no nm ez e ap eleztreuz	--⌫--⌫-||--⌫---|----|
laue irliurésempresp ramis	|---⌫-|-----|------|-⌫----|
fuamassez bailli eze qu is	-|------|------⌫-||--⌫-|
nio ct chosene	||-⌫-|----|-|
destorbance	----------|
q uia la paiz	-⌫-||-|---|
f eis tnuisan ce	-⌫---⌫|------⌫-|
sanzestre enfrait en equassee	---|----|-------⌫|-⌫|------|
lunts i estreite mentiuree	|--|-⌫|--------⌫---|----|
q ueu nepuisseestre desliee	-⌫|-|-|-----|----|------|
nemaumisse nee mpei ree	-|-------|-|-⌫----⌫--|
odempe riausdonneme n z	-|----⌫----|-------⌫-⌫|
od seru iges od par lemen z	-|----⌫---|-|---⌫-----⌫|
suntsiuenu a concordance	---|-|---||----------|
apaizeate u	|---|||--⌫|
bie nestanc e	---⌫-------⌫|
quecilne fu plusdeus eschis	--|--|-|-|---||--|-----|
maisquelun autre d eu	-------|-|----|-⌫-|
france ioios e	-----|-----⌫|
q ui moct er t auant	-⌫-|---|--⌫|----|
e tuit liren ne d enu iron	|---|-|---⌫-||---⌫---|
parpoisanz habitation	--|--|---|---------|
commen cerent ar es to rer	------⌫-----||-⌫--⌫--⌫--|
earefairee apobler	||------|||-----|
qu igastéfurentpartren teanz	--⌫|-----|-----|--|----⌫-|--|
si comie s	-|--||-⌫|
li ur essuilei sanz	--⌫--⌫-|--|---⌫---|
qu a uc unsquicest liure o rralire	-|-⌫--⌫--|--|---|----|-⌫--|---|
ne puissederien contredire	-|-----|-|---|---------|
qu eissinefustcom ieretr ai	-|----|-|---|--|-|----⌫-|
ecom iesestoi res trou ai	|--||-|-----⌫--|----⌫-|
silifaimestanta saueir	-|-|-----|---||-----|
econnoi stree	|------⌫---||
aperc eue ir	-----⌫---⌫-|
quecestegrant me s auenture	--|----|----|--⌫-⌫-------|
uise hontose	--||------|
adesmes ure	|------⌫--|
esteitissia	-----|---||
querdexl e u oleitconsentir	---|--|-⌫|-⌫----|--------|
parlorgranz infidelit ez	--|--|----|---------⌫-|
e p arlorgranz iniqui tez	|-⌫-|--|----|------⌫--|
fur ent i lsideutotasfliz	---⌫--|-⌫|-|--|--|-----|
e morzeuenc uze honniz	|---||----⌫-||-----|
quilconneussent lord esleiz	-|-|----------|--|-⌫-----|
elormesfai ze lornonfe iz	|--|------⌫||--|--|--⌫-|
orguiz el ormautez	-----||-⌫-|-----|
lor orriblesperuer s itez	--|-------|------⌫-⌫---|
porceauin tm ain te	--|-|----⌫|-⌫---⌫-|
quedeuisienz dereneiee	--|-|--|---|-|------|
fussantdes truit mor te uencu	------|---⌫----|---⌫||----|
toztens est eisiauenu	--|---|--|---|----|
qu e deceusoun	--⌫|-|---|-||
asima unon	|-|--⌫|--|
traito rdesleié	------⌫|-------|
pariurorriblefeiment ie	-----|------|-------⌫-|
hontos u i spleinsdefe lo nnie	-----|-⌫-⌫|-----|-|--⌫--⌫---|
qu e il sei entmos treza deiz	--⌫|-|---⌫--|---⌫---||---|
comdesleiausefau sreneiz	--|--------||---⌫|-----|
esi comilfuntla deserte	|-|--|-|---|-|------|
dreizest que sorlorcou sre ue rte	----|--|--|--|--|---⌫|--⌫--⌫--|
parlatresplusorribl e	--|-|---|---|------⌫|
q uif ust desozle firma ment	-⌫-|-⌫--|----|-|-----⌫---|
consent idex queli	-------⌫|--|--|-|
quienfranc e erentdit	--|-|-----⌫|----|--|
fussun t sigrement	------⌫|-|------|
si morteument e spanoi	-|---------|-⌫-----|
quaunuilchien a unlongis	-||-|--|----||-|-----|
nefurent tuits ozm is	-|-----|---|-⌫---⌫-|
esaichent t u itparlepec hie	|-------|-⌫-⌫-|--|-|---⌫--|
esteit d exs iuers e usirié	-----|-⌫-|-⌫|---|-⌫-|----|
comquesne dosnede lorr en nes	|-----|-||-|-|-|--|-⌫--⌫--|
m aisqu eu sitrestuitfussentfenn es	-⌫-----⌫-|-|-------|------|----⌫-|
neporent prendreu nsol ret or	-|-----|------|-⌫|--|---⌫-|
mestuis queie demor	|--|--|--|-|----|
c estuiplustr aitier	-⌫----|---|--⌫-----|
qu autre choseaiaconmenci e r	-|----|----|-||--------⌫-⌫|
belesaintedocea	---|-----|---||
eplusdigne deretenir	|---|----|-|------|
qui untesté faites	--|--|----|-----|
ne qui i a untes té retr aites	-|--|-⌫|--|--⌫--|----⌫----|
sor celeses tpl u sconuenable	--|----|--⌫|--⌫-⌫|---------|
eplus bele	|---|---|
epl usdelitable	|--⌫-|--------|
deriches ouresde granzfaiz	-|-----|----|-|----|---|
qu ienordreseront	--⌫|-|----|-----|
granz estl	----|--||
estu ide el ila bors	----⌫--||-⌫|--⌫---|
granzes mais	----|--⌫---|
sereitas plusors	-----|-|------|
de sifai teouret ranslater	-|-|---⌫-|---|-⌫--------|
m aisne mip ui s desconforter	-⌫--|-|||-⌫--⌫|-----------|
semi senzest humlee	-|-|---|--|----||
iecrei quelisainzesperi z	-|---|--|-|----|------⌫|
ensembleodm ei	-------|-|-⌫-|
querneconnoisne	---|-|------|-|
q uenl e stoireaitrien sibie nnon	-⌫|-||-⌫-----|--|---|-|---⌫|--|
e doctrineecognicion	|-------||--------|
quiiuou dronten tendre	--||---⌫----|--⌫-----|
mai ntbuenessam p l e ip or rontprendre	---⌫-|---|-----⌫-⌫-⌫||-⌫--⌫---|------|
les dizles fa iz	--|--|--|--⌫-|
de s anceisors	--⌫|--------|
untmestiereu	--|------|-|
as plusors	-|------|
nusnesetr ien p erfietement	--|-|--|-⌫--|-⌫----------|
sil not ou neue itenapr ent	|-||-|-|-|--⌫-|||---⌫--|
se nnenaist pas	-||-|----|--|
escuershumains	-|----|------|
deceuosfazie	-|-|--|--|-|
bi en certains	--⌫-|-------|
comf ait un arb ree n unueri er	--|-⌫--|-|---⌫-|-⌫|-|----⌫-|
c hosei amestier	-⌫---|||------|
oirueer a prendre e fa ire	--|---|-⌫------||--⌫--|
r etenir ourereretr aire	-⌫-----|----||----⌫---|
sanzc enepuetden ul	---|-⌫|-|---|-|-⌫-|
nus estrep rozuaillantn esa ge	--|----|-⌫--|-------|-⌫|--⌫-|
t exsuntafaitiéecort e is	-⌫-|---|-------||----⌫-⌫-|
emaistre desarz e	|------|--|--||
sinefust buen ensei gnem enz	-|-|---|---|-----⌫----⌫--|
d oc trineoirsretenemenz	-⌫--⌫----|---|---------|
quifussentsanzdiscre cion	--|------|---|------⌫---|
uilainsanz senes anzraison	-----|---|--||-⌫--|-----|
eenporce lioe or	|----|-|-|--⌫-|
s untbuen rete neor	-⌫--|---|----⌫---|
nepuetestrequelius ages	-|---|----|--|-|--⌫---|
uaillanz nes	-------||-|
enface eplus sages	-|---||---|----|
auanta i g e aiencestl abor	------⌫-⌫-⌫|-|-|---|-⌫---|
qua u so ueraineau me illor	-|-⌫|--⌫-----||-|--⌫----|
escrif transl attruis e rimei	-----|------⌫-|----||----|
quian muntseit de n ulelei	--|-|---|---|-|-⌫--|--|
quimeuzco nnoistourebien dite	--|---|--⌫-----|---|---|---|
e b iensea nt e bie n	|-⌫--|---⌫-||---⌫|
dexmidont faireso n p laisir	--|||---|----|--⌫|-⌫-----|
querc estlariensqueplus	---||--|-|----|--|---|
estoirecon mence	------|---⌫----|
qu antlasupernalprouiden ce	--⌫--|-|-------|--------⌫-|
desceusde l autemai este	--|---|-||---|---⌫---|
dex maintentre nite	--|----|-|---⌫---|
reis desangres	---|--|-----|
faitresdeu munt	------|--|---|
pere s de schosesqui i	----⌫|--⌫|-----|--||
quitot gouernetotordenne	--|--|------|--|------|
qu ito ter ien uiuantas en n e	--⌫|--⌫-|-⌫--|-----|--⌫--⌫-⌫|
du mtozbien suient	--⌫|--|----⌫|----|
ecrie enaist	|---||----|
e qui t otfaitqua nque	|--|-⌫-|---|---⌫---|
leschosespreuarie nt	--|-----|--------⌫-|
mouent r acordente ralient	-----|-⌫-------||------|
parcuiunt mutabilitez	--|--|--|----------|
descordances d iuer sitez	-----------|-⌫----⌫----|
cu i untralie me nz	--⌫|--|-----⌫--⌫-|
p aizeconcorde etenemenz	-⌫--||-------||-------|
d oucorsefe izamorben igne	-⌫-----||--⌫-|---|---⌫---|
ferme eestableenti eree	----||------|----⌫--||
u i tsainteiglise eisi af lite	-⌫-⌫|-----|-----|---|--⌫---|
eissiabaissieedespite	----|-------||------|
quil o c ten sonsanc eslauee	-|-|-⌫-⌫|-|--|---|------|
fon z re ge ner ee	---⌫|--⌫--⌫---⌫-|
sa int efieedeuforfait	--⌫---⌫----|--|------|
q u adane eu zaueient	-⌫|---||--⌫|------|
d uile edecr esme	|---||-|--⌫---|
si comnos aditl escritur e	-|--|--||--||--------⌫|
gastiee proué	-----||-----|
eabaissiee	|--------|
etotela t erreessillee	|---|-|-⌫---|-------|
eisitresdolorosement	---|---|-----------|
quenneuos puet	-|-|-|--|---|
direcomment	---|------|
uitleslermes e lesmiseres	--|--|-----||--|------|
pes mesdolo rsameres	---⌫--|----⌫-|-----|
oilessu pl i cat ions	-|--|--⌫--⌫-⌫---⌫---|
eles saintimesoreisons	|--|--------|-------|
queliiust crestienlif irent	--|-|---|-------|-|-⌫----|
quiodparf it	--|-|----⌫-|
corl eseruirent	--|-⌫|--------|
tr es cruelgentd e dace	--⌫-|----|---|-⌫|---|
qui am ene crientne	--|--⌫|-|-----|-|
parcuierentfai ttantdamage	--|--|----|---⌫|---|-----|
ee ssilli é tanthaut lignag e	|-⌫------⌫-|---|---|------⌫|
estreisgl or ios	--|---|--⌫--⌫--|
miserico rdios	--------⌫----|
ne nmesoipas lorpreier es	|-⌫|----|--|--|------⌫-|
ainzlesrecut eot	---|--|----||-|
quede l a dr eit dumsa inteiglise	--|-|-⌫|--⌫--|--|--⌫---|-----|
esteit a baisse ee maumise	-----|-⌫------⌫||------|
de struite essil lee egastee	--⌫------|-----⌫--||-----|
f ust essauce ee	-⌫--|-------⌫||
edes ien z dunt	|--|---⌫|---|
fu st i uquaus ceus en haut dreciee	--⌫-|-⌫--|--|---|-|---|------|
sicompar eusert	-|--|--|--|--|
hauz dons enmanantie	---|---|---------|
oueusto uresde lit oses	-|---|-⌫---|--⌫---⌫---|
depier re spreciose s	-|----⌫--⌫|--------⌫|
eisieufis t ileissi leuo ct	-----|---⌫|-|----|-|--⌫-|
eisir auintdesqueuluiploct	---|-⌫----|----|-|--|----|
e nporla costumeancienne	-⌫---|-|------|-------|
quela teneit laientpaie nne	--|-|-----|-|---|----⌫--|
des fennesl or	--|-----|-⌫-|
sanznul chalon gedeseignor	---|--|------⌫-|-|------|
qua inzl or erent	-|-⌫--|-⌫-|----|
si co n munee s	-|--⌫-⌫-----⌫|
quatozerent abandonne es	-||--|----|---------⌫-|
u e neit lipoplese nai sse it	-⌫-⌫---|-|-----||---⌫---⌫-|
m oltepleocts iecreiss ei t	-⌫---------|-⌫||------⌫--⌫|
quenus numbresnefust tenu z	--|--|------|-|---|----⌫|
e queli renne esteitperduz	|--|-|----|-----|-----|
t ant parrerent m u ltepleié	-⌫--|--|-----|-⌫-⌫--------|
tierzna uquartnala meitie	----||-⌫|----|||-|-----|
niaueituiure	||----|----|
sique auprendre	-|--|-|------|
etauto lir	-|-|--⌫--|
sordeientte nconse meslee s	--------|--⌫----||------⌫|
e bataillesdesme suree s	|--------|-----⌫-----⌫|
niaueitsire non	||----||--|--|
nusn espair nocta	--||------⌫---||
nason u nclen	||--|-⌫---||
asonparr ain	|--|----⌫--|
pereie rmain	---|--⌫----|
eisieufaiseientenapert	-----|--------|-|----|
nep o ct estresofer t	-|-⌫-⌫-|----|-----⌫|
limaiord eus	-|----||--|
eli plus sage	|-|---|---|
e cildeplus noblelignage	|--|-|---|----|------|
cetormen t	-|------⌫|
sasemblerent co n munaument	|----------|--⌫-⌫--------|
untentr eus	--|---|--|
c onseilprisedonné	-⌫-----|---||-----|
i len sunt u enuau rei	-⌫|-|---|-⌫--|-|--|
celemerueilleecedeslei	---|--------||-|-----|
liuntmost rétuitconmunal	-|--|----⌫--|---|-------|
sirefunt il ueié sce stm al	---|---|-|-----⌫|--⌫-|-⌫-|
quien c estr enne multepl eie	--|-|-⌫--|-⌫---|-------⌫--|
riens nuleeu	----|---|-|
sie clenialeie	---⌫--|||----|
chos edom aine necon mun e	----⌫|---⌫---|-|---⌫---⌫|
a nulsoeneune	|--|--|-|--|
mais riensanzme ntir	---|---|---|--⌫---|
quisuenseitquitesa nzt olir	--|---|---|----|--⌫-|-⌫---|
chascunsparforceepard estr e it	-------|--|----||--|-⌫----⌫-⌫-|
prent lal ac hoseou	----|-|-⌫|-⌫---|-|
iln adreit	-|||----|
cis tr enn esestsidoloros	---⌫|-⌫---⌫-|--|-|------|
sipourese sisofraitos	-|-----||-|--------|
de la grant	-|-|----|
ientquiestnascue	---|--|--|-----|
senuaitne remue	|-|---|-|----|
quel ipe ree	--|-⌫|--⌫-||
li filentreus	-|--|---|--|
suntsi ha in osesife us	---|-|--⌫--⌫-||-|--⌫-|
quel unsneporte alautre	--||--|-|----|||----|
enprenez autreco nrei	-|-----|----|--⌫---|
sun t deugr aignor	---⌫|--|--⌫-----|
toudrontla	-------|-|
uitailleelaueir	-------|||----|
asautre s seussuntcon tendues	-|-----⌫||--|---|---⌫------|
odlestrenchanze speesnues	-|--|--------|-⌫----|---|
lorcoperont c hescors e	--|-------|-⌫--|---||
siangoiss osest	-|-------⌫-|--|
ec onseil nenestpris	|-⌫-----||-|--|---|
morzedestruizestlepais	---||-------|--|-|---|
l est ab li ssementconmunaus	|---⌫--⌫--⌫------|--------|
qui pe r s er t	--|--⌫-⌫|--⌫|
edreizeiga us	|----||---⌫-|
de lalointaineantiquite	-|-|--------|--------|
quenostreanc eisoruntg ardé	--|-----|---⌫----|--|-⌫----|
caenarrere	-|-|-----|
iu squanos	--⌫--||--|
auumdegerpie aestros	---|-------||-----|
nela tenonpor ci	-|-|----|--|-|
d amagenos encreist	-⌫----|--|-------|
queladenescheient chais tiue	--|-|-------|---|-----⌫---|
na dun t iseitnedequ e uuiue	||---⌫||---|-|-|-|-⌫|---|
toz lipople siesttorbez	--|-|-----⌫||--|-----|
emorze a neient tornez	|---|||-----|-----|
ce hauzre is tecons eille	-|---|--⌫-|-|----⌫----|
esosteceste	||---|----|
grantmerueille	----|--------|
a iueatonrenne	-⌫--||--|----|
sicomront faitt ianceisor	-|--|---|---|-⌫|-------|
parl ancien eesta blisance	--||------⌫|----⌫-------|
sique e npaiz	-|--|-⌫|---|
eenquitance	|-|-------|
i puiss on uiureetu re nner	|-----⌫-|----||-|--⌫---|
ele p ople dr eit	|-|-⌫---|--⌫--|
seit danemarched eliuree	---|---------|-⌫------|
dece steientmaleu ree	-|--⌫--|---|-----⌫--|
malementné	-------|--|
econcr i é	|-----⌫-⌫-|
enem i pesmeedesleié	----⌫|----||-------|
se itensila ter reespurgee	--⌫-|---|-|---⌫-|-------|
quiceleientqui iert laisse e	-|----|---|--|---|------⌫|
quiori unt	--|-||--|
assezq ue plaindre	----|-⌫-|-------|
ipuiss e nte n paiz uiure	|-----⌫-⌫-|-⌫|---|----|
a lamos t re decest afaire	|-|---⌫-⌫-|-|---|-----|
queuos m oez dire e	--|--||--|---||
tro uentle	---⌫---|-|
reientalanté	--|---------|
en loruolunte	-|--|------|
em plaignenequis endui ll e	-|------|-|--||-|---⌫--⌫|
niaunsol qui tant	|||-|--|--|---|
au conseil deusen	-|------||--|-|
dor enauantsanzdemor er	|-|-|----|---|-----⌫-|
tarzer sanzcontr edi re	-----|---|-----⌫---⌫-|
treme tpartres totson empi re	-----⌫|--|----⌫--|--|----⌫-|
ec onma ndequenp archemin	|-⌫----⌫--|-|-|-⌫-------|
seientlifrere	-----|-|----|
el ineuomis	|-⌫|---|--|
en escri t	-|-----⌫|
i snelem entsanz contredi t	-⌫------⌫--|---|--------⌫|
so rcui cherr a	--⌫|--|-----⌫|
ilsei e n tde nulesf orz	-|---⌫-⌫-⌫|-|--|---⌫--|
senistront fo rssanz	|-|------|--⌫-|---|
querreau tr erenn epo rgari r	-----|--⌫--⌫|----⌫|--⌫|----⌫|
mestier parage	------|-----|
force haute ce	----|-----⌫-|
quen essil n autfor s deu	-|-|----||--|---⌫|--|
est entre pris	--|-----⌫---|
fuloureconma ndee	-||---|-----⌫---|
qui bailli suntparlacontree	--|-----|---|--|-|------|
que quant seront	--|----|-----|
escr itlinon	----⌫-|-|--|
de partotelare gion	-|--|---|-|--⌫---|
auiorque lirei slordenonme	-|--|--|-|---⌫|--|------|
l e nseitapor teelasonme	|-⌫|---|----⌫--|-|----|
adonc uoudrala chos e ataindre	----|-----|-|----⌫|-------|
des quexalerlesquex r e ma idre	--|---|---|--|---|-⌫-⌫--⌫---|
lafame dicestmandement	-|---||----|--------|
edeureialconmandement	|--|----|-----------|
es maiemocteespoente	--⌫---|---||-------|
c eusqui encor sunt	-⌫--|--|----|---|
en iouente	-|------|
mocten sunt	---|-|---|
l orcorspoeros	-⌫-|---|-----|
destreizep ensi se dotos	-------||-⌫----⌫||----|
as plus uaillanz eas plussages	-|---|-------||-|---|----|
trem blent emuent lo rcorages	----⌫----||----|--⌫|------|
quer ce rtne	---|--⌫-|-|
su ntdelauent ur e	--⌫-|-||-----⌫--⌫|
est g rexepesmee dur e	--|-⌫--||----||---⌫|
a l autreseconseille	||----|-|--------|
questce queli r eisa pareille	-|--|-|--|-|-⌫--|-⌫-------|
n equaild enos empe nsé	-⌫|-||-|-⌫|--|----⌫---|
neporq u a il	-|--|-⌫||-|
ceu conmandé	--|--------|
q u ei siseiontuit mis	-⌫|--⌫-|----|---|--|
atozpe smeegrief	|--|--⌫--||----|
quilnesaueient la	-|-|-|-------|-|
n epor que i cele	-⌫|--|---⌫|---|
our e conmence	---⌫|-------|
nequ exesteit	-|--⌫-|-----|
lecuer le rei	-|---|-|--|
mais mocter enten	---|---|--⌫--|-|
grantesfrei	----|-----|
