s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
sienpori é su aloirpis	-|-|----⌫--⌫|-⌫----|--|
keblasmesenuenr oit upis	-|------|-|----⌫--||--|
se sueffres home atoiatrair e	-|-------|---||--|------⌫|
ahomedonttu n as afaire	|---|---|-||-|-----|
por coutelocse	--|--|-|--|-|
t e uientparauenture	-⌫|----|--|-------|
entamaison	-|-|-----|
pour dos noier	---|---⌫----|
dire l i doi s sansespa rgnier	---|-⌫|---⌫|---|----⌫-----|
fuiés deciisnielement	-----|-|-|----------|
nai soingde	|-|----|-|
uostreacointement	-----|----------|
suneautre fois	|--|----|---|
uena ntuostruis	----⌫-|--|----|
ieuo scloroie audeuant l uis	-|--⌫|------|-|-----||--|
s ilueuttoutes	|-|---|-----|
uoiesparler	----|-----|
lieue toisus	----|--|--|
sans arriester	---|--------|
ettamaisonlif aiuuidier	-|-|-----|-|-⌫-|------|
iost plus re pairier	|--|---|--⌫------|
est teuxhonet	--|---|--|-|
tam aison nos e ses condire	-|-⌫----||--⌫-⌫|--⌫------|
etdalestoiuien gne seoir	-|----|--|----⌫--|----|
lon geme ntni dois rem a noir	---⌫----⌫-|||---|---⌫-⌫---|
u atentencamb reu ensolier	|----|-|----⌫-||-|-----|
ausi comci	---|--|-|
aiesmestier	---|------|
ualer po ras	|---|--⌫--|
etlidibi elementsans	-|-|-|--⌫------|---|
biausdou ssireneuospois tmie	----|---⌫|---|-|--|----⌫|--|
mandémaunemoie ami e	-----|||--|---|---⌫|
a lermico u uientsansalo nge	-⌫--|||--⌫-⌫----|---|---⌫--|
carc estporun egrantbes oigne	--||--|--|--⌫|----|---⌫----|
ulestoi faigensassambler	|--|--|--|---|--------|
n epuist diresonpens er	-⌫|----|---|--|----⌫-|
ensitenporas deliurer	---||-|----|-------|
ettout sanstoifaireblasm er	-|---|---|--|----|-----⌫-|
neporqu an t se tu bien	-------⌫--⌫|-|-|---|
fai realefoisledeueroies	---⌫-||-|---|-|--------|
pour lui faire plusembrass er	---|--|----|---|-------⌫-|
entamoretplusalumer	-||---|-|---|-----|
k etudoisbi enfairedan gier	-⌫|-|---|--⌫-|----|---⌫---|
parleret consellie r	-----|-|---------⌫|
etd oure gardere nsement	-|-⌫-|--⌫-----|-⌫------|
a c iefdef oisnont rops ouuen t	|-⌫--|-|-⌫--|--|-⌫--|-⌫-----⌫|
tantquesacesc iertainement	---|--|----|-⌫-----------|
qu il t aint	-|-||---|
decuer et loiaument	-|---|-|--------|
lorsdoisatendre etarriester	---|---|------|-|--------|
et s esparollesescoute r	-|-⌫-|-------|-------⌫|
se ilte plaist	-|-|-|-----|
si queporfol e	-|--|--|---⌫|
n eteclai mes	-⌫|-|----⌫--|
apriesquant	-----|----|
tu f uilaroies	-|-⌫-||-----|
k espoirau	|-----|-|
lo nct ule per droie s	--⌫-|-⌫|-|---⌫-----⌫|
c atoir eueni r	||--|-⌫-----⌫|
n epo roit	-⌫|--⌫---|
etaillor stosts	-|------⌫|---||
acointeroit	----------|
sitenporoitfo rment	-||-|-----|--⌫----|
ne doistu eskiuer	-|---|-|------|
c elui quetu	-⌫---|--|-|
ueusreten ir	---|-----⌫-|
etdonttuuius au loncioir	-|---|-|---|-|---|---|
ma isoie s couquil uaura	--⌫-|---⌫|--|-|-|----|
toutbieleme nt	---|-------⌫-|
et to t sans	-|--⌫|---|
etle t ien enboinees perance	-|-|-⌫--|-|----|--⌫------|
par douc rega rt	--|---|----⌫-|
d oucesam blance	-⌫---|---⌫-----|
pardo usrisbiaus	--|--⌫-|--|----|
iu setbia usgas	--⌫|-|---⌫-|--|
lip uesfair e ass esde	-|-⌫--|----⌫|---⌫-|-|
don tgrant	---⌫|----|
ioi e auraas on cue r	---⌫|---||-⌫-|---⌫|
tantquilne uauroitanul fuer	---|-|-|-|------||--|---|
t amora nule	|---||---|
autrec angier	----|-⌫-----|
feroiestudang ie r	------|-|----⌫--⌫|
decequenetc o uster ien	-|-|--|-||-⌫-⌫---|-⌫--|
uiers celui quetu ueus at ien	----|----|--|-|---||-⌫--|
amidet enir	--|---⌫---|
portondeduitpor tonplais ir	--|--|-----|--|--|-----⌫-|
soies si sageet sicou rtoise	----|-|---|-|-|---⌫-----|
ken efaces riens qui te poise	-|-⌫|----|----|--|-|----|
failemign ote etleiolie	--|-|----⌫--|-|-|----|
atoiiutgabeet	|--|--|---|-|
deson uen irfaibielsamblan t	-|--|---⌫-|--|---|-------⌫|
siqu ilsen u oist	-|-|-||-|-⌫---|
ap er ceuant	--⌫--⌫-----|
k e bieltesoitdes auenue	-⌫|---|-|---|-|-⌫|----|
kesamorsen seroit creu e	-||----|-|-----|----⌫|
e ntentbien	-⌫----|---|
torneabiend it quan ke c or as	----||---|-⌫-|----⌫-||--⌫-|
encor emesdesistunpeu	-----⌫|--------|-|--|
let ornea geu	-|-⌫---||--|
queca scunsn a pas bienle	--|--⌫----|||--|---|-|
debienparler sicomiepens	-|---|-----|-|--|-|---|
esgarde et soniestre	------|-|--|-----|
etselonc cousi	-|-----|--|-|
redoisiestre	-----|-----|
liun heentmoltlesi mplece	-|-|----|---|-|--⌫-----|
coint i seheente tnob lece	-----⌫-⌫-|----|-⌫|---⌫---|
li aut re aime nt molt les	-|---⌫-|----⌫-|---|--|
lesorgh iusetleshors delsens	--|----⌫--|-|--|---|--|---|
le femebaudede	-|---|----|-|
cas cunsset etrire	---⌫---|--|-|---|
atelpointte	|--|----|-|
a miplaireporas	-⌫-|-----|----|
iene te uoelpas ci	-|-|-|---|--|-|
co nmentt udoisa cas cun	--⌫----|-⌫|---||---⌫--|
res pondre	---⌫-----|
parcaderriereenai dit	--|||-------|-|-|--|
k ebiendoisprendre	-⌫|---|---|------|
la poras se tuu iexentendr e	-|----|-|-|-⌫--|-------⌫|
arespo ndre mol t bienaprendr e	|-----⌫---|---⌫|---|-------⌫|
carsedeusfois ler ac ontoie	--|-|---|---|-|-⌫--⌫-----|
ouliu r e point namenderoie	-|---⌫-⌫|----||---------|
connedoitfoi s met tre	|-|-|---|---⌫|---⌫--|
une cose carcestro it h on te	--|---|--||-----⌫-|-⌫--⌫-|
a sh omes m ainte cose a d ite	-⌫|-⌫---|-⌫----|---||-⌫--|
ca uous n e doit iestrere dite	||---|-⌫|---|-----|--⌫---|
pa rexempleipoes entendre	--⌫|------||---|-------|
maint ecozeipuestuaprendre	-----⌫|---||---|-|-------|
deuanttonami	-----|--|--|
tecontiegnes	-|---------|
si b ielement que le retieg nes	-|-⌫-------|--|-|------⌫--|
e t sil estent uier s	-⌫||-|-----|----⌫|
toisabrace	--|-|----|
sueffrebi encunpetitt	------|--⌫-||-|----||
etpuetcou iestresanspro ier	-|---|--|-----|---|---⌫--|
te uaurapetit bais sier	-|----|----|----⌫---|
cauant proyer net ensaura	|----|-----|-||-|----|
es poirsisa gesnes era	--⌫---|-|--⌫--|-|-⌫--|
toutes uoiesli doissouferre	-----|----|-|---|-------|
enc ornetensace il	---⌫-|-||-|---|-|
a preuisierle do is	-⌫--------|-|--⌫-|
etpuiscomiree	-|---|--|---|
f a isambla nt	-⌫-⌫|------⌫-|
puis disireuo s	---|-|---|--⌫|
aue ́sto rt	---⌫-|--⌫-|
quanke u ol ésd ite sa	-----|-⌫--⌫--|-⌫---⌫||
mais tenésuosmai ns ieuosproi	---|-----|--|---⌫-|-|--|---|
li autresdirabielement	-|-----|---|--------|
qui sarapryerdou cement	--|---|----|---⌫-----|
carmotroiésmadouce	--||-------|-|----|
unseulbaissier	-|---|-------|
por cor to isie	--|---⌫--⌫---|
adontmarés	----||----|
uousrete n u	---|----⌫-⌫|
a uos tr eami a uost re dru	|---⌫--⌫|--||----⌫-|--|
a dont bi ellire sponder as	-⌫---|--⌫-|-|--⌫-------⌫-|
et cortois s ementli diras	-|-------⌫-⌫----|-|----|
biaus dous amis saciésd e uoir	----|---|---|------|-⌫|---|
que ieuo us aim	--|-|--⌫-|--|
sansdec euoi r	---|---⌫----⌫|
po rcou q ues ibiel me	--⌫|--|-⌫-|-⌫|---|-|
uousotroique uousle	---|----|--|---|-|
preg niés	----⌫----|
a uo streta lentdous	|--⌫---|--⌫---|---|
conmecortois etb ienapris	----|------|-|-⌫--|----|
carie suiuostrelige	--|-|--|-----|---|
maiss ansnulled oute	---|-⌫--|----|-⌫---|
plaissant e t poli	--------|-⌫|---|
a tonuo loir lemetro nt si	|--|--⌫---|-|-----⌫-|-|
k il tamerasi ardanm ant	|-||----|-|------⌫--|
kedoutoutferat on conmant	-|--|---|---|-⌫-|------|
carnulle cozetantnafolle	--|----|---|---||-----|
cu erdomequ e	--⌫-||--|--⌫|
d ouceparolle	-⌫---|------|
sil estoittou sfausetfaintis	|-|-----|---⌫|---|-|------|
si deu enroi tilf insa mis	-|---⌫-----⌫|-|-⌫--|-⌫--|
partonsensettonbielafaire	--|--|---|-|--|---|-----|
setusageme n tleses	-|-|------⌫-⌫|-|--|
quem ains homsouuent	--|-⌫---|--|------|
sans c uer	---|-⌫--|
quipuis t out son	--|---|-⌫--|--|
cueri emp loie	---||---⌫---|
si kiln enpuet iam ais	-||-||-|---|---⌫--|
bienipueti l trouuer	---||---|-⌫|------|
por counedoisturesoingnier	--|--|-|---|-|----------|
souff r irtonami bais sier	-----⌫-⌫-|--|--|----⌫---|
cadonkesest ilplu sna ure ́s	|------|--|-|---⌫|--⌫---⌫-|
damorse spris	|----|-⌫----|
eta lume ́s	-|-⌫----⌫-|
maislesourplu s	---|-|-------⌫|
uos desfencbien	--|------|---|
que n otr o yes	--||---⌫-⌫--|
po rnullerien	--⌫|----|---|
si layes m oltbien	-||---|-⌫--|---|
espro uué	-----⌫---|
enmainte guisse etretourné	-|-----|-----|-|--------|
enma inte guisseassaieras	-|--⌫---|-----|--------|
celui quetu amer	----|--|-|---|
se tu uoisbien que i l tesiut	-|-|---|---|--|-⌫|-|---|
lautu uasettepour su it	-||-|--|-|-|----⌫--⌫-|
aumoustier	-|-------|
asnocesafieste	-|----||-----|
t aimebie nparma t i e ste	|---|---⌫|--|-|-⌫-⌫-⌫--|
etto u sles	-|--⌫-⌫|--|
lius ut esar a	---||-⌫|---⌫|
ets a n sblasmealerip ora	-|-⌫-⌫-⌫|-----|---||-⌫--|
s acésquiliratout	-⌫----|-|-|--|---|
q ue cor s eto el siuent	-⌫-|---⌫|-|-⌫-|-----|
lauli i exma i nt	-||-|-⌫-|--⌫-⌫-|
nep uet entendreaa utr ecos e	-|-⌫--|-------||-⌫---⌫|---⌫|
etsetuuois qu	-|-|-|---|-|
ils aba ndoune	-||---⌫-----|
sier uir present e et	----⌫--|-------⌫|-|
so nauoir et	--⌫|----|-|
sa nsdemander	--⌫-|-------|
e tsillefaitsansconm ander	-⌫||-|-|---|---|----⌫----|
cequil set	-|-|-|--|
q ue bone tbiel	-⌫-|--|-⌫|---|
sa tonb esoingle	||--|-⌫-----|-|
trueu espriest	-----⌫-|-----|
sacésquiltai mes ans f ausser	-----|-|-||--⌫-|-⌫--|-⌫-----|
ennu lpointmiexn elpues prou e r	-|--⌫|----|---|-⌫||---|----⌫-⌫|
ca la bours ece m estauis	||-|-----⌫|-||--|---|
l a pues sauoirqu ilt estami s	-⌫|---|-----|-|-||--|---⌫|
ets ilho uneu r e temaisnie	-||-|--⌫----⌫-⌫|-|------|
sica toicascunsbien en	-|||--|------|---|-|
maisquillefacesiparcoiure	---|-|-|-|---|-|--|-----|
k e lamor nepui ss ent	-⌫||---|-|---⌫--⌫--|
pa rcoiure	--⌫------|
silaimeciausqui o toiuont	|-|---|----|--||--|---|
l autuuasqu i ot oi	-⌫||-|--|--⌫||-⌫-|
etsil faitau cuneprouece	-||-|---|--⌫---|------|
uaucunenob lece	|-----|---⌫---|
etdel uiparler enbi enfait	-|-|-⌫-|-----|-|--⌫-|---|
ettouteuilo u nielait	-|----|----⌫-⌫--|---|
qua nt ensi esprouuéla ras	---⌫-|---|--------||-⌫--|
adonquestamorlido nras	-------||---|-|--⌫---|
si biel et si cortoisement	-|---|-|-|-----------|
k il taint etpris edurem ent	|-||---|-|----⌫|-----⌫--|
c ondoitbie let bienreceuoir	|-|---|---⌫|-|---|-------|
cel uidont	---⌫-|---|
on pueti oieauoir	-|---|-⌫--|----|
seiourlime squ il atoiuiegne	-|---|-|--⌫|-|-||--|-----|
sesqueferas	--|--|----|
or t ensouui e gne	-||-|-----⌫-⌫--|
lau puesbient onhuis ouurir	-||---|---|-⌫-|---|-----|
enslepues mettree tre coillir	--|-|---|-----|-⌫|--⌫------|
parau treliu petitestroit	--|--⌫--|--|----|------|
lau ilpastagrantdestr oit	-||-|---||----|-----⌫--|
e t se forsluis nului auoie s	-⌫|-|---||--|----|-----⌫|
ouurirbien tostneli deuroies	-----|---|---|-|-|-------|
maissipa u capainesi	---|-|--⌫|||-----||
etkaupasser t restossequast	-||-|-----|-⌫-----|-|----|
uisco ntretienparder r ier	--|--⌫---|---|--|---⌫-⌫--|
encorte uo el ie	----|-|--⌫-|-|
consellier	---------|
fai l eunpetit	--|-⌫|-|----|
dehors muser	-----|----|
ancois que puist deden s e n trer	-----|--|----|-----⌫|-⌫-⌫---|
s etulimesliuen	-⌫|-|-|--|--|-|
par hautliu	--|---|--|
lef aiensploncier	-|-⌫-|--|-------|
uparbuisson	|--|------|
uparmihaie	|----|---|
fortet espesquemainte plaie	---|-|----|--|-----|----|
e luis u ailleurs	-⌫|--||-------|
enreco ille	-|----⌫---|
udel mu rt ressai l lir sedoil le	|--|--⌫|-⌫------⌫-⌫--|-|----⌫-|
iani aura tant demessai se	-|||---|---|-|------⌫-|
kebie l ne lisoitetli p lai se	-|---⌫|-|-|---|-|-|-⌫---⌫-|
litourne agrantdoucor	-|-----||----|-----|
estespris det amour	--|-----|-||----|
me tethorse t ens	--⌫|-|---|-⌫|--|
maisqu antile st	---|--⌫--|-|-⌫-|
entrésdedens	------|-----|
lorsli doismolt	---|-|---|---|
doucement dire	--------|---|
mestre s dousa mis mesdossire	--|---⌫|---|-⌫--|--|--|---|
confortéma uésquant	--------||-⌫---|----|
quetantd anuis auéspormoi	--|---||----|----|--|--|
fai sambla ntqueri en ne	--|------⌫-|--|--⌫-|-|
seduremen tbleciésn estoit	-|-------⌫|-------||-----|
net ensoitiauneescaloigne	-||-|---|-|--|---------|
maisquilf acebienlab esoingne	---|-|-|-⌫--|---|-|-⌫-------|
de m aldanuiquilaiteu	-|-⌫-||---|-|-|--|-|
maiscon ne l	---||-|-||
ait aperce u	--|------⌫|
quant auie ntqueliul imetras	----|----⌫-|--|--|-⌫|-----|
kenliuuenrautu seras	|-|--|----||-|----|
direlido isbiausamis do us	---|-|--⌫-|----|---|--⌫-|
ci erteslicue rsme tra mbletous	--⌫----|-|---⌫-|-|---⌫---|---|
moltuosaimetcrieng	---|--|--|-|-----|
q uantporuo stre	-⌫---|--|--⌫---|
amoriciuieng	---|--|----|
ne s thompor cuii elefesiss e	|-⌫-⌫|--|--|--|-⌫|-|------⌫|
cozeconsent isse	---|-------⌫---|
boi nementtesueffr e abai ssier	---⌫-----|-|------⌫||---⌫----|
es t raindreet emb racier	--⌫-⌫------|-|---⌫-----|
etsildeplus	-||-|-|---|
fairetefforce	----||------|
sueffrel eaus sic omparforce	------|-⌫|---⌫-|-⌫-|--|----|
apremiersquilme sa mble	|-------|-|-|-|--⌫---|
anuifaire l idois	---|----|-⌫|---|
aucunefoisif uila stés	-----|---||-⌫-|--⌫----|
malba illi set malatornés	--|--⌫----⌫|-|--|-------|
kelue urefaire	-||--⌫--|----|
dontd olansethonteus estoie	---|-⌫----|-|------|-----|
quantentelpointuoiston	----|-|--|----|---|--|
adonkesgabeiue etri	------|---|--|-|-|
dou cem ent le baisse e temb r ac e	---⌫---⌫--|-|-----|-⌫|---⌫-⌫--⌫|
ets ueffrequetou tsonb onface	-|-⌫-----|--|---⌫|--|-⌫-|---|
etset umeueus demander	-|-|-⌫|-|---|-------|
sancoislidoisdels ien	|-----|-|---|--|-⌫--|
teconsellerai	-|----------|
miex quei eporai	---|--|-⌫|----|
sansdemander sil te dounoit	---|-------||-|-|------|
au prendre paudeblasm ea roi t	-|------|--|-|-----⌫|-⌫---⌫|
demande sancois	-------⌫|-----|
tost ted iraq u il est	---|-|-⌫--|-⌫|-|--|
mais errant penserli	---|-----|-----|-|
kensi aillo rs faitaueras	|---|-----⌫-|---|-----|
tuli feras perdre ie quit	-|-|----|-----|-|---|
t outle plaisirdesondeduit	-⌫--|-|------|-|--|-----|
sique espoir	-|--|-----|
mainslipl aira	----|-|--⌫---|
cildeduisquildesiréa	--|-----|-|-|------||
sameret teni r	|---|-|----⌫|
leuauro ie s	-|-----⌫--⌫|
ia a ncoisp re ndre nendeuroies	-|-⌫----|-⌫--⌫---||-|-------|
carmuidregrete	--|-----|--|-|
doits auoir	---|-⌫----|
senpardonlif ais son uol oir	|-|-----|-|-⌫--|--|---⌫--|
carcuidie rlifera s to usiors	--|------⌫|-|----⌫|--⌫-|---|
cacoufairetamaineamors	||--|----||-----|----|
s eniertplu sli esetp lusioians	|-|---|---⌫|--⌫-|-|-⌫--|-----|
etlamors ensera	-||----|-|---|
plu sgr ans	---⌫|--⌫--|
m ai s porce q u est	-⌫--⌫|--|-|-⌫|--|
tant demau uais	---|-|---⌫---|
d euila instraitours pusnai s	-⌫|----⌫--|--------|------⌫|
seuou snesaué s	-|---⌫|-|-----⌫|
bien ancois	---|-----|
qu ilsoit larges etcourtois	-|-|---|-----|-|-------|
gecau an tpr endéstant	-||--⌫--⌫|--⌫-----|---|
c ap ries nena lés rep entant	|--⌫---||-|-⌫---|---⌫-----|
carteuxi a	--|---|||
dedouner sun t molt tostretra it	-|-----|---⌫|---|---|-----⌫-|
etdelamorsunt	-|-||---|---|
refroidi é	--------⌫-|
quantloruoloiront esploiti e ́	----|--|-----|--|--------⌫-⌫|
etanoientont tostt ourné	-||-----|--|---|-⌫-----|
grantcortoisieetgran tb onte	----|--------|-|----⌫|-⌫---|
enauoiesmestier	-|-----|------|
pren taumains porluiessayer	----⌫|-|----|--|--|------|
cau r endre poras tostu enir	|-|-⌫----|----|---|-⌫---|
setoi neplaistaure tenir	-|--|-|-----|-|--⌫----|
etserendreneliuoloies	-|-|-----|-|-|------|
dou c emen t auma inslidiroi es	---⌫-⌫----⌫|-|--⌫--|-|-----⌫-|
mesdou ssi remes amis c iers	--|---⌫|--⌫-|--|---|-⌫---|
m amorsett ou s mesdesiri ers	|----|-|-⌫--⌫|--|------⌫--|
ne mensaciésmiem augre	-||-|------|--|-⌫----|
te n és a mauueste	--⌫-⌫--||-------|
seiouai pris de uos	-|--|-|---|-|--|
cert essi lne me n	----⌫-||-⌫|-||-⌫|
fustm estiers	---|-⌫------|
ien enpresis seuo ir noie nt	-||-|------⌫-|--⌫-|----⌫-|
neuosa impaspor uostre	-|--|-⌫-|--|--|-----|
certes molt bi e n leuos rendrai	-----|---|--⌫-⌫|-|--|------|
sit ost que pooiren aurai	-|-⌫--|--|----|-|----|
ieuenderaimespoismes	-|-------|--|---|--|
udemestoillesle sra rés	|-|--|------|--⌫|--⌫---|
et seuousuolésto ut errant	-|-|---|-----|--⌫-|-----|
lesr arés uoussedex maman t	--|-⌫----|---|-|--||----⌫|
canulfueriene	||--|---|-|-|
lretenoi e	|-------⌫|
seuostremaugr eenauoie	-|-----|-----⌫|-|----|
dis oitcombareteres	---⌫--|--|--------|
por c oukeil	--|-⌫-|-|-|
seroitghilleres	-----|--------|
uo elbienrendés le moi	--⌫-|---|------|-|--|
ieteconma n cet si teproi	-|-|-----⌫-⌫|-|-|-|---|
caurendre nequ iere s	|-|-----|-|--⌫----⌫|
lorslidi s ans poyn tde	---|-|-|-⌫--|----⌫|-|
uerg oinge	----⌫----|
aureueniruous l esarés	-|------|---|-⌫-|----|
mesescr inse st	--|----⌫--|-⌫-|
tropfortfremés	---|---|------|
mescoses i	--|----||
ac oulleroie	--⌫--------|
ets estnuisgoute n	-||--|---|----||
uous les rarés	---|--|-----|
c ertesmoltbien	-⌫----|---|---|
se i lestoient li ge mien	-|-⌫|-------|--⌫-|---|
seles ar i és uou sa mis	-|--|--⌫-⌫--|---⌫|-⌫--|
ia naimieausiecl efors	-||--|-|-|-----⌫|---|
e nsi t re sbienleblang ira s	-⌫--|-⌫--⌫|---|-|-----⌫---⌫|
ettonuoloirfaide sdeniers	-|--|-----|--|--⌫|------|
sico mtuueus et test	-|--⌫|-|---|-||--|
etp orcequeieneuoel mie	-|-⌫-|-|--|-|-|---|--|
q uetusoiesmescons e lli e	-⌫-|-|----|-------⌫-⌫---⌫|
dameparmon	---|--|--|
ensegn ement	------⌫----|
locle pren dre au conmenc ement	--|-|----⌫--|-|-------⌫----|
qu ilne se	-|-|-|-|
puist apries gaber	----|-----|----|
etpor sote	-|--|---|
est teu xqueprendredo ie	--|---⌫|--|------|--⌫-|
et el leamestierdemounoie	-|--⌫-||------|-|------|
cilestteuxsansdou te r	--|--|---|---|---⌫--⌫|
queillidoie demand er	--|-|-|---|------⌫-|
carteux i a	--|---|||
m aislidelitn en	-⌫--|-|----||-|
sunt pasmendre	---|--|-----|
et ce llequinen	-|--⌫--|--||-|
dep rendresedo ithonto yer	-|-⌫-----|-|--⌫-|-----⌫--|
i chidesfenc	-⌫--|------|
sansnulledoute	---|----|----|
kenusfeluilainsnem	-|--|--|------|-||
delsecredamor s uoel	--|----||----⌫|---|
c at ousned oito ndemoustr er	||-⌫--|-|-⌫--|-⌫|--------⌫-|
c emest auis	-⌫||--|---|
q uicuersontnices	-⌫-|----|--|----|
etfa intis	-|--⌫----|
sauerontauoir	-------|----|
amors cart antnontde sauoir	----|--|-⌫--||--|-|-----|
neseuent deliter	-|-----|------|
m eismes dep o rter	-⌫-----|---⌫-⌫---|
quantton amitiensen recoit	----|--|--|----|-|-----|
e tuolentierss endormiroi t	-⌫|---------||-|--------⌫|
quilertau ssicommemate ́s	-|-|--|--⌫--|----|----⌫-|
et ila f aitses uolentes	-|-||-⌫--|--|-------|
etu olentie rrepost eroit	-|-⌫-------⌫|------⌫----|
quirepo ser l e lai sseroit	--|----⌫--|-⌫|---⌫------|
quil se gisttrestou scoisius	-|-|-|---|-------⌫|---|--|
dontli doistu resaill irsus	---|-|---|-|-------⌫-|--|
ettes gambesso urluigieter	-|--|-----|--⌫-|--|-----|
etemb raci e retac ol er	-|---⌫----⌫-⌫|-|--⌫--⌫-|
etmontersourlui etsai llir	-|-----|---|--|-|---⌫---|
apren tespeesafou rbir	-----⌫|-----||---⌫---|
a faireca nde lle	|----|--⌫---⌫--|
ne tereuienm ieamer uelle	-|-|-----|-⌫-||---⌫----|
setur a pr enstraire le uake	-|-|-⌫-⌫--⌫--|-----|-|---|
tan tledeboutet	---⌫|-|-----|-|
tireetsake	---|-|---|
ketu lefaces leuersu s	-|-|-|----|----|--⌫|
etder ecieffair eson	-|-|-⌫----|----⌫|--|
dois t u r euellier	---|-⌫|-⌫-------|
e tau bi enf aireradrecier	-⌫|-|--⌫-|-⌫---|--------|
s age sc o rt oisgret en sora	-⌫---⌫|-⌫-⌫--⌫--|--||-|---|
etque m oltlaimes c uidera	-|--|-⌫--||----|-⌫-----|
etseiles t unsfelui lains	-|-|-|--⌫|--|--|--⌫----|
gar deian im etésl es mains	---⌫-|-|||-⌫----|-⌫-|----|
aluiesmouuoiriete n	|--|--------|-||-⌫|
tost tenten r oit	---||-|---⌫-⌫--|
alece r es se	|----⌫-⌫--⌫-|
etporbaud eet	-|--|----⌫|-|
porbaretresse	--|---------|
decouquetup ar	-|--|--|-|-⌫-|
feroiese tpar courtoisie	------|-⌫|--|---------|
m aisse tu uoisetap er cois	-⌫--|-|-|---|-|--⌫--⌫---|
kebiel lisoi tfaireledois	-|---|-|---⌫|----|-|---|
licourtois	-|-------|
letatourn era	-||------⌫--|
abienet b ongre tensara	|---|-|-⌫-|--||-|---|
adiestepaine decefaire	----|-|----|-|-|----|
dont puissesaton ami	---|------||--|--|
oraiparléduscaldelit	-|-|-----|---|-|----|
con f aitencambre et	|-|-⌫--|-|-----|-|
conm enton si doit	----⌫--|-|||---|
mai ntenir	---⌫-----|
etsonami en	-|--|--|-|
enc or te uaurai ens egnier	---⌫-|-|-----|---⌫-----|
conmentt edoisapparellier	------|-⌫|---|----------|
tous io rs s oies bienatorne e	---|--⌫-|-⌫---|---|------⌫|
plaisanmentetb ienacesmee	----------|-|-⌫--|------|
quantlafemees t	----|-|---|--⌫|
bienatiree	---|-----|
elleenes tp lustostc ouoitiee	---|-|--⌫|-⌫--|---|-⌫-------|
ma isma intesbieles	--⌫-|--⌫----|-----|
feme s sunt	----⌫|---|
qu iiaauoir n eses aront	--⌫|-|----|-⌫|-|-⌫----|
ainssetienent m oltnicement	---|-|------|-⌫--|-------|
etde drasmalap ertem ent	-|-|---|--|--⌫-----⌫--|
apierduetienglabiaute	|------|----|-|-----|
connesettenir enc ie rte	|-|-|--|----|-|-⌫--⌫--|
tousiors s edoitf emeafaitier	---|---|-⌫|---|-⌫--|-------|
e t plaisanment a p parellier	-⌫|----------|-⌫-⌫--------|
adiesuauroie par saint mor	----|------|--|----|--|
lamoiefustuiestuedor	-|---|---|------||-|
qu iamo rsmaintiene nt	--⌫|---⌫-|---------⌫-|
e t lesio ies	-⌫|--|--⌫--|
d a morssous t ien ent	|-⌫---|----⌫-⌫---⌫--|
un erienlor uoelensegnie r	--⌫|---|--|---|--------⌫|
quant se doiuen t app arellier	----|-|------⌫|---⌫-------|
nilaistdamealer	||----|---|---|
cart e lecozei	--|-⌫-⌫-|---||
poroi t trouuer	-----⌫|------|
dont elle auoit	---|---|----|
le cuer dolan t	-|---|-----⌫|
carsiliari ens	--||-|||--⌫--|
couurirles d oisa ton a mi	------|--|-⌫--||--|-⌫-|
et a toutes	-||-----|
gensautresi	---|------|
telcoseueiripor oit	--|---|---||---⌫--|
qu ea t ousiorsplus	--⌫||-⌫--|---|---|
t e haro i t	-⌫|----⌫-⌫|
porc ea ins	--|-⌫|-⌫--|
tedoi s ac esmer	-|---⌫|--⌫----|
ca ton ami uoissesparler	||--|--|------|-----|
l esdr as ui est	-⌫-|--⌫-|--⌫--|
quimiex teseront	--|---|-|-----|
etceuxfuiquit emesseront	-|---|--|--|-⌫|--------|
lanoireblanke tefe r a	-|----|-----|-|--⌫-⌫|
l a rougecoulort e	-⌫|----|-----|-⌫|
bielegui mpleetbiellecemise	----|---⌫---|-|-----|-----|
aiestous iorsce	---|---|---|-|
ti chauiel	-|------|
soient bien trecié	-----|---|------|
souuen t lauésouuentpignié	------⌫|----|------|------|
n enaies pasr oigneuslecol	-⌫||---|--|-⌫------|-|--|
cest lai de	|--|---⌫-|
coseparsain tpol	---|--|----⌫|--|
adieste contien nait ement	----|-|------|----⌫----|
deto ut esriensetplaisanment	-|--⌫--⌫-|----|-|----------|
plus laide	---|----|
detoiadies	-|--|----|
celidoistuacompai gnier	---|---|-|-------⌫----|
plusbiellesan leras	---|-----|---⌫----|
le s les biellestou tp erduas	--⌫|--|------|---⌫|-⌫---|-|
au cunebielleadesmesure	--⌫---|-----||--------|
aiueuquidelin otc ure	-|--|--|-|-||-|-⌫--|
et ne se u o loi tafaitier	-|-|-|-⌫-⌫---⌫|-------|
s ouuen tl aioidesprissier	-⌫-----⌫||-|-|----------|
cartropsetenoitkast ement	--|---|-|-----|----⌫----|
por sotele tenoitl agen t	--|---|-|-----|-⌫|---⌫|
da me caumondeueut plai si r	--⌫-||-|----|---|----⌫--⌫|
nettement se do itcontenir	--------|-|--⌫-|-------|
lesbe ghinesielesai bien	--|--⌫-----|-|-|--|---|
aiment n ette sor	-----|-⌫---|--|
touter ien	----|-⌫--|
p lusnettem entapp arellies	-⌫--|------⌫--|---⌫-------|
