fa ms. f r.	-|---⌫-⌫-|
o isi axresetparler	-⌫---⌫-|----|-----|
m ec inequerreet	-⌫--⌫--|-----|-|
par messag elefontsemon re	--|------⌫|-|---|-----⌫-|
et liwl pis sala	-|-|--⌫--||--|
salec estoitmuciez	---||-----|-----|
car c ointe s	--|-⌫-----⌫|
fu etenuoisie z	-|-|--------⌫|
lilion smout	-|----⌫|---|
s encourrouca	|-|--------|
son preu ost a ppell a	--|----⌫--|-⌫-----⌫|
d em andalui p ourcoin euint	-⌫--⌫---|--|-⌫--|--|-⌫|---|
etil resp ontriensne l	-|-|----⌫--|----|-||
forlengoisse des oncourag e	--||-------|-|-⌫-|------⌫|
cargi enuoiai monmessage	--|||------|--|------|
amenerleferaiet prendre	-----|-|----|-|------|
uo sle f er ai	--⌫|-|-⌫--⌫-|
d effair eet pen dr e	-⌫------⌫|-|---⌫--⌫|
celchas toieraisi faitement	--|----⌫------|-|--------|
quexe m p le i praingnentsiparent	-|---⌫-⌫-⌫-||---------|-|-----|
moltd ure m en ts es t esmaiez	---|-⌫---⌫-⌫--⌫||--⌫|------|
maispou r paisestauantuenus	---|---⌫|---|--|----|----|
quedebestesestbien	--|-|-----|--|---|
queq uiers tucidistlilions	--|-⌫----|-|-|---|-|----|
etil lidist a sonrespons	-|-|-|---||--|------|
aist diexbiax s irerois	---|---|---|-⌫--|---|
nesaiqueie	-|--|--|-|
feissea incois	-----|-⌫-----|
que me rcine eusse	--|--⌫--|-|----|
p uis aier r é m aint eiourne e	-⌫--|-|--⌫-⌫-|-⌫----⌫|------⌫|
queioiuostremandement	--||-|-----|--------|
ensal ernefuuoirement	-|---⌫---|-|--------|
si u osontli mire m andé	-|-⌫-|--|-|---|-⌫----|
quioirentuostreenfer te	--|-----|-----|-----⌫-|
c u n s leu ssoitescor c hiez to su is	|-⌫-⌫|---⌫|---|-----⌫-⌫---|--⌫|-⌫-|
etlap iaxmis	-|-|-⌫--|--|
seuruo strepisiuscademain	---|--⌫---|--|---||-----|
d eu o stremaluous	-⌫|-⌫-⌫---|--|---|
r andrais ain	-⌫-----|-⌫--|
leleuprannent qu ile ucquesfu	-|--|-------|-|---⌫-----|-|
uifles corchent tant	--||--⌫-------|---|
aulion ont	-|---|--|
etcilsen uaita grant	-|--||-|---||----|
for sdela maison	---⌫|-|-|-----|
lauinrentm ouches	-|------|-⌫-----|
seldepiecen t	--|--------⌫|
molt laidement	---|--------|
ligourpisuintmoltcoiement	-|------|---|---|-------|
silidemandeque ilfist	-|-|------|--|-|---|
ques enssapel	--|-⌫--|-|--|
ileuc s assist	----||-----|
detes maus distiluoi	-|--|---|---|-|--|
t espechie z	-⌫-|------⌫|
autresf oissoies c hastoiés	-----|-⌫--|----|-⌫--------|
nefacesmal u enir	-|----|--|-⌫---|
quisortoidoireuenir	--|--|--|--|------|
texporchacelemaldautrui	--|-------|-|--||-----|
queceme ismes uientsor	--|-|--⌫----|----|--|
leu sfistlo uwlpil	---⌫|---|--⌫|----|
quil e uoloitmetre enessil	--|-⌫|-----|----|-|----|
dung ourpil nousr acont eetdist	|-|-⌫-----|---|-⌫-----⌫|-|---|
quiuneource	--|--|----|
tro ua et uist	---⌫-|-|---|
for mentliproia	---⌫---|-|----|
e tr equist	-⌫|-⌫-----|
que li s ouffristquelifei s t	--|-|-⌫-------|--|-|---⌫-⌫|
tais faitelecheitisw lpi s	---|---|--|------|-⌫---⌫|
o recheitis etuis	-⌫-|------|-|--|
iesuisdist il texcon ieseul	-|---|---|-|--|--|-|---|
seltefer ai contre ton ueul	-||-|---⌫-|-----|--|---|
e le lais semester	-⌫-|----⌫-||----|
enoiiamais par ler	-|-|-|---|---⌫--|
tenirtepo rra sporbrico n	----|-|--⌫---⌫|--|-----⌫|
iete b atraid e monb aston	-|-|-⌫----|-⌫|--|-⌫----|
tantlaligourpixencha ucie	---|||-|------|-----⌫---|
que l ourcec	--||----||
es tmoltco urrec ie	--⌫|---|--⌫-----⌫-|
apre sc ourutporluiferir	----⌫|-⌫----|--|--|----|
etilcourut po ur licensir	-|-|-----|--⌫-|-|-----|
tantquillen mai nnea zz bois son	---|-|-||--⌫---⌫--||-|----⌫--|
le ses pinestoutenuiron	--⌫|--⌫----|---|------|
l ontatachieeetencon bree	|--|-------|-|-----⌫---|
e tpa rlapel	-⌫|--⌫|-|--|
lontdetiree	|--|------|
siquenepotauantaler	-|--|-|--|----|---|
pournuleriens nere torner	---|---|----|-|--⌫-----|
lors reuintl i	---|-----|-⌫|
wl pisarrier e	--⌫--|------⌫|
s ailliper dederie re	-⌫----|--|-|-----⌫-|
conmen ca acrier	------⌫-||----|
p ui ssilipr intademander	-⌫--⌫|-|-|--⌫--||-------|
mauuai swlpisquefer as	------⌫|----|--|---⌫-|
l orsaliwl p is respondu	-⌫--||-|--⌫-⌫-|-------|
ce que ieta idistilproié	-|--|-||-⌫|---|-|-----|
donttum auo iesm en as ié	---|-||---⌫--|-⌫--⌫--⌫--|
biendoitestreet	---|---|----|-|
cequeprodon s	-|--|------⌫|
d irapor uoir	-⌫--|--|---|
as u isie z	-|-⌫----⌫|
estbie nauis	--|---⌫|---|
quel orparoleeste ntel	--|-⌫-|-----|--|-⌫|--|
queliengresdemainte g ent	--|-|-----|-|-----|-⌫--|
quipar consoil oueu rentsouent	--|--|------|----⌫---|-----|
un s lionsf udemal gre u ez	--⌫|----|-⌫|-|--|---⌫-⌫-|
sia toussesbaronsm an dez	-||---|--|-----|-⌫--⌫--|
mireuo loitq ueli	---|--⌫---|-⌫-|-|
querissent	---------|
son mallegaresissent	--|--|-|----------|
tuitli dient ianegarra	---|-|----|-|-|----|
cecuerd eserf	-|---|-⌫|---|
n emeng era	-⌫|----⌫--|
lorsassamblentlorparlement	---|---------|--|--------|
man dezifuni uintnoi ent	---⌫--||-|||---|---⌫--|
parentet siamm i	-----|-|-|---⌫|
le nauoient au an t g arn i	|-⌫|------|--⌫--⌫|-⌫---⌫|
une autre fo isif umande z	--|----|--⌫-||-⌫|-----⌫|
et iliuinttouseffraez	-|-||---|---|------|
dontli direntque iluaurroient	---|-|-----|--|-|---------|
s oncuera uoirsil	-⌫-|---|-⌫---|-||
ocirroient	---------|
liserf lo i	-|---||-⌫|
sis ena la	-||-|-⌫-|
agrantpeinnes en eschap a	|----|-----||-|------⌫|
latierc e foisleman derent	-|-----⌫|---|-|---⌫-----|
etiliuint sil etue rent	-|-||---|-|-⌫|---⌫---|
ains queil fust bienpar escorchiez	---|--|-|---|---|--|---------|
sest liw lpistantaproch iez	|--|-|-⌫---|---|------⌫--|
quillorauoitlecueramble ́	-|-|--|----|-|---|-----⌫|
sil amengiéetdeuouré	-|||------|-|-------|
etquan t illenuourr entporter	-|----⌫|-||-|-----⌫--|-----|
sinelporr entmietrouer	-|-||----⌫--|--|-----|
entra xe n demainnent	---|-⌫|-⌫|---------|
gr an tplait	--⌫--⌫|----|
sidemandena quice afai t	-|--------|--|-||---⌫|
qui cel c uerlorauoitamblé	--|--|-⌫--|--|----|-----|
a tousafait h ontee twite	|---||---|-⌫---|-⌫|---|
lesbes te squiestoien t	--|---⌫--⌫|--|-------⌫|
sourentlegourpisa engres	------|-|------||-----|
afel o netauisie	|---⌫-⌫|-||----|
dient quil a lecueramblé	----|-|-||-|---|-----|
lorontl e wlpilappelle ́	--|--|-⌫|----|-------⌫|
seliontle cuer	-|-|--|-|---|
il loriurapar sei reme nt	-|--|---|--|---⌫----⌫-|
quilnela uoitem blé no ient	-|-|-||-⌫---|--⌫---|--⌫---|
signor fa it ili afierai	-----|--⌫-|-||------|
q u eie onques	-⌫-⌫|-|-----|
le cuernambl ai	-|---||----⌫-|
piressero ied au tre	----|----⌫-||--⌫--|
onmedeu r o it tranchier lateste	-|-|---⌫-⌫-⌫-|--------|-|----|
s encontrele	|-------|-|
malmonsi gno r	--|--|--⌫---⌫|
auoie fait	----|---|
t eldeshon nor	-⌫-|------⌫--|
oren alonsdeuantlouroi	-|-|----|-----|--|--|
tuitensambleo moi	---|-------||--|
iemede sraisneraimoltb ien	-|-|--⌫---------|---|-⌫--|
nem emesq uer ra	-|-⌫|----⌫---⌫-|
u ontd euant	-⌫--|-⌫----|
silor monstrerentlaraison	-|--|----------|-|-----|
lecuerdientqu	-|---|----|-|
ilont perdu	-|--|----|
ligourpisresp o ndu	-|------|----⌫-⌫--|
siredist il ce mest	---|---|-|-||--|
ilueulentm e tre	-|------|-⌫-⌫--|
ences t pais	-|---⌫|---|
niertnonquesnefu	|---||-----|-|-|
nequeia ma is	-|--|--⌫--⌫-|
neiert ueu	-|---|--|
quantlicersfu ac ort mandez	----|-|---|-||-⌫--|-----|
etporoc irrearaisonnez	-|--|--⌫---|---------|
agrantpeinn e seneschapas t	|----|-----⌫||-|--------⌫|
quan ttierc efois i repairast	----⌫|-----⌫|---||--------|
sachiezil n auoitpoi nt	------|-||----|---⌫-|
ni uenista	||-----||
sans cuerfuetsans remembr ance	---|---|-|-|---|-------⌫---|
iuintparoubliance	|---|--|--------|
moltpa rs eroiedesloi aus	---|--⌫|-⌫----|------⌫--|
trop seroiemauaiset	---|-----|-----|-|
seencont re uostresante	-|------⌫-|-----|----|
lorauoie lec uer	--|----|-|-⌫--|
li li on srespontuoiradit	-|--⌫--⌫|------|---||--|
sil eus tl e cuerian	|-|---⌫|-⌫|---|-||
bien deuon slewlpil laissie r	---|-----⌫|-|----|-------⌫|
que uiss enp uisserepairier	--|--||-|-⌫----|--------|
p a r meismecest eraison	-⌫-⌫|-----|----⌫|-----|
quantfoxp rant sagea conpaingnon	----|--|-⌫---|---||----------|
sen uleriensd o iuentp a rtir	-|-⌫--|----|-⌫-⌫----|-⌫-⌫---|
lisagesset	-|----|--|
lemiextenir	-|---|----|
par parole l	--|-----||
autredec oit	----|---⌫--|
lam a ns ong e	-|-⌫-⌫--⌫---⌫|
pouruer tecro it	---|---⌫-|---⌫-|
dunleu ditet dunhi ericon	|-|--|--|-||-|--⌫-----|
quiiadisfur en tconpai ng n o n	--|----|---⌫--⌫|------⌫--⌫-⌫-⌫|
lihireconsdeuoite ste r	-|-------|-----|-⌫---⌫|
deu antleschiens etr etorner	---⌫--|--|-----|-|-⌫------|
aluilesd euoitfaireenten dre	|--|--|-⌫----|----|-----⌫--|
quantlilo usiroit	----|-|--⌫-|----|
pr oieprendre	--⌫--|------|
etlileusdeuoi tlui	-|-|---|-----⌫|--|
quant ile n aueroit mestier	----|-|-⌫|------|------|
zzaingniel printlileuszz	-|-------|----|-|---|-|
sil e s c r i e rentli pl usour	-||-⌫-⌫-⌫-⌫-⌫-⌫---|-|--⌫----|
les chiensi	--|-----||
uont apre shuant	---|----⌫|----|
etil sen u aauboisfui a nt	-|-||-|-⌫|-|---|---⌫-⌫-|
lehericon la itentre p ris	-|------|--⌫-|-----⌫-⌫--|
quan tillapeleetdistammis	----⌫|-||----|-|---|----|
dieuuienmoiaidier	---|---|--|-----|
me doismie laissier	-|---|--|-------|
lileus r e sp ont	-|---|-⌫-⌫--⌫--|
bienaidetoi	---|---|--|
que iacon se iln aurasde	--|-|---⌫--⌫-||----|-|
lihireconslia	-|-------|-||
etc arme baisepar chierte	-|-⌫-|-|----|--|------|
ames enfansporras conter	|--|-----|-----|-----|
etpar enseing nesramembrer	-|--|-------⌫--|--------|
quiors ont	--|-|-⌫--|
p oure etorfenin	-⌫---|-|------|
quis eul mas laissiéou chemin	--|-⌫--||-|-------|-|-----|
lileusbaisa	-|---|----|
sa he rt ason grenon	|-⌫--⌫-||--|-----|
as esliefres sestafich iez	|-⌫-|------||--|-----⌫--|
par sesbroches	--|--|------|
e st atachiez	-⌫-|-------|
ou iluou ssistouildaingnast	-|-|---⌫----|-|-|--------|
conuintil quile reportast	------|-|-||-|--------|
quant ilfurentaubois ue nu	----|-|-----|-|---|--⌫-|
lihirec onses t descendus	-|-----⌫--|--⌫|--------|
se urzz hautchasn eest montés	--⌫-|-|---|-----⌫|--|------|
lo rss es toitli lo usregardés	--⌫-||--⌫---|-|--⌫-|--------|
lorsli priaquil desc endist	---|-|---|-|-|----⌫-----|
deuantl es ch iensle	-----|-⌫-|--⌫---|-|
deffen dist	------⌫---|
li hireconsrespont	-|-------|------|
amis distil ua tan	---|---|-|-||-|
se peusioirdetonaing nel	-|---|---|-|--|----⌫--|
lacharenaieset	-|---|-|---|-|
setu te npe usdeschie n s	-|-||-⌫|--⌫-|--|----⌫-⌫|
car ien iqui ern oiant pa rtir	--|-|||---⌫-|-⌫----|--⌫---|
seulmeuss e s	---||----⌫-⌫|
or anzlaissié	--⌫--|-------|
taibien seuru isié	|-|---|-----⌫----|
c epeutlen ueoirdou felon	-⌫|---|--|----|--|----|
quiueuttrair	--|---|----|
s on conpaingnon	-⌫-|----------|
il meismesestenconbr és	-|------|--|-------⌫--|
laou liautrese s t deli urez	-|-|-|-----|-⌫-⌫|----⌫---|
un u il ainet dunserp ent	-|-⌫--⌫--|-||-|----⌫--|
n ousmonstre cicon faiteme nt	-⌫--|------|-|---⌫-------⌫-|
o rentensambleconpa ingnie	-⌫---|-------|-----⌫-----|
etloiaute etf o ipleuie	-|------|-|-⌫-⌫|-----|
lis erp ens	-|-⌫---⌫--|
auuilain pria	-|-----|---|
et paramm o rsli	-|--|---⌫-⌫-|-|
quelait aportas tsouent	--|---|-------⌫|-----|
y yf ois le iourpar tel	-⌫|-⌫--|-|---|--|--|
queg rantsenlienseingneroit	--|-⌫---|--|-|------------|
richeh ommele	----|-⌫---|-|
s eli monstr ao uelefu	-⌫|-|------⌫|-⌫|--|-|
etou eleotlon c	-|-|--|-|---⌫|
dedenszzpierrec hauee	-----|-|-----|-⌫----|
oueles estoit	-|--||-----|
liuilainsna pas o ub lié	-|------|||--|-⌫--⌫---|
aitl e lait porté	--|-⌫|---|-----|
si liens eingna	-|-|---⌫-----|
sontre sor	--|---⌫--|
tantli donna	---|-|----|
oret a rgent	-|-|-⌫----|
a merueille	|--------|
uint al agent	---||-⌫|---|
mais bienli distqu ileperdroi t	---|---|-|---|-||-|-------⌫|
se denoiant li me ffaisoit	-|-|-----|-|--⌫-------|
laserpentebienl idi soit	-|-------|---|-⌫|--⌫---|
carbien etmal fairepooi t	--|---|-|--|----|----⌫|
liuil ainsua ensa m e son	-|---⌫---|-|-|-|-⌫-⌫--|
safammemonstralaraison	-|----|------|-|-----|
qu ilot o ydecelse rpe nt	-|-|-|-⌫|-|--|--⌫---⌫-|
eleresponthastiuemen t	--|------|----------⌫|
enuoloits onconseil faire	-|-----|-⌫-|------|----|
qu ilenporr oita bonchief	-|-|-|----⌫--||--|----|
ociez lasi	----|-|-|
fer ezbie n	---⌫-|---⌫|
pu isnedoutereznule rien	--⌫-|-|-------|---|---|
endoute en iezetenmerci	-|----|-|--|-|-|----|
bientedois	---|-|---|
del i urerdeli	---⌫-⌫---|-|-|
naurasdoutede sonme sfa i t	|----|----|-|--|--⌫---⌫-⌫|
portepl aind elait	----|--⌫--|-⌫|---|
puissitesie a	---|-|-|--||
s i tetraizz	-⌫|-|---|-|
quantli serpens u enra	----|-|------|-⌫---|
lahachetiengn esbien tra nchant	-|----|------⌫-|---|---⌫-----|
si leferras si durement	-|-|-----|-|-------|
a it p uis	-⌫-|-⌫--|
recourement	----------|
liuilainsdistqueinsis	-|------|---|-|-----|
lela itapris	-|--⌫-||---|
le boucelmistd euantlapierre	-|-----|---|-⌫----|-|-----|
pui ssi se traitzz	---⌫|-|-|----|-|
pouarriere	--|------|
lise rpentuitquiuolo itb oiure	-|--⌫----|--|--|----⌫-|-⌫----|
et li uil ai ns	-|-|---⌫--⌫-|
leuol t decoi ure	-|---⌫|-----⌫--|
laha che haucepou rferir	-|--⌫--|----|---⌫|----|
oilecop u enir	-|-|--|-⌫---|
enlapierresemet	-|-|-----|-|--|
etliuilainssen ua	-|-|------||-|-|
nedemoura mes que demain	-|------|--|--|-----|
toutes le sberbisau	-----|--⌫|-----|-|
l afoudre trouees	-⌫|-----|------|
liserpen tles otacoree s	-|------⌫|--|-|------⌫|
sonenfantconcut oubercuel	--|-----|-----|-|------|
dontli u ilainsotmolt grant duel	---|-|-⌫-----|-|---|----|---|
par ma ltalentetpa r grantire	--|--⌫------|-|--⌫|----|--|
a saf emme	|-|-⌫---|
conme n ce adir e	-----⌫-⌫-||---⌫|
cistmaxmest	---|--||--|
auenuspartoi	-----|--|--|
fam mefaitilconse i llemoi	---⌫-|---|-|-----⌫-⌫--|--|
tum asdonné	-||-|-----|
conse i l de	-----⌫-⌫|-|
f el onetdesloial	-⌫--⌫-|-|-------|
e leresp ontasonbaron	-⌫-|----⌫--||--|----|
ieni saico nseil	-|||--|--⌫----|
fors tantquetu	---|---|--|-|
uo isesali	--⌫---||-|
selipriepour	-|-|---|---|
dieu merci	---|----|
auuilain esttart quilissa ut	-|-----|--|---|-|-||---⌫-|
plainboucelprant	----|-----|----|
delaittotchaut	-|---|--|----|
deuantlapierreouliserpens	-----|-|-----|-|-|------|
esta lezest doute uzement	--|-⌫--|--|-----⌫------|
sa cour pe batmerci	-|----⌫-|--|----|
etl ise rpen slidemanda	-|-⌫|--⌫----⌫|-|------|
q ueilqueroitlaatoutsonla it	-⌫-|-|------|-||---|--|--⌫-|
merciqueroitde son mef fai t	----|------|-|--|---⌫---⌫|
que no usso ionseinsisammi s	--|--⌫-|--⌫---|-----|----⌫|
c onnous auonsesté	-⌫-|---|----|----|
ne nnilnennil dist ilbia u	--⌫---|-----|---|-|---⌫|
cen eporro ita	-|-⌫|-----⌫-||
n ultensestre	-⌫-|---|----|
autrementnou spoonsam mer	--------|---⌫|----|--⌫--|
setu meu euslait aporter	-|-|-|-⌫--|---|------|
ainsiscon tuei nsoisfeis	-----|--|-|--⌫----|---|
r and u i elteple uis	-⌫---⌫|-⌫||-|---⌫--|
l elaitmet ra sdeuantmo iius	-⌫|---|---⌫--⌫|-----|--⌫|--|
etpuissit e	-|---|-|-⌫|
trairasen s us	------|-|-⌫-|
nete uei lpa sueoir s ipres	-|-|---⌫|--⌫|----|-⌫|---|
carie netecroir aiiames	--|-|-|-|-----⌫-|----|
c onment ie	-⌫-----|-|
tequerr oie	-|-----⌫--|
tant conen cestepierreuoie	---|--|-|----|-----|---|
le copquetahache	-|--|--|-|----|
etieresaitropbiende	-|-|----|---|---|-|
biersuerrasdeuanttoi	----|-----|-----|--|
o u tesenfesfumorsp ar mo i	-⌫|--|----|-|---|-⌫-|--⌫|
quedemoi ti e rttout ramemebre r	--|-|--||-⌫-⌫-|---|---------⌫|
tuneme peu s	-|-|-|---⌫|
pasoublier	--|------|
seloncice lemesesr ance	-----|---⌫-|------⌫---|
telammor ettel bienuoill ance	--|----|-|--|---------⌫---|
nousdeuons auoir	---|-----|----|
sansmal faireet se ns maluol o ir	---|--|----|-|--⌫-|--|---⌫-⌫-|
cariam aisiourne nou s	--|---⌫--|---|-|---⌫|
einsisestso uentauenu	-----|--|--⌫---|----|
depluseurs fammeset	-|-------|-----|-|
qu einsisc on seillentlor	-|-----|-⌫--⌫-------|--|
qui lo r retorn e adeshonn o rs	-||--⌫|------⌫||-------⌫-⌫-|
mai ntefamme	---⌫--|----|
con seillea	---⌫-----||
ce dont pl useurs ueut amorttraire	-|---|--⌫-----|---||---|-----|
sage shonn i doitp ase ntendr e	----⌫|--|||---|-⌫-|-⌫------⌫|
nafole famme	||---|----|
conseilprendr e	------|------⌫|
con fi stici l parsauilainne	--|--⌫-|---⌫|--|-|-------|
dontilotpuistraua i let painne	---|-|-|---|-----⌫-⌫|-|-----|
mol teust auoirgaaing nié	---⌫|---|----|------⌫---|
c elneleustmal conseillié	|-|-||---|--|----------|
s i enorguillis	-⌫|----------|
lamusequip rint	-|---|--|-⌫---|
quineuoul oit ensonparag e	--|-|----⌫--|-|--|-----⌫|
e nson sambl anten sonl ignage	-⌫|--|-----⌫--|-|--|-⌫-----|
famm e trouuerque il preist	----⌫|------|--|-|-----|
i a maisnau ra femmece dist	-⌫-⌫---||--⌫-|----|-|---|
silne la tre uuea	|-|-|-|---⌫--||
so n t alent	--⌫|-⌫----|
lafilleauplus	-|----|-|---|
hautelement	---|------|
uaurralimuse	-----|-|---|
au sou leilenalaparler	-|---⌫---|-|--|-----|
pourceq uil	---|-|-⌫|-|
est oit lip lus	---⌫--|-|-⌫--|
eten estetouslipluschaus	-|-|---|---|-|---|----|
sirequ iertsafille	-|----⌫---|-|----|
a moillier	|-------|
ca rnesesetconplush aucier	--⌫|-|-|--|--|---|-⌫-----|
lis oul a us	-|-⌫---⌫-⌫-|
distqu il uoist auant	---|-|-|----|----|
sit rouera zzplusp u issant	-|-⌫-----|-|---|-⌫-⌫-----|
la lu nequila ombre e tcueure	-|--⌫-|--||-⌫----|-⌫|-----|
paroirquantsor l ioeure	-----|----|--|-⌫|----|
limuse a la luneuint	-|---||-|---|---|
et distqu asipuissantle	-|---|-||-|-------|-|
q u e sa filleueut	-⌫-⌫|-|----|---|
rouua auant aler	----|----|---|
par rai so nli uourramonstrer	--|---⌫--⌫|-|-----|-------|
puiss a ntporratro uer	-----⌫-⌫-|----|---⌫--|
c eest li uensbieniesgart	-⌫|--|-|---|---||-----|
q uequant il uente	-⌫-|----|-|----|
distli mulea uantirai	---|-|---|-⌫---|---|
iamaistafillene prendrai	-----|-|----|-|-------|
adont e nestalezauuent	----|-⌫|--|---|-|---|
sili aditconfaitement	-|-||--|-----------|
laluneliot enuo ié	-|---|||-|----⌫--|
si lia distet enseingnié	-|-||---|-|----------|
qu ilie rtlaplusforscrea uture	-|-|--⌫-|-|---|---|----⌫----|
forc enauo it	----⌫||---⌫-|
to u t e sautre sriensdepar toit	--⌫-⌫-⌫-⌫|-----⌫|----|-----⌫---|
qu a nt il uentoittoutdestruisoit	--⌫-⌫-|-|------|---|----------|
pourc eu oloitsa fil lepr endre	---|-⌫|-⌫----|-|---⌫-|--⌫----|
neuoloitmai s	-|-----|---⌫|
aill o rs entendr e	----⌫-⌫-|-------⌫|
p ourcequilo toi conte r	-⌫--|-|-|-|-⌫|-|-----⌫|
q ueriens ne lpouoit contrest er	-⌫-|----|-||-----|--------⌫-|
liu ens respont tu	-|-⌫--|------|-|
femmen a urastu	----||-⌫---|-|
p a seinsi	-⌫-⌫|----|
plusfor t iaqueiene	---|---⌫|||--|-|-|
qui moltsouuen t m efait anui	--|---|------⌫|-⌫|---|---|
encontremoisi fort s estait	-------|--|-|---||-----|
quenelichaut	--|-|-|----|
de mon forfai t	-|--|------⌫|
grant tourde pierre	----|---|-|-----|
que touiours est fermeetentiere	--|--|----|--|----|-|------|
onq uesne lapoidepecier	---⌫--|-|-|--|-------|
nepou r uenterafoibloier	-|---⌫|-----|---------|
ainsmerebo utesi arriere	---|-|----⌫--|-|------|
quenaital entquelarequiere	--||-|---⌫--|--|-|-------|
limuselir es pondi	-|---|-|-⌫--⌫----|
deta fil lenaidonc ta lant	-|-|---⌫-||-|---|--⌫---|
nedeplus ba sfammesaisir	-|-|---|--⌫|----|-----|
doitapertenir	---|--------|
fe mmeprend raia	--⌫--|-----⌫--||
g ran thonnour	-⌫---⌫|------|
ormenir aiiusqua	-||-|--⌫-|-----|
estsafille quist	--|-|----|----|
la tors lesgar de	-|---||-----⌫-|
si lidis t	-|-|---⌫|
tu asdistele meserré	-|-|---|--|-------|
bi en esgardé	--⌫-|-------|
qui pour forceca tan u oia	--|---|----|-||--⌫-⌫--|
auis quete gaba	---|--|-|---|
pl usf ortt roueras encorhui	--⌫-|-⌫--|-⌫------|----|--|
muse respont	---|------|
a dontplus	|---|---|
t outlemont	-⌫--|-|---|
oil distelelasouris	--|---|--|-|-----|
dedensmoi gistetfait lesnis	-----|--|---|-|---|--|--|
iln aenmoi	-|||-|--|
sifort mor tier	-|---|---⌫---|
quele ne puissede pecier	-|--|-|-----|--⌫-----|
de sous moifuetpa rmimoiu i ent	--⌫---|--|---|--⌫--|--|-⌫-⌫--|
nule chosene la deti ent	---|----|-|-|----⌫--|
la musedist	-|---|---|
conme ntchai ele	-----⌫-|----⌫--|
oraioidureno uele	-|-|-|---|--⌫---|
iaest la s ouri smaparente	-|--|-|-⌫----⌫|-|------|
to utemantente	--⌫--||------|
si hautmonter	-|---|-----|
ormec onuientorretorner	-|-|-⌫------|-|-------|
etenclin er	-|------⌫-|
ama nature	|-|-----|
texestdistlat ors lauen t ure	--|--|---|-|-⌫--||----⌫-⌫--|
ua en mai son	-|-|---⌫--|
e ts elretien	-⌫|-⌫-|-----|
que neu eilles por nulerien	--|-|-⌫-----|--|---|---|
tantc urer maisne de sprisier	---|-⌫---|---|-|--⌫-------|
te x sec ui demaisess a ucier	--⌫|-|-⌫--⌫-|---|---⌫-⌫----|
outres ondroit etalleuer	----|-⌫-|----|-|------|
queplusbas	--|---|--|
re t orner	--⌫-⌫----|
mesp r isiern e peut nu ssondroit	----⌫-⌫----|-⌫|---|--⌫|--|----|
estmausquiquesesoit	--|---|--|--|-|---|
iane sauras siloingaler	-|-|-----|-|----|---|
quetu puiss e sfamme tr ou er	--|-|-----⌫-⌫|----|--⌫--⌫-|
quimiexs oitatonouez	--|---|-⌫--||--|---|
quelasourise tepetite	--|-|-------⌫-|-----|
ein sis auient asorguilleus	---⌫--|-----|-|---------|
axso rcuidie asenu ie us	-|--⌫------|-|---⌫--⌫-|
quicequerent qu ilnedeuroient	--|-|------|-|-|-|--------|
etl atand ent ouilne	-||-----⌫--|-|-|-|
dunescha r bo tnousconteetdit	|-|-----⌫-⌫--⌫|---|----|-|--|
et ie lait rouué en	-|-||-|-⌫-----|-|
geu en zzfumier	--|-|-|-----|
qua nt il fu s aous	---⌫-|-|-|-⌫---|
forsseni ss iamont garda	---||-|-⌫--⌫|----|----|
aig lecon il	---⌫-|--|-|
moltletient aorguillous	---|-|----||---------|
fumolt enuious	-|---|------|
asautresescharbos	-|-----|--------|
li a iglesriensnelormeffit	-|-⌫----|----|-|--|-----|
demanda ce quiert	------|-|-----|
laigleonttrou e ́cortoiset	|----|--|----⌫-⌫|------|-|
illor respondirent isnel	-|--|-----------|----|
iln es toient uer neoisel	-||--⌫-----|--|-|----|
mais cisommese n	---|-|-----|-⌫|
geun nepouoientuoler	---|-|-------|----|
geunnesauo ientaler	---|-|----⌫---|---|
la igle esgarda	|-⌫---|------|
touteio ur	----|--⌫-|
quen ous te nonsano	--|-⌫--|--⌫---||-|
sihaut uolaquen e l uipas	-|---|---|--|-⌫||-|--|
e tquantreuotsiuintem bas	-⌫|----|----|-|---|-|--|
siestsauoiset basseet coie	-|--|-|---|-|----|-|---|
nes tpasplushaut e que	|--⌫|--|---|----⌫|--|
autresiestmescors l uisanz	------|--|--|---|-⌫-----|
conest lisuensto u tsoit	--|--|-|----|--⌫-⌫|---|
unech oseai ieen	--|--⌫--|-|-|-|
ne eniuer neeneste	-|-|---|-|-|---|
fumierentrer	-----|-----|
oautresoisiausueiluoler	|-----|------|---|----|
e tu i uraisicon iluiuront	-⌫|-⌫-⌫---|-|--|-|------|
adontconmencaachanter	----|-------||------|
et moltl aidemen tac ri er	-|---|-⌫-------⌫||-⌫--⌫-|
derrierelaigle fist zzsaut	-------||----|---|-|---|
que ilcuidauoler	--|-|----|----|
a inz quilfut	-⌫--|-|-|--|
gairesalez	-----|---|
e sto rdizfu etestonez	-⌫---⌫---|-|-|------|
ne pooit miehautmonter	-|----|--|---|-----|
nasonf u mier	||--|-⌫-⌫---|
faim auoite tmengieruoloit	---|----|-⌫|------|-----|
et par d est rece	-|--|-⌫---⌫---|
s epleingno i t	-⌫|--------⌫-⌫|
nelichaloit s oisiauslois t	-|-|------||------||---⌫|
nese li zzda uslessharn ist	-|-|-|-||-⌫-||-------⌫--|
niant plus que faitaugorpil	----|---|--|---|-|-----|
