qui ueu th enor	--|---⌫|-⌫---|
ho nteenaura iet repr oui e r	--⌫--|-|----⌫|-|----⌫---⌫-⌫|
mes miezmen	--|---||-|
uienthontesoffrir	----|----|------|
que chie nneliessedeueni r	--|----⌫|-|-----|------⌫|
pordieumendon e zte lconseil	--|---||-|---⌫-⌫|--⌫|------|
quilealm e seit etfe el	--|---|-⌫|---|-|--⌫-|
cedistlaui elle	-|---|-|--⌫---|
moutesfole	---|-|---|
iadece ne seraparole	-|-|-|-|---|-----|
totso nboen	--|--⌫|---|
puez fere a celee	---|---||----|
siqueia nenertr enommee	-|--|-||-|--|-⌫------|
et mielzue ndreitqu e	-|----|--⌫-----|--⌫|
leseussent a perte ment	-|-------|-⌫-----⌫---|
quetufussessiatorn ee	--|-|-----|-|-----⌫-|
c ommeestceste maleuree	-⌫---|--|----|-------|
porla pitieque ieenai	--|-|----|--|-|-|-|
celuiqui si t aime querrai	----|--|-||---|------|
et silferaioteip arler	-|-||----||--|-⌫----|
etpormarme saluer	-|--||---|-----|
m outporro ies estredolente	-⌫--|-----⌫--|----|------|
sep orteiperdeitsaiou ente	-|-⌫-|--|------|-|---⌫---|
si sachesq ue tuc omperreies	-|-----|-⌫-|-|-⌫---------|
outostoutartia n if audreies	-|---|-|---|-|||-⌫-------|
cesachestudeu erite	-|-----|-|-|-⌫----|
se mafillem eust	-|-|----||---|
q ueliuaslet lamast s i	-⌫-|-|-----||----|-⌫|
quipor samorrec utla	--|--||---|---⌫-|-|
ia n en fust enli esse muee	-||-|---|-|--⌫---|---|
q uerteleleusse atornee	-⌫--|---||----|------|
sein e f eist unp rest	--|-⌫|-⌫---|-|-⌫---|
sifustormielz que lin	-|---|-|----|--|-||
orniaplu s	-||||---⌫|
m esieirai	-⌫-|-|---|
q uerrece stui sil	-⌫----|--⌫---|-||
et tu faip artot	-|-|--|-⌫-|--|
so np l aisir	--⌫|-⌫-⌫----|
si comme toncors ue uz	-|----|--|---|--⌫-|
da me dis t el uo stre merci	--⌫-|---⌫|-|--⌫---|----|
fairelemestoura eissi	----|-||------|----|
ia deuostre c onseilnistrai	-|-|-----|-⌫-----||-----|
alezetieuosatendrai	---|-|-|--|-------|
lauie lled iluec s en	-|---⌫--||----||-|
ledameiselquistet troua	-|-------|----|-|----|
a l ostell	||----||
am enat otd reit	--⌫--|-⌫-|-⌫---|
ouladam e ert	-|-|---⌫|--|
quilate ndeit	--||---⌫----|
decelieliballa saisine	-|----|-|----|------|
quid e son mal er t m edecine	--|-⌫|--|--|--⌫|-⌫------|
certesdistlif ilzteln oi	-----|---|-|-⌫--|--||-|
s isachiezpe requeiequi	-⌫|------|--⌫-|--|-|--|
queceest parartde deable	--|-|--|--|--|-|-----|
pa r feibeau fiz c enestpas fable	--⌫|--|---|--|-⌫||--|--|----|
de ableenestetmestre etsi re	--⌫---|-|--|-|-----|-|--⌫-|
quicecoue iteetce	--|-|----⌫--|-|-|
bealpereil	---|---|-|
me sta uis	|-⌫-|-⌫--|
que qui bien	--|--|---|
s er eit ente ntis	-⌫--⌫--|----⌫---|
totimetreitsa	--||------|-|
quillespo rreitparaue nture	-|-|--|--⌫----|--|---⌫----|
engienz mout	------|---|
dest orber	----⌫----|
et delesseporreitgarder	-||---|-|------|-----|
beal sfizilne	----⌫|--|-|-|
mestpasauis	|--|--|---|
en auintiadis	-|----|----|
dundam ei sel oiparler	|-|---⌫--⌫--|-|-----|
so leitpaner	--⌫---|----|
quelor eng ienpeustsaueir	--|--|---⌫--|----|-----|
ne lpeussentdeceue ir	-||-------|------⌫-|
degr antmani eresen	-|--⌫--|----⌫--||-|
mouten en quis t et moutensout	---|-|--⌫----⌫|-|---|-|---|
et quant il	-|----|-|
dut fame esposer	--|---|------|
auns a gehom alaparler	|-|-⌫-⌫-|--|--|-----|
por enq uerreet por d emand er	--|---⌫----|-|--|-⌫-----⌫-|
commentil laporreit garder	------|-|-|------|-----|
leprodomlet intpo rbricon	-|-----|-|-⌫--|--⌫|-----|
et ne quedem	-|--⌫-----|
une ma ison	--|--⌫---|
li ro uaf aireouilne ust	-|--⌫-|-⌫---|-|-||-⌫--|
parei qui depierre ne fus t	----|--|-|-----|-|---⌫|
e tomorti erbienseelee	-⌫||-----⌫-|---|-----|
ieust que uneentree	|---|--|--|-----|
iamariaureitqueunus	-|--||-----|--|-|-|
et une fenestre le sus	-|--|--------⌫-|--|
ettant pet itequeeissir	-|---|---⌫--|--|-----|
n e npeus t homneenzuenir	|-⌫|----⌫|--|-|--|----|
dede n zl a meso nl ameist	----⌫-⌫|-⌫|----⌫|-⌫|----|
iamarnulefe izen ei sist	-|--|---|--⌫-|-|--⌫---|
assezlidonast	----|-|-----|
eta uestir	-||-----|
e t s anzsorfetl erefe ist	-⌫|-⌫--|-----|-⌫|----⌫--|
queorg uelne sie nbatist	--|---⌫--|-|||-⌫------|
quantciloilenseignement	----|--|-||-----------|
n edemorapaslonguement	-⌫|-----|--|---------|
la maisonfisttotenlag uise	-|-----|---|--|-|-|-⌫---|
comlipr odom	--|-|--⌫---|
liou t ap ri se	-|--⌫|--⌫--⌫-|
sa famemist	-|---|---|
enz en prison	--|-|-----|
quant forsissei tde	----|---|-----⌫|-|
dedenz l enserro ut	-----||-------⌫-|
f er mement	-⌫--⌫-----|
entrout en se ment	------|--⌫--⌫---|
nuitquantilse couchout	---|----|-|-|-------|
l escles desoz so nchiefposout	-⌫-|---|----|--⌫|----|-----|
longueslatint entel b allie	------|-|---|-|--|-⌫----|
q uesef aireuousist folie	-⌫-|-|-⌫---|------|----|
queln enpeust	-|-||-|----|
aueirlaisor	----|-----|
mesorauint eissi	--|-|----|----|
aum archie	-|-⌫-----|
etoutb ien luss orl ief ermé	-|--|-⌫--||-|-⌫-|-⌫-|-⌫----|
la dame acos tum eeesteit	-|---|----⌫---⌫-|-----|
sitos t commec il sene i ssei t	-|---⌫|----|-⌫-||-|-⌫-⌫----⌫|
qu alafenestrel emontout	-||-|---------⌫|------|
et ceusd ed efo rsesgardout	-|---|-⌫|-⌫---⌫-|--------|
u n dameiseliuitpa s s er	-⌫|-------||--|--⌫-⌫-⌫-|
com enca le a	---⌫---|-||
sagementleuit contenir	-------|-|--|-------|
etbel al er etbeluenir	-|--|--⌫-|-|--|----|
etb eallisembladurement	-|-⌫--|-|-----|-------|
etplain de grantafait ement	-|----|-|----|-----⌫----|
est r a ngementli	---⌫-⌫-⌫------|-|
eten soncorageaama	-|-|--|-----|---|
me s n es aueit	--⌫|-⌫|-⌫----|
engientrouer	-----|-----|
comelpeusto	--|-|----||
luipa r le r	--|--⌫-⌫--⌫|
lon guem entsi	---⌫----⌫--|||
a la par f inseporpensa	|-|---⌫-⌫-|-|-------|
que sonseignor eniurereit	--|--|------|---------|
etlan uit quantild ormirei t	-|-|-⌫--|----|-|-⌫-------⌫|
la clef belementemble reit	-|---|-------|-----⌫---|
desozson chiefpuissenistreit	----|--|----|---||-|------|
etp arle reit aso n	-|-⌫----⌫---||--⌫|
qu e leaueittantencou ui	-|-⌫-|----|---|-----⌫-|
issifist comme elepensa	---|---|----|--|----|
sonseignorlanuiteniu ra	--|------|-|---|----⌫-|
etlaclefprist	-|-|---|----|
quantfermementloutendormi	----|--------||--|------|
chescu ne nui t	------⌫-|---⌫|
eissifeseit	----|-----|
etsonmarimot	-|--|---|--|
nens aueit	|-|-⌫----|
quer toztens anceis reueneit	---|--|---|-----|-------|
sesuellast	|--------|
quidormei t	--|------⌫|
nequedencil	-------|--|
outbien a pris	--|---|-⌫---|
quer mou tsen es tei tentrem is	---|---⌫||-|--⌫---⌫|------⌫-|
q ue iafamen	-⌫-|-|---||
eni e rtgardee	-|-⌫-⌫-|-----|
fa irequeli	--⌫--|--|-|
delas oe sem e ru ellout	-|-|-⌫-|-|-⌫-⌫--⌫-----|
quiches cun enuit	--|----⌫---⌫|---|
defair e lebeiur easorfa it	-|----⌫|-|-----⌫||-----⌫-|
biensoutque cees teitatrai t	---|---|--|-|--⌫---|-----⌫|
delui abe teretdeceiure	-|--|---⌫--|-|-------|
et que porel	-|--|--|-|
nelfesei t	-||-----⌫|
porpe nsaseiquilensaureit	-----⌫--|--|-|-|-|------|
totela chosesi poeit	---|-|----|-|----|
unenuitfeinstque iurees teit	--|---|-----|--|---|--⌫---|
me i nsqu ilnes oleit	--⌫-⌫-|-|-|-|-⌫----|
nequedenmoutfistgrantsenblant	-------|---|---|----|-------|
qu e iure est eitetmeintenant	--⌫|---|---⌫--|-|---------|
quant il sefu ale ́	----|-|-|-|---⌫|
s icomenc abien	-⌫|------⌫|---|
afr onchi er	|--⌫-----⌫-|
deceiureetes prouer	-------|-|--⌫-----|
etneseueutpasoblier	-|-|-|---|--|-----|
quesacostumene feist	--|-|------|-|----|
laclefdesoz son	-|---|----|--|
cheueiz pr ist	------|--⌫--|
l usdesfermap uissen	|-|-------|-⌫--||-|
et aladre itasonami	-|--|---⌫-||--|--|
quant elfu ho rscil l eua	----|-|-|--⌫-|--|-⌫--|
e tsoe nt relie ferma	-⌫|---⌫--⌫-|--|----|
al a fen estresapuia	|-⌫|---⌫----||----|
desique cel e	------|---⌫|
quant el euintsi atroué	----|--⌫|---|-||-----|
lu spa rdedenz tr e sbien f ermé	|-⌫|--⌫|-----|--⌫-⌫|---|-⌫----|
et plore dire	-|----||--|
nesoutque faire	-|---|--|----|
n eque dire	-⌫|--|---|
b ot émout belem ent	-⌫--⌫-|---|-----⌫--|
n osaapeler au trement	|--|-----|--⌫------|
etli mar izli dem anda	-|-|---⌫-|-|---⌫---|
toz effreezquies	--|------|--|-|
qui atel e hore esamo nus	--||---⌫|---|-||--⌫|-|
siredisteleiln i apl us	---|---|--|-||||--⌫-|
mes malementsuient repris e	--|-------|--|---⌫------⌫|
pordi eu et	--|--⌫-|-|
poruostre franchi se	--|-----|-------⌫-|
enaiez ces te feiz merci	-|---|---⌫-|---|----|
etie leaume ntuo safi	-|-|------⌫-|--⌫|--|
que iamesne lme pens erai	--|----|-||-|----⌫---|
mesfee lme ntuos seruirai	--|---⌫---⌫-|--|-------|
doreen auanttotema	------⌫----|---|-|
certes dist	-----|---|
iamesome in ecop lereiz	----||--⌫|-⌫|---⌫-----|
lahorsaleir uosdedu i reiz	-|---|||--|--|----⌫-⌫---|
tantque cisoientassemb l é	------|-|-----|------⌫-⌫-|
de u ostrepar ente	-|-⌫----|---⌫---|
silormostrereienquel sens	-|--|--------|-|---|---|
or seruilonct ens	-|----|---|-⌫--|
siredistel	---|---|-|
por dieu merci	--|---|----|
seu os leuolezfaireis si	-|-⌫-|-|----|----|--⌫-|
donc sachi ezuosqueia	---|-----⌫-|--|--|-|
morr a ide	----⌫-⌫|-|
mie lzue il deuie	---⌫-|--⌫-|-|--|
estr ese uree	----⌫|--⌫---|
queuiueestreahonte esgar dee	--|---|----||----|-----⌫--|
puis nechaut qui	---|-|----|--|
tie gnecont e	---⌫--|----⌫|
queie nensa ureiaueir	--|-||-|--⌫---|----|
pui zdei ost emei	---⌫|---⌫---⌫|--|
donie be urai certes	--|-|--⌫---|-----|
s anz se i	-⌫--|--⌫|
tantqu elicuer s mecre uera	------⌫|-|----⌫|-|---⌫---|
si maitdiex gisaudraiia	-||--|---|||------|-|
et s inepoez	-|-⌫|-|---|
u o s fallir	-⌫-⌫|-----|
qu e u o s n e	--⌫|-⌫-⌫|-⌫|
seiezpormamort	----|--|-|---|
ouseita drei touseita tort	-|---||----⌫|-|---||---|
a honte e t a	|----|-⌫||
de se normis	--⌫--⌫--|--|
se dex gar isttoz mesa mis	-|--|---⌫--|--|--|-⌫--|
d ame l i marizli res po n t	-⌫--|-⌫|----|-|---⌫--⌫-⌫|
le pu izest gr antetbien	-|--⌫-|--|--⌫--|-|---|
bien uospoezueier dede nz	---|--|---|----|----⌫-|
daheai t el coul	---|--⌫|-|---|
e t es denz	-⌫|-|---|
quienchautsetan te nbe uez	--|-|----|-|---⌫|-⌫|--⌫--|
que t oztense n	--|-⌫-|---|-⌫|
queru osauez bien	---|-⌫-|---|---|
que uosdeuez morireissi	--|--|----|----|----|
ouoncor plus qu er u eant gent	-|----|---|--⌫-|-⌫---|---|
deussiezm o rir plusui lement	-------|-⌫-⌫--|---|--⌫-----|
cele fucointeetenginose	---|-|-----|-|-------|
unegr antpierr e meruei llose	--|--⌫--|-----⌫|------⌫----|
uisamou t leuee	--|----⌫|----|
pu is ladair enpuizr uee	--⌫-||||--|-|---|-⌫--|
gran t noisefist quante lchai	----⌫|----|---|----|-⌫|---|
etlima rizquantil loi	-|-|--⌫--|----|-||-|
alasdis til	---|---⌫|-|
iesuis h oniz	-|---|-⌫---|
n eiesest dedenzce lpuiz	-⌫--||--|-----|--⌫|---|
mout aimalementespleit ié	---|-|-------|-------⌫--|
ocisel aiparmonpechie	----||-|--|--|-----|
cortsila defermé	---|-|||-------|
etcelesozundegre	-|---|--|-|----|
ou ta pie s ert	-|--⌫--||--|
quantilfuh o rsenzsest f i ch e e	----|-|-|-⌫-⌫-|--||--|-⌫-⌫--⌫-⌫|
astalonslia	-|-----|-||
pui s l ap ardedenzb ie n	---⌫|||-⌫-|-----|-⌫--⌫|
estersenueta	----||-|--||
la fenestre	-|-------|
etdexdistilce	-|--|---|-|-|
que puetestre	--|---|----|
cene st pasfameainzest	-||-⌫-|--|---|---|--|
quisiestcointe	--|-|--|-----|
et dec euable	-|---⌫-----|
nushomne sen	--|--|-||-|
porre itg ard er	-----⌫-|-⌫---⌫-|
damedistilie	---|---|-|-|
l aisester	-⌫--|----|
quanquemeffet	------|-----|
mauezdel tot	|---|--|--|
ianenorreiz	-||-|-----|
uenezmei or lus	----|--|-||-|
defferm er	-------⌫-|
simeleiss iezleenzentr e r	-|-|-----⌫--|----|----⌫-⌫|
en cou enant bie n	-|---⌫----|---⌫|
queieiame sdenulerien	--|-|----⌫|-|---|---|
queuos fac ieznenparlerai	--|--|---⌫--||-|-------|
que r oraprim es	---⌫|-||----⌫-|
ententepert et sa peine	------|---|-|-|----|
garder sepeine	-----|-|----|
u era em entf ol oe	-⌫---⌫--⌫--|-⌫--⌫-|
quantde uo sgar dermepenoe	----|-|--⌫|---⌫--|-|----|
ahidistele feltrai tor	--|---|--|--|----⌫--|
cuuert lechierrema l amor	-----|--------|--⌫|---|
mauezm ostr é etmalefei	|---|-⌫----⌫-|-|---|--|
telestesqu e	--|----|--⌫|
uosna uez l ei	--||-⌫--|-⌫-|
chescunenuitmeguerpiss iez	-------|---|-|--------⌫--|
ettotefolem e	-|---|---|-⌫|
poruosputains ouuos alez	--|--|------|-|--|---|
si e stesoreacostumez	-|-⌫---|--|--------|
neuos enfaudra nuit	-|--|-|-----|---|
sipensezquil nem ennuit	-|-----|-|-|-||-----|
sifa iz ueire tsideitil faire	-|--⌫-|---|-⌫|-|---|-|----|
mes i aiestétantdebon	--||-|----|---|-|--|
que ienen uoloi e parler	--|-||-|-----⌫|-----|
mesor ne lp uis ie	--|-|-||-⌫--|-|
entrereizmesca dedenz	--------|--|-|-----|
certesdesiq ue uos parenz	-----|-----⌫-|--|-----|
et l es mienss oientasemblé	-|-⌫-|----|-⌫----|-------|
silor dir ai lauerite	-|--|---⌫-|-|-----|
c omuosm au ezlonctensseruiee	-⌫-|--||--⌫-|---|---|------|
etpor uo zpu tains	-|--|--⌫|--⌫----|
relenquiee	---------|
que uosferoiel onguefab le	--|--|-----|-⌫----|---⌫-|
cefulad ameauuifd e able	-|-|-|-⌫--|-|--|-⌫-⌫---|
quionquesne uout	--|-----|-|---|
por pramessene por loier	--|-------|-|--|----|
nepor rien	-|--|---|
quilcouenan cast	-|-|-------⌫---|
q uededenzlameson entrast	-⌫-|-----|-|----|------|
ainzmanda par mat insa gent	---|----|--|---⌫-|-|---|
etatrest ozcommmunement	-||-----⌫-|-----------|
fistacreirepo r	---||-----|--⌫|
quil s e steitdelie	-|-||-⌫----|-|--|
eteissisen blout	-|----||--⌫----|
chesc unenuitqu	-----⌫--|---|-|
ilanuitout	-|-------|
et so le ladeg uerpis seit	-|--⌫-|-|---⌫------⌫---|
desqu aldemainqu	----|-|-----|-|
ilreueneit	-|-------|
quantc il lesoe ncontecontout	----|-⌫-|-|---⌫|----|------|
nientel l itroblout	----|-|-⌫|-------|
tote sareisonetson	---|-|-----|-|--|
ci lmo reit deduel	--⌫|--⌫---|-|---|
quia gra nttortb la sme zestei t	--||---⌫-|---|-⌫--⌫---⌫|-----⌫|
to rt ou fus ta	--⌫-|-|---⌫||
c el e con toutsi le soenconte	-⌫--⌫|---⌫---|-|-|---|----|
queleblasmee t tote la	--|-|-----|-⌫|---|-|
enfus orsonmaritorné	-|-|-⌫-|--|---|-----|
e t ele enfusidesblam ee	-⌫|--|-|-|-|-------⌫-|
quederienn	--|-|---||
enfumes cr e ue	-|-|---⌫--⌫-⌫-|
m ais porpro d e fame	-⌫--|--|---⌫-⌫|---|
par fei bealsfizcist aue itmis	--|--|----|--|---|---⌫-|--|
sacu re et sententetoz	-|--⌫-|-||------|--|
garderseseust	-----|-|----|
que f ameengringnier	--|-⌫--|----------|
diquec eliualut	-|--|-⌫|-|----|
par feinulechose ainz li nut	--|--|---|----|---|-|--|
c ertescedistlifi zielpens	-⌫----|-|---|-|--⌫|-||---|
quenest nushom d esi	--||--|--|--|-⌫|-|
grant se ns	----|--⌫-|
qui fameg arda stnet enis t	--|---|-⌫----⌫-|-|-⌫----⌫|
qu esa uolent en efe ist	--⌫|-|------⌫|-⌫|--⌫--|
quequisi gar ders en seust	--|--|-|---⌫--||-|----|
quenau cuns ens n e l de ceust	-|-|--⌫--|-⌫--|-⌫||--⌫----|
meismene lfeseit	-----|-||-----|
por d re itnient senpanereit	--|-⌫--⌫-|----||-|-------|
et cequeie e noiconter	-|-|--|-|-⌫|-|-----|
mefet de l	-|--|--⌫|
tot d esesperer	--|-⌫--------|
de prendrefa meet	-|------|--⌫-|-|
n e c uitmie	-⌫|-⌫--|--|
nule en pren geenmauie	---|-|----⌫-|-|-|--|
auoidist li pere b eals filz	---|---|-|---|-⌫---|---|
moutp ar eni ade	---|-⌫-|-|||-|
quer siitelessuntauquantes	---|-|-----|---|--------|
moutentroueralen	---|-|------|--|
deuallantes	-|--------|
neson tn ient	-|---⌫|-⌫---|
totesiteles	----|-----|
assez ent rouelen diteles	----|-|-⌫---|--||-----|
acuidiexaaba ndoné	|--|---||---⌫-----|
s ens etmesure etch astee	-⌫--|-|-----|-|--⌫----|
quant diexteleahomela	----|---|---||---|-|
n as ozciel tresorqui la u alle	||-⌫-|---|-----|--|-|-⌫---|
bealpereboe n	---|---|---⌫|
da ucunequi son s ensmeist	|-⌫----|--|--|-⌫--|----|
etsonengienen au cun bien	-|--|-----|-|--⌫--|---|
sauez enuosdenule rien	----|-|--|-|---|---|
quisone ngienac e torn ast	--|--|-⌫----||-⌫|----⌫--|
que auc une r ienen	--|---⌫--|-⌫--|-|
fizplusorsens unt	--|------|-|-⌫--|
qui gran tbien par lorengienfun t	--|----⌫|---|--|--|-----|---⌫|
dunemout s ag e en orras	|--|---|-⌫--⌫|-|----|
co meson seignor conseilla	--⌫-|--|------|--------|
liprodomeertdesp agnenez	-|------|--||---⌫---|--|
oretargentaueitassez	-|-|-----|----|----|
parmiegypte	----|-----|
trespassout	----------|
t o tdreit amechen alout	-⌫-⌫|----||---|-|----|
la oumahomert henorez	-|-|----|--|------|
etdesarrazinsa orez	-|-|--------|-⌫---|
enpeler ignage ialout	-|-----⌫-----||----|
etg rantaueiro se ipo rtout	-|-⌫---|----||--⌫|--⌫----|
comildutesdes erz entrer	--|-|--|-|---⌫--|-----|
com me nc a seia	---⌫--⌫--⌫|--||
que par a uentur e p ardrei t	--|--|-⌫------⌫|-⌫------⌫|
cel aueirso sei l esmouei t	--|----|||--||-------⌫|
celialoé sonconseil	---||---|--|------|
quau nleal	-||-⌫|---|
homeetfeel	---|-|---|
sonaueirag ar der ballast	--|----||-⌫--⌫--|------|
tantquepar illuecr ep air a st	------|--|-----|-⌫--⌫---⌫-⌫-|
retornezest en laci te	-------|--|-|-|--⌫-|
si aenquis	-||-----|
etde mandé	-|--⌫-----|
ouliplus l eaushom	-|-|---|-⌫---|--|
que lenen la	--|--|-|-|
ci tesaueit	--⌫-|-----|
unhome lia len mostré	-|---|-||--|------|
q uimo utes teit de bel e e	-⌫-|--⌫-|--⌫---|-|--|-⌫|
outchanue et florie	--|-----|-|-----|
bienresembloutde	---|---------|-|
cildespagne lia baillié	--||------|-||-------|
mil besa nz dorpuis l a	--|----⌫-||-|---|||
poramor d i euquil	--|---|-⌫-⌫-|-|-|
li gardast	-|------|
tantquepa rilluec repai rast	------|--⌫|-----|-----⌫---|
desor e iso nsde mahommet	--|--⌫-⌫---⌫-|-|-------|
etci l dieuen	-|--⌫|---|-|
quesauuementlig ardera	--|--------|-|-⌫-----|
etau repairierlirendr a	-|-|--------|-|-----⌫|
queia nenfaudrarien	--|-||-|-----|---|
li l eaus homl	-|-⌫---|--||
encreitbien	-|----|---|
congi eprist etsaue ietint	-----⌫|----|-|-|--⌫-|---|
et alainz que il p out	-|||---|--|-|-⌫--|
quantuenu fusidemanda	----|---|-|-|------|
s o naueiretcil l ineia	-⌫-⌫|----|-|--|-⌫|---|
qued el suennaueitri ene u	--|-⌫-|---||----|--⌫-|-⌫|
nonquesme s	|-----|--⌫|
ne l aueitueu	-||----|--|
quant liprodo ma ce	----|-|-----⌫||-|
ilsiremerci	-|---|----|
damedieu en pl eigeme ist es	-------|-|--⌫---|--⌫---⌫-|
mon aueir retenistes	--|----|---------|
legarderiez	-|--------|
etquetotmelerendriez	-|--|--|-|-|-------|
le aumentqua nt	--⌫-----|---⌫-|
ier eue ndreie	-|-⌫---⌫-----|
u os nalez	-⌫-||---|
miedrei teueie	--|----⌫-|---|
pordieunefetestelpechie	--|---|-|----|--|-----|
feleni e estetmaluestie	------⌫|--|-|--------|
tro p grant semonauei r	---⌫|----|-|--|----⌫|
q ueparb one fei uosballai	-⌫-|--|-⌫--|--|--|-----|
et cilli re spon t beals	-|--|-|--⌫----⌫|----|
uosauezmalementmespris	--|---|-------|------|
laiss iez meiester tot	-----⌫--|--|----|--|
queieneuosui onques mais	--|-|-|--|-|-----|---|
fablessuntqu euo sdeman dez	-----|---|--⌫|--⌫|-----⌫--|
nestesnie ntbi en a se nez	|----|---⌫-|--⌫-|-⌫--⌫--|
cil fu angoi ssoset	--|-|-----⌫---|-|
par l ac iteaplusorsgenz	--|-⌫|-⌫--||------|---|
mostracommec il le meno ut	-----|----|-⌫-|-|----⌫-|
e tcomsonaueirlineiout	-⌫|--|--|----|-|-----|
enpoeitestrecreu	-|----|----|---|
quer esteient deceu	---|-------|----|
de celborgeis parlaci te	-|--|------|--|-|--⌫-|
qui ent re lsaueit	--|---⌫|-⌫-|----|
conue rsé	-----⌫---|
silealmenttotesauie	-|-------|---|-|--|
quonques denuletricherie	-|-----|-|---|--------|
nen auei tlen oiparl er	|-|----⌫|--|-|----⌫-|
domnushom lepeustr eter	--|--|--|-|----|-⌫---|
orsiteneient tu itafable	-|-|-------|--⌫-||----|
quedec es tcrime	--|-|-⌫--⌫|----|
fustcopable	---|------|
maisc ilquiso n aueirperdeit	---|-⌫-|--|--⌫|----|------|
p lusors feiz chesc unior ueneit	-⌫-----|---|-----⌫-|--|-----|
lao u litri ch ierres esteit	-|-⌫|-|---⌫--⌫-----|-----|
quisonauei rled enee it	--|--|----⌫|-|-⌫----⌫-|
pordie u lepriouthumblement	--|---⌫|-|-----|---------|
enfeist restorement	-|----|----------|
e tcilresponeit bealsami s	-⌫|--|--------|----|---⌫|
musarzestes cem	-----|----|-||
porfoul me ferieztenir	--|---|-|-----|----|
tantuosporroiegesoffrir	---|--|------|-|------|
soffertu os aior lo nguement	------|-⌫-|-|-|--⌫-------|
sac hiez orueraement	---⌫---|-|--------|
seuosiames ceienz entrez	-|--|----|-----|-----|
tel chosem ape lez	--|----||---⌫--|
nemep orreie pas tenir	-|-|-⌫-----|--|----|
queneuos f eissel aidir	--|-|--|-⌫----|-⌫----|
qua n t cillesmenacesoi	---⌫-⌫|--|--|------|-|
forsde lamaisonsen ei ssi	---|-|-|-----||-|--⌫--|
dol enzsenalout	---⌫--||-|----|
etqu antau chemin s efumis	-|--⌫--|-|-----|-⌫|-|--|
parauenturea enc ontree	--|-------||---⌫-----|
u nefamebe neuree	-⌫-|---|--⌫-----|
uielle esteitet	-----|-----|-|
si sapuiout	-||------|
aunba stonqueleportout	|-|--⌫---|-|--|------|
etf orsdela ueieget out	-|-⌫--|-|-|---|---⌫--|
lespierresq uel chemin	--|------|-⌫|-|-----|
cil nesihurtassent	--|-|||---------|
quiparlechemin trespa ssassent	--|--|-|-----|------⌫-------|
quantc eluii uit	----|-⌫---||--|
trespass er	--------⌫-|
are garder	|--⌫-----|
bienso utquemaremen t aue it	---|--⌫-|--|-------⌫|---⌫-|
quer pensisetploros	---|-----|-|-----|
quantel le	----|-|-|
uitsidehaitié	--|-|--------|
sil enprist estrangepitie	-||-|----|-------|----|
en unsegre il eulemena	-|-|-----⌫|-⌫-|-|---|
sili enquistetdemanda	-|-|------|-|------|
quiilertetqueilaueit	--|-|--|-|--|-|----|
q u i s i desconf o rtez esteit	-⌫-⌫|-⌫|-------⌫-⌫---|-----|
cil lia la chose	--|-||-|----|
etdechie fenautr econtee	-|-|----⌫|-|----⌫|-----|
bealamisdist el eor at ent	---|---|---|--⌫|-|--⌫--|
se ueirs est	-|----|--|
au mienes cient	-|---|--⌫----|
po rreies tuencoraueir	--⌫-----|-|----|----|
ola iedi eutonau eir	||-⌫-|--⌫-|--|--⌫--|
me stotauantte co uien t querre	--⌫|--|----|-|--⌫----⌫|-----|
un lealhomme deta	-|---|----|-|-|
si lamerras desi ici	-||------|---|--|
etquantp arlui aurai	-|----|-⌫-|--|----|
et s e uq uetu medi z ueir	-|-⌫-⌫|-⌫-|-|-|--⌫|---|
sitaid e rai a mon poeir	-||---⌫-⌫--||--|----|
damedi stli prodomme rci	---|--⌫-|-|-----|--⌫--|
da m edieuseit	--⌫-⌫----|---|
que ieueir di	--|-|---|-|
en macontreemenirai	-|-|------||-|---|
unprodom e t	-|------⌫||
enamerra i	-|------⌫|
plusleal delpais	---|---|--|---|
oruadistelebeal s a mis	-|-|---|--|----⌫|-⌫--|
etie aiendieu boe n espeir	-|-|-|-|---|---⌫|-----|
queieterendrei tonaueir	--|-|-|------|--|----|
an c eledieue ttucoment	--⌫-⌫--|---|-⌫|-|-----|
or netechautmesisnelment	-|-|-|----|--|--------|
uaetreuien etcilsifist	-|-|-----|-|--|-|---|
to tleplusle elhomep rist	--⌫|-|---|--⌫-|---|-⌫---|
q uil enla	-⌫|-|-|-|
contre esout	------⌫|---|
etqu imielz hom uallantsenblout	-|--⌫|----|--|------|-------|
uindrenttotdreit	-------|--|----|
alo steloula	||-⌫---|-|-|
famees teit	---|--⌫---|
sorsainzli	--|----|-|
ont anduiiure ́	--|----|----⌫|
que cilrequereit	--|--|--------|
sei gnors di s tele or	---⌫----|--⌫-⌫|--|-|
uostais iez	--|----⌫--|
eten aucun l ieupo rchaciez	-|-|----|-⌫--|--⌫-------|
disc offres etses	--|-⌫-----|-||-|
faicesteindre	-----|------|
etd ediuersescolo rspeindre	-|-⌫|-------|----⌫-|------|
de ferlesfet esb ie nbarler	-|--|--|---⌫-|-⌫--⌫|-----|
et o bo enes cl ousdargentcloe r	-||--⌫---|--⌫--||-----|----⌫|
sereureenchescun metez	------|-|------|----|
etoboene sclesles fermez	-||-----⌫|---|--|-----|
menuesperretesquere z	-----|-------|-----⌫|
ettozdis les m enenple z	-|--|--|--||-|-----⌫|
quant ce aurezfai tsim	----|-|----|---⌫|-||
h omes aparelliez	-⌫---|---------|
