chiconmenche	--|--------|
laigue etqantilen	|----|-|---|-|-|
au oientzz	--⌫----|-|
f ais assambléssesdeciplesl eportoit a	-⌫--|---------|--|-------|-⌫|------||
zzuile qui	-|---|--|
illuec e stoitprocha innesi	-----|-⌫----|------⌫---|-|
u endoitetacatoitpain quildepartoient	-⌫-----|-|------|---|-|-|----------|
ac hia usqui	|-⌫---⌫-|--|
a iausuenoient dont il	|---|-------|---|-|
soustenoientloruiesainss iliprodo m	-----------|--|---|-----⌫|-|-----⌫|
cuidoitestrerepuslaendroit etque	------|----|----|-|------|-|--|
ne f u st plus	-|-⌫-⌫-|---|
mentions neparole	-------|-|-----|
maissico m liescrit uretesm oin gne etdist	---|-|--⌫|-|------⌫--|----⌫---⌫--|-|---|
mal uaisementpuetestrerepuselecite	---⌫--------|---|----|-----|-|---|
quie st a ssise seurun emonta ingne	--|-⌫-|-⌫----|---|--⌫|-----⌫----|
adontauintqu ezz	----|----|--⌫|-|
lecitederom eestoit entr epris	-|---|-|---⌫|-----|----⌫----|
parle dial e	--|-|----⌫|
quili estoit	--|-|-----|
entrés elcors	------|-|---|
sila uoiton me néel moust iersai nt	-||-⌫---|-|--⌫--|-|-----⌫--|---⌫-|
pierrelaconmen chal ideales quidedens	-----|-|------⌫--|-⌫|-----|--|-----|
lui esto itentré sacr ieretadirena	--|----⌫-|------⌫||--⌫--|-||---|||
encoreg airesquehylaireslisers ihesu	-----|-⌫----|--|-------|-|---|----|
cristuint ensesi lleetnu s ne	----|---|-|----⌫--|-|--⌫|-|
liconnoist	||-------|
p or ce quide il estre	-⌫-|-|----|-|----|
sirepus q ue	-|----|-⌫-|
nusneli co n noiss e ma isie iraiet	--|-|||--⌫-⌫-----⌫|--⌫-|-|---|-|
sil enseigneraidon t	-||----------|---⌫|
entral i fo rsene ́s	----|-⌫|--⌫-----⌫-|
en unenefa uo ec	-|--|--|-⌫--⌫-|
unepa rtie de	--|--⌫---|-|
etna gerent tantqu il uinrrent	-|--⌫-----|-----|-|-------|
ensesille auliu ouli s a i nsho mestoi t	-|------|-|--|-|-|-⌫-⌫-⌫-|--⌫|-----⌫|
arres t e ́ s	-----⌫-⌫-⌫-⌫|
ettantost comli derués	-|------|--|-|------|
leuits ise laissacairases pies	-|--|-⌫|-|-----|---||--|---|
en meismes	-|------|
leurefu ilgarise tsa nés	|---|-|-|----|-⌫|--⌫---|
desemalauenturechefuli	-|-|----------|--|-|-|
premie rsmiraclesquenostres	------⌫-|-------|--|------|
si res fe sis t	--⌫--|--⌫---⌫|
po r lu ien sesilledontconmencherent	--⌫|--⌫|-|------|---|------------|
a ue nira lui tant dem aladequi	|--⌫--||--|---|-|-⌫----|-||
funus nom bresetlisai n thome	-|--|---⌫---|-|-|---⌫-⌫|---|
religieusauss i iuenoient	--------|----⌫||-------|
entrec hiauss iuintzz	----|-⌫----|||---|-|
quitou s es toite nfléset en tre pris	--|---⌫|--⌫---|-⌫-----|-|--⌫---⌫---|
d etr opgrief	-⌫|--⌫-|----|
ma ladie enmeismesle	--⌫----|-|------|-|
iorqu ili uint	--|-|-||---|
fui lgarisets a nésch il	-|-⌫|----|-|-⌫-⌫---|--⌫-|
liuoustdonner gransd onse t grans auoirs	-|----|-----|----|-⌫--|-⌫|----|-----|
maisilnenuoustr iens rec heuoirendementresque	---|-||-|----|-⌫---|---⌫-----|-------------|
li sa insh om estoi t ensi ens esille	-|--⌫--|-⌫-|-----⌫|---|-|-⌫-----|
com ieu ousaiditetcomcescoses	--|-|-⌫--|-|--|-|--|--|----|
el ec h iusses dec i plesle qu e roi t	--⌫--⌫-⌫--|--|---⌫-⌫---|-|--⌫-⌫---⌫|
p artou t lesiec le etaloitp ar tousle s	-⌫-|---⌫|-|----⌫-|-|----|-⌫-|---|--⌫|
demeretparlesgrans	-|--|-|--|--|----|
d ese rt inespou r	-⌫---⌫--⌫---|---⌫|
sauoirs ile n	-----||-|-⌫|
o rro i tno uelescarilsa uoit	-⌫---⌫-⌫|--⌫----|--|-|--⌫---|
bien quil n e s ero itennu llieu	---|-|-|-⌫|-⌫---⌫-|-|--⌫|---|
arr estésque lenouele de	---⌫-----|--|-|-----|-|
lui ne fustto st	--|-|---|--⌫-|
nonchie t antal aq auchief	------|-⌫--|--⌫||-|----|
de yy ansoidir e zz guifc	-|-|--|-|---⌫|-|---||
unep roph ete	--|-⌫----⌫--|
decre sti ens	-|---⌫---⌫--|
estoitapparue enl etere	-----|------|-|-⌫|---|
de sesille	-|------|
etfaiso itsigrans miracles	-|-----⌫-|-|----|-------|
que on q uidoitque	--|-|-⌫-----|--|
cefustdes haus sains	-|---|--|---|----|
dechaena rriere e tqant	-|--|-|-⌫-----|-⌫|---|
oiainssichelui	-|-----|-----|
parler et direillidemanda	-----|-|---|-|-|------|
qu elabitila uoit etque llangaige	--⌫-|---|-|-⌫---|-|---⌫|-------|
etc onment il	-|-⌫-----|-|
semainteno ite t dequelaaige	-|--------⌫-|-⌫|-|---|----|
ile stoitli gui sne len	-|-⌫----|-|---⌫|-||-|
sot raison	--|-----|
rendr eains distqui l nenauoitmie	-----⌫|---|---|-|-⌫||-|----|--|
ueunep lusnensauo itque le bon e	--|-|-⌫--||-|----⌫-|--|-|---⌫|
r enonmeequi l en	-⌫------|-|-⌫|-|
auoitoieele c h ius	----|--|---⌫-⌫-⌫--|
entratant ost	----|----⌫--|
e n une nefquienses ill e	-⌫|--|--|--|-|---⌫---⌫|
qantil iuint ildemanda a	---|-||---|-|------||
une uilequi estoiten une	--|---|--|-----|-|--|
me r nouu eles delsai ntho medont	--⌫|----⌫---|--|---⌫-|--⌫-|---|
lidis oien tt out cil	-|---⌫----⌫|-⌫--|--|
quil aarr estoient	--|-⌫|---⌫-------|
oulisains hom	-|-|----|--|
estoitetconment il se	-----|-|------|-|-|
contenoitetmolts esmeru eill oient t ot	--------|-|---||------⌫----⌫----|-⌫-|
queain c puis quelisainshomestoit	--|---⌫|----⌫--|-|----|--|-----|
contree quitantbel	------|--|---|--|
auoitfaitpar l euolente	----|---|--|-⌫|------|
denostrese igneurneuoltprend re	-|-----|--⌫-----|-|---|-----⌫-|
nulecoseterrienetantliseust en	---|---|-------|---|-|----|-|
p resenterne offrirneisune seule mie	-⌫-------|-|-----|---|--|----|--|
depainpoursoustenir se uie esechius	-|---|---|--------|-|--|-------|
hom qui oic es par olesala	--|--|-|-⌫-|---⌫---|--|
iltrouua so nmaistre dontselais sa	-|-----|--⌫|------|---|-|----⌫-|
cairasespiess il i conmenchaa	---||--|---|-⌫|-⌫|--------||
deses lermesli sainshomlen	-|--|-----|-|----|--||-|
furent illuec y yiorsemsamble	-----|-----|-⌫|---|-------|
dontsotet enten dibien e sechius	---|--|-|-----⌫-|---|-⌫------|
quelisai nshom n euolo itplusdemorer	--|-|---⌫-|--|-⌫|----⌫-|---|------|
enceleregi onpo r l es gensqui	-|---|----⌫-|--⌫|-⌫-|---|--|
a lu iu enoientainsuoloitaleren	|--⌫|-⌫------|---|-----|---|-|
sies trang ester r es qu eli nons deli u	-|--⌫-----⌫-|---⌫-⌫-|--⌫|-|---|-|--⌫|
n ifustconneusneses	||---|------|-|--|
langaig es qant	-------⌫-|---|
es echiussotseuolenteille	--⌫-----|--|-|------|-|-|
zz castelen lecontreede	-|-----|-|-|------|-|
laarresta i l porchequi lquido it	-|------|-⌫|--|--|-|-⌫|-----⌫-|
ui esolit aire c a r	--⌫|-----⌫---|-⌫-⌫|
leterreestoit	-|----|-----|
etest rangemaisilifutost	-|---⌫----|---|-||-|---|
co nn eussicom uospo rrés oiretenten dre	--⌫--⌫--|-|--|--|--⌫----|--|-|-----⌫--|
adontau oitencele	----|--⌫--|-|---|
co ntreeun gran tdragon	--⌫----|-|----⌫|-----|
hor rib lefaitureetdesi c rue le	---⌫---⌫-|------|-|-|-|-⌫---⌫-|
quilga stoit trestout	-|-|--⌫----|-------|
bestes e t	-----|-⌫|
ataindre li paien apeloient	-------|-|----|--------|
sifaitserpent enlorl a ngai ges	-|---|------|-|--|-⌫-⌫----⌫--|
por ch equil estoient s igrantet	--|--⌫|-|-|-------|-⌫|----|-|
si cr uel quilmengoient	-|--⌫--|-|-|--------|
cas cunsu n	---⌫---|-⌫|
buef aunefoisqantli sains ho m sot	---||--|---|---|-|----|--⌫|--|
ceste c oseilconmanda afaire untres	----|-⌫--|-|-------||----|-|---|
delaigne presd esliuou	-|-----|---|-⌫-|--|-|
li serpens habito itdontfistses orisons	-|------|------⌫-|---|---|--|------|
a nostreseigneur	|-----|-------|
et q an t il	-|-⌫--⌫|-|
f ineesilfistleserpentelfu	-⌫----|-|---|-|------|-|-|
e tsilartaporre	-⌫|-||--||----|
de uanttout le pueple	--⌫---|---|-|-----|
qant a in ssifulecontr ee deliuree	---|-⌫--⌫--|-|-|-----⌫-|-------|
beste lisainshomfumo lt	----|-|----|--|-|--⌫-|
qu e lp art il porroitalercar	--⌫-⌫|-⌫--|-|------|---|--|
la neuoloitilplu s demo rerennu le maniere	-|-|-----|-|---⌫|----⌫--|-|--⌫-|------|
e tporpensoitenlui meismes	-⌫|---------|-|--|------|
l esterr eso u	-⌫-|----⌫-|-⌫|
lenoueledelui	-|-----|-|--|
seue adontfu	---|----|-|
granscroullesde tere	----|-------|-|---|
quiapres lemortde iuli elemper rour	--|----|-|---|-|----⌫||-----⌫---|
auint etsi	----|-|-|
issirentlesm ershors	-------|--|-⌫--|---|
lorriuestoutaussi	--|----|---|----|
quesen us autres	--|-|-⌫-|-----|
d el uuesdeustcore etuenirparle	-⌫--⌫---|----|---|-|----|--|-|
n ostr eseigne ur et le snes	-⌫----⌫|------⌫-|-|--⌫|--|
iaa shautes montaingne sqantce	-|-⌫|-----|----------⌫|---|-|
uirentcilde lecontr ee il crem irent	-----|--|-|-|-----⌫-|-|----⌫----|
conme cil q u i droitauoientque	----|--|-⌫-⌫|----|------|--|
lorca st elne caissentne lor	--|--⌫--⌫-|-|-------|-|--|
n efus se n t	-⌫|---⌫--⌫-⌫|
confunduessiuinrrent	---------|-|-------|
ausaint home etle menerentdeuant iaus	-|----|---|-|-|-------|-----|---|
aussi coma bataille contr e	----|--||-------|-----⌫|
quiuenoi tdontfistlisainshom crois	--|-----⌫|---|---|-|----|--|----|
e lsablonettendi sesma insencontre	-⌫|-----|-|----|--|--⌫--|-------|
orpoésoirg ra nt	-|----|--|-⌫--⌫-|
nosauenirencontre	|--|----|-------|
sa int h o meains cruteth aucha	--⌫--|-⌫-⌫-|---|---|-|-⌫----|
aussi conmeunegrantmontaingne	----|----|--|----|---------|
etsise t r aist p etitetpetit	-|-|-|-⌫-⌫---|-⌫---|-|----|
arri erechetesmo ig ne	----⌫--|--|-----⌫--⌫-|
enc oretote	---⌫--|---|
cele contreeduscahuicesti o ur	---|------|---||--|---|-⌫-⌫-|
etles mer e s la prend entalo r enfans	-|--|---⌫-⌫||-⌫-----⌫--||--⌫|-----|
por che quill etiegnent enm emoire	--|--|-|-|-⌫|-------|-|-⌫-----|
etracon ten t achiausquiuenrront	-|-----⌫---⌫||-----|--|-------|
tuitcildele	---|--|-|-|
contreesesmeru eil lo ient	------||------⌫---⌫--⌫---|
des mira cles	--|----⌫---|
del saint h o m e	--|----|-⌫-⌫-⌫|
quantlisains h om	----|-|----|-⌫-|
uit etentendit eusco ses ildist	--|-|------|-⌫--|--⌫--|-|---|
quel anedem oor roitilmie	--|-⌫|-|---⌫---⌫---|-|--|
quede moréiauo it	--|--⌫----||---⌫-|
lorssenala	---||-|--|
nui ttoutcoi eme ntt a ntqu il uint	---⌫|---|---⌫---⌫-|-⌫-⌫---|-|---|
au portde me rsitrouaune	-|---|-|--⌫|-|----|--|
carchiequid euo it ale r	------|--|-⌫---⌫-|---⌫|
d on tentraen set	-⌫--⌫|----|--⌫|-|
s ideciple	-⌫|------|
li maronnie r traise ntlor	-|--------⌫|------⌫-|--|
si se departirentdu p ort qantloruo ile	-|-|----------|-|-⌫--|---|--|--⌫--|
furent drechi éet co ururen t tantto t	-----|------⌫-|-|--⌫------⌫|---|--⌫|
seloncterreque reubeord emeret larron	-----|----|--|------|-⌫|--|-|-----|
quiestoi en t en galies	--|-----⌫--⌫|-|-----|
lorapparurent	--|---------|
p or chiaus dele nefreuber etdestrui r e	-⌫-|-----|-|-|--|-----|-|-------⌫-⌫|
toutcil de lan ef auoientgrant	---|--|-|-|-⌫-|------|----|
et grantdoute	-|----|----|
li des c iplesai nt h ylaireli	-|---⌫-⌫---|---⌫-|-⌫-----|-|
d i sent quil regar d ast	-⌫-⌫---|-|-|-----⌫-⌫--|
car reubeour	--|-------|
uen oient etil resga rda	---⌫----|-|-|-----⌫--|
del oingsiconmench a	-|-⌫---|-|--------⌫|
a rirepuissid istasesdeciples	|---|---|-|-⌫--||--|-------|
uospourede foietdecreanche por	--|----|-|--|-|-|-------|--|
quoi auésuospaor	---|----|--|---|
tant comph araonenotqant il	---|--|--⌫----|-|-|---|-|
lesfiusisra el p arlerouge	--|---|----⌫-|-⌫-|-|----|
meretencore	--|-|-----|
dontfurentiltoutnoié	---|-----|-|---|----|
denostre seignorainssi parloitil	-|-----|------|-----|------|-|
maisporcenetargoientmiechil qui	---|--|-|-|--------|--|---|--|
estoientestoien tesgalies ainsferoient	-------|-------⌫|-|-----|---|-------|
forceetde sigrantuertu	----|-|-|-|----|----|
asri esmesqueilfaisoient le	-|--⌫----|--|-|--------|-|
merescumer	--|------|
etfendreet	-|-----|-|
tantestoientiaapr ochié	---|-------|-|---⌫-----|
ni auoi tm ie	||----⌫|-⌫-|
zzgietdepierredont	-|---|-|-----|---|
se leua lisains	-|---|-|----|
hom etes tutdeua nt	--|-|--⌫--|----⌫-|
en lenef et tendi	-|-|--|-|----|
semain contr ec iaus	-|---|-----⌫|-⌫---|
q uiuenoienttrop aigrementsilordist	-⌫-|-------|---|--------|-|--|---|
tr esquelao u u osestesuos	--⌫----|-|-⌫|-⌫-|----|--|
s ouf fise	-⌫---⌫---|
s anspl us uenir aua n t	-⌫--|--⌫-|----|---⌫-⌫|
orpoésuos	-|----|--|
oirgrantfoi qui estoitelsaint home	--|----|--|--|-----|-|----|---|
ca r lesgalies resalirenttost	--⌫|--|-----|---------|---|
et ret o rner ent isnelementplus	-|---⌫-⌫----⌫--|---------|---|
ne fussent uenue smalgrechia usqui	-|------|-----⌫|-----|----⌫-|--|
dedens est oientneaincnefinerent	-----|---⌫----|-|---|-|-------|
dar rie re	|--⌫---⌫-|
retornerdusc	-------|---|
d ontelesestoientm eu es	-⌫--|---|-------|-⌫--⌫-|
oruousuueli ela issierplu sors	-|---|---|-⌫|--⌫-----|---⌫---|
cose sporchequ ilneuos	----⌫|--|--|-|-|-|--|
samble queieuuelle loconte alongier	-----|--|-|-----|-|----|-------|
mais chet ant seul ementuosuuelie	---|--|-⌫--|----⌫----|--|---|-|
que la ouil estoit	--|-|-|-|-----|
etiltrespassoient	-|-|------------|
presdesuilesetdes	---|--|----|-|--|
chit esqu e	----⌫-|--⌫|
lidesuéacoroientauriuaige	-|-----|--------|-|------|
etsi c rioient	-|-|-⌫------|
il lesooit etmaintenantpar	-|--|---|-|---------|--|
priered elsain thomee stoienti l	-----|-⌫-|----⌫|---|-⌫------|-⌫|
tan t nagerentadonquesquei l uinrre nt	---⌫|-------|-------|--|-⌫|------⌫-|
e n cypre lisains	-⌫|----|-|----|
homissi d e	--|---|-⌫|
nef sientra enunec it equipa phe	--|-|----|-|--|-⌫--⌫|--|--⌫--|
estoitap p eleequiadontest oitn oble	-----|--⌫-⌫---|--|----|---⌫--|-⌫---|
etd eg rant seignoriemais li	-|-⌫|-⌫---|--------|---|-|
gran tcro ullelo ntsian ien t eeque mais	----⌫|---⌫---||-⌫-|-|--⌫---⌫-⌫-|--|---|
nu le coseque	--⌫-|---|--|
lerui neetpar	-|---⌫-|-|--|
chou com i uoitencorepuet on bien	---||-||---|-----|---|-|---|
cites fude grantseignori e	----|-|-|----|--------⌫|
d ehors celecitese	-⌫----|---|---|-|
h er begali sains	-⌫--⌫---|-|----|
homconme pouresetmolt s esio i	--|----|-----|-|---||----⌫|
queilifunesaiq ansiors	--|-||-|-|--|-⌫--|---|
percheuancedechiaus	----------|-|-----|
deleco ntreeet	-|-|--⌫----|-|
quil enpais menoi t	-|-|-|---|-----⌫|
se uiemais pl usde yy io r	-|--|---|--⌫-|-|-|--⌫|
ne trespasseren t	-|------------⌫|
m ieqant tres toutlideruét	-⌫-|---|----⌫---|-|------|
qui estoient enlilledecip reconmencherent	--|-------|-||---|-|---⌫-|------------|
acrier etadir e que hylai res	|----|-||---⌫|--|-----⌫--|
lisers ih e sucrist	-|---|--⌫-⌫-|----|
estoituen us etque	-----|---⌫-|-|--|
o nsedeuoithaster daleraluiche	-⌫|-|-----|-----||---||--|--|
dis oientil	---⌫----|-|
enl ecited e	-|-⌫|---|-⌫|
salemi neet	------⌫-|-|
enle cit edecurrieete nleci tede	-|-|---⌫|-|-----|-|-⌫|-|--⌫-|-|
pyte et es autresetbienaffer moient	---|-|-|-----|-|---|-----⌫-----|
quilestoit	-|-|-----|
sersdieu mais ilnesauoient	---|---|---|-|-|-------|
ouil est oitanchoisq u eyyior	-|-|---⌫--|--------⌫-⌫|-|--|
f ussentpasséot	-⌫-----|-----|-|
hom e p res	---⌫|-⌫--|
de yyyy queho mesque	-|-|-|--|--⌫--|--|
qui a luis as samblerentetentr epr is	--||--||--⌫---------|-|----⌫---⌫-|
estoi ent de diuerses	-----⌫--|-|-------|
enfe rmetesqa nt	----⌫-----|--⌫-|
illes uiti lfumolt	-|--|--|-⌫|-|---|
dola ns dechouquil	----⌫-|-|---|-|-|
nel e laissoientrepo serma i sne porqant	-|-⌫|---------|----⌫--|--⌫-⌫|--⌫------|
i len f istsesorisons a	-⌫|-|-⌫--|--|------||
nostresegneur	-----|------|
teusiot qui	---||-|--|
f urent sanéenmeisme	-⌫----|----|-|-----|
l eure etteusi o t	|---|-|---||-⌫|
apr esyyio rsettelus	---⌫-|-|--⌫-|-|----|
ains sifuren t	----⌫-|-----⌫|
d edensu nesemaine par le	-⌫----|-⌫-|------|--|-|
uolentenost reseig ne ure tpar	------|----⌫-|----⌫--⌫-|-⌫|--|
lep r iered el	-|-⌫-⌫---|-⌫-|
lisainshommesten ce leterre	-|----|--|---|-|--⌫-|----|
yyanset dedenscheltermi ne	-|--|-|-----|---|-----⌫-|
ifistnostressir es p or luimaint	|---|------|---⌫-|-⌫-|--|----|
belmiracle	--|------|
et ilenuoiaaussidedensceterme	-|-|-----|----|-----|-|----|
esechiumen lete rredepalest inesaluer	-------|-|-|--⌫--|-|------⌫--|-----|
etuisi ter	-|----⌫--|
sesfreresq uiilluec	--|-----|-⌫-|-----|
qantilfurepairiés li sai nshom sepens a	---|-|-|---------|-|---⌫-|--|-|----⌫|
iroitenegypte e nunedes ertine	----|-|-----|-⌫|--|---⌫-----|
estoitapele ecarlan	-----|-----⌫|--|-||
nuscrestiensainserentcil del	--|--------|---|----|--|--|
paismo l t	---|--⌫-⌫|
crue lus gens etmoltes tran ge	----⌫--|---|-|---|--⌫----⌫-|
dont se depar tide la etal atantqu	---|-|-----⌫-|-|-|-|--⌫|-----|
iltrou aensusd ele mer	-|----⌫|----|-⌫|-|--|
ayy l iues	|-|-⌫---|
zzliumo l te strangeet re pusentre	-|--|--⌫-⌫|-⌫------|-|--⌫--|----|
montai g neshautese tap resau ir onnee	------⌫-⌫--|-----|-⌫|--⌫--|--⌫--⌫----|
deforeset da rbresmaisiaue	-|----|-||-⌫----|---|---|
beleetclerequide le montaign e	---|-|----|--|-|-|--------⌫|
deschendoit etarrousoit zz campel q ui	----------|-|--------|-|-----|-⌫-|
la e s to itquimolt estoit delitab lesetarbres	-|-⌫-⌫--⌫-|--|---|-----|-------⌫--|-|-----|
iauoit qui fruit	|----|--|----|
portoientde plusors	--------|-|------|
manieres maison quesli sains	-------|---|--⌫---|-|----|
ho mriensn engoustacariln	--⌫|----||-|-----|--|-||
cur eencostecel	---⌫|------|--|
lieu qui mo lt estoit	---|--|--⌫-|-----|
delitabl e s auo i tzz	--------⌫-⌫|---⌫-⌫|-|
moltanchientenple	---|------|-----|
de pa iens	-|--⌫---|
quitousi ertdega s tés	--|---|-⌫--|----⌫-⌫---|
et les maisieres fonduesl aencoste	-|--|--------|------|-⌫|------|
a uoit ior e tnuittelcrieede	-⌫---|--|-⌫|---|--|----|-|
diales quec hesambloitcunegrantos t	-----|--|-⌫-|-------||--|----|--⌫|
ifustlog ieche	|---|---⌫-|--|
m eesmementetsid ecipl ele	-⌫--------|-|-|-⌫-----⌫|-|
tesmoi gnoient	------⌫------|
qui i firent et quile	--||-----|-|--|-|
qantlisainshomu it cel	---|-|----|--|-⌫-|--|
liusifait et	--|-|---|-|
est rangeil lip lo t moltsii arrestaet	---⌫----|-|-|-⌫--⌫|---|-||------|-|
mest yyansetc helifumolt gran tconfors	---|-|--|-|-⌫-|-|-|---|----⌫|------|
uers le findese uie quilnestoit	---|-|--|-|-|--|-|-||-----|
g raueilliésdegentconmeil	-⌫----------|-|---|----|-|
u ol o itestre carp orl	-⌫--⌫-⌫-|----|--|-⌫-||
aspr ech edulie u	----⌫---⌫|-|---⌫|
griece et pourche queli pueples	-----|-|---|--|--|-|------|
dele contreedisoi tqu elesame s	-|-|------|-----⌫|--⌫|--|---⌫|
ia bitoientni	|-⌫-------|||
osoit nus uen irqui	----|--|---⌫-|--|
a usainth ome	-⌫|----|-⌫--|
feistgreuanche	----|--------|
uniour aui nt quelis ains	-|---|---⌫-|--|-|-⌫---|
h om issihorsde s onha bitac le	-⌫-|---|---|-|-⌫-|--⌫-----⌫-|
si resgarda	-|-------|
deuant lui siu itz z	-----|--|-|-⌫-|-⌫|
toutpa lasi neu s ges iral	---|--⌫----⌫---⌫|---⌫-|||
ent reeqant	---⌫--|---|
uit il se n	--|-||-⌫|
esmerueill amolte tde manda	----------⌫|---|-⌫|--⌫----|
esec hium qui c ilestoit et conmentil	----⌫---|--|-⌫-|-----|-|------|-|
auoit la estéamenéses echi usrespondi	----|-|----|------|--⌫----⌫-|-------|
quila uoiteste ́siresd e	-|-|-⌫---|----⌫|----|-⌫|
acui lilius tenoit	|--|-|---|-----|
ouilhabi toit	-|-|----⌫---|
qantlisains homlo i il	---|-|----|--||-⌫|-|
c onmen cha a	-⌫-----⌫--||
plour er sitendisesmainsu ers	-----⌫-|-|----|--|----|-⌫--|
c he l uiquila	-⌫--⌫-⌫-|--|-|
non nost re	--|----⌫-|
seigneurihesuc rist li eue susetsiua	-------|----|-⌫---|--⌫--|--|-|-|-|
d ontaui nt cose esmeruei llable car	-⌫--|---⌫-|---|--------⌫-----|--|
apainne sot	|------⌫|-|
l isainsh omle parole pardite	-⌫|----|-⌫-|-|-----|------|
qantc ilsalisusgaris	---|-⌫-|---|--|----|
et sanésdetoz	-|-----|-|--|
sesmembres	--|------|
q a ntcest eco se	-⌫-⌫-|----⌫|--⌫-|
parla cont reeonques	--|-|----⌫--|-----|
asprete dele	------|-|-|
uoieni furesoignie	---|||-|--------|
qu ebesoignenicachas tlesplusors	--⌫|-------|||------⌫|--|------|
estoit espandue partout l e	-----|-------|--|---|-⌫|
nouuele quillonguem entn iarresteroit	------|-|-|-------⌫--|||----------|
miecar ilfuioi tlonnor de	--|--|-|-----⌫||----|-|
ce stsiecle etuoloit	--⌫-|-----|-|-----|
auoirsilence	----|------|
et pa isetmen er po ure uie	-|--⌫-|-|---⌫-|--⌫--|--|
a celiourestoit	|--|---|-----|
lisainshomde	-|----|--|-|
yy yyans de s onaaige	-|-|--|-|-⌫-|----|
iert affloibisetma la dessiconme	---|--------|-|--⌫--⌫--|-|----|
aproch oit le ior de so n	------⌫--|-|--|-|--⌫|
t respasse ment	-⌫--------⌫---|
esechius niestoit mieadont	-------|||-----|--|----|
et li sains hom	-|-|----|--|
esc rit zzpe u	---⌫--|-|--⌫|
deletr es quisente stam entdeuiso ien t	-|----⌫-|--|--|--⌫----⌫--|------⌫---⌫|
chest quillaiss oitesec hiumchequil	-|--|-|-|-----⌫--|----⌫---|--|-|-|
a uoit d erikeceetqueestoi t	-⌫---|-⌫|-----|-|--|-----⌫|
se nli ure deuangillesetunecotede	--⌫|--⌫--||---------|-|--|---|-|
sac etsecoulecariln a uo itnule autre	--|-|-|----|--|-||-⌫--⌫-|---|----|
c reatureunpet itd euant c eestoit mors	-⌫------|-|---⌫-|-⌫----|-⌫|-----|---|
ses deci plesqui	--|----⌫---|--|
dont uinrrental ui p l usorreligieushome	---|-------||-⌫-|-⌫-⌫---|--------|---|
delecite dep apheqantil	-|-|---|-|-⌫---|---|-|
quilestoit maladescar illiauoient	-|-|-----|------|--|-|-|------|
oid ire q u eadont iroi til	-|-⌫--|-⌫-⌫|----|----⌫|-|
a n ostreseig ne ur	|-⌫----|----⌫--⌫-|
e t siser oi tde liure ́ s deslo ie nsdeceste	-⌫|-|---⌫--⌫|--⌫-----⌫-⌫|--|--⌫--⌫-|-|----|
mortel uie etconstantieunesainte	-----|--|-|---------|--|-----|
femecuifilleet	---|--|----|-|
senbaronli	--|----|-|
sains hom au oi t	----|--|--⌫--⌫|
deliurédelem ort pa rl	-------|-|-|-⌫--|--⌫||
oilequilauoit	---|-|-|----|
b eneiceleuintaussiqantil	-⌫---|---|---|----|---|-|
to utfurentassablé lisainshom	--⌫-|-----|-------|-|----|--|
lorconiuraq uetan tostcom li	--|------|-⌫-|---⌫---|--|-|
amese roit	--|--⌫---|
de lcorsissuequ il	--⌫|---|----|-|-|
nelegardassent	-|-|---------|
une s eul eheure	--|-⌫---⌫|----|
ains lenfoisse nt illec	---||--------⌫-|----|
endroitent eretouta inssi comile st oit	------|-|-⌫--|---|-⌫----|--|-|-⌫--⌫--|
ue stusat out esehai re etch eque	--⌫---||-⌫---⌫|-|---⌫-|-|--⌫|--|
il a uoituest ucestoit	-|-⌫---|----⌫||-----|
uneau tre poure	--|--⌫--|----|
coulepetit auo it	----|----|---⌫-|
iali sains hom	-|-|----|--|
d e cal oren s esmem bres neni auoit	-⌫|---⌫-|-|-⌫-|---⌫---|-|||----|
nuleuig eurdomefors	---|---⌫--||--|---|
sens et ram embranc e	---|-|---⌫-------⌫|
ouuro itil les ieus	-----⌫-|-|--|---|
sidisoi t ame	-|-----⌫|--|
ish o r sdecestco rsqu e crien stu ishors	-|-⌫-⌫-⌫|-|---|--⌫-|--⌫|-----⌫|-|-|---|
que d outes tutuas	--|-⌫----|-|-|-|
anss e rui	--|-⌫-⌫--|
ihesucristetsicr iens le	----|----|-|-|--⌫---|-|
etendent resquil	-|------⌫----|-|
disoitchela	-----|----|
enfoirent c ilqui	--------|-⌫-|--|
q antesec hiuslisainshomqui	-⌫--|----⌫---|-|----|--|--|
e stoitenpales tinesot cestecose	-⌫----|-|-----⌫---|--|----|---|
i ls en reuinte n	-⌫||-|-----|-⌫|
cyp re ets id ist	---⌫-|-|-⌫|-⌫--|
enfaingnantson cueret soncoraige	-|--------|--|---|-|--|------|
pourtoloirchiausde	---|-----|-----|-|
lac ontreelesospechon	-|-⌫-----|-|--------|
quil uo loit	-|-|--⌫---|
la a rre stere t garder	-|-⌫---⌫---|-⌫|-----|
le cors del sainthome ainss iidemora	-|---|--|----|---|-----⌫||-----|
li preudom	-|------|
yymoi set dontembla	-|---⌫|-|---|----|
lico rssainthyl air eseur	-|--⌫-|----|---⌫---⌫|---|
grant peril	----|----|
se uie ta ntquilre ui nten	-|--|--⌫---|-|--⌫--⌫-|-|
asesfreres	|--|-----|
qant il iuint t out limo ine	---|-||---|-⌫--|-|--⌫--|
etl esgensdes	-|-⌫-|---|--|
castiausuinrrent	-------|-------|
e n contre sile misentenl	-⌫-⌫-----|-|-|-----|-||
