dieu n ostre	---|-⌫----|
q u ilademoredespleisoit	-⌫-⌫|-|-----|----------|
etliafetteleb onte	-|-||--|---|-⌫---|
quensacharrestela	-|-|-|--------|||
ettoutdroit acha rtr esle porte	-|---|----||---⌫---⌫-|-|----|
delacite passalaport e	-|-|---|----|-|----⌫|
deuant liglise	-----||-----|
descen d i	------⌫-⌫|
enz entrae tgrac es rendi	--|----|-⌫|----⌫-|----|
adieuetas a	|---|-||-⌫|
douce mer e	----|---⌫|
quided oul e u r aspreetamere	--|-|-⌫---⌫-⌫-⌫|----|-|----|
parsa grantdouceur legita	--|-|----|------|-|---|
eins i de sonueus	----⌫|-|--|--||
q uiueultc onter ou rimoier	-⌫-|----|-⌫----|-|------|
nedoitpassons en emploie r	-|---|--|--|-⌫-|-------⌫|
acont ermenso nges	|----⌫-|-----⌫---|
n estp astelco ntes	|--|-⌫-|--|--⌫---|
profitab les	--------⌫--|
me se nuoir ee stoire	--⌫|-⌫|----⌫|-⌫-----|
quipuetuallei retprofitier	--|---|------⌫|-|--------|
doitlenbienme t trepoine	---|--|---|--⌫-⌫--|----|
boen f et lereuoireescri pture	---|-⌫-|---|----|-----⌫----|
biendo itestrechoseamem bree	---|--⌫-|----|----|----⌫---|
quisus ue riteest fondee	--|--|--⌫---|--|-----|
cardeuoire ch o use c onter	--|-|----|--⌫-⌫--|-⌫----|
enprisetlous monter	-|---|-|---|-----|
esleutelmat i r e	----|--|---⌫-⌫-⌫|
queg euoilltreitieretescrire	--|-⌫|----|-------|-|------|
ouilnari ens fors	-|-|||--⌫--|---|
pa r le tes moigndant i quite	--⌫|-|---⌫----||---⌫-⌫----|
cilquifistenlatin l el iure	--|--|---|-|----|-⌫|-⌫---|
di t quoses iaulzuit	--⌫|-||--|----|--|
lesmi raclesc erteinement	--|--⌫-----|-⌫----------|
quedieuoura	--|---|---|
a pertement	-⌫--------|
enneurde sa	-----|-|-|
acuiil est	|--|-|--|
et fizetpere	-|--|-|---|
enchartresen sam es t reigl is e	-|-------|-|-|-⌫--⌫-⌫-|---⌫--⌫|
puis qu ellefu dou	----⌫-|---|-|--|
feuesprise	--|------|
et to rneee ncendre	-|--⌫---|-⌫|-----|
sicomempresp orrois entendre	-|--|-----|-⌫-----|-------|
mistenescritur e	---|-|--------⌫|
uit lesmiraclesetl	--|--|-------|-||
bi en do i t lihomsestrecreuz	--⌫-|--⌫-⌫|-|---|----|----|
o ses eaulzotueuz	|--|----|-|---|
cil qu i lelatin	--|--⌫|-|----|
ui t quan tquilmist ens on escri t	--⌫|----⌫--|-|---|-|-⌫-|-----⌫|
do n quesen fest	--⌫-⌫---|-|---|
ilbie nacroire	-|---⌫||-----|
quece quilditestchouse	--|-|-|-|--|--|-----|
parlon ctensaestét eu	--|---⌫|---||----|-⌫-|
li liuresquiner t passeu	-|-----|--||--⌫|--|--|
n eilnestoit pasenmemoire	-⌫|-||-----|--|-|------|
car il er t	--|-|--⌫|
enclou senlaumoir e	------⌫|-||------⌫|
outresordel igliseacha rtres	-|-----|-||-----||---⌫----|
ouil a moultle streset chartres	-|-||----|--⌫----|-|-------|
p reuileges deseignories	-⌫--------|-|---------|
et liuresde tou te s clergi es	-|-----|-|---⌫--⌫|------⌫-|
uallent qu argentnequ or	------|-|-----|-|-|-|
en unehucheen	-|--|----|-|
cetre so r	-|---⌫--⌫|
futr ouépar quaier slili ures	-|--⌫---|--|------⌫|-|--⌫---|
q uenprise	-⌫|-|----|
plusq ue d or milliur es	---|-⌫-||-|--|----⌫-|
richescesne qu auoir	--------|-|-|----|
trouéfucedeuezsauoir	-----|-|-|----|-----|
esueq uemahe	-----⌫-|---|
amoultagreé	|----|-----|
queces toeure	--|---⌫|----|
fut commen ciee	--|------⌫---|
et acheuee	-|------|
et auanciee	-|-------|
etdoulatin enro umansmise	-|--|----|-|--⌫----|---|
et delalaiegent aprise	-|-|-|---|---|-----|
la ti nmie n entenden t	--⌫--⌫|--||--------⌫|
liloi pardroit aucler ssatendent	-|--|--|----|-|----⌫||-------|
qui le ur exposent	-||--⌫-|-------|
lescriture	|--------|
qui l eurestaentendreocure	--|-⌫--|--||-------|----|
porce uoil ge ment enteme stre	--|-|---|-||---⌫---|--⌫---|
quegel eur exp ose lalestre	--|-|-⌫--|---⌫--|-|-----|
et lesmiracles leur apre igne	-|--|-------|---|----⌫---|
parfer emedointcesteou uraigne	------⌫|-|----|----|--⌫------|
cildie u quipar m ort ot uictoire	--|---⌫|--|--|-⌫--|-|-------|
asaloengeet a s agloire	|-|-----|-||-⌫|-----|
et desamereglorieuse	-|-|-|---|--------|
q ui portalafleur precieuse	-⌫-|----|-|----|--------|
quiaportalefruit de	--|-----|-|----|-|
d es deu xre quierforcee tai e	-⌫-|---⌫|--⌫----|----|-⌫|--⌫|
qui lme do ignentpoairetsen	-|-⌫|-|--⌫-----|----|-|--|
de parfeir e cesteo eurea m en	-|-------⌫|----|-⌫---|-⌫-⌫-|
puisq ued ieuxincarnacion	-----⌫-|-⌫---|----------|
pri st pornostre	---⌫-|--|-----|
redempcion	---------|
p uiscel u i tensenlan milie me	-⌫--|---⌫-⌫|---|-||-|-----⌫-|
etiointlenombredeuintiesme	-|----|-|-----|-|--------|
la u o illede	-|-⌫-⌫---|-|
la nos tred ame	-|---⌫--|-⌫--|
en sep tembreogr a ntd iffame	-|---⌫-----||--⌫-⌫-|-⌫-----|
uolen te ihe suc rist	-----⌫-|---⌫-|-⌫---|
cellenuit si com	----|---|-|--|
truisesc rist	----|---⌫---|
ouliurefetda utorite	-|----|--||-⌫------|
achartres pristen l acit e	|-------|----|-|-⌫|---⌫|
pas ag eus	--||-⌫--|
g rantetdom ageus	-⌫---|-|---⌫----|
la uillear didoufeu esprise	-|----|--⌫-|--|--|------|
doma rsefu to utelig lis e	--|-⌫--|-|--⌫--||--⌫---⌫|
domilfumerueilleusdom age	--|-|-|----------|---⌫--|
reme stuo stenau treesta ge	----⌫-|--⌫--||--⌫--|----⌫-|
tre sets ouliues confundi	---⌫|-|-⌫------|-------|
lardeurd ou feulepl on fundi	|-----|-⌫-|--|-|--⌫-|----|
trebuch ierentmursetmesier es	-------⌫-----|---|-|------⌫-|
briserentclochesetuer rieres	--------|------|-|---⌫-----|
tretoutt orna adecepline	------|-⌫---||--------|
oupararso noupar ruine	-|--|----⌫|-|--|----|
mo ultfugr antdouleurdou	--⌫--|-|--⌫--|------|--|
t ell eiglise ardoi retcheoir	-⌫---⌫|-----|-----⌫|-|-----|
ladouce damed ebonneire	-|----|---|-⌫--------|
sauu adoufeu	----⌫|--|--|
s onse intuaire	-⌫-|--⌫-------|
quia utrese i nt u air epas se	--|-⌫---|--⌫-⌫--⌫-⌫---⌫|---⌫-|
sasaintechemiseenla c has se	-|-----|------|-|-|-⌫---⌫-|
fuen unecr ote portee	-|-|--|--⌫--|-----|
qui delezlautelestfonde e	--|----||----|--|-----⌫|
encienifonderent	-----||--------|
quisageset prouide nze rent	--|----|-|-------⌫-|-⌫---|
l afula saintechasse	-⌫|-|-|-----|-----|
cele sein te chemise	---|----⌫-|------|
que lahauteda meues toi t	--|-|----|--⌫-|---⌫---⌫|
quantdedenss onuentr eestoit	----|-----|-⌫-|-----⌫|-----|
enclouslefilzdieuihesu	------|-|---|---|----|
et trui sencor ouliure e s crit	-|----⌫|----|-|----|-⌫-⌫---|
par le te smoign dantiquite	--|-|--⌫-----||--------|
qui t esmoig neporuerite	--|-⌫------⌫-|--|-----|
ainzme es mes lenfantement	---|--⌫--⌫--||----------|
sein tuestement	----⌫|--------|
au oi tu est ucelu imeis mes	--⌫--⌫|-⌫---⌫|----⌫|----⌫--|
sihautsiprecieussiseint imes	-|---|-|-------|-|-----⌫---|
qu antl e filzdieuenfanta	--⌫--|-⌫|---|---|------|
domque s di ge qualenfant	------⌫|-|-|-|||-----|
touchi écell e sei nte	------⌫-|----⌫|---⌫--|
cr oire ledeuez	--⌫---|-|----|
san sfain tise	---⌫|----⌫---|
qu e lachemi sece m esemble	--⌫|-|-----⌫-|-|-⌫|-----|
lun etlautre	|-|-||----|
do nc cest arguementnecessaire	--⌫-||--|--------|---------|
quecestleplushautsain tuaire	--||--|-|---|---|----⌫-----|
leupui se estre trouez	--|---⌫-|----|-----|
parmir aclesestesprouuez	--|---⌫----|--|--------|
pa rdroitdoit donc e st recreu	--⌫|----|---|---|-⌫--⌫-|---|
terrea ce leuesl eu	----||-|--|---⌫-|
la dame etque sustouzl ayme	-|---|-|--|--|---||---|
et damede chartres secla y me	-|---|-|-------|-|---⌫-⌫-|
q u ant ellia	-⌫-⌫--|--|||
doncie puisp oruoir afichier	---|-|---|-⌫-|---|-------|
etprou uerpar	-|----⌫--|--|
droiteraison	-----|-----|
queces tsaplus m estr emaison	--||--⌫|-|---|-⌫----⌫|-----|
et sachambrep lusde l i teuse	-|-|------|-⌫--|--⌫-⌫-⌫----|
qua n t sachemisepr ecie use	---⌫-⌫|-|------|--⌫----⌫--|
iami seladame en	||--⌫-|-|---|-|
celeupard roiten honeurg ard e	-|--|--|-⌫---|-|-----|-⌫---⌫|
etla citea hono ree	-|-|---||----⌫--|
quantels en tientdame cl amee	----|-||-|----|---|--⌫---|
reperieruoilam amatir e	-------|---||-⌫|-----⌫|
eins ycomm	----⌫|--||
auéso idi re	----|-⌫|--⌫-|
ful iglise	-||-----|
arseet esbrasee	---|-|-------|
orc onuintquelf ust	-|-⌫-----|-|-|-⌫--|
oufail loitmou ltgra n t c oustem ent	-|----⌫---|---⌫-|---⌫-⌫|-⌫------⌫--|
qui lconuint dusquaufondement	-|-⌫|------|----|-|--------|
tretout aba tr eetdepe cier	------|---⌫--⌫|-|----⌫---|
etoeurenoueille	-|----|-------|
et leglise fereno uuelle	-||-----|---|--⌫-----|
quare ins ile uou st	---|-⌫---⌫|-|---⌫-|
l apucelle	-⌫|------|
qui douleu ala	--|--|--||-|
seigno rie	------⌫--|
etnuitetioriestseruie	-|---|-|--||--|-----|
parceluif eudomno s	--|----|-⌫-|--|--⌫|
perd iren tmueblese tmes ons	----⌫----⌫|------|-⌫|---⌫--|
cildela uilleclercet	--|-|-|----|----|-|
enl escr ittro uélei	-||----⌫-|---⌫--||-|
etleur auoirs etleur	-|---|-----|-|---|
do mleur cuers f urentendetres ces	--⌫|---|----|-⌫----|-|------⌫--|
moul t sedoulurent	----⌫|-|--------|
deleurpertes	-|---|-----|
mes ne fu pas douleu r ac ertes	--|-|-|--|------⌫||-⌫----|
enuersladouleurde l iglise	-----|-|------|-||-----|
quisiertdestrui teet	--|-|--|-------⌫-|-|
celui domage tantpleignoient	----|-----|---|----------|
q ueleu rdomages oblioie nt	-⌫-|---⌫|------|-------⌫-|
nulso n domagene	--|--⌫|-----|-|
repro ch e	-----⌫--⌫|
cargrant doulourau cuer	--|----|------|-|---|
l eurtoche	-⌫--|----|
d eleuri gl isequiert arse	-⌫|---|-⌫--⌫--|--|--|---|
quan tneu irentla sainte ch asse	----⌫|-|-⌫----|-|-----|--⌫---|
lorsparf u erentilesp er du	---|--|-⌫-⌫----|-|---⌫--⌫-|
dequantq uore nt	-|------⌫|---⌫-|
dou leurn ede leur mancion	--|---|-⌫|-|---|------|
l arsone t la	|----|-⌫|-|
destrucio n	---------⌫|
pristrent ar egre teretplaindre	--------||-⌫----⌫--|-|-------|
deli glis e domesto it grain dr e	-||-⌫----⌫|--|----⌫-|-----⌫--⌫|
domagesque	------|--|
deleu r auoirs	-|---⌫|-----|
iln estm iesens	-||--|-⌫-|---|
nesauoi r s	-|-----⌫-⌫|
destre tropdolent pourauoir	|----|---|-----|---|----|
re coureretrauoir	--⌫-----|-|-----|
mesd iglis eet	--||-----⌫|-|
desaintuaire	-|---------|
d om laperted oit moult	-⌫-|-|----|-⌫--|----|
despl aire	-----⌫---|
carperte d e te lemaniere	--|----|-⌫|--⌫-|------|
nest pasareco uur erligiere	|--|--||----⌫---⌫-|------|
car cel lepertef ortplaignoient	--|---⌫-|----|-⌫--|----------|
etcleret lai	-|---|-|--|
ets i diso ient	-|-⌫|----⌫---|
c estedes conuenue	-⌫---|---⌫-------|
e stp arno s	-⌫-|-⌫-|--⌫|
peschiesauenue	-------|-----|
qua ntlahaut e uirge	---⌫-|-|----⌫|----|
sam e stresale especia l	-|-⌫-⌫---|---|-------⌫|
parno uspechiez	--|--⌫-|------|
estionsentechiez	------|--------|
conquisauonspar	------|----|--|
nousmeffez	---|-----|
que li sainzues siausest de ffez	--|-|----|---⌫----|--|--⌫---|
seintuaireestoit	---------|-----|
qu idescon fortezco n fortoit	--⌫|------⌫-----|--⌫-⌫------|
certla gloireetladigni te	|--|-|-----|-|-|-----⌫-|
nos trecite	---⌫--|---|
lalumie re	-|-----⌫-|
etlemiroer	-|-|-----|
dechartre s etdou te rroer	-|-------⌫|-|--|--⌫----|
e tde toutel a region	-⌫|-|----|-⌫|-----|
c omentsitroublés	-⌫----|-|--------|
certez sesages e stien	-----|-|----|-⌫----|
iames apaisneu iurien	----||---|-|-⌫-----|
qua n t l euessel	---⌫-⌫|-⌫|-----|
siprecieus	-|-------|
s iuai llantet s i	-⌫|---⌫----|-|-⌫|
sino ble p ierr eprecieuse	-|--⌫--|-⌫----⌫|--------|
qui d es apre senceioie use	--|-⌫|-⌫|---⌫----|----⌫--|
nostre citeenlumin oit	-----|---|-------⌫--|
et en s auirtul atenoit	-|-|-⌫|----|-⌫|-----|
puisquauonperdu teltresor	-----|---|----|--|-----|
qui ualoi tp lusquargent	--|-----⌫|-⌫--|-|-----|
iertne l eusn emest ier	---|-|-⌫--|-⌫|----⌫--|
quenousrefassienlemoutier	--|---|--------|-|------|
puisque estper iz lesaintuaire	------|--|---⌫-|-|---------|
nenou sporro it soair ne	-|---⌫|-----⌫-|----|-|
nestmie r es ons	|--|--|-⌫--⌫--|
quen ous refacien	--|-⌫--|-------|
nousmays ons	---|----⌫--|
mais en releissonlacite	---|-|--------|-|---|
sa dign ite	-|----⌫--|
etl enne uretla	-||----⌫-|-|-|
parquoi el estoitembellie	--|---|-|-----|-------|
ainsintfesoient leurcompleinte	------|-------|---|---------|
quiprochienem en t fuesteint e	--|----------⌫--⌫|-|-------⌫|
leurdonnaadiutoire	---|----|--------|
cunl e gatdeparl	|-|-⌫-⌫--|-|--||
aposto ire	------⌫--|
sages cler s	----|----⌫|
q uim estre meilleurau oitnon	-⌫-|-⌫----|-------|--⌫--|--|
lel iurelenomme	-|-⌫---|-|----|
ertcardi nal d eromme	--|-----⌫--|-⌫|----|
erta chartrespresentement	--||-------|-----------|
etle feuetl	-|-|--|-||
esb rasement	---⌫-------|
oses propresialz otue u	|--|------|---|-|--⌫|
d om ilestoit plusesmeu	-⌫-|-|-----|---|----|
amestr econs eil	|-----⌫|----⌫--|
enl af eire	-||--⌫---|
comme del igli serefeire	----|-||----⌫-|------|
l esuequeetles clersa semon s	|------|-|--|----||-----⌫|
preschemen t afeit	----------⌫||---|
etse rmons	-|--⌫----|
etmeinte pa roleretreite	-|-----|--⌫---|-------|
commentliglisefustre feit e	------||-----|---|--⌫----⌫|
et dist biau sseig neu r spar uenchance	-|---|----⌫|----⌫---⌫-⌫|--|--------|
dedieuestceste	-|---|--|----|
auenue moultaspre et dure	-----|----|----|-|---|
icestegrantmesaue n tur e	-----|----|------⌫-⌫---⌫|
estparuouspi chiezauenue	--|--|---|--⌫----|-----|
quantuotreiglise a uezperdue	----|----|-----|-⌫--|-----|
enieuneset	-|-----|-|
en oroisons	-|-------|
deuonestrequor	----|----|-|-|
q uenoss oion e n	-⌫-|--|-⌫---|-⌫|
u nechose quiauance	-⌫-|----|--|-----|
a commencie r	|---------⌫|
tou teoeure hume ine	---⌫-|----|----⌫--|
et a perfection lameine	-||---------|-|----|
prio ndieu et	----⌫|---|-|
sachieremere	-|-----|---|
leursainteaieapere	---|-----|--|----|
quepuiss ees tre	--|-----⌫|--⌫--|
li glis e quiestdom agi ee	|-⌫----⌫|--|--|---⌫---⌫-|
lanece ssite	-|----⌫----|
neconuient trei reautorite	-|-------|----⌫-|-------|
ne uoslo nguemen t sermonn er	-|--|--⌫-------⌫|-------⌫-|
boeneessa mp ledeu ezdo nner	----|----⌫--⌫-|---⌫-|--⌫---|
decommenciercesteoeu re	-|---------|----|---⌫-|
bonloierat antquibie noeure	--|----|--⌫--|--|---⌫|----|
en tel oeurerede fier	-|--|----|----⌫---|
c onuientles borses	-⌫------|--|-----|
et uoidierp o chesetsacons	-|------|-⌫-⌫---|-|-----|
porlo erouri ers	--|--⌫-|----⌫--|
etmac o ns	-|---⌫-⌫-|
quibienettou toure r	--|---|-|---⌫|----⌫|
por ces te p erterecourer	--|---⌫-|-⌫---|-------|
nusne s endoit arrieretreire	--|-||-|---|------|-----|
ainzdoi t ch acunp orcest afeire	---|---⌫|--⌫---|-⌫-|---|-----|
a b andonner et	-⌫-⌫-------|-|
m u eble et re nte	-⌫-⌫---|-|--⌫--|
e t uesse llemen te	-⌫|-----⌫------⌫-|
poracheuerce stebesoigne	--|------|--⌫--|-------|
t retouteabandonner besoigne	-⌫------|---------|-------|
quantlil egato tsar monné	----|-|-⌫---|-⌫|---⌫-----|
lorsfurenttuit a bandonné	---|-----|---|-⌫--------|
et li eues ques etli	-|-|----⌫---|-|-|
ch anoin e	--⌫-----⌫|
sans a longe querrenaloigne	---|-⌫----|-----||------|
efforcieemen t	------------⌫|
etso troierentbonnement	-||-⌫--------|--------|
quei lmestroient	--|-⌫|---------|
uolentiers	---------|
dus quatroisanst retousentiers	---⌫-||----|--|-⌫-----|------|
d eleurrentes	-⌫|---|-----|
bi e ngrant parties	--⌫-⌫|----|------|
mesqu i retenissen t leuruies	----||----------⌫|---|---|
acetretuit seco nsent irent	|-|------|-|--⌫-----⌫----|
etsi com promistrentl e	-|-|--|----------|-⌫|
empr es celes tablissemen t	----⌫-|--|--⌫-----------⌫|
ne dem ora p aslonguement	-|---⌫--|-⌫-|---------|
desollempn ite	-|--------⌫--|
tou tlepuepledela cite	---⌫|-|-----|-|-|---|
fis t assembler	---⌫|--------|
mes tremei lleurs	---⌫--|---⌫-----|
enla placenon pas ailleurs	-|-|----|--|--|-------|
ouligliseauoites té	-||-----|----|--⌫--|
moultlesabienam onesté	----|--||---|--⌫------|
comme clercbienfondé	----|----|---|-----|
deb ienet delargementmestre	-|-⌫--|-|-|--------|-----|
dele urbiens et deleur chatex	-|--⌫-|----|-|-|---|-----|
afereunmons ti er queiatex	|---|-|----⌫--⌫-|--|-|--|
nepuiss eestretrouéoumonde	-|-----⌫|----|-----|-|----|
si q uelauiergepureet monde	-|-⌫-|-|-----|---|-|----|
soit ill ecdignement seru ie	---|---⌫-|--------|----⌫-|
q uantdouleucleime s eignorie	-⌫---|--|--|-----|-⌫-------|
il es tbiene tdroitetreso n	-|--⌫|---|-⌫|----|-|----⌫|
quenlifac e riche	-|-|-|---⌫|----|
quantla gent	----|-|---|
enssemblee rtt oute	--------|-⌫-|-⌫---|
lasaintechasse de lacroute	-|-----|-----|-|-|-----|
mi seet apor tee	--⌫-|-|----⌫--|
laoudoupue pleertlasemblee	-|-|--|---⌫--|--||-------|
lie uesques etledeien	-|-⌫------|-|-|----|
lunpremier l autredarrien	|-|------||----|------|
enl eu r cousenhautla por toient	-|-⌫--⌫|---|-|---|-|---⌫-----|
grantd euocio n iau oient	----|-⌫------⌫||--⌫----|
quantcelleseintechasseuirent	----|----|-----|-----|-----|
cleiretlei se	----|-|--|-|
il s esioirent	-||--------|
pasade mande r	--||--⌫-----⌫|
lenne leur seus t commander	--|-|---|----⌫|--------|
chosequi iafus tcontredite	----|--|-|---⌫|---------|
ne porroitpasestredescrite	-|------|--|----|-------|
la grantioieque	-|----|---|--|
tretuitfirent	------|-----|
adieugrez et graces	|---|---|-|-----|
glorieu s edame	-------⌫-⌫|---|
quileurauoitsa uué	--|---|----|--⌫---|
etla gl oire	-|-|--⌫---|
d ele urcite	-⌫|--⌫-|---|
lemire ou rdeue rite	-|----⌫--⌫|-|--⌫---|
et le hauttr esor p r ecieus	-|-|---|--⌫---|-⌫-⌫-----|
quiles af e z liez etioieus	--|--||-⌫-⌫|---|-|-----|
to utater res agenoiller ent	--⌫-||---⌫-||----------⌫--|
de ioieetpitie	-|---|-|----|
ploreren t	--------⌫|
etloerent o u ois	-|------||-⌫--|
dieuetsa mere	---|-|-|---|
seinte chasseennoree	-----|-----|------|
auoie ntdou	-----⌫-|--|
fe ud el iuree	--⌫|-⌫--⌫----|
lors p ristrent trestuit a promestre	---|-⌫-------|-------||--------|
douleur age ntdonneret	--|---|---⌫-|-----|-|
en feire richeig lis eet	-|----|----|--⌫---⌫|-|
