quipetitseme petitq u eult	--|----|---|----|-⌫-⌫---|
ougeestoieetbienetbel	-|-|-----|-|---|-|--|
siayy torsforzet	|||-|---|---|-|
une grantet yypet ites	--|----|-|-|---⌫---|
nesetouteleuure	-|-|----||----|
nelecha stel	-|-|---⌫---|
ne sainom m er	-|--|---⌫-⌫-|
mesgesai bien	--|-|--|---|
quel ipreudom	--|-⌫|------|
gornemenzd e	--------|-⌫|
ha b iaxamisfetlapucele	-|-⌫--|---|--|-|-----|
moutestuost reparole be le	---|--|----⌫-|-----|--⌫-|
et mout auezditque cor t ois	-|---|---|--|--|---⌫-⌫--|
greu osensachedexlirois	--|-⌫-|-|----|--|-|---|
preu domelapelastes	----⌫---||--------|
q uilest p reudompar	-⌫|-|--|-⌫-----|--|
saintr ichie r	----|-⌫-----⌫|
e t sach ie z	-⌫|----⌫--⌫|
que gesui saniece	--|-|--|-|----|
me s ge ne l ui moutagrantpiece	--⌫|-|-||-|---||----|----|
deuoir sachiezpuisquemeustes	-|---|------|------|------|
desono stel	-|--|-⌫---|
neconneustes	-|---------|
plu s prodon mem onesciant	---⌫|------⌫-|-⌫-|------|
moutbeloste letmoutriant	---|--|----⌫|-|---|----|
u os fi st carillesetbi enfere	-⌫-|--⌫-|--|-|-|--|--⌫-|---|
co mmepreudometd ebonnere	--⌫--|------|-|-⌫-------|
po issanz etaaisiezet riche s	--⌫-----|-|------|-|-----⌫|
mesceanznaforsque y y	--|----|||---|--|-⌫|
cunsmiensonclesqui estp r ieux	|--|----|-----|--|--|-⌫-⌫---|
m outsainzhom et r elegieux	-⌫--|----|--|-|-⌫-------|
me nuoiaann u it	|-⌫----|---⌫-⌫-|
pour souper	---|-----|
etp lainboucelde bonuincler	-|-⌫---|-----|-|--|--|---|
deuitaille napluscea nz	-|-------|||---|---⌫-|
fors zzcheur el cunmie ns eria nt	---|-|-----⌫-||-|---⌫|-⌫----⌫-|
oc ist huimaindunesaiete	--⌫--|--|---||--|-----|
atantcomma ndequelemete	----|-----⌫--|-|--|---|
les tableset eles	--|-----|-|---|
etle s genz	-|--⌫|---|
ausouper assises	-|-----|------|
aumengierontmoutp eti t sis	-|------|--|---|-⌫---⌫|--|
mesp ar moutgrant talan tfupris	--|-⌫-|---|----|-----⌫|-|---|
apresmen gier	----|---⌫---|
se departirent	-|----------|
cilr emestrentqui	--|-⌫--------|--|
sedormirent	-|--------|
q uilautrenuit ueil li é	-⌫-||----|---|----⌫--⌫-|
a u oien t	-⌫-⌫----⌫|
cil s enissirentq u i deuoi ent	--||-|-------|-⌫-⌫|-----⌫--|
lanuitparlechastelueillier	-|---|--|-|------|-------|
seriant fur ent etcheu alier	------|---⌫--|-|----⌫----|
yyqu i la nuit	-|--⌫|-|---|
ueillierent	----------|
liautremoutsetraueillierent	-|----|---|-|-------------|
d elorhostebienaaisier	-⌫|--|----|---|------|
blansdraset	----|---|-|
couu ert oi rmoutchi er	----⌫---⌫--⌫|---|---⌫-|
e t lorillie r	-⌫||-------⌫|
auchi eflimet	-|---⌫-|-|--|
du couchiers entremet	-|-------||-------|
que nsache	-|-⌫|----|
deuiser enlit	------|-|--|
otli cheuallie rs celenuit	-|-|---------⌫-|---|---|
fo rsquesolement lede duit	--⌫----|-------|-|--⌫---|
de puceleseill eu st	-|-----|-|-||--⌫-|
oude damese	-|-|---|-|
mes il nen sauoit	--|-||-|-----|
ne nipensoit nepounebi en	-|||------|-|--|-|--⌫-|
sisendormiauques par	-||------|-----|--|
car il ne rt de ri enen	--|-||-⌫-|-|--⌫-|-|
messotessep as nere pose	--||-----|-⌫-|-|--⌫---|
quiensachambreestoit enclose	--|-|-|------|-----|------|
c ildorta ese	-⌫-|---||--|
etcelepense	-|---|----|
nuledesfensse	---|--------|
du nebatail lequil assaut	|-⌫-|------⌫-|--||-----|
mout set restornemout tressaut	---|-|-⌫-------|---|-------|
moutse de geteetdemaine	---|-|--⌫---|-|------|
zzmantel cort de soieengreine	-|-----|---|-|---|-|-----|
aafu b lésouzs a chemise	|---⌫-⌫--|---|-⌫|------|
sis estenauenture	-||--|-|-------|
comme hardieetcorageuse	----|-----|-|--------|
mescenestmie por	--|-||--|--|--|
eincoissa pensequ ele ira	------||-⌫----|-|--|--|
os te s ili	--⌫-|-⌫|-|
de sonaf ereunep a rt ie	-|--|--⌫--|--|-⌫-⌫--⌫-|
lo rsse stdelachambre	--⌫-||-⌫-|-|-|------|
issueen estfo rsdel achambre	----|-|--|--⌫-|-|-⌫|------|
atelpoo urq u e	|--|---⌫-|-⌫-⌫|
t uit li men br e	-⌫--|-|---⌫--⌫|
li tre nb lent et licorsli	-|---⌫--⌫---|-|-|---|-|
plorant es tde	------|--⌫|-|
lachambrei ssue	-|------|-⌫---|
e t uie ntaulitoucil se dort	-⌫|---⌫-|-|--|-|--|-|---|
etploreetsoupi remout f o rt	-|----|-|-----⌫-|---|-⌫-⌫-|
sisaclin esisagen oille	-||-----⌫|-||----⌫----|
deseslermesto te sa	-|--|-----|--⌫-|-|
na hardement quep lusliface	||--------|--|-⌫--|-|---|
t ant aploréque ci l sesu eille	-⌫--||-----|--|--⌫||---⌫----|
sisesbahistetseme rue ille	-||-------|-|-|--⌫---⌫---|
desafa c equil	-|-|--⌫-⌫|-|-|
se ntmo il liee	--⌫-|--⌫--⌫---|
et uo itceliagenoilliee	-|--⌫-|---|----------|
deuant sonlitquil e te n oit	-----|--|--|--|-⌫|--⌫-⌫--|
parlecolenbraciée s toit	--|-|--|--------|-⌫-⌫---|
ettantdecortoisiefist	-|---|-|--------|---|
queen tresesbraz lare pri st	--|--⌫--|--|---|-|--⌫---⌫-|
mainte n antenuersluit rest	------⌫-⌫--|-----|--|-⌫---|
bele queuos plest	---|--|--|----|
pourquestes	---|-|----|
uosuenue ci	--|----|-|
hag entixcheualliersmerci	-|-⌫----|----------|----|
pordi e uuos pri et porsonf ill	--|--⌫-⌫|--|--|-|--|--|-⌫--|
que uos nem enaie zplus	--|--|-||-|---⌫|---|
ge suiciu e n ue	-|--|-|-⌫-⌫-⌫-|
por ce qu eges uipres de nue	--|-|--⌫|-|-⌫-|---|-|--|
genipenseo nques folie	-|||----|-⌫----|----|
ne mauuestieneuilenie	-|--------|-|------|
elmon deriensqui uiue	-|---⌫-|----|--|---|
tant d olentene	---|-⌫-----|-|
tantc hetiue	---|-⌫-----|
que ge ne soi e plus	--|-|-|---⌫|---|
quarriensqui soit ne	---|----|--|---|-|
mat alente	|--⌫-----|
conques n uli orsanz	|-----|-⌫-|-⌫-|---|
mal ne fui	--|-|--|
einsimal eureusesui	----|---⌫------|--|
negeneui ur eiam es	-|-|-|--⌫--⌫|---⌫-|
queso lementcestedanuit	--|--⌫-----|----||----|
ne iorforsce lui ded ema in	-|--|---|--⌫--|-|-⌫---⌫-|
einco ismo cirraidema main	-----⌫-||-⌫-----|-|-|---|
deyy cheuallierse t yy	-|-|----------|-⌫|-|
dont cistchastiausestoit garniz	---|---|--------|-----|-----|
n acea nz remesqueyy	||---⌫-|----|--|-|
e tyye t yy	-⌫|-|-⌫|-|
