ennonde dieule creat our	-|--|-|---|-|-----⌫--|
a utrecontree	-⌫---|------|
chose mou trenonmee	----|---⌫|-------|
mou t longuement duraainsi	---⌫|---------|---|----|
kains nefailli	|---|-|-----|
queelenal ast	--|--||--⌫--|
asondroi t	|--|----⌫|
de tour entourla oude uoit	-|---|-|---|-|-|--⌫---|
maispuiscedifu essi llie	---|---|-|-|-|----⌫---|
lacho sedepecie	-|---⌫-|------|
puisnefupar	---|-|-|--|
ron mede telautori t e	---⌫-|-|--|------⌫-⌫|
que e le aceluit a ns	--|-⌫-||----|-⌫-⌫-|
q ueuirgilesirepairoit	-⌫-|-------||--------|
ne puis nefuclersquire faire	-|---|-|-|----|--|--⌫----|
se ustpon m e detel afaire	--⌫--|---⌫-⌫|-|--|-----|
o u il nelo sent	-⌫|-|-||-⌫---|
entreprend re	----------⌫-|
ou ilentendentplus aprendre	-|-|--------|---||------|
carc o uu oitise decoitmout	--|-⌫-⌫--⌫-----|-----|---|
laie gent par	---|---|--|
i lensontpouquientechié	-⌫|-|---|--|--|--------|
decelui pe c hie	-|----|--⌫-⌫--|
d eceneu uei lorpluspar l er	-⌫|-|-|-⌫---⌫|-|---|---⌫-⌫-|
aautr echoseuueilui s e r	|----⌫|----|----|--⌫-⌫-⌫|
mout fistui rgiles d e gransfais	---|---|--⌫-----|-⌫|----|---|
m aisd e luiap ar le r	-⌫--|-⌫|--||-⌫--⌫--⌫|
c ar s etous	-⌫-|-⌫|---|
ses fais uous	--|---|---|
tr op longue m ent imet e r oie	--⌫-|------⌫-⌫--||---⌫-⌫-⌫--|
gransclersfu sagesetsouti eus	----|----|-|----|-|-----⌫--|
uirgilesn en cuitn us	-------||-|---|-⌫-|
carilfut eu scle rsason tans	--|-|-|-⌫--⌫|---⌫-||--|---|
quepouenestoi t	--|--|-|-----⌫|
desi grans	-|-|----|
encorper t bie n	----|---⌫|---⌫|
a son ouurage	|--|------|
kenlu iotsoutie u	|-|--⌫|-|------⌫|
homeet sage	---|-|---|
parl ueureconnoist o nl ouurier	--||----|-------|-⌫||------|
cepuetonpar droitt esmoignier	-|---|-|--|----|-⌫---------|
sauezpou r qu oii	----|---⌫|--⌫-||
ai recordees	-|--------|
des esmerue illesetcontee s	-|-⌫-|-----⌫----|-|------⌫|
que u ousdeuezsauoir	--|-⌫--|----|-----|
kaussibien porentsensau oir	|----|---|-----|---|--⌫--|
li tro iroi demeru ei ll esfai re	-|---⌫|--|-|----⌫--⌫--⌫-|---⌫-|
ca rclercfurentdegrantafaire	--⌫|----|-----|-|----|-----|
d ast ronomieetdi ngr omance	|---⌫------|-||-⌫---⌫-----|
ca r a pris	--⌫|-⌫---|
lorentdesenfan ce	|----|--|-----⌫-|
s en s ore nt tantaudire	|-|-⌫---⌫-|---|-|---|
queon n en po rroitplus	--|-||-|--⌫----|---|
plusneuouspar leroie	---|-|---|---⌫-----|
quicro ire m	--|---⌫--||
enueut sime n croie	-|---|-||-⌫|----|
et qui neleueut	-|--|-|-|---|
si lelaist	-|-|----|
car des o reen	--|--|-⌫-|-|
au ant me plaist	--⌫--|-|-----|
qu ediesanslo nguebargaigne	--⌫|--|---|--⌫---|--------|
co nmentlit roiroi	--⌫----|-|-⌫--|--|
e n espa igne	-⌫|----⌫---|
por te rentle richepr esent	---⌫--⌫---|-|----|--⌫----|
a m arcadigas	|-⌫--------|
l eroige n t	-⌫|--|--⌫-⌫|
quantil sefurentarreé	----|-|-|-----|-----|
apresc eontpouse io r né	----|-⌫|--|--|--⌫--⌫-⌫--|
tanto ntliunslautre atendu	---|-⌫-|-|--||----|-----|
que e nsamblesontreuenu	--|-⌫------|---|-----|
lors distcrom parsquil	---|---|----⌫---|-|-|
se c hascundaus si	-|-⌫-----||--|||
acord o i t	-----⌫-⌫-⌫|
quei l meussen tsia point	--|-⌫|-------⌫|-||----|
quiluen issen t	-|-|---⌫-----⌫|
la ace point	-||-|----|
queroismarcadigasfu nés	--|---|---------|-|---|
ceseroitlimieudresd ass es	-|-----|-|-------||---⌫-|
grant festeceluii our	----|----|----|-⌫--|
f ontespa ignol pou rl eur seignour	-⌫--|----⌫----|---⌫|-⌫--|-------|
celui iourlirouuons	----|---|-|------|
ledon querequ erre uoulons	-|--|--|----⌫---|------|
ceio urplus tostle nousdonroit	-|--⌫-|---|---|-|---|------|
q ueu naut reiourne	-⌫-|-⌫|---⌫-|---|-|
lafe steiert uraiemen tles ai	-|--⌫--|---|--------⌫|-|-⌫-|
lepremier iourd emay	-|------|---|-⌫|--|
ceiour fu nésli	-|---|-|---|-|
rois despa igne	---||----⌫---|
tout droit	---|----|
ensartai gn e	-|------⌫--⌫|
pie caq ue i ensailano uuele	---⌫-|-⌫-||-|--|-|--⌫----|
p ar unmarcheantdecastele	-⌫-|-|--------|-|------|
quienma terre	--|-|-|----|
e strepairans	-⌫-|--------|
enm onp ays	-|-⌫-|-⌫--|
uienttous l esans	----|---|-⌫-|--|
pour achetersingesetours	---|------|-----|-|---|
et m arc h eandises pl uso u rs	-|-⌫---⌫-⌫-------|--⌫---⌫-⌫-|
ie loqu e le facon s ain si	-|-|--⌫|-|-----⌫|---⌫-|
dis tmelo candisielotri	---⌫|----⌫-----|-||---|
aussifazie distbald ig a ns	----|--|-|---|----⌫--⌫-⌫-|
cest chose bien a ferissa ns	|--|----|---|-⌫-------⌫-|
leurafa ire	---|---⌫--|
ontaparei llié	--|------⌫----|
dele urpay ssi com moi samble	-|--⌫-|---⌫|-|--|--|-----|
murentlitroiroyto u t ensa mb le	-----|-|---|--|--⌫-⌫|----⌫--⌫-|
queuaurro it quei euousdiroie	--|------⌫-|--|-⌫|---|-----|
d eleur uoieneconteroie	-⌫|---|---|-|--------|
tant firentkenespa igne f ure nt	---|-----||-|----⌫---|-⌫---⌫-|
et semaintinrent comil	-|-|----------|--|-|
etcomaroisapartenoit	-|--||---|---------|
marc adigastrouuerent droit	----⌫-----|---------|----|
ai nsi com aid itetconté	--⌫--|--|-|-⌫-|-|-----|
en espa ig n een unec ite	-|----⌫--⌫-⌫|-|--|-⌫--|
qui moutertn obleet bien seant	--|---|--|-⌫---|-|---|----|
eta nonseb ile la grant	-||--|---⌫--|-|----|
marcadigas trouué	---------|------|
l eiou rdesan atiui te	-⌫|---⌫|-|-|-⌫-----⌫-|
pourcegrantioieet grantbaudour	---|-|----|---|-|----|------|
otas eb i lecelui iour	-||-⌫--⌫-⌫-|----|---|
car l ihautbaron	--|-⌫|---|----|
estoientillue cassamblé	-------|-----⌫|--------|
a cetans a	|-|---||
coust ume auoient	-----⌫--|------|
li grant sei gn e ur queil	-|----|---⌫--⌫-⌫-|--|-|
faisoien t	--------⌫|
deceluiiourqu	-|----|---|-|
iler e nt né	-|--⌫-⌫-|--|
grant fest eet	----|----⌫|-|
grantsollempnite	----|----------|
et pour cegr antfestef ais o ient	-|---|-|--⌫--|----|-⌫---⌫-⌫---|
liespa ignolcar mo u t amoie nt	-|----⌫----|--|--⌫-⌫|-----⌫-|
marcadig a slor	--------⌫-⌫|--|
bon s eignour	--|-⌫------|
carsagesfuet	--|----|-|-|
p lains dounour	-⌫----||-----|
asebileot main thaut bar on	|-----|-|----⌫|---|---⌫-|
de sp a ign eet dour eg ne	|-⌫--⌫-⌫---⌫|-|--|-⌫--⌫-|
lei ourq uecilroiu inrent la	-|-⌫--|-⌫-|--|--|-⌫-----|-|
aucunsm outsenesmerueilla	-----|-⌫--||-|----------|
pour que lraisonuenu estoient	---|---⌫|-----|---|-------|
enespaignenequ ilque r oient	-|-------|-|-|-|---⌫-⌫----|
cleom ades conme courtois	-----⌫---|----|-------|
a la en contrelestroisrois	-⌫-|--⌫-----|--|----|---|
atout g rantplente desa	----|-⌫---|-----|-|-|
etmout le srecutbeletgent	-|---|--⌫|----|--|-|---|
point les honnora	----|--|------|
deuant s onpere lesme na	-----|-⌫-|---|--|--⌫-|
quimout grantioieasoncuerot	--|---|----|---||--|---|-|
deleur uen ue	-|---|---⌫-|
quantlesot	----|-|--|
mout tresbel lessotreceuoir	---|---|--|--|--|-------|
chasc unsleur fisthonnouret	-----⌫--|---|---|------|-|
dir e neuoussaroi e	---⌫|-|---|-----⌫|
c has c uns regardoi ta merueilles	-⌫---⌫-⌫--|--------⌫||---------|
crompart qui auoit	-------|--|----|
g ransoreilles	-⌫---|-------|
boucheet ui sageet ieusetnes	-----|-|--⌫---|-|---|-|--|
ottelsq ue	-|---|-⌫-|
m i eussambloi tmaufes	-⌫-⌫--|-------⌫|-----|
qu ilnefaisoithomterr iens	-|-|-|------|--|----⌫---|
debiau no tenlu i nu l eri e ns	-|---||-⌫|-|--⌫|--⌫-⌫|--⌫-⌫-|
don t o ns epeust pe rceuoir	---⌫|-⌫|-⌫|----|--⌫------|
ceu ous di	-|-⌫--|-|
iebientout pou r	-|---|---|---⌫|
desi diuerse	-|-|------|
tailleestoit	-----|-----|
quechascu n s senes merueilloit	--|------⌫-⌫||-|--⌫----------|
quantuirentlor li eudepar le r	----|-----|--|--⌫-|-|---⌫--⌫|
de uantl eroy	--⌫---|-⌫|--|
ui nr ente ster	--⌫--⌫--|-⌫---|
cleomadesl escompai gnoit	--------|-⌫-|------⌫----|
commec ilqui	----|-⌫-|--|
t ousbienssa uoit	-⌫--|----|--⌫---|
mel ocandispremiersparla	---⌫------|-------|----|
a u r oi e tmoutbiaulimoustra	-⌫|-⌫-|-⌫|---|---|-|------|
lar aisonpourquoi i lestoient	-|-⌫----|---|---|-⌫|-------|
lauenu et queilquero ient	-|---|-|--|-|-----⌫---|
tou tb el ement etpar compas	---⌫|-⌫--⌫----|-|--|-----|
t antostnel ides couuripas	-⌫-----|-|-⌫|---⌫-----|--|
la chosequilplusdesiroit	-|----|-|-|---|-------|
carm outa pointparlersa uoit	--|-⌫--||----|-----|--⌫---|
qu ant auroiot	--⌫--|-|--|-|
assezparlé	----|-----|
si lidistbiausireaporté	-|-|---|---|---|------|
uous auonmesdenopays	---|------|-|-|---|
troisioiausriche setsoutis	----|-----|-----⌫|-|-----|
lo rs l ideuisemotamot	--⌫-|-⌫|-----|--||--|
qu el forcec ha scunsio iaus	--⌫-|----|-⌫--⌫----|--⌫---|
etli roisl es	-|-|---|-⌫-|
car lesioiau sformen t prisa	--|--|-----⌫|------⌫|----|
car mo utfiren t	--|--⌫-|-----⌫|
bienaprisier	---||------|
distbaldigansie uousrequier	---|--------|-|---|------|
sansplusun	---|---|-|
seuldon pour	---|--|---|
etiele uous do ing di stli	-|-|-|---|--⌫--|--⌫-|-|
pui squeuenumestesueoir	---⌫---|---||----|----|
or nesparg niezpasmon	-||------⌫---|--|--|
ne u i lek ai ene chastel	-|-⌫-⌫-||--⌫|-|------|
neorneargentneiouel	-|-|-|-----|-|----|
mai s demandésha rdiement	---⌫|--------|--⌫-------|
carieuous tenraibiencouue nt	--|-|---|-----|---|-----⌫-|
quantcromparslott ostrespon di	----|-------||-|-⌫--|------⌫-|
si relauo stregrantme rc i	--⌫-|-|--⌫---|----|--⌫--⌫|
lieznousauezfaisetioians	---|---|---|---|-|-----|
carlidons estricheset	--|-|---|--|-----|-|
sirequ edon n e ́n ous aués	---|--⌫|---⌫-⌫-⌫|-⌫--|----|
aincsibia udons	---|-|---⌫|---|
mainte na ntuo usdeu iserai	------⌫--⌫-|--⌫-|---⌫-----|
qu e ia plus	--⌫|-|---|
n en atendera i	|-|--------⌫|
queld ondeuo usauoir uoulo ns	---|-⌫-|-|--⌫-|----|-----⌫-|
uos tr oisfillesuo usde mando ns	--|--⌫--|-----|--⌫-|--⌫-----⌫-|
pou rce son mes n ousesmeu	---⌫|-|---⌫--|-⌫--|----|
denospaysetca uenu	-|--|---|-|-|---|
otroié aue ́sno	------|---⌫-|-|
drois estquelachos e	----|--|--|-|----⌫|
soitpreste	---|-----|
par quoin ousa uez ot roi ié	--|---|-⌫--|-⌫--|--⌫---⌫--|
ledondontnous sonmes	-|--|---|---|-----|
quantuousplairanousm o usterrons	----|---|-----|---|-⌫-⌫--------|
lesioi ausque dit uousauons	--|---⌫--|--|--|---|----|
quantmarcadi gaslentendi	----|-------⌫--||------|
mou tcourt oise me nt	---⌫|-----⌫----⌫--⌫-|
r espon di	-⌫-----⌫-|
bienuoit queondeceu la	---|---|--|-|----|||
pour cene semua	---|-|-|-|--|
de lotr oi riens	-||---⌫-|----|
neligre uo it	-|-|---⌫--⌫-|
forscrompars qu isilais	---|-------|--⌫|-|---|
desautre s	--|-----⌫|
se passastasses	-|------|----|
se liro isc romparsnefusttes	-|-|--⌫-|-⌫------|-|---|--|
queuo usm aue ́soy	--|--⌫-||---⌫-|-|
retrai r e	------⌫-⌫|
ma i scel ito rne agran t	--⌫-⌫|-|-⌫|--⌫--||----⌫|
s eignourf ait il	-⌫------|-⌫--|-|
requis m aués	-----||----|
d onqu i moutest	-⌫-|--⌫|---|--|
demoiamés	-|--|----|
maissachiez	---|------|
necui do ie	-|---⌫--⌫-|
q u e uous deussieztele	-⌫-⌫|---|-------|---|
alerqueme sfil lesrequerre	---|--|--⌫|---⌫--|-------|
uileschastiau stres orsout erre	----|--------⌫|----⌫--|-|-⌫---|
cuidai que a uoiruou sissiez	-----|--|-⌫---|---⌫------|
dont i e stoieioiansetliez	---||-⌫----|-----|-|---|
priseuous tantmamé s	--|-|---|---||----⌫|
qued e cedo nmedeport és	--|-⌫|-|--⌫|-|------⌫--|
n eldip aspour ce	-⌫||-|-⌫-|---|-|
k ass ezu ailla nsgens nesoiez	|---⌫-|-⌫-----⌫-|---|-|----|
moutaioy deb ienretra ire	---|-|-|-|-⌫--|-----⌫--|
etde uo us et deuostreafaire	-|-|--⌫-|-|-|-----|-----|
maisneuueilpask en	---|-|----|--||-|
unseuliou r	-|---|---⌫|
aientme str oisfi lle s seig nour	----|--⌫|--⌫--|--⌫---⌫|----⌫---|
plus uolenti ersse	---|-------⌫--|-|
a trois fois la marier oie	|----|---|-|------⌫--|
neuueilpasenuniour passer	-|----|--|-|-|---|-----|
ma ioiede l esmari er	-|---|-|-⌫-|----⌫-|
etcildi entconment qu il aille	-|--|--⌫--|-------⌫-|-|----|
no donuoulons auoir sansfaille	-|--|------|----|---|-----|
carceken c ou uentnousaués	--|-||-|-⌫--⌫---|---|----|
creonsbien	-----|---|
queuous nous tenrés	--|---|---|------|
mie usu orriensestretouttroimort	---⌫-|-⌫------|----|---|---|---|
quedou donnousfeissiezt ort	--|--|--|---|-------|-⌫--|
liroisieu ous	-|---|-|-⌫--|
cou uentpu isq ue i encouue nt	---⌫---|--⌫---⌫-||-|-----⌫-|
car ieneuueilpas	--|-|-|----|--|
conmencier	---------|
amentirca rtro plaitmesti er	|-----|--⌫|---⌫|---|-----⌫-|
yaetcilqui l e main ti ent	||-|--|--|-⌫|----⌫--⌫--|
a mauuaiseteche se	|-------|----|-|
neroisne doit	-|---|-|---|
pasestretes	--|----|--|
queilsoit demen tirr esté s	--|-|---|-|---⌫--|-⌫-----⌫|
et c hascunss en doitbientenir	-|-⌫------||-|---|---|----|
carlaidec hose	--|----|-⌫---|
estdementir	--|-|-----|
quan tcilloi ent	----⌫|--||--⌫--|
ioieeno ntgrant	---|-|-⌫-|----|
le r oien uont	-|-⌫-|-|---|
moutmerciant	---|-------|
cromparsse st un	-------||-⌫-|-|
po uauant trais	--⌫|----|----|
qui hideusert etcontrefais	--|-----|--|-|---------|
maisde clergi e auoi tgrantnon	---|-|------⌫|----⌫|----|--|
demarine a r ouuéle don	-|-----||-⌫----|-|--|
ca rbien auoitenqui sq ueele	--⌫|---|----|-----⌫|-⌫-|--|
m outloinglaplusbele	-⌫--|----|-|---|---|
roisf aitil ieuor rai	---|-⌫--|-|-|---⌫--|
uomainsnee fi lle	-|-------|--⌫--|
lains neene	|----⌫--|-|
uueil pas rouuer	----|--|-----|
bonse faitdoutrag egar der	--|-|---||------⌫|---⌫--|
nariens resp ondu	||----|----⌫---|
mout li desplot quesila isfu	---|-|------|--|-|--⌫-|-|
cilquisa fillelirouuoit	--|--|-|----|-|------|
maisaenui s lenmentiroit	---||----⌫||-|--------|
l ors amelocandisr o uuee	-⌫--||---------|-⌫-⌫---|
auroi marc adigasla insnee	-|--|----⌫-----||-⌫-----|
etlamoiennebaldigans	-|-|------|--------|
quimoutertbeleet	--|---|--|---|-|
comg entapens ee etho nn e st e	--|-⌫--|-----⌫-|-|--⌫--⌫-⌫--⌫|
fi ren tsageme nt	--⌫---⌫|------⌫-|
l orre que ste	-⌫-|--⌫---⌫--|
a cle om adesmoutdesp l ot	|---⌫--⌫---|---|----⌫-⌫-|
m aispource que ses pereslot	-⌫--|---|-|--|--|----||-|
otro ié nimist c ontredit	----⌫--|||---|-⌫-------|
fors tant ka conseilliadit	---|----⌫||------|-||--|
quedece l otroi	--|-|--⌫|----|
m out l ipoise	-⌫--|-⌫|----|
etli roisdist quil sencois e	-|-|---|---|-|-||-|----⌫|
carcequeencouuentleu ra	--|-|--|-|------|---⌫||
cedist l oiaume n tleurten ra	-|---|-⌫------⌫-⌫|---|---⌫-|
silnel pe rdentpar trayson	|-|-||--⌫----|--|------|
oupar aucunemesprison	-|--|-----|--------|
foismegarde rai	---|-|-----⌫--|
dotr oierdon tantque sa urai	|---⌫---|--|------|--⌫---|
qu eldononmeuorrarou uer	--⌫-|--|-|-|----|---⌫--|
maista rtensuiaauis er	---|--⌫-|-|--||----⌫-|
dis tc l eom adesm outmanuie	---⌫|-⌫-⌫---⌫---|-⌫--||----|
que cishom acenesd et ruie	--|--|--||-|--|-⌫|-⌫---|
doi ta uoir marin e masuer	---⌫|-⌫---|-----⌫|-|---|
sachiezquem outmetouche au	------|--|-⌫--|-|-----|-|
f usibe leri ens nee	-⌫|-|--⌫-|--⌫--|--|
tr o pd uredestinee	--⌫-⌫|-⌫--|-------|
a enuism assentiroie	|----||----------|
seiepo u ruo usfairelo soi e	-|-|--⌫-⌫|--⌫-|----||-⌫---⌫|
dist li ro is fairele	---|-|--⌫-|----|-|
a do nt li	-⌫--⌫-|-|
co nsaus le roiui en t	--⌫----|-|--|--⌫--⌫|
quecleomadesotmandé	--|--------|-|-----|
e nsambl e moustré	-⌫------⌫|-------|
quilser oit bon c on e ssaiast	-|-|---⌫--|--||-|-⌫------|
lest r oisioiauset esprouuast	--|-⌫-⌫--|-----|-|---------|
pours auoir set el pouoiront	---|-⌫----|-|-⌫-|-----|--|
liioue lkent e ndrelif ont	-|----⌫||---⌫-⌫---|-|-⌫--|
etliroi s distbonli sambloit	-|-|---⌫|---|--|-|-------|
etquebienra ison y auoit	-|--|---|--⌫---||----|
abaldigans	|--------|
ali ro isdi t	|-|--⌫-|--⌫|
queil feissent sansre sp it	--|-|-------|---|--⌫--⌫-|
lesio iaus ilueca p orter	--|--⌫---|----|-⌫-⌫----|
ueoi r lesueut etesprouuer	----⌫|--|---|-|--------|
etcilne lont	-|--|-||--|
pasde tri ié	--|--⌫---⌫--|
tout tantost iont en uo iie ́	---|------||--|--⌫--⌫---⌫|
etuns ual les	-|--|---⌫--|
trestouterran t	-------|-----⌫|
uinta sf ille s leroico urant	---|-⌫|-⌫----⌫|-|--|--⌫----|
ces nouueles leur a cont ee s	--|-------|---||----⌫--⌫|
otescoute es	-|-------⌫-|
neleurdistpa s	-|---|---|--⌫|
qu il nesauoit	-|-|-|-----|
li qu els la	-|--⌫--|-|
quel eau oirdeuoit	----⌫|--⌫--|-----|
formentenfurent esmaries	------|-|-----|-------|
tout estroi s sontdelaparties	----⌫-|----⌫|---|-|-|------|
en une c hambresonte ntrees	-|--|-⌫-----|---|-⌫-----|
e tpu issi sesontauisees	-⌫|--⌫-|-|-|---|------|
en tellieuse metroient	-|--|---|-|--------|
quetou t aplainueoir	--|---⌫||----|----|
porr oien t	----⌫----⌫|
ceau squil esauoient ro uuees	----⌫|--|-⌫-|------|--⌫----|
p ereetdema ndee s	-⌫--|-|----⌫----⌫|
lors fistchascune encosteu n	---|---|-------|------|-⌫|
d e soncouteletun	-⌫|--|-------|-|
nus ueoirnel es ipouo it	--|----|-|-⌫-||----⌫-|
et ch as cunepartoutueoi t	-|--⌫--⌫---|--|---|----⌫|
rois uire nt lesleurpere	---|----⌫-|--|---|---|
presdecleo ma desleurfrer e	---|-|----⌫--⌫--|---|----⌫|
melocandisetbaldigans	---------|-|--------|
chascunsle u rsamblamout plaisans	-------|--⌫-⌫|-----|---|-------|
e t co ur toisetdetelsemblance	-⌫|--⌫--⌫---|-|-|--|--------|
queb iensambl e ntgentdeua illance	--|-⌫--|-----⌫-⌫-|---|-|--⌫------|
maisdoutie r sson ten	---|--|---⌫-⌫|---⌫|-|
granterrour	----|-----|
nia celen en	|||---||-|
quant elesle uirents ilait	----|---|-|-----|-⌫|---|
sihideusetsicontrefait	-|-----|-|-|---------|
m outdesiroi enta	-⌫--|-------⌫--||
la quelel edeuo it	-|----|-⌫|----⌫-|
c hascune grantfreour	-⌫------|----|-----|
qu ele d o n nee neli	-|--|-⌫-⌫-⌫--|-|-|
niotnule qui	||-|---|--|
mi eus n amast	--⌫--||----|
morirque cec	----|--|-||
onli donn ast	-|-|----⌫--|
l ac hambre esgardoie n t	-⌫|-⌫-----|---------⌫-⌫|
lespucelestantquelesl esuoient	--|------|-----|---|-⌫-|-----|
aporterlesriches	------|--|-----|
lageline etl espouciniaus	-|-----|-|-⌫-|---------|
d efinormassis	-⌫|--|-|-----|
rubisestoit assis	----|-----|----|
e t le che u ale tdebenus	-⌫|-|---⌫-⌫---⌫|-|----|
telcheualneuita incpui s	--|-----|-|--|-⌫--|---⌫|
lors f ul ar oyne mandee	---|-⌫|-⌫|-⌫---|-----|
doney na belela s ene e	---|-⌫--⌫---|-|-⌫---⌫|
enlachambre leroientra	-|-|------|-|--|----|
c hascunsdesroi s	-⌫------|--|---⌫|
laroyne m outsagement	-|----|-⌫--|-------|
achas cund aus sonsalutrent	|----⌫--||--|--|----|---|
carmout ert	--|---|--|
co urtoi seetsachant	--⌫-----⌫-|-|------|
un peti t otlecuer	-|----⌫|-|-|---|
doudonque o troiéauo it	--|--|--|-⌫-----|---⌫-|
l i ro ism ais	-⌫|--⌫-|-⌫--|
senpassoit	|-|------|
son pensecouuroitconm ecele	--|----|-------|----⌫|---|
quidem ani ere ertbonneet bel e	--|-|-⌫---⌫--|--|----|-|---⌫|
lorssa ss istli	---||-⌫--⌫--|-|
r oiserranment	-⌫--|--------|
et laroyneetl autreg e nt	-|-|----|-||----|-⌫-⌫-|
quant pa rlachamb resontassis	----|--⌫|-|-----⌫-|---|----|
chascunsse taist	-------|-|----|
lors aroismelocan d is	---||---|-------⌫-⌫-|
lagelinedor	-|-----||-|
enla chamb re	-|-|-----⌫-|
tre s t outen m i	---⌫-⌫-⌫--|--⌫-⌫|
etlestroispoucinsd	-|--|----|------||
or a u ssi	-|-⌫-⌫--|
etlor sisest	-|--|-||--|
duneparttrais	|--|---|----|
etchascun s setinttou tenpais	-|-------⌫|-|---|---⌫|-|---|
car moutd ure ment desiro ient	--|---|-⌫---⌫---|------⌫---|
ciletce lesqu i laestoient	--|-|--⌫--|--⌫|-|-------|
c elemeru eil leaesg arder	-⌫--|----⌫---⌫-||---⌫----|
lorsconm encierenta	---|----⌫--------||
toutquatreensamblemai ntenant	---|-----|-------|---⌫------|
m ai sla geli nealoit	-⌫--⌫|-|----⌫-|----|
au ss icom sech ascunsf us tuis	--⌫--⌫|--|-|--⌫-----|-⌫--⌫|--|
al oient c eleurfua u is	--⌫----|-⌫|---|-|-⌫-⌫-|
quantaléorentensement	----|---|----|-------|
lorsconmencierent doucement	---|------------|--------|
ettrespl aisanm entachanter	-|---|--⌫------⌫--||------|
apointaaco rder	|----||---⌫---|
q ue ienecroiconqu es oye	-⌫-|-|-|---||----⌫-|--|
fu stsitresplaisantmelodie	--⌫-|-|---|-------|------|
tres touts	----⌫---||
enesi oirent	-|---⌫-----|
ci letc elesquilesoire n t	--⌫|-|-⌫---|--|--|----⌫-⌫|
di st l irois bienauons	--⌫-|-⌫|---|---|----|
melo candisenuerite	----⌫-----|-|-----|
kain s rien ss iuolentiersn oy	|---⌫|----⌫|-⌫|---------||-|
nes iriche iou el neui	-|-⌫|----|---⌫-|-|-|
me locandis a touspla is oit	--⌫-------||---|---⌫--⌫--|
etiletcequefaitauoit	-|-|-|-|--|---|----|
car mout ertb i aus	--|---|--|-⌫-⌫--|
etbientailliez	-|---|-------|
etsa ge setbien a faitiez	-|--⌫--⌫|-|---|-⌫------|
mou tplo tleroyet la	---⌫|---⌫|-|--|-|-|
etlipou cinet	-|-|---⌫--|-|
etcilquile sotaportés	-|--|--|--⌫|-|-------|
etdetousl oés	-|-|---|-⌫---|
si rece d istcleomades	--⌫-|-|-⌫--|--------|
mo utsamble estre co urtoisetnes	--⌫-|-----|----|--⌫-----|-|--|
melocandisetde bon se ns	---------|-|-|--|--⌫-|
masueraitcestbien mesassen s	-|---|--||--|---|--|-----⌫|
decestuimet ie nga p aié	-|-----|-|-⌫--⌫-||-⌫---|
iere doutmout pi eurm archie	-|--⌫---|---|--⌫--|-⌫-----|
uoire cedistmarc adig as	----|-|---|----⌫----⌫-|
etsinetient p as terr e	-|-|-|----|-⌫-|----⌫|
cari lest roisd ebar barie	--|-⌫|--|---|-⌫|---⌫----|
quie st assezgrantseignor ie	--|-⌫-|----|----|-------⌫-|
mout me sambl ebien emp loiez	---|-|-----⌫|---|---⌫----|
lidonsqu i li e st o troiez	-|---|--⌫|-|-⌫-|-⌫-----|
alezportezli depa rmo i	---|-----|-|-|--⌫|--⌫|
sadem andeieliotroi	-|---⌫---|-|-|----|
quant don e yna belel	----|---⌫|---⌫---||
a uroi dist	-⌫|--|---|
quebiensiassent	--|---|||-----|
liplaist quesafilleait	-|-----|--|-|----|--|
p uis que illenaledo n	-⌫---⌫--|-||-||-|--⌫|
etcleoma des mainten ant	-|------⌫--|-------⌫--|
l i di stdeuantt o u sen	-⌫|--⌫-|-----|-⌫-⌫-⌫|-|
que s esperesliad onnee	--|-⌫-|----|-||-⌫----|
safi llequ il ade mandee	-|--⌫--|-|-||--⌫-----|
detoutlau ousa o t r oiie	-|---|-|-⌫--||-⌫-⌫-⌫---|
tient a e m p loiie	----||-⌫-⌫-⌫----|
aussifait ma damemamere	----|---|-|---|-|---|
puisquilplaistain siamon pe re	-----|-|-----|---⌫-||--|--⌫-|
assent bienaussi	-----|---|----|
puisquilplaist a monp ere	-----|-|-----||--|-⌫--|
elya dor aurez	----⌫--|----|
pui squ eauezcele rouuee	---⌫---⌫|---|---|-----|
etmelo candisenclina	-|----⌫-----|------|
roie tlenm ercia	--|-⌫||-|-⌫----|
lie zfucar bieny o t	---⌫|-|--|---||-⌫|
ensoncuerfu ioie ensa ison	-|--|---|-|---|-|--⌫---|
quantelyador entendi	----|------|------|
queci s auo itl	--|--⌫|---⌫-||
otroid e l i	----|-⌫|-⌫|
moute n futl ie	---|-⌫|--|-⌫-|
enson corage	-|--|-----|
ca r b ien set quedoumaria ge	--⌫|-⌫--|--|--|--|-----⌫-|
de lietdoulaitroi	-|-|-|--|---|--|
estoit ele quiteasapart	-----|--|----||-|---|
apo u quenefaillilicuers	|--⌫|--|-|-----|-|----|
degrantpaoura s esdeus suers	-|----|----||-⌫-|---|----|
siparfurentengr anteffroi	-|--|-----|-|--⌫--|-----|
pou r mai stre crompartle laitroi	---⌫|---⌫---|-------|-|---|--|
lors pas sa	---|---⌫-|
a u antbaldig ans	-⌫-⌫--|------⌫--|
fubi aus etauenans	-|--⌫--|-|------|
etdistauroiieuouspresent	-|---|-|--|-|---|------|
cest h ome	---|-⌫--|
d or p ar telcouuent	|-|-⌫-|--|------|
quese nusuersuouspo urchac oit	--|-|--|---|---|--⌫------⌫--|
traysontantost	------|------|
trompero it	--------⌫-|
