formCi comence liseconz	---|-|------|-|-----|
toltaup ere pouoirde fereson tes tamentà	---|-|-⌫--|-----|-|---|--|---⌫-----|-|
sa uole nté.	-|----⌫---||
Unshuemqui	--|---|--|
f ilzfi stsont e stament	-⌫--|--⌫-|--|-⌫-⌫------|
sesfi lz oir setpr ia	--|--⌫-|---⌫|-|--⌫-|
lesquec e luiqui	--|--|-⌫-⌫--|--|
mou roitauantq uerandist	---⌫---|----|-⌫-|------|
sapart iede l	-|----⌫-|-||
Ilfirente ntr	-|-----|-⌫--|
e xcoua nt quilfus sentquitede celecondipcion	-⌫|----⌫-|-|-|---⌫---|----|-|---|---------|
emper erequelacouenance e s tb oneet	-----⌫--|--|-|--------|-⌫-⌫|-⌫--|-|
que l iunsnepuet de manderlap artie del	--|-⌫|--|-|---|--⌫-----|-|-⌫----|-||
Demandéfu àlempereorse auc unecouen ance	-------|-|-||-------|-|---⌫--|-----⌫---|
estf ete entrea ucuns à bonef oi	--|-⌫--|----|-⌫----|-|---|-⌫-|
seele ualt	-|--|---|
r i ensseln e st es cripte .	-⌫-⌫--||-||-⌫-|--⌫-----||
Etlemperered itquesel empu etprouer	-||-------|-⌫-|--|-||-|--⌫-|-----|
enautresma nieres	-|-----|--⌫-----|
leiuge laf era garder.	-|---|-|-⌫--|-----||
Deushomesouplusor deuoientauoiràaucuns creanciers dont	---|----|-|-----|-------|----|-|-----|---------|---|
cha scune sto ittenuzparl et ou t.	---⌫---|-⌫---⌫-|----|--|-⌫|-⌫--⌫||
uintl i unsd eus	---|-⌫|--||--|
etp aia sap artie	-|-⌫--|-|-⌫----|
t ant co m	-⌫--|--⌫|
liafer oit	-|----⌫--|
deladeteet les	-|-|---|-|--|
cr eanciers lereçurentuolen tiers .	--⌫-------|-|--------|-----⌫----||
Dit lempererequese ilpu eentcep rouerle	--||-------|--|-|-|--⌫---|-|-⌫----|-|
gouerne eur de lapr ouincefe raque ilnedemande nt à	-------⌫--|-|-|--⌫-----|--⌫-|--|-|-|-------⌫-|-|
po ur lautredés qui laurapa ié	--⌫-||----|---|-|-⌫|---|--⌫--|
sa par ti e.	-|---⌫--⌫||
Deusc heualiersfreresaloi ent àune	---|-⌫--------|-----|----⌫--|-|--|
batailleetpo urce que il	-------|-|--⌫---|--|-|
aloient en	------|-|
auenture demo rtsifirentcouan tliunà	-------|-|--⌫-|-|-----|-----⌫|-|-|-|
l autreque cel qu ieschaperoi t uis	|----|--|--|--⌫|----------⌫|--|
eu st lesbiensàc el ui q ui	--⌫-|--|----|-|-⌫--⌫-|-⌫-|
mou roit i lueques.	---⌫---|-⌫------||
Ilfu demand éa ̀	-|-|------⌫-|-⌫|
lempereor set elecouenanceuaudroitet lemperere	|-------|-|-⌫--|--------|-------|-||-------|
respontqu eiasoit c equ eentreautres homes	------|--⌫|-|---|-⌫|--⌫|----|-----|----|
t elcoue nancene	-⌫-|----⌫----|-|
uaus istcar	----⌫--|--|
ne auroi t	-|-----⌫|
forcededonaccionquel en fet	----|-|--------|--||-|--|
parpoo rdemortmes	--|---⌫|-|---|--|
la uolentéd escheualiersque i l ontenregartde	-|-------|-⌫-|---------|--|-⌫|--|-|-----|-|
leurmor tquant	---|---⌫|----|
eleeste s cri pt eauraforce de	--|--|-⌫-⌫---⌫--⌫|---|----|-|
tes tamen t etcepour lepreuiliege decheualerie	---⌫-----⌫|-|-|---|-|---------|-|---------|
Etdit àcelui quiest	-|--|-|----|--|--|
eschapezuisqu eildoitauoirles biens	-------|--|--⌫|-|---|----|--|----|
desonfrerequiest	-|--|----|--|--|
À lempe reorfudemand ése	-||----⌫---|-|------⌫-|-|
un s hom fetcouant	--⌫|--|--|-----|
àu nautreq ue	-|-⌫|----|-⌫-|
soita ̀ lautre sec ele couenanceuaut.	---|-⌫||----|-|-⌫--|--------|---||
Etdit lemperer e que laseg nor i e	-|--||-------⌫|--|-|---⌫---⌫-⌫|
deschosesnetrespassedun enautrepa r	--|-----|-|--------||-|-|----|--⌫|
nuecouenan ce se	--|-------⌫-|-|
la chosenest	-|----||--|
b aillieoun	-⌫-----|-||
est tenue pa r .	--|----|--⌫||
anz parb on eraison.	--|--|-⌫--⌫|-----||
Troisfreres estoient .	----|-----|-------||
moururen t si lesserenttres to utleur eritage	--------⌫|-|--------|----⌫--⌫-|---|------|
ou la g regneurpartieà	-|-|-⌫------|-----|-|
u ne strange.	-⌫|-⌫------||
Liti erzfr ere	-|--⌫--|--⌫--|
s i mutquerele contre ces tqi auoitl	-⌫|--|------|-----|---⌫|-|----||
eritageses fre res etdemandoit	------|--|---⌫--|-|--------|
une teneureqil	--|------||-|
disoit qui estoit soe.	-----|--|-----|--||
Cilquiauo itl eritaiese sfreres	--|--|---⌫-||------|--⌫|-----|
fistc ou antàliq uil	---|-⌫--⌫--|-|-|-⌫|-|
partissenttout l eritage	---------|---||------|
parmiet cel se sessastdesa	--|-|-|--|-|------|-|-|
Celqui auoitlerit aiene uolt fere	--|--|----||----⌫--|-|---|---|
ot en couant .	-|-|-----||
Lifre resdemandeàl empereors eilpue t dema n der	-|---⌫--|------|-||-------|-⌫|-|---⌫|----⌫-⌫--|
p ourr aiso ncele	-⌫--|-⌫----⌫|---|
couenance etlem p ererere spont	--------|-||--⌫-⌫----|--⌫----|
Se tu es ensaisine et tonauersairete	-|-|-|-|------|-|--|--------|-|
dema nd etu te puezdesfendreparex cessio n de la	----⌫--⌫|-|-|---|--------|--|--⌫------⌫|-|-|
couenan cem essetonauersaire tient ettu	-------⌫-|-⌫-|-|--|--------|----|-|-|
d emandestunasnule	-⌫------|-||-|---|
demande detelecouen ancequele fu nuen	------|-|---|-----⌫---|-|--|-|--||
ilne peuteniendrerac cions etunete	-|-|---|--------|--⌫---|-⌫|-|-|-|
pourue isparst ipulac ion.	------⌫-|--|--⌫------⌫--||
Netonauersairenes a iderade la	-|--|--------|-||-⌫----|-|-|
cou enan c eseil	---⌫----⌫-⌫|-|-|
nestapar eillié	|--|----⌫------|
aconplirce qu il ot encouant.	-------|-|-|-|-|-|-----||
Il fudemandé à lemper e or	-|-|-------|-||-----⌫-⌫-|
coua ntqui fetletutor	----⌫-|--|--|-|----|
oule cur ator daucunorph elin	-|-|---⌫---||----|----⌫---|
q uiestmenorde	-⌫-|--|----|-|
a nzdoitnuireasorphelinsseil f ont	-⌫-|---|----|-|--------|-|-|-⌫--|
couantàleursdetor s	-----|-|----|-----⌫|
d aqu ite rleurpartie deleur s detes	|---⌫---⌫|---|-----|-|----⌫|----|
Etlemperer e re spont que	-||-------⌫|--⌫----|--|
lestuteurse tlescu rateurs	--|------|-⌫|--|--⌫------|
segnorsdes	------|--|
chosesasorphelinsquantildem andentbien leur s dr oiz einsin c	-----|-|--------|----|-|---⌫-----|---|----⌫|--⌫--|------⌫|
deliu r entlesdetorsnemiese	-----⌫-⌫--|--|-----|-|--|-|
illesquitentsanzp aiemen t.	-|--|------|---|-⌫------⌫||
Cistmeis m esem p ereresditLefuiznepu etdeliurerles	---|----⌫-⌫-|--⌫-⌫-----|--|-|---|-|--⌫-|-------|--|
det eursson perepourfere leurcouenance	---⌫---|--|---|---|---|---|--------|
quil nepaien tneseilreço i tle sdetes	-|-|-|-----⌫|-|-|-|-----⌫-⌫|--⌫|----|
Unshomfi stson	--|--|--⌫-|--|
testame ntles sa àsafamme au cune chose	-------⌫-|---⌫-|-|-|----|--⌫---|----|
par amo r à	--|---⌫|-|
de sesoirslo rquitasa demande.	-|--|---|--⌫|----|-|------||
Laq uest io nestselesautre s	-|-⌫----⌫--⌫|--|-|--|-----⌫|
sontqu ites car ilsenbleque	---|--⌫---|--|-|-----|--|
coiem entaietoutaquité .	-----⌫--|--|---|------||
Dit lemp erere quel e puetdeman der	--||---⌫----|-|--⌫|---|-----⌫--|
des autres	--|-----|
Il au ientque un	-|--⌫---|--|-|
cra ancie ra	---⌫-----⌫||
plusors deteurs .	------|------||
Ce sdeteursfontcouantentraxquel i	--⌫|------|---|-----|---|-|--|-⌫|
unspaitlad ete	--|---|-|-⌫--|
Or est laquestion selicreancierest	-|--|-|-------|-|-|--------|--|
tenuz à demander to utesa	----|-|-------|--⌫--|-|
deteàcelui	---|-|----|
Etdit l emperere que	-|--||-------|--|
lacouuenancequelesdeteursfontne	-|---------|--|--|------|---|-|
toutnechange lademandeaucreanc ier.	---|-|-----|-|------|-|------⌫--||
Li em perereDiocliciendit	-|--⌫-----|---------|--|
Se a ucundeteuraplusors	-|-⌫---|-----||------|
oirsetilfont couant	---|-|-|---|-----|
entr axqueli uns ou les.	---|-|--|-|--|-|--||
paittotes les	---|----|--|
detes aumorttele	----|-|---|---|
c ouuenancenep eutfere que ce	-⌫--------|-|-⌫--|---|--|-|
toutse ul so it obligié ascreanciersc arla dete	---|--⌫-|--⌫-|-------|-|---------|-⌫-|-|---|
est partie entreles	--|-----|----|--|
oirsp ar laloidel es	---|-⌫-|-|--|-|-⌫-|
ta ble squechascundoit	--⌫---⌫|--|------|---|
paiersa partie de ladetepar	----|-|-----|-|-|---|--|
la part ie	-|----⌫-|
qu ila delerit age .	-|-||-||----⌫--||
Et ce meimesco uientgar d eren	-|-|-----|--⌫----|---⌫-⌫-|-|
ceusq ui nesontoirsmes	---|-⌫-|-|---|---|--|
possesorsdesbi ens.	--------|--|--⌫--||
Donques se	------|-|
li uns d esoirs tient leschartresdesdetesl	-|--|-⌫-|---|----|--|-------|--|----||
au tre pue tfereparl e iuge que il les	--⌫--|---⌫|---|--|-⌫|---|--|-|--|
Ou secelui quidut paiertou tela dete	-|-|----|--|--|----|---⌫-|-|---|
parcouantnefetc e qu	--|-----|-|--|-⌫|-|
i lot couant l au tre	-⌫|-|-----||--⌫--|
le puetp ledier	-|---|-⌫-----|
l iamentc equ e illi faut decouant.	-⌫|----|-⌫|--⌫|-|-|---|-|-----||
CistmeimesempereresditSeaucunfetcouenanceà a utre	---|-----|--------|--|-|----|--|--------|-|-⌫---|
toutenuetelepour	----|--|---|---|
quilnep ouoitrien sdemanderapréstantostmi st	-|-|-|-⌫----|----⌫|-------|-----|------|--⌫-|
unestipulacion ou unpou	--|----------|-|-|--|
auantlacouenance pour	----|-|--------|---|
afermer lacouenance	------|-|--------|
ilpuetdeman derquesentence	-|---|-----⌫--|--|-------|
soitdoneep orluiparr aisonde	---|----|-⌫-|--|--|-⌫----|-|
lastipulacion.	-|----------||
couantà au cunque ie	-----|-|--⌫--|--|-|
l idouroie c hascunan	-⌫|------|-⌫-----|-|
Ilne les potdeman der par	-|-|--|--|-----⌫--|--|
celecouenancequie stoitn ue	---|--------|--|-⌫----|-⌫-|
Ie les pai ai.	-|--|---⌫-||
anz oupluseursa présne lesuoillp oier.	--|-|-------|-⌫----|-|--|----|-⌫---||
Demande ́ fuàl e mpereor	-------⌫|-|-||-⌫------|
seie suistenudepaierpour ce	-|-|---|---|-|----|----⌫-|
paiéce dontienestoi e	----|-|---|-||-----⌫|
Ditlempere r equestipula cion	--||------⌫-⌫|--|-------⌫---|
Ie n esuitenu z pou rce	-|-⌫|--|----⌫|---⌫--|
q uei é pa iécequeiene	-⌫-||-|--⌫--|-|--|-|-|
Li e mpe rereIustinienditSeaucu nsseob ligepar	-|-⌫---⌫---|--------|--|-|----⌫-|-|--⌫---|--|
char treet	----⌫--|-|
ferede la char trerenoncequil	---|-|-|----⌫--|------|-|-|
nuseranule stipulaci on	|----|---|---------⌫-|
pourcequ ilest	-----|-|-|--|
cheualieroupoura utre	--------|-|---|-⌫---|
dign ite ́ou pourclergie lesanci an sdouterent	----⌫---⌫|-|---|------|--|----⌫--⌫|--------|
couen a nced euoitestregardee o u se il	-----⌫-⌫--|-⌫----|----|-----|-⌫|-|-|
pou roituen irencontr eetengingnierceusquiferoientà lu i	---⌫---|---⌫-|-------⌫|-|---------|---|--|-------|-|--⌫|
marchi ée t	------⌫-|-⌫|
direqu e ilnest tenu	---|--⌫|-||--|---|
derespondrepardeuantceluiiug e po rce	-|--------|--|-----|----|---⌫|--⌫--|
quilestcheualieroucle rc	-|-|--|--------|-|---⌫-|
No s estab lisonquenus ne puisse	--⌫|-----⌫----|--|--|-|-----|
uenir contrecescouuen ance set engingnierce usq ui	----|-----|--|------⌫----⌫|-|---------|--⌫-|-⌫-|
l em archiéàeu s	-⌫|-⌫------|-|--⌫|
Carsenosauons e nleed itdupretor que	--|-|--|----|-⌫|-|--⌫-|-|-----|--|
lesc ouena ncesqui	--|-⌫-----⌫---|--|
sontfetes loia umen tsanz engin	---|----|----⌫----⌫|---|----|
doiuento utreementestre ga rde es pourqoiencest	------|-⌫--------|----|--⌫---⌫-|---|--|-|---|
qu asneuaudront que	--⌫-|-|-------|--|
ruilededroit dit quechascun	----|-|----|--|--|------|
acongiéde renoncierce	|------|-|--------|-|
quepour lui	--|---|--|
fetDon c que s nos uoulons queto uznoziuges gardentce	--|---⌫-⌫---⌫|--|------|--|--⌫-|--|----|------|-|
ente l c aset	-|--⌫|-⌫-|-|
ce meismesgardent	-|------|------|
lesme neursiuges et lesarb is tresetsa chentque	--|--⌫----|----|-|--|---⌫--⌫---|-|--⌫----|--|
se cenestga rdéque	-|-||--|--⌫---|--|
ilfero nt le	-|----⌫-|-|
CistmeismesempereresditLesauocaz deSesaire nosont	---|------|--------|--|--|-----|-|------|--|--|
u netelequestionSe.	-⌫-|---|-------|-||
plusorsont espe rance de ler it ached	------|--|----⌫----|-||--⌫--⌫---||
aucu nlorpar a nt quileur doitescheoir	----⌫|--|---⌫-⌫-|--|---|---|-------|
cilfontcouenan cee nt r a usco m enti l doiuent	--|---|-------⌫-|-⌫--⌫|-⌫-|--⌫-⌫--|-⌫|------|
partir celheritage sile ureschiet ou seà	-----|--|-------|||--⌫-|------|-|-|-|
auc undeu s esc hiet queilgardent	---⌫-||--⌫|---⌫---|--|-|------|
aucunes c ouenances.	------|-⌫--------||
Or esto itladoutesetex cou e nance s	-|----⌫-|-|----|-|--|---⌫-⌫-----⌫|
deuoi ent estre	-----⌫--|----|
gardeesetla doute est o itde ce	------|-|-|----|---⌫-⌫-|-|-|
queenl a uieàceluicuiestoit	--|-|-⌫|--|-|----|--|-----|
le rita cheestoie nt	|-⌫----⌫--|------⌫-|
c e scouenanc e sfete s etporcequen	-⌫-⌫|--------⌫-⌫|----⌫|-|----|--||
estoientm ieeinsi fetescomesefustc erteinechose	-------|-⌫-|----|----|---|-|---|-⌫------|----|
quec el erit achelor deuoit	--|-⌫-|----⌫---|--|-----|
esc hao irmes e stoient fetesdesouz	---⌫---⌫-|--|-⌫------|----|-----|
cond i cc ions ceest se celui	----⌫-⌫--⌫---|-|--|-|----|
muertetsel eri t ache	----|-|-||---⌫-⌫---|
leuresc hie t.	---|---⌫---⌫||
Etcert esdit l emperer etout es	-|----⌫-|--||-------⌫|----⌫-|
cele sc ouenances nossenblentc ontraliousesetdetristefin	----⌫|-⌫--------|--|-------|-⌫-----------|-|-|-----|--|
etdeperill euse ca r pourq ieuresonontfet	-|-|------⌫---|--⌫|---|-⌫--|----|--|--|
nulescouenancessorleritache deceluiqu i est	----|---------|--||-------|-|----|--⌫|--|
u i s sanzson	-⌫-⌫|---|--|
seuD onques nosestab lisso ns selonclesruil esancian esquetout es	--|-⌫-----|--|-----⌫-----⌫-|-----|--|----⌫-|------⌫-|--|----⌫-|
teles couenancesquisontcontreb onesmeurs	----|---------|--|---|-----|-⌫---|----|
soientcassee s etriensne soitgardéces	-----|------⌫|-|----|-|---|-----|--|
cou enances s ec e nes tfetparle	---⌫------|-⌫|-⌫||--⌫|--|--|-|
gréà celuiqui l eritache est etqu	---|-|----|--||-------|--|-|-|
ildurt encele	-|---|-|---|
uolentéiusqu a ̀undar ieni ord esa uie	-------|----|-⌫|-|---⌫--|-⌫-|-⌫|-|--|
c arl orsquant i lle	-⌫-|-⌫--|----|-⌫|-|
fete tsiasenttoutecrue lespe rance est	--|-⌫|||----|----|----⌫|----⌫----|--|
osteeet d oiuent cescoue nances estregar dees.	----|-|-⌫-----|--|----⌫-----|----|---⌫---||
Et ceme i smesestoit esconstitucions asautres emp ereors ia	-|-|--⌫-⌫---|-----|-|------------|-|-----|---⌫-----|-|
qu e nosla ionsp lu s	--⌫|--||-⌫---|-⌫--⌫|
esclarié.	--------||
Etnoscomandons quenul ne p uisse doner ne	-|--|--------|--|--|-|-⌫----|----|-|
uend reneestrangier nul estex	----⌫-|-|---------|---⌫-|--|
chose sauantqu eles soien tesc he etescarla se te de	-----⌫|----|-|---|-----⌫|---⌫--⌫---|--|-|--⌫-|-|
nostrete nsnesuefre ferec ouenancesseurles	-----|--⌫-|-|-----|---|-⌫--------|---|--|
autrui chose ssanz lauolenté	-----|-----⌫|---|-|-------|
à leursegne ur.	-|---|-----⌫-||
Ciparoledespeis qe li plaideeurfont entr	-|-----|--|---|-|-|--------|---|---|
Ciuientuntitrequiparol edesc ouenancesqu i	-|----|-|----|--|-----⌫|--|-⌫--------|--⌫|
sont fet es donant ou pr ome tantaucunesc hose s qu isont	---|---⌫-|-----|-|--⌫---⌫---|------|-⌫----⌫|--⌫|---|
apeleestrans accions	------|-----⌫------|
carletitredesus au oit parlédescouen ancesge neralment	--|-|----|----|--⌫--|-----|--|-----⌫----|--⌫--------|
Dece met ceste prumiereloi tel cas	-|-|--|----|-------|--|--|--|
Unualletquie stoitmeneur d e.	-|-----|--|-⌫----|-----|-⌫||
anznenau oit per e	--|-||--⌫--|---⌫|
curat eurs quifesoient se sbes ongnes.	-----⌫---|--|-------|--⌫|---⌫-----||
Q u an t iluinta ̀ aie ilpleda as.	-⌫-⌫--⌫|-|---|-⌫|--|-|----|-||
deus tant que il	|--|---|--|-|
fist transaccionsà e usqueil li	---|-----------|-|-⌫-|--|-|-|
donerent a ucunechosee t	-------|-⌫----|----|-⌫|
ilse par tideup let.	-|-|---⌫-|--|-⌫--||
Or uoloitilpledi er au ti erz curateur .	-|-----|-|-----⌫-|-|--⌫--|-------||
Cilseuouloitdesfendrepou rce quilauoitaqu ite z	--|-|------|--------|---⌫--|-|-|----|---⌫---⌫|
sescompan gnon s.	--|------⌫----⌫||
dit que i llepuetbien p ledier car	--|--|-⌫|-|---|---|-⌫-----|--|
c ouenancene transacc ionquiest	-⌫-------|-|--------⌫--|--|--|
feteouaucun sdestu teur s ou des curateurs	---|-|-----⌫|--|--⌫----⌫|-|--|--------|
nedo itualoi ra sau tre sen ceq	-|--⌫-|-----⌫|-⌫|--⌫---⌫|-|-||
ilfirentensembleou d epartementouen cequil	-|-----|-------|-|-⌫---------|-|-|-|-|-|
durentf e re	-----|-⌫-⌫-|
quimef e soit qu estiondemon eritagemesele	--|-|-⌫-⌫---|--⌫-----|-|--|------|--|--|
nu ldr oi t.	--⌫|--⌫--⌫||
Ie oipaor si promis àmasuer.	-|-|---|-|-----|-|-|---||
el es e t enistenpés	--⌫|-⌫|-⌫----|-|---|
Ie ne uoloie paiercel ar gent	-|-|-----|----|--|--⌫---|
pourceq uele m auoitàtor tpledié	-----|-⌫|--||----|-|---⌫|------|
meslemper e re ditquece le	--||-----⌫-⌫-|--|--|--⌫-|
pecunequeie pr o mis	-----|--|-|--⌫-⌫--|
fuàdroitpromis sepo ur lapoor	-|-|----|------⌫-|--⌫-|-|---|
d e upletcars eieleussepaieeà	-⌫-⌫|---|--|-⌫|-||----|----|-|
laborsselempere orpartelq au sei e nela	-|-----||------⌫-|--|--|-⌫--⌫-|-⌫|-|-|
pouroi e demanderetsenel e u ssep oie e	------⌫|-------|-|-|-||-⌫-⌫--|-⌫---⌫|
l ame d ema nderoit	-⌫|-|-⌫---⌫------|
Ieestoiem en orde.	-|-----|-⌫--⌫-|-||
an zsioiun curateur.	--⌫|-|-|-|-------||
Quantieui ngàai eiepledaiàl ui	----|-|--⌫-|-|--⌫|-|-----|-|-⌫-|
seurcequilauoit aministreesmeschoses	---|-|-|-|----|----------|--|-----|
domilestoitmes deteurs.	--|-|-----|--|------||
Sifis àluitransaccio nsi lequi taide	-|--|-|--|----------⌫|-|-|---⌫--|-|
cedomilestoit mo n d eteurparaquiliane	-|--|-|-----|--⌫|-⌫----|--|--------|
s tipulaccion quece qu eil me deuoitdela	-⌫----------|--|-|--⌫|-|-|-----|-|-|
