O rentendéz	-⌫|--------|
Hardrésles guielitraïtresp ariurs	-------|--|---|-|--------|-⌫-----|
Ihe sucrisle maudie	---⌫-----|-|-----|
l agait e nuont licheualie r	|----|-⌫|---|-|--------⌫|
P remierement les a ss aillentde rr ier	-⌫----------|--|-⌫--⌫------|--⌫--⌫--|
Etenapre ́z	-|------⌫-|
lorsa illent	--|--⌫-----|
Laueïssiéz unestorconm encier	-|---------|-|----|----⌫-----|
Tant es cuf raindre tante	---|--⌫-|-⌫------|----|
lance brisierLun mo rtsor lautreu e rser	----|------||-|--⌫-|--||----|-⌫-⌫---|
ettrebuchier	-|---------|
Bienl ion tfaitanduilico mpaing chier	---|||--⌫|---|----|-|--⌫-----|----|
Dou zcontesprinren tqui moult fonta prisier	---⌫|-----|-------⌫|--|----|---||------|
Si les on tfaita	-|--|--⌫|---||
Paris enuoie r	----|------⌫|
Cha rle s qui	---⌫---⌫|--|
Fr an ceaabaillier	--⌫--⌫-|||-------|
E nze nsoncuer enfuioia ns	-⌫-|-⌫|--|---|-|-|----⌫-|
Et liduicont es euoldrentrepairier	-|-|--|----⌫|-⌫|-------|--------|
fu et moultpeza n set fiers	-|-|----|----⌫-⌫|-|----|
batailleest	-------|--|
H ardrézrepair iéz	-⌫------|------⌫---|
Deuantluigarde	-----|--|----|
desozuno liuier	----|-|-⌫-----|
Etuoitiesirdouzbaro nsche ual iers	-|---|----|---|----⌫-|---⌫---⌫---|
Mor set ocisasespeesd aciers	---⌫|-|---|-|-----||-----|
Celle partuintsilorc op a	----|---|---|-|--|-⌫--⌫|
les chiés	--|-----|
Silespandia	-|--|----||
sonarso nderr ier	--|----⌫|----⌫--|
seraarriere	---|------|
repairié z	---------⌫|
Siseuant raa ub arnaige	-|-|----⌫-|-⌫|-⌫------|
Moul tplus	----⌫|---|
senf raetorgo illoz	|-|-⌫-|-|----⌫----|
et f i ers	-|-⌫-⌫--|
Deune placeque ui ue unmois	--|-|----|--|--⌫-|-|---|
Sainnesi estou tre naig iéz	-----|-|--|--⌫--|----⌫---|
L i gl ouzp ar lui sep rinst	-⌫|--⌫--|-⌫-|--|-|-⌫----|
m oultaprisier	-⌫---||------|
Et luietsonlyngnaige	-|--|-|--|--------|
Ha r drézamer ue il lespansees	--⌫-⌫----||---⌫--⌫--⌫--|------|
Quides morsh omesalestestescopees	--|--|---|-⌫---||--|-----|-----|
Sil espandi asaselledoree	-|-⌫-|----||-|----|----|
Parisasau oietornee	----||-|-⌫--|-----|
Ilescria lagentenmilapree	-|-----|-|---|---|-|---|
e scria asauoi s	-⌫----||-|---⌫|
qu ilotc lere	-|-|-|-⌫---|
Que dite z uo zs iredro is empereres	--|----⌫|--⌫|-⌫--|---⌫-|--------|
uostreanemi ontwidiélacon tree	-----|----|--|-----|-|---⌫---|
Fuian ts enuont	-----⌫||-|---|
I oi nche rreson tp ass ee	-⌫--⌫----⌫---|--⌫|-⌫---⌫-|
Lisoudoierma ruirentlameslee	-|-------|--⌫|-----|-|-----|
Carm ortisonte l	--|-⌫--||---|-⌫|
fonsd unne ua le e	---||---|--⌫--⌫|
Liroisle nten ts ala	-|---||-⌫----⌫|||-|
coul ormuee	----⌫-|---|
Belyssans est cheüe pasm ee	--------|--|-----|----⌫-|
Hardré entendi rent	------|-------⌫---|
Ch arlereu intdepasm ison	--⌫---|---⌫--|-|----⌫---|
Dexcom regrete	--|--|------|
Am ilelebaronHéd ouz amiscom uoz	--⌫--|-|----|--|-⌫--|---|--|--|
est iéz pr eudo n	---⌫---|--⌫----⌫|
D amm elde xbonne arm eneme	-⌫---⌫----⌫|----|---⌫|-|-|
ifustezmenépartrai ̈so n	|-----|----|--|----⌫---⌫|
Moul t e nmescroi	----⌫|-⌫|------|
Hard r élefelon	----⌫-⌫-|-|----|
Pormon pere destruire	--|--|---|--------|
Nostre emper ereslesa	-----|-----⌫---|--||
oïtancier	--|------|
Cellepartuintnesiuolt	----|---|---|-|||---|
Ma bellefill ecar lais s iéz	-|----|----⌫|--|----⌫-⌫---|
leten cier	-|---⌫---|
Ha rdréqu iestb ons ch eualiers	--⌫----|--⌫|--|-⌫--|--⌫-------|
Enlabatailles estilmou lt bienaidiéz	-|-|-------||--|-|---⌫-|---|------|
Iliamors douz	-|||---|---|
uaill anscheualiers	-----⌫--|---------|
Oroi plait quibiensiet	-|-|----|--|---|---|
Ce meresamble	-|-|-------|
amorsetam i stiéz	----|-|--⌫-⌫-----|
Am isier t moultbons cheual iers	--⌫-|---⌫|----|---|------⌫---|
Amilesuostreconfanon niers	-----|-----|--------⌫----|
Ce poisemoiquant	-|----|--|----|
si poi ont regniéSiluoz plais t s ire	-|--|--|------||-|--|-----⌫|-⌫--|
donné z m oile mestier	------⌫|-⌫-|-|------|
Qu ecilduiconte au oientauant	--⌫|--|--|----|--⌫----|----|
Etd ist li	-|-⌫--|-|
Deg rézet uolentiers	-|-⌫---|-|---------|
Carameillornelep uis ieba illier	--||------|-|-|-⌫--|-|--⌫-----|
P orquoile pr instli c uiuers losengiers	-⌫-|---|-|--⌫---|-|-⌫-----|---------|
uns iors quil	--|---|-|-|
enperdilechief	-|----|-|----|
Carlidui conte repairierentarri er S ont amené	--|-|--|----|-----------|----⌫-||--|-----|
douzb onsch euaxcors iers	---|-⌫--|--⌫---|----⌫---|
Etdouzfra nsc ont e squil	-|---|---⌫-|-⌫---⌫-⌫|-|-|
ont prinset loiéz	--|----|-|-----|
Par lor cheualeries	--|--|----------|
Charleuitlescontesuenir	-----|--|--|-----|----|
Isnellem entencontre	--------⌫--|-------|
lorsaill it	--|-----⌫-|
Seignor dist el lepreuiesteze thardi	------|---|--⌫-|---|-----|-⌫|----|
Ha rdréamé zle cuiuert deputlin	--⌫----|----⌫|-|------|-|--|--|
Etiluoz hetpar foi l euozpleuis	-|-|--|--|--|--|-⌫|--|-----|
moultce sa ic hiézuozdefi	----|-|--⌫--⌫----|--|-|-|
En p oidetermeserézsi anne m i	-|-⌫-|-|----|-----|-|----⌫-⌫|
Dient li con te	----|-|---⌫-|
Nozle sauons	--|-|-----|
uoirledisommez	---|-|-------|
Nostreempereres q u ant uoituen irles	-----|--------|-⌫-⌫--|---|---⌫-|--|
Ligentizrois	-|-----|---|
nenoto n ques	--|-|-⌫-⌫---|
Hardréparir el arraisonne	------|--|--⌫||---------|
Cuiuersdis til	------|---⌫|-|
marlepansas tezonqu es	--|-|------⌫--|----⌫-|
Gloutonstraïtres porq uoip ansaztel honte	-------|--------|--|-⌫--|-⌫----|--|----|
Quidesiiéz	--|-------|
quemortiere ntliconte	--|---|----⌫-|-|----|
Detr aïson	-|--⌫-----|
uoldrai t on corssemond r e	------|-⌫-|---|------⌫-⌫|
Sihautem ent	-|------⌫--|
quelorront t uitmihome	--||-----|-⌫--|-|---|
Tuit cilde	---|--|-|
Fran ce liche ua li e r preudomme	----⌫-|-|---⌫--⌫--⌫-⌫|--------|
Amile sloitdepa rlers abandonne	-----⌫||--|-|--⌫---||--------|
D roisemperer esne	-⌫---|-------⌫-|-|
lemescreézo nques	-|--------|-⌫----|
Hardrél agr antpressede srompre	------|-⌫|--⌫--|-----|--⌫------|
Bris ier salancese s annemisconfon d re	----⌫--|-|----|--⌫|------|------⌫-⌫-|
Hardrézloï	-------||--|
de parle r ne seiorne	-|-----⌫|-|------|
I snelle mentsetraistdeuers lescontes	-⌫------⌫---|-|-----|-----|--|-----|
Seignordistilcorce lé z	------|---|-|--|--⌫---⌫|
ma granth ont e	-|----|-⌫---⌫|
I euozdon raide	-⌫|--|---⌫--|-|
mo n auoir	--⌫|----|
mi l on ces	--⌫|--⌫--|
Lu biasla co rtois elablon deLund euozferai	--⌫---|-|--⌫-----⌫|-|----⌫-||-|-⌫|--|----|
Hardre ́ z	------⌫-⌫|
Sir edro is emperer es	---⌫|---⌫-|-------⌫-|
Am ileunes	--⌫--|---|
ri c hes soudeesCest	--⌫-⌫--|------||--|
Lubi a slafill e demo n frere	----⌫-⌫|-|----⌫|-|--⌫|----|
Qui plusblanche	--|---|------|
estqueserainne	--|--|-------|
Etdistli rois	-|---|-|---|
Buerfustelle o nquesn ee	---|---|---|-⌫----|-⌫-|
Pr ennézla sirericheshom f u ses pere	--⌫-----|-|---|-----|--|-⌫|--|---|
Siredroisempereres	---|----|--------|
Me s compa insla it	--⌫|-----⌫--||-⌫-|
qui plusestconquereres	--|---|--|----------|
E tsifiertmieus doutra nchant de lespee	-⌫|-|----|----|--|---⌫-----|-||----|
Par la rmedem on pere	--||-⌫--|-|-⌫-|---|
Ielapan r aipuisquellem	-|-|---⌫-⌫-|---|-|---||
Iad em oncors neserar efus ee	-|-⌫|-⌫-|---|-|---|-⌫----⌫-|
Liparentloient	-|-----||----|
eno ntm enee	-|-⌫-|-⌫---|
Delaui l le issentpar laporteferree	-|-|--⌫-⌫-|-----|--|-|----|-----|
Passent les ter re set l es a mplescontrees	------|--|---⌫--⌫|-|-⌫-|-⌫----|-------|
Bl aiuies nio nt resnest yree s	--⌫-----|||-⌫-|-----|-⌫----⌫|
Lubiastreuuentsozlepine nlapree	-----|-------|--|-|--|-⌫|-|---|
Isnellementlon t	----------||--⌫|
aumonstiermenee	-|-------|----|
L i gentiz homla iluec	-⌫|-----|--|||----|
Gransnoces	----|----|
firen tlifilas fr anchesmere s	-----⌫|-|--|-|--⌫-----|----⌫|
Amisprinstladamme	---|-----|-|----|
Am isap rinse	--⌫-||-⌫----|
Gr ans nocesfirentia plusgransneuerraz	--⌫--|----|-----|-|---|----|-|-----|
ahie rt etsemontetab at Selle o n ques	----⌫-|-|-----|-|--⌫-||---|-⌫-⌫---|
cu nchie ra	--⌫-----⌫-|
Lesamistiésd	--|--------||
Amil eli to l dra	----⌫|-|--⌫-⌫--|
Dammeldexsei gnorl engardera	--------|---⌫---||-|------|
Carmoultestsaiges con tes	--|----|--|-----|---⌫--|
Lesoirse iutlidus léz samoillier	-|---|-|--|-|--|---|-|-------|
Quant gabéorenteta sséz de litié	----|----|----|-|-⌫----|--⌫-----|
Lamale famel	-|---|---||
enp rinst aarrais nier	-|-⌫----||------⌫---|
Siredistelle moultmenpuismerueillier	---|---|---|----||-|---|----------|
Amile uost recomp aing nonchie r	----|----⌫-|----⌫----⌫--|----⌫|
M ou ltse repantqua ntnem ot	-⌫--⌫-|-|-----|---⌫-|-||-|
Ilmen aciquatremés enuoié	-||-||-|-----|---|------|
ameroitdegre ́z etuole nt iers	------|-|---⌫-|-|----⌫--⌫---|
D amm edistilm alditezet pe chié	-⌫---⌫|---|-|-⌫-|----|-|--⌫----|
Doumeillor homequi	--|------|---|--|
onquesfustsozci el	-----|---|--|--⌫-|
Parcelap ostre con a	--|--|--⌫----||-||
Rommerequiert	----|-------|
Iene laroi eporles membr estranchier	-|-|-----⌫|--|--|-----⌫-|--------|
naillequantili ertesclair ié	|----|----|-|-⌫--|-------⌫--|
Enmac ompai ng ne quat re c enz cheualier	-|-|-⌫-----⌫--⌫-|----⌫-|-⌫--|--------|
lorf oisple uies	--|-⌫--|---⌫---|
C efuenmay	-⌫|-|-|--|
quec hantelacale ndre	--|-⌫----|-|----⌫---|
Li solausluist	-|-----|----|
etli oiseillon	-|-|--------|
Amismontaet milhomes a	---|----|-|--|----||
Ainzne finadesc iquil uinten	---|-|---|----⌫|-|-|---|-|
Iluec trouua	----|-----|
Ami slebaise et	---⌫|-|----|-|
A miles demande	-⌫----|------|
Sirecompains	---|-------|
et quefait uos tre fame	-|--|---|---⌫--|---|
orre ́zaparm ainnes	----⌫-|-----⌫-----|
U nfi l enaiil na	-⌫|--⌫|-|-|-|||
Serui rauozaescuet a lanceSil	-----⌫-|--||---|-||----||-|
uoztorneabesoingne	--|----||--------|
Li compa ingnon en	-|-----⌫-----|-|
Francerassamblerent	-----|------------|
dessoi urentle s	------⌫----|--⌫|
Amile soude es	----|-----⌫-|
Moultlesam a	----|--|--⌫|
Charlesno stre emper ere s	------|--⌫---|-----⌫---⌫|
Amil eeüst bele c h osedonnee	----⌫|----|---|-⌫-⌫--|-----|
M ais ilat ent lann orde	-⌫--|-|--⌫--||---⌫-|-|
ua lsecree	--⌫------|
Godefrois ot s agent	--------|-|-⌫|---|
Unefilleot	--|----|-|
Ch arlesnostre	--⌫----|-----|
emperereCest	-------||--|
Bel yssansla	---⌫-----|-|
b elel annor ee	-⌫--||-----⌫-|
Amile asesamorsdonnees	----||--|----|------|
Puis lidonna	---|-|----|
Cha rles li empereres	---⌫---|-|--------|
Sachiézdeuoirc estcequi li	-------|-|---||--|-|--|-|
uolsis tiafust	------⌫|-|---|
lachos e outree	-|----⌫|-----|
Etfaitelafolie	-|----|-|----|
Pa squ esqueondisten a uril	--⌫---⌫-|--|-|---|-|-⌫---|
Que lioise l chantentcleretseri	--|-|----⌫|-------|---|-|---|
Enunuergi eren tralicuens	-|-|-----⌫-|--⌫--|-|----|
AmisOï la no i sedes oisiaus	---|--|-|--⌫-⌫-|--|------|
Lo rslir amembre auques desonpaïs	--⌫-|-|-⌫------|-----|-|--|----|
Etdesafameet desonpetitf il	-|-|-|---|-|-|--|----|-⌫-|
Tenrementplorequants escompains iuint	--------|----|----|-⌫-|-------||---|
Ouuoi tleconte s i	-|---⌫|-|----|-⌫|
la ara ison mis	|||--⌫---|--|
uo z sire c ompa insg entiz	--⌫|---|-⌫----⌫--|-⌫----|
Sirecompainsieluozaur aii a	---|-------|--|--|---⌫-|-⌫|
Bien a setanspassézet	---||--|--|------|-|
Queieneui ma	--|-|-|-|-|
moillie r nemo n fil	-------⌫|-|--⌫|--|
S eie l os ais sene direne iehir	-⌫|-||--⌫---⌫-|-|---|-|----|
ueoirl alaisseuolenti ersce m	----||------|-------⌫--|-||
Lematin pa rsoml a ube	-|----|--⌫|--||-⌫--|
Sirecompainsdist	---|-------|---|
Amil esl iber	----⌫-|-⌫|--|
Ilestb i e ndroisparsa intechar i te ́	-|--|-⌫-⌫-⌫|----|--|--⌫---|----⌫-⌫--⌫|
Q uesaillis siézueoi r	-⌫--|------⌫----|----⌫|
e tesgarder	-⌫|-------|
moillie rdoitonbien honor er	-------⌫|---|-|---|-----⌫-|
M ais u ne chose uoz uoil dire et	-⌫--|-⌫-|----|--|---|---|-|
Si re compainsque uoznemoublié z	--⌫-|-------|--|--|-||-------⌫|
Etdistlicuens	-|---|-|----|
Po r noi ent enparl éz	--⌫|---⌫--|-|----⌫--|
Ieuozpleuisles	-|--|-----|--|
moiesloiautéz	----|--------|
Lano stre a i ̈detoutmon	-|--⌫---|-⌫-⌫--|---|--|
ui ua nt auréz	--⌫--⌫-|-----|
M aisun echoseuozuoi lie b ien	-⌫--|--⌫|----|--|---⌫|-|-⌫--|
mons tr er	----⌫--⌫-|
preingn iézcompaingn iea	-------⌫---|---------⌫-||
Tostu o z auroit soudu itetench ante ́	---|-⌫-⌫|-----|-----⌫-|-|----⌫----⌫|
E ttelhonta igeettel blasmeal eué	-⌫|--|-----⌫--|-|--|-----|--⌫---|
Quen eseroitanulior ame ndé	--|-⌫|-----||--|--|---⌫---|
uoz chaut a am er	--|----||--⌫-|
Neemb racie rses	-|---⌫-----⌫|--|
sescostéz	--|------|
Carpu isquefame fai thomea cuuerter	--|--⌫-|--|---|---⌫|---|-⌫-------|
E tpereetmere lifa itentrou blier	-⌫|---|-|---|-|--⌫-|---|--⌫----|
Co uzinset	--⌫----|-|
freresetsesami scharn éz	-----|-|--|---⌫|-----⌫--|
Del ag ourpille	-|-⌫|-⌫-------|
uozdoit b ienrame mbrer	--|---|-⌫--|----⌫----|
Quis iet sozl	--|-⌫--|--||
aubre etweultamon thap er	----|-|----|----⌫|---⌫-|
uoitl esceliseset le	---|-⌫-|------|-|-|
fruitmeu ̈ rer	----|---⌫-⌫--|
quell en ipuet	-|---⌫|||---|
S icomuoz conmandé z	-⌫|--|--|---------⌫|
Maisencorproi	---|----|---|
Deudema iestéz	--|-|--⌫------|
Sirecompainsqueuoz ne	---|-------|--|--|-|
Tant entendire nt li duiconte auparler	---|---------⌫-|-|--|----|-|-----|
uespresapro che	------|----⌫--|
lis olau sd utclin er	-|-⌫----⌫|-⌫-|----⌫-|
I l uontauroi porcon g ié	-⌫|---|-|--|--|---⌫-⌫--|
No streemperer es l oramoulttostdonn é	--⌫---|-------⌫-|-⌫-||----|---|----⌫-|
M ontentes selle sdesdestri ers	-⌫-----|-|-----⌫|--|------⌫--|
se iornéz	--⌫------|
Parmilaporteissent de	----|-|----|-----|-|
Amiles lesconuoia asséz	-----|--|------|-----|
Une g r a nt	--|-⌫-⌫-⌫-|
li eue p uissenest	--⌫--|-⌫--||-|--|
Maisainzse fure nt baisié	---|---|-|----⌫-|------|
Plorant sede partirent	------|-|--⌫--------|
Amis li corto iset li fiers	---|-|-----⌫-|-|-|----|
Amilesest a	-----|--||
Pa r is repairiéz	--⌫-⌫-|---------|
e nentrali	-⌫|----|-|
b er enunuergier	-⌫-|-|-|------|
A u dos le	-⌫|--|-|
Hardrézlilosengiers	-------|-|---------|
Amilecou zinbonscheualiers	----|---⌫--|---|---------|
Moultmaimme	----||----|
Charlesie sui	------|-|--|
ses conseillier s	--|-----------⌫|
Et sideparzl auoirassoudoiers	-|-|-----||----|-|--------|
Cilcuiieuoilemporte bonlo ier	--|--|-|---|------|--|--⌫--|
Compaingseronssires elotroiéz	-------|-----|---|-⌫||-------|
Etdistl icuen s	-|---|-⌫|----⌫|
Defolieplai di e ́z	-|----|----⌫--⌫-⌫-|
Mon compaingnonlep leuigelau trier	--|----------|-|-⌫---|-||--⌫----|
Q uacompaingnie naurai	-⌫||----------||----|
home sozci el	---|--|--⌫-|
Hard rézli	----⌫---|-|
lo sengiers	--⌫-------|
uozm e uoldroieaco intier	--|-⌫|-------|---⌫-----|
Et le païs e tl a terre	-|-|----|-⌫|-⌫|----|
enseingnier	----------|
Etdistlicuens	-|---|-|----|
Ielotroip armo nchief	-||----|-⌫-|--⌫|----|
Ilfistfolie ianeluozqu ierno ie r	-|---|----|-|--|--|--⌫--|--⌫--⌫|
Puisfut elehorequ an d ut	---|-|-⌫--|---|-|-|-⌫-|
perdr elechief	-----⌫|-|----|
Par pezant auenture	--|-----|-------|
Amile sfu moultg entizet be r	-----⌫|-|----|-⌫----|-|--⌫|
Sil sepoïst d e	|-|-|-----|-⌫|
Hardrédeliurer	------|-------|
Belys sa nta uuiscler	-----⌫--⌫-|-⌫|--|---|
Toutenp loran tuintauconteparler	---|-|-⌫-----⌫|---|-|----|-----|
Belementlarraisonne	-------||---------|
Amiled ist la franchemesc hinne	----|-⌫--|-|------|----⌫----|
autreiormonse ruice	----|--|--|--⌫----|
Dedensma chambreenpu re mac hemise	-----|-|------|-|--⌫-|-|-⌫-----|
seüstezdem	-------|-||
amor escondire	---|--------|
Hardré n el	------|-⌫-|
feïstezuozm ie	-------|--|-⌫-|
Qui tantest	--|---|--|
fele t cr ueulsettraïtres	--|-⌫|--⌫----|-|--------|
Acopdespee ain que snefistmalic e	|--||----|---⌫---⌫|-|---|-----⌫|
P lusdemilho mes	-⌫--|-|--|--⌫--|
atolues l esuie s	|-----|-⌫-|---⌫|
Cedis tlicuens	-|---⌫|-|----|
Neuoz poistdoucea mie	-|--|----|----|-⌫--|
Dex aucuer enaigranti re	--|-|---|-|-|----|-⌫-|
Maisien en pui splu s	---|-||-|---⌫|---⌫|
Amilesaualeledonio n	-----|----|-|-----⌫|
Deuant luiuintl af illeau roi	-----|--|---|-⌫|-⌫---|-|--|
Bien fuuestu edun hermin p elison	---|-|-----⌫||-|-----|-⌫-----|
desore dunu ermoi lsyg lat on	-----||-|-⌫-----⌫|---⌫---⌫-|
Ouuoitle contes il amis a	-|---|-|----|-⌫|||--||
Siredistelleien aimme	---|---|---|-||----|
se uoz non	-|--|--|
Enuostre litu ne nuit	-|-----|--|-⌫-|---|
Trestoutmon corsuozmetraiabandon	-------|--|---|--|-----||-----|
Dist li cue ns	---|-|---⌫-|
D ammeci agra nt mesprison	-⌫---|-||---⌫-|--------|
Iauozdemande	-|--|------|
liforsroisd	-|---|---||
Girarslifiuls	-----|-|----|
Qu ima inneanostplus	--⌫|--⌫---|-|--|---|
de m il compaingnons	-|-⌫-|-----------|
Nelespanriézportout	-|--|-------|--|---|
lordecestmont	|-|-|---|---|
Etmoi uolézqu inai	-|--|-----|--⌫||-|
Ne borcneuillene	-|---|-|----|-|
chastelne donion	------|-|-----|
ui monfe une	-|--|--⌫|-|
Ienelferoieportoutl	-|--|-----|--|---||
or decestmont	-|-|---|---|
Maisi e s er ai mad ammeliu ostrehom	---|-⌫|-⌫--⌫-|-|-⌫---|-|-⌫----|--|
Se ru irai uoz afo r ceet	--⌫--⌫---|--||--⌫-⌫-|-|
Carcedoiiebienfaire	--|-|--|-|---|----|
Amilese tla fi lleau	-----|-⌫|-|--⌫--|-|
P armautale ntdil uecendr oitdepartent	-⌫-|-------⌫-||--⌫--|----⌫--|--------|
Puisenmont a rent	---|-|----⌫-⌫---|
toz lesdegr éz	--|--|----⌫--|
Li c uen s	-|-⌫---⌫|
Amilesiutla nuitenlasa le	-----|--|-|---|-|-|--⌫-|
En ungr a ntlita crist ale t a	-|-|--⌫-⌫-|--||-----⌫-|-⌫||
Deu ant le c onteart uns granschandel abres	---⌫--|-|-⌫---|--|--|----|-------⌫----|
