apr esde ceque sainz	---⌫-|-|-|--|----|
co nsoil de guenelonperdoe snuiz et	--⌫----|-|-------|--|---⌫|---|-|
et firent doespartiesl	-|-----|---|------||
unedeyyet l autre de	--|-|-|-||----|-|
etcelequie st oitdeyyencom ancaicorresusas	-|---|--|-⌫--⌫--|-|-|-----⌫----|----|--|-|
nostresperda rrierset li	------|--|--⌫-----|-|-|
nostre setornerenttant oste ncontreet	-----|-|--------|----⌫--|-⌫------|-|
combatirentetsecomabat i rent deslema tiniusq ue	----------|-|-|-------⌫-⌫---|--|-|--⌫--|----⌫-|
a tiercee t occirren t	|-----|-⌫|--------⌫|
toz lesyy sa rraz ins.	--|--|-|--⌫----⌫--||
etliaut re yysar razincorrurent sus les	-|-|---⌫-|-|---⌫----|--------|--|--|
nostr esquiest oient lasséet	-----⌫-|--|---⌫----|-----|-|
quass éetles oc cirrenttoz .	-----⌫-|-|--|--⌫------|--||
liunsestoienttresparciédelancesl i	-|--|-------|----------|-|-----|-⌫|
autredecoll édeasp e esli autre tuédecuigniesli	----|------⌫-|-|---⌫-⌫-|-|----|---|-|-------|-|
a utretres percié	-⌫---|----⌫------|
d esa a teset de	-⌫|--⌫-⌫--|-|-|
iauellozliautreoccisdebastons etde	-------|-|----|----|-|------|-|-|
perchesliautre tui tuifescorc hiéde	------|-|----|---⌫|--|------⌫---|-|
cou teausli	---⌫----|-|
autre sarsen	-----⌫|--|-|
autre panduasarbresf uerqueroola nzbauduinse t turpins	----|----|-|-----|-⌫--|--|-----⌫-|-------|-⌫|------|
et gane lons et	-|----⌫---|-|
b auduinsettye rrissan foirentet	-⌫------|-|---⌫---||-|------|-|
s e e scondire n tasbois	-⌫|-⌫--------⌫-⌫|-|---|
et ausi ceschaperent.	-|----⌫|----------||
etli sarrazinseretr airentarriers une	-|-|-------|-|----⌫-----|------|--|
etcipueton dema nderp o rquoi nostresire s	-|-|---|-|----⌫---|-⌫-⌫|---|-----|----⌫|
soffraamorir ceus quin auoient	-----||----|---|--||------|
atochié les fammes .	-------|--|-----||
porcep erauant urequil	--|-|-⌫-|-----⌫--|-|-|
neuolo itpasquilrepairassient en	-|----⌫-|--|-|-|------------|-|
lorpaise tench aissiente nplusgrant	--|---|-⌫|----⌫-------|-⌫|---|----|
mesfaitmaslor uosi tenqui randre	------|--|--|----⌫|----|-----|
per passionlaco ronedou	--|------|-|--⌫---|--|
reiaumedes ciels.	------|--|----||
etcesqu ieurent atoichiéle sfammesperfornicatio nsoffra i	-|--|--⌫|-----|--------|--⌫|-----|--|----------⌫|------⌫|
aenc orre la mort quaril	|---⌫---|-|---|---|-|
uo sitaff a cier lorpechi ezper la passionde gl a iue	--⌫--|---⌫-⌫---|--|-----⌫-|--|-|------|-|--⌫-⌫--|
et se nest pasdecroirequeli debonaires	-|-||--|--|-|-----|--|-|---------|
dexnaituo lureguier doner	--||--|--⌫-|-------⌫----|
lesla bors trespasséseceusquienla	--|--⌫---|----------||---|--|-|-|
finontreclamé so nnunetconf essélor pe chiez.	--|--|-------|--⌫|--|-|----⌫----|--|--⌫----||
iasace qu ilaie ntpechiésontilmo rt	-|-|-|-|-|---⌫-|------|---|-|--⌫-|
en l afi np o rlenunihesu cr it.	-|-⌫|--⌫|-⌫-⌫|-|--|----|--⌫-||
por quoiil apert	--|---|-|----|
cum ma u uaisseestcompaig niede	--|--⌫-⌫-----|--|-------⌫--|-|
fam mesaceus qu iseuoi llen tcombatre.	---⌫--||---|--⌫|-|---⌫----⌫|-------||
dair es etantuinesmonerentauec auslorfamme s	----⌫-|-|-------|-------|---|--|--|-----⌫|
enbataillee t ambe duifurent	-|-------|-⌫|----⌫--|-----|
alixandressormontai daire etocto uiensaugus tes	---------|--------|----|-|----⌫----|-----⌫--|
por quoienbatai llened oitauoirfamm e	--|---|-|-----⌫--|-|-⌫--|----|----⌫|
estl iemp achemanzde larm eetdoucors .	--|-⌫|---⌫-------|-||---⌫|-|--|---||
perces quise eniurere ntet firent	--|--|--|-|--------⌫-|-|-----|
fornicationsontsignifie ́liprouo ire etli	----------|---|--------⌫|-|-----⌫--|-|-|
relligious home	---------|---|
quise comba te ntcontreles ui ce sas quexil n e	--|-|-----⌫--⌫-|-----|--|--⌫--⌫|-|---|-|-⌫|
eni urerneestreordoii erde	---⌫---|-|----|------⌫-|-|
que lc hose s	---⌫|-⌫---||
ilfaient bi ensaichentquel or	-|-----|--⌫-|-------|--|-⌫-|
enemicestlidyablelessoremo nt erontet simorron t	----||--|-|-----|--|------⌫--⌫----|-|-|------⌫|
d eperpetuel m ort.	-⌫|--------|-⌫--||
labatailleperfaitecumroolanzretornastsouzporen cerchier	-|-------|-------|--|------|--------|---|--|--⌫-------|
lespaienset il fus t encorresloinzdelor il	--|-----|-|-|---⌫|-------|----|-|--|-|
tro ua unsar ra zin noirquachié ou bois le q uelil	---⌫-|-|---⌫--⌫--|---|-------|-|---|-|-⌫--|-|
a staichaa z zar breayy	-⌫------||-⌫|--⌫--||-|
rortesetp uismontai ou mont	-----|-|-⌫--|-----|-|---|
et encerchelassarrazinsetuit qu ilestoientet	-|-------|--|--------|-|--|-|-|-------|-|
s anretornaiala	|-|-------||-|
uoie deronceuas perou aleuent cilqui u oloi ent	---|-|-------|--|-|------|--|--|-⌫----⌫--|
passerl esp ors .	-----|-⌫-|-⌫--||
adonquespr i st soncor	-------|--⌫-⌫-|--|--|
d iuoireetco mancai a cornereta	|-----|-|--⌫-----||-----|-||
celeu oizre pairerentalui	---|-⌫--|--⌫--------||--|
deuiro nyycrestiens	------⌫|-|--------|
e tsanalaiarriers	-⌫||-|---|------|
roolanz atotces enl a monta igne p erlesbois	------|---|--|-|-⌫|-----⌫---|-⌫-|--|---|
iusqu eiluint a	-----⌫|-|---||
sa rrazinqu il auoi t atas chié	--⌫-----|-|-|----⌫|----⌫----|
ettrahitl es peesorlui	-|-----||--⌫--|--|--|
dits etu uie nsauec moi	--|-⌫|-|---⌫-|---|--|
etmemos tr esm ars ille	-|-|---⌫--⌫-|-⌫---⌫---|
i ete lass eraia scha p eruif	-⌫|-|----⌫---|-⌫----⌫-⌫-|--|
ie teoccirrai	-|-|-------|
quarencor ne conoissoitroolanzmersille	---|----|-|---------|------|-------|
etmainte nantlisa rrazins	-|------⌫---|-|--⌫------|
alaiauec lui e t	---|---|--|-⌫|
limo strama rsil l eentreles	-|--⌫---|--⌫----⌫-⌫|----|--|
aut res susuncheual ros e tqui auoit	---⌫--|--|-|-----|--|-⌫|--|----|
un esculr oont.	-|----|-⌫---||
eta donques roo lanzfu pluscor eiieus	-|-⌫------|---⌫---|-|---|---⌫-----|
abatailleet r eprist forceet se feritmaintenant as	|-------|-|-⌫-----|----|-|-|----|---------|-|
sarr azinse nsamblecesquilauoit aueclui	----⌫----|-⌫------|--|-|-|----|---|--|
et anuitunq u i es toi tliplus	-|-|--|-|-⌫-⌫|--⌫---⌫|-|---|
granzdesautre setle fandit	----|--|-----⌫|-|-|-----|
des espee perl emileu	-||----|--|-⌫|----|
et sonc heualentel meniere	-|--|-⌫----|-|--|------|
que liunedesparties	--|-|--|--|------|
trabuchad une	-------||--|
partaterr e et l i	---||----⌫|-|-⌫|
autre dautrep art	----||----|-⌫--|
et qua ntl isarrazinc euirenti l lesserent marsille a tot	-|---⌫-|-⌫|-------|-⌫|-----|-⌫|--------|-------|-⌫--|
petitde sesgenz ets	----|-|--|---|-||
an f oirent .	-|-⌫-----||
maintenant roolanzsefer it en l otdess arrazins	---------|------|-|---⌫-|-||-|--|-⌫-------|
e ta nabatit	-⌫|-⌫|-----|
tantadextree tasen estrequ il	---||-----|-⌫||---⌫----|-|-|
conseg uimars ille quis anfuoit	------⌫-|----⌫---|--||-|----|
etl occitperla puisance	-||----|--|-|-------|
dede uentreles autres .	-|--⌫|----|--|-----||
fure nt tuit mortcil	----⌫-|---|---|--|
quiestoi ent	--|-----⌫--|
ue nu auecroolant.	--⌫-|---|------||
etroolanzfu feruzdeyylancesetgri emantquassez	-|------|-|----|-|-|-----|-|---⌫----|------|
depi erressan	-|--⌫----||-|
main tena ntquebelig anzsut l amort demars illesisan	----⌫----⌫----|-----⌫--|--|-⌫|---|-|----⌫---|-||-|
f o itmaint ena nt.	-⌫-⌫-|-----⌫---⌫-||
tyerrizetbaldui ns	------|-|------⌫-|
sat apissoient asboise t liautre trespasseuent	|--⌫---------|-|---|-⌫|-|----|------------|
les por s .	--|---⌫||
etcharlesestoitiemontez enlau tdes monz	-|------|-----|-|-----|-||--⌫|--|---|
sauoitriens dece st f ait.	-----|----|-|--⌫-|-⌫--||
qui dol anz es toitd eloc cisionde	--|---⌫--|--⌫---|-⌫||--⌫-----|-|
tanzde cres tie nsetq uiestoit	---|-|----⌫---⌫-|-|-⌫-|-----|
doillanzdesgranz cops	-------|--|----|---|
au oitd oné	--⌫--|-⌫---|
etq uilau oi tr ecehuzsa nalai to z souls	-|-⌫|-|--⌫--⌫|-⌫-----||-⌫|---|--⌫|----|
pe r les boisiusqu eapiezde s	--⌫|--|---|-----⌫||---|--⌫|
po rsdecisarr e etenq u idescen didesouzu n arbreou	--⌫-|-|------⌫|-|---⌫-⌫|------⌫-|-----|-⌫|----|-|
auoitunepierredema rb reto te droi te	----|--|-----|-|--⌫--⌫-|--⌫-|----⌫-|
selon c runceuas.	-----⌫|-------||
etencor auoiti lsespeeauecl uibieno uree	-|----|----|-⌫||----|---|-⌫-|---|-⌫---|
a laquelenulen estoit compare efors san z	|-|----|---||-----|-------⌫|---|---⌫|
f lenchir resplandissan tper	-⌫------|-------------⌫|--|
grantclarte quia uoi tnun durand artqui u atat ant a	----|-----|--|-⌫---⌫|--|------⌫--|--|-⌫-|--⌫--||
d ire comedu rcolandone quarplus tot de faud ra	-⌫--|---|--⌫|--|-|---|---|---|--|--⌫----⌫-|
li br az quel iespe e	-|--⌫-|--|-⌫|----⌫|
liqu exlatrait	-|--⌫-|-|----|
etq uantillostasgardeesi	-|-⌫---|-||--|-------|-|
co mancaaploreretditotutres	--⌫----||-----|-|--||-|---|
bel ees peeades lu issan zdebel gr ant	---⌫|--⌫--|---|--⌫-----⌫|-|--|--⌫--|
et deaueignan t	-|-|--------⌫|
largetres fermedefo rcepomelee de b la ncy uo ire a	----|---|----|-|--⌫--|------|-|-⌫--⌫-|-⌫--⌫--||
croizd orresplandissanzetperde susdor ee	----||-|-------------|-|--|--⌫--|---⌫-|
emb el ie depom e	---⌫--⌫-|-|---⌫|
de be rilentoiestentailliez	-|--⌫--|-|--|--|---------|
ligranznu ns	-|----|--⌫-|
nostreseigno rper	-----|------⌫|--|
d euersla pa inter iche	-⌫----|-|--⌫---|-⌫---|
perlauertudiuinequius era	--|-|----|-----|--|--⌫--|
plusdetaforce	---|-|-|----|
possess i on s erastu	-------⌫-⌫-|-⌫---|-|
tanraet quiteaurai	----|-|--|-|----|
cilq uiteaura ien	--|-⌫-|-|----⌫|-|
sa possession	-|---------|
neserai ua inquznen	-|----|--⌫----|--|
ilne seraespeon tezperfor cedeses enemi sil	-|-|---|------⌫--|--|---⌫-|-|--|-----⌫|-|
naurai paorde fantos me	|----|---|-|------⌫-|
mas aura t oz	--|---|-⌫-|
iorslaide d e	---||---|-⌫|
s anserat oziorsen ui ronez .	|-|---|-⌫-|---|--⌫--⌫----||
pertoisontde struitlis arrazin	--|--|---|--⌫-----|-|-⌫------|
mescreant u aincu	--------|-⌫----|
e tliloiscrest ien e es saucie	-⌫|-|---|-----⌫---⌫|--⌫-----|
lilo sdedeue t	-|--⌫|-|--|-⌫|
ligloireetbone renummeeacq uise.	-|-----|-|---|-------|---⌫---||
oquan tesfo iz iaiuangi éla	|----⌫--|--⌫-||-|-----⌫-|-|
mort no s treseignor pertoieta iocci s	---|--⌫-⌫--|------|--|--|-|-⌫|----⌫|
lesenemisih esu crit	--|-----|--⌫--|---|
quantsarrazins iaidetoi	----|--------||-|-|--|
decopezetquanz	------|-|----|
iueife tquanz m es cre an	----|-⌫|----|-⌫--⌫---⌫-|
aii e pertoid est r uit	-|-⌫|--|--|-⌫---⌫-⌫--|
por les saucemantd e la	--||--⌫--------|-⌫|-|
pe rtoiestaempliela iusticede deu	--⌫|--|--|------|-|------|-|--|
et p iez e tmainstranchiéde larrons	-|-⌫--|-⌫|----|--------|-|------|
pertante sfoi	--|-----⌫|--|
cu m ianaioccisiueif	--⌫||-|-|----|----|
mescreantousarrazin	--------|-|-------|
per tante s	--|-----⌫|
foiza usicumiecroiai	---|-⌫--|--|-|---|-|
ie uangiélesanc ihes ucr it.	-|------|-|---|----⌫|--⌫-||
otu esp eebieneur eeacuio n quessamblanzne	|-|---⌫-|-------⌫-||--|-⌫-⌫---|-------|-|
fuiemaisneserai.	-|-----|-|----||
cilqu it efaor iainedeuanttoi	--|--⌫|-⌫|----⌫--|-|-----|--|
neapr esn efistla s amblant.	-|---⌫-|-⌫|---|-|-⌫------||
qui detoifuferuzilne	--|-|--|-|----|-|-|
potpuisuiure .	--|---|----||
semauaischeualiersouquoarssesarra zi ns	-|-----|---------|-|-----|-|-----⌫--⌫-|
o umescreanzte a urai ieman duilmu lt.	-⌫|--------|-|-⌫---|-||-|---|--⌫-||
ceschoses d itesil dotanzquelle nechait	--|-----|-⌫---|-|-----|-|---|-|----|
enmains desa rrazinsferittrois cops	-|----|-|--⌫------|----|----|---|
so rleper ronde marbre	--⌫|-|---⌫--|-|-----|
quil lau oloitbrisiere nt el	-|-|-|-⌫----|------|-⌫|-⌫-|
meniere quelapierrefan di permi	------|--|-|-----|---⌫-|----|
desdesusiu sque des ouzsan z	--|----|--⌫---|---⌫--|---⌫|
empirema ntde	--------⌫-|-|
cicornaroolanz	-|----|------|
porra uieraluic es	--|--⌫---||--|-⌫-|
quis estoien t	--||-------⌫|
escondu asboi spo rlapaordessar razin s	------|-|---⌫|--⌫|-|---|--|---⌫-----⌫|
que cilqu i estoie ntie p as sez les mo nz r epa iressient	--|--|--⌫|------⌫-|-|-⌫--⌫--|--|--⌫-|-⌫---⌫--------|
etpuissentes treasamorte tquil	-|-------|--⌫--||-|---|-⌫|-|-|
prissientse spe e etsonche ualetseg uessie ntlessa rrazi ns	--------||-⌫---⌫|-|--|---⌫--|-|---⌫------⌫-|--|--⌫-----⌫-|
adonquescorna i lsi fortquese	-------|----|-⌫|-|---|--|-|
c orsfa nd i	-⌫--|--⌫--⌫|
pe r lemoitantetle suaines	--⌫|-|------|-|--⌫|-----|
de soncolet li nerffurentrot	-|--|--|-|-|---|-----|--|
etcumotoi lesondou	-|--|-|-|-|--|--|
corquiesto it	--|--|----⌫-|
b ien loinz	-⌫--|----|
deluiperyymill es i l	-|--|--|-|----⌫-|-⌫|
uosit retorner .	----|-------||
masg ane l onsquiotfaite la traisonli dit qu	--|-⌫---⌫-⌫--|--|-|----|-|------|-|--|-|
ilneretorn as tpas arrie rs quar roolan z	-|-|------⌫--⌫|--|-----⌫-|---|------⌫|
suet bien quorner	---|---|------|
por poude chose .	--|--|-|----||
saic hesquinaipa smetierdet	----⌫--|-|||-|--⌫|-----|-||
aid e masch aceorunebest esauaige perlesbo is	---⌫|--|--⌫--|-|--|----⌫|------|--|--|--⌫-|
enco rnant	-|--⌫----|
caiet la i.	--|-|--⌫||
etcumroolanz	-|--|------|
gisetsuslerbeetil de sirrasta boi reba uduin	----|--||---|-|-|--⌫------||---⌫-|--⌫----|
isoruien .	|------||
etcil q ui plusn e po oitparlerlim ostraper	-|--|-⌫-|---|-⌫|--⌫--|-----|-|-⌫----|--|
s igne qu illi	-⌫---|-|-|-|
donast abo ire .	-----||--⌫--||
baud ui n sn epeust tr oueraigue	----⌫--⌫-⌫|-⌫|----|--⌫---|----|
quilli donastet il	-|-|-|-----|-|-|
leueistp resdelamortsile	-|----|-⌫--|-|-|---|-|-|
s oignaettantost	-⌫----|-|------|
ilmonta sus le c heual r o olant et	-|----|--|-|-⌫----|-⌫-⌫----|-|
alai apres charle.	---|----|-----||
etquantcilsanaletet	-|----|--||-|---|-|
uientetd emen ai	----|-|-⌫----⌫-|
gr antdolor sor celui etlid istqu il	--⌫--|----|--|----|-|-|-⌫--|-|-|
seconfessast.	-|---------||
mascost u meestoit que	--|----⌫-⌫-|-----|--|
licombateorseconfessientet comuniass ient auantqu	-|--------|-|----------|-|---------⌫---|------|
ilalassient en bataille.	-|--------|-|-------||
adonquesroo lanzco ma ncaiarega rderoucielet dit	-------|---⌫---|--⌫--⌫---||----⌫---|-|---|-|--|
ihesucr iz porlacuifoi iail assié	----|--⌫-|--|-|--|--||-|-⌫-----|
monpais et	--|---|-|
suisuen uzences saua ig escontrees poressauc ie rs ain tecrestiante	---|---⌫-|-|--|----⌫--⌫-|-------|--|------⌫--⌫|-⌫---⌫-|---------|
et ai uai nc u pe r t aidemaintes	-|-|---⌫--⌫|--⌫||---|------|
batail lesdemescreanzetai	------⌫--|-|--------|-|-|
sofertmaintestampl eestrabuch es	-----|------|-----⌫--|-------⌫-|
plaie s rapruichesi rrisions lassetezet	-----⌫|---------|-⌫-------|-------|-|
ch alorsfroit fainsoi angoissesie	--⌫----|----|---|--|--------|-|
tecoman tencestehorem	-|-----⌫|-|----|---||
et ausicum t udoignas	-|---|--|-⌫|------|
naistrepor	------|--|
moi morir seuelir et resuscitez atier	--|----|------|-|---------||---|
iorlesc ie lsquelapresancedeta	--|--|-⌫--⌫-|--|-|-------|-|-|
deit enauoitonqueslassiétu uo illas	----⌫||----|-----|------|-|--⌫----|
monterausituuoille	-----|---|-|-----|
deliurermarme delamortperd urable.	-------||---|-|-|---|----⌫-----||
etmera nconf esatoide mespechiez	-|-|--⌫|----⌫-||--|-|--|------|
porcequetuqu iesdebonai respe rd on erres	--|-|--|-|--⌫|-|-------⌫--|--⌫--⌫--⌫----|
de pechiez et es pi di ede toz e tn e	-|------|-|-|--⌫--⌫|-|--|-⌫|-⌫|
esnul hai ld e cesquetuesfaiz	-|--|---⌫|-⌫|--|--|-|-|---|
et dissimuleslespechie zdes	-|---------|--|------⌫|--|
homes perpen itance	----|--|---⌫-----|
quiperdonestozlespe chies as ue rax c onfes et	--|-------|--|--|--⌫----|-|--⌫--|-⌫----|-|
re pentanz etlesm ezen	--⌫------|-|--|-⌫-|-|
obliancepe rpetual	-------|--⌫------|
quia s parmas	--|-⌫-⌫-----|
as n in iuiensetperdonasala famme	-|-⌫--⌫-----|-|-------||-|----|
quifupriseena squocerieetperdonasala ma gzeleine	--|-|----|-|-⌫--------|-|-------||-|--⌫-------|
et asa int pereplor ant etalar ron	-||--⌫--|---|----⌫--|-||---⌫--|
co nfessantaourislaported epa redis ieteprisire	--⌫-------|-----|-|----|-⌫|--⌫----|-|-|--|---|
meperdonoi e sm es	-|--------⌫-⌫|-⌫-|
m esf aiz.	-⌫---⌫--||
pe r donemoiquamqu e	--⌫-⌫---|--|------⌫|
iaien toipechiéet recoi m a rme	|-|-|--|------|-|----||-⌫--|
qu ar tu es cil	--⌫-|-|-|--|
ac uine perissentp as	|-⌫-|-|--------|-⌫-|
le corsen m oran tmas	-|---|-|-⌫----⌫|--|
sontmu e ́	---|--⌫-⌫|
enmiez quifa is uiurelarmed eseu r eedoucors	-|---|--|--⌫-|----||---|-⌫----⌫-⌫-|--|---|
perm eillor uieetquidisasiene uoil	--|-⌫-----|--|-|--|----|-|-|---|
mo rtdou pacheormasl a	--⌫-|--|------|--|-⌫|
iecro i sire iecroie tconf essoi de	-|---⌫|---|-|---|-⌫|----⌫----|-|
b oiche que p o r	-⌫----|--|-⌫-⌫|
ceprans tumarmequetu lafacesuiure	-|----|-||---|--|-|-|----|----|
per melloruie.	--|-----|--||
et ausicumtyerriz l etesmoigneil	-|---|--|------|-⌫|--------|-|
ten oi t la pel	---⌫--⌫|-|--|
et lach e r	-|-|--⌫-⌫|
deuiron so npizet	------|--⌫|--|-|
disoitenplorantsire dexihesu	-----|-|------|---|--|----|
crizfiz delauiergemarie	---|--|-|-|-----|----|
ie t e confessoietcro i quetu e s	-|-⌫|--------|-|---⌫|--|-|-⌫|
cilquim es rec heté eta	--|--||-|---⌫----|-||
derrier iorie releuerai etenceste	------|--|-|--------|-|-|----|
charteue rrai .	---|-|--⌫---||
etce ditpertrois foiz .	-|-|--|--|----|---||
samaina sese auz	-|---||--|-⌫--|
etditausipertroisfoi zet	-|--|---|--|----|---⌫|-|
regard eron t.	------⌫----⌫||
leuaseseau za	---|--|---⌫||
c ieletsoigna toz	-⌫--|-|-----|--|
sesmambres	--|------|
et ditieuoicequ e eauz	-|--|-|--|-|--⌫|---|
neuitneoreill eoit	-|--|-|------⌫|--|
n ec uers nepansa qued e x aiappar a illiéaceus	-⌫|-⌫---|-|----|--|-⌫-⌫|-|-----⌫-⌫-----||---|
qu ilaim eetquil	-|-|---⌫|-|--||
apres l euasesm ainsuerleciel	----|-⌫--|--|-⌫---|--|-|---|
quiestoien tmort encele batailleetditsired ex	--|-------⌫|---|-|---|-------|-|--|---|-⌫-|
p ra igne toi pidiezde cesqui	-⌫--⌫---|--|-----|-|--|--|
so nhu i morten	--⌫|--⌫|---|-|
cest e ba t ail lequarilsonuen uzen	----⌫|--⌫-⌫---⌫-|---|-|--|---⌫-|-|
ces diuersescontree spor combatre contre	--|-------|-------⌫|--|-------|-----|
lesmesc reaz	--|----⌫---|
poressaucie rton	--|--------⌫|--|
n u netpor declairie r	-⌫-⌫|-|--|---------⌫|
perdonelor si relo r	------|--|--⌫-|--⌫|
pechiezet lesgar de	------|-|--|---⌫-|
de la puisancea lenemietlor	-|-|-------|||----|-|--|
enuoie te ssainzarchan gesquilescond uisent	-----|--⌫|----|------⌫--|--|--|----⌫-----|
oureigne desciels a uecl es sai nzmartyrs	-|-----|--|----|-⌫--|-⌫-|---⌫-|------|
ensambletoi sanz fin .	-------|--|---|--||
etsa confes sionetsa priere ditemaintenant	-|-|------⌫---|-|-|-----|---|---------|
lasainte arme	-|-----|---|
separtid ou corsetliangel	-|----|-⌫-|---|-|-|---||
anp orterent en paredis ou ele este n ioiesanzfin	---⌫-------|-|------|-|--|--|-⌫|---|---|--|
aiosteeassa inzm artyrs.	------|-|--⌫--|-⌫-----||
quant ro ola nzfu	----|--⌫---⌫-|-|
trespassez il	---------|-|
auient que ieturpin schantoieunemesse	-----|--|-|------⌫|-------|--|----|
layyka landede ioignet	-|-|--⌫----|-|------|
etandonquesmauientenuision que	-|--------||-----|-|-----|--|
ieois les ang esq uisanaloientch an tant	-|--|--|---⌫-|-⌫-||-|------|--⌫--⌫---|
asciels etgrant com pa i gnie de dyable s	-|----|-|----|---⌫--⌫-⌫---|-|------⌫|
qui re tornoient	--|--⌫--------|
arriersquianportoien tlorproiee t pas serentperdeuant	------|--|-|--------⌫|--|----|-⌫|---⌫-----|--|-----|
lordisqu an po rtezuos	--|--|-|-|--⌫---|--|
etilme dirent n os anpor tons	-|-|-|-----|-⌫-|-|---⌫---|
marsilleenenfer.	-------|-|----||
etsainzmichiezanpo rteuostre cornor ensa mblemai nt es	-|----|------|-|--⌫--|-----|-----|----⌫---|---⌫--⌫-|
et ce r e compe iea roiapreslamasse	-|-|-⌫-⌫----|-||--|----|-|----|
uerae man tsaiches roisquar	-----⌫---⌫|------|---|---|
sainzmichie sarchanges an portel	----|------⌫|--------|-|----||
arme de r oola n tet de plu sorsautres	---|-|-⌫----⌫-⌫|-|-|---⌫---|-----|
mas i e nesaide quelmortil	--|-⌫|-|--|-|---|---|-|
est m ors.	--|-⌫--||
et lidy ableanporter entlarmedemars i lleet	-|-|--⌫---|-|------⌫--||---|-|----⌫-⌫--|-|
depl u sorsautrespaiensenenfer.	-|--⌫-⌫---|-----|-----|-|----||
etdema ntiersq ueierec om po iecesparolesetb adu inss	-|----⌫-------⌫-|-|---⌫--⌫--⌫-|--|------|-|-⌫---⌫--||
an u intcorrantsu sle	-|-⌫--|------|--⌫|-|
cheualr oolantet dit	-----|-⌫-----|-|--|
q uilau oitlassié	-⌫|-|--⌫--|------|
roolanta piedoum ont delez	------||--|--|-⌫--|----|
unepi err e	--|--⌫---⌫|
enlangossed e mo rt .	-||------|-⌫|--⌫-||
e tc harlesetses oz re tornerentmaintenant	-⌫|-⌫-----|-|--|-|--⌫--------|---------|
ett ro ua charlesroolantmor ttenant	-|-⌫--⌫-|------|------|---⌫|-----|
sesbrazsor pezencroiz .	--|---|--|--|-|----||
et selassache orsus lui	-|-|----|---⌫-|--|--|
et plorere tdetordr e sesmains et depecierson	-|-----|-⌫|-------⌫|--|----|-|-------|--|
uisaigeases ung l es	------||--|---⌫-⌫-|
et derompler	-|--------|
sa barbeetsescheuoz.	-|----|-|--|-----||
et comancaia del oseraauteuoiz	-|-------||---⌫---||---|---|
otum a dex trema in s ho nor	|-|-⌫|---⌫--|--⌫--⌫|--⌫--|
desfrancoisespee d eiustise hastesanzflenchiraubers san	--|-------|----|-⌫|------|----|---|-------|-----|--|
per cierea ume des alut comp arezaiude macheb ee i nsamblanz	---⌫---|--⌫--|-|-⌫---|----⌫---||---|------⌫--⌫-⌫|-------|
asa nxe et alam ortdeaua nturea	|--⌫--|-||-|-⌫--|-|---⌫----||
sauletaio na thede reiallignaige destrueres	---|-||--⌫--⌫--|-|----|-------|---------|
d esarrazinsapre scheuali ers	-⌫|--------|----⌫|-------⌫--|
saigesenbatailleli forsdesplusforsdefanderresd e	-----|-|-------|-|---|--|---|---|----------|-⌫|
cre stiensmursdesclers	---⌫-----|---|--|----|
bastons deorpheninsuiand e deuau esrefect ions	------|-|--------|-----⌫|-|---⌫-|------⌫---|
depoure set de	-|-----⌫|-|-|
richesreleu ationsdeegliseslangue sanz	-----|-----⌫-----|-|------|-----|---|
me c onge nobl ecuens desfrancoisduxde l ost	--⌫-⌫---|----⌫|----|--|-------|--|-||--|
des feaus porq uoit	--|----|--|-⌫--||
amonaiie encescontrees	-----|-|-|--|-------|
teuoi iem ort	-|--|-|-⌫--|
porqu oin e mu erieauectoi	--|--⌫-|-⌫|--⌫-|-|---|--|
lassestu triste	-----|-|-----|
laschaitis quefer ai	--|------|--|---⌫-|
tuuiuesa ue c lesanges tu	-|----|-⌫--⌫|--|----|-|
te asacoie saueclesm artyrset	-|-------⌫|---|--|-⌫-----|-|
soiesli ez auectozlessainz.	----|--⌫-|---|--|--|----||
sanzf inmeco uie ntplorer	---|-⌫-|-|--⌫---⌫-|-----|
sortoiausicom fi stdauidsu s saulionathanet	--|--|---|--|--⌫-|----|--⌫|---|-------|-|
absa lon .	----⌫--||
pertez par o lesetpersamblanzpl oraicharle	--|--|---⌫-⌫--|-|--|-------|--⌫---|-----|
roolanttantcum il uesqui .	------|---|--|-|-----||
etcelenuitdemor ai enqu icharles et	-|---|---|-----⌫-|----⌫|------|-|
se soz etemb assemere nt	--⌫|-|-|---⌫--------⌫-|
l ecors d e	-⌫|---|-⌫|
myerre etde aloe s etfirentgr ant	-----|-|-|----⌫|-|-----|--⌫--|
seruise enchan z en plorsetenpriereset granz	------|-|----⌫|-|----|-|-|------|-|----|
luminairesdeuiron le co rspert otelanui t	---------|------|-|--⌫-|--|-⌫--|-|---⌫|
la ndem ain mati nil	|-⌫----⌫--|----⌫|-|
s analerent e n ron ce uase t	|-|------|-⌫|---⌫--⌫--|-⌫|
qu eroit unschascunsse samis .	--⌫----|--|-------|--⌫|---||
t rouer entmors	-⌫-----⌫--|---|
lesautresancoruis masnaurez	--|-----|----|--|--|-----|
et oliuiert rou erentcrucif ié aprest erre loiéde	-|------|-⌫---⌫----|------⌫--|----|-⌫---|----|-|
rorte s aquatrepasquie stoit escorch iez des	-----⌫||-----|--|--|-⌫----|-------⌫--|--|
lecoliu squeas un g lesdesp iez etdesmains	-|--|--⌫---|-|--⌫-⌫--|--|-⌫--|-|--|----|
