kipetitsemmepetitque lt	-|----|----|----|---⌫-|
gransdoe lsseroitc	----|---⌫-|-----||
onquessibia x	-----|-|---⌫|
cheualiersne fu	---------|-|-|
nezdef ame	--|-|-⌫--|
sietbie ndalez madame	---|---⌫|----|-|---|
dameaus ida l ezlui	---|---⌫|--⌫-⌫-|--|
sil ne fu i ssent muel andu i	|-|-|--⌫-⌫----|---|----⌫|
tantes t cilbiaxetcele	---|--⌫|--|---|-|---|
c onquescheualiersne pucele	|-----|---------|-|-----|
sibiennauindrentm aisensamble	-|---||--------|-⌫--|-------|
l une t de	|-|-⌫|-|
lautresamble	|----|-----|
quediexl unpo rl autre	--|---||-|--⌫||----|
porc hequ ensamb leles meist	--|-⌫-|-|------⌫-|--|----|
et trestuit cilqui i estoie n t	-|-------|--|--||------⌫-⌫|
trestotgrantp ar oleentenoient	------|----|-⌫--⌫--|-|-------|
et ladamoi seleate ndoit	-|-|-----⌫---|---⌫----|
quill araisnastdecoiq ue s oit	-|-||--------|-|----⌫-|-⌫--|
tantqueleuittres	-----|--|--|---|
bie ne tso t	---⌫|-⌫|--⌫|
qu eilneli diroit iamot	--⌫|-|-|-|-----|-|--|
sele nel ar aisnoitauant	|--|-||--⌫------|----|
lorsdistmolt	---|---|---|
debonairemant	------------|
uenistes uosh ui	-------|--|-⌫-|
dam oiselefaitiliegui	---⌫-----|---|-|-|--|
chiezunp reudome	----|-|-⌫------|
a unchastel	|-|------|
ouioihostelet	-||-|-----|-|
si acinc tor sforsetellit e s	|||---|---⌫|---|-|-----⌫-⌫|
unegra ntetqu atrep eti te s	--|---⌫-|-|--⌫---|-⌫---⌫--⌫|
sisai to te loeur e asso mer	-|--|--⌫-||----⌫|----⌫--|
maisl echastelnesainomer	---|-⌫|------|-|--|----|
etsi saibienque	-|-|--|---|--|
gornemans d e	--------|-⌫|
gorha utanon	-----⌫-||--|
habiax amisfai tlapucele	-|---|---|---⌫|-|-----|
moltestuostrepa rolebele	---|--|-----|--⌫---|---|
etmolt aue z ditque	-|---|---⌫|--|--|
grezuos ensachediex	---|--|-|----|---|
quantuos p r e udomelap el astes	----|--|-⌫-⌫-⌫----||--⌫--⌫----|
c onquesplusuoir mot ne parla stes	|-----|---|---|--|-|-----⌫---|
p r eudompar sai ntr ichier	-⌫-⌫----|--|---⌫-|-⌫-----|
ichepu isie bien affich ier	---|--⌫-|-|---|------⌫--|
etsachiezquei esuisaniece	-|------|--|-⌫|--|-|----|
ma isie ne lui	--⌫-|-|-||-|
m o ltagrantpiece	-⌫-⌫-||----|----|
etce rtes pu isqueu o s	-|--⌫---|--⌫----|-⌫-⌫|
deu ost re hostelne co ne ust es	-|-⌫---⌫-|-----|-|--⌫--⌫---⌫-|
pluspreudomemienesc iant	---|-------|---|---⌫---|
m oltli e hoste let moltioia nt	-⌫--|--⌫|-----⌫|-|---|----⌫-|
uosfistcarille so t bienfair e	--|---|--|-|-|--⌫|---|----⌫|
come preu domet debonaire	---|----⌫--|-|--------|
puissans etaesie zet ri ches	-------|-|-----⌫|-|--⌫---|
a chaie nsqu esolcincmiches	|-----⌫-|--⌫|--|---|-----|
que uns m iens on cles qui	--|--|-⌫---|--⌫---|--|
molt sainshometr el ig ieus	---|----|--|-|-⌫--⌫--⌫---|
menu oiaporsouper	|---⌫--|--|-----|
e tunbouche lplain	-⌫|-|------⌫|----|
deu in cuit	-|-⌫-|---|
deu itaillen apluscaien s	-|-⌫------|||---|-----⌫|
forscunch ieurol c	----|-|--⌫-----||
u ns mi ens	-⌫-|--⌫--|
ocis t huima in dune	----⌫|--|--⌫-||--|
atantcoman dequelen mete	----|-----⌫-|--|--|---|
lestable s eteles sontmises	--|-----⌫|-|---|---|----|
et les gens alsoperassises	-|--|---|-|----|------|
almengieront mol tpetitsis	-|------|--|---⌫|----|--|
mais p a rmoltgranttalentfu	---|-⌫-⌫|---|----|-----|-|
ap resm engi ersedepartir ent	--⌫--|-⌫----⌫-|-|--------⌫--|
cil remes entqui sendormir ent	--|-----⌫--|--||--------⌫--|
qui la utrenuitueillié auoient	--||-⌫---|---|-------|------|
cil s apareille nt quideuoient	--||---------⌫-|--|-------|
la nuit par lechastel ueill i er	-|---|--|-|------|-----⌫-⌫-|
seriant furentet cheual ier	------|-----|-|------⌫--|
cinqu antequ il anuitueillier ent	-----⌫---|--⌫|-⌫|---|--------⌫--|
li autremoltsetraueilli e r ent	-|----|---|-|---------⌫-⌫-⌫--|
delorhost e	-|--|----⌫|
moltaesier	---|-----|
bl ansd ras etc ouertoi rmoltchier	--⌫--|-⌫--|-|-⌫-------⌫|---|----|
et oreillierauc hi ef	-|--------|-|-⌫--⌫-|
cil qu idelcouchi ersen tremet	--|--⌫|--|------⌫-||--⌫-----|
trestotelaise e t ledeli t	-------||---|-⌫|-|----⌫|
con puissedeuiserenlit	|-|-----|------|-|--|
o tlicheualiersce lenuit	-⌫|-|---------|--⌫-|---|
forsque sol ement le	------|---⌫----|-|
dep uceles e luipleust	-|-⌫----|-⌫|--|-----|
etdedamese illeu st	-|-|---|-|-|---⌫-|
m a isil ne sa uoitnule rien	-⌫-⌫-|-|-|--⌫---|---|---|
damornedenuleautrerien	|---|-|-|---|----|---|
sisendormiauqu esp artens	-||------|----⌫-|-⌫-|---|
est oi tde rienene m pens	---⌫--⌫|-|---|-|-⌫-⌫---|
o stesse pas nerepose	-⌫-----|--|-|-----|
qui ensacha mbreestoitenclose	--|-|-|---⌫---|-----|------|
cildorta eseetcel e pense	--|---||--|-|---⌫|----|
enl inuledesfense	-|-⌫|---|-------|
d unebataillequilasaut	|--|-------|--||----|
moltsedegi ete molt tressa lt	---|-|----⌫--|---|------⌫-|
mol t se torne moltsedemaine	---⌫|-|----|---|-|------|
ma ntel d e s oietaint engraine	--⌫---|-⌫|-⌫--|----|-|-----|
aaffublé sorsa	|-------|--|-|
sis es tenauenturemise	-||--⌫|-|-------|---|
com ehardie etcorageuse	---⌫|-----|-|--------|
maiscen estmieporoiseuse	---|-||--|--|--|------|
ainzs e porp ensequeleira	---|-⌫|----⌫---|-|--|--|
as onhosteetsili	|-⌫-|----|-|-|-|
de sonpenseunep art ie	-|--|----|--|-⌫---⌫-|
lo rs sestdeson litdepar tie	--⌫-||--|-|--|--|-----⌫--|
et i s sueestfors	-|-⌫-⌫--|--|---|
dela ch ambre	-|-|--⌫----|
a tel p aor q uetuitlimembre	|--|-⌫--|-⌫-|---|-|-----|
li tramb loient	-|-----⌫-----|
plorantestdel a chamb r e is sue	------|--|-|-⌫|-----⌫-⌫|--⌫--|
etuie nt au litou	-|---⌫-|-|--|-|
ilse do rt	-|-|--⌫-|
etplaintet s ozpiremol t for t	-|-----|-|-⌫-----|---⌫|---⌫|
sis aclin esisaienoil le	-||-----⌫|-||-------⌫-|
et ple ure si	-|---⌫--|-|
d eseslermest otela fa ce	-⌫|--|-----|-⌫--|-|--⌫-|
na hardementque	||--------|--|
plusen fac e	---|-|---⌫|
tanta plor équecil sesu eill e	---||----⌫-|--|--||---⌫----⌫|
sisesbah istm oltet merueil le	-||-----⌫--|-⌫--|-|-------⌫-|
desa facequ il sen t	-|-|---|-|-|---⌫|
se uoitce liaienoilli e	-|---|--⌫-|---------⌫|
d euantson li tq uiletenoit	-⌫----|--|--⌫|-⌫-|-|-----|
par lecolembrachiéestroit	--|-|--|---------|------|
ettantdecortoisie fist	-|---|-|--------|---|
queentre sesdeusbras le	--|----|--|---|---|-|
maintenantetuerslui	---------|-|---|--|
selid i stbeleq ueuospla i t	-|-|-⌫-⌫-|---|-⌫-|--|---⌫-⌫|
estesuenuechi	----|----|--|
hagentiuscheualiersmerchi	-|------|---------|-----|
pordieuu osprie tpors on	--|---|-⌫-|--|-⌫|--|-⌫-|
ai ez p lus uil	--⌫-|-⌫--|--|
dechequ eie sui ch i uenue	-|--|--⌫|-|--|--⌫|----|
po r cheseiesui	--⌫|--|-|-|--|
pr esquenue	--⌫----|--|
ieni onquesfo l ie	-|||-----|--⌫-⌫-|
nemauue stiene uilonnie	-|-----⌫---|-|-------|
mo nderie n q uiuiue	--⌫--|---⌫|-⌫-|---|
tant dolente ne	---|------|-|
ta nt c hetiue	--⌫-|-⌫-----|
quei ene soie plus dolente	--|-⌫|-|---|---|------|
r iens que	-⌫---|--|
iaienem atal ente	|--|-||----⌫---|
n onquesnul	|-----|--|
iorsan zm alnefui	--|---⌫|-⌫-|-|--|
comema leurou se	---|--⌫------⌫-|
neiene ue rraiiamaisnuit	-|-|-|--⌫---|-----|---|
fors so lement celid	---|--⌫-----|---||
nei orqu eceluide demai n	-|-⌫-|--⌫|----|-|-----⌫|
aincoism ocirrai	------||------|
censc heualier s	---|-⌫--------⌫|
do ntc ischastia x	--⌫-|-⌫-|-------⌫|
estoitgarni s	-----|-----⌫|
nacai ensremes quecinq uante	||---⌫--|----|--|----⌫----|
