aladolour del	|-|-----|--|
p erilhous est	-⌫-------|--|
e nseingnea t	-⌫-------|-⌫|
e nla senes trees pall e.	-⌫|-|-----⌫--|--⌫----⌫||
perilhauratde f er.	-----|----|-|-⌫-||
p ucelle hontou set raueilhanzc asta homesiert.	-⌫-----|------⌫-|-⌫---------|-⌫--||----|---||
e nfers se i lhn e garistaltieriors peris en	-⌫----|-|-⌫-|-⌫|-----|-|---|---|----|-|
soingen enuist .	-----|-⌫|----||
luneest sas eme .	---|--|---⌫--||
lisasemesnest	-|------||--|
leresseil h emblemorsiert troueisu an nunciez.	----|-|--⌫|----|---|---|------||--⌫------||
enfez nezenseingneaurate n	----|--|--------|----|-⌫|
fa ce osteliersiert ourirss tabilis	--⌫-|--------|---|-----|-⌫------|
mie ldreetmiel dre	---⌫---|-|----⌫--|
puce ll eat enseingneeldestreleituoisoiseiert	----⌫--⌫|-|--------|-|-----|---|-------|---|
soi ngeauenr at partenzenboserie.	---⌫--|-----⌫-|--|---|-|------||
lu n ees t .	--⌫-⌫|--⌫||
lidis etemenullepluserousep ors emeire n f anzme ttrea	-|---⌫----|----|---|-----|-⌫-|-⌫----|-⌫-⌫-⌫--|--⌫---||
lettres etfairq u antkeuues .	------|-|---|-⌫-⌫----|---||
per eilhousestamiab les u ois ues lettrez hardis urai.	---⌫------|--|-----⌫--|-⌫---⌫--|------|-----|---||
pucelle enp arleeatotes	------|---⌫----||----|
ch osesutilecaust e.	--⌫---|----|-----⌫||
enfers longement gira t .	-----|--------|----⌫||
soin getous tse ra t ueus .	----⌫-|----⌫|--⌫--⌫|---||
lidihutemeesta to te bunefemme	-|-------|--||--⌫-|---|----|
en maiso nmineircle rsfai re	-|-----⌫|-----|---⌫-|---⌫-|
enfeznezniertuencuz ense i ngneaurat	----|--||---|-----|----⌫-⌫---|----|
e l gen oilh	-⌫|---⌫---|
noisous orguilhous	------|---------|
t ropp a rliers.	-⌫--|-⌫-⌫-----||
p u celleenseingneatengenoilh	-⌫-⌫----|--------|-|-|------|
caustepenoisegard anzque plus uiuratm ieldre ie rt	-----|------|----⌫--|--|---|-----|-⌫-----|--⌫-|
enfezto ust gari st .	----|--⌫--|----⌫-||
soingededens yyio rsest .	-----|-----|-|--⌫-|--||
lu nees t.	--⌫-|--⌫||
ladisnouetote estbune .	-|------|---|--|---||
enfeznezensei ngne at en	----|--|-----⌫---|-|-|
elsu rcilfouzests ueis	-|--⌫---|---|--|-⌫---|
uoisousmutsaiges	------|--|-----|
cressans mieldreetmiel dres .	-------|------|-|----⌫---||
pucelleen siment	------|--⌫-----|
maisqu aun	---|-||-|
homesoi tenrat.	---|--|-----||
enfersto ust garat.	-----|--⌫--|----||
s oin gede dens yyiors apparistrat	-⌫---⌫-|--⌫---|-|---|----------|
lun ees t u in t eme.	---⌫|--⌫|-⌫--⌫-⌫--||
li uientemeuainestp art ote.	-|-------|---|--|-⌫-|-⌫--||
e nfeznez az	-⌫---|--|-|
h a r mesu anio i s.	-⌫-⌫-⌫--||----⌫-⌫||
pucel leossinaurasoingnedomes.	-----⌫-|---||---|------||---||
enfer sutoust gar istul ongem entgarist .	-----⌫||----|---⌫--||-⌫-----⌫--|-----||
soingene faitacro ire.	-----|-|---||---⌫--||
laui enteprimema luaisepa r	-|--⌫---|----|--⌫-----|--⌫|
o urei r etbu nease rianz	-⌫----⌫|-|--⌫-||--⌫----|
k idone ne rechoi t .	-⌫|---|-|------⌫||
larecinet o ust r eu ient.	-------|-⌫-⌫--|-⌫--⌫---||
enfezne ze ns eingneau raten lacuissetraueilhous	----|--⌫|-⌫--⌫-----|--⌫--|-|-|-----|----------|
iert m erci ablelettreis bienfaisanz	---|-⌫----⌫---|-------|---|------|
p ucelle ensei ngneauerata so mmelech iefu en	-⌫-----|-----⌫---|-----||--⌫--|-|--⌫--||-|
la destre mamelle	-|-----|------|
traue il hou seiertca ust entozliusameedun	-----⌫--⌫---⌫-|---|--⌫--|-|--|---|---||-|
home tenanz.	---|-----||
en fersa paingarrat .	--⌫---||---|-----||
soingeuain sunt .	-----|---|---||
li u intemelune	-|-⌫-----|---|
la ui ente mesecund e bunest	-|--⌫----⌫-|------⌫|--|--|
aa chateirmancipie	|-⌫------|-------|
u s eriant .	|-⌫-----||
enfez ne z pour eiertet	----|--⌫|----⌫|---|-|
pucelleens imen t.	------|---⌫----⌫||
enferstoustgarrat	-----|----|-----|
soinge uainson t.	-----|---|---⌫||
lauie nte me tierce est en tot boune.	-|---⌫---⌫-|-----|--|-|--|----||
enfes n eisnoueliers iert .	----|-⌫--|--------|---||
pucel l e coraiouse.	-----⌫-⌫|--------||
e nfe rslonge me nt	-⌫---⌫-|-----⌫--⌫-|
lan guiratutoust	---⌫-----||----|
so i ngenefai t a cr oir e .	--⌫-⌫--|-|---⌫||--⌫---⌫||
c est lu ne	|--|--⌫-|
lauientemequart e bonnep orueneir.	-|-------|-----⌫|----|-⌫-|-----||
enfe zne is conuoitouses t.	----⌫|--⌫-|---------|--⌫||
p u celle f orte.	-⌫-⌫----|-⌫---||
enfers tou stmorat .	-----|---⌫-|----||
soinge n iensest.	-----|-⌫---|--||
lauie nt eme quint e bunepor	-|---⌫--⌫--|-----⌫|---|--|
enfesn ezconuo itansest.	----|-⌫-|-----⌫----|--||
puce lle ossi la nier.	----⌫--|---|--⌫---||
enf ersdede nz yyiors	---⌫--|----⌫-|-|---|
l uneuient.	-⌫--|----||
l a uienteme sixste estbone .	-⌫|-------|-----|--|---||
enfe sneisre tenans deche keilh orat	----⌫|---|--⌫-----|-|--|-|--|---|
pucelleis nelle	------|--⌫----|
enferstoustm orat.	-----|----|-⌫---||
soingealcunechosesunt.	-----|-----|----|---||
lun e uient est	---⌫|----|--|
la uientesetemeenfes neis proi si ert .	-|-----|-----|----|---|----⌫|-⌫--||
pu c elle honesteetsaige	--⌫-⌫---|------|-|----|
enfersui urat	-----|--⌫---|
soingealcunecho s esunt.	-----|-----|---⌫-⌫|---||
la uintutemeenfes n eistraueilhose	-|--------|----|-⌫--|----------|
ier tcreables.	---⌫|-------||
pucelleobeissanz	------|--------|
enfers tou s tgarrat.	-----|---⌫-⌫|-----||
soingeauinent .	-----|------||
luneuient.	---|----||
lauientenouemeenf esneissormontansbienapris .	-|-----------|---⌫-|---|---------|---|----||
pu ce lles a ige etriche .	--⌫--⌫--|-⌫-⌫--|-|----||
enf ersu iurat.	---⌫--|-⌫----||
soin gebu net uraiest .	----⌫-|--⌫|-|---|--||
lunet rent umeest.	---|-⌫----⌫--|--||
latrentunem e enfesneisplus	-|---------⌫|----|---|---|
bienaw irois ke altrespius	------⌫----|-|-----|---|
pucel leb i en ewiroisepiwesue z.	-----⌫-|-⌫-⌫--⌫-------|---|---⌫||
enfersgriesetseu iurat.	-----|----|-|-|-⌫----||
s oingededenstierce	-⌫----|-----|-----|
iorsseront ue ut	---|-----|--⌫-|
uenki deu e nss engarh om s	|---|---⌫-⌫-||-|--|-⌫--⌫|
- esseingmen s estci afaire	|----------⌫|--|-||----|
alquantesfois	--------|---|
ui nent soingedepla inuen treettelz	--⌫---|-----|-|---⌫-|---⌫--|-|---|
foise stde uuit .	---|-⌫-|-|---||
alquantesfoisporga be rie	--------|---|--|--⌫--⌫--|
deldyablealquantesfois p a rpenseeetce meismesest	--|-----|--------|---|-⌫-⌫|-----|-|-|------|--|
deci uement.	----⌫-----||
aquantesfois paruis ion alquantes	-------|---|--|---⌫--|--------|
fois parpenseie u et	---|--|------||-|
paruision .	--|-----||
o rcomence	-⌫|------|
chidesyyfois deuenres	--|--|-|---|-------|
de lan que on doi tiune i r enl	-||-|--|-|---⌫|----⌫-⌫|-||
onourdesdo uz eapo stles	----|--|--⌫--⌫|---⌫----|
etk iiunera tenpa inet en	-|-⌫|------⌫|-|--⌫-|-|-|
seil etaiguedespaines d enfer de l iurez	---|-|----|--|-----||----|--⌫-⌫----|
icom e ncentcior.	|---⌫-⌫----|-|-||
lipromiers estde.	-|-------|--|-||
lialtreses t deuantla festenostre damme.	-|-----|--⌫|-----|-|----|-----|----||
liti erceestlideuenres .	-|--⌫---|--|-|-------||
li q uarsdeuant la festesainma rkeewangeliste .	-|-⌫---|-----|-|----|---|--⌫--|----------||
l icinquem edeuant l ascen sion.	-⌫|-------⌫|-----||-----⌫---||
l i sihemesdeuantpentec ostes .	-⌫|------|-----|------⌫----||
lisetemedel secundes amainedegeskerez.	-|-----|--|------|-⌫-----|-|-------||
liutemesd eua ntl efestes aint	-|-----|-⌫---⌫-|-⌫|----|-⌫---|
linuue mes deuant festesain piereet s ainpo ul	-|----⌫--|-----|----|---|----|-|-⌫--|--⌫-|
li dis emesa preslourfestes.	-|---⌫---|-⌫---|---|-----||
li onsemesdel	-|------|--|
tiercesamainede septembre .	-----|------|-|--------||
li doseme enle	-|-----|-|-|
promiere samai nedegenuierdeu antle noel	-------|-----⌫-|-|------|---⌫--|-|---|
cicome nceli liuresdes	-|----⌫--|-|-----|--|
uiertus desherbes	------|--|-----|
fer ons come ncemens	---⌫--|----⌫------|
e t ceestli	-⌫|-|--|-|
biuueutcestherbe naist	------|---|----|----|
en fr esliusetenm ontaingesetest proueie	-|--⌫-|---|-|-|-⌫--------|-|--|------|
ale fieur elibiueu t tribleisleiusmelle	|-|-----⌫|-|-----⌫|-------|-|--|----|
auecoileetceuisse lefiureouz	---|---|-|----|-|-|-------|
en oin deis paryyiorssegarrat	-|---⌫---|--|-|---|-|-----|
sefemme nepuet enfanteir seliloiez	-|----|-|---|--------|-|-|----|
entur lesen wesetelbrassenestreet	----|--|--⌫--|-|-|---|-------|-|
deliurat et	-------|-|
quantilhse ratdeliur eetantoustli	----|--|--⌫--|------⌫-|-------|-|
cistesherbeli be toines	-----|----|-|--⌫-----|
naiste nh aiesensencez	----|-⌫|-⌫---|--|-|--|
m ointai ngnesombrois.	-⌫------⌫----|------||
trui lee sor l ui lh	----⌫--|--||--⌫-|
blecie e etmetteis	------⌫|-|------|
s isann er at .	-⌫|----⌫--⌫-||
pe san cekauient to t kile boit	--⌫---⌫-||-----|--⌫|-|-|---|
auecu ienetaigue	---|-⌫--|-|----|
pordolou rd uezle	--|-----⌫||--|-|
doit onsboireyyior ssi osteratenfleuretdolur	---|--|----|-|---⌫|-|------|------|-|----|
p oruomitetolirl e boit	-⌫-|-----|----|-⌫|---|
ons cuiteenui enp aryy iors.	--|----|-|--⌫-|-⌫-|-|---||
a celuikimaleatelmaltrisse ilhbo iue	|----|-|---|-|-|------|-|--|--⌫--|
el baing neauecoilesouent	-|-----⌫-|---|---|-----|
porconti ondel	--|-----⌫-|--|
uentrel ecuisiésenlaitdechi eure aue c	-----|-⌫|-------|-|---|-|---⌫---|---⌫|
pork eselma niust.	----⌫|-||--⌫----||
sefe mmeest tr opluxuriouse	-|--⌫--|--|--⌫-|---------|
seleboiue aueoa i s ilp ar	-|-|----|---|-⌫-⌫-⌫-|-⌫-|
douslunisons	---|-------|
sefemm e saredamuruieillianuiebo iueauec	-|----⌫|---||---|------|----|--⌫--|---|
uiesuien et	---|---|-|
mirre c uitparyyi ors	----|-⌫--|--|-|-⌫--|
porm orsur edeserpentleboito ns auec	--|-⌫-----⌫|-|------|-|---|-⌫-|---|
uiesuienetoile si tout	---|---|-|---|-|---|
pormorsured echienre boiss e leboit	--|------|-⌫|----|--⌫---|-⌫|-|---|
onsauecmore iteta sol oalcuichant	--|---|----⌫-|-||---⌫--|-------|
ettou tuenient .	-|---⌫|------||
a to utgo ttes.	|--⌫-|--⌫---||
na istenp irousliwe	--⌫--|-|-⌫----|---|
etense che	-|-|--⌫--|
totesgottes	----|-----|
boitauec uien etpoiure	---|---|---|-|-----|
endoit onsles racinesbo iure.	-|---|--|--|------|--⌫---||
kinep ueten fanteir.	-|-|-⌫--|--⌫------||
kine p ueten fanteir	-|-|-⌫--|--⌫------|
seliloiesazr ains	-|-|----|-|-⌫---|
por dolourde luent reauec bu nuienc haut et	--|-----|--⌫|----⌫-|---|--⌫|---|-⌫---|-|
auecpoiure et bureleb oi ueapres soupeirsi	---|-----|-|---|-|-⌫--⌫-|----|------|-|
as uagerat.	--⌫------||
enuenimeithom meki.	---------|---⌫-|-||
cisteherbe atn o n etueinnem oi se.	----|----|-|-⌫-⌫|-|-------⌫--⌫-||
puet gesi r afemme.	---|----⌫||----||
prende leplus pesant homekifortresest	-----|-|---|-----|---|-|------|--|
et yy gr ain sdepoi u r ebl anc	-|-|--⌫---⌫|-|---⌫-⌫-⌫|--⌫--|
e ttroisgottesd e	-⌫|----|-----|-⌫|
miel etuies uien	---|-|---|---|
truilleensembleety y	------|-------|-|-⌫|
sciplesenpr enspar	------|-|--⌫--|--|
yy iorsenchaut baing ne etl er bedoit	-|---|-|----|-----⌫-|-||--⌫-|---|
onscoilhier enfenailmois	--|-------|-|-----|---|
etli iustoutchaciue sseons en	-|-|--|---|-------⌫|-|--|-|
o int entur	-⌫--|----|
luilh pa rlesangl echon s .	|---|--⌫|--|----⌫-----⌫||
doneboiredec ontreuerskisuntel	---|----|---⌫----|---|-|---|-|
uentr eetdec ontreuenient.	-----⌫|-|---⌫----|------||
decontremorsuredeserp entle boit ons c uitauec	-------|------|-|----⌫--|-|---|--|-⌫--|---|
seue rs na isten	-|--⌫-|--⌫--|-|
enbes teloiesuscest herbes e	-|---⌫-|---|--|---|----|-⌫|
sor enfleuredep iz	--|-------|-|-⌫-|
defem meleloiesi	-|---⌫-|-|---|-|
quin te fuelhboitons	----⌫-|----|---|--|
auecuienet oi le decontremorsuredescorpion	---|---|-|--⌫-|-------|------|-|-------|
etle iusen	-|-|--|-|
b oit o ns porto rtionsdeluent re paryyi ors	-⌫--|-⌫-|--|--⌫-----|--|----⌫-|--|-|-⌫--|
u e nsembleuienumielchaut	|-⌫------|---||---|----|
sa ineleboito nsalaitdechieurepa ryy	--⌫--|-|---|-⌫-||---|-|------|--⌫|-|
liysop e boit	-|----⌫|---|
o nsa ueclechaudeaig ue sei e tte	-⌫-|-⌫--|-|-----|---⌫-|-|-⌫-⌫--|
mor sde lf emme auec uien	---⌫|--⌫|-⌫---|---|---|
et aigueetbuire	-|----|-|----|
le boiton schaude a pres	-|---|--⌫|-----|-⌫---|
leso peir.	-|--⌫---||
porle pize tpor	--|-|--|-⌫|--|
lebonent .	-|-----||
etpo rcedoitonsuseir	-|--⌫|-|---|--|----|
auecdeteischos esades.	---|-|---|----⌫-|---||
decontreespoi ntes auecchautuienauec	-------|-----⌫---|---|----|---|---|
noisettescuiten uien et o ile leboiu een	--------|---|-|---|-|-⌫--|-|----⌫|-|
chaut bai ngne.	----|---⌫---||
puet gesir afemm e	---|----||----⌫|
boitonsauecuien	---|--|---|---|
deco n tremorsurredeserpens.	----⌫-⌫--|-------|-|------||
a tizikes a uecaisil atotes le sdol u rsentur	|------|-⌫--|----||----|--⌫|---⌫-⌫-|----|
lecue r estbuneab oire .	-|---⌫|--|---||-⌫---||
etd econtrecla us et am aluaismalons.	-|-⌫------|---⌫-|-||-⌫-----|-----||
al fl anck e etabo nent.	-|--⌫----⌫|-||--⌫---||
decon trecorenceetfest el le	-----⌫--|------|-|----⌫--⌫-|
bot ene l e ce sttenesiesaluaige.	---⌫---⌫-⌫||-⌫-|------|-------||
de contrecorence l ecuisiésauec uese t foitede	--⌫-----|------|-⌫|-------|---|--|-⌫|----|-|
boch e nunep aile etdone islim a ingier	---|-⌫|--|-⌫---|-|----⌫-|-|-⌫-⌫-----|
s iestrend erat	-⌫|-------⌫---|
e t cu iliu entre cuirtse	-⌫|--⌫|-|-⌫----|----|-|
l boiue auec uie z ui enpar	|----|---|---⌫|--⌫-|--|
l e boito n s	-⌫|---|-⌫-⌫|
yy iorssigaristlenferme.	-|---|-|-----||------||
decont remo rs urreetpl a iesnouel.	------⌫-|--⌫--⌫---|-|--⌫-⌫--|----||
l esfuel he s del plai nta intruleesauecbuir resi sane noueles	-⌫-|----⌫--⌫|--|----⌫---⌫-|------|---|----⌫-|-|---|------|
etauec aisiles t b unsd ec o ntre toutes morsures	-|---|----|--⌫|-⌫--|-⌫--⌫-⌫---|-----|-------|
uiez ointscroele s e strumessane .	---|---|-------⌫|-⌫------|---||
cestazfiurestirch ainesetplaie.	|--|-|-----|-----⌫----|-|----||
a fi eu retierchain eslecuis	|--⌫--⌫-|---------⌫-|-|---|
puissorlec hieftouchant d isant	---|--|-|-⌫---|-------|-⌫----|
trois p lan te sest am pea uec a ig uedoneli boire quantilh	----|-⌫---⌫--⌫|---⌫--⌫-|-⌫--|-⌫--⌫-|---|-|----|----|--|
trainl eetalco tidiane ossi	------⌫|-|-|--⌫------|---|
et ale plaie es to rto nsle	-||-|----|--⌫--⌫-|-⌫-|-|
ius s eli metons ens	--|-⌫|-|--|--|--|
etal uen tre mol l ir e stbune aboire	-|-|---⌫--|---⌫-⌫-|-⌫-|---||----|
et sorlesmamelles	-|--|--|-------|
lemette isestanpee.	-|-----⌫-|-------||
XSdecontr e fiureetenfleure.	-|-------⌫|----|-|-------||
lerueloies	-|--|----|
s orlenfleu reets ordolurdesgen oilhes tanpee.	-⌫-||------⌫-|-|-⌫-|----|--|---⌫---|--⌫-----||
decontrefi eure	-------|--⌫---|
q uartaineenprendeisyypoungniese t cui siés	-⌫-------|-|-------|-|--------|-⌫|---⌫----|
les enuieni us kea latiercepart	--|-|---|-⌫--⌫-||-|-----|---|
e ta inzkelifieure	-⌫|-⌫----|-|-----|
sailhe lidoneiz cel	-----|-|-----|--|
i orkeomle c rient	-⌫-|-|-|-|-⌫----|
so mlebo itsouent	|-⌫|-|--⌫-|-----|
luxurelitoutetles	-----|-|---|-|--|
u e lhe sc laire etle	-⌫-⌫-|-⌫--⌫----|-|-|
uen treconforte.	---⌫--|-------||
un efuelhdecestherbekion s ape ll e	--⌫|----|-|---|----|-|--⌫|---⌫--⌫|
u pre nsdez et silebeueizauec moret ene s tuiu e	|---⌫----|-|-|-|-----|---|----|-|-⌫-⌫----⌫|
si uost oldrales	-|--|-⌫----|--|
etauec n ouelec eruoiseyy fue lh	-|---|-⌫----|-⌫------|-|---⌫-|
t ruil eisbeueis siu os	-⌫----⌫--|-----|-|-⌫-|
toldraflegmedeluent re etde lpoumunt .	-----|-----|--|----⌫-|-|--⌫|------||
por pl ai esaourirest	--|--⌫--⌫-||----|--|
letruilez auecle	-|------|---|-|
sain de po r k eet	---|-|--⌫-⌫-⌫|-|
metteissorplaies si louera .	------|--|-----|-||----||
a spointe lebeueisaluienet	|------|-|-----|-|---|-|
l es claus ron tense m blele uiezoi nttruilezet sus	-⌫-|----|---⌫|----⌫-⌫--|-|---|--⌫-|------|-|--|
loi és a uecsain.	---⌫--|-⌫--|---||
li confiriesoude les charset les osseet	-|-------|----|--|----|-|--|---|-|
lesroture setlesdestendemensetles plai e sglume	--|------⌫|-|--|-----------|-|--|----⌫-⌫|----|
s on leb o itaue cuienet	|-|-|-⌫-⌫-|---⌫|---|-|
p oiure aeniun ke	-⌫----||-----⌫-|
cuer chascun iordedensyyiors.	---|------|--|-----|-|---||
adamm es .	|----⌫-||
be ueis paryy	--⌫---|--|-|
io rs almoinsuozdames	--⌫-|-|----|--|----|
etsi uosd e li ureisde	-|-|--|-⌫-⌫--⌫----|-|
cekeuossauei s	-|-|--|-----⌫|
etsiestbonea tot escho seettot es	-|-|--|---||---⌫-|---⌫-|-|---⌫-|
do lour enturle cuer	--⌫---|----|-|---|
ki le boi tsouentcu itauecmielete n	-|-|---⌫|-----|--⌫-|---|---|-|-⌫|
uien annuitoutetuomirekile boitu	---|----|---|-|-----|-|-|---||
maniustauecu essicon	------|---|-⌫-|-|--|
sa uurpar yyiors .	--⌫--|--|-|---||
a fi e tacuercuir e	|-|-⌫||---|----⌫|
lemarouine	-|-------|
boi s c ui tp aryyiorsen aigue cuitet	---⌫|-⌫--⌫|-⌫-|-|---|-|----|---|-|
auec bur e cha u tp orle cuercui re.	---|---⌫|---⌫-⌫|-⌫-|-|---|---⌫-||
alfiprendei scestherbesile	-|-|-------⌫|---|----|-|-|
cuissiés sicome u ne iou teet sien	--------|-|---|-⌫-|---⌫-|-|-|-|
faites unestueuepardesouzsike l ichars	-----|--|-----|--|-----|-|-|-⌫|----|
enuoist enss isann er at.	-|----|--|-⌫|----⌫--⌫-||
ki le boitso uent uenie nt	-|-|---|--⌫---|-----⌫-|
litou tlepiz	-|---⌫|-|--|
esclaire kile	-------|-|-|
boitalaitchaut	---||---|----|
le poumont	-|------|
u entre sane	-⌫----|---|
ala fem meenfantei r	|-|---⌫-|--------⌫|
le d itaine boiuel ifemmes ienfante rat .	-|-⌫-----|----|-⌫|----|-⌫|-------⌫--||
porletous l e	--|-|---|-⌫|
beu eisaui endonei sliboir e .	---⌫--||--⌫-|-----⌫|-|----⌫||
kileparolepe rtaui en et alaigue	-|-|-----|--⌫-||--⌫-|-|||----|
sor lesestosu fers ues pines faitesenplais tresfait	--|--|----||---||--⌫----|-----|-------⌫---|---|
sussitrarat fors	--|-|-----|---|
uenientto ut	------|--⌫-|
kisouent leboit.	-|-----|-|---||
pa rs ainc.	--⌫|-⌫---||
l iglaiolz	-⌫|------|
espart les ain ckien boit yy	-----|-|-⌫---⌫|-|-|---|-|
iorspassantauec	---|------|---|
miel et ai gue.	---|-|--⌫--||
prendeise nuneracinetelecum uostre	-------|-⌫|--|-----|---|--|-----|
p olcet faitesenro eles s i smetez e n	-⌫--|-|-----|-|--⌫---|-⌫||----|-⌫|
miel tempreirtoutenuit et	---|-------|----|---|-|
si lebeueisauecmiel etoile et	-|-|-----|---|---|-|---|-|
chaudeaiguesiuosocir a	-----|----|-|--|----⌫|
tou teuermie ntett in i es	---⌫-|------⌫-|-|-⌫--⌫-⌫-|
et meis mes to rquiliecelmaluais uer.	-|----⌫--|--⌫------|--|------|--||
par gottefestelle .	--|----|-------||
beueispargoutefestel letotens.	-----|--|----|------⌫-|-|---||
deco ntretotesgoutes	----⌫---|----|-----|
be ueis un donierpes ant	--⌫---|-|-----|---⌫--|
deauue uint grains depoiur e par	-|---|---|-----|-|-----⌫|--|
etki tropdortfaicelionauec ai silmettre	-|-|---|---|----|---|---|--⌫--|-----|
esnarrin es.	-|------⌫-||
lune crei ssantet	---|----⌫----|-|
decreis san t yyiorsma niu s t.	-------⌫---⌫|-|---|--⌫---⌫-⌫||
cilhkisaincuatfors	---|-|----|--|---|
pardesou seniunement si ga rr at.	--|-----⌫|---------|-|--⌫--⌫-||
decontreleuerk e onsapellefa rcinl edoit	-------|-|--|-⌫|--|-----|--⌫---|-⌫|---|
onsboirea ceruois ebeuant et susloieretenstanpeie	--|----||-------⌫|-----|-|--|----|-|---------|
parmaingier.	--|-------||
le c ento ir e doitons	-|-⌫----⌫--⌫|---|--|
boire auec	----|---|
chaude aigueparyyiorscui	-----|----|--|-|---|--|
maingiernedelit e	-------|-|-----⌫|
etameremen t	-|--------⌫|
et porl emaldesrain s	-|--|-⌫|--|--|----⌫|
al e froide aigue .	|-⌫|-----|----||
por lesoit	--|-|---|
alteueaigue.	-|---|----||
l ipoure espar tedeluisorpla iesisane.	-⌫|----|-----⌫-|-|--|--|---⌫-|-|---||
ledo lur deluentred esfemmessisan eki ade s	-|--⌫--|--|-----|-⌫-|-----|-|---⌫|-|---⌫|
leboitle nuitchautetle ma tien	-|---|-|---|----|-|-|--⌫---|
froitsoit en uienu en ceruoise	----|---|-|---||-|-------|
aznarrines	-|-------|
alleborump rens	--------|-⌫---|
l e blanc selerais	-⌫|----|-|-|---|
etsach iés al al ai nedeuos	-|----⌫---|||--⌫--⌫-|-|--|
narineslepu iresi esterin irez .	------|-|--⌫--|-|-------⌫---||
n elgostez	-⌫||-----|
simet ens.	||--|--||
si wa mirat .	-|--⌫----||
le no irprendezs imettei seluien	-|--⌫-|------|-⌫|------⌫|-|---|
eldemainbeueiscelu ien	-|-----|-----|--|-⌫--|
siuossi uos	-|--|-|--|
ferataleira	----|----||
chambreas seis.	------|--⌫---||
etporm elancolie	-|--|-⌫--------|
etpormelancoliele doitonsboireapressoupeir	-|--|---------|-|---|--|----|----|------|
auec uiene tappie et	---|---|-⌫|----|-|
so rl es dens lemes	--⌫|-⌫-|---|-|--|
aueca isilcant ser ontmalad es pardestempre ir	---|-⌫---|---|---⌫--|-----⌫-|--|---------⌫-|
le sgrain sdesmalues prendeisauquantet truile isaue c m iel	--⌫|-----⌫|--|-----|-------|------|-|------⌫-|---⌫|-⌫--|
sel ebeue i ssi	-|-⌫|----⌫-⌫|-|
uosfe rataua ntaleirlegierement .	--|--⌫--|---⌫-|----|----------||
mulsecesontlesdouspart daigueet la	----|-|---|--|---|---||----|-|-|
ti ercede miel	--⌫---|-|---|
icu istons .	|--⌫--|--||
altr ementcuislesmaulesen ai gue	----⌫----|---|--|-----|-|--⌫--|
stourbienetmes	----|---|-|--|
auec yyfuelhes d espurgeetde saige	---|-|------||------|-|-|----|
tr uileite t	--⌫-----|-⌫|
cuisenune paile auec saindeporke et	---|-|--|----|---|---|-|----|-|
aisile t un	----|-⌫|-|
poudeseiletdon e mai ngierceser atbon	--|-|---|-|---⌫|---⌫----|-|---⌫-|--|
et centoines i	-|-------|-⌫|
truileisetbeu eissiuos	-------|-|---⌫--|-|--|
ferataleirauant	----|----|----|
lesracine s enprendeis si les	--|------⌫|-|-------|-|--|
cuisi é sauec mielgarde iset q uant u os	-----⌫--⌫|---|---|-----⌫-|-|-⌫---|-⌫-|
u ole is si	-⌫---⌫-|-|
enprend eisale mesur e dunenois gaile	-|-----⌫--||-|-----⌫||--|---|----|
promiers i un eislepromier iorsdeuant etl	-------|-⌫--⌫--|-|------|---|-----|-||
atretroisquau espr es	---|------||-⌫----⌫-|
a ltrementseche sles racin estru ilees et faipure	-⌫-------|-----⌫|--|-----⌫-|---⌫----|-|--|---|
et s ile prent .	-|-⌫|-|----||
yy ior sen cressantet endecorant	-|---⌫|-|-------|-|-|-------|
et doneis.	-|-----||
enplastrede s	--------|--⌫|
y e ues toutlesglandeles.	-⌫-⌫--|---|--|--------||
a ue cleuiesoi nt etl es r a cinestruileessanentles	-⌫--⌫|-|---|--⌫-|-|-⌫-|-⌫-⌫----|-------|-----|--|
m amelles .	-⌫------||
l esrauescuisenuienetparyy	-⌫-|----|---|-|---|-|--|-|
doineboire enslestu iu e.	----|----|--|-|---⌫--⌫||
kile s penis at sile porasgarir.	-|-|-⌫----|-|-|-|----|----||
adens etameircuer etma ltris e st.	|---|-|----|---|-|--⌫----|-⌫-||
del mifuelhdone boireu ntrait	--|------|---|----|-⌫|----|
k i mala t e nsledenssi	-⌫|--|-⌫|-⌫-|-|---|-|
nuefm anei esenprenset	---|-⌫----⌫-|-|----|-|
dous sestier de uien	---|------|-|---|
se lecuisiuskea unke.	-|-|---|----||---||
boisparladolur delmaltris	---|--|-|----|--|------|
quanttuesbaingniés.	----|-|-|---------||
to utameircuerazfe mmes se	--⌫-|----|---|-|--⌫---|-|
elleslebo iuen ta uecuiesuien	----|-|--⌫----⌫|-⌫--|---|---|
paryyiors.	--|-|---||
bienfait pissi er.	---|---|-----⌫-||
le malt risconferme	-|----⌫--|-------|
kichautle boiten baingse antlepiereli	-|----|-|---|-|----|--⌫--|-|----|-|
le uentreleschafekil e mani ust ades	-|------|------|-|-⌫|----⌫--|---|
siag raili st	-|--⌫-----⌫-|
c e stparpi ere etcure ir .	|-⌫-|--|--⌫--|-|----⌫-||
le persienbo iue	-|------|--⌫--|
kicureir uetets aneirleuessielepiere	-|-----|--|-|-⌫----|-|-----|-|----|
toutetleluxurreen genreirne lait.	---|-|-|------|--⌫------|-|---||
uenientout	-----|---|
kil eboitauecaisil .	-|-⌫|---|---|----||
de mors u redeserpent .	-|----⌫-⌫-|-|------||
femmeameirnulle hom	----|----|----|--|
