communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
seulmotdire ai nsest illo ect ous es t ou rdis	---|--|---|--⌫-|--|----⌫-|-⌫--|--⌫-⌫--⌫---|
unegrant pi ece etesbahis	--|----|--⌫--|-|------|
quilneseutde	-|-|-|---|-|
lu inule rienne i lnente n tnemal	--⌫|---|---|-|-⌫||----⌫-⌫|-|--|
mai squantestreuenus	---⌫|----|--|------|
ensoiauualletdista mi di moi puet	-|--|-|-----|---|-⌫-|-|--|---|
estreuoir c heque tudis	----|---|-⌫-|--|-|--|
oil decesoiiéstousfisrespont liualles	--|-|-|------|---|--|------|-|-----|
toutpour uoir.	---|---|---||
lad oit donquesautres	-|-⌫--|------|-----|
saur a ma belleamie	|---⌫|-|----|---|
nushomuiu anten sa	--|--|---⌫--|-|-|
bail lie entr e sesb raset gi faurai	----⌫--|----⌫|--|-⌫--|-|||-----|
qui par lonc tans ameelai	--|--|---|---|---||-|
saur a autre seigneurdemoi	|---⌫|----|-------|-|--|
uoirebiausire	----|---|---|
par mafoi.	--|-|--||
licuen sde	-|----⌫|-|
ne uers l aple ui l	--⌫---|||---⌫-||
digoncar l e uiuausist ounon	----|--|-⌫|-|------|-|--|
cont reso n uoel.	----⌫-|--⌫|---||
ioieouso it a duelespouseeertiu squa q uart	---|-|--⌫-||---|-------|--|--⌫--||-⌫---|
sen iraoson	|-|--||--|
signour aneuers larice	------||-----|-|---|
amadas lotsia troubléle cueret	-----||-|-||-------|-|---|-|
escaufédard eurdunefinefolecaleurdontuint	-------||---⌫--||--|---|---|-----|---|---|
ladroite d erueriee t lafinefou rsenerie li saut	-|-----|-⌫------|-⌫|-|---|---⌫-------|-|---|
etli ce ruiaus	-|-|--⌫-----|
li tourbl e.	-|------⌫||
enpoid eure	-|--||---|
acorage d ou bleet tou tera isonliescapequil	|-----|-⌫--⌫--|-|---⌫-|--⌫---|-|-----|-|-|
iusqu a halape.	----||-----||
toutmaint enant esrageet derueen	---|-----⌫----|-----|-|----|-|
hau t s escrieetrit etresue	---⌫||-----|-|--|-|----|
sensneraisonenluinamie.	---|-|-----|-|--|||--||
par rageetpar fours ene riesaut	--|---|-|--|-----⌫---⌫--|---|
au ualle to lepuing clos	-|-----⌫||-|----|---|
un caupli doune s itres gr o squ ele	-|---|-|----|-⌫|---|--⌫-⌫|--⌫|-|
clersan cc o uler lif ait	---|---⌫|-⌫-⌫---|-|-⌫--|
ate reaual fi lant	|--⌫-|---|--⌫---|
senuait delabouce	|-|---|-|-|----|
etdunesaraie .	-|-|--||---||
lacote de soi een	-|---|-|---⌫|-|
lespa ulleas	|----⌫---|-|
denslaertque l oslia tout	---||---|--||-|-||---|
descouuert	---------|
l acarli ron t etporteen uoie	-⌫|--|-|---⌫|-|----|-|---|
etliua llesq uisen	-|-|--⌫---|-⌫-||-|
esfroietos t	------|---⌫|
tour ne en fuiesi le	----⌫-|-|---|-|-|
et amadasapressen uaitc ommegarousietel a	-|-----|----||-|---|-⌫---|-----|---|-⌫|
main si la erta lacoteau	---|-||-⌫--||-|---|-|
enco ntre ualtot	----⌫---|--|--|
le descire parm ultgr an t	-|------|--|-⌫--|--⌫--⌫|
grantire .	----|--||
etchiusquimults	-|----|--|---||
ene spoentenefait	-|-⌫------|-|---|
entourluiplus daten tequ	-----|--|---||----⌫-|-|
iln aime p asiteld e duit.	-||---|-⌫-|---|-⌫-⌫---||
de luis estortetsis enfuit	-|--||-----|-|-||-----|
multto st questr eu auroit aillou rse t chi usapre s tout	---|--⌫-|-|----⌫|-⌫-----|------⌫-|-⌫|---⌫-|----⌫|---|
leplainc ours com	-|----|-⌫---|--|
plusto stpu e td e gra ntrandon	---|--⌫-|--⌫-⌫|-⌫|---⌫-|-----|
quant ceuoient sicompaignonquiapreslui	----|-|-----|-|---------|--|----|--|
ui enentle	--⌫----|-|
pa scascuns set	--⌫|------|--|
bi enisnellepas quiles tesr agiés etderués	--⌫-|---------|-|-|--⌫|---⌫-----|-|------|
des nouuel eset foursenés.	--|------⌫-|-|---------||
aes peron uonttout apres e tqui ains	|--⌫----|---|---|----|-⌫|--|---|
ainsde grant esles.	---|-|----|----||
quantapres luiuen irlesu oit	----|----|--|---⌫-|--|-⌫--|
l euallet laistagrant	-⌫|-----|----||----|
espl oi tetsi senfu it com esrag iés	----⌫--⌫|-|-||----⌫-|--|-----⌫---|
enuers lebossestadre chié s.	-----|-|--||--|----⌫-----⌫||
e t cil lespalefro is gu erpirentet	-⌫|--|--|-------⌫-|--⌫-------|-|
esdestriersmulttost salirent.	-|--------|---|---|-------||
d espe roune rpas nesefa igne nt	|----⌫-----⌫|--|-|-|--⌫----⌫-|
amult gr antangous sel	|---|--⌫--|------⌫-||
ataignent a lentreede laf ores t	--------|||-----|-|-|-⌫----⌫|
lalo nt sais i mul tlidesplest	-||-⌫-|----⌫|---⌫|-|-------|
mais ilen sont ioia nt etlie	---|-|-|---|----⌫-|-|--|
etdautre part	-||----|---|
resontirié	-----|----|
lietsont de cequeillontpris	---|---|-|-|--|-||--|---|
e tangousse uscem	-⌫|--------⌫-|-||
estauisdecequ il	--|---|-|-|-|-|
ests i esragi és cas cunsen est	--|-⌫|------⌫--|---⌫---|-|--|
fourment iriés.	-------|-----||
doucementaraisouné l	--------|---------||
onte tilcomfaus	--|-⌫|-|--|---|
naisresponttoutar ebou rscom me deruéscomme chi usqui	---|------|---||-⌫----⌫-|---⌫-|------|----|---⌫-|--|
est foursene ́s.	--|--------⌫-||
rouel le etraisue	-----⌫-|-|-----|
etrit et maintederueri edist q uan ton p arole a	-|--|-|-----|-------⌫|---|-⌫---⌫|-|-⌫----||
luide b ie netilresp ont toutea u trerien	--|-|-⌫--⌫|-|-|----⌫--|----|-⌫-⌫--|---|
domeesra giétestses respon s	|--|----⌫----|--|--|------⌫|
quilors oistses	--|---|---|--|
compaignonsplo ureretplain dre et g rant	----------|---⌫---|-|-----⌫--|-|-⌫---|
duel faire	---|----|
etpoins tordreet cheuiausdetraire	-|----|-----|-|-------|-------|
pasmersouuent en	-----|------|-|
po ideter me	--⌫|-|---⌫-|
iotploure emaintelerme	|-|------⌫|-----|----|
p our l orsignouront grant tris t rece	-⌫--|-⌫-|------|--|----|----⌫-⌫---|
mult regr etents agrantprouecesafran cises onu asselagesa	---|----⌫----|-⌫|----|------|-|----⌫---|-⌫-|-⌫-------|-|
sonfr anccorage.	--|--⌫--|-----||
quiles oistploureretplaindred ire	--|--|---|------|-|-------|-⌫--|
pe us tainc noigraindre ploureicn e duelfaired	--⌫--⌫|---||-|-------|-------|-⌫|---|----||
sie nfo nt ceestla soume.	---⌫|--⌫-|-|--|-|----||
enpoid eure	-|--||---|
o ntl eurgra ntl e e cetourneeen	-⌫-|-⌫--|---⌫-|-⌫-⌫-⌫-|------|-|
ireet en xxx.	--|-|-|--||
seuentqu ilp uissent fai reneualernequel	-----|-|-|-⌫------|---⌫-|-||---|-|---|
part trairecardaler auantenbourgon gneontgrant	---|-----|--||---|----|-|-------⌫--|--|----|
doutanceet gra ntuergongne	-------|-|---⌫-|--------|
m ultlorest p lu scontrecoragepourlangousse	-⌫--|--|--|-⌫--⌫|-----|-----|---||-------|
dece sterag ec	-|--⌫--|---⌫||
uimatinquantdelostelmure n tenespe ra nce	-|----|----|-||----|----⌫-⌫|-|----⌫--⌫--|
adonquesfurent derepairier a grantleece	-------|-----|-|--------||----|----|
etagrant houne ursanstrist receo	-||----|-----⌫-|---|-----⌫---||
leursigneuren lo urp ais a leur	---|------|-|--⌫-|-⌫--||---|
parensaleur	-----||---|
orl e urest sicrueleetfierefort une	-|-⌫-⌫-|--|-|-----|-|----|----⌫--|
etdema le maniereq ue	-|-|--⌫-|------|-⌫-|
plourerleurfaitmaintelermea presgrantioieen	------|---|---|-----|----|-⌫---|----|---|-|
poideterme	--|-|----|
maisna ui n t sisou dainementsi tre sgr ansduelsa	---||-⌫--⌫-⌫|-|---⌫--------|-|---⌫|--⌫--|----||
quant ontassespl ainte t plouré	----|--|----|--⌫---|-⌫|------|
siontenleur conseltrouuéquil	-|--|-|---|-----|------|-|-|
l emenr on t a	-⌫|----⌫--⌫||
recelee priuee menten l eur contreea	------|------⌫---|-|-⌫--|------||
undes fors cast ia us	-|--|---|----⌫--⌫-|
sonpereselliuerront lui	--|---|-||--------|--|
etsa merequimo ut	-|-|---|--|--⌫-|
bieng arderlef ero nt	---|-⌫----|-|-⌫---⌫-|
par itantse ndeliuerr ont .	--|----||-⌫|--------⌫--||
ce stcons eiltienent	--⌫-|----⌫--|------|
aupl us bel.	-|--⌫-|--||
at ant o nt p ris	--⌫--|-⌫-|-⌫--|
ledamoise l afine for ce	-|-------⌫||---|---⌫-|
e tamartirelefont	-⌫||------|-|---|
liie retagrant ire	----⌫|-||----|--|
ango usseuse n sontet dolent .	----⌫-----|-⌫|---|-|-----||
pu is l ontmontéisn ele ment	--⌫-||--|-----|---⌫---⌫---|
sus un soue f ambla nt	--|-|----⌫|-----⌫-|
de st rierderriereluiunce ua lier q uien sesbrasl e	--⌫--⌫---|-------|--|-|--⌫--⌫---|-⌫-|-|--|---|-⌫|
agrant dolor	|----|----|
droitenb ourgongne s en reuont	----|-|-⌫--------||-|-----|
a lapl ustristregen t du	|-|--⌫-|------|---⌫|-|
tantontesrécelegenttrist r eleur	---|--|----|---|---|-----⌫-⌫|---|
iourneede gisteen gi stequa unca stel	------|-|----|-|--⌫--|-||-|--⌫---|
senpereui enentcouuertementmultsecontienent etl eurmal	--|---|--⌫----|-----------|---|-|---------|-|-⌫--|--|
auenturecoeur ent.	-------|-----⌫--||
malsagementoeu rent neuoe lentp asla	--|-------|---⌫---|-|---⌫---|-⌫-|-|
coseespandre tumul tefai reneesclandreaupueple	---|-------|-----⌫-|---⌫-|-|--------|-|-----|
deleuraue nturequitan t parest et	-|---|---⌫----|--|---⌫|--|--|-|
pesme etdurequ emultduremen tsenesfroi ent	----|-|---|--⌫|---|-------⌫||-|------⌫--|
pri ueement a uant	---⌫------|-⌫---|
enuoientau	-------|-|
pereamadasleur	---|-----|---|
signeuret si	------|-|-|
limandentladoleur	-|------|-|-----|
to utsicomeleestauenue.	--⌫-|-|--|--|--|-----||
quant lan ouuelea	----|-|-⌫-----||
entendu elisenesc ausencontreua itma isestrange duel	-------⌫|-|------⌫--|-------|--⌫-|--⌫-|-------|---|
maine etfait	----|-|---|
enplouran t les a	-|-------⌫|--||
to usbaisi ésmaiso r estli	--⌫-|-----⌫--|---|-⌫|--|-|
delsenforchiés	---|----------|
n est pasmeru elles	|--|--|----⌫---||
ilsesmaiecarorsetil	-||-----|--|-|--|-|
bienquestuera ie	---|-|--|----⌫-|
lano uuelequ	-|--⌫----|-|
ilaoie e .	-||---⌫||
notmai stel dol ouren	|-|---⌫|--|---⌫--|-|
quantsonbiau	----|--|---|
filuoi t en dolourtournéetensigrant	--|---⌫|-|-----|------|-|-|-|----|
tr ist r o ur.	--⌫---⌫-⌫-⌫-||
priueementenrecelés ansnoise	---------|-|------|-⌫--|----|
etsans cri l	-|---|--||
ontmene ́ sus uc ast elp riueement	--|----⌫|--||-⌫---⌫-|-⌫--------|
pou rap pa rceuanced e gentenune camb re multsecree	---⌫|--⌫--⌫-------|-⌫|---|-|--|----⌫-|---|-----|
la mere uinttoute	-|---|---|----|
esfreeetetesperdue	-----|-|-|-------|
pasmeeestdesour l ui keue.	-----|--|-----|-⌫-|---||
aureuen irpleuree t so uspire se smainsdetortses cheu e x	-|-----⌫-|-----|-⌫|--⌫-----|--⌫|----|-----|--|----⌫-⌫|
enlui erttoutesente n te	-|--|--|----||----⌫-⌫-|
ore enestireee tdole nteetang ousseuse etsi	--|-|--|---|-⌫|----⌫--|-|---⌫-------|-|-|
p en siue plus que n ul eda mequi uiue.	-⌫--⌫---|---|--|-⌫--⌫|--⌫-|--|---||
bien legardentenre celeeen	---|-|------|-|--⌫----|-|
un ecambre bien celee.	--⌫|-----|---|----||
pluisorsmedeci nesli f ont mais	-------|------⌫--|-|-⌫--|---|
d eriens mestier n el i	-⌫|----|------|-⌫|-⌫|
il e st enfinsi e sra giéstous	-|-⌫-|-|--|-|-⌫---⌫----|---|
ioursestuetqu ilso i t	----|-----|-|-|--⌫-⌫|
tantlontgardépriueem ent	---||--|-----|-------⌫--|
q uil porent	-⌫|-|-----|
sansseude gent	---|--|-|---|
ma isse loncla parole au mai strecelee	--⌫-|--⌫---|-|-----|-|---⌫---|----|
ne pue tlongue se streaupueplete s	-|---⌫|------⌫|-⌫---|-|-----|--⌫|
messauentur e.	-----------⌫||
tienenttrestuitadureenbour goig nequa ntl	------|-------||---|-|----⌫----⌫-|---⌫-||
ont seue etpa rlatere	--|---|-|--⌫|-|---|
estespandueet clerc etlai	--|-------|-|----|-|--|
etcheualier etda mois elet esquii ercom munementpour eetman ant	-|--------|-|--⌫----⌫-|-|------⌫-|---⌫-------|----⌫|-|---⌫--|
e nfon t unduel	-⌫|---⌫|-|---|
meruellesgrant .	--------|----||
pleurentd amesetdam o iseles quan t ile n sorent	-------|-⌫---|-|---⌫-⌫-----|----⌫|-|-⌫|-----|
lesnouueles	--|-------|
douduelnepuisdir elasoume	--|---|-|---|---⌫|-|----|
qui namoittan tnul homeesttropiriés	--||----|---⌫|--|---|--|---|-----|
delanouuelepa r toutebourgoigne	-|-|------|--⌫|----|---------|
la bele es t	-|---|--⌫|
gransl ideu s adesmesu re	----|-⌫|---⌫||-------⌫-|
multsont iré	---|---|---|
ad esmesure.	|-⌫-------||
m erestueta direcom	-⌫|------||---|--|
agran tduelcom a	|----⌫|---|--||
g rantir e outresongrefufianchie	-⌫---|--⌫|----|--|--|-|-------|
angous seetenire	------⌫-|-|-|--|
plus amastla mortquestre uiue .	---|----|-|---|-|----|---||
plu s dolenteneplu spensiue	---⌫|------|-|---⌫|------|
na oumontdamene mescin e.	||-|---|---|-|------⌫||
norrésmais	|-----|---|
des ienterinepar lerde droit e drueri enequ itan t	-|-⌫|-------|---⌫--|-|-----⌫|------⌫|-|--⌫|---⌫|
soitlo ial amiecarele	---|--⌫--|---|--|--|
es t sif ortadol ee quantd amadasest deseuree que	--⌫|-|-⌫--|----⌫-|----||-----|--|-------|--|
uolentier s sefust oc isenefu stu ne estra n g ecointisequ	---------⌫|-|---|--⌫--|-|--⌫-|-⌫-|-----⌫-⌫-⌫|-------|-|
afaiteouamult	|----|-||---|
grantfiance.	----|-----||
cou lemet enboin e esperancequ	--|-|--|-|----⌫|--------|-|
amadas lait pucele et	-----||--|-----|-|
pu rep ar si merueilleuse aue ntureque i am a isiorcaiés	--⌫-|-⌫-|-|-----------|---⌫----|--|-⌫--⌫-⌫-|--||----|
a uiu r e e nfable nen canconn	|---⌫-⌫|-⌫|----||-|-----||
en liu ren orésausif iere controeue.	-|---⌫-||----|---|-⌫---|--------||
laouest amors bie nse proeuepuisquele	-|-|--|----|---⌫|-|-----|-----|--|
esteturaieet	--|-|----|-|
ous oitoudame u soitmescin e	-|-⌫--|-|---||---|------⌫|
cesteertpartan sd ameclameeq ui si lon guemen t	----|--|--|---⌫|-⌫--|-----|-⌫-|-|---⌫------⌫|
s estmen ee	|--|---⌫-|
par une multbele uo isdiequefemen ert	--|--|---|---|--⌫----|--|---||--|
iad e sgar nie .	-|-⌫-⌫----⌫--||
troissorcie ressansdemorancea	----|------⌫--|---|--------||
quisesquideingremancese uent entr e l es to ute l	-----|--|-|---------|--⌫---|---|-⌫-⌫-|--⌫--||
a toutes t roistantostdescoeures a uolen te etqueuelt	|-----|-⌫---|------|--------|-⌫|-----⌫-|-|--|---|
faire seens i	----|-|---⌫|
l epuetacieft rairetantleur	-⌫|---||---|-⌫----|---|---|
do nraq uatos	--⌫--|-⌫||--|
i orsmaisenserontmanantes	-⌫--|---|-|-----|-------|
desa part c ascunelidistque tantseuent d	-|-|---|-⌫-----|-|---|--|---|-----||
ar tetdenginque touteli tr airo nt	--⌫|-||----|--|----|-|--⌫----⌫-|
a c ief sau olentea terme	|-⌫--|-|-⌫-----||----|
et elessi ferontmult biencaren ces tmonde	-|---|-|-----|---|---|--|-|---⌫|----|
terii enn erentmaisance le strouueesnede	-----⌫-||----|---|----⌫--⌫|-------|-|-|
sensesprouuees qu e les seuent de nuit uolerpar	---|---------|-|-⌫--|-----|-|---|----|--|
toutlemont	---|-|---|
merfairelesondesestreempaiscommelate rre	--|----|--|----|----|-|---|----|-|--⌫--|
etpuisapresdefors	-|---|----|-----|
dela gr aineu enirarbres nai str ecroistreet floriret	-|-|--⌫---|-⌫---|-----|---⌫---⌫|-------|-|-----|-|
seuent par en cantementre susciterla morte	-----|--|--⌫--------|--⌫-------|-|----|
gentdesuisl une alautre figu r e	---|--|--||--|||----|----⌫-⌫|
muerp arart	---|-⌫-|--|
etparfigurehoumefaireasnedeue niret	-|--|-----|----|----|---|----⌫--|-|
il uo el entendormiret puissonger cou queleur	-|--⌫--⌫--|-------|-|---|-----|--|--|---|
pla ist be s tesorgener	---⌫--|--⌫-⌫--|------|
enfor estmursremue re ttrembler tourset	-|---⌫--|---|-----⌫|-⌫|-------|----|-|
courrearebour s.	-----||------⌫||
nepuispard ire ne conte r	-|---|--|-⌫--|-|-----⌫|
la dis me pa rtne raconter quelesseu ent	-|---⌫-|--⌫-|-|-------|-|---|---⌫--|
dem au uaisarsdesagesfontso setmusars	-|-⌫--⌫---|--|-|----|---|--⌫|-|-----|
tantont grantse nsmultme smeruel.	---|--|----|--⌫-|---||-⌫------||
aydoineso nt a conseil toutestrois	|-----|--⌫-||------|-----|----|
liupriué et de uisentl euruolen t e	--|-----|-|--⌫-----|-⌫--|-----⌫-⌫|
comlefero nteten quelguis e endroitso i cascune	--|-|----⌫-|-|-|---|----⌫|------|--⌫|------|
tantontleur raiso n recordéquelessont a u ne	---|--|---|-----⌫|-------|-|---|---||-⌫-|
tour ne ́afairesoncommandement com	----⌫--⌫||----|--|-----------|--|
el meism e	-|-----⌫|
leuraprent	---|-----|
aco rtsont toutesbien.	---⌫-|---|-----|---||
ilne sede meurent de riena fair eceque	-|-|-|--⌫------|-|---||----⌫|-|--|
leur a dit	---||--|
ainssapparellent san s	---||----------|---⌫|
respitatou rnentleurencant eme ntet	-----|----⌫----|---|------⌫---⌫-|-|
ap parill ementl eursars etleur enginsdiuers	--⌫------⌫----|-⌫---|--|-|---|-----|-----|
auior kelic uens	-|--|-|-|-⌫---|
deneuersgist	-|-----|---|
pres d ydoine.	---||-----||
une iourneecau ma tindutestre es pousee	--|------||-|--⌫--|--|----|--⌫-----|
ydoine olio	-----||-||
grant bar n ageles t roi squiseuent tout lusaged	----|---⌫-⌫--|--|-⌫---⌫|--|-----|---||----||
encan ter enc ontrenature la uinrenttoutpa rnuitoscurea	-----⌫--|---⌫----|-----|-|------|---|--⌫|---|-----||
tele eure comme licu enssef u couciés	---|---|----|-|--⌫--|-|-⌫|-------|
e n t relessuensqui de gra n t s oumels onts ousp ris	-⌫-⌫-⌫-|--|----|--|-|---⌫-⌫|-⌫----|-⌫--|-⌫----⌫--|
endormi s on t	------|-⌫--⌫|
il iutpen sis	-|--|---⌫--|
c omcilqui multaapense r quiaumatin	-⌫-|--|--|---|||-----⌫|--|-|----|
dutespouserfeme desig en till ignage	--|-------|---|-|-|-⌫--⌫--|-⌫-----|
esuous les troisparartimagedeuantlec onte	-|---|--|----|--|-------|-----|-|-⌫---|
apertemen tlaiens c onques	---------⌫|-----||-----|
licuensne lsot	-|----|-||--|
cuisn e fene streni	|--|-⌫|----⌫---|||
desclo tou trocdun e alaisnepetit	------⌫|-|---||--⌫|------|----|
entraissent bien	----------|---|
sans contredit	---|--------|
etquant laie nsuenues	-|----|----⌫-|-----|
sont tou s emsamb leendo rmis lesontforsleconteque	---|---⌫|------⌫-|----⌫---|--|--|---|-|----|--|
ont t rouu éesuillie ́	--|-⌫----⌫-|--------⌫|
lui onte ncanté si q uesela	--|--|-⌫------|-|-⌫-|-|-|
ma isonsar sist	--⌫----|--⌫---|
ne pa rlastnunmotnedesist	-|--⌫----||-|--|-|-----|
a nulhoume neh au t	|--|----|-|-⌫--⌫|
se re muastplainpas carne sets i ldort	-|--⌫----|----|--|--|-|--||-⌫|---|
u siluelle	||-|----|
etpuissemu ent ameruel leemb ele s figure sde	-|---|-|--⌫--||------⌫-|-|-⌫---⌫|------⌫|-|
fee s siseti gnentadestinees .	---⌫|-|-|--⌫----||--------||
pou rclotosetientla premierepou r	---⌫|----|-|----|-|-------|---⌫|
lachesis lautresorci ere	-------||----|-----⌫--|
et l a tierce pouratropos qui t outb ienmetarrier e	-|-⌫|-----|---|------|--|-⌫--|-⌫--|--|------⌫|
astroisdestineessetienentparquitoutescosesauie nen t	-|----|--------|-|------|--|--|-----|----|----⌫---⌫|
en ha u tdientquepar naturedetoute humainecreature	-|--⌫-⌫|----|--|--|-----|-|----|------|-------|
ontlepooi retlab ailliedetoute	--|-|----⌫|-|-|-⌫-----|-|----|
rien ski m ain t	----⌫|-|-⌫---⌫|
edestinent aleur p lai sirceque	|--------||---|-⌫---⌫--|-|--|
as gensdoi t auenir porriens	-|---|---⌫|-----|--|----|
du mont i anefaur a.	-|---|-⌫|-|----⌫||
xxx tanton t go rgoié l ongue mentdeuant	--|---|--⌫|--⌫-----|-⌫-----⌫---|-----|
le conte ethautement	-|----|-|--------|
qu ilont leur mengier atourné	-|-|--|---|------|-------|
maisellontsi	---|-||--|-|
enfantosméque illesot	----------|--|-|--|-|
etu oi tmultbienetsinedeis t	-|-⌫--⌫|---|---|-|-|-|----⌫|
rienn e neset	---|-⌫|-|--|
seildo rt ou nonouse c est	-|-|--⌫-|-|--|-|-||--|
uision quil nesepuet ne is	-----|-|-|-|-|---|--⌫-|
deuantsonlit sansatargierune touaille rice	-----|--|--|---|-------|--|-------|---|
e tgra ntbele e t blanc etraie nt auant	-⌫|---⌫-|---|-⌫|-----⌫|-----⌫-|----|
etdargentt roiscoupes	-||-----|-⌫---|-----|
m ult be lestrois c u illiers et trois esqui ele s	-⌫--|--⌫--|----|-⌫-⌫------|-|----|-----⌫---⌫|
eablansmancestrois coutiaus etpuis	||----|-----|----|-------|-|---|
a pr estroissimeniaus	-⌫--⌫-|----|--------|
me n gie resont et uian deschieres etboiresdemaintes manier es	--⌫-⌫---⌫--|--|-|----⌫--|------|-|-----|-|------|------⌫-|
etquantmengié et beuo ntent r eesenparo lesso nt	-|----|------|-|--|-⌫-|---⌫-⌫--|-|----⌫--|--⌫-|
etdeuis ent	-|-----⌫--|
comdestineesles oe uresde pluiseurs contrees lesafair es	--|--------|--|--⌫---|-|--------|-------|--|-----⌫-|
detoutlemo ndeet	-|---|-|--⌫--|-|
det erre etde merparfonde .	-|-⌫---|-|-|--|-------||
ma in t ee s trangecos edeuisent co mcelesqui	--⌫--⌫-⌫|-⌫-⌫-----|---⌫|-------|--⌫|----|--|
lemontius ticentetd estineessont e t maist res	-|---|---⌫-----|-|-⌫-------|---|-⌫|-----⌫--|
desgrans auenturesterraistres	--|----|--------|----------|
etdientde p luseur s lesso umes	-|----|-|-⌫------⌫|--|--⌫---|
tantquil au ientasriceshomes	-----|-|--⌫---|-|----|----|
deniue rnoisetdupa isdontli	-|----⌫----|-|-|--⌫-|---|-|
cuensestsires	----|--|----|
mult ont g rantp lait	---|--|-⌫---|-⌫---|
detiexueusquilc ounoist	-|---|---|-|-|-⌫------|
encorpormix f ai re le cro ir e	----|--|--|-⌫--⌫-|-|---⌫--⌫|
oeuresoit toute	----|---|----|
uoireau enturesc ontees ontplus eurskitrespasseessontde	----|--⌫------|-⌫-----|--|----⌫---|-|----------|---|-|
s esparen sdes esc o usins	-⌫-|-----⌫|-|-⌫-|-⌫-⌫----|
d esespe r setdes esuoisinsdete us ke	-⌫|--|--⌫-⌫|-|-|-⌫-|------|-|--⌫-|-|
ilabienueu esquiou	-||---|---⌫-|--|-|
p a isson tauenues	-⌫-⌫-|---⌫|------|
ale ur u oloir ale ur plaisir destinent puis	|--⌫-|-⌫----||--⌫-|------|--------|---|
questau enir si	-|--||-⌫---|-|
c o m e lfaignentet contr oe uent	-⌫-⌫|-⌫|-------|-|-----⌫--⌫---|
car as destinees sepro euent .	--|-|--------|-|---⌫----||
ontasso mé	--|----⌫--|
l eur cont etou rneessensontdroitau	-⌫--|----⌫|---⌫----||-|---|----|-|
conte si l	----|-||
o ntausienfant os me ́ d eceq u ontfait	-⌫-|---|------⌫--⌫--⌫|-⌫|-|-⌫|--|---|
e tcontrouécainc	-⌫|--------||---|
uncrestiie nausitresafoléderien	-|--------⌫|---|---|-----|-|---|
icele quiclotod oit estre qu i fa itla	----|--|----|-⌫--|----|--⌫|--⌫-|-|
genthuma in enestresid istcomtraitres seet	---|----⌫--⌫|-----|-|-⌫--|--|--------⌫-|-|
fa inte et q uifeskeatr ouuee maintesero urs	--⌫---|-|-⌫-|----||--⌫----|-----|----⌫--|
larenuoieedistdecest contequiici gi s t	-|-------|---|-|---|----|--|--|--⌫-⌫|
etendor missi finemen tqueriensneuoitorne	-|-----⌫--|-|-------⌫|--|----|-|---|-|-|
ententquen ous dionscientrenous	-----|--|-⌫--|----|-|----|---|
be les sereurs	--⌫--|------|
dit es u ous	---⌫-|-⌫--|
demain ydoineespouser aq uenditesu ous	-----|-----|--------⌫|-⌫|-|----|-⌫--|
que nauenra	-|-⌫|-----|
queluiedemenrontensambl e	---|--|--------|-------⌫|
l autred istmeruel les m e samblequi	|----|-⌫--|------⌫--|-⌫|-----|--|
medemandésc ard ydoinetres	-|--------|-⌫-||-----|---|
bie n saués qu	---⌫|-----|-|
asa naissancefuimariesidestinaiqueen	|-|--------|--|----|-|-------|--|-|
saui eiamaisioiedamorsnaroit	-|--⌫|-----|---||----||----|
tantcomn ulior	---|--|-⌫-|--|
uiu es eroit d amor dusieclelai partie	---⌫|-⌫----||---|-|-----||-|-----|
de toutehumainedru erie	-|----|------|---⌫---|
asbiens damorslai	-|----||----||-|
faitfalirmais	---|----|---|
nelipu is pa sd iutolir	-|-|--⌫-|--⌫|-⌫-|----|
s aint e cosequit que	-⌫----⌫|---|---|--|
uoelle e stre carcuren adommeterrestre.	-----|-⌫---|--|---||||---|--------||
t outeliai tolula ioieuous	-⌫---|-|-|---|-|---|---|
lacr iastesbele etbloi e etierefis	-|--⌫-----|---|-|----⌫|-|-|----|
cou que uoil faire	--|--|---|----|
to ute sa uie engra ntcontraire aimise	--⌫--|-|--|-|---⌫-|--------|-|---|
puisqu aurasignouriamais ne rteur esansdolor.	-----|---|------|-----||-⌫-|---⌫|---|----||
cl otoquidoit estre l aisneer espontcom	--⌫--|--|---|----||-----|-⌫-----|--|
faussedestineetres	-----|-------|---|
parau e ́scruelcoragequant	--|--⌫-⌫-|----|-----|----|
sigra ntduelet t eldamagedestinés a	-|---⌫-|---|-|-⌫-|-----|--------||
telc reatu re quitant	--|-⌫-----⌫-|--|---|
estfrance et	--|-----|-|
b eleet pure defaitesle mabelesoer	-⌫--|-|---|-------|-|-|---|---|
nonferaicertesa	--|----|-----||
nulfoercarn epuetestrequefauseesoit a	--|---|--|-⌫|---|----|--|-----|---||
nulior m adestinee	--|--|-⌫|-------|
latiercequatropos doit	-|-----|-|------|---|
estrequicascuneioieterrestr epar	----|--|------|---|--------⌫|--|
mortadolorf inecomc ele	---||----|-⌫--|--|-⌫--|
qui totm ald estine quii a n auraa	--|--|-⌫-|-⌫-----|--|-⌫||---||
nuliorbienporqu	--|--|---|--|-|
ele oie parler derienqui	--|--|-----|-|---|--|
tour ta leec enaioie	----⌫||----⌫|||---|
i a ner thaitiequebienoie	-⌫||--⌫|-----|--|---|--|
qui mortatouter iendestine en haut	--|---||----|-⌫--|------|-|---|
comfelenesse fine	--|--------|---|
