decesmessages enuoiathiebauz	-|--|-------|-----|-------|
ereerbergie el	--|-------|-|
pal aisde calced oineala costoiantp art erre	---⌫--|-|------⌫---|--|--------|-⌫-|-⌫---|
en siserbegierentsor	--⌫-||----------|--|
alescutairee tcontremo nt	||--------|-⌫|--------⌫-|
l o std esfra ncoiset	|-⌫-|-⌫-|---⌫----|-|
emperere alexis	-------|-----|
la soeostissir	-|--|--|----|
decosta ntinoplesi se	-|-----⌫-------|-|-|
her beriasorl a utreriue	---⌫----|--||-⌫---|---|
d au tre parten d roit	|--⌫--|---|--⌫-⌫---|
sifisttendre sespa ueillon s	-|---|-----|--|--⌫-------⌫|
porc equ ecilne	--|-⌫|--⌫|--|-|
peussent prendrete rreparf orce	-------|------|--⌫--|--|-⌫---|
sor luiensisei orna	--|--|---|---⌫---|
francoi sparyyi ors	-------⌫|--|-|-⌫--|
etseporcacade u iande	-|-|------|-|-⌫----|
cil qu e mestie r enot	--|--⌫|------⌫|-|-|
c efu renttuitcil de los t	-⌫|--⌫---|---|--|-||--⌫|
de den zcelseioris s iune	--⌫---⌫|--|----|--⌫-⌫|--|
demult bone g ent porgarder	-|---|---|-⌫--|--|-----|
lostqueon nelifei st	|--|--|-|-|-|---⌫-|
mal etl ifor ier et	--|-|-⌫|---⌫--|-|
cerchieren tlacontreeencele	----------⌫|-|------|-|---|
chompaignefuodes li	---------|-|---|-|
cham penoisde ch a nliteet	----⌫-----|-|--⌫-⌫----|-|
guillelmesse s	---------|--⌫|
ogiers desain	-----|-|---|
cheron e t	-----|-⌫|
manassiers del isleet	---------|-|-⌫---|-|
licuensger a rsunscuens	-|----|---⌫-⌫-|--|----|
delombardiequi	-|--------|--|
ere del marchisde monferr at	--|--|------|-|-------⌫-|
etorentbienauecal syy	-|----|---|---|--⌫|-|
yycheuali ersd emult	-|-------⌫--|-⌫|---|
bone gen t	---|---⌫|
et c hoisier entel piedelamontag ne	-|-⌫-------⌫--|-|--|-|-|------⌫-|
pauei l lons bienatroislieu e s	-----⌫-⌫---|---||----|----⌫-⌫|
lostet ceestoit	|--|-|-|-----|
me geduxlempere or dec ostantinoplequi bien	--⌫----||------⌫-|-|-⌫-----------|--|---|
auoit yyyycheu a liers de	----|-|-|----⌫-⌫----|-|
grius qua nt nostre gentles	----|---⌫-|-----|---|--|
uitsiordene rentlorgent	--|-|------⌫---|--|---|
en yybatailleset fu	-|-|--------|-|-|
lorco nselstie ls que	--|--⌫----|---⌫-|--|
iroientconbatre a elset	------|-------||--|-|
qua nt li g r ieules	---⌫-|-|-⌫-⌫--|--|
sior denerent lorgenzet lor	-|--⌫-------|--|---|-|--|
b atai lleset	-⌫----⌫---|-|
re ngier ent par	--⌫-----⌫--|--|
deuantlespaueillons et	-----|--|---------|-|
lesat tendirentet nostre	--|--⌫--------|-|-----|
gentlesa lerentferir	---|--|-⌫-----|----|
multuigue roisement	---|-----⌫--------|
alaiededieu	||--|-|---|
n ostre sei gnor	-⌫----|---⌫---|
cil estors etligrie u	--|-----|-|-|----⌫|
lortornent lesd os	--|------|--|-⌫-|
si fure nt	-|----⌫-|
de sconfitala premiereassemblee	--⌫------||-|-------|--------|
et lin ostreles	-|-|-⌫----|--|
enchau cent bien une	------⌫---|---|--|
l iuegrantlagaa ignerent	-⌫--|----|-|---⌫-------|
assezceuau set	----|-----⌫|-|
et palefrois et	-|--------|-|
mulesettent ese tpaueillons	----|-|----⌫-|-⌫|---------|
ettelgain g cona tel	-|--|----⌫|--||--|
besoigneaferoiten si sereu indrent	-------|------|--⌫-|-|---⌫------|
furent mult uolentiersueu etde partirent l orgai n g	-----|---|---------|--|-|--⌫--------|-⌫-|---⌫-⌫|
si com ildurent	-|--|-|-----|
aut reiora presenuoiale m perere	---⌫-|--|-⌫---|-----||-⌫-⌫-----|
alexis unmessag easconte s	-----|-|------⌫|-|-----⌫|
eta sbaron s et	-|-⌫|-----⌫|-|
l etrescilmessagesauoi tnomnichol au s rous et	-⌫----|--|-------|----⌫|--|------⌫--⌫|---|-|
lombardieet	--------|-|
troua l esbar on sel riche	----|-⌫-|---⌫--⌫|-|----|
palais delscutai re	-----|--|------⌫-|
es to ienta unco nseiletles	--⌫--⌫---||-|--⌫----|-|--|
salu ade part l	----⌫|-|---||
empereoralexide	-------|----|-|
costantino bleet	----------⌫--|-|
t endisesletres	-⌫---|--|-----|
lemarchisb onifa ce demon ferra t	-|------|-⌫-----⌫-|-|---⌫-----⌫|
et c ill esrecut	-|-⌫-|-⌫-|----|
furentleuesdeuanttozles	-----|----|-----|--|--|
parole siot	------⌫||-|
demaintesm anie resesletresque	-|------|-⌫----⌫--|-|-----|--|
ne racon te mie	-|-----⌫-|--|
etapre sle sautre sp aro les	-|----⌫|--⌫|-----⌫|-⌫---⌫--|
qu i f urents ifu rentde	--⌫|-⌫----|-⌫|--⌫---|-|
creance queo nc reistc elu i	------|--|-⌫|-⌫----|-⌫---⌫|
quilesauoitapp ortees	--|--|----|---⌫-----|
qui nicholas rousauo itnom	--|-------|---|---⌫-|--|
biels sire	----|---|
letres etnosdi e ntque	-----|-|--|--⌫-⌫-|--|
nosuoscr eonsetnos	--|--|--⌫---|-|--|
creo ns b ien or	----⌫-|-⌫--|-|
queuosplaira	--|--|-----|
etlimessagesestoit	-|-|-------|-----|
deuantles barons	-----|--|-----|
seignor faiti lle mpe rere	------|---|-⌫||-⌫---⌫---|
alexis uosman de quebi en	-----|--|---⌫-|--|--⌫-|
uo siestesla	--⌫|-----|-|
meillo rgent quis oientsanz	------⌫|---|--|-⌫----|---|
co roneetde lameillor	--⌫---|-|-|-|------|
t er requisoite tmult	-⌫--⌫-|--|---|-⌫|---|
s emeruoi lle	-⌫|------⌫--|
porquoinea	--|---|-||
q uo iuosiestes uenuen	-⌫--⌫|--|-----|---|-|
saterre neensonregne	-|----|-|-|--|----|
queuosestescrestienet	--|--|----|-------|-|
ilestcres tiens et	-|--|----⌫----|-|
qu eu osiestesmeupor	--⌫|-⌫-|-----|--|--|
terredoltremere t	----||-------|-⌫|
porlasaintecroizet	--|-|-----|----|-|
por lese pulcreresc ore se	--|-|--⌫-----|----⌫--|-|
ie stespoures ne disetels	--⌫---|-----|-|-------|
iluosdonrauolentiersde	-|--|----|---------|-|
ses uiandesetdes on auoir	--|------|-|-|-⌫-|----|
et uo sl iuuidie zsater re	-|--⌫|-⌫|------⌫|-|---⌫-|
neuosuo ldroitautre	-|--|--⌫-----|----|
mal faireetneporquant	--|----|-|-|-------|
lep ooirc ar	-|-⌫---|-⌫-|
seuosestiezyy tant de	-|--|-----|-|---|-|
gentneuo senporroiz	---|-|--⌫|-|------|
uo s aler sei lmaluos	--⌫|---|-|-⌫|--|--|
u oloit fairequeuos	-⌫----|----|--|--|
ne fu issiez	-|--⌫-----|
mo rtetd esconfit	--⌫-|-|-⌫-------|
parlacor tet	--||----⌫|-|
p arleconseilhaus autres	-⌫-|-|------|---|-----|
baro ns etle	----⌫-|-|-|
d ucdeuenise	-⌫-|-|-----|
p iez coen esde	-⌫--|----⌫-|-|
b e th u ne quiere bo ns cheualiers	-⌫-⌫--⌫-⌫-|--|--|--⌫-|---------|
etsagesetbien	-|----|-|---|
elo quens etrespontal	---⌫----|-|------|-|
messagebels sire u os	------|---|---|-⌫-|
no saue zditque	--⌫|---⌫|--|--|
uostre sir esse	-----|---⌫-|-|
merueillemult	--------|---|
porq u oinos t reseigne ur	--|-⌫-⌫-|---⌫-⌫-|------⌫-|
etno streba ronsontentré	-|--⌫---|--⌫--|---|-----|
e n sonre gnene	-⌫|--|--⌫--|-|
terreenson	----|-|--|
regn e ne e n	----⌫|-|-⌫|
terreilne so nt mi eentré	----|-|-|--⌫-|--⌫|-----|
qua r ille	---⌫|-|-|
tientator t et	----||---⌫|-|
apechieco ntre	|-----|--⌫---|
contre raison	-----|-----|
ainze stson	---|-⌫-|--|
neueu quici siete ntre	----|--|-|---|-⌫---|
no sso runec haiereq uiest	--⌫|--⌫|--|-⌫-----|-⌫-|--|
filsdesonf rere l e mpere or	---|-|--|-⌫---||-⌫-----⌫-|
sursacmessil uol oit a	-----|--||-|---⌫--||
lamer cisonneuouuenir	-|---⌫-|--|----|----|
et liren doit	-|-|---⌫---|
la c o rone	-|-⌫-⌫---|
empirenos liproi eriens	-----|--|-|----⌫-----|
queilliperdonastet li	--|-|-|--------|-|-|
donasttantque	-----|---|--|
ui u rericheme ntet seuos	--⌫-⌫-|-------⌫-|-|-|--|
porcestuimessage n	--|-----|------||
reuenez altrefoiz ne soiezsi	------|----|---|-|----|-|
hard izqueuos plus	----⌫-|--|--|---|
ireuegniez	|--------|
ensi separtili	---|-|----|-|
message set sen	-------⌫|-||-|
ral aar rieree ncostan tinoblea	---⌫|--⌫----|-⌫|------⌫------||
l empereor	|-------|
li baronpar lerentens e mb le et distrent	-|----|---⌫-----|---⌫-⌫--⌫-|-|-------|
lende main	|----⌫---|
qu ilmostreroient	-|-|-----------|
alexile fil	----|-|--|
lem pereo r	|--⌫-----⌫|
decost antinoble al pueplede	-|----⌫--------|-|-----|-|
lacite etdon tfirent	-|---|-|---⌫|-----|
armer l es galiestotesli	----|-⌫-|-----|----|-|
d uxde ue niseetlimarc hi s	-⌫-|-|--⌫---|-|-|----⌫--⌫|
de monfer rat	-|------⌫--|
entre rent en	-----⌫---|-|
uneetmistrent	--|-|-------|
alsalexi le fil	--|----|-|--|
empe reo r sursac etes	----⌫---⌫|-----|-|-|
g aliesentrerentli che u alier	-⌫----|--------|-|---⌫-⌫----|
ba ronqui u o lt	--⌫--|--|-⌫-⌫-|
alerentrez	------|--|
ar ezdesmursdecostantinop le	|-⌫-|--|---|-|-----------⌫-|
e tmostrerental	-⌫|---------|-|
pueple desgrex	-----|--|---|
et distre ntueez	-|------⌫-|---|
ici uostre se ign orna t urel et	--|-----|--⌫---⌫-|--⌫-⌫---|-|
sach iezno sne	----⌫--|--⌫|-|
uenimes por	------|--|
uosmalfaire ainzuenime s	--|--|----|---|------⌫|
poruosga rder et	--|--|--⌫---|-|
poruosdef fendre seuos	--|--|---⌫-----|-|--|
carcilcu i uosobeissieza	--|--|--⌫|--|--------||
seignoru os	------|-⌫-|
tientatort	----||---|
pechi e cont r edieuet	-----⌫|----⌫-⌫|---|-|
contreraison	-----|-----|
sauezcom il a dislo iaume nt	----|--|-||-----⌫-----⌫-|
ouré uers	----|---|
sonseignoretuers	--|------|-|---|
sonfrere queil li	--|----|--|-|-|
les els traizet	--|--|----|-|
empireato rteta pec hie et	-----||--⌫-|-||---⌫--|-|
ueezcile droitoirse	---|-|-|----|--|-|
uosuostene z	--|--|----⌫|
alui uosf er e z	|--|--|-⌫--⌫-⌫|
ceque uosdeuroiz	-|--|--|------|
uosnelfa itesnosuos	--|-||--⌫---|--|--|
lepis q uenos	-|--|-⌫-|--|
po rro nso nquesn us	--⌫---⌫-|-⌫----|-⌫-|
et del paisnefistsembl antqu	-|--|---|-|---|-----⌫--|-|
tenistaluiporla	-----||--|--|-|
t remo re t	-⌫----⌫|-⌫|
porladota nce	--|-|----⌫--|
delempereo rale xi	-||-------⌫|---⌫-|
senreuindrent en l	|-|---------|-||
o sta rriereet ale rentchascuns	-⌫-|-⌫-----|-|---⌫---|-------|
asonhe be rge	|--|--⌫--⌫--|
lendemain quant	|-------|----|
ilo rent lamesseo ie	-|-⌫---|-|----|-⌫-|
sa semblerent a	|-⌫---------||
par lement et	---⌫-----|-|
fuli parlemenza c heual	-|-|--------||-⌫----|
e nmilechamp la p eussiezueoi r	-⌫--|-|----|-|-⌫------|----⌫|
destrieretmaintche ual ier	-------|-|----|---⌫---⌫--|
fuliconsei ls	-|-|------⌫-|
desb atailles deuiserqu ante s	--|-⌫-------|------|--⌫----⌫|
et q uelsilenauroient	-|-⌫---|-|-|-------|
bestance i ot assez dunes	-------||-|----||---|
choseset dau tresmesla	-----|-||--⌫---|--|-|
fin delcons e il futels	--|--|----⌫-⌫-|-|---|
conte baudoinde	----|------|-|
flandresfuo troié lauangarde	-------|-|-⌫-----||--------|
p or cequeilauo it	-⌫-|-|--|-|---⌫-|
mult g ra n tplentede bone	---|-⌫--⌫-⌫|-----|-|---|
gentetde archiersetd	---|-|-|-------|-||
arbalestriersplus	------------|---|
quel au tre bataillef eroit	--||--⌫--|-------|-⌫----|
henris s esfreresmahiusdeu aslainco rtet	-----|-⌫-|-----|-----|-|-⌫--------⌫-|-|
bal d uins debelueoi ret maintautre	---⌫-⌫---|-|-------⌫|-|----|----|
boncheuali er	--|-------⌫-|
d elo rterr esetde	-⌫|--⌫|----⌫-|-|-|
lorpaisqui auec	--|---|--|---|
els estoient	--|-------|
bataillefistli	-------|---|-|
cuenshue sd e	----|---⌫|-⌫|
sainpolpierre sd	---|--|------⌫||
amienssesnierseuthaices de	-----|--|----|--------|-|
canthele u ansiausdekauc	--------⌫|------|-|---|
etmaint bonc heualier	-|----|--|-⌫-------|
del orte rr ee t delorpais	-|-⌫-|--⌫--⌫|-⌫|-|--|---|
bataille f ist	-------|-⌫--|
licue nsloey s	-|---⌫-|----⌫|
blo is e tdechar t ain quimu lt	---⌫-|-⌫|-|----⌫-⌫--|--|--⌫-|
etredotezqueil	-|------|--|-|
mu ltgra nt ple ntedebons	--⌫-|---⌫-|---⌫--|-|---|
cheua li ers	-----⌫--⌫--|
etdeb onegent	-|-|-⌫--|---|
laqui ntebataillefistmahius demonmo renci et	-|---⌫--|-------|---|-----|-|-----⌫----|-|
l i campenoisioffr ois lima reschausde c ampaig ne	-⌫|--------|-----⌫--|-|--⌫-------|-|-⌫------⌫-|
fuenceleogiersdesa incheron	-|-|---|-----|-|--⌫-|-----|
ma nessiers	--⌫-------|
delislemi lesli brai ban zmacha ired e	-|----|--⌫--|-|----⌫---⌫|-----⌫--|-⌫|
saintemaneha ltio hansfoisnons	-----|------⌫-|--⌫---|-------|
gui sde ca pes	---⌫|-|--⌫--|
clarembauzsesniersr obe rzd eroncoi totes	---------|--|----|-⌫---⌫-|-⌫|-----|----|
cesgenzf i rent	--|---|-⌫-⌫---|
bataille sac hiés queil i ot	-------|---⌫----|--|-||-|
maintbo ncheu alier	----|--⌫|----⌫----|
lasisteb at a ille	-|----|-⌫--⌫-⌫---|
fire ntles genz deborgoigne	----⌫-|--|---|-|--------|
encelui fuoedes	-|----|-|----|
lichampe n oisde	-|------⌫-⌫--|-|
guill aumessesfreresricharsdedompierre et	-----⌫----|--|-----|------|-|--------|-|
o edessesfreres	-⌫---|--|-----|
haimessesfreres	-----|--|-----|
otes del aroche etguis	---|-|-⌫|----|-|---|
de co u lanse t	-|--⌫-⌫---|-⌫|
les genz de	--|---|-|
lorterresetd elorpai s	--|-----|-|-⌫|--|---⌫|
lasetimebataillefist limarchi s	-|-----|-------|---|-|------⌫|
b onif ac es	-⌫----⌫--⌫-|
demonferratquimul t	-|--------|--|---⌫|
gra nzil i furent li	---⌫-|-||-----|-|
lom b artet	---⌫-⌫--|-|
litos chain	-|---⌫----|
e t lialemainettotes	-⌫|-|------|-|----|
genzquifure ntde le	---|--|----⌫-|-|-|
montde mon c enis trosque a	---|-|---⌫-⌫---|------||
lionsor leronetuit	---|--|-|---|---|
cilfurenten labata ille le	--|-----|-|-|----⌫---|-|
marchisetfudeuisé que	------|-|-|------|--|
i lfero itl	-⌫|----⌫-||
ari ereg ar de	---⌫----⌫--⌫-|
li iorsfu de uisé	-|---|-|--⌫----|
qua nti l serecue ildroientes	---⌫-|-⌫|-|-----⌫--------|-|
nesetuaissiausetpor	--|-|--------|-|--|
prendreterr eoupo r u i ure	------|----⌫|-|--⌫|-⌫-⌫--|
oupormorir etsachiezque	-|--|----|-|------|--|
une de s plusdouto ses	--|--⌫|---|-----⌫--|
c hosesafaire qui	-⌫----||----|--|
onquesf ustl orsparleren tli	-----|-⌫--|-⌫--|--------⌫|-|
euesque et liclergies	------|-|-|-------|
a lpu epleet lormostrerent	-⌫|--⌫---|-|--|---------|
queil fussentconf e set	--|-|------|----⌫-⌫|-|
feis t cascu ns sadeuise	----⌫|-----⌫-|-|-----|
ilne s a uoientquant	-|-|-⌫-⌫-----|----|
diexferoit so n conmandement	---|-----|--⌫|-----------|
d else t ilsifirent	|--|-⌫|-|-|-----|
mu l tuolen ti erspar totelos t	--⌫-⌫|-----⌫--⌫--|--|---||--⌫|
et mu lt pitosement	-|--⌫-|---------|
litermesuin tsi	-|-----|---⌫|-|
com deuisezfuetl i	--|------|-|-|-⌫|
cheua lie rf urent e s uissie rstuit auecl ordestriers	-----⌫---⌫|-⌫----|-⌫|------⌫-|---|---|-⌫-|--------|
etfurent tui tarméles	-|-----|---⌫|----|--|
helmeslac iez etli cheual couert	-----|---⌫--|-|-|-----|-----|
etensellé	-|-------|
et lesa utres	-|--|-⌫----|
nauo ientmie	|---⌫---|--|
si grantmestieren	-|----|------|-|
bat aillefurent es	---⌫----|-----|-|
tuitetl esga lee s	---|-|-⌫-|--⌫---⌫|
furent armee s etatorn e estot e s	-----|-----⌫|-|-----⌫-⌫-|---⌫-⌫|
