O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
PurcedeienFrance estrehaltementcor onez.	--|-|--|-|-----|----|--------|---⌫---||
Edit EstusdeLengresTrop	|--|----|-|------|---|
Natendis t	|-------⌫|
pa s tantke	--⌫|---|-|
fussezapelez	-----|-----|
Mau ciont eise z	---⌫---|-⌫----⌫|
uos nen déussezp arle r.	--||-|-------|-⌫----⌫||
Sidemandlacor o ne	-|-----|-|---⌫-⌫-|
i e laruisàuos tuz	-⌫|-|---|-|--|--|
Sidal tr e fetes reiianert	-||--⌫--⌫|----|--|-||--|
si gentils	-|------|
Ienenp ren g el atestepar desuzle	-||-|-⌫---⌫-⌫|-⌫|----|--|----|-|
Iedir raimunpensé ki kenpeisene ki	-|---⌫--|--|-----|-||-|----|-|-|
Bendéussez	--|-------|
nunDeu Maucions	--|--|-------|
uo stre lignag eauez esté t uz	--⌫---|------⌫|---|----|-⌫-|
Etutuostre ancess urrette ́ detréicun s .	|--|-----|------⌫-|-----⌫|-|--------⌫||
Dehaittraitres	-----|-------|
etel mentun	-|-|-----|
Alconseil deBerart	-|------|-|-----|
sesunttuzacordez	-|---|--|------|
Quatrecent	-----|---|
es lisentd e uaillanzbachelers	--⌫-----|-⌫|-------|--------|
Kesurlesrelikese	-|--|--|------||
surseinzunt	--|----|--|
K iles lirrun tso lumlurléaltez	|-|--⌫------⌫|--⌫--|--|-------|
Trestutl eplus prodommek	------|-⌫|---|-------||
il p orrunttrouer.	-|-⌫-----|-----||
Ne mu bl iez	-||-⌫--⌫--|
uos mie i e	--|--|-⌫|
Sidalt ri fetes rei uo s per dre zmamistez	-||---⌫-|----|--|--⌫|---⌫---⌫||------|
Maluosporcha cerei sisere zpuis greuez.	--|--|------⌫----|-|----⌫|---|-----||
prinstàde umain s	-----|-|--⌫|----⌫|
silad enha lt l euez	-||-|-|--⌫-|-⌫---|
IaéustàMaucion	-|----|-|------|
pa rmilec he f donez	--⌫--|-|-⌫--⌫|----|
Quantsonlignagelat sustre tet	----|--|------||-|------⌫|-|
N osuos uolonsdeFr ancelaco ro nedoner	-⌫-|--|-----|-|--⌫---|-|--⌫--⌫-|----|
- Seignorced ist lienfescesoitde	|------|-|-⌫--|-|----|-|---|-|
la partDé.	-|---|--||
Bailli ezmoi lacorone ienelo s	------⌫-|--|-|-----|-|-||-⌫|
Ainçoisuoil estre rois quela	-------|---|----|---|--|-|
testecouper	----|-----|
Etsi uos p riàtousfetes	-|-|--|-⌫-|-|---|----|
moiféautez.	--|-------||
Seignorced istli	------|-|-⌫--|-|
enfesorm a u éscoroné	----|-||-⌫-⌫--|------|
Si a i chascun	-|-⌫|------|
deuos acompli t oussesgrez	-|--|------|-⌫--|--|---|
Or uoil quer ef aciésla	-|---|--|-⌫--⌫-----|-|
moieuolant e ́	---|------⌫-⌫|
Etqui ledesdira s	-|--|-|------||
a urale chiefcoupé.	-⌫--|-|----|-----||
Orsenre uoist chascunsarrieree n s o n	-||-|--⌫----|-------|------|-⌫|-⌫-⌫|
Et si f a ce .	-|-|-⌫-⌫-||
I. biauchar	||---|---|
meint ena ntatorn er	-----⌫---⌫-|-----⌫-|
Multbelsor. IIII.roesporalerplus	---|--|--||---||---|--|---|---|
sam ereets a serour antrer	-|-⌫--|-|-⌫|-----|-----|
pl u s uie l	--⌫-⌫|---⌫|
homequ i laensonrené .	---|-|-⌫||-|--|----||
Quant liione seront asruistescousdo n er	----|-|---|-----|-|------|---|--⌫-⌫-|
Et liuieldemor r ontpor	-|-|---|-----⌫-⌫--|--|
bonsc onsau s	---|-⌫-----⌫|
S iron saprè slesp eresqui noson t enge ndrez	|----⌫|-----⌫|--|-⌫---|--|--|--⌫|----⌫----|
Conquesne lesu éimesantrestousno saez	|-----|-|--|-⌫-----|-|-------|--⌫|--|
Siprend ron sbonc onseilse Diex l a	-|-----⌫---⌫|--|-⌫-----|-|---|||
Quepar cele coronedo ntmaués que ro né	--|--|---|-----|--⌫-||----|---⌫--⌫--|
monchiefmauezmist restot estre	--|----||---|--|-⌫-----|----|
Ne parlafoi que do i	-|--|-|--|--|--⌫|
au corsméisme Dé	-|---|------|--|
Ie netandraian Francene	-|-|------|-|-----|-|
chastelne c ité	------|-|-⌫---|
Neniauraiderente .I .denier	-|||----|-|----||||-----|
Car sereuenoitKarlesariere	--|-|-------|-----|-----|
ensonrené	-|--|----|
Et ilmetrouoit	-|-|-|------|
ciquef uissequeroné	-|--|-⌫----|-------|
todroi t latesteielsaid euerité.	------⌫|-|----|--|--|-⌫|------||
anfantl en tendent	-----||--⌫------|
Lorsmauditchas cunsleure queil fu	---|-----|----⌫---||---|--|-|-|
q ueronez.	-⌫------||
O rqui doien t en Francedo rm iretreposer	-⌫|---⌫-----⌫|-|-----|--⌫--⌫-|-|------|
Maisi l lesconuendracheua ucher e terrer.	---|-⌫|--|--------|-----⌫----|-⌫|----||
LIenfantsanr etorn en tchascun s	-|-----||-|-⌫-----⌫--⌫|-------⌫|
en lorpai ̈s.	-|--|---⌫-||
Chascunsa fait.I.	-------||---||||
c hargirone ́tai lléis	-⌫--|------⌫|---⌫-----|
Chascunsi mistsam eresa seror	-------||---|-|-⌫--|-|----|
uitail le à	------⌫-|-|
.X.ansac com plis	|||--|--⌫---⌫---|
A feste saint Iehanreui ndrentà	|----|----|----|----⌫-----|-|
E nl agreuedeSaine	-⌫|-⌫|----|-|----|
seso ntens am ble mis.	-|--⌫-|---⌫--⌫--|--||
Lesdames de laterrese scrient	--|----|-|-|----||-⌫------|
àhauscris	-|---|---|
Si reGuisdeBorgoigneporamorDieu	--⌫-|---|-|--------|--|---|---|
Karles l i	-----|-⌫|
em pererenostoli	--⌫-----|--|---|
Tuferasgrantpechie ́ setuno s	-|----|----|------⌫|-|-|--⌫|
to usno s fis .	--⌫-|--⌫|--||
Q uantli enfeslententàpoi	-⌫---|-|----||-----|-|--|
n enrageuis.	|-----|--||
Ila niurela	-|-⌫|---|-|
croisp ar ir e ou ̀Diexfu mis	----|-⌫-|--⌫|--⌫|---|-|--|
qui tantsoitdehautpris	--|---|---|-|---|---|
Seelleestoi tsereurK arlon	-|---|-----⌫|-----|-⌫----|
deSaintDenis	-|----|----|
Ou sec estoit	-|-||-----|
bele Au dequitantacler	---|--⌫-|--|---||---|
Ouele estoitmamere que	-|--|-----|-|---|--|
i e dou tm ult	-⌫|---⌫|-⌫--|
Segen oihuim ès	-||-|-|----⌫--|
Queie neli	--|-|-|-|
féisse touzles me mbrestolir.	------|---|--|--⌫----|----||
dames lenten dentn iotne	----||-----⌫---|||-|-|
T otesprie nt ensamb leà Di euquin emanti	-⌫---|----⌫-|------⌫-|-|--⌫-|--|-⌫|----|
Que lourenfans	--|---|-----|
garis se etl o r richesmari s .demort etde	-----⌫-|-|-⌫-⌫|-----|----⌫||-|---|-|-|
AU matin parsonl aube	-|----|--|--||---|
solaus a pert	-----|-⌫---|
Lorssest lienf es G uis	---||--|-|---⌫-|-⌫--|
etuestuset	-|-----|-|
Ses cha r s	--|---⌫-⌫|
fistafaiteretbi en encortiner	---|------|-|--⌫-|---------|
Etl unencostelaut recharoieret errer.	-||-|------||---⌫-|-------|-|----||
Bertr a nt le	-----⌫-⌫-|-|
filsNaimon apremiersapelé	---|-----||-------|-----|
Ieuos commantbiaus sireq uebie nsoient gard é	-|--|------|----|---|-⌫-|---⌫|-----|----⌫-|
Etsip ans ez	-|-|-⌫---⌫-|
des dam esetfaitesen orer.	--|---⌫-|-|-----|--⌫---||
- SirecedistBertranssicom	|---|-|---|-------|-|--|
uoscommandez.	--|--------||
uososdesdir er ois es tes coronez	--|-|------⌫|-⌫--|--⌫--|------|
Tota ualla	--|-⌫--|-|
afaitliroi scrier	|---|-|---⌫|----|
plus poureshonquiantotel ostert	---|-----|--|--|-|---||--|--|
B a rguignoit.I.auoirq uiluosist	-⌫-⌫--------||||----|-⌫|-|-----|
Que iama rfus t	--|-|--⌫|---⌫|
sirichessi h ardisn eosez	-|-----|-|-⌫----|-⌫|---|
Qu enusi me ́istoffreainssanfus tcis	--⌫|--||--⌫---|----|---||-|---⌫|--|
Ets eil lefaisoit le chi eféustcoupé	-|-⌫|-|-|------|-|---⌫-|----|-----|
Encoreafaitlienfesautre ba n	-----||---|-|----|----|--⌫|
a iten lost	-⌫-|-||--|
Mèsuita i lle lesuie	---|----⌫-⌫--|-|---|
ass ezet àplanté	---⌫-|-|-|------|
Etfa celadanrée . III . d eni e racheter.	-|--⌫-|-|------||--||-⌫---⌫-⌫|------||
Etquimiel sneporraà	-|--|----⌫|-|----|-|
fina rgentp eser	--|-⌫----|-⌫---|
L iroisestriches hon	-⌫|---|--|-----|--|
donraassez	----|----|
Tantcom il	---|--|-|
aitden ier queil niait lasté	--|---⌫--|--|-|||--|-----|
Mar despandradu	--|--------|-|
sien. I .den ier	---||||---⌫--|
Lorss en ualostde Francene se	---||-|-||--|-|-----|-|-|
sontareste ́ .	---|------⌫||
L eio rqui ldepartideFra nce	-⌫|--⌫|-|-⌫|------|-|---⌫--|
IlauintàParis unemerueilletel	-|----|-|----|--|--------|--|
Que sansiestple ́u send roitmidisoné	--|---||--|---⌫--⌫|---⌫---|---|----|
Et lisol e usesco nsequant midi futpassé.	-|-|---⌫-⌫-|----⌫--|----|---|--|-----||
Lors dientparlaterreLi	---|----|--|-|----|-|
mondesestfi nez .	-----|--|--⌫--||
fuarot ée etpans e	-|----⌫--|-|----⌫|
del e r rer.	-||-⌫-⌫--||
A Damedeucommandentdo uc eFr ance a ̀ garder	|------|---------|--⌫--⌫|--⌫---|-⌫|-----|
Tuitensambl e	---|-------⌫|
c heuau che nt dou ce Fra nceremest.	-⌫-----⌫---⌫-|---⌫-|---⌫--|-----||
Deciq ue àBordel e pans er ent de	-|-|-⌫-|-|------⌫|----⌫--⌫--|-|
Làtrespasse nt Girondeàbargeset a ̀	--|---------⌫-|------|-|-----|-|-⌫|
Parle m ileud eslandess e	--|-|-⌫---|-⌫-|-----|-⌫|
sontacheminé	---|--------|
Etcostoient	-|--------|
Belin unepourefret é	----|--|----|----⌫-|
DeciqueàlaFaue ne	-|-|--|-|-|---|-|
ses ont ar este ́	-|-⌫--|--⌫----⌫|
Lienfantlatrespassents	-|-----|-|----------||
ont leche min	--|-|---⌫--|
Iluecuirent lebois	----|-----|-|---|
queKarle sfistplanter.	--|-----⌫|---|------||
Iusc à Aisen Gascoi g n e	---|-|--|-|------⌫-⌫-⌫|
ne sesont ar esté	-|-|---|--⌫----|
.I. pel erintrouere nt essillié	|||---⌫---|-------⌫-|--------|
Q uireuientdes aint Iakeoùilotconu erssé	-⌫-|------|-|-⌫---|---|--|-|-|----⌫-----|
E t enIherusalem	-⌫|-|---------|
auoit.III. fois	----||--||---|
.I. seul lieuenla	|||---|---|-|-|
crestiente ́	----------⌫|
Nebonre pairenulo ù iln ai t	-|--|--⌫----|--|-⌫-|-||--⌫|
Et s on c orsmain te foistrauilliéet pené	-|-⌫-|-⌫--|----⌫-|---|---------|-|----|
Lenfes GuideB orgoignel	|----|--|-|-⌫-------||
apremiers sal ué	|-------|---⌫--|
Paumier Ih esu	------|--⌫--|
te gartpar lasoiepité	-|---|--|-|---|----|
Etli paumiers respontDie xuos	-|-|-------|------|---⌫|--|
c ro issebonte ́	-⌫--⌫---|-----⌫|
D o ntestes	|-⌫-|----|
dequelt err e q uitel	-|---|-⌫---⌫|-⌫-|--|
auoirmene z	----|----⌫|
- RoissuidedouceFrance	|---|--|-|----|-----|
de Par is lacité .	-|---⌫-|-|----||
Etlipaumiers	-|-|-------|
resp ontO rmaue z uos g abé	----⌫--|-⌫||---⌫|--|-⌫---|
uosneste smieKarl e	--||----⌫|--|----⌫|
le fortro i	-|---|--⌫|
Na gairesque gelu iàLuiserne	||-----|--|--|-⌫|-|-------|
s or me r.	-⌫-|--⌫||
Certe stous ale spoins e tles	-----⌫|---||--⌫|----|-⌫|--|
geno usanfle z	----⌫-|-----⌫|
A paines pu et liroissor son	|-----|--⌫-|-|---|--|--|
cheua lm onte r	-----⌫|-⌫----⌫|
Ettuit s iho mesont	-|---|-⌫|--⌫-|---|
de faimsiagreué	-|---|-|------|
Que liau quan tne puee nt tr èsparmilostaler	--|-|--⌫----⌫|-|----⌫-|--⌫--|----||--|---|
en fesl entent le	--⌫--||-----|-|
sensquide deruer	---|----|-----|
uo itlepaumiersilena apelé	--⌫-|-|------|-||-||-----|
Amiscarmediorepor sainte charité	---|--|-|-|--|--|-----|-------|
Q uanttu as enlost Karlelongement conuer sé	-⌫---|-|-|-||--|----|--------|------⌫--|
Setuiconn oistr oiesnes.I. d es .	-|-||----⌫-----⌫---|--||||-⌫-||
XII .pers .	--||---||
- Oïldistli	|---|---|-|
paumiersi eles saibiennomer .	-------|-⌫|--|--|---|----||
I ec onnoisbienRollantetOliuierso n	-⌫|-⌫-----|---|------|-|------|--⌫|
EtNaimon a ̀	-|-----|-⌫|
labarbeetOg i erl aduré	-|----|-|--⌫-⌫-||-----|
Ri c har tdeNormendie et	--⌫-⌫---⌫|-|--------|-|
Renie rlalose ́	-----⌫||-----⌫|
EtYu onetYuoireetHatonlese né	-|--⌫-|-|-----|-|----|-|--⌫--|
TierridArdane et Oede	-----||-----|-|---|
Et SansesdeBo rgoignequi	-|-----|-|--⌫------|--|
estg entilset ber.	--|-⌫-----|-|--||
Qu an t lien f e soïdeson pere	--⌫--⌫|-|--⌫-⌫-⌫|--|-|--|---|
Licuer squ il	-|----⌫|-|-|
ot ou uentre	-|-|-----|
licommenceà	-|-------|-|
Où q uiluoitle paumier sil en a	--|-⌫|-|---|-|------|-||-||
Amiscar medioreg arde	---|--|-|-|--|-⌫---|
nelm eceler	--|-⌫|----|
Ci lSansesdeBorgoigne estilde	--⌫|-----|-|--------|--|-|-|
g ran tfiert é	-⌫---⌫|-----⌫-|
-Oïlparmaf oi	|---|--|-|-⌫-|
sire richeshom estassez	---|-----|--|--|----|
l iestfaillisetlipai ns etli bl ez	-⌫|--|------|-|-|---⌫-|-|-|--⌫-|
Iem e i u i.I III	-|-⌫|-⌫-⌫||-⌫--|
Certesie niman iaiceuosdiparu erté	-----|-|||---⌫--|-|--|-|--|-⌫----|
Quant lianfeslentent	----|-|----||-----|
en amu ltpese ́	-||--⌫-|----⌫|
Parpoi quil	--|--|-|-|
nestchéude son destrier pas mez.	|--|----|-|--|-------|---⌫--||
Oùquiluo it lepaumiersil ena	--|-|-|--⌫-|-|------|-||-||
Amis carme di orepar	---|--|-|-|--|--|
t acrestianté	-⌫|----------|
Qu i de str uitsi Karlon	--⌫|--⌫---⌫--|-|-----|
comtumas ciconte ́	--|-||-|-|-----⌫|
-Si m aïtDiexb iaus sire	|-||---|---|-⌫---|---|
celeriche cité	---|----|----|
ue ́slelàsor	--⌫-|-|--|--|
celtertredontcele	--|-----|---|---|
tourap ert .	---|--⌫--||
. IIII.ans	|---||--|
i s istK ar lonle f ortroicorone ́	|-⌫--|-⌫--⌫--|-|-⌫--|--|------⌫|
Aincnimesfist	---|||------|
dedens.I. deni ermonéé	-----||||----⌫-|------|
Ar iere lale ssa	--⌫---|-|--⌫--|
sifist quefo usp rouez.	-|---|--|--⌫-|-⌫----||
Certe sorliest	-----⌫|-|-|--|
silicheminsancombr ez	-|-|------|-------⌫-|
pu etporuoi r neuenirnealer	--⌫-|--|---⌫|-|----|-|---|
Ne uitai lle	-|-----⌫--|
quiuaille.I	--|-----|||
.deniermonéé	|-----|------|
Pelerinsn e paumier	-------|-⌫|------|
niosetr espasser	||--|--⌫-------|
Quilniperdel ateste a in squil	-|-|||----|-⌫|----|-⌫--⌫|-|-|
soita uesp ré	---|-⌫----⌫--|
Etcest mul t	-||--|---⌫|
grantmerueillequanti	----|--------|----||
ensuieschapé	-|--|-------|
Quantlenfes Guislentantsa Bertrantregar de ́	----||----|---||-----|||-------|-----⌫--⌫|
Quan tBe rt ra nlaoï s	----⌫|--⌫--⌫--⌫|||--||
a.I .sous pirgité	||||----⌫--|----|
A mi sce distlir oisauez uosescout é	-⌫--⌫|-|---|-|-⌫--|---|--|------⌫-|
uésuo s cele grant tourqui getegrantcl arté	---|--⌫|---|----|---|--|---|----|--⌫----|
Quidestrui t enEs pai gnenor ich epa renté	--|-------⌫|-|--⌫---⌫--|-|-⌫---⌫|--⌫-----|
Ganchissiésitout	-----------||---|
oriflambe iportez	--------||-----|
Etsifaisonsles charses p l oitier eterrer	-|-|------|--|----|--⌫-⌫-⌫-----|-|----|
Quepar cele	--|--|---|
c orone do nt	-⌫----|--⌫-|
mauezcor o né	|---|---⌫-⌫--|
Parismedonastestrestotoutremon gré	----|-|-------|------|----|--|---|
Nepar la fo iquedoi	-|--|-|--⌫|--|--|
sa inte crestienté	--⌫---|----------|
Nequei edoi mon	-|--|-⌫|--|--|
pere leducSansonporte r	---|-|--|-----|-----⌫|
de mon co l	-|--|--⌫|
me s fors escu sb o uclez	--⌫|---|----⌫|-⌫-⌫----|
Nemes hiaumes n e mertdemonchiefdesposez	-|--|------|-⌫||--|-|--|----|-------|
N ene despoilleraim onblanc ha uber c saffré	-⌫|-|-----------|-⌫-|----|--⌫----⌫|------|
Decià ice leourequ ertpri se la	-|-|-|---⌫-|---|-|--|---⌫-|-|
Lo rsrem audientl e urequ	--⌫-|---⌫------||-⌫--|-|
ill orentqueron é .	-||----|------⌫-||
ORcheu auceli roisetil	-|----⌫---|-|---|-|-|
Lesbuezfont	--|---|---|
charoie r et	-------⌫|-|
lescharsatirier	--|----|------|
Lesgonfanons	--|--------|
de soiefont auuentd esploi er .	-|---|---|-|---|-⌫------⌫-||
Aut resi grantpoudrieredemainent li	---⌫---|----|--------|--------|-|
Qu eparmine uolastos toirne espreuier	--⌫|----|-|-----|--⌫---|-|--------|
Qu ilneh urtas tasfersde	-|-|-|-⌫-----⌫|-|---|-|
lor tranchansespiez.	--|--------|-----||
Totdro ituers lacitéuontlienfantrangié.	--|---⌫-|---|-|----|---|-|-----|------||
Sarasin etPe rsant leuere ntdoumangier	------|-|--⌫----|------⌫-|--|------|
Asfenestre s des mur s s	-|--------⌫|--|---⌫||
aleren tapoier	------⌫|-----|
Et uoientl e senfansqui uienenttuit rangié .	-|-----|-⌫-⌫|-----|--|------|---|------||
uirentlesescusd	-----|--|----||
orluiree treflamboier	-|----|-⌫|----------|
L es g onfa nonsde	-⌫-|-⌫----⌫---|-|
soie contre	---|-----|
uentbaloi er	---|-----⌫-|
L a pou drierec hoisirent qu emai nentli	-⌫|---⌫-----|-⌫--------|--⌫|---⌫---|-|
SeignordistEsco rfa usKarlesreuientarier.	------|---|----⌫---⌫-|-----|------|----||
EstéaàLuise rn emèsnela puet bailler	----||-|-----⌫--⌫|---|-|-|---|------|
OrsanreueutenFranceli uieuso rrepairier	-||-|-----|-|-----|-|----|-⌫|--------|
Multestoie musarset d e son sens uuid iés	---|-----|-----|-|-⌫|--|---|----⌫---|
Queilsa nquide	--|-||-⌫|----|
aler sans aucun anconbrier .	---|---|----|---------||
erralmen tie	--------⌫|-|
uos enu oi lproier	--|-|-⌫--⌫|-----|
Queia l es as saudrons etde uant e td erier .	--|-|-⌫-|--⌫-------|-|--⌫---|-⌫|-⌫----||
EtSar razin res po ndentB iaussire	-|---⌫----|---⌫--⌫----|-⌫---|---|
uolan tier.	-----⌫---||
- Seigno rdist BoïdansKarles	|------⌫|---|-------|-----|
e st ciari er	-⌫-|-|---⌫-|
Encesestranges t erresa soncorstrau i ll ié	-|--|--------|-⌫----||--|---|----⌫-⌫--⌫--|
C en estmie roi s Kar les q uiF r ance	-⌫||--|--|---⌫|---⌫--|-⌫-|-⌫-⌫---|
NeNaimonà labarbe neTierrineOg ier	-|-----|-|-|----|-|-----|-|--⌫--|
Ne Yuon neYuoir e HatonneBerangier	-|---|-|-----⌫|----|-|--------|
Ne Sansede	-|----|-|
Borgo ig nene Ric hartneRe nier	-----⌫--⌫-|-|---⌫---|-|--⌫---|
Pa r Mahom etmon Di eu	--⌫|-----⌫-|--|--⌫-|
ielesconnoi smult	-|--|------⌫|---|
Lor escu s o nt plusnoirc	--|---|-⌫-⌫-|---|---||
arementenm or ti e r	------|-|-⌫--⌫--⌫-⌫|
Lorcheuausdesferez	--|------|-------|
et o nt to uznu sl espiez	-|-⌫-|--⌫-|--⌫|-⌫-|---|
Mè scestsecorsdeFrance	---⌫||--|-----|-|-----|
quiaprès Karlon uient.	--|-----|-----|----||
Atendezmoi.I.poig	------|--||||--||
ir aia ̀eus pla idier	--⌫-|-⌫|--|---⌫----|
Silordemanderaiquecefuet	-|--|---------|--|-|-|-|
Etci lli re spond irent Panse zde	-|--⌫|-|--⌫-----⌫----|-----⌫|-|
l esploitier.	|---------||
LiSarasinsm ontaso r .I.corantde strier .	-|-------|-⌫---|--⌫||||-----|--⌫-----||
cor antdestri er mont a liSarasins	---⌫--|------⌫-|----⌫|-|-------|
D esesperonsle bro che de lauiles	-⌫-|-------|-|---⌫--|-|-|---||
I uscàlostdes Fr ançoisne prist iloncques	-⌫--|-||--|--|--⌫------|-|----|-|------|
Enarcageg rez oi slessalu aet dist	-|-----|-⌫---⌫--⌫|--|----⌫|-|---|
Ba ron deMahometsoyez uo sbenéis	--⌫--|-|------|----|--⌫|------|
Et len fesGuire spon t qui	-||--⌫--|--|--⌫----⌫|--|
le cu ero thardi	-|--⌫-|-⌫|----|
met eentoi créanceetsaintEspi r	---⌫|-|--|-------|-|----|----⌫|
dedenst oncorsgis t	-----|-⌫-|---|---⌫|
-Dontestes	||--|----|
uossi re enfesli Sarasinsa dit	--|--⌫-|----|-|-------||--|
