unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
abe r sabee c unut qu e	|--⌫-⌫----|-⌫---|--⌫|
samuel fud	-----|--|
fe deilprophetedeuderechief sap parutdeus	--⌫---|-------|--|--------||--⌫----|---|
reuel é sef u da	-----⌫-|-|-⌫-⌫||
samuelens y losulunc	-----|-|-⌫-⌫-|-----|
e uint la par ol esamu elp artutela	|---|-|---⌫--⌫|----⌫-|-⌫-|---|-|
t erredei sra elkar il	-⌫---|-|-⌫---⌫-|--|-|
mustradkelure nemislesphilistiens	------|-|--|-⌫----|--|----------|
les ueintereienteocir e ient	--|-----------||----⌫-⌫---|
peche asf izhel y	----|-|-⌫-|---⌫|
acelcunt empleseassemblerent	|--|----⌫----|-|-----------|
liphilistien e uindrent	-|---------||-------|
enterre deierusalemelipoples	-|----|-|--------||-|-----|
deu ui ntenc untre	--|--⌫-|---⌫----|
e apre s lapierre dead iutori e	|----⌫|-|-----|-|--⌫------⌫|
sealogierent e	-|---------||
lurte n t e s	--|--⌫-⌫-⌫-⌫|
itendiren tcoestlap ierr equesamuelaltr e	|--------⌫|-|--|-|-⌫----⌫|--|-----|----⌫|
feizpur e nse igne s	---|--|-⌫---⌫----⌫|
leuae pi er re	---||--⌫--⌫-|
deadi uto rie	-|---⌫---⌫--|
lapelakar deusidu nc	|----|--|---|---⌫-|
sun popleaidaeuictorienob lelu r	--|----|---||-------|---⌫-|--⌫|
dona e liphilistien	---||-|---------|
uind rentencuntre lepople deu e nun liu	----⌫---|-------|-|----|--|-⌫|-|--|
kifudapelé afec	-|--|-----|---|
eordenerentlures c hielessi s	|---------|--|--⌫-⌫-----|-||
al erent ferir cumilfurent	--⌫----|----|--|-|-----|
asemblélepoplede	-------|-|----|-|
israel tostturna dafuieeles	-----|---|-----⌫||---||--|
pursewirent e d etrenchere ntq u at re mil ie	----------||-⌫----------⌫-|-⌫-⌫--⌫-|---⌫-|
el champe lipo ples	-|----||-|--⌫---|
deuas log esealhernei s	--|-|---⌫-||-|------⌫|
returna a tant dunctindrentlur	------||---|---|-------|--|
parl emente en quistrententre sei purqueinusad	----⌫----||--⌫--------|----|--|------|--|-|
deua c est	--||-⌫--|
iursidescun fiz fach u muenir larche de ude	--|-|------⌫--|----⌫-⌫|----||----|--⌫|-|
syloe sei t	---||---⌫|
nusquedeunussal uedd enoz enemis	--|--|--|--|---⌫--|-⌫|--|-----|
duncenueierentsi	---|---------|-|
en porterentlarchede laliancede u	--⌫--------||----|-||------|--⌫|
ki siresest desoze	-|----|--|--|-||
surche rubinentent	--|---⌫----|-----|
cesteparoledeusesie t	----|-----|--|-|---⌫|
surche rubin	--|---⌫----|
dousche rubinsfurent asissur unetable ki	---|---⌫-----|-----|---|--|--|----|-|
es igne fier ent	|-⌫----⌫----⌫--|
la uielz lei ela	-|----|--||-|
nu uelekar cherub in	--⌫---|--|------⌫-|
coestpl e nte de	-|--|--⌫-⌫--|-|
sciencee surcesdousleis	------||--|--|---|---|
deussisens uolezquerrela le	---|-|---|----|-----|-|-|
truuerezod larche	-------|-||----|
uindrentle sdousfizhely o fni	-------|--⌫|---|--|---|-⌫--|
ephineas e c um larche	|------||-⌫-||----|
lipoplesdeu	-|-----|--|
dunaunmerueilluscriquetute	---|-|---------|--|--|---|
terre re bu nd i l iphilist i en oi rent cest cri	----|--⌫--⌫--⌫|-⌫|-------⌫-⌫-|--⌫---|---|--|
ed istrentque	|-⌫------|--|
de it cestcrik	--⌫-|---|--||
il fu ntenlo stapa rce urentseiquel arche	-|--⌫-|-||-⌫-|---⌫---⌫----|--|--||----|
poururentmer ueilluse edistr ententre	---|----|---⌫-------||-----⌫--|----|
sei deusest uenuzen l	--|---|--|----|-||
ostefirent	--||-----|
plainteseplureize	-------||------||
hor rible gu aimentei z	---⌫----|--⌫--------⌫|
eredistr entnenoure ntpastelh aiten	|-------⌫--|--|----⌫-|--|--|-⌫--|-|
hierneauant	---|-|----|
hierkin us	---|-|-⌫-|
gu arderadencuntr eces	--⌫------|-------⌫|--|
halzdeuscosunt les deuskiflaeler e n te t uerent	---|---|-|---|--|---|-|-------⌫-⌫-⌫||-⌫-----|
d e sertmai s o re uushaitezeseiez	-⌫-⌫---|---⌫|-⌫-|--|-----||----|
fo rz ch ampiuns	--⌫-|--⌫------|
philisthiimque uusne serueza s hebreus sicu me il	----------|--|--|-|-----|-⌫|------|-|--⌫-|-|
auuspuis cumeuint a la bata ille	|--|---|---|---||-|----⌫---|
la descunf iture	-|-------⌫----|
i sra elefuirenttuit	-⌫---⌫-||------|---|
ki einz ei nz chascun sa	-|---|--⌫-|-------⌫||
suntabernacle	--|---------|
laocisiunfudf ormentgrande kar	-|------|--|-⌫-----|-----|--|
ilic hairenttrentemilie	-||-⌫------|-----|----|
degeldeepri seifudlarcheemorz	-|----||---⌫-||--||----||---|
ifurent le sfizhely	|-----|--⌫|--|---|
p hineesdunc	-⌫-----|---|
e npartiuns de l lignag e ben iamin	-⌫|----|--|--⌫|------⌫|---⌫----|
eui nten sylomeism ele iurd essiréd ou t	|--⌫-|-|---|-----⌫|-|--|-⌫-------|--⌫|
drapels epuldresur	------||-----|--|
l echief lan u uel eporta	-⌫|----|-|-⌫-⌫---⌫|----|
eerranment	|--------|
leua p ar l aciteli	---|-⌫-|-⌫|---|-|
plurs el icrizehely	----||-⌫|---||---|
sede itsurlechemin	----⌫-|--|-|-----|
deuer s lost k arsi squers	-----⌫||--|-⌫-|--⌫|----|
fudpou r us purlarche	--|---⌫-⌫-|--||----|
kiporteeen	-|-----|-|
fudeh elyfudloresdegranteagedequatre	--||-⌫--|--|----|-|----|---|-|-----|
uinz an ze	---|--⌫||
d is e uitperduout laueue	-⌫-||--|----|--|-|---|
eg ute neuedeitcumeil	|-⌫--|-|-----|---|-|
oilaplaint e	-|-|------⌫|
e le grantcrique codust erran mentenquis t e	|-|----|--|--|-|---|-----⌫---|------⌫||
maintenan tlapristkarc il se hastaki	---------⌫||-----|--|-⌫-|-|----|-|
uenuzenfudsilidist	----|-|--|-|-|---|
lesnozde l ostsensun t	--|--|-||--||-|---⌫|
fui z e larchedeui unt	---⌫|||----|--||--|
prisc ume cil outlarch enumee hel y	---|-⌫--|--|--||----⌫|----|---⌫|
erranment d e	--------|-⌫|
lase l eu il	-|--⌫-⌫||-|
sedeitenuerschai elikac he uals	-----|-----|---||-|---⌫--⌫---|
alchairliesquachaeli	-|----|-|-------||-|
ceruia ux li espand ieensi	------⌫-|-|------⌫||---|
s auiechaltpa s	-⌫|--|----|--⌫|
finacisthelyfud	---|---|---|--|
hu emdegranteagequantil	--⌫-|-|----|---|----|-|
murut eoutesté iugesdelpop le	----||--|----|----|--|---⌫-|
quaranteanzlafemmephin eeslefizhelyfud en ceinte	-------|--|-|----|----⌫--|-|--|---|--|--⌫-----|
fud de len f anter	--|-||--⌫-⌫----|
cumeoidq uepris e	---|--|-⌫-|----⌫|
a rcheemorzlieu es ches	-⌫---||---|-|--⌫--⌫---|
maris demaremen tmurut mai sp rimesout	----|-|-------⌫|----|---⌫|-⌫----|--|
fi zecum el efudenl afortangui sseel	--⌫||--|--⌫|--|-|-⌫|---|-----⌫--|-|
muriantdistrent ki	------|-------|-|
odlifurentne tet a mertu auras	-|-|-----|-|-|-⌫-⌫--|-|----|
en fan tele purlanguisse	--⌫---⌫|--|--||-------|
nerespund i netantnequantmaisnuma	-|-------⌫|-|---|-|----|---|--||
l en fantdun ade	|--⌫---|---⌫-||
hi cabodl apeladedisttranslatee	--⌫----||-----||---|---------|
estla glorie deude isra el	--|-|-----|--|-|----⌫-|
karprise est	--|----|--|
pur l eu esche	--||--⌫----|
e pursunmari	|--|--|---|
trans lateee stlaglor i edeisrael karlarche	-----⌫----|-⌫-|-|----⌫-⌫|-|-----|--||----|
liphili stienpristr en tlarchedeu	-|-----⌫----|------⌫--⌫||----|--|
e p orterentlendela	|-⌫-------||-|---|
pierre d eadiutorieaune lur	-----|-⌫|--------||--|--|
ci teki az otefudapelle ee	--⌫-|-|--⌫--|--|------⌫||
asistrent laeltempledagondeiusted agonl	--------|-|-|-----|----|------|-⌫---||
matincil de azot etr uuerentdag onl ur	----|--|-|----⌫|--⌫------|---⌫-|-⌫-|
adenzse giseit	----|-|-----|
aterred euantlar cheal	|----|-⌫----||--⌫--|||
s usle l euerent	-⌫-|-|-⌫------|
e asun liu	||--|--|
p ose rentderec hief	-⌫---⌫---|-|---⌫---|
al dema in t ruuere ntdagonaterregisan t	-|----⌫-|-⌫------⌫-|----||----|-----⌫|
d euant larc h e e	-⌫----||---⌫-⌫||
lespuinzelechief	--|----||-|----|
colpezli f urentsur le	-----|-|-⌫----|--|-|
suil e iut danzdagonunepartcumetruncsde c olpez	---||--|---|----|--|---|---|-----|--⌫-⌫----|
ed es membrezpur cestechoselipruueire dagoneli	|-⌫--⌫------|--|----|----|-|-------|----||-|
a ltr ekienazoteent re nt eltemple	-⌫---⌫|-|-|----|---⌫--⌫-|-|-----|
dagon nemarch ent	----|-|-----⌫--|
suiliesque acestiurd uncagreuadeus	---|-----||---|--|-⌫--|-----|---|
azoteedela	----||-|-|
cuntre e e formentle sdescu nfistferi dles e	------⌫||------|--⌫|-----⌫----|----⌫|--||
turmentad enla plus priueepa rti ede lurcorsa	--------|-|-|---|-----|--⌫---⌫|-|--|---||
lurdetries	--|------|
e purcol es uoltl aturm enter	|--|-|-⌫-|---|-⌫|----⌫----|
karseruid aue ie ntde ord	--|-----|---⌫--⌫-|-|--|
mestierk iestcu ntrenaturesurstrenteasuiles	------|-⌫|--|--⌫---|-----|--------||-|----|
eas champs	|-|-----|
unem an ieredesurizala destruc tiunde l p ai s	--|-⌫--⌫---|-|----||-|-------⌫---|--⌫|-⌫--⌫|
tutelaci t e	---|-|--⌫-⌫|
dunctindren t cesde	---|-------⌫|--|-|
lurparlementedistrente ntresei	--|--------||-------|-⌫---|--|
ner emaig nemaisl	-|-⌫-----⌫-|---||
israelense mble odnuskar	-----|----⌫---|-|--|--|
sa ueniance	-|-------|
tropestdure	---|--|---|
surdagon nostr edeue	--|----|-----⌫|--||
emanderent	|--------|
e assembleren t	|-----------⌫|
tuz les pri n cesele sbarunsdes	--|--|---⌫-⌫--||--⌫|-----|--|
philisti ense	--------⌫--||
quefrum de	--|---|-|
l archealdeu	|----|-|--|
deisrael dunc	-|-----|---|
respundirent	-----------|
gethkipruu eireesteient	---|-|----⌫---|-------|
edeuinse itmenee aillu rs	|----|--⌫-|----|-----⌫-|
l ar chealdeu deisra el e	|--⌫--|-|--|-|----⌫-||
enturque sipartu t ue le	----|--|-|-----⌫||-⌫-|
siuuec este pesti lencee cestflaelseium	----|-⌫---|-----⌫----||---|----|----|
c erte inkeparli	-⌫----⌫-|-|--|-|
nusest auen u cestm aldu nc	--|--|----⌫|---|-⌫-|--⌫-|
menerentlarche enture lauele	-------||----|----||-||--|
ueneitchalt pa s i	-----|----|--⌫||
fudlaueniance deusur tutesles	--|-|-------|--|--|----|--|
d es tran ge pestile ncee	|--⌫----⌫-|-------⌫--||
deocisiunforment	-|------|------|
grantetu outa	----||--⌫--||
glaiueles enfanzeles uielzpar tutes	-----|--|-----||--|----|--|----|
epuri sse ient	|----⌫---⌫---|
p arl ire deulurdetriesloresenue ierentl	-⌫-||--|--|--|------|----|----⌫-----||
archeaa cc har on	----||-⌫--⌫---⌫-|
cum cildea c caron	--|--|-|-⌫-⌫----|
uirent larch edunerent	-----||----⌫|-------|
merueillu s	---------⌫|
e dist rente ntre seimenédunt	|----⌫---|-⌫---|--|-----|--|
larche iesque an uspurnus	|----|-----||-⌫-|--|--|
ocire elepople	----||-|----|
nuspur coman d er ent	--|--|-|---⌫-⌫--⌫--|
lespri nceselesbarun ssil u r dis tre ntrem enezl	--|---⌫---||--|-----⌫|-|-⌫-⌫|---⌫---⌫-|---⌫---||
arc hede u	---⌫-|--⌫|
de i sra el	-|-⌫---⌫-|
er eturt es eitlau	|-⌫----||-⌫--|-||
estredeueradqueil	----|------|--|-|
nagrauentetnustuzodn ostrepople	|---------|--|--|-|-⌫----|----|
g rieu ela	-⌫----⌫|-|
uenianc eque par	-------⌫|--|--|
tutesles citez ourent pourd e muri rkar	----|--|----|-----|---|-⌫|----⌫|--|
ceski morz	--|-|---|
nef ur enttraueil lezesteientdi tel	-|-⌫--⌫--|-------⌫--|-------||-⌫--|
anguiss eedela ngurquela	-------⌫||-|--⌫---|--|-|
pla inte eli criz	---⌫---||-|---|
mu ntadeuantdeu ies quealc ielset	--⌫--|-----|--|---⌫--|-|-⌫--|--|
a rcheent er re	-⌫---|-|-⌫--⌫-|
de philis tiens	-|------⌫----|
eaprescoassemblerent	|----|-|-----------|
lurpruu eires	--|----⌫----|
deuins cuns eil	-----|----⌫--|
quistrentcumep ou ssent	--------|---|-⌫--⌫----|
e deussentl archeariereenue ierresp undirent	|-------||----|-----|----⌫--|----⌫-------|
c ile siariere	-⌫-||-|-----|
e nueer lauol ezuoidee	-⌫----|-|---⌫-|----||
sen zhonur ma rlenueiere z mais	---⌫|----|--⌫||--------⌫|---|
q ue deuezp ur u o str epecchiebonementrendeze	-⌫-|----|-⌫-|-⌫-⌫---⌫|------|-------|-----||
tost deuost re	---|-|----⌫-|
enferm ete guarrezepurquei la uenianc edeu ne c esse	------⌫--|------||------|-|-------⌫|--|-|-⌫---|
sa uerezeque i estcofirentli altre	--⌫----||---⌫|--|-|-----|-|----|
que faire deuum	--|----|----|
purnostremesfait	--|-----|------|
espenirres pondir ent	------|---⌫------⌫--|
lipruueir eelideuin	-|-------⌫||-|----|
sulunc lenumbre des	-----|-|-----|--|
maistrescit ez de	-------|---⌫-|-|
cesteterredeazote	----|----|-|----|
de gazedeas chalunedegeth e	-|---|-|--⌫------|-|---||
deaccharo nfaitescinc	-|-------⌫|-----|---|
anelsde finorapr es lafurmedecele	----|-|--|-|---⌫-|-|----|-|---|
p artiepriueedeuo z	-⌫----|-----|-|--⌫|
co rsu li turmenzelil a ngur ad	--⌫-||-|------||-|-⌫-⌫---|-|
esté erefrezcincra zd or	----||-----|---|--⌫||-|
enlasemblance des	-|-|--------|--|
razki l aterre un tdestr uite	--|-|-⌫|----|--⌫|-----⌫---|
erendrez loengee glorie al haltdeude israel	|------|-----||-----|-|---|--|-|-----|
siparauent ure	-|--|-----⌫--|
uolsistrelasch ersamainkitan testdure surnus	------|-------⌫-|-|---|-|---⌫|--|---|--|--|
nostre deu	-----|--|
e surnostre terrepurque i endurcissez uos	|--|-----|----|------⌫|----------|--|
querscum efist egypte el i	----|---⌫|---|-----||-⌫|
r eispharaundeegypte dun	-⌫--|------|-|-----|--|
l ai ssadil le s	-⌫--⌫---|-|--⌫|
fizisr aela pr esla	--|---⌫--|-⌫--⌫-|-|
fie re u eniance	---⌫-|-⌫------|
tuzfr ancsalermaisoreu nch ar nuuel nusfrez	--|--⌫---|---|---|--|-⌫|--⌫-|----|--|---|
douskiaient u edelsekiiu n	---|-|----|-⌫----||-|-||
aien t espermentequerezepuis	----⌫|---------|-----||---|
nusiuig neze luruedelsenpa rc	--|----⌫--||--|-----|-|--⌫-|
te nezpois	--⌫--|---|
sur lecharasee zedeled	--|-|---|----⌫||----|
lesfurmesdor	--|-----||-|
ke parac ord eade u	-|--|--⌫---⌫||--⌫|
dunezealcu uenirloresles meteze cunre i	----||-|--⌫----|----|--|----||-----⌫|
per nezquelpar t	---⌫--|---|---⌫|
irrunts e iluersterre deisra el sen uu nt	-----|-⌫|-|---|----|-|----⌫-||-|--⌫-|
uers terre de israel d un c	---|----|-|-----|-⌫--⌫|
sachiez quelurdeu	------|--|--|--|
nusenueied cest	--|------|---|
flaelsinun uenudnusestparau enture	----|-|--|----|--|--|--|--⌫-----|
p ar corruptiun	-⌫-|---------|
liph ilistiense tindr entacest cunseil	-|--⌫-------|-|-----⌫--||---|------|
issilourent fait	---||-----|---|
este u usles	----⌫-⌫-|--|
uaches ki uunt	-----|-|---|
uers terredei srae lmuianz	---|----|-|-⌫----⌫|-----|
purl urueels al erentmaisa	--|-⌫-|----|--⌫----|---||
destreneasenestreneturner entiesque	-----|-||-------|-|------⌫--|-----|
iluin drentauneu ile	-|---⌫----||--|-⌫--|
deisraelki	-|-----|-|
bethsames fud a peleec es uacheskil	--------|--|-⌫----|-⌫-|-----|-||
porterentsigni fient l essai nt esanmesd es	--------|-----⌫----|-⌫-|---⌫--⌫-|----|-⌫-|
es lizdeukipo rte ́	--⌫--|--|-|--⌫---⌫|
nenu ntlei u	--|-⌫-|-|-⌫|
nedeo rdee	-|-|-⌫---|
maisa porter	---||-----|
l arche suntacuplél archecoestla scien ce	|----|---|------||----|-|--|-|-----⌫-|
e desaluetecele portenten un	|-|------|---|------|-|-|
char coest	---|-|--|
enlafeidela	-|-|--|-|-|
sainteueire	-----|----|
rec haté ne fo rsueientpu r	---⌫----|-|--⌫-------|--⌫|
chose auerse ne pur prosperi tetiene nt la dreiteestracen e	----|-----|-|--|--------⌫-|-----⌫-|-|-----|------|-⌫|
return ent pur cureterrienene	------⌫--|--|---|-------|-|
purtendrur de	--|------|-|
paren te iesque	-----⌫-|-----|
uiengent abethsames	-------||--------|
uest laterredeubet hsam escest	|--|-|----|--|---⌫----⌫-|---|
nu mes peltcitede s o leil	--⌫|--⌫---|---|-|-⌫-⌫---|
esignefiela cite	|-------|-|---|
celesti el	-------⌫-|
ier usalemla reg nedli soleilz deiustise	---⌫-----|-|---⌫--|-|------|-|------|
t en dent elauen druntprestze st	-⌫--⌫---||-|---⌫----|-----|-⌫-|
lilius u ilmaindrunt	-|---||-|--------|
cumelarche uintenunch ampiosueki	---||----|---|-|-|--⌫--|----|-|
fu d debethsames	--⌫|-|--------|
iloc ares tud	---|----⌫--|
e iesquela sewiren t lip rince	|-----|-|-------⌫|-|-⌫----|
philistiimeli bar u nedilocs	---------||-|---⌫-⌫|||---||
en turnad ch ascu ns als uena	-|-----|--⌫----⌫-|-|-⌫--||
cel cuntemp l e	--|-------⌫-⌫|
cildebeths amesseierent	--|-|-----⌫---|-------|
f urmenzen laualee	-⌫-----|-|-|----|
uirentl ar cheeformentse	-----||--⌫--||------|-|
esle escer entunegra ntp i er re fuden	----⌫-----⌫--|--|---⌫-|-⌫-⌫--⌫-|--|-|
la p l a ce	-|-⌫-⌫-⌫-|
e ui ndrent cil	|--⌫-----|--|
edec o lperent	|---⌫-⌫------|
lec hare des uach es	-|-⌫--||--|----⌫-|
firentsacrefisead e u e	-----|--------||-⌫-⌫||
lio rdenereceurentl	-|-⌫----|--------||
ue st eitl ipr esenzles	|-⌫--⌫--|-⌫|--⌫----|--|
anelselirat d oresur la	----||-|--||-||--|-|
grantpier re	----|----⌫-|
lasistren t acel iuri c es de	|--------⌫||--|--|-⌫-⌫-|-|
bethsamesi	--------||
firentlu r sacrefises	-----|--⌫|---------|
elescincprincesdephi listiim le uire nte	|--|---|------|-|---⌫------|-|----⌫-||
returnerentaa ccharon	----------||-⌫------|
leiurazotegazeaschalon gethe	-|--|----|---|-------|---||
accharon ce scinc	-------|--⌫|---|
m ais trescitezdune rentcincanelse ci nc	-⌫---⌫---|----|----⌫---|---|----||--⌫-|
r azdorenle	-⌫-||-|-|-|
ho nuran c edeueles al trescitezeles	--⌫-----⌫-⌫|--||--|--⌫---|----||--|
uileski nefure ntclos	----|-|-|----⌫-|---|
demur un esuri z dorpar	-|--|--⌫|----⌫||-|--|
tut e l a terre deciq ueabelgrant	---⌫|-⌫|----|-----⌫-|--------|
surk ipos er entlarchekiaueit	--|-⌫|---⌫--⌫--||----|-|----|
estéiesque acel iur al	----|-----||--|--|-|
champi osuedeb ethsame s kiaidu nc r ec eutaltrenum	----|-⌫---|-|-⌫-------⌫|-||---⌫-|-⌫--⌫--|----|--|
apel ee abelgrante co signefieplurgrantkarelremuemen t	----⌫-|--------||-|-------|---|----|--|-|--------⌫|
archeenoci st de us	----|-|---⌫-|--⌫-|
