form Cilqu ifist	---|--|--⌫|---|
necuidoientancores Quil	-|--------|------|-|-|
eüstbaronplus	----|----|---|
d efoiAntotela terrele	-⌫|--|-|---|-|----|-|
Qantciltintlater rea nsa	---|--|---|-|---⌫-|-⌫|-|
ma inLi rois Artus mutlandemai nLa r eïn eet	--⌫-|-|---|----|--||-------⌫|-|-⌫----⌫|-|
sesda meiseles .	--|--⌫-------||
An Bretaign e oe ntles nou eles	-|--------⌫|--⌫-|--|---⌫---|
Queliroisu ie nt ets i	--|-|---|-⌫--⌫-|-|-⌫|
baro nM o ut	----⌫|-⌫-⌫-|
font grant ioieliBreton.	---|----|---|-|-----||
Enla ne fouliroispassa	-|-|--⌫|-|-|---|----|
uasletnepuc e le n	-----|-|---⌫-⌫-||
a ntraFor sAlixan dreseulemantEtlareïneuoire ma ntI	-⌫---|---⌫|------⌫--|--------|-|-|-----|-----⌫--⌫-||
amen aSoredamo rsQui desda ign euseestoi td	----⌫|--------⌫-|--|-----⌫---⌫---|-----⌫||
a m orsOnques nauo itoi ̈parler Domequ ele	-⌫-⌫--|-----||---⌫-|--⌫|-----||--|-|--|
dei gnas tamerTanteüst	---⌫----⌫|---|---|----|
bi autén e proesceNesei gnorienehautesce .	--⌫----|-⌫|------|-|---⌫-----|-|-------||
Etneporqua ntl adam eisele	-|--------⌫-|-⌫|---⌫-----|
E stoittanta uenanz e tbe leQue biendeüstd amor s	-⌫----|---|-⌫-----|-⌫|--⌫-|--|---|-----||----⌫|
apra n dreSeli pleüsta ceantan dre	----⌫-⌫--|-|-|------||-|-----⌫--|
Mes o nqu es n	--|-⌫---⌫-||
i uoltmetre	|---|----|
fer a Amors dolanteEtmout	---⌫|----|------|-|---|
secuidebi en uangie rDel g rant orgu el e t del	-|----|--⌫-|------⌫|--|-⌫---|----⌫-|-⌫|--|
d angierQueleli	-⌫-----|-|--|-|
at oz iorzmene ́.	|-⌫-|---|----⌫||
Bienla A mor sdr oit assene eE lcu erl a	---|||-⌫---⌫|--⌫--|------⌫|-⌫|--⌫-|||
desondartfer ue.	-|--|---|---⌫-||
Sou a ntpali stsou ant	---⌫-⌫-|----⌫-|---⌫--|
tres su e Etmaugré	----⌫--⌫|-|--|---|
suename r l estuet.	---|---⌫||-----||
A gran tpoinnetenir s epuetQue	|----⌫|-----|----|-⌫|---|--|
uersAlixandre ne sgartMo utliestuetquele se	---|--------||-⌫----|--⌫-|-|-----|-|--|-|
gart De m onse ignor	---|-|-⌫----⌫----|
Gauuainsonfrere.	------|--|----||
Chieremant ac hate et conpereSon	---------|--⌫---|-|------|--|
grantorgue let	----|-----⌫|-|
sondesda ing.	--|-----⌫--||
Amorsliachaufé.i.	----|-||------|--|
bain g Quimoutles chaufe	----⌫|--|---||--⌫-----|
etmo utlinuist.	-|--⌫-|-|----||
estb oenet or	--|-⌫--|-|-|
lin uistOrleuialte t	-|-⌫---|-|-|----|-⌫|
orlerefuseSe sialz	-|-|-----|--⌫|---|
det raïs onencuse EtditOel	-|-⌫-----⌫-|-----|-|--|--|
aueztraïeParuosmames	---|-----|--|--|||--|
cuersanhaïeQuimesoloit	----|------|--|-|-----|
estr e defoi	----⌫|-|--|
Orm e grieuecequei euoi.	-|-⌫|-----|-|--|-⌫|--||
Grie ueNel fetençois	----⌫-|--|--|------|
Etsegeuoi rienqui	-|-|-|--|---|--|
megrietDon naigeme s	-|----|--||-|-|--⌫|
ial zanbailli eB ienmese roit forc e faill ie	---⌫|-|------⌫|-⌫--|-|--⌫---|----⌫|-----⌫-|
Etpomed euroie	-|-|-|-⌫-----|
prisie rSe	------⌫|-|
nespooiei ustisierEtfeireautrepart	--|----|-⌫-------|-|----|----|---|
esgarder .	-------||
EinsimeporraibiengarderDAmor quiiustisierme	----|-|-----|---|-----||---|--|--------|-|
uialtCarcui	----|--|--|
ial zneu oitc uers	---⌫|-|-⌫--|-⌫---|
nedialt Sei eneluoi r i enn eman	-|----|-|-⌫|--|--|-⌫-⌫-|-⌫||-|
Ian e meprieilnerequiert	-|-⌫|-|---|-|-|-------|
Amerai lege s ilne	-----|-|-||-|-|
m a immeSesa b iautezm esial zreclaimm eEtmi	|-⌫---|-|-|-⌫-----|-⌫-|---⌫|--------⌫|-|-|
oeltr aienta ureclaimD irai geporceque	--|--⌫----|-⌫|------|-⌫---|-|--|-|--|
aim Nenilcarcese roitm an c ̧on ge.	--|----|--|-|--⌫---|-⌫--⌫-⌫---⌫-||
anm oic halongeNe plus	-|-⌫-|-⌫------|-|---|
nemains ni	-|----|||
puetc lame rLann e p uetpas	---|-⌫----⌫||-|-⌫|-⌫--|--|
desia lzamer.	--|--⌫-|---||
Etquemontdoncforfetmi	-|--||--|---|-----|-|
oelSilesgarden tcequeieuoel Qu ex	--||-|--------⌫|-|--|-|---|--⌫-|
corpeset queltor tont ilDoi lesan	-----|-|---|---⌫|--|-|--|--|-|
geblasme rNe nil.	-|------⌫|--⌫--||
Cui doncMoiqui lesaien	--|---|--|--|--|-|-|
Mi oel anuler iennes garde S	-|--||---|-⌫--||--⌫----||
aucuerneplest	-|---|-|----|
et ata lante.	-|---⌫----||
mefeïst do lanteNedeüstmes	-|-----|--⌫----|-|-----|--|
c uerspasu o loir.	-⌫---|--|-⌫-⌫---||
S auolen te zme fet doloir	-⌫|-----⌫--⌫|-|--|-----|
D oloir Par foidonc	-⌫----|--|--|---|
Qantparluiuoel c equi	---|--|--|---|-⌫|--|
m a fo le.	|-⌫--⌫-||
uolantez don	-------|--|
meuaigneenui sDo iie bien oster s eiepu is	-|-----|----⌫|--⌫|-|---|----|-⌫|-|--⌫-|
Seiep uisFo le q u	-|-|-⌫--|--⌫-|-⌫|
Doncporroie	---|------|
i e mout petitSe	-⌫|---|----|-|
demoipuissancen	-|--|--------||
auoie Cuide m oiAmors metreanuo ie Quiles autres	----|----|-⌫-|----|----|-|--⌫-|--|--|-----|
sialtdesueier	----|-------|
Autruili couientaueierCar	-----|-|------|-----|--|
ie ne suide rienalu i	-|-|--|-|---||--⌫|
Ia nise rain	-|||--⌫--||
onquesn ifuiNeianamerais	-----|||--|-|-||-----||
acointance.	---------||
Ensia soi meïsmesta nceU neoreaimme et autre	---||--|-------|--⌫--|-⌫-|--|----|-|----|
Tantsedotequ	---|-|---|-|
elene s etLequel liuaille	--|-|-⌫-|-|---|-|-----|
mi alzaprandre .	--⌫--||------||
uersAm orsse cuid ed e sf andreMes	---|--⌫--|-|----⌫|-⌫-⌫--⌫----|--|
neliamestier desfanse .	-|-||------|-------||
Dexco rnesetque uers	--||-⌫|-|--|--|---|
lipanse Al ixandresdel autrepartAmorsigauma ntlo r	-|----|--⌫-------|-||----|---|----|------⌫-|--⌫|
depa rtTelliureisoncomill or doit.	----⌫-|--|--------|--|-|-⌫-|---||
Moutlorfet bienreisone tdroitCarli	---|--|--|---|-----|-⌫|----|--|-|
unslau treaimme	--||--⌫--|----|
etcouoite.	-|------||
Ce steamors est le axet dro ite .	--⌫--|----|--|--⌫-|-|---⌫--||
Seli unsde lautre	-|-|--|-||----|
seüstQueluolantéch a scuns eüstMescil	-----|---|-------|--⌫-⌫----|----|--|--|
neset quecel euialt Ne	-|--|--|---⌫|----|-|
c eledecoicil s edialt .	-⌫--|-|--|--|-⌫|----||
Lar eïnegardesan prant	-|-⌫----|----||-|----|
Quilu netlautreuoitsou antDescolore ret	--||-⌫|-||----|---|---⌫--|---------⌫|-|
anpa li rNe	----⌫--⌫|-|
s etdoncepuetauen i r Nen eset	-⌫-|--|-|---|----⌫-⌫|-|-⌫|--|
porcoi ille f ont	--|--|-|-|-⌫--|
Fors queporlame roui lson t.	---|--|--|-|--⌫|-|-⌫|---⌫||
Espoirbien	-----|---|
sanaparceüst	|-|---------|
Selamers ne la deceu ̈stMes la mers l	-|-|---|-|-|-----⌫--|--|-|---||
angingneet	-------|-|
deç oi t S i qua nlamer lamorne	----⌫--⌫|-⌫|-|-⌫|-|--||---|-|
uoitAnlamer	---|-|-|--|
amer uientEt	---|----|-|
damors uien tlima xques t i en t	|----|----⌫|-|--⌫|---|-⌫-⌫--⌫|
E tde cestroisnese tblasmerLareïne	-⌫|-|--|----|-|--⌫|------|-|-----|
fors quelamerCa r lid ui letierz li	---|--|-|--|--⌫|-|-⌫-|-|----|-|
ancusentE t	-------|-⌫|
porleti erz lidui sescusent Qui	--|-|--⌫--|-|--||-------|--|
d el forfetsont	-⌫-|-----|---|
antech ié.	------⌫--||
Souant conpereautr uipechiéTex quiniacorpes	-----|------|----⌫-|------|--|--||||-----|
Einsil areïnemo ut fort Lamer ancorpeet	----|-⌫|-----|--⌫-|---|-|--|------|-|
si lablasme Mesator t	-|-|-----|--||---⌫|
li metsu sleb lasmeCar la	-|--|--⌫|-|-⌫----|--|-|
mersniari enforfet .	---||||--⌫-|-----||
Mout aSoredamors maltre tTantqua	---||---------|--|---⌫|---|-||
portestlan es uenue.	---|--|-|-⌫-|----||
Del roiest bienchoseseüe	--|--|--|---|----|----|
Car liB retongrant ioie an firent	--|-|-⌫----|----|---|-|-----|
Et moutuolantiersleseruirentComelor	-|---|---------|-|--------|---|--|
sei g nordroitur ier .	---⌫-⌫--|-------⌫--||
De lroi ArtusparlernequierAcestefoizplu s	--⌫|--|----|-----|-|----||----|---|---⌫|
longuemant Ein çoismor roiz	---------|---⌫----||--⌫---|
dir ec o mantAmorsles.ii.	---⌫|-⌫-⌫---|----|--|---|
a manz trauaille uers cuiilapri se bata ille.	-⌫---|--------|---|--|-||---⌫-|----⌫---||
Alixandresai mmeetdesirre Ce lip or c ui amor sopire	---------|--⌫--|-|------|--⌫-|-⌫-|-⌫-|---|-----|
M es il neset nenesaura	-⌫-|-|-|--|-|-|----|
Desi quem aint	-|-|--|-⌫---|
ma l enau ra Et	--⌫|-|--⌫-|-|
maintenuiporlisoffert.	----|---|--|-|------||
Porsamor la	--||---|-|
r eïnesert Et lespucelesdelachanbre	-⌫----|---|-|--|------|-|-|------|
Mescelidon plus lirema nbre	--|---|--|---|-|----⌫---|
Noseaparlerneare sn ier .	|--|------|-|---⌫--⌫--||
S ele osast uers luidesr esn ierLe dr oit que	|--|----|---|--|----⌫---⌫--|-|--⌫--|--|
e leicuide auoir uo la nti e rs	-⌫-||----|----|--⌫--⌫---⌫-⌫-|
elen ose n e n e doit.	--||--|-⌫|-⌫|---||
Et cequeliu ns laut re uoitN e plus	-|-|--|-|-⌫-||---⌫-|---|-⌫|---|
nanpuet direnef eire	|-|---|---|-|-⌫---|
L ortornemout	-⌫-|----|---|
a gr antcontraireEt lamorsa croist et	|--⌫--|--------|-||----|-⌫-----|-|
alume Mes detozamanz estcos tumeQue	----|--|-|--|----|--|---⌫---|--|
uolan tiers peissen tlori alz	-----⌫----|-------⌫|--|-⌫--|
Desgarder s	|-------||
ilnepueentm ia lz E tcui d ent porcequ il	-|-|-----|-⌫--⌫-|-⌫|---⌫-⌫--|--|-|-|-|
lo rplest Cedontamorsa croist	--⌫|----|-|---|----|-⌫-----|
Quaidierlordoi esilor nu istTotausi	-|-----|--|---⌫|-|--|--⌫--|--|---|
co ncilplus secuist Q ui	--⌫|--|---|-|----|-⌫-|
aufeu sapr och e	-|--||---⌫---⌫|
etacosteQueci l	-|-----|--|--⌫|
quiarrieressanoste .	--|-------||-|---||
Adés croi st l amorsets im onte Mesli	----|----⌫-||----|-|-⌫|-⌫---|--|-|
un s ad elautrehonteSisecueure et	--⌫||-⌫||----|----|-|-|-----|-|
çoi lechascuns Siqua nquen anpert	----⌫-|-------|-|-|-⌫|--||-|---|
flamene funsDel char bo n q uie stsoz lacendre	----|-|---|--|----⌫--⌫|-⌫-|-⌫-|--|-|-----|
Porcenest pasla	--|-||--|--|-|
chalorsmandreEinçoisdurelach alors	------|-----|-------|---|-|--⌫----|
lac en dreque desus.	-|-⌫--⌫--|--|----||
Moutsont anduiangra nt	---|---|----|-|---⌫-|
engoisse Etporc equanne	-------|-|--|-⌫|-|-|-|
lesconoisse Ne	--|-------|-|
lorco nplainten ap arçoiueEst uetchascun queildeç o iue	--|--⌫-------||--⌫-------|---⌫--|------|--|-|----⌫-⌫--|
Parfaussanblant	--|---|-------|
totesles gen z.	----|--|---⌫||
Meslanuit est	--|-|---|--|
la plainte g ranz	-|------|-⌫---|
Quechasc unsfetalui meïsmes .	--|-----⌫--|--||--|-------||
DAl ixandre	|--⌫------|
u osdirai prime sComantil se	-⌫-|----|-----⌫|-----|-|-|
plaint etdemante .	-----|-|------||
Amors celi li rep resanteP orcuisesantsi	----|---|-|---⌫------|-⌫-|--|-|---|-|
fortgreué	---|-----|
Quedesoncuer l a esl eué Ne nel	--|-|--|---|||---⌫---|-|--|
less e anlitreposerTant li	----⌫|-|--|------|---|-|
del itea rem anbrerLa	---⌫--||---⌫-----|-|
lacontenanceCeliounapoin td	-|---------|---|-|||----⌫||
esp erance Que	---⌫-----|--|
iabienslandoieuenir .	-|----||-|---|----||
Porfolfetilmepuis tenir	--|--|--|-|-|---|----|
Porfoluoi rema ntsui ge fos Qant c eque ie	--|--|---⌫----⌫-|--|-|--|---|-⌫|--|-|
pansdi renos Car tost metorneroita	---|--⌫-||-|--|---|-|--------||
Anfoli eaimonpanserm is	-|----⌫|-|--|-----|-⌫-|
couient ilmialzpanserQuefolme feïs se	------|-|----|-----|--|--|-|-----⌫-|
I aniertseü ceque u uel Tant celerai	-⌫||---|---|-|--|-⌫--|---|------|
cedonmeduelNene	-|--|-|---|-|-|
saurai dem es dolors	-----|-|-⌫-|-----|
AïdequerrenesecorsFos est	----|-----|-|-----|--|--|
quisan tanfermetéQui n	--|---⌫|---------|--||
an q ui ertai ̈deetsanté	-|-⌫--⌫--|--⌫--|-|-----|
S e i l lapuett roue rnulleu.	-⌫|-⌫|-|---|-⌫----⌫|--|--||
Mestex cu idefe ire	--|--|--⌫--|--⌫--|
Etporquerreceque il uia ltQuiporcha cedom il	-|--------|-|--|-|---⌫-|--|------⌫-|--|-|
Etqu ine l e	-|--⌫|-|-⌫|
cuid e t rouerPorcoi iroitco nsoilrouerIlsetr aueilleroit	----⌫|-⌫----|--|--|----|--⌫----|----|-|-|--⌫----------|
Iesantlemien	-|---|-|---|
mal sig r euain Que ia	--|-|-⌫-⌫----|--|-|
nana uraigar ison Parmecinene	|-|-⌫---|---⌫---|--|-----|-|
parp oison	--|-⌫----|
Ne parhe rbenepar	-|--|--⌫--|-|--|
Acha s cun malnapas	|---⌫-⌫--|--|||--|
L imi e ns estsianraci ne z Quil	-⌫|--⌫-⌫-|--|-|------⌫--⌫|-|-|
nepuetes tr e	-|---|--⌫--⌫|
Nepu etIecuit	-|--⌫-|-|---|
Desque primescestm al sant i Selo sasse	--|--|-----|---|-⌫-|----⌫|-||-⌫----|
mostrere tdire	------|-⌫|---|
Poï ss eiepar lera umireQuide	----⌫--⌫|-|---⌫--|-⌫|---|--|-|
totme porroit eidier	--|-|------|-----|
Mesmout m e stgriefaempleidier	--|---||-⌫-|----||---------|
idai gneroitantendreNenulloi ern	|---⌫------|-------|-|--|---⌫-||
anuoldr oitprandre.	-|-----⌫--|------||
meruoil le se m esmaiC armout	-------⌫-|-||----|-⌫-|---|
ai m alet si nesai Q uex max ce	-|-⌫-|-|-|-|--|-⌫--|--|-|
estquime iustiseNesaid onladolors	--|--|-|------|-|--|-⌫-|-|-----|
N elsai Si	-⌫-|--|-|
Iel cuitsauo irCest malmefet Amors	--|---|----⌫-|---|--|-|--|----|
Co mantSet doncAmors malfaire Donnes t il	--⌫---|--|---|----|--|----|--||--⌫|-|
d olzetde bonaireIecuidoiequeilneüstEn	-⌫--|-|--⌫------|-|------|--|-||----|-|
Amorrien quiboenne fust	---|---|--|---|-|---|
Me sielaimout f elon troué	--⌫|-||-|---|-⌫---|-----|
Nelsetqu i nel aesproué	--|--|--⌫|-|||-------|
Dequexieus A morss	-|---|---|-⌫---||
antre met.	-----⌫--||
Fosestquide uersluise metQu il	--|--|--|--⌫---|--|-|--|-|-|
uialttoziorzgreuer le s s uens .	----|--|---|-----|--⌫|-⌫---||
Par foisesgeus	--|--|--|---|
miebuens Maluési oer	--|----|------|-⌫--|
sefeta luiIe cuitquil mefera	-|--||--|-|---|-|-|-|---|
Quef eraidoncRe treraimanIec uit	--|-⌫---|---|--⌫-----||-|-|-⌫--|
queief eroiesanMesnesaicomant	--|-|-⌫----|--|--|-|--|-----|
chastieetmenacePor apr an dreet por	------|-|-----|--|---⌫--⌫--|-|--|
anseignier Doiiemon	---------|--|-|--|
mestredesda ignierFose stquisonmestre desdaingne	-----|-----⌫-----|--|-⌫-|--|--|-----|---------|
Amorsmaprant	----||-----|
etan s aingne Doiiegarderetmai ntenirGra nz	-|--⌫-⌫-----|--|-|-----|-|---⌫-----|---⌫-|
biensmanporroitauenir .	----||-|------|-----||
Mestrop mebaticem	--|---|-|--|--||
Iani pert il necopne	-|||---|-|-|--|-|
plaieEtsi ma nplaing .	----|-|-||-⌫|-----||
tortNen il q uilmanauré si fort	---|---⌫-|-⌫|-|||-----|-|---|
Queiu squaucuerma s o n	--|--⌫--|-|---|||-⌫-⌫|
darttraitMes nelapas aluiretra it	---|----|--|-|||--||--|-----⌫-|
Comantletadonct raitel corsQ ant	-----|-|||---|-⌫---|-|---|-⌫--|
laplai ene pertdefors	-|----⌫|-|---|-----|
Cemedirassauoirleuuel	-|-|----|-----|-|---|
C oman tl e t	-⌫----⌫|-⌫||
a ilt retParlu el.	|-|-⌫--|--||-⌫-||
Parl uel Si neleta	--||--|-|-|-|||
Mes aucuerm egrieu efo rmant.	--|-|---|-⌫|-----⌫|--⌫----||
Orme didonc	-|-|-|---|
reisoncomant Lidarze st parmi	-----|-----|-|---|-⌫-|----|
luelpassezQuilnan	|--|-----|-|-||-|
est bleciez nequassez .	--|------|-|------||
Se li darz parmi	-|-|---|----|
ian tr e Licuersporcois	|--⌫--⌫|-|----|--|--||
and ialt el uantreQue	-|-⌫---|-|-----|--|
liia l zausi nes andialtQui	-|--⌫-⌫|---|-||-|----|--|
lepr emiercopan requialtDe cesai	-|--⌫----|--|-|-------|-|-|--|
ge bie nre ison ra ndre Liialzna so i ngde	-|---⌫|--⌫---|--⌫---|-|---|||--⌫-⌫-|-|
r ienantandr e	-⌫--|-------⌫|
p uet feirea nul fuerMesce stli	-⌫--|----||--|---|--||-⌫-|-|
mereors a ucuerEt pa rcemireo rtrespasseSiqu	------|-⌫|---|-|--⌫|-|-----⌫|--------|-|-|
il ne b lesce	-|-|-⌫----|
nenequasseL isansdon licuersestespris	-|-|-----|-⌫|---|--|-|----|--|-----|
Doncest li	---|--|-|
u an tremisAusiconla c hando ile espr iseEs tde danz	-⌫--⌫--|--|---|--|-|-⌫-----⌫--|----⌫--|--⌫|--⌫---|
l alenterne mise .	-⌫|-------|---||
Selachando ilean departezIa nanistra	-|-|------⌫--|-|-------|-||-|----|
nulec lartez Mesta ntconla	---|-⌫-----|--|--⌫-|--|-|
chando ile d ure	------⌫--|-⌫--|
N eestpaslal anterneoscure E tla flame	-⌫|--|--|-|-⌫------|-----|-⌫|-|----|
quidedanz lu istNelanp ire ne	--|-----|--⌫--|-||---⌫--|-|
Aut resi est de l auerrineIa nier t	---⌫---|--|-|-⌫|------|-||---⌫|
sifor zneanterineQu el ir ais	-|---⌫|-|-------|--⌫|-⌫|-⌫--|
delsoloilni pastS anz	--|-----|||---|-⌫--|
cequed eriennelaquastN eia	-|--|-⌫|---|-|-|----|-⌫|-|
l iuoirressic le rs	-⌫|------|-|-⌫--⌫-|
n iertS eautreclart ezne	|---|-⌫|----|-----⌫-|-|
sifi ertQue parla	||--⌫--|--|--|-|
l)anmia l z	||-|---⌫-⌫|
C emeïsmessachiezdesialzEtdelu oirreet	-⌫|-------|------|--|---|-|--|-⌫----|-|
de lalanterne	-|-|-------|
Caresialz se	--|-|---|-|
fiertla luis erneOu licuers se remireet	----|-|----⌫---|-|-|----|-|-----|-|
ueurequexquelesoit	----|---|-|--|---|
Siuoit ma int esoeure sdiue rsesLesunes	-|---|--⌫---⌫-|-----⌫|----⌫---|--|---|
uer zlesautrespersesLuneuermoilleet	---⌫|--|-----|-----||--|--------|-|
lautrebloeLune b lasme et	|----|---||--|-⌫----|-|
lautrel oeL	|----|-⌫-||
une tient uiletlautrec hi ere.	--|----|--|-||----|-⌫--⌫--||
Mes tiexli mostre	--|---|-|-----|
be lechiere E l mireorqu antil	--⌫-|-----|-⌫|-----|--⌫--|-|
lesgardeQuil etraïst s il nes i	|------|--|-⌫|------||-|-|||
lesm i en s mo nt	--|-⌫-⌫--⌫||-⌫-|
deceüCaran l u iames cu ersueü	-----|--|-|-⌫-⌫||--|--⌫--|---|
rai don iesuianconbrezQ u idedan z	--|--|-|--|--------|-⌫-⌫|-----⌫|
lui sestanombrezEtpo r	--||--|-------|-|--⌫|
lu i m estmescuers	--⌫||--|--|----|
Demonamisuimal bai llizQuipor mo n anemi m	-|--|--|--|---⌫---⌫---|--|--|--⌫|----||
Reterle puisde felonieCaril a	----|-|---|-|------|--|-||
mout uersmoi mespr is.	---|---|--|-----⌫-||
IecuidoieauoirtroisamisMoncu er	-|------|----|----|---|--|--⌫-|
etm es .ii.	-|-⌫-|---|
ialz a nsanbleMesilmeheentcemesanble .	---|-⌫------|--|-|-|----|-|-|-----||
HaDex ou s ont mes	-|--|-|-⌫--|--|
c i st.i ii.	-⌫-⌫-|--⌫--|
sont mi a n emi Quidemoi sontet si	---|-|-⌫-⌫--|--|-|--|---|-|-|
mocïen tMis e r gentan	|------⌫|-|-⌫-⌫-⌫---|-|
moitrop sefïentQuitoteloruolanté font	--|---|-|-----|--|---|--|-------|---|
mo ie pointn ef ont .	--⌫-|----|-⌫|-⌫--||
biendeueritéParcezquim	---|-|------|--|--|--||
ontdeserit éQuamorsde boenseignorperis tPa r	--|-------⌫-|-|----|-|---|------|-----⌫|--⌫|
