S ii ertilsi	-⌫|-⌫--|-|-|
Pur tutlorkio ncfust	--|--||-|-|-⌫-|---|
trouéenuni ornal.	-----|-|-|-⌫-----|
Li enfa unt suntn or rie	-|----⌫--|---|-⌫--⌫-||
mutsunt bien gardé	--|---|---|-----|
Mutpa rsunt t uit	--|--⌫|---|-⌫--|
corteis e mut biend octriné	------||--|---|-⌫-------|
Nepoënte nnul s e n derien	-|-----|-⌫|--|-⌫-⌫|-|---|
estreblasmé	----|------|
Messurtuzoutle	--|--|--|--|-|
p risHornli pruz	-⌫--|---|-|---|
I lledutbienaueir	-⌫|-|--|---|----|
ie r tl or auué	--⌫-⌫|-⌫-|----|
E siertentuzsenstutli meu z enseigné	|-|--|-|--|---|--|-|---⌫|--------|
Kar mestre noutde	--|-----||--|-|
rien q uil noü sttut pas sé	---|-⌫|-||---⌫-|--|---⌫--|
Desig rant se n est eitke Deuliout do né.	-|-|-⌫---|--⌫|---⌫--|-|--|-|--|--⌫---|
Parlep aïsesteitpuriçoerenomé	--|-|-⌫---|-----|--|----|------|
Pursun senk iiert grante	--|--|--|-⌫|---|----||
pursagra nt	--|-|---⌫-|
ço e niertde	---⌫||---|-|
plusennulse norguil lé.	---|-|--|--⌫|------⌫---|
Mutenfudep lusurscumdutestre loé	--|-|-|-|-⌫-----|--|--|----|---|
Ka rlent roua	--⌫||-|-⌫---|
mutpoide sibe aus	--|--|-|-|--⌫--|
sanzfi erté	---|--⌫----|
M escist passout	-⌫-|---|------|
trestuzho mes dehumilité	------|--⌫--||---------|
Eo dçoesiauoit ualurde largeté	|-⌫|---|-|----|----|-|-------|
K eplus uaillan t	-⌫|---|-------⌫|
del uinepoutestre troué.	-|-⌫-|-|---|----|------|
Esislos creistpa r t utpar tuten	|--|--|-----|--⌫|-⌫-|--|--|-|
es tparlé	--⌫|-----|
estua ill ant d egrant nobilité.	--|--⌫---⌫--|-⌫|----|---------|
Enzes chambresre aus enestf ormentpre isié	--|-|-------|--⌫--|-|--|-⌫-----|---⌫----|
TauntkeRigme l loï	----|-|-----⌫||--|
taun t bele pur ue irenlacrestïenté[f. 7b]	----⌫|---|--|--⌫-|-|-|---------------⌫--|
F i lle esteitdan Hunlafalbon rei	-⌫-⌫--|-----|--|-----|-|--|--|
R igmelfille	-⌫----|----|
iert le reidanzele degrant	---|-|--|------|-|----|
Gentaue it mutl e c ors	---|---⌫-|--|-⌫|-⌫--|
eculoré leuis	|------|-|--|
Nout nu le taunt uaillantensei s aunte	|--|--⌫-|----|-------|-|---⌫-⌫----|
R equi sel	-⌫----⌫-||
orentmut reis	----|--|---|
Mesnelorentnééntkar	--|-||----|------|--|
nefusis assis	-|-|--|----|
Nen eloutpurue u ̈li	-|-⌫||--|-----⌫-⌫|-|
rei deparaïs	--|-|------|
lauole i ts icum il mestauis	-|----⌫-⌫|-⌫|--|-||--||--|
S i ·luo lez e scuterke neseiez noisis.	-⌫-⌫-|--⌫--|-⌫-----|-|-|----|------|
Eleouto ïdeHornparleriaout m ei nt	--|--|-⌫-|-|---|-----|-|--|-⌫--⌫-|
Keilier t forment beaus	-|-|---⌫|------|----|
ede deduz pen is	|-|----|---⌫-|
Keu eëir le	-|-⌫----|-|
poüstpl usursen	-----|--⌫----|-|
outreq uis	--|---⌫--|
Ea mu zou toffert orargentuere	||--⌫|--⌫|-----|-|-----|--||
Pal efrei ze ru ncinse	---⌫-----⌫||--⌫----||
dest riersb iencursis	----⌫----|-⌫--|-----|
fuki·l feïs[t]nek i ·n fust	-|---|-------|-|-⌫-⌫-|---|
esténurr i	----|----⌫|
lienfaunt deparage	-|------|-|-----|
Qu i lsu nt bien creü iadeseze aunzont	-|-⌫|--⌫-|---|----|-|-|---|---|--|
UnefestetintreisdanHunlaf	--|----|---|---|--|-----|
parbarnage.	--|-------|
Tuitifurentmaundéki	---||-----|------|-|
delui ont fea ge	-|--|--|---⌫-|
N i remistau en ir neli f olne li	||-----||-⌫--⌫-|-|-|-⌫-|-|-|
K aratuzen	-⌫-||--|-|
fufe tcummunement	-|--⌫|----------|
Pur çoeiu enent tuitli	--|---||-⌫----|---|-|
ba run del homag e	--⌫--|--|-----⌫|
Ke iluoe lent	||-|---⌫---|
honurerp artauntlurseignurage.	------|-⌫-|----|--|----------|
Ecilu indrenttrestu itk	|--|-⌫------|------⌫-||
ieren tenco mandage	-----⌫|-|--⌫------|
Li enfant ki furenttroué surleriu age	-|-----|-|-----|-----|--|-|---⌫--|
D u nt fist	-⌫-⌫-|---|
lisenesch alal rei	-|-------⌫-|-|--|
sunpresentage.	--|----------|
Chescun meine lesoenodseien guionage	------|----|-|---|-|--|-|-------|
Quilaueie ntnurri ea pris pa rbon	-|-|-----⌫-|----||-⌫---|--⌫|--|
Detuzafaitemenzcu m gent de bon	-|--|---------|--⌫|---|-|--|
or entb ie n chesc unasunusage	--⌫--|-⌫--⌫|-----⌫-||--|----|
Cum il fuss entlorfizudel ur	--|-|----⌫--|--|--||-|-⌫-|
parentage.	---------|
pout hom blasmerneturner a huntag e.	---|--|------|-|-----||------⌫-|
APentecuste	|---------|
ier tfaite ic estëasembléé	---⌫|----|--⌫----|---------|
Purla grant festeanuelk ebien	--|-|----|----|----|-⌫|---|
fucel ebréé	-|---⌫------|
Meintrichebie ri uintdediuersecuntréé	----|----|---⌫||---|-|------|--------|
Elurmuil liersod	|--|----⌫----|-|
au s d ames	--⌫|-⌫---|
de grant ponné é	-|----|------⌫-|
Kela gr antcurtlere ien	-|-|--⌫--|---|-|--⌫|-|
fust plushonoréé.	---|---|---------|
Herlandlisen escha[l ]ad la curt gouernée	------|-|---⌫-------⌫|-|-|---|--------|
Bien lesadherb ergie	---|--|-|----⌫----|
sanz c o ruzsanzme sléé–	---|-⌫-⌫--|---|--⌫-----||
outpleinte	--|------|
dostelnedautrerienliuréé.	|----|-||----|---|--------|
Ho rni f ud	--⌫-||-⌫-|
oue lu[i]odlaf acel oée	--|----|-|-|-⌫--|-⌫---|
ladueükinen	|-|---|-||-|
seit tres pen sé é	---|----⌫---⌫---⌫-|
D elang oissedamurki taunt fo rt	-⌫||---⌫----||---|-|----|--⌫-|
l adtuchéé.	|-|--------|
Deskarleteout u estugun elebien	|--------|--|-⌫---|---⌫--|---|
taill éé	-----⌫---|
Bienest r e i tfuchaucé i ambe	---|---⌫-⌫-⌫-⌫|-|------|-⌫---|
d reiteedeugee	-⌫----||-----|
Curtm au n telout elcollatache	---|-⌫--⌫-⌫--|--|-|--||-----|
Purtost fa i relarien	--|---|--⌫-⌫-|-|---|
kiliiert c ummaun dee.	-|-|---|-⌫------⌫---|
Deutauntfusabeautéparla sale	--|----|-|-|------|--|-|---|
notéé[f.8 b]	-----------⌫-|
Esidiëntpartut k ec	|-|-----|--|--|-⌫||
es tc hose	--⌫|-⌫---|
Ekeoncmesde Deunefutiel figuréé.	|-|--|--|-|--|-|-|---|---------|
Mutfur iche lac urt	--|-|-⌫---|-|-⌫--|
ecelefeste	|---|----|
LeiordePentec u stecumiliert auenant.	-|--|-|------⌫-⌫--|--|-|---|-------|
C hescun d ices barun spresentesun enfaunt	-⌫-----||---|-----⌫|-------|--|------|
Que iloren tnurri solunclerei	--|-|----⌫|----|-----|-|--|
senesch al Hornafaire s untalaunt	-------⌫-|---||----|-⌫-|------|
Esun autreuallet duntdesusfuicuntaunt.	|--|----|-----|---|----|--|--------|
Eli reisle s reçutsienfum u tioaun t.	|-|---|--⌫|-----|-|-|-|-⌫-⌫|-----⌫-|
Pu sdi talseneschal Be ausamisdanHerland	--⌫|--⌫|-|--------|--⌫--|---|--|------|
s eruiraui	-⌫-----|-|
demacupepo rtant	-|-|---|--⌫----|
autreuall e ttuitl	----|----⌫-⌫|---||
enierentsiw ant	-|-----|---⌫--|
D i cestmesterodluiuuil	|-⌫---|-----|-|--|---|
quilseient serua nt.	-|-|-----|-----⌫--|
Çoed istliseneschaus Sireio e bie n	---|-⌫--|-|---------|---|--⌫|---⌫|
le grant .	-|-----⌫|
E lauesseleaHornadliure ́	|-|------||---|-|-----⌫|
seruirabien parlomienesciaunt	------|---|--|-|---|-------|
Ne l enpurra blasmerc heu a ler ne	-||-|----|------|-⌫---⌫-⌫--|-|
fa ce seruirchascunparauenant.	--⌫-|-----|------|--|-------|
Hornseruil ereib ien delacupea	---|----|-⌫|--|-⌫--|-|-|---||
Bienadc erchiélesrencs e [i ]adfait	---|-|-⌫------|--|----||--⌫|-|---|
me int tur	--⌫--|--|
ueutde[l ]seruir kenulseitpleigneo ̈r	---|----⌫|-----|-|--|---|--------⌫-|
lesfaittuzbien seruir paramur.	--|---|--|---|-----|--|----|
Deucumoru ntlo és a	--|--|-|-⌫-|--⌫-|-⌫|
façunsacolur	-----|-|----|
Dame ne ladueu ̈kiuerslin	---|-||-|---⌫|-|---|-||
aitamur [f. 9 a]	--|----⌫---⌫-⌫-|
E ne·luousisttenir	|---|------|----|
suzh er minco uer tur	--|-⌫--⌫--|--⌫---⌫--|
Enb raciebelementsanz	---⌫----|-------|---|
seüdes e ig nur	---|-|-⌫-⌫--⌫--|
delacurt ie rt il	-|-|---|--⌫-|-|
es mireür.	--⌫-------|
La reisunuaitdelui e nlacham bre	-|-----|---|-|--|-⌫|-|----⌫--|
Utauntesfi l lesoutdenob[i ]lecuntur.	|------|--⌫-⌫--|--|-|-----⌫--|------|
Edegentilbarune de	|-|-----|----||-|
franc uauasur	----|------|
Odlafille le reiki surtuz	-|-|----|-|--|-|--|--|
iert la f lur.	---|-|-⌫---|
La parol ed eHorn enl acha m breestaléé	-|-----⌫|-⌫|---|-|-⌫|---⌫-⌫--|--|-----|
M esnepoetlungement entrals estre	-⌫-|-|---|--------|---|--|----|
c el éé.	-⌫--⌫----|
R igmelf ille	-⌫----|-⌫---|
lereimut[l]adbiene scutéé	-|--|--|-|--|---|-⌫-------|
Ensunsegr eiladb ienen sun quoerafe rmé é	-|--|----⌫-||-|-⌫--|-|--|----|---⌫----⌫-|
uoutkele sei t des puce les	---||--|---⌫|--|----⌫--|
Karpurs ei biencourir est	--|--|-⌫-|---|-----|--|
sagëeueziéé.	----||--------|
Cumlepur rauëeir fortsen es tpurpensée ́.	--|-|---⌫-|-----|---||-|--⌫|----------⌫-|
Unen ging a d truué keli	-|--⌫---|-⌫|-----|-|-|
plest eag réé	----||--⌫----|
Parle sen eschal iert	--|-|---⌫-----|---|
f aiteceleasembléé	-⌫---|---|---------|
K ellepusse	|-|-|----|
uëeire nsach amb re iunche ́é	-----|-⌫|-|--⌫---⌫-|------⌫--|
Ekelepusseparl erod lui	||--|----|----⌫-|-|--|
a saü léé.	|----⌫-----|
Lorsi·nad apele ́ Her selo tlas enéé	--|---|-|-----⌫|---⌫----⌫|-|-⌫-----|
Unesueme sch in ekide luiier t	--|--|--⌫---⌫--⌫|-|-|--|---⌫|
En loreille l i ad sa	-||------|-⌫|-|-|
parole enchargéé	-----|----------|
uame ia l seneschalen lasale pau éé	-|--⌫|-⌫|--------|-|-|---|---⌫---|
Dili k euie n ge a mei	-|-|-⌫|---⌫-⌫-||--|
demure ́é	------⌫--|
Qua ntlatable	---⌫-|-|----|
reäl deuan tliert	----|-----⌫|-|--|
ostéé[f.9b]	------------|
Saueiesiliuien t lii ert gue rredonéé.	-|---||-||----⌫|-|-⌫--|---⌫----------|
Orsenuet H e rselotpu cele sanzdesrei.	-||-|--|-⌫-⌫-----|--⌫---|---|------|
Fill eie rtun	----⌫|--⌫-|-|
nobleducki	----|--|-|
teneitAlbanei	-----|------|
Unebone cun tréé	--|---|---⌫-----|
–closee st d unmaresch ei.	|----|-⌫-||-|-------⌫--|
I lnaueisin sifo rtkii face	-⌫|||-----|-|--⌫-|-||---|
Qu iltostn e	-|-|---|-⌫|
seuen g epar	-|---⌫-⌫|--|
mutgran t no bl ei	--|----⌫|--⌫--⌫-|
Purtaunt es tapelé li cuitus Go defrei	--|----|--⌫|-----|-|-----|--⌫-----|
Eleadtrou é	--|-|----⌫-|
Herl aunddeuan tl edeisle	----⌫---|-----⌫|-⌫|---|-|
Par lamaunce lepris t	--|-|-----|-|----⌫|
esi·ltrestenuers sei	|---|----|-----|--|
Enloreille	-||------|
liditsoauet	-|--|-----|
M a danz eleRig mel	-⌫|----⌫--|---⌫--|
uu ssal uëparmei	--⌫|---⌫--|--|--|
Prië uus ke u iengezen sachambre asegr ei	----|--|-|-⌫-----|-|-|------||----⌫-|
Elueutparlero d	-|---|-----|-⌫|
uussi uusdira de quei.	--|-|--|---|-|----|
Daunze le distHerlaund uolentier spar mafei	------⌫-|---|-------|---------⌫|--|-|--|
Mesque i aië	-----||---|
se rui si cum faire le dei.	--⌫--|-|--|----|-|---|
Hersel o t sen	------⌫-⌫||-|
re ui nt sun	--⌫--⌫-|--|
messagefetad.	------|--|--|
As ada unzeledit këi li ala	|-⌫|--⌫-----|--|--|-⌫|-⌫|-|
Pus quilaura s eruii taun ttost	--|-|-|---|-⌫---|-⌫----⌫|---|
EquantRigmel l	|----|-----||
oï deduçorsu spir a	--|-|-----|--⌫----⌫|
Ka relp ense	--⌫|-|-⌫---|
deHor nenzel quo erlatucha	-|---⌫|--|-|---⌫-|-|----|
Cuml epusseuëeirmutfortsep e nera.	--|-⌫|----|-----|--|---|-|-⌫-⌫----|
Ioe creilesenesch al	--|---|-|-------⌫-|
parueirig aignera	--|---||-⌫------|
Pu rdone rbeausaueir s	--⌫|----⌫|----|-----⌫|
r eme indra	-⌫---⌫----|
Cumcilpurraoïrk ilestoireentendra .[f.1 0a]	--|--|----|---|-⌫||------|--------⌫-----⌫--|
Elega rde enturs ei	--|--⌫--|----|-⌫-|
esesdrasacesm a	|--|---|-----⌫|
Demaunde esmireür	-------|--------|
esouentsemira.	|-----|-|----|
As puc elesdi t adDanzelescumesta	-|---⌫---|--⌫|-|-------|--|---|
El eso ntrespondukedel[ tres]tut b ien ua.	--⌫-|-⌫-|-------|-|--|-⌫-------|-⌫--|--|
E ld em aundesouentDan	-⌫|-⌫--⌫----|-----|--|
Herla nd qu antuendra	-----⌫-|--⌫--|-----|
Eeleslires po nent Iaquant	|---|-|---⌫--⌫---|-|----|
serui aura.	----|----|
Ent retauntesle uusicil qu	---⌫------|-|-|--|---|-|
eldemau nda	-|-----⌫--|
Equantelele uit	|----|--|-|--|
en es l eë s ça.	-|--⌫-⌫---⌫-⌫---|
Elle p ris tpar lamain cuntre	-|-|-⌫---⌫|--|-|---|-----|
lu isedres ça	--⌫|-|----⌫--|
Iusteluisur sunlita seei r	----|--|--|--|--||----⌫|
Dulcementpar amure napre s ipa rla	--------|--|---|-⌫|----⌫||--⌫--|
O rpurrezi aoi ̈rc umelcummen cera .	-⌫|-----|-⌫|--⌫-|-⌫-|-|------⌫----⌫|
Parblaundi ̈eçoe creitdemieuzesp leiter a.	--|-------⌫-|---|----|-|----|---⌫------⌫-|
Beausire seneschalmut adgrant tens	---|---|--------|--|-|----|---|
Ke uusaimult formente nmun	-|--|-|---|------|-⌫|--|
quoe renamé	----⌫|-----|
Mesn enfisnulsemblant	--||-|--|--|-------|
nene·l uusaimustre ́.	-|---|--|-|------⌫-|
O r estt aunt au enu kesaurez munpense ́	-⌫|--|-⌫---|--⌫--|-|-----|--|-----⌫|
Kar delmienuus dorr ai	--|--|---|--|----⌫-|
tau nt kenauraibongré	---⌫-||-|----|--|---|
Oredr as e cheuaus	-||--⌫-||------|
Me soruui lkeseë zauan t eslee ̈sci é	--⌫|-|---⌫|-|----⌫|----⌫|-----⌫----⌫-|
Mispere sest	--|----⌫|--|
laenz ioiusodsun barne ́	----|----|-|--|-----⌫|
Enusbeuro mçaenz ep imente claré	|--|-----⌫|-----||-⌫----||-----|
Ebonsuinsprecïus	|---|---|-------|
deuiezentonelé.	-|---|---------|
bienseruirauostreuole nté[f.10b]	---|-----||-----|----⌫----------|
Equan tuus	|----⌫|--|
enirrez taunt uu sa uraidoné	-|----|----|--⌫|-⌫---|----|
Kedeme i partirezeioi us	-|-|--⌫|-------||---⌫-|
Beleçoe dit Herlaund li	---|---|--|-------|-|
reisd emaies té	---|-⌫|-----⌫--|
K is ur tutest	-⌫|-⌫-|--|--|
pu issantde q uant	--⌫-----|-|-⌫---|
quilad crié	-|-|-|----|
Iluusrendelebien kem	-|--|----|-|---|-||
au ezd e uisé.	--⌫-|-⌫-⌫-----|
S iuusiert siioeuif tresbien guerredo né	-⌫|--|---|-|--|--|-------|--------⌫--|
sens que uuldrezqu	---|--|------|-|
il me seitcumman dé.	-|-|---|------⌫---|
Bi enlesai di st	--⌫-|-|--|--⌫-|
Rigmel de sorm estrezpriue ́	-----|--⌫|-||-----|-----⌫|
Plusqu enul ki oncfuste ncored emere né.	---|--⌫|--|-|--|---|-⌫----|-⌫|---|---|
A itants e si oïst mutlabele	|----||-⌫--⌫----|--|-|---|
Bienquidaparitauntes pleiter sun auel.	---|----|--|-----|--⌫------|--|----|
Al premier addonéaH erland	-|------|-|----||-⌫-----|
Grosdorquitmelekindes le	---||-|---|------|--|-|
tensDanïel	---|------|
Fudfor gié si·lforgaliorfieu reMarcel.	--|---⌫---|---|----|-|------⌫-|------|
Untiel s aphiri	-|---|-⌫----||
mistki bie nu autunch astel.	---|-|---⌫|-⌫--|-|--⌫-----|
Pusa pel aaseiu n	--|-⌫---⌫||--|-⌫|
soen f raunciouence l	---|-⌫----|-------⌫|
Kii ertsun buteiller homl apele	-|-⌫--|--|--------|--||----|
Diuaf aitlagenti lsieztupurqu ei	-|-|-⌫--|-|-----⌫|---|-|--|--⌫-|
aporterleuindel mi euzq u asentonel	------|-|--|--|--⌫--|-⌫|-|-|----|
En ma grant	-|-|----|
coped orentailléacisel	---||-|--------||----|
Deloeur e Salem un kif ud rei	--|----⌫|-----⌫-|-|-⌫-|--|
Kemis peres	-|--|----|
l ireismedo naaBurdel.	-⌫|---|-|--⌫-||------|
Ma domeu olentiers ç oe respu nt lidonzel.	-|---|-⌫--------|--⌫-|-----⌫-|-|------|
Muttos ti ueïssezdesfubler meintman tel[f.11a]	--|---⌫||-------|--------|----|---⌫---------|
Purla fille le	--|-|----|-|
reiebienseruire	--||---|-----||
Keb iensesleë sçastH erlaund l i fizT o rel.	-|-⌫--||------⌫-----|-⌫------|-⌫|--|-⌫-⌫---|
Rabel ad ap ort e ́celecope rea l	----|-|--⌫---⌫-⌫|---|---|---⌫|
Eiliertbienuest u d	|-|---|---|----⌫||
u nblia utde	-⌫|----⌫-|-|
Eodluisunt	|-|--|---|
uenu bonuallet	---|--|-----|
Kiporten t	-|------⌫|
bons uesseausedor e de as mal–	---|-------|||-||-|--⌫--||
Cuml acope Rabe lni	--|-⌫|---|----⌫|||
outn ulquifust	--|-⌫-|--|---|
IllabailleRigmel pa r cummand princip al.	-|-|-----|-----|--⌫|------|-------⌫--|
prent enrian tsi ditalseneschal	----|-|----⌫|-|--|-|--------|
Ioe u uilb eiu redeu antesë	--|-⌫--|-⌫---⌫-|---⌫--||--|
ilest mortal	-|--|-----|
Duncuusg ardez apresquilneuusfa cemal	---|--|-⌫----|----|-|-|-|--|--⌫-|--|
Pari tie l couenantbe ura lifiz	--|-⌫---⌫|-------|--⌫--|-|--|
Lam ei tiéqui laur a	-|-⌫--⌫---|-|-⌫|---⌫|
la cup e em periäl.	-|---⌫|--⌫-------|
DaunzeledistHerlaundli	-------|---|-------|-|
pereesperit al	---|-------⌫-|
uusenren de l eduni oe nisai	--|-|---⌫-|-⌫|--|-⌫-|||--|
uostre cummandferaiianenir rai paral.	-----|------|----|-|--|--⌫--|--|--|
Quant adoï	----|-|--|
Rigmel keHerlandesthaitiez	-----|-|------|--|------|
Innelem entapresfud Rabel ap elez.	-------⌫--|----|--|----|--⌫----|
la gentil del clarémapo rtez	-|-----|--|-----||---⌫---|
Si·nbe uromu eirement keseiomtut h eitez	---|--⌫---|-⌫-------|-|----|--|-⌫----|
Ioe elisenes cha lki	--||-|-----⌫---⌫|-|
mutest mispriue z	--|--|--|-----⌫|
Pus li dorra i tie l	--|-|-----⌫|---⌫|
donduntiert ioius	--|---|---|----|
Damedist liuallet	---|---|-|-----|
tuta uos uolentez.	--||--|--------|
Pusl iuetap orter esnefsd argentdorez[ f.11b]	--|-⌫|--|--⌫----|-|---||-----|------⌫-----|
Equanti lorent beusif ud	|----|-⌫|----|--|-|-⌫-|
lorsdemaundez	---|--------|
Unsoenmestree s cuier –	-|---|-----|-⌫-⌫----||
Ber tin[fu]ape lez.	---⌫--|---|---⌫---|
Qua nti luin t deuauntlidit li fuemustrez	---⌫-|-⌫|---⌫|------|-|--|-|-||------|
Kele u eut ke Bl anchardli s eittost	|--|-⌫--|-|--⌫------|-|-⌫--|---|
kanfreinaor	-------||-|
e mutb ienenselez	|--|-⌫--|------|
adplus b elcheual e nse isaun te ci tez.	-|---|-⌫-|-----|-⌫|--⌫-----⌫-|--⌫---|
E B ertinse nturna ne s est	|-⌫----||-⌫|----|-||--|
gerest arg iez	----|-⌫---⌫--|
Siame naBlanchardcum	-|---⌫-|--------|--|
ainz fu d euise z.	---|-|-⌫-----⌫-|
QuantR igmel	----|-⌫----|
lotueu ̈siaddi tOr	|-|---⌫|-|-|--⌫|-|
Se n e sc halce stc heualki ad	--⌫-⌫-⌫--⌫--|--⌫-|-⌫----|-|-|
bunt é as ez .	----⌫-|--⌫--⌫|
Parcestuiferm erome ntren us	--|-----|----⌫---|-⌫---|-⌫-|
Damec ̧oedistHer laund Deuuusrende	---|-⌫--|---|---⌫----|--|--|----|
Plusgent don ne	---|---|--|-|
reisne a mirez .	---|-|-⌫-----⌫|
Io·luusguer r edonrai	---|--|----⌫-⌫------|
entuzsens q ue u oldrez.	-|--|---|-⌫-|-⌫------|
Beau siresenes cha len c ornus léésçom	---|---|-----⌫---⌫|--⌫-⌫-|--|---------|
S ibeur omdel pimentkieste	-⌫|----⌫-|--|-----|-|--||
Pur ç oeke	--|--⌫-|-|
l ez sei ezencor eaurezundun	-⌫-|---⌫-|-----⌫|----|-|--|
