apresce quemestres gautiersma pot	----|-|--|------|-------|--⌫|-|
delan celo t ou dela d a moise le	-|---⌫----⌫|-|-|-|-⌫-⌫-----⌫-|
seelepu e tennuleman i e r esitostc omme	-|--|--⌫-⌫|-|---|---⌫-⌫-⌫-⌫|-|---|-⌫---|
ele uerras on	--|----|-⌫-|
moul testla reinedolente	----⌫|--|-|----|------|
deces n ouueles que	-|--|-⌫------|--|
messire gau uains l i auoit a porte esqueele necuid ast	--|---|---⌫----|-⌫|----|-⌫-----⌫-|--|--|-|----⌫--|
pas ennul e maniere quel anceloseustcuerdamer	--|-|---⌫|------|--|-⌫------|---|---||---|
a ut redame	-⌫--⌫-|---|
sienfisttoutle i or	-|-|---|---|-|-⌫-|
mo ult matec hiere et en lessa l erire	--⌫--|---|-⌫----|-|-|----|-⌫|---|
endema inuinta cou rt	------⌫-|---||---⌫-|
boor zetlyo niaxet hesto rs	----⌫|-|---⌫---|-|-----⌫-|
etleur compaignie qu iuenoientde lassemblee	-|---|---------|--⌫|-------|-||--------|
et quantilfuren t de s cendue nlostelle	-|----|-|-----⌫|--⌫-⌫----|-⌫||----|-|
roiouilauoientleur g iste et l eurrepairetou tes	--|-|-|------|---|-⌫---|-|-⌫--|------|---⌫--|
le sfoi z que	--⌫|---⌫|--|
ilueno ien tac ourthestorscommencaademanderasuns	-|----⌫---⌫||-⌫---|------|-------||-------|-|--|
etasautresq ui	-|-|-----|-⌫-|
l aiens estoientr em esauec lareinequ antil al erent	-⌫----|-------|-⌫--⌫-|---|-|----|--⌫--|-|--⌫----|
a lassemblee ou lancelosesto ital ez carl eanzle	||--------|-|-------|----⌫-|--⌫-|--|-⌫---|-|
lessierenti l	---------|-⌫|
quant il s	----|-||
enpar tir ent .	-|---⌫---⌫--||
sirefont il i lsenala de	---|---|-|-⌫||-|--|-|
ce anzlendemainqueuos enpartistesen si	--⌫--||-------|--|--|-|--------|--⌫-|
que il n enmenaqueun	--|-||-----|--|-|
tout seu lescuiera uecque s	---|---⌫|------|-⌫------⌫|
lia t eleurqueon quespuisne lueism es	-||-⌫-|--|--|--⌫---|---|-||-----⌫-|
enoisme s parler.	-|-----⌫|-----||
quantlareineso tquelifrer esl a ncelot et si	----|-|----|--⌫|--|-|----⌫-|-⌫-⌫-----|-|-|
cousines toientuen uele	-----|--⌫-----|---⌫|--|
fist boortd euantlu i uenir	---|----|-⌫----|--⌫|----|
sili d i st	-|-|-⌫-⌫-|
boortauezuos es téa	----|---|--|--⌫--||
cel eassemblee	---⌫|--------|
dameoilfe til	---|--|--⌫|-|
etueis tesuos lancelot uostrecousin	-|----⌫--|--|-------|-----|-----|
dam ene nilcariln	---⌫|--⌫--|--|-||
parmonch ief	--|--|--⌫--|
fetlareinesi fu	--|-|----|-|-|
damefetil sauueuos tregra ce	---|--|-|----|---⌫--|---⌫-|
ilnepuetestrese ilieus t estéq ue	-|-|---|----|-|-||---⌫|----|-⌫-|
iln eustparlé amoietqu egene	-||---|-----||--|-|--⌫|-|-|
l eu ss econ neu.	|--⌫--⌫|---⌫--||
ueraiementlesachiez fetlareine	---------|-|------|--|-|----|
qu e ilifuatelesenseignes que	--⌫|-||-||----|--------|--|
ilot unesarmes ue rmeill estoutes d	-|-|---|----|--⌫------⌫-|-----||
unta intetportasussonhiaume	-|--⌫--|-|----|--|--|-----|
un emanchea	--⌫|-----||
dameouadamoi seleet ce fu cil qui	---|-||-----⌫---|-|-|-|--|--|
ue inqui l assemblee	--⌫----||--------|
ennondie uf e tboorzde celui	-|--|---⌫|-⌫-⌫|----|-|----|
neuoudroi ege	-|-------⌫|-|
maniere qu ece	------|--⌫|-|
fustm e ss iresmes cousinsc a r cil do n t uos me	---|-⌫-⌫|-⌫---|--|------|-⌫-⌫|--|--⌫-⌫|--|-|
parlezsicommele nmedistsenparti	-----|-|----|--⌫|-|---||-|----|
m oultdurementnaurez	-⌫---|-------|-----|
d e lassemblee d u ne	-⌫||--------||-⌫-|
plaie quegelifisa u ne iousteelcoste	----|--|-|-|--||-⌫-|-----|-|----|
se nestre .	--⌫-----||
maleoi tesoit	------⌫-|---|
le urefetlareine queu osnel	|-⌫--|--|-|----|--|-⌫-|-||
oceiste scar ils	-------⌫|--|-||
estsidesl oiautez enuersmoique ge	--|-|----⌫------|-----|--|--|-|
nel cuidasse	-||-------|
por riensd elmon deque	--|----|-⌫-|---⌫-|--|
il le feist.	-|-|----||
damefetboorzcomment	---|--|----|------|
etelel i contetouteinsi	-|--|-⌫|----|---|----|
c ommeelel e pensoit	-⌫---|--|-⌫|------|
et qua ntel eotditetoute	-|---⌫-|--⌫|-|---|----|
sauolentesilirespondiboorz damefeti lne	-|------|-|-|-------|----|---|--|-⌫|-|
creezpasqueil soit eins intcomu oslepensez	----|--|--|-|---|----⌫--|--|-⌫-|-|-----|
deua ntq ueu oslesa c hiezplu s ue raiement.	----⌫-|-⌫-|-⌫-|-|--⌫-⌫---|---⌫|--⌫-------||
car simaistdexge nel	--|-||---|--|-|-||
porroie pascroirequeileust	------|--|-----|--|-|---|
fauss ée n te lmani ere	-----⌫-|-⌫|--⌫|----⌫--|
ie uo sdi ueraiementfet elequeaucuneda me	-|--⌫|-|---------|--|--|--|-----|--⌫-|
oudamoisel ela seurprisou par	-|--------⌫|||-------|-|--|
poi son oupar	---⌫--|-|--|
enc hant eme ntsiqueiamesior	---⌫----⌫---⌫-|-|--|-|--|--|
de sa uie ne sera	-|-|--|-|---|
biendemoi nege	---|-|--|-|-|
r euenoitacort par au cu ne auenturegeliueeroie	-⌫------||---|--|--⌫--⌫-|-------|-|-|------|
del toutlostel	--|---||----|
monseigneur	--|-------|
lero iet lidef fendroiequeil ne fus t	-|--⌫|-|-|---⌫-------|--|-|-|---⌫|
iamestan t hardiz	-|--|---⌫|-----|
queil meis t	--|-|----⌫|
ceanzlepie.	----|-|--||
boo rz uo s	---⌫-|--⌫|
enferoiz touteuostre	-|-----|----|-----|
uolentem e s toute uoiesuosdi	------|-⌫-⌫|-----⌫----|--|-|
ge certeinne ment	-|---------⌫---|
qu onqu esme s sires nesentremistde fe ret iex	-|----⌫-|--⌫|----|-||--------|-|--⌫-|-⌫--|
chosescomuosli metezsus	-----|--|--|-|----|--|
il la bie n moustré a	-|||---⌫|-------||
ceste assemble e	----|--------⌫|
fetla reine	--|-|----|
moi quela prueueies tsi	--|--|-|-----||--⌫|-|
aparissant .	---------||
dame fet boorzseil esteinsi comme	---|--|----|-|-|--|----|----|
uosmed ites i lne	--|-|-⌫---|-⌫|-|
fist onqueschosedon t	---|-----|----|---⌫|
i l mepesa sta utretant	-⌫|-|----⌫-|-⌫-------|
carue rs quiqu ilse	--|--⌫-|--|-|-|-|
meffeist enue r s uos	-------|----⌫-⌫|--|
nesedeustil	-|-|----|-|
pasme ff ereen nul e man iere.	--|--⌫--⌫--|-|---⌫|---⌫---||
touteceleseme inne et l aut re a pr e sd emo ra	----|---|----⌫---|-||---⌫-|-⌫--⌫-⌫|-⌫---⌫-|
boor zen l	----⌫|-||
o stelleroi artue ntre lui et sa co mpai gnie	-⌫---|-|--|---|-⌫---|--|-|-|--⌫----⌫---|
etfuren tmoultmatetmou ltpe nsif	-|-----⌫|----|--|-|---⌫-|--⌫---|
p lusquilne souloientpor	-⌫--|-|-|-|--------|--|
lareinequilu eoientc ourro u cie e moult	-|----|-|-|-⌫-----|-⌫-----⌫-⌫---⌫|----|
dur emen t.	---⌫----⌫||
onquesdedenzceluit ermeneui n thom acort	-----|-----|----|-⌫---|-|--⌫-⌫|--||---|
quia po rtast nouelesde lancelotque il leus t	--|-⌫--⌫----|------|-|-------|--|-||---⌫|
ueune loing nepres	--|-|----|-|---|
en merueillamoultliro is a rtus .	-|--------|----|-|--⌫-|-⌫---||
u nior est oiente ntr ele	-⌫|--|---⌫----|-⌫---⌫|-|
r oiet monseigneur	-⌫-|-|--|-------|
ga uuainasfe nestres delpales etparloient e ntr	--⌫----|-|--⌫------|--|----|-|--------|-⌫--|
e uspl useurschose s et tant quelirois	-⌫-|--⌫-----|-----⌫|-|---|--|-|---|
distamonseigneurga uuainbiausniestrop	---||--|-------|--⌫----|----|---|---|
me meru eil ldurement ou lanc e lo s	-|----⌫---⌫|-------|-|----⌫-⌫--⌫|
d emeuretant	-⌫-----|---|
ieneui piecaquillessastautantma	-|-|-|----|-|-|------|-----|-|
cort commeil	---|----|-|
etquantmessiregauuains	-|----|--|---|-------|
commence asozrireet	-------||------|-|
di stauroisireorsachiezquelileus	--⌫-|-|--|---|-|------|--|-|---|
neliennuiepas	-|-|-----|--|
carseilliennui asti l ne fustore	--|-|-|-|-----⌫--|-⌫|-|---|--|
mie auenir	--||----|
etseillip lestlen ne sen doit	-|-|-|-|-⌫---|--|-||-|---|
miemer ueilliercarilde uroitbien	--|---⌫-------|--|-|--⌫----|---|
plere au p lus richeh ome del monde se il	----|-|-⌫--|----|-⌫--|--|----|-|-|
iauoitautresi missoncuercomm ege	|----|------|--|--|---|----⌫|-|
cuitq uelancelosi am islesuen.	---|-⌫-|-------|||-⌫-|-|---||
qu a ntlirois	--⌫-⌫-|-|---|
en tentceste pa r ole sies tmoultengoisseus	--⌫---|----|--⌫-⌫--|-|--⌫|----|---------|
de sa uoir que ce est	-|--⌫---|--|-|--|
sirequiertamons eig neurgauuainqu	-|-------||--|-⌫---⌫---|------|-|
endiela uerite seurlaf oi et	-|--|-|-----|---|-|-⌫-|-|
seurle serementqueil lifist .	---|-|-------|--|-|-|---||
sire fetmes	---|--|--|
siregauuains ge uosendirai	---|-------|-|--|-|----|
laueritesicom	-|-----|-|--|
mesquece soi t chose	--|--|-|---⌫|----|
cele eentre no sdeuscarse gec uid oie	----⌫|----|--⌫|---|--|-|-|-⌫---⌫--|
queilfustreco n té enautreleuge	--|-|---|----⌫-⌫--|-|----|--|-|
neu osendiroienuleriens.	-|-⌫-|-|-----|---|----||
roislidist que d	---|-|---|--||
ilecquesenauantnensera riens seu	-------|-|----||-|---|----|--|
sirefetmessi regauuainsie	---|--|--|--⌫-|-------|-|
ueraiem entqu emessirelancelosd emeureaescalot	-------⌫--|--⌫|--|---|-------|-⌫-----||------|
damoi selequeilainme paramors	-----⌫---|--|-|----|--|----|
mes icesa chiez uosbien	--|--|--⌫----|--|---|
p oruoir que ceestunedes	-⌫-|---|--|-|--|--|--|
plus belesda moisele squisoit	---|----|--⌫-------⌫|--|---|
elroiaumedelogres	-|------|-|-----|
etsiestoit encorepucele qua nt	-|-|-----|-----|-----|---⌫-|
no si fusmes	--⌫||-----|
grantbiautequege u ie nlui	----|-----|--|-|-⌫|-⌫|--|
la requ is	-|----⌫-|
g ed amors	-⌫||----|
napasgranment	||--|-------|
escondi stmoult bien de moiet	-------⌫-|----|---|-|--|-|
dist qu ele	---|-|--|
esto it amee deplusbi au	----⌫-|---|-|---|--⌫-|
c heu alier et demeilleurq ue	-⌫---⌫----|-|-|-------|-⌫-|
ge nestoie	-||-----|
iefuimoultcouuo iteus desauoirquiil	-|--|----|-----⌫----|-|-----|--|-|
tingmoultcortequ	---|----|----|-|
eleme deistson non	--|-|----|--|--|
me s elenen	--⌫|--||-|
uolt onq uesriensfer e	---|---⌫--|----|---⌫|
e t ne porqua nt ele medistquelememostreroitson	-⌫|--⌫------⌫-|--|-|---|-|--|-|---------|--|
etgeli respondi quege nede mandoie	-|-|-|-------|--|-|-|--⌫------|
etele le memoustra.	-|--|-|-|------||
et geleconn ui	-|-|-|----⌫-|
meintenant	---------|
q ueceestoitliescuz lancelot	-⌫-|-|-----|-|----|-------|
e tgeli demandeidamoi sele	-⌫|-|-|-------|-----⌫---|
dites m oi paramors	----|-⌫-|--|----|
q ua nt c istescuzfulessie zceanz	-⌫--⌫-|-⌫--|----|-|------⌫|----|
e tele merespo ndique	-⌫|--|-|-----⌫--|--|
sesamisliauoitle ssié	--|---|-|----|--⌫----|
ala alassemblee	--|||--------|
de wincestreet enportale sarme s	-|--------|-|------|--⌫|----⌫|
a un suenf rer e q uiestoient toutesuermei l lesetq ue	|-|---|-⌫---⌫|-⌫-|-------|-----|------⌫-⌫--|-|-⌫-|
la manche estoit se ue quil auoit porteesus	-|-----|-----|--⌫-|-|-|----|-----|--|
son hiaum e.	--|-----⌫||
