Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
guere dunez E limalen se ment mustr ez	-----⌫----||-|--|--⌫--⌫---|-----⌫-|
Si cumeiecrei	-|---|-|---|
n est nul pe chur	|--|--|--⌫---|
Kiface bi enpu r	-|---|--⌫-|--⌫|
Deu nerendegueredun	--|-|----|-------|
Parfeiep arcu nfessiu n	--|--||-⌫-|--⌫-------⌫|
sa bo nemeresert	-|--⌫-|---|---|
Debon luier sera b ien	-|--|----|---|-⌫--|
I asei tiçoqu ilseit pechur	-⌫|---⌫|---|-|-|---|-----|
Kienuers la dameait	-|-----|-|---|--|
amer amultpursamere	----⌫|---|--|-|---|
Oez q u euusdirai deunl ere	--|-⌫-⌫|--|----|-|-|-⌫--|
Si cume ietruf sen	-|---|-|----⌫|-|
cestsermun	---|-----|
Ebbome sembleaueitanun	---|-|-----|----||--|
K imultembla et	-⌫|---|----|-|
mu lt malfist	--⌫-|--|---|
Autria ueiremblae prist	----|-⌫---|----||----|
Duntpais sei tsei eses	---|----⌫---⌫|--||--|
Mutertmalfesant	--|--|--------|
mu tfist mals	--⌫|---|---|
Mesnequed ento d	--|------⌫--|-⌫|
For ment amasai nte	---⌫---|--|---⌫--|
MarieEhonuraasunpoueir	----||-----||--|-----|
Cumesa dame	---|-|---|
en bon espeir	-|--|-----|
T uz tens quant alaembler	-⌫-|---|----|--|-----|
Pristainzladame asaluerEfist	----|---|-|---||-----||---|
alisahur eis un	|-|-|---⌫---⌫-|
Odbon quor od deu ociun	-|--|---|-|---⌫----|
iursi cumesoleit	--|-|---|-----|
EmblaaueirseprisesteitE c ilk i od	----|-----||---|-----||-⌫-|-⌫|-|
laueirlepris trent	|----|-|----⌫----|
Od lema lfet auant le m ist rent	-|-|--⌫|--|----|-|-⌫---⌫---|
Efudunctostgugé apendre	|-|---|---|----||-----|
Lidolentne sepout def endre	-|-----|-|-|---|---⌫----|
Menerentleesilpend irent	-------|-||--|----⌫----|
Pendantpurmortlede guerpirent	------|--|---|-|--⌫---------|
cu milert suspendu	--⌫|-|--|-------|
S il sucu rutparsa	-⌫-|----⌫--|--|-|
Quedeusiu rssanz mal ipendi	--|---|--⌫-|---|--||----|
uis liertq ue	--|-|--|-⌫-|
De sesd eus mans puskeele	-|--|-⌫--|---|--|-|--|
Quanticil qui iluclependi rent	----|---|--|---|-|-----⌫---|
R euindrentla euif le ui rent	-⌫--------|-||--|-|--⌫---|
Esanz malioiuse	|---|--|----||
Mutsetindrent	--|-|-------|
Quiderentquepe ndune	--------|--|--⌫--|-|
fustAp leine hartsi	---||-⌫----|---|-|
E stikeruule nt	-⌫-----|----⌫-|
lec hai ti f	-|-⌫---⌫--⌫|
P urçoque si	-⌫-|--|--|-|
lungesert uif	-----|--|--|
Dreita su nguittrunlefermistrent	----||--⌫|-------|-|--|-------|
estik ermu lts entremist rent	-----⌫-|--⌫-||---------⌫---|
mistsamain	---|-|---|
Le fe r refist ueniren uein E li	-|--⌫|-----|----|-|---||-|
leresenhautlu rcrieEdit lurde sainte	----|-|---|--⌫|---||--|--|-|-----|
Cumeele i est cumledefent	---|--||--|--|-|-----|
Cil sene smeruei llierent	--||-|-⌫-------⌫-------|
Deladame ore nt	-|-|---|---⌫-|
gra n tpoür Esil despendentp ur	---⌫-⌫|----||--|---------|-⌫-|
Pristre ntlada memulta loerEsil laisent	-------⌫-|-|--⌫-|---||---||--|------|
tutqu itealer	--|--⌫--|---|
Ci sts e nturn amui ne deuintEsaint emen t	--⌫-||-⌫|----⌫|---⌫-|-----||-----⌫----⌫|
D eue samere ben	-⌫-||-|---|--|
Des icel iu rtantc um uesq ui	--|---|--⌫|---|-⌫-|----⌫-|
Deunus duinstfaire sunseruise	--|--|-----|----|--|------|
Quedia b les parsac uintise N ait	--|---⌫-⌫--|--|-|-⌫------||--|
en nuspart	-|--|---|
grant nepet it	----|-|---⌫-|
Deuseüneslit	--|----|----|
E nla grant	-⌫|-|----|
A du n s mu stiersu mistren t	-⌫|-⌫-⌫|--⌫-----||-------⌫|
Celmus tiersiest de s aint	--|---⌫---|-|--|-|-⌫---|
Unmoineiotiadis	-|----||-|----|
le ch erre	--⌫--⌫---|
Multamatsecu lerdelitEsi des pistmultsun	---|---|----⌫--|----||-|---⌫---|---|--|
Plus amafemm e od bel echere Kensun	---|--|----⌫|-|---⌫|----||-|--|
mustierfere	------|---|
Tan tpu rcha ça parsesde l i zK ilotpu is	---⌫|--⌫----⌫--|--|--|--⌫-⌫-⌫||-|-|--⌫-|
qu il fu moine	-|-|-|----|
Mutama les deduz	--|--|--|----|
Iceus kencuntreriwel esunt	----||-------|-----⌫|---|
Auint un iu rkil pristpuisun	----|-|--⌫||-|----|-----|
Odfr eresdece lema isun	-|--⌫---|-|--⌫-|--⌫---|
P urmal guerpir lapristel iur	-⌫-|--|------|-|----|-|--|
Maisilchaïenmalgr einur	---|-|----|-|--|--⌫----|
S ike nepoutauercumfort	-⌫|-|-|---|---|------|
Quenemu rustd e male mort	--|-|--⌫---|-⌫|---|---|
Sanz cumfessiun	---|---------|
adulurE sanzle cors	|----||---|-|---|
Lidiablelalmeseisir ent	-|-----||---|------⌫--|
Enuers enfernlarauirent	-----|-----|-|-------|
Pierreenhoutpitégran tEu inta	-----|-|---|----|----⌫||-⌫--||
Iesumlepuisant	----|-|------|
Criantpur sun	-----|--|--|
m uinemerci	-⌫---|----|
Iesubellirespundi	---|--|-|-------|
Dun c ne sez tu ke	---⌫|-|--|-|-|
Els auterpar	-|-⌫----|--|
munesp erit	--|---⌫---|
Dom ineq ui shabitabit	---⌫--|-⌫--⌫|--------|
En tamaisun cedit	-|-|-----|-|--|
Dau idU k ireposer ae l mundUtu	---⌫-||-⌫|-------⌫|-⌫|---||-|
sireetiangle su nt	---||-|----|--⌫-|
Cilki sanz	--|-|---|
m a le te ccheuie n t E	-⌫-⌫-|--⌫---|---⌫-⌫||
faitiustiseet c ̧omaintient	---|------|-|-⌫-|--------|
Cumentputcistduncentrerhi	-----|--|---|---|-----|-|
Qui odtecchei u ie n tsanzmerci Esanz	--|-|-----||-⌫--⌫-⌫|---|----||---|
iu stis eesanzbon eoure	--⌫----⌫||---|---⌫|---|
Sis mesfetasezled escuu re	--|-----|---|-|-⌫-----⌫-|
Pierreiçoentendi Atuzse i nzrecriamerci	-----|---|------||--|--⌫-⌫-|-----|----|
Qu ildeusent	-|-|------|
pur sun serf preer	--|--|---|----|
Quemalfé nelpeusttra uailierEil s i	--|-----|--|----|---⌫------||-|-⌫|
firentbonement	-----|-------|
Req uistrent	---⌫-------|
Deu purledol entE	--|--|-|---⌫--||
Deulurredist de	--|--|-----|-|
Domine quisha bitabit	-----|---|--⌫------|
Sicume asaint	-|---||----|
Pe r reaueitdit	--⌫-⌫-|----|--|
Lasa umelu r	-|--⌫--|--⌫|
mustreelescrit	-----|||-----|
Quantcilnepore nt	----|--|-|----⌫-|
esple itier	-----⌫----|
Dunc alas aint	---|--|-⌫---|
Pe rrepri er	--⌫--|---⌫-|
Damesainte	---|-----|
De s uirgines lacumpainie	--⌫|-------|-|--------|
Karil solt biencumueirs esteit	--|-|---|---|--|----|-----|
I esulesorreit	-⌫--|--|-----|
Dunc seleuasainte	---|-|---|-----|
Odsa uailantecum p ainie	-|-|-------|---⌫-⌫----|
Seinurse nalaEilencunt re eles	-----||-⌫|--||-|------⌫-|---|
s amere bonem entE	-⌫|---|-----⌫--||
a sun glorius	|--|------|
cuuen tOchieremere humain	-----⌫||-----|---|-----|
suc ur sEuu s	---⌫--⌫||--⌫|
mestreschieressururs	--|---|------|-----|
Que requ erezqueuo leizciEladame	--|----⌫---|--|--⌫---|-||-|---|
requistmer ci	------|---⌫-|
Purlefrerekeissi e rt	--|-|----|-|---|-⌫-|
K ediables	-⌫|------|
tind rentsi	----⌫---|-|
Lisauuerresdunkesli	-|--------|-----|-|
Iaseitic ̧o	-|---|--⌫-|
sa intescr it	--⌫--|----⌫-|
Dientkenus ne put	----|-|--|-|--|
Puresgoier pur	--|------|--|
Enm untabernac le u	-|-⌫-|--------⌫-||
Neenm unsa intmuntsuuerain	-|-|-⌫-|--⌫--|---|-------|
For s cil kiuient san z teccheet ma lEen	---⌫|--|-|----|---⌫|-----|-|--⌫||-|
iustiseseitl eial	------|---|-⌫---|
Neque d en t p ur çoque anus	-----⌫-⌫--⌫|-⌫-|--|--||--|
Cumandkelidiableleist	-----|-|-|-----|----|
Celea l me elcorsr epairer	---|-⌫-⌫-|-|---|-⌫------|
Ke puissepuist a drec ier	-|---|-|----|-⌫----⌫--|
E fa irepenitencedigne	|--⌫--|--------|----|
Keanus uenirseit	-||--|----|---|
benigne Eaitodnus	------||--|-|--|
i oiesuueraine	-⌫--|--------|
Parnusseit deliu r ed epeine	--|--|---|-----⌫-⌫|-⌫|----|
Quant sainte	----|-----|
Mariel abele	----|-⌫|---|
Distasaint	---||----|
Perrela n oue le	----|-|-⌫---⌫-|
Ke sis humertsideliur e z	-|--|--|--|-|------⌫-⌫|
uers l esc ulu erzs en	---|-⌫-|-⌫---⌫--||-|
est turnez	--|-----|
Deune grant	-|--|----|
cl efke ensama inout	--⌫-|-|-|-|--⌫-|--|
Lesculuerzen ueie chaçot	--|------|-|---|------|
Limalfé durement f uïrentEd eltut	-|-----|-------|-⌫------||-⌫-|--|
lalme guerp irent	|---|-----⌫----|
Pie rr e l al mecum andaA de us beausenf a nzsi	---⌫--⌫||--⌫-|---⌫---||--⌫-|----|---⌫-⌫-|-|
roua K i l aucorsla remenassent	---||-⌫|-|---|-|----------|
Sike derienne	-|-|-|---|-|
setargassent	-|---------|
Li enfaunt le res usci te ren t	-|------|-|---⌫----⌫--⌫---⌫|
Aunfrere le cu manderent	|-|----|-|--⌫--------|
Qui moin eesteit d e	--|----⌫|-----|-⌫|
celmustie r	--|------⌫|
Keienu mai	-|-|--⌫--|
elchefpr emerE li freresleremenat Ehumbleme nt	-|---|--⌫---||-|-----|-|------||--------⌫-|
Ke c hascun i urpur	-|-⌫-----|-⌫-|--|
luichantast	--|-------|
Pur çoque	--|--|--|
sib elle menast	-|-⌫-|-|-----|
Mise reremei	----⌫---|--|
Seruise uus fr aip lus	------|--|--⌫-|-⌫--|
uostresepul c reaturnerai Ede balais	-----|-----⌫-⌫-|--------||-|-----|
l e neierai	-⌫|------|
uostresepulchreueuauez	-----|--------|--|---|
A inzque fus ez resus citez	-⌫--|--|---⌫-|-----⌫----|
Li fr eresde m ortreleua	-|--⌫---|-|-⌫--|-----|
De tu t par	-|--⌫|--|
ordrerecunta	----|------|
Cumeliauint	---|-|----|
e quant k euit	|----|-⌫|--|
Pitusement la trestut ditE	---------|||------|--||
cume ilguari	---|-|----|
Dames ai nte	---|-⌫--⌫--|
Cumed es diablesfudr aui	---|-⌫-|------|--|-⌫--|
Cum esaint	---⌫|----|
Pierrecria m erci	-----|---|-⌫---|
Parquiilo t iteleaï e	--|--|-|-⌫|----|---⌫|
Siaucuns cestmirac lenec reitK ilfustsi	-|-----|---|-----⌫-|-|-⌫---||-|---|-|
desdiablesto l ei t	--|------|--⌫-⌫--⌫|
D uncpenst ensunquore rep ens tEsei	-⌫--|----|-|--|---||---⌫---⌫||--|
mei mes e nbienassenst	---⌫--|-⌫|---|------|
Dela buntéde la u ertu	-|-|-----|-|-|-⌫---|
Queouererputla	--|-----|--|-|
Surtuzs einze	--|--|-⌫---||
tute sseintes	----⌫|------|
Kiasuncher	-||--|---|
fizfuntlurpleintes	--|---|--|-------|
Kisires estde ciel	-|----|--|-|---|
Ki de bonquoru ultço enque rre	-|-|--|---|-⌫--|--|-----⌫--|
Tu teo stera lamescra an ce	--⌫-|-⌫----|-|------⌫--⌫-|
Ed ebu tera lad utanceEse ildela	|-⌫---⌫---|-|-⌫-----||-|-|-|-|
c lefcuntredit	-⌫--|--------|
Quecil es mainssaint	--|--|-|----|----|
Pierre uit	-----|--|
Dun t l edi ableespoentad	---⌫|-⌫|--⌫---|--------|
Quan tlalme	----⌫||---|
Idunc rep enstensu ncurage	----|---⌫---|-|--⌫|-----|
quenadc o rsneuisage	--||-|-⌫-⌫-|-|-----|
Estreneputmu stréel	----|-|--|--⌫----|-|
mu ntAceus kicorsn euisageunt	--⌫-||---|-|---|-⌫|-----|--|
Forsparcorsdeaperte	---|--|---|-|-----|
P urçoneueigeci	-⌫-|--|-|--|-|-|
Deuputcer teseiurenui t	--|--|---⌫--||--||---⌫|
Fere quantke iluult sanz cundu it	---|----|-|-|---|---|-----⌫-|
uer tu loeiesei tEsis	---⌫-|----|---⌫||--|
nung lorius et beneit	--|-⌫-----|-|-----|
Luipuissum nus	--|------|--|
tr estuzseru ir	--⌫----|----⌫-|
Que diab leniait	--|----⌫-|||--|
Amenditestrest uzdeai ̈ r	---|----|-----⌫-|-|--⌫-⌫|
Teisir ne deuum n e	-----|-|----|-⌫|
Huges soleitcu nter	----|-----|--⌫---|
Clui nia bésesteitD	----⌫-|-⌫---|-----||
moinecunter so lei t	----|-----|--⌫---⌫|
Enlonursai nte	-||---|---⌫--|
Qui almoine f istbelaïe	--|-|----|-⌫--|--|---|
Celfrer eestei tparnun	--|----⌫|-----⌫|--|--|
Sicumenus truuomen l escrit	-|---|--|-----|-||-----|
Tantcume cillais hum	---|---|--|---|--|
Mutcuueitadenbonen dre it	--|-------|-|--|--⌫---⌫-|
De a lerasain t	-|-⌫--||----⌫|
Iamele b er	---|-|-⌫-|
Eparpelerinageilo c urer	|--|---------|---⌫|---|
Purchaçaçoduntout	--------|--|---|--|
miestierAdespe ndrem eint be l d ener	-------||-----⌫---|-⌫---|--⌫|-⌫---|
Me imes leiurke il	--⌫---|-|--|-|-|
aler doutAsa femmeuintsicum li	---|---||-|----|---|-|--|-|
sun tale nt	--|----⌫-|
Maisnesaipa suerai emen t	---|-|--|--⌫|-----⌫----⌫|
S elefusa dreit e	|--|-|-|-----⌫|
muilierUaltre purseideliter	------||----|--|--|------|
Alapu isodme intc u np ainun	--|--⌫-|-|--⌫--|-⌫-⌫--⌫----|
Enuerssaint	-----|----|
Iam e le barun	---⌫|-|----|
Cumil fudenl eireentré	--|-|--|-||---|-----|
uintalui liculuert chie n	---||--|-|------|----⌫|
Lidiablehumainenemi	-|-----|-----|----|
Unenuitquantc ilsedor mi	--|---|----|-⌫-|-|---⌫-|
Kisedemustrealagent	-|-|-------||-|---|
Enclar tédeangle	-|----⌫--|-|----|
suuentAc e stui uinten te l semblance	-----||-⌫-⌫---|---|-|--⌫|--------|
Iamefust sanz	---|---|---|
dutanceEdi st li tut apert ement	------||--⌫-|-|--|-----⌫----|
kas fet folement	|-|--|-------|
Nepoezsaluaciun aueir	-|---|--------|----|
Setost ne fetesmunuole ir	-|---|-|----|--|----⌫-|
Sanzmalle poezfa ireet sanzblame	---|--|-|---|--⌫--|-|---|----|
ie tis siresaint	-|--|---|----|
Tespenda nztei estu tcop er	--|-----⌫-|--|----⌫|---⌫-|
Eteimeimes	|--|-----|
Orle faitostdeliurement	-|-|--|---|----------|
Parces t fet	--|---⌫|--|
a ueras sauue ment	-⌫----|-----⌫---|
Ci lqui dout kecefust	--⌫|---⌫---|-|-|---|
IameE qu e fere l epust sanzblame	---||--⌫|---|-⌫|---|---|----|
Trestsuncut el nelen fugueres E	----|--|---⌫-|-||-|-|-----||
tr enchases g enitares	--⌫----|--|-⌫-------|
Puisseferielguitrum	---|-|---|-|------|
Keamo rtserendderandun	-||--⌫-|-|---|-|-----|
Cumildeieta mainse	--|-|-----|----||
S unt siscu mpainunesueilezOïrentlechaitifgorgeier	-⌫--|--|--⌫------|-------|------|-|------|-------|
Pristre ntduncaesmerueiler	-------⌫-|---||----------|
Chascunendrei t sei s esmerueileEalumentun echandele	------|------⌫|--||---------||------|--⌫|-------|
uirentdu ncledolentgesir	-----|--⌫-|-|-----|----|
sunguitrunbuilir	--|------|-----|
L a isentmort ilucle	-⌫-⌫----|---|---|-|
Sisenfu ie nt	-||-|--⌫--⌫-|
d eliurem ent	-⌫-------⌫--|
Leshummesdelpaïs	--|-----|--|----|
duterentEpurla poürs en	-------||--|-|----||-|
tu rnerent	--⌫------|
Que lenamalne sdemenastE	--||-||--|--⌫|-------||
d ecele mort nes ret ast	-⌫|---|---|--|---⌫--|
leeusent par felunie	-|-----|--|------|
Purs unaue iru par e nui e	--|-⌫-|---⌫-||--|-⌫---⌫|
Sit ost cumelec hai tif fu mor z	-|-⌫--|---|-|-⌫---⌫--|-|---⌫|
ui ntdi a bleparsunefforz	--⌫-|--⌫-⌫--|--|--|-----|
Seisi lalmede ldolentEs is	----||---|--⌫|-----||-⌫||
e nes iohi forment	-⌫|--⌫---|------|
Nese f ist mie poiheite ́	-|-|-⌫--|--|--|-----⌫|
Deldole nt	--|----⌫-|
quotsienginné	-|-|-|-------|
Cumdi able l alm e	--|--⌫---||---⌫|
enme ne rent	----⌫--⌫---|
Encos te d un m ust i erpas serent	-|---⌫-||-|-⌫---⌫-⌫-|---⌫-----|
Kide saint	-|-|----|
Pierr e est ablifudÇ o auintpar	-----⌫|---⌫---|--|--⌫|----|--|
Iamel esencuntraE s ant	---|-⌫-|-------||-⌫--|
Perreodl ui al a	----|-|-⌫-|--⌫|
Duncdistsaint	---|---|----|
Iam efiereme nt	---⌫|-------⌫-|
Almestrediabledel	-|-----|-----|--|
Pu r queias	--⌫|---|-|
pris felun mastin L alme	---|----|-----||---|
pelerin E li	------||-|
diableadtutretreit	-----|-|--|------|
Enditenu ole ir	-|--|-|-⌫---⌫-|
f ei tEaldereinc umentseocist	-⌫--⌫||-|-----|-⌫----|-|----|
Iameencuntreço di st	---|-------|--|--⌫-|
culuierz n e io hireient	-------|-⌫|--⌫-------|
Lech a itif	-|--⌫-⌫---|
queenginnéaueient Editlur	--|-------|------||--|--|
apertepru uance	-----|---⌫----|
Sacheke enlame iesemblance	----|-|-|-|--⌫-|--------|
Ledeceüs tespa rsemblant	-|-------⌫--|--⌫|-------|
Tut cume ameiobeïsant	--|---||--|--------|
Fistsim ple mentesi se ocist	---|---⌫---⌫---||-|-|----|
Nentpur uus	---|--|--|
mespurme ile fistEsealcundeuus	--|--|--⌫|-|---||-|----|-|--|
çode fent	--|--⌫---|
uiengetostauiugement	-----|---|-|-------|
Damesainte	---|-----|
De lauerurnefa ud rum mie	-|-|----|-|--⌫--⌫--|--|
Cilsenalere nt	--||-|-----⌫-|
mesdolentA ladam epu r iugement	--|-----||-|---⌫|--⌫|-------|
ch ose er ttutemustree	--⌫--|--⌫|---|------|
la enla asse nblee	-|-|-|----⌫----|
Deua ntladamee suncuuent	----⌫-|-|---||--|-----|
Lifellencuserent forment	-|--||---------|------|
pleinedepité	-----|-|----|
Add un c l	-|-⌫--⌫||
al me dereichné	--⌫-|---------|
Par telfai teentelma nier eKal	--|--|---⌫||-|--|--⌫----⌫||-|
corsdu st repa irerariere K	---|--⌫-|----⌫---|-----||
se peus t espur gie r	-|----⌫|-----⌫---⌫|
Que malfe ́ nelpus t	--|-----⌫|--|---⌫|
ch alangier	--⌫-------|
Parla damesa inte	--|-|---|--⌫---|
Out celchaitif	--|--|------|
ite leaïe	---⌫-|---|
Kelalmeuienge elcors	-||---|-----|-|---|
Parladameparla	--|-|---|--|-|
Game priadpurlui	---|----|--|--|
Purço quea	--|--|--||
lu iprist einz refui E quantcisthum fus trepairé	--⌫|----|---|----||----|---|--|---⌫|-------|
Truuaseitutsein e h eit é	----|--|--|---||-⌫---⌫-|
Me selguitrumde la nafreure	--⌫|-|------|-|-|-------|
Truuaunpo idesursa neure	----|-|--⌫|-|-----⌫----|
Entestemoinedela	-|---------|-|-|
Enço es t pruuance	-|--|--⌫|-------|
Mais se sbarniltez kilainzpri st	---|--⌫|--------||-|---|---⌫-|
Dunt se nge ndreür edeffist	---||-⌫---⌫-------⌫|------|
sun tre storéadreit	---⌫|--⌫-----||----|
Forsunpetitp ertuis estreit	---|-|----|-⌫-----|------|
Parunt ilsa	--|--|-|-|
Sicu menature c uns enti	-|--⌫-|-----|-⌫---⌫---|
Cistfufetmuine enla beïe	---|-|--|----|-||-⌫----|
c hefauantnumai	-⌫--|----|----|
ClunnieEuesqu i puismultlungement	------||-----⌫|---|---|--------|
Deumult bon eme nt	--|---|---⌫---⌫-|
duinstsunseruise faire	-----|--|------|----|
Q uemalfe ́ne nus p uis ea traire Equepartn	-⌫-|-----⌫|-|--|-⌫---⌫|-⌫-----||--|---||
uuerainesEdeliur essei undep aines	--------||------⌫-|---⌫-|-|-⌫----|
Un prestres ertmess echantant	-|-------|--|----⌫|-------|
P arroisse outeglise han ta nt	-⌫-------|--|-----|---⌫--⌫-|
M ultse cuntinthonestementE u esqui gloriusement	-⌫--|-|------|----------||-⌫----|-----------|
Mesguere snesoutdeletreure	--|-----⌫|-|---|-|-------|
Karençonoutmise	--|-|--||--|---|
Unemessesout	--|----|---|
Celechantail bo n ement	---|-----|-|--⌫-⌫----|
nus rent uie	--|---|--|
MarieÇ ofud	----|--⌫|--|
Salue sanctap are ns	----|-----|-⌫---⌫-|
Icel ec hantailt uz tens	----⌫|-⌫----|-|-⌫-|---|
Autrenesoutau tren aprist	----|-|---|--⌫--||-----|
Debon quo r celes ule dist	-|--|---⌫|---|-⌫--|---|
Li clerc kilamesse oi ̈rent	-|----|-|-|----|--⌫----|
Suue ntl epruueireesc harnirent E aleueskesen	----⌫-|-⌫|-------|---⌫--------||||-----||-|
D e tel faitforment	-⌫|--|---|------|
lencuserent	|---------|
Li eueskeen outgrant	-|-----|-|--|----|
De çokila ltremessenesolt	-|--||-|-⌫---|----|-|---|
direEfistletost	---||---|-|---|
aluiu enir	|--|-⌫---|
Lauerite ́	-|------⌫|
enuoutoï r	-|---|---⌫|
Demanda lui	------|--|
