auiures negarison	|-----|-|------|
lidux o ut mult belappareil	-|--|-⌫-|---|--|-------|
dun c hersami tfrei s e	|-|-⌫--|----⌫|----⌫||
uestuze ator nez	-----||----⌫--|
plusb elscheualerne funez	---|-⌫--|-------|-|-|--|
equantilsef urentassis	|----|-|-|-⌫----|----|
sirefaiti l	---|---|-⌫|
uosmandeamistezesaluz	--|----|------||----|
ilest icea uos	-|--|--||--|
s eia liere	-⌫-|-⌫---||
seiemprendre	--|--------|
maisuoslifeistesenten dre	---|--|-|------|-----⌫--|
que seia icine ueneie	--|-|-|--|-|-----|
sen se n iesteie	--|-|||-----|
ne porreit la	-|------|-|
chose estref aite	----|----|-⌫---|
or meditesq ueuos enhaite	-|-|----|-⌫-|--|------|
sui eildelfaire	--||-|--|----|
est apareilliezsenz	--|----------|---|
sire du x fai tli reis henr is	---|--⌫|---⌫|-|---|----⌫-|
multu o il	---|-⌫-⌫-|
que nu sseiom	--|--⌫|----|
uos uoudreiech erir	--|-------|--⌫---|
efairetot uostrepla isir	|----|--|-----|---⌫---|
multparuosuoudreiehon orer	---|--|--|-------|---⌫---|
si cumu osuoudreizcomander	-|--|-⌫-|-------|-------|
su iprest demainqueloureface	--⌫|----|-----|--||---|---|
sisoltant saiqueleuosplace	-|--|---|--|-|--|--|----|
calamenezuienge ie	-||-----|-----|-|
iad euers meiniait	-|-⌫----|--|||--|
ainzquelid u xs efustmeuz	------|-|-⌫-⌫|-⌫|---|---|
uilain s m oz entenduz	------⌫|-⌫-|-------|
quesaisneealemand iseient	--|-----||-----|-⌫------|
quio uecono n contendeient	--|-⌫-|----⌫|-----------|
eschar een	-----||-|
disei entuez	-----⌫--|--|
cumor most re sa poeste	--|-|----⌫-|-|-----|
esariche esaf ier te	|-|----||-|-⌫---⌫-|
qu icinccenz	--⌫|---|---|
cheual ie rsameine	------⌫--⌫-|-----|
depoi d ech ose esten	-|--|-⌫|--⌫--|--|-|
gra ntpaine	---⌫-|----|
gloiredemostrer	-----|--------|
ueoutil tantorsu r l u ipo r ter	----|-|---|-|--⌫|-⌫-⌫|--⌫-⌫--|
cumsin enf ussenttrei	--|-||-|-⌫-----|---|
richesdebeausaueirsfors lui	-----|-|----|-----|---|--|
tut cediseienta	--|-|-------||
si engrantlaconte nc on	-|-|----|-|-----⌫--⌫-|
liduxmu lt	-|--|--⌫-|
bi enlese nten deit	--⌫-|--|-⌫----⌫---|
parle sdaneisq u e il	--|--⌫|-----|-⌫-⌫|-|
coneua lo r fe lo nie	----||--⌫|--⌫--⌫--|
e lurenuie	|--|----|
auques en futorbezuers eus	-----|-|-|-----|---|--|
e t ozirascuze tut feus	|-⌫-|------||--|---|
maisil nifi st plusdemoranc e	---|-|||--⌫-|---|--------⌫|
repairez estal rei	-------|--|-|--|
de fran ce	-|----⌫-|
lourelid itelarespon se	|---|-|-⌫-||-|------⌫-|
equant lesoleil	|----|-|-----|
serescu nse	-|-----⌫--|
par lur tentessu ntdepar tiz	--|--|-----|--⌫-|-----⌫--|
u asse zorent lordel iz	|----⌫|----|--|---⌫-|
enlendema inni out t a r iance	-||------⌫-|||--|-⌫-⌫-⌫----|
uenuz enest	----|-|--|
oueleducauparlem ent	--|-|--|-|------⌫--|
od telmul t i tudinedegen t	-|--|---⌫-⌫-⌫-----|-|---⌫|
q u ene fusem erue illenon	-⌫-⌫|-|-|-|-⌫----⌫---|--|
ma isli norman t	--⌫-|-|------⌫|
eli breton	|-|-----|
saisirentprimes l es entrees	--------|-----|-⌫-|------|
entrezeleus	-|----|---|
unt effondrees	--|---------|
porent estred estreinz	-----|----|-⌫-------|
les cl ostures et les	--|--⌫------|-|--|
u lirei sertq ui sen effreie	|-|---⌫|--|-⌫-||-|------|
anuldessoensqui couei e	|--|--|----|--|-|---⌫|
qui c eleo u raignetiengea	--|-⌫--|-⌫-⌫-----|-----||
reisen autre leu	---|-|----|--|
acone ditauduc	|---|--|-|--|
d e cesteoure n eussesoig	-⌫|----|---||----|---|
ieoquide crei tota estros	--|---||---|--||-----|
qu ecis tplaizseratrophontos	--⌫|---⌫|----|---|---|-----|
etropuilai nsa inzquilr emaigne	|---|-----⌫-|-⌫----|-|-⌫------|
qualdepa rtirm	-|-|----⌫---||
en plaing ne	-|------⌫-|
ge nz desle iee e	--⌫-|-----⌫--||
so rmeitropenbat ue	--⌫|--|---|-----⌫-|
uadig uillaumeau ducpreis ié	-|-|-⌫-------|-|--|-----⌫--|
qu e l aidement l	--⌫|-⌫-------||
un tco mencié	--⌫|--⌫------|
li sue nqui suntde deuerslu i	-|---⌫|--|---|-|-----|--⌫|
p arsicum nossum esno sdui	-⌫-|-|--|--|---⌫-|--⌫|--|
leprile coniure	-|--|-|-----||
quilne seitpl uspor	-|-|-|---|--⌫-|--|
riensuff rant	---|----⌫---|
q ue lom me face teus	-⌫-|--|-|---|---|
br uisier mesuse	--⌫-----|--|-||
mes clos tures	--|----⌫----|
ka rne suffereitpas	--⌫|-|--------|--|
sordreitteuscontenz	-------|---|------|
sentresuntsauuages	|----|---|-------|
edeplu sors diuerslang u age s	|-|---⌫---|-----|----⌫-⌫---⌫|
ianesereient	-|-|-------|
sin i aureit mildels	-|||-----|--||--|
da chaisonsortgrant	|-⌫------|---|----|
egrantd oloregrant	|----|-⌫---||----|
eisie st cila uduc	---|-⌫-|--|-⌫|--|
dit cumsissir e ertiras cuz	--|--|--|---⌫|--|----⌫--|
el ahontequel om	|-⌫|----|--|-⌫-|
parestuilchoseet	--|--|--|----|-|
coqu il lenprieequ	-|-|-||-|---||-|
eliduxa conun co mande	|-|--||----|--⌫----|
quil au ta	-|-|--⌫||
leduc d enorm endi e	-|--|-⌫|----⌫----⌫|
qu eunsold edenz ne	--⌫|-|--|-⌫----|-|
nequenuldeeuse nnuin eface	-|--|--|-|--|-⌫---|-⌫|---|
dist le lo r	---|-|--⌫|
ma iscene lurualutnule rien	--⌫-|-|-|--|----|---|---|
seu ldeeu s fors	---⌫|-|--⌫|---|
ainzientrerentcilde hors	---||--------|--|--⌫---|
tottrebuchoent ef unde i ent	--|----------||-⌫----⌫-⌫--|
siquedesuentseiedeslei en t	----|------|--||------⌫--⌫|
qua nt coneuitquen ensereit	---⌫-|---|--|--||-|-----|
au ducgu illaumereuie ntdre it	-|--|--⌫------|-----⌫-|---⌫-|
par feifaitilpoi m	--|--|---|-|--||
quecestegentseient	--|----|---|-----|
t res tots ol	-⌫---⌫--|-⌫-|
d eausnent e nt	|---||---⌫-⌫-|
a riendetuncomandeme nt	|---|-|--|---------⌫-|
ne moentnea	-||---|-||
meinent endent	--||---⌫-----|
ainceispeceienttut	------|-------|--|
quan quilatei g nent	----⌫-|-|----⌫-⌫---|
orgoilluse cru elsefeus	--------||---⌫--||---|
mostreque nepot maistarzer	-----|--|-|--|---|-----|
nen seient	|-|-----|
traizmilbrantda cer	----|--|----||-⌫--|
eespan due s mil cerueles	|-----⌫---⌫|--|-------|
al ducne furentmiebeles	-|--|-|-----|--|----|
ces p arolesne	--|-⌫-----|-|
c eleo uraigne	-⌫--|-⌫------|
sagra ntes pe ed ale ma igne	-|---⌫-|--⌫--⌫||---⌫--⌫---|
u ou t sis liures def inor	|--⌫|--|-----|-|-⌫-|-|
entre leheute lentrecor	----|-|---|||-------|
odpierresfin espreci oses	-|------|---⌫-|-----⌫---|
eod ourestropmer ueilluses	|-|----|---|---⌫--------|
eisifaites sientaillies	---|-----|-|---------|
e sisutiuementdebo issees	|-|---------|----⌫-----|
c unc plusbelearm enemeill or	|--|---|---|---⌫|-|-----⌫-|
nou t quons	|--⌫|----|
nereis n emperor	-|---||------|
delfuerre l aliduxsachee	--|-----|||-|--|-----|
tute nue li	---|--|-|
alezfaitil	---|---|-|
silamostrez	-|-|------|
sunt entrez	---|-----|
eas autres quie ntreruole n t	|-|-----|--|-⌫----|----⌫-⌫|
esifacentsicumils olent	|-|-----|-|--|-|-⌫----|
m unconmandeme nt	-⌫-|----------⌫-|
se nzdesdire	--⌫-|------|
nencheen tuersmei en ire	|-------⌫|---|--|-|--|
di t esque unsolde	--⌫-⌫-|--|-|--|-|
ma co mpaigne	-|--⌫------|
ne si e stace neremaigne	-|||-⌫----|-|-------|
cil p rentlespeequi	--|-⌫---||----|--|
qui plu s uaut de cen t	--|---⌫|---|-|---⌫|
mars dargent	---||-----|
ariere tu rne albr uiseiz	-----|--⌫--|-|--⌫-----|
tres fi erc omp loteiz	---|--⌫-|-⌫---⌫-----|
les peeauduc lur a	|--⌫--|-|--|--||
equant chascun l a	|----|------|||
odledeuieque cillorfait	-|-|----|--|--|--|---|
sinio utunc p uis	-|||-⌫-|--|-⌫--|
autrep l ait	----|-⌫-⌫--|
maisdel eissir	---|-||-----|
sen zdemoran ce	---⌫|-------⌫-|
od grant pour eod dotance	-|----|---||-|------|
queliduxode us	--|-|--|-|-⌫-|
out a l eissir grant presse	--|||-----|----|-----|
nulsnen issisi	---||-|---|-|
o rgoillu s	-⌫-------⌫|
espeenefust hontos	----|-|---|-----|
nequiparde uantli p as sast	-|--|--|--⌫---|-|-⌫--⌫---|
parf u ndem entneli	----⌫-⌫----⌫--|-|-|
p aisible equo i esenz	-⌫------||---⌫||---|
reui e nentauducadre iture	----⌫-⌫---|-|--||---⌫----|
auramaisoif aitde srei	---|---|-|-⌫--|--⌫---|
en chascunpo r	-|------|--⌫|
d us senzdemorance	-⌫-|---|--------|
le r eihenrie c eusd efrance	-|-⌫-|----||-⌫--|-⌫|-----|
mul tparal	---⌫|--|||
un la utre enoré	-||-⌫---|-----|
baisiésesunt eac olé	------|-|---||--⌫---|
mu lt sentremo stren tbels en blant	--⌫-||-------⌫-----⌫|--|-⌫--⌫----|
enunesale riche e grant	-|--|---|----||----|
entrer ent lasuntassis	------⌫--|-|---|----|
las untlorcoue nanz deui s	-|-⌫--|--|----⌫---|----⌫|
define amor senz	-|---|---|---|
muer ne senz changier	---|-|---|-------|
o d fermeco niuratio n	-⌫|----|--⌫--------⌫|
de feied e dile ction	-|--||-⌫|----⌫----|
que ent raidable	--|---⌫-------|
uers trest otelagentdelmund	---|-----⌫--|-|---|--|---|
oditeulazs untenlaci é	-|---|--|-⌫--|------⌫-|
ase uréeafiancié	---⌫---||--------|
sicu mlac hose	-|--⌫|-|-⌫---|
estdeuisee	--|------|
l iduxguillaume	-⌫|--|--------|
longeespee	----|----|
as ienmainceste	|-⌫|-|---|----|
qu ela chose ne sei t maum ise	--⌫|-|----|-|---⌫|----⌫--|
nen auc u nsenmaisrelasch ee	|-|---⌫-⌫|--|---|-------⌫-|
nequassie ne	-|------|-|
ei sifu fai tel al iance	--⌫-|-|---⌫-||--⌫----|
ueianthuun leducdefrance	-----|---|-|--|-|-----|
maisquens herber tn	---|----|------⌫||
iout sespez	|--|--|--|
cistduienerent	---|--|-|----|
m ult iriez	-⌫--|----|
m ultlorp esout deceleou raigne	-⌫--|--|-⌫----|-|---|--⌫-----|
m ultlo re ndo el tlesq uorsesaigne	-⌫--|--⌫|-⌫|--⌫--⌫|--|-⌫---||-----|
tropibaisse nt lorfel o nies	---||------⌫-|--|---⌫-⌫---|
elor orguilz elorenuies	|--|------||--|-----|
desdons de presenzdes honors	--|---|-|------|--|-----|
dun tilsesunt	---⌫|-|-|---|
faites plusors	-----|------|
neque rr etrairenepar l er	-|---⌫|-⌫------|-|---⌫-⌫-|
quennuis ereitdeles cuter	-|----|-⌫----|-||--⌫----|
maisduxh ermande	---|--|-⌫----|-|
saisne snez	------⌫|--|
ienzc heual i ers ealosez	---|-⌫-----⌫-⌫--||-----|
uiteesgardalo ngeespee	--||------|--⌫--|----|
sur tozlia gree	--|--|-|-⌫---|
karmult leue itdei e nts emblant	--|---|-|--⌫-|-|-⌫-⌫-|-⌫------|
e sa g eeproz eauenant	|--⌫-⌫||---||------|
mu ltueite n lui	--⌫-|---|-⌫|--|
sen emes ure	--||---⌫--|
a ladanesche	|-|-------|
le comen caaaresnier	-|-----⌫-||-------|
decese pristamerueil lier	-|-|-|----||-------⌫---|
li a enqu is	-||----⌫-|
ouil aueit ensiapris	-|-|----|---|----|
aparl erla ngepo is eue	|----⌫-|--⌫--|--⌫|-⌫--|
en poides sai snesentend ue	-|--|--|---⌫---|------⌫-|
respunthermantis gra nz	------|-----|--|---⌫-|
d armessortozpuissan z	|----|--|--|-------⌫|
n oblesprei siez econqueranz	-⌫----|----⌫---||---------|
sor tuzautres popl es uaillanz	--|--|-----|----⌫-|-------|
cil m apristr entod grantes ma i	--||-------⌫--|-|----|--⌫--⌫|
esusmun peis quantque i en s a i	|--|--|---|-------||-|-⌫-⌫|
desus tu np eis comfaitement	----|--⌫|-⌫--|--|--------|
ieou os dirraifaitilcom ent	--|-⌫-|-----|---|-|---⌫--|
feizne lsairetraire	---|-||--|-------|
faitdamage econ traire	---|-----||---⌫-----|
eassaillizmes bonschasteaus	|--------|--|---|--------|
eprise funduzdesplus b eaus	|---||-----|--|---|-⌫---|
eles riches preiesmenees	|--|-----|-----|-----|
sir unttr ouédegran z meslee s	-|-⌫--|--⌫---|-|----⌫|------⌫|
mei pristren temenerentpris	--|--------⌫||-------|---|
longementfuientr eus	--------|--|---|--|
adoncsormun	----|--|--|
peis maugre mi en	---|-----|--⌫-|
aprisaparlerdac ien	----||-----|---⌫--|
ne ldip urceod equorioios	-||-|-⌫-|--|-⌫|---|----|
neseieprez edesiros	-|---|---||------|
de uo smult	-|--⌫|---|
seruir eamer	-----||---|
nuls nesen uoudreitpluspener	---|-||-|-------|---|----|
ienaiau e ir	-||-|--⌫-⌫-|
neuos seit	-|--|---|
en rent li duxgranzmerciz	-|---|-|--|----|-----|
e ntretan z	-⌫---|---⌫|
disodlessais sons	--|-|--|----⌫---|
t eneitdux con esgr anzserm ons	-⌫----|--|---⌫-|--⌫--|----⌫--|
egranzparolesparenuie	|----|------|--|----|
r emenbroutlid e	-⌫--------|-|-⌫|
que il a ueientdi tentreus	--|-|-⌫-----|--⌫|---|--|
uersleduc enuiosee feus	---|-|--|------||---|
ef ait il qu e uosen estuis	|-⌫--|-|--⌫|--|-|--|--|
abaisserezenc orsunpris	---------|---⌫-|--|---|
s embleceo	-⌫----|--|
home qui poiua ill e	---|--|--|--⌫---⌫|
e n cort nen conse il	-⌫|---||-|-----⌫-|
n enbatai l le	|-|-----⌫-⌫-|
nest m iesip etiz sis nons	|--|-⌫-|-|-⌫---|--|---|
quedes no rmanz	--|--|--⌫----|
ne seit ha uzduxpoe stifs	-|---|--⌫-|--|---⌫----|
nobl essortozeesforcis	----⌫-|--|--||-------|
f o rsnostre	-⌫-⌫-|-----|
reine basn ehaut	--|-|--|-⌫|---|
nu l quel omsachetant	--⌫|--|-⌫-|----|---|
nu s tant ne m et ne tant	--⌫|---|-|-⌫-|-|---|
si s n ons partot le m unt	--⌫|-⌫--|--|--|-|-⌫--|
kardeto zprince sestlaf lor	--|-|--⌫|------⌫|--|-|-⌫--|
e lepl usb el	|-|--⌫-|-⌫-|
e lemei llor	|-|---⌫---|
duncresp ondirentsaxoneis	---|----⌫-------|-------|
sa ges eco rteis	--⌫--||--⌫----|
parne g li ge nce eparenuie	--|--⌫-⌫--⌫--⌫--||--|----|
en auiomier ditfolie	-|----|--|--|----|
ne sau i on	-|---⌫-⌫-|
quiil esteit	--|-|-----|
ne qu eil ertnequil	-|--⌫|-|--|-|-|-|
maisorconoissomsenz dotance	---|-|--------|---|------|
pr inces nestdesi gance	--⌫----||--|-||-⌫----|
sonpris nedesonfait	--|---|-|-|--|---|
aduncen adit	----|-||--|
e retr ait	|----⌫--|
chas cu nsle mie uzquilensoutd ire	----⌫--⌫-|-|---⌫-|-|-|-|---|-⌫--|
mu ltou testé	--⌫-|--⌫|----|
gran tleconc ire	----⌫|-|----⌫--|
mult iout aueirsdepart iz	---||--|-----|------⌫-|
donezpresentezeoffriz	----|--------||-----|
treisiorzs eiorn erentensemble	----|---|-⌫-----⌫----|-------|
ce tr uisece	-|--⌫--||-|
