Che stleuiedesainte	-|-⌫-|-|--|-|-----|
tel pee urdele	--|---⌫-|-|-|
Seigneuret ducors	-------|-|-|---|
beneoiter oinedontil se	-------|-⌫---|---|-|-|
sentoitap rochi er quiln e s osa	------|--⌫-----⌫-|-|-|-⌫||--|
mouo irnemot direai nsiss itantost du	----⌫-|-|--|---|--⌫-|---⌫|------|-|
corsouiles toi t	---|-|-|--⌫---⌫|
par leprie rem edam e	--|-|----⌫-|-⌫|---⌫|
Balte ltsiquesquant liualléssefu leués	-----⌫-|-----|----|-|------|-|-|-----|
et i lot renduesgracesa	-|-⌫|-|------|-----||
Segneureta me	------|-||-|
da me sainte	--⌫-|-----|
Bal teltdes esantési uint a	---⌫---|-|-⌫|-----|-|---||
se sc ompaing nons	--⌫|-⌫-------⌫---|
et conioipar	-|-----|--|
gra ntamisté chiausquiluol oit par deuantmord re et	---⌫-|------|-----|-|-|---⌫--|--|-----|----⌫-|-|
seforsenerie	-|---------|
dames ainte	---|-⌫----|
Baltelxauoiteuautresroi nesen	------|----|-|-----|---⌫--|-|
Franchequi moutau oient esté	------|--|---|--⌫----|----|
saintes damesetrel ig i eusesdont	------|----|-|---⌫--⌫-⌫----|---|
lune otnon	|--|-|--|
Grohelxquifu	------|--|-|
Gonde baltet fe m e legrantetlanchien	-----⌫---|-|--⌫-⌫|-|----|-||------|
Chel eda meamonestata ntleroi	----⌫|--⌫-|-------|--⌫-|-|--|
C lodoue usonseigneurquie s toitpaien setensegn ades	-⌫------⌫|--|-------|--|-⌫-⌫---|-----⌫|-|------⌫|--|
deuinsensegnemens	-----|----------|
quelelifistrecheuoir b aptesmedel	-|--|-|---|--------|-⌫------|-||
arch euesquede	----⌫------|-|
Rainsquiauoi tnonsain s	----|--|----⌫|--|----⌫|
Remise tfucil	----|-⌫|-|--|
Clodoueu l i premi er srois cre stiensquion q uesfusten	-------|-⌫|-----⌫--⌫|---|---⌫-----|--|--⌫-⌫--|---|-|
F rance et nemieseulement	-⌫----|-|-|--|--------|
lui ma is assésdesautresh aushomes de	--|--⌫-|-----|--|-----|-⌫--|----|-|
Franceconuert i celesai nte	-----|-------⌫|---|---⌫--|
r oine a l	-⌫---|||
Dieu etalecrestien ecre ance	---|-||-|--------⌫|---⌫---|
Etsest oraa	-||---⌫--||
Parisuneabeiedem oinesen l	----|--|----|-|-⌫----|-||
o nnourmonseigneursain t	-⌫----|--|-------|----⌫|
Pie rrequie st oreapeleel	---⌫--|--|-⌫-|--|-----||
abei esainte	----⌫|-----|
Geneuieueetsies tabliune	--------|-|-|--⌫----|--|
maison denonnainsenlonnor demon	-----|-|-------|-||----|-|--|
seigneur sai nt	-------|---⌫-|
Gorgeq uif uapelee la	----|-⌫-|-⌫|-----|-|
Ch iel emaisp orche quele	--⌫---⌫|---|-⌫-|--|--|-|
maisonsestoitpeti te	------|-----|----⌫-|
etestr oi te	-|----⌫--⌫-|
agra n t plen té de	|---⌫-⌫|----⌫--|-|
nonnainsrecheuoirlefist pu is me da me sainte	-------|--------|-|---|--⌫-|-|--⌫-|-----|
Balteltabatreet le refist mout plus riche etplus	------|-----|-|-|-----|---|---|----|-|---|
grantquelenauoitdeuant estéetfonda le	----|-|--||----|-----|----|-|----|-|
g rantau teld el	-⌫---|--⌫--|-⌫||
eglise enlo nn ordele	-----|-||-⌫--⌫-|-|-|
Eten ledestrepartie de l egl ise	-|-|-|-----|-----|-||---⌫--|
aute lenlonnordemonsei gneur s aint	----⌫|-||----|-|--|---⌫----|-⌫---|
Gorgeetenla se nest repartie	----|-|-|-|--⌫----⌫-|-----|
fo ndauna utel demon seign eu r s aint	--⌫--|-|-⌫---|-|--|-----⌫--⌫|-⌫---|
Esteuenele prem iermartyr	-------|-|----⌫--|-----|
Etsiot uneautre roi neen	-|-|-|--|----|---⌫-|-|
Franceq ui fufemelebon	-----|-⌫-|-|---|-|--|
Childebert qui mout f ubone dam ee t	---------|--|---|-⌫|---|---⌫|-⌫|
sainteetabandonneeastout es	-----|-|---------|-|----⌫-|
o euresdemisericord ecarel enorrisso it les orphenins	-⌫----|-|----------⌫|--|--⌫|--------⌫-|--|--------|
et confort oitlesdolans	-|-------⌫--|--|-----|
e tsous te noitl es poure s	-⌫|----⌫--⌫---|-⌫-|-----⌫|
etlesm e saaisi ez	-|--|-⌫-⌫------⌫-|
etaidoi tason pooirtous	-|-----⌫||--|----|---|
chiausqui d	-----|--||
aide a uo ient	---|-⌫--⌫---|
mestie r nomeementles moine se tchia us	------⌫|--------|--|-----⌫|-⌫|----⌫-|
quiplus se ruoient	--|---|--⌫------|
Encore euten	-----|--|-|
Franceuneautrero ine	-----|--|----|--⌫--|
Raegons auoit	------|----|
non qu ifufe mele premier	--|--⌫|-|--⌫-|-|------|
Clotaired e cuile gra nsrelegion sdoitbien	-------|-⌫|--|-|---⌫-|--------⌫|---|---|
estre ram enteuepar tous	----|---⌫-----|--|---|
l essieclesdessiecles	-⌫-|------|--|------|
Chelesaint e roinefu si	----|-----⌫|----|-|-|
esprisede l amour	------|-||----|
Seignorquapréslesnient	------|-|-----|--|----|
nombraulesbiensqueelefis t enseui ela issa	---------|----|--|--|---⌫|-|-|--⌫|--⌫---|
Clotairesonseignore t	-------|--|------|-⌫|
deui nt nonnea	----⌫-|----||
Nousa uons plusram ent e u	---|-⌫---|---|---⌫---⌫-⌫|
e t des oeuresmedam e	-⌫|--|-----|-|---⌫|
Balt eltque d es aut resroines	----⌫--|--|-⌫-|---⌫--|-----|
quen osauonschideuant	--|-⌫-|----|--|-----|
nom eespour che	---⌫--|---|--|
qu elefuplus	-|--|-|---|
a nostans et quenosoimes	|--|---|-|--|--|----|
etueis mesplus de seu i eq ue des u iesas	-|----⌫--|---|-|-|-⌫-⌫|-⌫-|--|-⌫--|-|
Nemiepourche	-|--|---|--|
nous nelete nons	---|-|-|--⌫---|
mie endeserte	--|-|------|
Seig neura pl uspetit enaplusba sse	----⌫---||--⌫-|-----⌫|||---|--⌫--|
desautres m aisa	--|-----|-⌫--||
plus grantet plus	---|----|-|---|
hau teet moutplusp arfaiteentoutes	---⌫-|-|---|---|-⌫------|-|-----|
maniere sdebi ens caraprésle	-------⌫|-|--⌫--|--|-----|-|
sai nte uiequ	---⌫--|--|-|
eleauoitmenee etaprés	--|----|----|-|-----|
t outes lessaintes oeures queleauoitfai te sdont ie	-⌫----|--|------|-----|-|--|----|---⌫--⌫|---|-|
uousaiunepar tierecordeeu intelea leperf e ct ion	---|-|--|---⌫--|-------|-⌫--|--||-|----⌫-⌫--⌫--|
de leuang ille p ardesp i re le m onde	-||-----⌫---|-⌫-|----⌫-⌫-|-|-⌫---|
et secouoi tiseet par	-|-|-----⌫---|-|--|
uaintrele dial e etsesagaiset	------|-|----⌫|-|--|----|-|
par ens iuir	--|---⌫---|
Cristet ses	----|-|--|
commandemenzetfeni s euiet erriene conuraienonne en	-----------|-|---|-⌫|--|-⌫------|--|----|----|-|
entier ereli giondecuer letierchekalen dede	------⌫|----⌫---|-|---|-|------|-----⌫-|-|
feurier etfus a me r echeu edu	------|-|-||-⌫-|-⌫-----⌫|-|
Cristo ueccui	----|-⌫--|--|
eleregnerapardurabl ement	--|------|---------⌫----|
etsescor s reposesi conuou s aués o ie n	-|--|---⌫|-----|-|--|---⌫|----|-⌫|-⌫|
l eglise d e	|-----|-⌫|
O rp rions l esainte roine medamesa i nte	-⌫|-⌫----|-⌫|-----|----|-|---|--⌫-⌫--|
Balteltquele pri tpo rnous	------|-|--|---⌫|--⌫|---|
nousrec h oiu eo u celestielregneou	---|---⌫-⌫---⌫|-⌫|--------|----|-|
ilmaintennientdefalant	-|----|-|----|-------|
gloireetenperpetuel	-----|-|-|--------|
enpar durablelumier eauecl ep er eetlesaintesprit	-|---⌫------|------⌫|---|-⌫|-⌫--⌫|-|-|----|-----|
partousles	--|---|--|
siec lesdes	----⌫--|--|
