c hic om mence	-⌫-|-⌫--⌫----|
uenusikemanda lidux quel e motie d	---|-|------|-|--|--|-⌫|----||
aussatornaissente tapar el lai sse n t	--||-----------|-⌫|----⌫--⌫---⌫---⌫-⌫|
a aleren lesto ire	|---|-||----⌫--|
a uec lespelerins .	-⌫--|--|-------||
uenicienoire nt chou si s	-------|----⌫-|---|-||
esioiirentliun	---------|-|-|
disentqui lnipooiental er	-----|-|-⌫|||------|--⌫-|
pooientacorder en sanle commentlem oitie	------|------|--⌫----|------|-|-⌫----|
dausypeustaler.	|--||----|---||
et t antqu il fisentunsortq ue	-|-⌫--|-|-|-----|-|---|-⌫-|
il faisoientd oietdoi	-|--------|-⌫-|-|--|
ensanledeusnoiausde	------|---|-----|-|
ch iresimetoient en lun	--⌫--|-|-------|-||-|
unbrieuete tuen oientau prestre seli	-|------|-⌫|---⌫----|-|------|-|-|
etliprestres	-|-|-------|
lesp rinsegnoit et donnoit	--|-⌫---------|-|------|
a c ascun des deuxue niciensund e ch esnoiauset	|-⌫----|--|---|--⌫------|-|-⌫|--⌫-|-----|-|
chil quiauo itl enoiel aub ri e f sicouue noit	---|--|---⌫-|-⌫|----|-|-⌫--⌫-⌫|-|-----⌫---|
qu ilala sten lestoire .	-|-|---⌫-|-||------||
ens isepart irent.	---⌫|-|----⌫----||
sicommelipel erinse	-|----|-|---⌫---|-|
furentlogiéen l isl e	-----|-----|-||---⌫|
sa in t nichol ai siala lidu xde uenice	--⌫--⌫|------⌫-|-|--|-|--⌫|-|-----|
e t liuenic ienparleraauset demandere ntleurconue nanches	-⌫|-|-----⌫--|-----||--|-|---------⌫-|---|-----⌫------|
du nauie qu	-|----|-|
ilauoientfaitati reret	-|------|---|---⌫--|-|
si leurdist li	-|---|---|-|
duxquilauoie nt	--|-|-|-----⌫-|
m al fa itdechouq u	-⌫-|--⌫-|-|---|-⌫|
il auoientmandép arl eurm essages quil	-|------|-----|-⌫-|-⌫--|-⌫------|-|-|
app arei ll aissent nauie	---⌫----⌫--⌫------|----|
ayyy ycheualie rs et	|-|-⌫|--------⌫-|-|
a leur h arnas etayyyy	|---|-⌫----|-||-|-|
hom mes a pie et	---⌫--||--|-|
deschesyyyy cheualiersn	--|---|-|-|---------||
iauoit ilmieplu sd	|----|-|--|---⌫||
unmillie rquil	-|------⌫|-|-|
esto ien taléasautrespo rsnede	----⌫---⌫|---|-|-----|--⌫-|-|-|
ches yymille hommesa pie ni	---|-|----|-----||--|||
auoitm ie plusdey y	----|-⌫-|---|-|-⌫|
mile oude yydontnous uolonsfist l i	---|-|-|-|---|---|-----|---|-⌫|
d uxqueuousnous pai és l esconuena nches que	-⌫-|--|---|---|---⌫--|-⌫-|-------⌫----|--|
on nouseuten c onuenen t.	-|---|--|-|-⌫-------⌫||
qua ntli croisiéoirent chousi	---⌫-|-|-------|-----|---|-|
parle rentensanle	-----⌫---|------|
sieswarderententr aus quec as c unscheualiersdonroitquatre	-|----------|---|--|--|-⌫--⌫-⌫--|---------|------|-----|
marsetca scunscheuaxquatreetcascunsserians	---|-|--⌫----|-----|-----|-|------|------|
ac h e ual de us	|-⌫-⌫-⌫--|--⌫-|
marset chis	---|-|---|
q uim ains lid onroitsid onroitunm arc	-⌫-|-⌫---|-|-⌫-----|-|-⌫-----|-|-⌫--|
qu antileurent	--⌫--|-|-----|
c hesdeniers c ueillissil e spaier entas	-⌫--|------|-⌫------|-|-⌫-⌫|-----⌫--|-|
uenicienssi remesentenc o reyymilemarsa paier	--------|-|-------|---⌫-⌫-|-|---|---||----|
qu antliduxetli	--⌫--|-|--|-|-|
uenic ien ui rrentqu eli p elerinneleur	-----⌫--|--⌫----|--⌫|-|-⌫-----|-|---|
auo ientplus p aiésifurent	---⌫---|---|-⌫---|-|-----|
t outcorchi e ́	-⌫--|------⌫-⌫|
lidux parlaa	-|--|----||
ausseigneurfistil	--|-------|---|-|
uous nousaue ́smalbaillis	---|---|---⌫-|--|------|
tostcommeuo mes sageeurentfait	---|----|-|---⌫---|-----|---|
conuent a mieta megentkem andaiio u	------||-|-||-|---|---⌫----|--⌫|
partote meterequ e	--|---|-|---|--⌫|
nus m arcaansnalast ma r caand e r ai nsaidast aap areilli erch este	--|-⌫------||----|--⌫-⌫-----⌫-⌫|--⌫-|-----||--⌫-------⌫-|--⌫---|
nauieet il yuntpuis	----|-|-||--|---|
tousiour s	---|----⌫|
niwaaingnie rentr ienpasséaun an	||---------⌫---|-⌫--|-----||-|-|
et demiain s yontmoltperdu	-|---|---⌫||--|---|----|
et pourc hou	-|---|-⌫--|
u eu lentmihomm e etiouausi que uous	-⌫--⌫---|-|----⌫|-|--|---|--|---|
paiésl esdeniers queuous nous	-----|-⌫-|------|--|---|---|
e tse uou sensinelf aitessachie ́s	-⌫|-|---⌫|---|-||-⌫----|------⌫-|
queu ousn euou smouerésde	--|-⌫--|-⌫|---⌫|-------|-|
cheste isledeuantla que	-----|---|-----|-|--|
nou sseronspa iénene trouerésquiuous	---⌫|-----|--⌫--|-|-|--------|--|---|
portne que boirene quemenge r.	---|-|--|----|-|--|-----⌫||
l iduxf ut moltpreudonssinelaissa	-⌫|--|-⌫-|---|-------|-|-|-----|
miepour chouqueon ne le ur porta s tas sesa	--|---|---|--|-|-|--⌫-|-----⌫-⌫|--⌫--||
quantl iconteetlihom mecroisié oir entchou	----|-⌫|----|-|-|---⌫-|-------|---⌫--|---|
queliduxauoit ditsi furent moltdo lent et	--|-|--|----|--|-|-----|---|--⌫---|-|
moltesmari.	---|-----||
si refi sent un e autrecuelloiteet enprun terenttantde	-|----⌫---|--⌫|----|--------|-|------⌫-----|---|-|
denie rs comm eil peurentachiaxqu	-----⌫-|----⌫|-|------||----|-|
il quidoi entquieneusse ntsi	-|------⌫--|--|-|-----⌫-|-|
lespaierentasueniciens et	--|-------|-|--------|-|
quantill es eurent	----|-|-⌫-|-----|
paiéssidemorerent encore	-----|-|---------|-----|
a paieryy yymars	|----|-|-|---|
etsi le ur disentqu	-|-|--⌫-|-----|-|
ile stoientmaubai lli	-|-⌫------|------⌫--|
estoitmoltapouri ie de c hele c uelloite qu	-----|---|------⌫-|-|-⌫---|-⌫-------|-|
ilauoien tfait	-|------⌫|---|
etquil nepooient plu sp ourcachier	-|-|-|-|------|---⌫|-⌫---------|
dedeni ers	-|----⌫--|
quilleurpaiaissentai ns	-|-|---|---------|--⌫-|
enauo ient	-|---⌫---|
assespoure menta leuro stmaintenirqu ant liduxuit	----|-----⌫---||---|-⌫-|--------|--⌫--|-|--|--|
quiln e pooi entmie	-|-|-⌫|----⌫--|--|
tous lesde nierspai erainsenestoient molt am al	---|--|--⌫----|---⌫-|---|-|-------|---||-⌫-|
aisesipa rl a	---|-|--⌫--⌫|
distseigneurfist	---|-------|---|
ils enous lais sonsa lerches	-|-⌫|---|----⌫---|-⌫--|---|
gens en leurpaisnou sseronsmaistousiour s	---|-|---|---|---⌫|-----|---|---|----⌫|
ten upourmaluaisetpour trik e eur.	---⌫|---|------|-|---|----⌫-⌫--||
ma is alon sdusquesa ausetsile urdisons	--⌫-|----⌫|------||--|-|-|--⌫-|-----|
qu e silnousue ullen t rendreches	--⌫||-|---|--⌫-----⌫|-----|---|
yyyym ars qu eil	-|-|-⌫--|--⌫|-|
nousdoiuentd e s premeraines conque stesquil feront	---|------|-⌫-⌫|----------|------⌫---|-|-|-----|
etqu ilarontaleurparti eque nous	-|-|-|----||---|-----⌫|--|---|
les mesronsout re mer	--|------|---⌫-|--|
li uenicien saco rderentbienach ou que li	-|-------||---⌫------|---||--⌫-|--|-|
d uxa uoitdit .	-⌫-|-⌫---|--||
dontsi ale rentaspel e rinsla	---|-|---⌫---|-|---⌫-⌫---|-|
ouilses t oientlog ié.	-|-||--⌫-⌫----|---⌫--||
si commeilfurentlauenusileur	-|----|-|-----|-|---|-|---|
distlidux seigneu rfi stil	---|-|--|-------⌫|--⌫-|-|
n ousauonsprisconsele ntrem ietmegent en	-⌫--|----|---|-----|-⌫---|-⌫|-|-|---|-|
telemaniereque	---|------|--|
se uou snousuolésgr ean ter loiau mentqueu ousnousp aier és	-|---⌫|---|-----|--⌫---⌫--|-----⌫---|--|-⌫--|---|-⌫----⌫--|
chesyyyy marsqueuousnousd euésale	---|-|-|---|--|---|---|-⌫----||-|
premerainec onq ueste que	---------|-⌫---⌫----|--|
uous f erésde uo	---|-⌫----|-|-|
partienousuou s mesronsoutr emer .	-----|---|---⌫|------|----⌫|--||
qua nt li croisié oirentcho	---⌫-|-|-------|-----|--|
duxleurauoit di t etmoustré si	--|---|----|--⌫|-|-------|-|
en fur entmolt lie et selicairentas	-|---⌫--|---|--|-|-|-|------|-|
goie etseli creanterent	---|-|-|-|----------|
loiaumentquilferoient	--------|-|-|-------|
molt uolentiers	---|---------|
chou qu eliduxauoit deu isé	---|--⌫|-|--|----|---⌫---|
sifisentsi gra ntgoielen uit	-|-----|-|---⌫-|---|-|-⌫--|
quilnieutsipourequine	-|-|||--|-|----|--|-|
fesist grant luminaire	-----|----|--------|
etportoient	-|--------|
ensonleslanchesgrans torke sdecandeilles	-|--|--|------|----|-----⌫|-|---------|
entorleurloges etpa rdedens qu ech esanloitque	----|---|----|-|--⌫|-----|--⌫|--⌫|------|--|
tote losf ust espris e.	---||-|-⌫--|------⌫||
apres uint liduxa aussi leur d ist	----|---|-|--||--|-|---|-⌫--|
seigneuril est ore yuers ne nousne p o rriem espasser	-------|-|--|--|----|-|---|-|-⌫-⌫-----⌫-|-----|
mie outreme rneche nestmiere mesen	--|----|--⌫|-|--||--|--|--⌫--|-|
micarieuouseussepiecha	-|--|-|---|----|-----|
f aitpassersil nefu st remes	-⌫--|-----||-|-|--⌫-|----|
maisfaisons leb ie n	---|------|-|-⌫--⌫|
fistlidu x il aunechitepre sde	---|-|--⌫|-||--|----|---⌫|-|
chi iad res a anon.	--|---⌫--|||--||
c hil de le	-⌫--|-|-|
uilenouson t	---|---|--⌫|
moltmeffait et iouetmih ommenous	---|------|-|--|-|-|-⌫---|---|
uo lonsueng ier	--⌫---|----⌫--|
dau ss enousp oons .	|--⌫|-⌫|---|-⌫---||
uou smeuol éscroirenous yi r o ns chestyuer	---⌫|-|---⌫--|-----|---||-⌫-⌫-⌫-|----|---|
s eiornerdu sq uesuers	-⌫------|--⌫--⌫--|---|
etadoncsi a tierron s non auiesi	-|----|-|-⌫-------⌫|-|-⌫---|-|
nousenironsoutre	---|-|----|----|
laiu e damedieu .	|---⌫|-------||
de iadre s est	-|-----⌫|--|
m ou tboi n e et	-⌫--⌫|---⌫-⌫|-|
moltplentiiuedetousb iens	---|--------|-|---|-⌫---|
libar om etli hauthommecrois i és	-|---⌫-|-|-|---|----|-----⌫-⌫-||
a sentirent achouque l iduxa uoitdit	-⌫--------||---|--|-⌫|--|-⌫---|--|
mestou tchi l	--|---⌫|---⌫|
delostn e se urent	-||--|-⌫|--⌫----|
miechestcons elforsl i	--|----|----⌫-|---|-⌫|
plus haut homme .	---|---|----||
adontsiatirerent tout commu naumentleuroirre e t leu r nau ie	----|-|--------|---|-----⌫------|---|----|-⌫|---⌫|---⌫-|
toutent ire ment	---|---⌫---⌫---|
sise misent en lemer.	-|-|-----|-|-|--||
etcascuns deshaus homesauoits enefalui	-|------|--|---|----|----|-⌫|--||--|
et a segente tsenuissi erases	-||-|---|-⌫|--|-----⌫-||--|
cheuaxmeneret	-----|----|-|
li duxde uenicea uoitau ec	-|--|-|-----|-⌫---|--⌫-|
lu i chinquante	--⌫|---------|
g aliestou ta sencoust.	-⌫----|---⌫||--|----||
ouens ilestoit ert toute uermeilleet si	-|--|-|-----|--|----|--------|-|-|
pau ellontendu par deseurelui d	---⌫----|----|--|------|--||
un uermeils am it	-|------|-⌫--⌫-|
siauoitquatrebuis in esda rgentdeuan tluiquibuisinoient	-|----|-----|----⌫--⌫-||-⌫----|-----⌫|--|--|----------|
ettymbres quigran t goie demenoient	-|------|--|----⌫|---|---------|
et t out li	-|-⌫--|-|
hauthommeet	---|----|-|
clercetlai et	----|-|--|-|
petitet grantdemener ent sig rantg oiea	----|-|----|-------⌫--|-|-⌫---|-⌫--||
lesmou oirque o nquesencore si	|-----⌫--|--|-⌫----|-----|-|
faite goie nes i	----|---|-|-⌫|
fais estoiresn e	---|-------|-⌫|
etsifisentlipe lerinmonterascastiau sdes n es	-|-|-----|-|--⌫----|-----|-|-------⌫|--|-⌫-|
tousle sprest resetles clersqui	---|--⌫|-----⌫--|-|--|----|--|
canterent ettrestoutet grantet	--------|-|-------|-|----|-|
petitplor er entde	----|----⌫--⌫--|-|
pecet dele grantgoiequi	--|-|-|-|----|---|-||
et quant liestoires parti	-|----|-|-------|----|
duportdeuenicee tdromonsetch esrikes	-|---|-|-----|-⌫|------|-|--⌫-|----|
nesettant dau tres	--|-|---||--⌫---|
u aissi ausquech estoitle plus	-⌫-----⌫--|--|-|-----|-|---|
aeswar der q uifust tres	|-----⌫--|-⌫-|---|---|
lecommenchemen tdumondeca r	-|------------⌫|-|----|--⌫|
i l yau oit	-⌫||--⌫--|
bien chent	---|----|
pairedebusines que	----|-|------|--|
dargen t que d arainq uitou tesson nere nt	|-----⌫|--||----|-⌫-|---⌫--|---⌫----⌫-|
a l esmouoirettantdetymbres	||-------|-|---|-|------|
et tabo ursetau tresestrumens quech	-|----⌫--|-|--⌫---|--------|--|-|
estoitune finemerueilleq uanti lfure nten	-----|--|---|--------|-⌫---|-⌫|----⌫-|-|
chele meret il	----|--|-|-|
e urent tendu leuruoile set leurban ieres mi s es	-⌫----|----|---|-----⌫|-|---|---⌫----|--⌫-⌫-|
cas tiaus desnesetleur enseingnes si	---⌫----|--|--|-|---|---------|-|
sa nlabienque lemer sfor mias ttoute et qu	--⌫--|---|--|-|---⌫|---⌫----⌫|----|-|-|
touteenbr asee	----|----⌫---|
desnes qu ilmenoien tet delagr ant	--|--|-|-|-------⌫|-|-|-|--⌫--|
goiequi ldemenoient .	---|-|-⌫|---------||
a dontsialerent tantquil	-⌫---|-|------|---|-|-|
uinr ent a une	----⌫--||--|
chitepoles auoitanon.	----|----|----||--||
ill u e que s ariuerent s i se	---⌫-⌫-⌫---⌫|--------|-⌫|-|
rafres kirentse yseiournerent	------⌫-----|-||-----------|
un peu tantqu ilfurentbienrafreski	-|--|---|-|-|-----|---|-------|
etqui leuren tacaté d esnouueles	-|-|-⌫|-----⌫|-----|-⌫-|-------|
uiandesamet reen leu rnes.	------||---⌫-|-|---⌫|--||
apresse seremise ntenlemer .	----|-|-|------⌫-|-|-|--||
sileurentgra nt	|-|-----|---⌫-|
goi eet grant festedemeneepardeuantencore dem ene rent	---⌫|-|----|----|------|--|-----|-----|---⌫---⌫---|
i lad onquesausi grant	-⌫|--⌫-----|---|----|
ougreigne u rsiqu e	-|-------⌫-⌫|-|--⌫|
lesgens d ele ui lesen meru ell ierenttrop	--|---|-⌫|-|--⌫-||-|----⌫---⌫-----|---|
del egrantgoie	-|-⌫|----|---|
etdegrantestoireet	-|-|----|------|-|
delegrantnoblechequ il demeno ient	-|-|----|-------|-|-|------⌫---|
etsi d ise nt	-|-|-⌫---⌫-|
esto ituoirsq ueonques si	----⌫-|----|-⌫-|-----|-|
biaus estoiresnesi rikes nef u	----|-------|-|-|----|-|-⌫|
ue usneassanlé se nnuletere comme ila uoit	--⌫-|-|--------⌫|-⌫|---|---|----|-|-⌫---|
il lue ques .	--⌫---⌫---||
li uenicienetli pele rinse	-|-------|-|-|----⌫--|-|
singlerenttantquiluinrenta	---------|---|-|-|------||
iadre s lanuitdelefeste saintma rtin.	-----⌫|-|---|-|-|----|----|--⌫---||
chil deleui ledeiadres qua n tiluirrentches	---|-|-|--⌫-|-|-----|---⌫-⌫|-|------|---|
neset ches gransestoires uenir sieurent	--|-|---|----|-------|----|-|-----|
moltg ra nt peur	---|-⌫--⌫-|---|
sifisent les	-|-----|--|
porte s de le uile fremeret sisarm erentau	-----⌫|-|-|---|-----|-|-||---⌫----|-|
mie x q uilpeurent comme pour aus desfendre.	---⌫|-⌫|-|------|----|---|--|--------||
quanti lfu rent	----|-⌫|--⌫---|
arméli duxparla atous	----|-|--|----||---|
les haus homes	--|---|----|
del ost sileurdistseignor chesteuil e	-||--|-|---|---|------|-----|---⌫|
am olt me ffa itamiet ame	|-⌫--|--⌫---⌫-||-|-||-|
enuengeroie u o lentiers .	-|--------|-⌫-⌫-------||
s i uous pr ique uous meso ié s	-⌫|---|--⌫|--|---|-|--⌫---⌫|
etli baronet lihautho mme l iresp ondiren t	-|-|----|-|-|---|--⌫--|-⌫|----⌫-------⌫|
queil liai deroient	--|-|-|--⌫-------|
uolentiersorsauoi entil bienchildeiadresque	---------|-|-----⌫--|-|---|---|-|-----|--|
childeuenic e	---|-|-----⌫|
le shaoient.	--⌫|------||
siauoientpourcachie ́uneslettres derom e que tresto u tchil	-|------|----------⌫|---|------|-|---⌫|--|------⌫-⌫|---|
qu i leswerieroientouquile ur	--⌫|--|----------|-|--|--⌫-|
fe roient nul da magequ i lfussenteskemen ié	--⌫-----|--|--⌫---|-|-⌫|------|-------⌫--|
sienuoierent chesletrespa rboinsm ess a gesauducet	-|---------|---|-----|--⌫|----|-⌫---⌫-⌫--|-|--|-|
aspel erins	-|---⌫----|
qui illuequesestoient ariué.	--|--------|-------|-----||
qu ant li message uinrent	--⌫--|-|------|------|
luton les letresdeuantleduc et	--|-|--|-----|-----|-|--|-|
deu an t le spe lerins.	---⌫--⌫|--⌫|--⌫-----||
quan tlesletres furent lutesetli dux les	----⌫|--|-----|-----|----|-|-|--|--|
eute ntendues ildist	--|-⌫-------|-|---|
quilnelairoitmie	-|-|-|------|--|
eskemenieme ntl a pois to ilequi lneseueniast de	-----------⌫-||-⌫----⌫--⌫--|-|-⌫|-|-|------|-|
atant sena lerent limessage	----||-|-⌫-----|-|------|
l i duxparlaa utrefois a sbar o ns s i leur	-⌫|--|----|-⌫---|---|-⌫|---⌫-⌫-|-⌫|---|
distseigneursachi ésque ie nelelairoie	---|-------|-----⌫--|--|-|-|-|------|
anul f uerque	|--|-⌫--|--|
enueniaisse d ausne pourlapost oile	-|--------||--|-|---||-----⌫---|
lesbarons qu	--|-----|-|
illiaid aissent.	-|-|---⌫------||
li bar o n r espondir en ttout quil li aider oient	-|---⌫-⌫|-⌫--------⌫--⌫|---|-|-|-|-----⌫----|
uolentie rsforsseul e mentlic uenssymonsde monfortet	--------⌫-|---|----⌫-⌫---|-|-⌫---|-----|-|------|-|
mesiresen gerransdeboue .	-|----|--⌫------|-|---||
childisent quiln i roientmiecontr e	---|-----|-|-||-⌫-----|--|-----⌫|
lecommandementla postoil e nequilneuoloient mi e	-|-----------||-⌫-------⌫|-|-|-|-|-------|--⌫|
estre eskemenié	----|---------|
atorne rentsialerenten	------⌫---|-|------|-|
hongue rieseiournertotliuer.	------⌫--|--------|--||---||
quantliduxu i t quelib aron li aider oient	----|-|--|-⌫-⌫|--|-|-⌫---|-|-----⌫----|
si fistdrechiersese ngiensaas salir	-|---|-------|--|-⌫-----||--⌫----|
aleuile tantquechildele	|-|---|---|--|---|-|-|
uileui rrent quil ne pooie n tauoir d uree	---|--⌫----|-|-|-|-----⌫-⌫|----|-⌫---|
si uirr enta mer chi sileurre ndiren tle uile .	-|----⌫--||---⌫--|-|---|--⌫------⌫|-|---||
adontsi yentrer ent lipele rin etliueniciens i	----|-||------⌫--|-|----⌫--|-|-|-------|-⌫|
parti onleuil e endeusmoitiessique	----|-|-|---⌫|-|---|------|-|--|
lipelerin eneurentlunemoitie	-|------|-|-----||--|-----|
et liuenici en l autre.	-|-|------⌫-||----||
ap ressiauint queuneg r ans	--⌫--|-|----|--|--|-⌫-⌫--|
mesleeleuaentreles uenicienset le menuegentdes	-----|---|----|--|--------|-|-|----|---|--|
