B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
illocir ont -S ilicarg iés	-||----⌫--||-⌫|-|----⌫---|
d eniersagrantfu ison	-⌫-----||----|--⌫---|
enpu et caloi rmaisdeliureens o ion.Oiésp or	-|--⌫-|-----⌫|---|------|-|-⌫-⌫---|----|-⌫-|
Dieulemortel	---|-|-----|
träisonComme il porca centGuillaumegrantdolor.uoir	-------|----|-|-----⌫---|--------|----|-----|---|
Dieu et par s onnon A paines	---|-|--|-⌫-|--||-----|
puetma isest renus preudom.	---|--⌫-|---⌫-|--|-------|
Quiplus f ait bienetplus	--|---|-⌫--|---|-|---|
corousNus nesepu etgarder	-----|--|-|-|--⌫-|-----|
de tr äison. Huimaisorrésdu neboi ne canch on	-|--⌫------|--|---|-----||-⌫-|---⌫-|-----⌫-|
Et des granspai nes	-|--|----|---⌫--|
Guilla umele baron.Gu illaume sfumo inest outuoirement	------⌫--|-|-----|--⌫-------⌫|-|--⌫---|-⌫--|--------|
SiprieDieuet menue tsou uentQue ille	-|---|---|-|---|-⌫|---⌫---|--|-|-|
gar tparson command ement.	---⌫|--|--|-------⌫-----|
Un ior auint	-|--|----|
saciés certainementQueunshaushomqu i mano itla	------|-----------|--|--|---|--|--⌫|----⌫-|-|
paren tIuintmangierpa resbanoiement.Li	-----⌫||---|------|--⌫|------------|-|
ceneliersl eserui	--------|-⌫|----|
pourementuoi leGuillaume sapoid	--------|--|-|---------⌫||--||
ire nefentAuceneliera	--|-|---|-|-------||
ditparmau tal entAporte ́suinlic orsD ieuuous crauen t	--|--|---⌫---⌫--|------⌫-|--|-|-⌫--|-⌫--|---|------⌫|
etui ̈an dee tbl anc pain de fromentTa ntcon	-|--⌫---⌫-|-⌫|--⌫--|---|-|------|--⌫-||-|
enait ass és a	-|--|---⌫--||
remana ntTropseruent moine tostansescarsement Mala it	------⌫-|---|------|----|--|---|----------|--|-⌫-|
qui a m oin esapentCa renfr unsontcertes	--||-⌫---⌫-|----|--⌫|----⌫-|---|-----|
sou rtoutegent.Li	---⌫|----|----|-|
ceneliersresp ontireementTai si ésuousdans	--------|----⌫--|-------|---⌫--⌫--|---|---|
nepa rlé s	-|--⌫----⌫|
folement Onne n feroit certe sporuous noien t.	-------|-||-⌫|-----|-----⌫|--|---|-----⌫-|
Nesontpastout	-|---|--|---|
contenementuou s mangie ́sp lu sque cincbouu ie rs ullent.	----------|---⌫|------⌫-|-⌫--⌫|--|---|----⌫--⌫|-⌫------|
leGuillaumes s i lis aut	-|---------|-⌫|-|-⌫--|
erra ument	----⌫----|
litautt oste tdeliurement Cuer t auceliern e	-|---|-⌫--|-⌫|----------|----⌫|-|-----|-⌫|
mie lentT a nten	--|---|-⌫-⌫-|-|
apor tecoml i	----⌫-|--|-⌫|
uientatalentEtle hauthomeen	----||-----|-|-|---|---|-|
ser uiricement.P ui sa parléoi anttous h autementAu	---⌫-|--------|-⌫--⌫||-----|--⌫--|---|-⌫-------|-|
ce neli e ret a	--⌫----⌫-⌫|-||
toutl e couuentFi la puta in Di eu s	---|-⌫|------|--⌫||----⌫-|--⌫--⌫|
u ousdoinstm al tor ment	-⌫--|-----|-⌫-|---⌫---|
monma n gier parléstrop laidement.Orsaiioubien	--|--⌫-⌫---|------|---|---------|-|--|--|---|
uousnema més	---|-||-⌫---|
noi entQuantdeuant moiparlés sifaitement.Maisparcel	---⌫--|----|-----|--|------|-----------|---|--|--|
moie ame apentNias icomte	---|--|----||||-⌫|----|
tantsoi tdehau t egentSi l	---|---⌫|-|---⌫-⌫|---||-⌫|
parolenele	-----|-|-|
facedo lentFila puta inmalua is glotonpullen t	---|--⌫---|--||----⌫-|-----⌫-|-----|------⌫|
Bienesthonishomquia uous	---|--|----|--|--||---|
saten t. Li m oinel öentparlersi	|----⌫-|-|-⌫---||----|-----|-|
ruistementNi	---------|||
a celui qui nesenespaent.	|----|--|-||-|-------|
Ensus deluisen	----|-|--||-|
f ui enterra umen tL abes mëismesuausistestre	-⌫--⌫--|----⌫----⌫||---|-------|------|----|
a Cla r uentMaisi l	|---⌫-⌫---|---|-⌫|
paroleauco ntenequedent	-----|-|--⌫--|--------|
Sire distil	---|---|-|
par l ésplus	---⌫-⌫--|---|
doucemen t Toutsomesfrerechadede nsuoirem ent	--------⌫|---|----|----|--|----⌫-|------⌫--|
N euou s corciésn e torble ́s pornoientQu enou sfe ro ns	-⌫|---⌫|-------|-⌫|------⌫-|--|-----|--⌫|---⌫|--⌫--⌫-|
com mande ment.uésnoustousc ideuantuousenpr esentQu e	---⌫-----⌫----|---|---|---|-⌫|-----|---|-|--⌫----|--⌫|
mesdit fer ons l	-----|---⌫--||
ame ndementEtiou	---⌫------|-|--|
mëisme ssil u ous u ienta	-------⌫||-|-⌫--|-⌫---||
talent.Od leGuillaumesmaintenan tsenrepent.	------|-|-|---------|---------⌫||-|------|
Lors r e spondia	---|-⌫-⌫-----||
labé simplement Maistres dist i l	|---|---------|-------|---|-⌫|
gransmercis uous en	----|-----|---|-|
rench. Iou	-----|--|
li pardoinsmoutdeboina irementSei aifaitcoseque	-|-------|---|-------⌫------|-||-|---|---|--|
ilordenesdesfent Bien en	-|------|------|---|-|
uo elfairepenitance griement.Sis	--⌫-|----|--------|--------|-||
acordaG uillaumesau co uentGrantioieen	-----|-⌫--------|-|--⌫---|----|---|-|
orentmoutl efo nt	----|---|-⌫|--⌫-|
lïementE t al	-------|-⌫|-|
mangiersassïent riceme nt .	------||-------|------⌫--⌫|
Puis fu Gui l laumes enl	---|-|---⌫-⌫-----|-||
ordenelongementObedïencetintmout benignem e ntMais ainc	-----|--------|---------|---|---|--------⌫-⌫-|---|---|
moinedontprè siotdecen tN ore nta	----|---|----⌫||-|-|---⌫||---⌫-||
luiamorneboint alent	--|---|-|---|-⌫----|
Etsineseuentneporcoi necomment.En	-|-|-|-----|-|--|--|-|-------|-|
l abëieestGuillaume s	|-----|--|---------⌫|
remés Maisainclimo ine nele pore nt am er	-----|---|---|-|--⌫--|-|-|----⌫-|--⌫-|
Etsilorottou ts onauoir li uré	-|-|--|-|---⌫|-⌫-|----|--⌫---|
Plus demilliuresde de nier s	---|-|--|-----|-|--⌫----⌫|
monneés.Tantost q uill	--------|------|-⌫|-||
orentpardeu ersau stornéuausissent	----|--|---⌫--|--⌫|-----|---------|
que il fustestr anglés.Uniorse	--|-|---|----⌫-------|-|--|-|
furenten capitr eass ambléMais	-----|-|------⌫|---⌫-----|---|
iln ontmiele marcis ap elé.Delui	-||--|--|-|-----|--⌫----|-|--|
se sontadantabécla mé	-|---||---|---|---⌫--|
Sirefo ntiltro p som esma l mené Por	---|--⌫-|-|---⌫|---⌫-|--⌫|----|--|
cestdïable	---|------|
mo t soner Lu és nos aroita	--⌫|----|--⌫--|--|----||
sespuins d efröé s.Car fust	--|----|-⌫-------⌫-|--|---|
iloreout re	-|--|---⌫-|
l aR oug eMerPorDieu	-⌫|-⌫---⌫|--|--|---|
dans a bes carnosen deliurés Etiou	---|-⌫--|--|--|-|--------|-|--|
comment di stil porcarité .	------|--⌫-|-|--|-------⌫|
Sirefo nt ilor	---|--⌫-|-|-|
penséSiuous diromes	-----|-|---|------|
co mmentu ousleferés Carl e nuoiés	--⌫----|-⌫--|-|-----|--||-⌫------|
poissonsalamerIlirasireuolentiers	-------||-|--|-|--|---|---------|
etde gréNescondira	-|-|---||--------|
mie u o suole nt és	--|-⌫-⌫|----⌫--⌫--|
Obedï ence neuau ratrespa sserQuan tsorses	------⌫---|-|---⌫-|------⌫---|----⌫|--|--|
ordenes li	------|-|
seracomman de ́. Quins el arrons aelual	---|------⌫--⌫-|-----⌫|-⌫-----||-|--|
Quilepäisont	--|-|----|--|
t restout desreubéQue marcëan sni o semais	-⌫------|--------|--|--------⌫|||-⌫-|---|
homne feme n emoinesn eabés Q uil	--|-|---|-⌫|-----|-⌫|----|-⌫|-|
nelmordris sent	--|-------⌫---|
etnelfacent tu ̈er . Parmi cel uallecouenra	-|--|-----|--⌫---⌫|----|--|--|-|------|
passerCilli uau ront	-----|--|-|---⌫---|
son grantau oirreuber	--|----|--⌫--|-----|
Ilestc ru ̈eusnelorua uradouner	-|--|-⌫--⌫---|-|--|--⌫--|-----|
aurontmaintenantmo rtieté	-----|---------|--⌫-|----|
Iamai sarrie r e	-|---⌫|-----⌫-⌫|
nel uerrésretorner.	--|------|--------|
Etdistliabes	-|---|-|---|
Boinc onseilme	---|-⌫-----|-|
donésEnsiiert fait com l	-----|---|---|---|--||
auésd eui sé.u ie nt a Guil lau mesil	----|-⌫---⌫---|-⌫--⌫-||----⌫---⌫-|-||
aaraiso néLa	|------⌫--|-|
ouoro i tpar	-|---⌫-⌫|--|
de lésunpiler Dansdist liabesenuers	--⌫---|-|----|---|---|-|---|-----|
moientendés	--|--------|
penitance uo usestuetapre ster	--------|--⌫-|-----|----⌫---|
Lemati netuousconuenra	-|----⌫--|---|-------|
merde sp oissonsacater Sipasseré sparle ual	--|--⌫|-⌫------|-----|-|--------⌫|--|-|--|
d eSig ré.	-⌫|---⌫---|
Larrons i ade gransmaus	------|||-|----|---|
por pensé sLes gensdesreubent mainthome	---⌫------⌫|--|---|---------|----|---|
ontafolé . Od le Guillau messis	--|------⌫|-|-|-------⌫--|-||
es tenpie ́sleués	--⌫|-|---⌫-|-----|
Maistres dist-il auo str e	-------|------||--⌫---⌫|
uo lenté.Iraiiouseusgardé s ne l	--⌫------|---|--|---|------⌫|--⌫|
mecelésNe nil d ist	-|-----|--⌫--|-⌫--|
labespar saintecaritéUn	|---|--|-----|------|-|
soumier etunfamle menr és	------|-|-|----|----⌫--|
Mais d e sl arronsuou s pr iqueuous	---|-⌫-⌫|-⌫-----|---⌫|--⌫|--|---|
gardés. Chou distGuillaum es	-------|---|---|--------⌫-|
Iamar e n douterés.Faites moitost mesa rmesaporter	-|--|-⌫|---------|-----|--|---|--|-⌫---|------|
aubercendosser Si porte raimo n	-----|-------|-|-----⌫--|--⌫|
bo i nbranc d	--⌫-⌫|----||
cler. Nia larron	----||||-----|
meueutdesr euberQuene li face le	-|---|----⌫----|--|-|-|---|-|
de l bu seure r .D ans distli	--⌫|-|-----⌫-⌫|-⌫--|---|-|
abesparmonciefnon	---|--|--|---|--|
Ch o u nes tmieordenesdon t ieu o s oipar ler	--⌫-⌫||--⌫|--|------|---⌫|-|-⌫-⌫|-|---⌫--|
Nafiertamoineque	|-----||----|--|
ildoieestrearmés.	-|---|----|------|
OdleGuillau me s moutenestäirés	-|-|-------⌫--⌫|---|-|--|------|
mautalentrespond ialabé	--------|-------⌫|||---|
Comm entd ansabesdist	----⌫--|-⌫--|---|---|
Guil laumesliberLairai	----⌫-----|-|--|-----|
honiret uergonde rMoie tmon	----|-|--------⌫|--|-⌫|--|
famleoci reetdesmembrerNenil dist	----|---⌫-|-|---------|----|---|
labe smaismerci	|---⌫|---|----|
lor c riés. Bienle ferai	--|-⌫-----|---|-|----|
di s tGuillaumes	--⌫-⌫|---------|
neluo e l ent otroier negraer Parfoi a	--|--⌫-⌫-⌫--|------|-|----|--|--||
distl abes	---||---|
uoussai direelE npenitance lemartires ouf re ́s Onq ues	---|--|---|-|-⌫|--------|-|------|-⌫---⌫--⌫-|---⌫--|
ne uous iconbatésCar li sains	-|---||--------|--|-|----|
ordenes le n ousadeu eé.	------|-|-⌫--||---⌫---|
Guillaumesapoi	---------||--|
qu ilnestderués . Maistresdi st il	-|-||--|-------⌫|-------|--⌫-|-|
tr opcrüel ordeneauésAs uisdïablessoit	--⌫-|-----|-----|----|-|--|-------|---|
cisordenesdon e ́s Et	--|------|---⌫-⌫-|-|
quiprime slottrouéToutmonau oir	--|-----⌫||-|-----|---|--|--⌫--|
loruauraibie n	--|-----|---⌫|
liurerSil lem e tolentnemenua u rai	-----||-|-|-⌫|-----|-||-|--⌫-⌫--|
mellerMaisparles	-----|---|--|--|
s ains con quier t enNoir onPréSil me	-⌫---||-|-----⌫|-|----⌫-|---||-|-|
feroi ent ne l porroie	-----⌫--|--⌫|------|
endurerAins enseroittousliordenesfausé s	------|---|-|-----|---|-|------|------⌫|
Quema in tena nt ne	--|--⌫--⌫----⌫-|-|
fuisseaa u smel l és.Biaustrésdousmaistres dist	-----||-⌫-⌫|---⌫-⌫---|----|----|---|-------|---|
Guillau mes	-------⌫--|
li fi er s Iousuiuos	-|--⌫--⌫|--|--|--|
moinesuosobe dï enciersSi	-----|--|---⌫---⌫------|-|
mede u és et	-|--⌫-⌫--|-|
dui reet enseignie r E tiou	---⌫-|-|---------⌫|-⌫|--|
d ol fai reuocommantuolenti ers.	-⌫-|---⌫-|-|------|-------⌫---|
s aich aien sne ma ongair esci er Sor	-⌫-|--⌫----⌫|-|||-|----⌫-|--⌫-|--|
moiestorecis	--|--|--|--|
iug iésQueiou irailespoi sso ns	---⌫---|--|--|---|--|---⌫---⌫-|
bargai gnierEt	------⌫----|-|
seDieuplaist	-|---|-----|
ioule feraisibien Quagrantplente ́en	--|-|----|-|---|-||----|------⌫|-|
ar aam engi er.Maisdes	--⌫||-⌫----⌫--|---|--|
larronssuiauques esmaiésQuant d emesarmesneme	------|--|-----|-------|----|-⌫|--|----|-|-|
porr aiai dier.	----⌫-|--⌫----|
poissonsuoelentetles oumierChou d ist li abes	-------|------|-|-|-⌫-----|---|-⌫--|-|---|
lor uol entiers.E ts ilm assalentdist	--|---⌫-------|-⌫||-||-------|---|
Gu il laume sli	--⌫--⌫-----⌫|-|
i l meuoeillent ocire etdetrencier	-⌫|-|--------|----|-|---------|
Seilm oci ̈ent	-|-||---⌫---|
Dit e smoiqu	---⌫-⌫|--|-|
iertParfoi dis tlabes siauront	---|--|--|---⌫||---|-|-----|
grantpec iét.Liquens	----|---⌫----|-|----|
resp ontOrmauésb ienp aiét	----⌫--|-||----|-⌫--|-⌫----|
melais ocireet	-|---|----|-|
de pecier D ontiereioude ma	--⌫-----|-⌫--|---|--|-|-|
mort parchoniers.Se	---|-----------|-|
il mefie rentnem os er aiuengierNenildi stl	-|-|---⌫---|-||--⌫--⌫-|------|----|--⌫-||
e naue ́sle congie ́Carli sainsordenesleuous	-⌫|---⌫-|-|------⌫|--|-|----|------|-|---|
desfentet g ié.	------|-|-⌫---|
OdleGuillaumesapoinest	-|-|---------||--||--|
esragiésMaistresdistil	--------|-------|---|-|
uosor denes esttropgriésSif aiscouens	--|--⌫----|--|---|-----|---⌫--|-----|
pu isse prendremalc ief	--⌫---|------|--|-⌫--|
estor aDieus	-----⌫|----|
li doinstencombri er.Assé s	-|-----|--------⌫--|-----⌫|
u autmi eu s	-⌫--|--⌫--⌫|
decheualier Ilse combatent as	-|--------|-|-|--------|-|
Tu rse tasp aiens	--⌫-|-⌫|-|-⌫----|
Porl am o r	--||--⌫-⌫|
Di euselaissent martirierE t souentsont	--⌫-|-|-------|--------|-⌫|-----|---|
en lorsancbati siéPour	-|--|---|----⌫---|---|
a co nquerre le	-⌫--⌫------|-|
regnedr oiturier .	----|--⌫--------⌫|
Moineneuoel ent forsque b oire et	----|-|----⌫--|---|--|-⌫---|-|
mengier Liree tcanteret	------|---|-⌫|-----|-|
dormir etfroncier Mis	-----|-|-------|--|
sont en mue	---|-|--|
com p orencraissi e r P ar main tesfo ismusenten	--|-⌫-|---------⌫-⌫|-⌫-|----⌫--|--⌫-|-----|-|
l o r sauti er.	-⌫-⌫|-----⌫--|
Biaussire m aistresormauéscas toi é De ces larrons	----|---|-⌫------|-||----|---⌫---⌫-|-|--|------|
qui so ntel	--|--⌫-|-|
ualplenierSil	--|------||-|
mefo nt hon tenem oseraicorcierEt s	-|--⌫-|---⌫-|-||-----|------|-||
fie rentnemoserai	---⌫---|-||-----|
uengierNeneferaiforsq ue merciproier.	------|-|-|----|---|-⌫-|----|------|
Mais parlessain squ erequierentpau mi er	---|--|--|----⌫|--⌫|---------|---⌫--⌫-|
Ainse nseroittou sli	---|-⌫|-----|---⌫|-|
ordene s brisie ́sSe ilmefi erent	------⌫|------⌫-|-|-|-|--⌫----|
qu e iounesfaceir iés.L abes	--⌫|--|--|---|--⌫----||---|
poisestenbron ciés D ist aGuillaumequant	--||--|------⌫----|-⌫--||--------|----|
plaidi erNonf erés	------⌫-|--|-⌫----|
sire p orlordene	---|-⌫-||-----|
blas ten gier	----⌫---⌫---|
Biaustrés d ousmaistresdist	----|----|-⌫--|-------|---|
G ui l laumesa	-⌫--⌫-⌫-----||
querrés gra nt anuiet grantblasme Quantiounepuis	-------|---⌫-|---|-|----|-----|----|--|-|---|
odmo iporter	-|--⌫|-----|
mes armes Hau bercneelmenee speequitaille.	--|----|---⌫---|-|---|-|-⌫---|--|------|
S ilmelaidoient	|-|-|--------|
ioune s aiqueioufaceC hou iertgrans hon tes	--|-|-⌫-|--|--|---|-⌫--|---|----|---⌫--|
esperit ableQue f er ai iou s ilmetol en t	-------⌫---|--|-⌫--⌫-|--||-|-|---⌫--⌫|
ma c ap e Cestliab is	-|-⌫--⌫||--|-|--⌫-|
quitos les a utresg ardeQuant ioule port au	--|--|--|-⌫----|-⌫---|----|--|-|---|-|
uentet a l orage	---|-|||----|
tolen tiouiarai damage.No nlaure ́suoir	-----⌫|--||---|------|--⌫||----⌫-|---|
lir esp ont li abesOnqu es porchou ne commen ciésba taille	-|-⌫---⌫--|-|---|----⌫-|--|---|-|------⌫----|--⌫-----|
Poruneseuleuous enren de raiquatre. Et s	--|--|----|---|-|---⌫--⌫--|------|-||
e ner tcho udist GuillaumesQuiqui	-⌫|--⌫|---⌫|---|---------|--|--|
gaaint miense n ert li	-----|----|-⌫|--|-|
damages.Cie r t lor	-------||--⌫-⌫|--|
peciés chouli respontl iabes.Et dist	------|---|-|------|-⌫|----|-|---|
Guill aumes Orena iboi n epaieSil	-----⌫----|-|-|-⌫|---⌫-⌫|---||-|
mocioientparlecors	|-------|--|-|---|
sa int Ylaireuous nendonriéspasun	--⌫--|-----|---||-|-------|--|-|
botondehaie. Ensifa is	----|-|----|------⌫-|
orde nesuoist elnondel dïable Maispar cel	----⌫--|----|-|--|--|------|---|--|--|
D ieuquimistN öe ́	-⌫--|--|---|-⌫---⌫|
ilmefierentnefont ne	-|-|------|-|---|-|
sanc neplaie	---|-|----|
Iou n elairoie	--|-⌫|------|
porrie n nuleque	--|---⌫|---|--|
iounesf ierequi qui après	--|--|-⌫---|--|--|-----|
blasme. Labesl öi	------||---||--|
moutd urementsesmaieCar	---|-⌫------||-----|--|
paona q uea	---||-⌫-||
luine s a ssaie.Lorsuausisteste aRomeou	--|-||-⌫-----|---|------|---||---|-|
aBelcaire Ca ril li	|-------|--⌫|-|-|
uoitenr ogir le ui sageNed esist	---|---⌫---|-|--⌫---|-|-⌫----|
mot porle tresorCesaire . Cascuns	--|--|-|-----|-------⌫|------|
des mo inesse rem uc een sahair e Erran t	--|--⌫---|-|---⌫--⌫|-|-|----⌫|-----⌫|
uonten crout e ou	---|-|-----⌫|-|
Et dans Guillaumessonabé	-|---|---------|--|---|
en a raisne M outbelementl iapris a	-|-⌫-----|-⌫--|-------|-⌫||---||
ret raireBiaussire ma istres dis t Guillaumesli	---⌫----|----|---|--⌫-----|---⌫|---------|-|
il metolent monautre caperon	-|-|-----|--|----|------|
Donéslo rtoussans nule	-----|--⌫|---|---|---|
ar estisonIamarporchou	--⌫------|-|--|--|---|
com menceréstenchon Porun toutseul	---⌫--------|------|--|-|---|---|
aurésuintet dous. Cest bo ins	-----|---|-|----||--|--⌫--|
restors Gui llaumes	------|---⌫------|
respontIou fer aibien cestcom m ant	------|--|---⌫-|---|---|---⌫-⌫--|
uous. Maisorm e	----|---|-|-⌫|
ditessilme tolen t	----||-|-|-----⌫|
monfroc Quipl use st n oirs que corn eille	--|---|--|--⌫-|-⌫-|-⌫---|--|----⌫----|
b osLaiset	-⌫-|---|-|
hisd eusetmalaisieusetgros uouslorrende ́s	----⌫--|-|---------|-|---|---|--|-----⌫-|
distliabe stantost Ia marporchoulor diré s	---|-|---⌫|------|-|--|--|---|--|-----⌫|
uilain mot	-----|--|
Porun toutse ul uousenrende raitro p.	--|-|---|--⌫-|---|-|-----⌫--|---⌫-|
Et silmefieren t	-||-|-|------⌫|
distGuilla umeselcorsCiertlorpeciésdist	---|------⌫---|-|---||---|--|------|---|
moutfor s.Etdist Guillaume sCi	---|---⌫-|-|---|---------⌫|-|
a poide c onfort.Maispar	|--|-|-⌫------|---|--|
lapostre con	|------||-|
apelesaintPolIou ne lair oie	----|----|--|--|-|----⌫--|
m illiure s	-⌫-|-----⌫|
dorSeilmefiere ntnes	|-|-|-|-|-----⌫-|--|
refie re gran tcopIaporuostre	-----⌫-|----⌫|--|-|--|-----|
ordene ne remaindrasan sdol .Odle	-----|-|--------|---⌫|---⌫|-|-|
