Icicumencelicompuz	--|------|-|-----|
adacuueitee	-|--------|
Tute terre	---|----|
üe leme nt	---⌫----⌫-|
Ei ssifaiter ement	--⌫---------⌫----|
Q ue liso lail sliuent	-⌫-|-|--⌫----⌫|-|---|
Dreit desus dunc retent	----|----|---|-----|
Sa clartédsalüur	-|-------|-|----|
F ai tnus grant t en ebrur Eceo esteclipsin	-⌫--⌫|--|----|-⌫--⌫----||--|--|-------|
Sicum dïentdiuin E ceo est	-|--|-----|----||--|--|
ag u arder	|-⌫-⌫----|
Ensun renuuele r	-|--|--------⌫|
Q uenumailadesus E	-⌫-|----|-|----||
Macrobe le	------|-|
Par ue iren sunes crit	--|--⌫-|-|--|--⌫---|
ren ouement	---⌫------|
Est cestasemblement	--|---|----------|
Que ape llumcoïtum	--|---⌫---|------|
Enlatineraisun	-|-----|-----|
Etormustrumraisun	-|-|------|-----|
e ntencïun	-⌫--------|
Iudeuuunt di sant	----|---|--⌫---|
Quitant suntmescrëant	--|---|---|---------|
C rëaturs	-⌫-------|
Murutp ur pecheürs	----|-⌫-|--------|
Ceod ïent	--|-⌫----|
Qu e duncfud eclipsin	--⌫|---|--|-------|
Taisentsen liglutun	------||-|-|-----|
N enuntnent deraisun	-⌫-|--|---|-|-----|
.x u. iursN e ̈huemnedeitduterSi lne	--⌫-|---|-⌫-⌫|---|-|---|----||-⌫|-|
uol tforsenerE ce oes tu eirs ueirement	---⌫|-------||--⌫|--⌫|-⌫---|--------|
Se nz nuldeceiuement	--⌫-|--|----------|
Li soleilsela lune E	-|------||-|---||
esteilechascune	------|-------|
t e nsseo bscurerent	-⌫-⌫-|-|-⌫---------|
Unclüu r ne duneren tEdepecerentperes	--|----⌫|-|-------⌫||---------|----|
De di uerses maneresE	-|--⌫-----|------||
S pirizs enalatEc e olisa nt truuu m	-⌫----||-|---||-⌫-⌫|----⌫-|-----⌫|
Pass i ̈un	----⌫-⌫--|
Gra n t fudla	---⌫-⌫|--|-|
signif iance	------⌫----|
Aie z enremembrance	---⌫|-|----------|
Et or mustrum	-|-|------|
Del unal eclipsin	-|-⌫---|-------|
Quant il ue nt e quan t	----|-|--⌫-||----⌫|
nun Equant nusleguardum	--||----|--|-|------|
quantestplenere	----|--|------|
Det utesalume re	-|-⌫--|-|----⌫-|
Q u antelead.xu.iursE	-⌫-⌫--|--|-|---|---||
nentplusen	---|---|-|
Plinïusd it	-------|-⌫-|
P ar ueiren	-⌫-|---|-|
sun escrit	--|-----|
Quantel eesttantalee	----|--⌫|--|---|---|
Quelaterreestposee	--|-|----|--|----|
Dedeuantsalüur	-|-----|-|----|
D uncdep ert	-⌫--|---⌫--|
Detut es tobscuree	-|--|--⌫|-------|
Nent nest enluminee Nipoe ttucher raiedeA	---||--|--------|||---⌫|-----|-----||
icelefeiede	----|-----|
Delso lailen	--|--⌫---|-|
S ic ume stespruu éd	-⌫|-⌫-|-⌫-|------⌫--|
uert édpruuee	----⌫--|-----|
Ian enert enluminee	-|-⌫-|--|--------|
Si parle solail	-|--|-|-----|
ditparraisun	--|--|-----|
Liberssaint A üstin	-|---|----|-⌫-----|
E nunliu re d euin	-⌫|-|---⌫-|-⌫---|
Qui est espo sicïu n	--|--|----⌫------⌫|
Sa lterparraisun	--⌫---|--|-----|
D el s olailad lüur	-⌫-|-⌫----|-|----|
resplendur	---------|
Ceoestdescriu ement	--|--|-------⌫----|
Quie stal firm ame nt	--|-⌫-|-|----⌫---⌫-|
Eissieste nnatur e	----|--|-⌫|-----⌫|
C umest ces t efigureE	-⌫-|--|---⌫-⌫|-----||
tutaipos ét	--|-|---⌫--|
dunt aipa r l e ́t	---|-|--⌫-⌫-⌫-⌫-|
Ce o e s tli celsded efor s	--⌫|-⌫-⌫|-|---|-|-⌫----⌫|
Qu itr e st ut adenclos	--⌫|--⌫-⌫--⌫-|-|-----|
Lessigne s e nu irun	--|-----⌫|-⌫--⌫---|
Posétpa r gra ntraisun	-----|--⌫|---⌫-|-----|
Par.xii. deu isé t	--|----|---⌫----⌫|
Si cum ioai	-|--|-|-|
acuntét E	-------||
es altresr eiuns	-|-----|-⌫----|
Suntenp osét	---|---⌫----|
Deseste ilesreials	--|----⌫---|-----|
Qu e a pellu mpri nc ipal s	--⌫|-⌫-----⌫|---⌫--⌫----⌫|
Q uëe n lati n numuns	-⌫--|-⌫|----⌫|-----|
Plan etesparraisuns	----⌫---|--|------|
dedenzpentL airstutentur	-----|---||---|--|----|
Si cu mt ruuum	-|--⌫|-⌫----|
Ouide legrant	----|-|----|
Enze s di uiseme nz	--|-⌫|--⌫------⌫-|
Qu il faitdes elemenz	-|-|---|--|------|
Des es te ilesre ials	--|--⌫--⌫---|--⌫---|
Queapellumiurnals	--|------|------|
Delsolail de	--|-----|-|
Ecl ip sin de chascune	---⌫--⌫--|-|-------|
Iciai aluéd	--|-|-----|
Si cumestespruu éd	-|--|--|------⌫--|
Maisd e ces tereisun	---|-⌫|---⌫-|-----|
Neferaiplussermun	-|----|---|-----|
aic untéd	-|-⌫-----|
O dlaï edeD é	-⌫||---⌫|-|-⌫-|
oreplustra iter	--|---|---⌫---|
Altremestotcumencer	----||----|-------|
Ces regule rsque auum	--|------⌫-|--|---|
Or leuus dibrefmentuëez	-|-|--|-|-------|----|
i sufti l me nt	|-----⌫-⌫--⌫-|
Seuus pern ez	-|--|----⌫-|
Q ue lan t enten	-⌫-||-|-⌫--|-|
Nenalez pa sdu tant	--|---|--⌫|--⌫---|
T antc u mdis ladeuant .	-⌫--|-⌫-⌫|--|-|-----||
Ccc.s aissan teiurs	---|-⌫------⌫-|---|
E.u.adenlurcursE	|--|-|-|--|---||
ces iurzqueainumez	--|---|--|-|----|
Par.xx x.deuisez .u .eniremaindrunt	--|---⌫-|------|--⌫|-||----------|
Quiregulers s errunt	--|-------|-⌫-----|
Demarzenueritéd	-|---|-|-------|
es tespruuéd	--⌫|--------|
Maisdecesaltresmai s	---|-|--|-----|---⌫|
A l t reme nttruue reiz	-⌫-⌫-⌫----⌫-|-----⌫---|
Lesregulersqui uunt	--|-------|--|---|
quantque ̈ ilsunt	----|---⌫|-|---|
Eissifaiterement	---------------|
Senznuldeceiuement	---|--|----------|
Marz a d.xxx.iiur. u.reulese nsuntur	---|-⌫|----||--|-⌫-|-----|-⌫|--|--|
Ensemb lele smetez.	------⌫-|--⌫|----||
Xxx . e. ui.	---⌫||-⌫--|
iauezE qui lespa rti ra t	|---||--|--|--⌫---⌫--⌫|
Par.uii.unremain dra t	--|----|-|------⌫---⌫|
Lesre gulersauereiz	--|--⌫-----|------|
Deauerille	-|-----|-|
secuntmais	-----|---|
Tuttens les iurs pernuns	--|---|--|---|------|
Lesregu lersqueauums	--|----⌫---|--|----|
Delmais qui estp assét	--|---|--|--|-⌫-----|
Par.uii. ert de uis ét	--|----|--|--⌫---⌫--|
Le reman antqu auum	-|-----⌫--|-|---|
Pur reg ulers t enum	--|---⌫----|-⌫---|
Delmais qu e stauenir	--|---|-|-⌫-||----|
Siu usdeuez	-|-⌫-|----|
Sinentir emaindrat .	-|---||-⌫--------||
uii.reg ulersauerat	---|---⌫----|-----|
p rofu e ndr at	-⌫--|-⌫-⌫---⌫-|
Neia ne passerat	-|-|-|-------|
Cestnumbrequaid i t	---|-----|-|-|-⌫-⌫|
Gerlan dditE	------⌫|--||
oruëe zbref ment	-|----⌫|----⌫---|
Senznu lredutement	---|--⌫|---------|
Quantesregulersunt	------|-------|--|
Limeis qui e nl an	-|---|--|-⌫||-|
Marz ad.u.e nouembre	---|-|--||-------|
Se etseptembree de cem bre	--⌫-|--------||--⌫---⌫--|
Aprilisiu lius	------|--⌫---|
U n en un t	-⌫|-|--⌫|
enent plus	|---|---|
Ma ius ianu ari us .	--⌫--|----⌫---⌫-||
. ui.fe bru arius	-⌫--|--⌫---⌫----|
Iunius . ui.	-----|-⌫--|
enadEuitouere.ii.adE	-|-||-------|---|-||
aüst .iiii.enad	----|-----|-|-|
I a plusn eni aue rad	-⌫|---|-⌫-||---⌫--|
par nat u re	--|---⌫-⌫-|
Cum uëez safigur e	--|----|-|-----⌫|
Lesma isiaiposét	--|--⌫-||-|-----|
dunt ai parlét	---|-|------|
Ceol esregulers	--|-⌫-|-------|
Qu e apro f	--⌫|----⌫|
Eissid euezs aueirE biencreirepurueir	----|-⌫---|-⌫----||---|-----|--|---|
Quesmoue nt chascunmai sE ne purquantli	-|------⌫-|------|---⌫||--⌫-------|-|
Qui primeslestruuat	--|-----|--|-----|
E nmarzlescumença t	-⌫|---|--|--------⌫|
Regularesad feriam inueniendam	--------|-|-----|----------|
Marcius .u.	------|--|
Dies.xxxi.	---|-----|
Ap rilis.i.	--⌫----||||
Die s .xxxi.	---⌫|-----|
Iunius.u i	-----||-⌫|
Di es.xxx.	--⌫-|----|
Dies. xxxi.	---|-⌫----|
Augu stus. iiii .	----⌫---||---||
Dies.xxxi.	---|-----|
September. uii.	--------||--||
Dies.xx x.	---|---⌫-|
Oct ober.ii.	---⌫---|---|
Die s.xxxi .	---⌫|-----⌫|
Nouemb er .u.	------⌫-||||
December .uii.	-------||--||
Die s .xxxi.	---⌫|-----|
Ian uar iu s.iü.	---⌫---⌫--⌫|----|
Dies.xxxi .	---|-----⌫|
Februarius.ui.	---------||-||
Die s.xxu iii.	---⌫|----⌫---|
Mais ore must rumraisun	---|--|----⌫--|-----|
Desconcur enz qu e auum	--|------⌫--|--⌫|---|
Duntuenentecument	---|-----||-----|
Qui enest cumencement	--|-|--|----------|
Des iur s de	--|---⌫|-|
Les co ncurenzqu e auu m	--|--⌫------|--⌫|---⌫|
Eiss ifaiterement	----⌫-----------|
redutement	---------|
Les i u rsqu enus truuums	--|-⌫-⌫-|--⌫|--|------|
E n lanpar	-⌫||-|--|
.u ii.partums	--⌫--|------|
Etunsul quëauum	-|-|--|---|---|
Tutsulsenzcum paig nun	--|--|---|---⌫----⌫--|
C oncurent l apellum	-⌫-------||------|
En franceises titan t	-|-------|--⌫|----⌫|
Ceoest ensemble	--|--|-------|
curan tEcistad uertu grant	-----⌫||---|-|----|----|
Testimonie	---------|
Lesiursn usfaitmüer	--|---|-⌫-|---|----|
Chasc una ntresturnerE orue ̈ez	-----⌫-|-⌫|---------||-|--⌫--|
Senzn uldeceiuement	---|-⌫-|----------|
Marzestliprimer s mais	---|--|-|------⌫|---|
Romulusli reis	------|-|---|
Pr imerementtr uuat	--⌫--------|--⌫---|
lancumen zat	|-|-----⌫--|
Or feig nezparr aisun	-|----⌫--|--|-⌫----|
Quenusla n cumenzum	--|--||-⌫|-------|
Enceliurq uapellun	-|--|--|-⌫|------|
Diemaine parnun	-------|--|--|
que apr ofuendrat	--|---⌫-|------|
Alluesdien terat	-|-----|--⌫----|
Elterzanalmarsdi	-|---|-|-|-----|
El q uartalmecresdi	-|-⌫---|-|-------|
E lquintanceo uusdi	-⌫|----|-|--|--|-|
ueentil al uen dresdi	----|-|-|---⌫-----|
iur aipassét	--|-|------|
Queieonaipasnuméd	--|--||-|--|-----|
Purun i ur quemetum	--|-|-⌫-|--|----|
a nparraisun	-⌫|--|-----|
Plusquenusn e so l um	---|--|--|-⌫|--⌫-⌫-|
Que bis exte apellum	--|---⌫---|------|
Sicum ie odituusai	-|--|--⌫|--|--|-|
Quant ieo de lit raitaiEsacez peruertéd	----|--|-|-|-⌫-----||----|--|------|
Si cumest espruue ́d	-|--|--|-------⌫-|
Ces concurenz qu iisunt	--|--------|--⌫||---|
Par.xx.e.uiii. anzuunt	--|---||-----|--|---|
Liprimera nno utnule	-|-----|-⌫||-⌫-|---|
M aislisecunzout	-⌫--|-|-----|--|
sultilm ent	-------⌫--|
Purquei nout	--|---||--|
c oncu rrent	-⌫----⌫----|
s u n t c on truuees	-⌫-⌫-⌫|-⌫--⌫------|
Des iurs de	--|---|-|
l an furmees	|-|------|
ie odisbrefment	--⌫|--|-------|
Enzelcu mencementEpu r ceonenout nule	--|-|--⌫--------||--⌫|--|--|--|---|
Mais lisecunzoutune	---|-|-----|--|--|
tr aia guarant	--⌫-||------|
Leu a illan t clerc	-|-⌫-⌫-----⌫|----|
Qu il e nzen sumliure	-|-|-⌫-|-|--|----|
Eenzelte rz	|--|-|--⌫-|
E ndemustre tr aisun	-⌫|--------⌫|-⌫----|
e ntencïun	-⌫--------|
Quëalqu an tclerctruuerent	---|----⌫--⌫|----|--------|
Le bisexte eguarderen t	-|------||---------⌫|
Odunecon curr ent	-|--|---⌫----⌫--|
Issifaitereme ntE en core ueirement	-------------⌫-||--⌫---|--------|
Reprentilaltregent	------|-|----|---|
Quë el quar t	---|-|----⌫|
anposerent	-|-------|
Le bis exte edune rent	-|---⌫---||----⌫---|
Odlui.u .concurenz	-|--|--⌫|--------|
Cumuëe z c i	--|----⌫|-⌫|
Ned eu umpassa ill ir	-|-⌫--⌫-|--|--⌫---⌫-|
D eceouusuoilguar nir	-⌫|--|--|---|----⌫--|
Deuantceoparr aisun	-----|--|--|-⌫----|
Quel ebisexteauun	--|-⌫|------|---|
Purc eo di ue irement	--|-⌫-|-|--⌫------|
Sicumestpruuement	-|--|--|--------|
Qu ë ilen	--⌫-|-|-|
a d ra isunEbonentencïun	-⌫|--⌫---||--|---------|
uëezbrefment	----|-------|
Tutlur ordenement	--|--|---------|
C um el essuntposee sEparan o rdenees	-⌫-|--⌫-|---|-----⌫||--|-|-⌫------|
Eissi suntpar nature	----|---|--|-----|
Cum must ret s a	--|----⌫--|-⌫|
f igure El ecummen cement	-⌫----||-⌫|------⌫-----|
I locestueirement	-⌫--|--|--------|
lacroizmise	-|----|---|
Odle bisexte asise	-|-|------|----|
Eis sideuez saueir	---⌫-|----|-----|
Ebencre irepa r	|--|---⌫--|--⌫|
Q uedesqu ea .ui i.uendru nt	-⌫-|-----⌫||---⌫-|------⌫-|
ele sauerunt E uëezsultilment	---⌫|------||----|---------|
Qu e lsu alent ecu men t	-|-⌫-|-⌫----||--⌫---⌫|
S e uuscesconcurenz	-⌫|--|--|--------|
Asregu lers	-|----⌫---|
tut t en s	--|-⌫--⌫|
Iungnezd untieo traitai	------|-⌫--|--|------|
Cideuant e numai	-|-----||----|
D eanenancumelessuntE cu m	-⌫|-|-|-|--|---|---||--⌫|
el es lurcurs	--⌫-|--|---|
Bensauerez senzengan	--|------|---|----|
De tuzlesmeisdelan	-|--|--|---|-||-|
Par quels iu rz	--|----|--⌫-|
en terunt E qu ant ilauendru nt	--⌫-----||--⌫--|-|-------⌫-|
Euëez s ulti lment	|----|-⌫----⌫----|
Orsuntd uicon cu rent	-|---|-⌫-|---⌫--⌫---|
Marz ad . u.regulers	---|-|-⌫-|-------|
Deceos aiez b enclers	-|--|-⌫---|-⌫-|----|
Se ensem bl e l e s	-|-----⌫--⌫|-⌫-⌫|
uii.eni truue rez	---|-||-----⌫--|
Enpurceole uu sdi	----|--|-|--⌫|-|
Marzentr e a samadi	---|----⌫||-----|
Ens ementerrereiz	---⌫----|-------|
Detu z cesaltr es	-|--⌫|--|----⌫-|
Mais ceode uez gua rde r	---|--|--⌫--|---⌫---⌫|
N edeueznent passer	-⌫|----|---|-----|
Ul tre.uii. enuertéd	--⌫--|----|-|------|
Si cumeste spruuéd	-|--|--|-⌫-------|
Sile numbrecre ist t ant	-|-|-----|---⌫--|-⌫--|
Que .uii.alt tresp assant.	--|----|--|-----⌫-----||
uii.en deuezgete r	---|-|----|----⌫|
Le remana ntguarde r	-|------⌫-|------⌫|
T antcum i	-⌫--|--||
rema indrat	----⌫-----|
Entantiurzenterat	-|---|---|------|
Li m aisduntu usquerez	-|-⌫--|---|-⌫-|-----|
Esi uusdibr efmen t	|-|--|-|--⌫-----⌫|
Que lurc umencemen t	--|--|-⌫---------⌫|
Estes.xii. k alendes	--|-|----|-⌫------|
Demarzque be n len tendes	-|---|--|--⌫||--⌫-----|
Ilocdeiuentmüer	---|------|----|
Tuz tensrenuuel er	--|---|-------⌫-|
AsezenaiorditE sultilment	---|-|-|-|--||---------|
descritNen	------||-|
uoiloreplust r aiter	---|--|---|-⌫-⌫----|
Altr euoil cumencer	----⌫|---|-------|
Sace zen ueritéd	----⌫|-|-------|
Si cu mest	-|--⌫|--|
Cez reg ulers	--|---⌫----|
Desiursdelan	--|---|-||-|
Eissi f aiterement	-----⌫-⌫---------|
Senznul deceiueme nt	---|--|---------⌫-|
Les iursde l anpartum	--|---|-||-|-----|
Par.xxx.pa rraisun	--|----|--⌫|-----|
De l remanantauum	--⌫|-------|---|
Cinciurzqu ëapelum	---|---|--⌫-|-----|
Regu le rs enuerté d	----⌫--⌫-|-|------⌫|
Sicumestespruuéd	-|--|--|--------|
E septembre cel	|--------|--|
Cestes ad seo sa ceis	-----|-|--|--⌫---|
P urceoque	-⌫-|--|--|
Egyp tïen	----⌫----|
Kicompotisti ̈en	-|----------⌫--|
Bons furentles	---|-----|--|
truuerent EiloclesposerentE o r uëez	--------||---|--|-------||-⌫|----|
Cume lesaltrestruuum	---|--|-----|-----|
Queli al tremeisunt	--|-|--⌫--|---|--|
Que ̈apr of	---⌫|---⌫-|
Lal uneenuertéd	-|-⌫--|-|------|
Sicu meste spruuéd	-|--⌫|--|-⌫-------|
Chascun e luneisun	-------⌫|-------|
parraisun L un e .xx. ixi urs	--|-----||--⌫|---|-|-⌫--|
Lealtr e.xxx.ensuncu rs	-|----⌫|----|-|--|--⌫-|
Purc eldipar raisun	--|-⌫-|-|--|-----|
Guard ezla luneisun	-----⌫-|-|-------|
Quesepte mbre ten dra t	--|-----⌫---|---⌫---⌫|
Les regul ersq ueil ad	--|-----⌫--|-⌫-|-|-|
Ensemb leles	------⌫-|--|
Xxxu.ena uerez	----|-|-⌫----|
Siles.xxx.en ostezE	-|--|----|-|----||
l es .u.retenez	-⌫-|--|------|
Lere gul er a uereiz	-|--⌫---⌫-|-⌫-----|
Deoctoure i celmais	-|------|-⌫--|---|
Lial trëen sement	-|--⌫---|--⌫-----|
Untcestor deinement	--|---|--⌫--------|
Sulumceo par	----|--|--|
Queilunt le s l un eisu nsEoruëe zbrefme nt	--|-|--|--⌫|-⌫--⌫----⌫-||-|----⌫|------⌫-|
Tut lurordein ement	--|--|------⌫----|
E issisuntparnature	-⌫---|---|--|-----|
Cumuëezsafig ureLémaisiaipose ́t	--|----|-|---⌫--|--|---||-|----⌫-|
Dedeuanten uertét	-|-----|-|------|
Des reg ulers queauums	--|---⌫----|--|----|
Des.xii.luneisuns	--|----|--------|
Etoru ëezraisun	-|-|-⌫---|-----|
Desepactes queauum	--|------|--|---|
Sulum gregesse	----|-------|
Ceoes tadoisement	--|--⌫|---------|
Chascuna n le screisum	------|-⌫|--⌫|------|
Par.xi. par raisun	--|---|--|-----|
Maissiiluaitul tre.xxx.	---|-|-|---|--⌫--|----|
Deiceoaëzentente	-|---|---|------|
Xxx ende uezgeter	--|-|--⌫--|----|
L eremanant guarder	-⌫|-------|------|
uusuoilguarnir	--|---|------|
epacteateni r	-----||----⌫|
Enlanqueaprof uendrat	-||-|--|----|------|
Ia ce on e uusfaldratEsacez par	-|--⌫|-⌫|--|------||----|--|
Que delan l espernum	--|-||-|-⌫-|-----|
Elsoleil enuertéd	-|-----|-|------|
Sicum estespruuédEsil di	-|--|--|--------||--|-|
aspl us urs	-|--⌫--⌫--|
Queilsacentbe nsun	--|-|-----|--⌫|--|
cursEsacezsen zengan	---||----|---⌫|----|
Lalun e ratsu nan .	-|---⌫|--|--⌫|-||
Ccc.cinquanteiurs E	---|--------|---||
.i iii.ad e nsumcurs	--⌫---|-|-⌫|--|---|
Gerlanddit	------|--|
Parueir ensun e scrit	--|---|-|--|-⌫----|
quintcapit ele	----|-----⌫--|
Quil faitde s unliuere	-|-|---|-|-⌫-|-----|
Ceosuntle sentersiur s	--|---|--⌫|-----|---⌫|
Quëeleadensuncurs	---|--|-|-|--|---|
Mais iliadhurete s	---|-||-|------⌫|
Dunt fa imes parr aisuns	---|--⌫---|--|-⌫-----|
Lesemboli smeisuns	--|------⌫-------|
Gerlant dit	------|--|
En cel meme escritDicestn etraitera i	-|--|---|-----||----|-⌫|--------⌫|
Kar nul mesternenai	--|--|-----|--|-|
Gerla nd en additétE	-----⌫-|-|-|-----||
ase zes clariét	---⌫|--⌫-------|
DesepactestruuerE cum le s d euumgu arder	--|------|-----||--|--⌫|-⌫---|--⌫----|
Unzeiurzadenlan	---|---|-|-||-|
Delsol ail senzengan	--|---⌫--|---|----|
enlan nen ad	-||-|--|-|
Qu elalunefurmatE ces	--⌫|-|---|-----||--|
i urz apeluns	-⌫--|------|
Epactes p arraisuns	------|-⌫-|------|
Par .xix .	--|----⌫|
Elurpleners cursfu nt	|--|------|---|--⌫-|
Li primersans no ut	-|------|--||-⌫-|
Sicum d itsa figure Eben	-|--|-⌫-|-|-----||--|
l e u us dirai	-⌫|-⌫-|----|
Purqueinullaiai	--|---|----||-|
Enzelc hefa lüee	--|-|-⌫--|-⌫----|
Enz en la croiz estpos ee	--|-|-|----|--|---⌫-|
Dedenz suntpar rai suns	-----|---|--|---⌫---|
Lesembolisme i ssunsElesal t	--|---------⌫-⌫----||-|---⌫|
senz engan	---|----|
Enzel dede rain an	--|-|----⌫---|-|
Quese itsalt ceoaidit	--|--⌫-|---|--|-|--|
Lade su s edescrit	-|--⌫--⌫||------|
Enpurceol euusdi	----|--|-⌫|--|-|
Que bensaiezguarni	--|--|----|-----|
Quenusguarderdeuuns	--|--|------|-----|
Les embolismeisuns	--|-------------|
Eissiesten	----|--|-|
Cum mustretsafigure	--|------|-|-----|
E tuëezorbref ment	-⌫|----|-|----⌫---|
Demunentend e ment	-|--|------⌫-⌫---|
Liprimersanno u tnule	-|------|-||-⌫-⌫|---|
Epa ctëennatur e	---⌫---|-|-----⌫|
Ka rcumentl iue ndr a it	--⌫|-----|-⌫|--⌫---⌫-⌫-|
Le epa ctequ	-|---⌫--|-|
il auer ait	-|----⌫--|
Cumelessenzengan	--|---|---|----|
uenent delp rimer	-----|--|-⌫----|
a n E ic estestdunee	-⌫||--⌫--|--|----|
Alsecunde p osee	-|-----||-⌫---|
E issiestu eirement	-⌫---|--|-⌫-------|
Cumest delc oncur ent	--|--|--|-⌫-----⌫--|
Liprimersansnou tnule	-|------|--||--⌫|---|
Lisecunzoutu ne Eceo	-|-----|--|-⌫-||--|
este nsement	--|-⌫------|
ordeine ment	-------⌫---|
Queepa ctes apellum	--|---⌫---|------|
Enlatin erai sunEoruusuoilmustr er	-|-----⌫|---⌫--||-|--|---|-----⌫-|
Cumentdeuez	-----|----|
Les epa ct espernez	--|---⌫--⌫-|-----|
Asregu lersiustez	-|----⌫---|-----|
Duntci d euant traitai	---|-|-⌫----|------|
Q uelunalsapell ai	-⌫-|-----|-----⌫-|
an cumeles uuntE	-|--|---|---||
cumeus lur	--|--|--|
curs funt E par iceosauerez	---|---||--|---|------|
Si que ianifaldrez	-|--|-|||------|
Quanziurzlalun e	----|---|-|---⌫|
Quant le m eis en t erat	----|-|-⌫--|--⌫-⌫---|
Itantiursauerat	----|---|-----|
Cumlinumbres tendrat	--|-|------|------|
Maissil uai t ultre	---||-|---⌫|----|
Ieter deuezles .x xx.Eceo queremai n drat	----|----|--|--⌫--||--|--|-----⌫-⌫---|
Si nusdem uster at	-|--|---⌫-----⌫-|
Q uanziurzl aluneauerat	-⌫---|---|-⌫|---|-----|
Quantlemeisenterat	----|-|---|------|
ru is ie ter	--⌫-|--⌫--|
Lereman an tguarder	-|-----⌫--⌫|------|
luneen sumcurs	---|-|--|---|
qu e.xxx.iurs	--⌫|----|---|
Maisceo deuezsauei rEben cr eire	---|--|----|-----⌫||--|--⌫---|
auentpar.iii.anz	----|--|----|--|
lurcursfunt	--|---|---|
Si cumd isl aamunt	-|--|-⌫-|-⌫|----|
Que nuspasnel auum	--|--|--|-||---|
Issicumnus solium	---|--|--|-----|
Eles anz uusdirai	|--|--|--|----|
I ssicumie osai	-⌫--|--|--⌫|--|
unzime an E eldi se nofme	-----|-||-|--⌫||----|
De iceo tr aia	-|---|--⌫-||
l u nt espruuéd	|-⌫-|--------|
Qu eissi esten	--⌫|---|--|-|
Etsacezparrai sun	-|----|--|---⌫--|
Ces epactes que	--|------|--|
Quelurcum encement E	--|--|---⌫-------||
qu elurmüement	--⌫|--|-------|
En sep t embreense rat	-|---⌫-⌫----|-|--⌫--|
Tutten s iani	--|---⌫|-|||
faldratE tutt ensuunt curant	------||--|-⌫--|---|-----|
Desque a m a rz d e	--|--||-⌫-⌫-|-⌫|
Leslunalsregulers	--|-----|-------|
De ceosaiezbenclers	-|--|----|--|----|
Puis funtas emblemen t	---|---|--⌫--------⌫|
D e sq uealcumenceme nt Uels pristrent	-⌫-⌫|-⌫-|-|---------⌫-||--|--------|
Iss icurenttuzi urs	---⌫|-----|--|-⌫--|
Ta nt cumcistte nsdurat	--⌫-|--|---|--⌫-|----|
Iaceon euusfald rat	-|--|-⌫|--|----⌫--|
M aisdeicesteraisun	-⌫--|-|-----|-----|
Neferaip lusserm unNenuoilo re plus	-|----|-⌫--|----⌫-||-|---|-⌫-|---|
Altre uoil cumencer	----|---|-------|
Cestequinoctïun	|--|-----------|
E n franceiserai sun	-⌫|--------|---⌫--|
Quela nuit	--|-|---|
üe le lungur	---⌫-|-----|
Dousensu nt en uertéd	---|-|--⌫-|-|------|
Sicumestespruuéd	-|--|--|--------|
L i unsd eus est uernals	-⌫|--||--|--|------|
Li alt resautumnals	-|---⌫--|--------|
L iuernalsquantuent	-⌫|------|----|---|
Elmais demarzauentE es.xii. kalendes	-|---|-|---|----||-|----|-------|
Deauer ilque benl	-|----⌫-|--|--||
entendes Lautumnal par raisun	-------||-------|--|-----|
E nse ptembreleauum	-⌫|--⌫------|-|---|
Ees.xii.kalen des	|-|----|-----⌫--|
De octobreque benlent ende sEs acez	-|------|--|--||---⌫----⌫||-⌫---|
par uertéd	--|------|
Iloc suntalu éd	---|---|---⌫--|
Parueir ensunescrit	--|---|-|--|-----|
El tr entismecapitele	-|--⌫------|-------|
Quefait delsecunt	--|---|--|-----|
liuereEdés ols tic ï uns	-----||--|-⌫---⌫---⌫--⌫--|
I locmus te ratraisuns	-⌫--|---⌫--⌫--|------|
Liun sest estiuals	-|--⌫|--|-------|
Lia ltre s	-|-⌫----⌫|
yuernals E l	-------|||
estiualguardun	------|------|
E niuigparraisunLiuerna l s	-⌫|---|--|-----||------⌫-⌫|
en uertéd	-|------|
Ende ce mb reestposéd	-|--⌫--⌫--⌫-|--|-----|
Or uë ezparraisu n	-|---⌫-|--|-----⌫|
Qu e sai t	--⌫|---⌫|
solst icïun	-----⌫-----|
Ceo e st lis oleilsse	--|-⌫-|-|-⌫-----|-|
Quilunq ue sne	-|-|---⌫--⌫|-|
ditparfig ureE pa rdiuinecure	--|--|---⌫--||--⌫|-----|---|
Quant a ltn epotaler	----|-⌫-|-⌫|--|---|
Ne plu s bas	-|---⌫|--|
Capricornum	----------|
Duncest sol sticïum	---|--|---⌫-------|
E to rm ustrumraisun	-⌫|-⌫|-⌫-----|-----|
Quant n usguarderdeuum	----|-⌫-|------|----|
Ices ieiuneisuns	---|----------|
an t enums	-|-⌫----|
Q uelsfun t	-⌫|--|---⌫|
de uiseme nt	--⌫------⌫-|
Sulunc mentendement	-----||----------|
Or ue ̈e z par raisu n	-|--⌫--⌫|--|-----⌫|
Que m elz f ai t equinun .	--|-⌫--|-⌫--⌫||--|--||
Xii .euesche s	---⌫|-------⌫|
Mag uncealerent	---⌫---|------|
Iuneralempirie	----|||------|
Quiesta italc oncil ie	--|----⌫-|-|-⌫-----⌫-|
Que ert de	--|--|-|
marzpri meraine	---|---⌫------|
tut tensguardasse nt	--|---|---------⌫-|
Eniuine celebr assent	-|---||------⌫-----|
En ice lesemaine	-|---⌫-|------|
