#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
reïne setusez.	-----|-|-|---|
Linains d i tSetutant	-|----|-⌫-⌫|-|-|---|
Con cis t cheua li ersqu icisiet	--|---⌫|-----⌫--⌫--|--⌫|-|---|
M onte auoec	-⌫---|----|
luiseiltesiet	--|-|-|-|---|
Etietemanrai	-|-|-|-----|
Quantme ssireGauuains	----|--⌫----|-------|
a mo ltgrantfo lie	|--⌫-|----|--⌫--|
il nimonte ra	-|||-----⌫-|
Cartropuilai ncha n ge	--|---|-----⌫|---⌫-⌫-|
Secharreteac heualchanio i t.	-|-------||-⌫----|------⌫-⌫-|
Mesuaquelpart	--|-|---|---|
quetuuoldr as	--|-|-----⌫-|
la outuiras.	-|-|-|----|
al auoie sem et ent.	|-⌫|---|-|-⌫--⌫---|
Cilch eualche	--|--⌫------|
cilduicha rretent	--|--|---⌫------|
Etansanble une	-|-------|--|
u oietindrent.	-⌫--|--------|
Deb asues pre aun	-|-⌫-|---⌫--||-|
ch astel uindrent	--⌫----|-------|
Etcesachie z quelicha tiax	-|-|------⌫|--|-|---⌫---|
Estoit moltric h e s	-----|---|---⌫-⌫-⌫|
etmo ltbiax.	-|--⌫-|----|
Tui ttroi antrentpar	---⌫|---|------|--|
une porte.	--|-----|
D elcheua lierque cil	-⌫-|-----⌫---|--|--|
Sorla ch arrete semeruoillent	--|-|--⌫-----|-|----------|
Les genz mesmienanc oso illent	--|---|--|--||-|-⌫---⌫-----|
hui entpetitetgrant	---⌫--|----|-|----|
E tli ueillar t etlianfant	-⌫|-|-------⌫|-|-|-----|
Parm ileruesa grant hui	----⌫|-|---||----|--|
Sotmo ltli che ualiersdelui	|-|--⌫-|-|---⌫------|-|--|
ui l enieset des p it	--⌫-⌫----|-|---⌫-⌫-|
Tuit dem andentAqu el ma rt ire	---|---⌫-----||--⌫-|--⌫--⌫--|
S era cis t	-⌫--|---⌫|
cheual iersranduz	------⌫---|-----|
Iertil escorchiezou	---|-|---------|-|
ars anfeud es p in es	--|-|--||--⌫-⌫--⌫-|
letraïnes	-|-------|
Aquelforfet fuiltrouez	|---|-----|-|-|-----|
Esti ldelarr ec i nprouez	--|-⌫|-|----⌫--⌫-⌫|-----|
E st il murtriersouchanpcheüz	-⌫-|-|--------|-|----------|
Etilnainssestadé steüz	-|-|----||--|----⌫|----|
Quil ne respontneun	-|-|-|------|-|-|
Lecheual ier ma innea	-|------⌫--|--⌫---||
EtGauuainssiutadéslen ai n	-|-------|---|----|-|-⌫--⌫|
uersunetorquito t aplain	---|--|--|--|--⌫||----|
Pardeuers lauileseoit.	--|-----|-|---|-----|
Dautrepart praerie	|----|---|------|
Etpa r delez e st oitassise	-|--⌫|----|-⌫--⌫--|-----|
La t or zsor un e	-|-⌫--⌫|--|--⌫|
roche bise	----|---|
Hauteettr anchiee contreu al.	----|-|--⌫------|-----|-⌫--|
Apréslacharretea cheual	-----|-|-------||-----|
En treGauu ains	--⌫--|----⌫---|
ded anzlator.	---⌫--|-|---|
Anl asale ont debelato r	-|-⌫|---|--|-|--|---⌫|
Une dameiseleancontree	--|--------|--------|
N auoit sibele	|----|-|---|
a nlacontree	-⌫|-|------|
Et uo ientuenirdeus puceles	-|--⌫---|----|---|------|
Auoeq ues li gentes	-----⌫--|-|-----|
et be les .	-|--⌫---⌫|
Tot maintenant	--|---------|
queeles u irent	--|---|-⌫----|
Monseig nor Gauuainsili firent	-------⌫--|------|-|-|-----|
G rantioieetsi le	-⌫---|---|-|-|-|
salüere nt	--------⌫-|
Etdelcheualierdema nderent	-|--|--------|----⌫------|
Nainsq ua cistcheualiers mesf et	----|-⌫||---|---------|----⌫-|
mainnes comecontret	------|---|------|
lo r an uialtreisonrendre	--⌫|-|----|-----|-----|
Einzfe tle cheual ie rdes cendre	---|--⌫|-|------⌫--⌫|---⌫-----|
D elac h arretesisan ua	-⌫|-|-⌫-⌫-----|-||-|-|
Nesorentou il s an	-|-----|-|-||-|
Et me ssireGauuainsdesc ent	-|--⌫----|-------|----⌫--|
Atantuienentuasletauant	|---|------|-----|----|
Quianbed eu slesdesarmerent.	--|-----⌫--⌫|--|-----------|
Deu sma ntiaxueirsquil af ublerent	---⌫|--⌫----|----|-|-|--⌫-------|
Fist la dameiseleaporter.	---|-|--------|-------|
Qua ntilfu	---⌫-|-|-|
oredesoper	--|-|----|
Limangier sf ubien	-|-------⌫|-⌫|---|
La dameisele sist d elez	-|--------|---|-⌫---|
Monseignor Ga uuai n a u mangier.	---------|--⌫----⌫|-⌫|-------|
Por neantuolsiss entchan gier	--|----|-------⌫--|----⌫---|
Lo r ostelpo rquerre m eillo r	--⌫|----|--⌫|-----|-⌫-----⌫|
Car mo ltlor i fistg rantenor	--|--⌫-|--||---|-⌫---|---|
Etconp eignie	-|----⌫-----|
boeneetbele	----|-|---|
Tote lanuitladam eisele.	---|-|---|-|---⌫------|
Qant il orent	---|-|----|
as sezueillié	--⌫--|-------|
Duilitfu rentapareill ié	--|--|--⌫---|--------⌫--|
Anmilas alehaut et lonc	---|-|-⌫--|---|-|---|
Etseno tunautre	-||-|-⌫|-|----|
P lusbel desautresetplus riche	-⌫--|--|--|-----|-|---|----|
Ca rsiconlic ontesafiche	--⌫|-|--|-|-⌫----|-----|
Iliauoittot	-||----|--|
Quanse u ̈stdeui ser an	-|-|--⌫-⌫--|----⌫--|-|
Quant d elcouchierfutans etleus	----|-⌫-|-------|-|---|-|---|
L a damei sele pristandeus	-⌫|-----⌫---|----|-----|
Ses ostesquele	--|----|-|--|
ot ostelez	-|------|
Deusl izmol tbiaxetlons etlez	---|-⌫-|---⌫|---|-|---|-|--|
Lor mostre etditA oésu os	--|-----|-|--||---|-⌫-|
S ont fet ci stduilit ça defors	-⌫--|--|--⌫-|--|--|--|-----|
celuiquiestdela	----|--|--|---|
Negistquidesserui ne la	-|---|--|-------|-|||
Nefupas fez ci st auostre ués.	-|-|--|--|--⌫-||-----|----|
Licheualie rs lire spontlués	-|--------⌫-|-|--⌫----|----|
lacharreteuint	-|-------|---|
Q uadesdai ng eta despit tin t	-⌫||------⌫-|-||-----|---⌫|
Ladesfansea	-|-------||
lad ameisel e	-|-⌫-------⌫|
Ditesmo ifet	----|--⌫|--|
il l aquerele	-|-⌫|------|
Porcoicistlizest ande sfanse.	--|--|---|--|--|-|--⌫------|
Ce leres p on d i pasnepa nse	--⌫-|---⌫-⌫--⌫-⌫|--|-|--⌫--|
Quienereapans ee	--|-|--|-----⌫-|
Auosfe tele net aint	|--|--⌫|--|-|-⌫---|
Del demander ne	--|-------|-|
delanque rre	-||-----⌫--|
Honiz estcheualiers	----|--|---------|
Puisquil a	---|-|-||
estéan charrete	----|-|-------|
Sinest pasdro iz quilsantr emete	-||--|--|---⌫-|-|-||----⌫----|
uosmauez req uise	--||---|---⌫---|
Ent esmesce que	---⌫----|-|--|
p orroittost	-⌫-----|---|
con parer.	---⌫-----|
Lan ne lam i efet	|-|-|||-⌫-⌫|--|
S ir ichemantpo ruoscolchier.	-⌫|-⌫-------|--⌫|--|--------|
u osleconpa r rï ez molt	-⌫-|-|-----⌫-⌫---⌫-|---|
Se iluosuenoitnesanpan s.	-|-|--|-----|--|-|---⌫-|
-Ceue rroizuos	|-|--⌫----|--|
-Ieluerrai-uoir e.-Ori parra.	|--|-----||----⌫-||-||-----|
saiqu ileconparra	--|--⌫|-|-------|
cheu ali er sparmon chief.	----⌫---⌫--⌫|--|--|-----|
Cui quil enuit	--|-|-|----|
necuisoitgrief	-|--|---|----|
Ancestuilituoelgeie sir	-|-----|--|---|-|--⌫--|
Etr eposertotaleisir.	-|-⌫-----|--||------|
Maintenantquilfudeschauc iez	---------|-|-|-|--------⌫--|
Ellitq ui fulons ethaucie z	-|--|-⌫-|-|---|-|------⌫|
Plusdesautre sde usde m ieaune	---|--|-----⌫|--⌫-|--⌫-⌫-|---|
Se couchesoz unsamit iaune	-|-----|--|-|----|----|
Uncouertord ores t elé.	-|-------||-|--⌫-⌫----|
Ne stoitmiedeueirpelé	|-⌫----|--|-|---|----|
La forreür eainz	-|--------⌫|---|
ertde sables	--|-|-----|
Bien fusta	---|---||
o ésu nr oime tables	-⌫--|-⌫|-⌫-|--⌫-----|
Li co uertorsquilot sorlu i	-|--⌫------|-|-|-|--|--⌫|
Li liz n e fumiedeglui	-|--|-⌫|-|--|-|---|
paillene deuieznates.	-----|-|-|---|-----|
A mie nuit deuersles late s	|--|---|-|---|--|----⌫|
uintunelancecomefoudre	---|--|----|---|-----|
Le ferdesoz et	-|--|----|-|
cuidacoudre	----|-----|
Lecheualierparmilesflans	-|--------|----|--|----|
Au c ouert oretasdrasblans	-|-⌫-----⌫-|-|-|---|----|
Etaulitlaouil	-|-|--|-|-|-|
E nla lance unpan ona uoit	-⌫|-|----|-|---⌫-|-⌫---|
Quiestoit tozdefeu espris	--|-----|--|-|--|-----|
El couert ore st lifeuspris.	-|------⌫-|-⌫-|-|---|----|
Et esdrasetel	-|-|---|-|-|
lit amasse.	--||-----|
Etli fer sdelala ncepa sse	-|-|---⌫|-|-|--⌫--|--⌫--|
Au cheualier lez lecosté	-|--------|--|-|-----|
Si quil li a delcuirosté	-|-|-|-||--|---|----|
n es tmiebleciez.	|--⌫|--|-------|
E tlicheualier s	-⌫|-|---------⌫|
sestdrec iez	|--|----⌫--|
S estaintlefeu et p rant lalance	|------|-|--|-|-⌫---|-|----|
Enmila s alela	---|-|-⌫--|-|
Nepor cesonlitnegue rp i	-|--|-|--|--|-|---⌫--⌫|
Einzser ec ouchaetdormi	---|-|-⌫--⌫----|-|----|
To t autresi	--⌫|------|
se ürem ant	--⌫-----⌫--|
Comilot fet	--|-|-|--|
pre m ieremant.	---⌫-⌫--------|
Landemainparmatinauior	|-------|--|----|-|--|
La d ame iseledelat o r	-|-⌫---⌫----|-|-|-⌫-⌫|
Loro tfetmesse	--|-⌫|--|----|
apareillier	----------|
Ses fist le uer	--|---|--⌫--|
etes ueilli er.	-|--⌫------⌫--|
Quan t an lorotmesse chantee	----⌫|-|--|-|----|------|
Asfe nestres deuerslapree	-|--⌫------|-----|-|---|
li che uali er spansi s	-|---⌫----⌫--⌫|-----⌫|
sor lacharreteots is	--|-|-------|-|-⌫-|
Et esgardo ita u alles	-|-------⌫-|-⌫-⌫-|--|
Alautre fene stre	||----|----⌫---|
Estoitlap uce leue n ue	-----|-|-⌫---⌫-|--⌫-⌫-|
Silio tacons oiltenue	-|||-⌫||----⌫--|----|
Messir eGauu ain anreq uoi	------⌫|----⌫--|-|---⌫--|
Une piec e n esai de quoi	--|----⌫|-⌫|--|-|---|
Nes aidonles	-|-⌫-|--|--|
p ar oles furent.	-⌫--⌫---|------|
Mestantsorlafenestre	--|---|--|-|-------|
Q uau alles	-⌫|--⌫-|--|
prezlezla ri uiere	---|--|-|--⌫----|
Anuiren t porte r	-|-----⌫|-----⌫|
Sauo i tdedanzun c heu ali er	|---⌫-⌫|-----|-|-⌫---⌫---⌫-|
Etdelez o td uelg ra nte t	-|----|-⌫|-⌫--|-⌫--⌫-|-⌫|
Q uetr oisdameiselesfeiso ien t.	-⌫-|--⌫--|---------|-----⌫---⌫-|
Aprés labiereuen i r uoie nt	-----|-|----|---⌫-⌫|----⌫-|
Uner ote e t deuant	--|-⌫--|-⌫|-----|
cheu alier squimenoit	----⌫-----⌫|--|-----|
Unebeledamea s enestre.	--|---|---||-⌫-------|
Licheua l iersde	-|-----⌫-⌫---|-|
lafenestre	-|-------|
C onutquecestoitlareïne	-⌫---|--||-----|-|-----|
Delesg arder on q ues nefine	-||---⌫----|--⌫-⌫--|-|---|
Moltantenti s et moltliplot	---|-------⌫|-|---|-|---|
Aupluslongueman tqueilpo t.	-|---|---------⌫|--|-|--⌫-|
Et quant plus nelapot ueoi r	-|----|---|-|-|--|----⌫|
Siseuostiuslessi ercheoir	-|-|---|--|-----⌫-|-----|
Et tr ebuchieraualsoncors	-|--⌫-------|---|--|---|
Etia estoitdemisdefors	-|-|-----|----|-----|
QuantmessireG auu a insleuit	----|------|-⌫---⌫-⌫--|-|--|
Selt rai tarrieresse lidit	--|-⌫---⌫|-------|-|-|--|
Merci sire soiezanpes	----|---|----|-|--|
PorDeu n eluospa nseziames	--|--|-⌫-|--|--⌫---|-|--|
Queuosfaciezteldesuerie	--|--|-----|--|-------|
Agrant tor th a e z uos t re uie.	|----|---⌫|-⌫-⌫-⌫|---⌫-⌫-|---|
adr oitfetladam eisele	|--⌫--|--|-|---⌫-----|
D onnie rt	-⌫-||--⌫-|
seüelano uele	----|-|--⌫---|
P artotdesamaleür té	-⌫-|--|-|-|-------⌫--|
D esquilaencha r rete	-⌫-|-|-||-|---⌫-⌫---|
u oloirquil fustoc is	-⌫----|-|-|---|--⌫-|
Que mialzualdro it ilmorzqu e uis	--|----|------⌫-|-|---|--⌫|--|
S au ie estdesorme ́sh onteuse	-⌫|-⌫-|--|-------⌫-|-⌫------|
Etdes piteet ma leü reuse.	-|---⌫---|-|--⌫----⌫-----|
At an tlorarmes	|-⌫--⌫|--|----|
demande re nt	-------⌫--⌫-|
Li cheua l ieretsis armerent.	-|-----⌫-⌫--|-|-||--------|
Etlorsc ortei sie et	-|---|-⌫-----⌫--|-|
Fistladamei selee tlargesce	---|-|-----⌫---|-⌫|-------|
Qu equantele ot	--⌫|----|--|-|
Le cheualier et ranponé	-|--------|-|-------|
donacheualet	---|-----|-|
Paramore t	--|---|-⌫|
par acordanc e.	--|--------⌫-|
Lich eua lier congiéont pris	-|--⌫---⌫---|------|--|---|
Com ecortoi setbienapris	---⌫|------⌫|-|---|----|
A la dameisele et sil	|-|--------|-|-||
Salüeep uis	------|-⌫--|
sis anuont	-||-|---|
Siconla r out eale ranuir ent	-|--|-|-⌫---⌫|---⌫|-|---⌫--|
Mess i fo rsdelchasteliss irent	--|-⌫|--⌫-|--|------|---⌫----|
Conquesnus	|-----|--|
nesiaparl a.	--||-----⌫-|
Isnelemants	---------||
a nuont parla	-⌫|---|--|-|
reïne orentu eüe.	-----|----|-⌫----|
Nontpaslaroteaconseüe	|--|--|-|---|--------|
Q uils analoient esle ssié.	-⌫|-||-|------|----⌫-----|
De sprezantren t an un	--⌫|---|------⌫|-|-|
Et trueuent u nchemin ferré	-|-------|-⌫|-----|-----|
S ontt an tparl aforesterré	|--|-⌫--⌫|--|-⌫|-----|----|
Qu ilp otestre primedeior	-|-|-⌫-|----|----|-|--|
Etlorsontenun quarrefo r	-|---|--|-|-|--------⌫|
Un e d am eisele	--⌫|-⌫--⌫-----|
Silont anbeduisalüee	-||--|------|------|
Et cha s cu nsl irequie rt et prie	-|---⌫-⌫--⌫-|-⌫|------⌫-|-|---|
l eset q uelelor die	-⌫|--|-⌫|--|--|--|
Oula reïneanestmenee.	-|-|-----|-|--|-----|
C elerespont comesenee	-⌫--|------|---|----|
Et ditBienuo ssau roie metre	-|--|---|--⌫|---⌫---|----|
porrïezuo sprometr e	-------|--⌫|-------⌫|
Eldroit chemin	-|----|-----|
etanlauoie	-|-|-|---|
Et lat erreuosnomeroie	-|-|-⌫---|--|-------|
c heualierqu i	-⌫-------|--⌫|
lenm ainne	|-|-⌫----|
Mesm oltic ouendroit g rantpainne	--|-⌫--||-⌫--------|-⌫---|-----|
Qui anlate rreantrer	--|-|-|--⌫--|-----|
u o ldroit	-⌫-⌫-----|
Ei nzquili fust molt se doldroit.	--⌫-|-|-||---|---|-|--------|
E tmessire Gauua insli dist	-⌫|------|-----⌫--|-|---|
Dameiselesi	--------|-|
Dex maïst	--||----|
Ieuosanpromet	-|--|-|-----|
Queie metean uo stre	--|-|---|-|--⌫---|
Quantuospleir atotmonpooir	----|--|-----⌫|--|--|----|
Mesq u e uosm an ditesl e	--|-⌫-⌫|--||-|----|-⌫|
quifusor la cha rrete	--|-|--|-|---⌫----|
Ne ditpasqu e il lan	-|--|--|--⌫|-||-|
Tot sonpoo ir	--|--|---⌫-|
einçois afiche	-------|-----|
Comec ilc ui	---|-⌫-|-⌫-|
Am orsfe t	--⌫--|--⌫|
E tpui ssantet ha rdipar t ot	-⌫|---⌫----|-|--⌫--|--|-⌫-|
Quesanzar estetsanz redot	--|---|--⌫--|-|---|----|
Quanquele u oldralipromet	-----|--|-⌫----|-|-----|
Ettotan sonuoloir se met.	-|--|-|--|-----|-|---|
Doncl e uosdiraigefet e l e.	---|-⌫|--|----|-|--|-⌫-⌫-|
L orslotconteladamei sele	-⌫--|--|----|-|-----⌫---|
Par fo iseigno rMe leaganz	--|--⌫|------⌫|--⌫------|
Un scheuali ersmoltforz et	--⌫|-------⌫--|---|---|-|
roide Got t e l	--|-|---⌫-⌫||
Ets i laelre ̈a ume mise	-|-⌫|||-|--⌫--⌫--|---|
Donnus estrangesneretorne	--|--|--------|-|------|
Mesparfo rce	--|--|--⌫--|
An seruitumeet a n essil.	-|--------|-|-⌫|-----|
E t lors lirede ma ndent	-⌫|---|-|----⌫--⌫----|
Dameisele ou	--------|-|
est celeterr e	--|---|----⌫|
Ouporro ns noslauoieque rre	-|-----⌫-|--|-|---|---⌫--|
Celeres pont	---|---⌫---|
Bi enl esau roi z	--⌫-|-⌫|---⌫---⌫|
M e sce sachiezmo lt	-⌫-⌫|-|------|--⌫-|
Anc onbrierset	---⌫-------|-|
felonst respas	-----|-⌫-----|
Que dele gie rniantre a n	--|-|--⌫---⌫|||----|-⌫|
Se parlecon g ie ́ leroi	-|--|-|---⌫-⌫--⌫|-|--|
B adema gusano n.	-⌫-----⌫--||--⌫-|
Si pue tl ena ntrer tote uoies	-|---⌫||-|-⌫----|----⌫----|
mol t p erill euses uoies	---⌫|-⌫-----⌫----|----|
Etp ar deusm olt felonsp assages.	-|-⌫-|---|-⌫--|-----|-⌫-------|
Li u ns a nonLI	-|-⌫-||--|-|
P O NZEu AGES	-⌫-⌫-|--⌫---|
quesoz eu eestlipo nz	--|--|--⌫|--|-|--⌫-|
Ets a deleu e iusqu a ufonz	-|||-||--⌫|----|-⌫|---|
Autantdesozcomedesus	-----|----|---|----|
Nedeçamoin sned ela	-|----|----⌫|-|-⌫--|
Einzestlipon ztotdroit	---|--|-|---⌫|--|----|
Et sina que	-|-|||--|
De léetautretantd espés.	-|--|-|--------||------|
Bienf et a	---|-⌫-||
refusercistme s	------|---|--⌫|
Etsest c e li moins perilleu s	-||--|-⌫|-|----|--------⌫|
Mesil a assez	--|-||----|
antre deus	----|---|
Auan turesdoni emet es.	----⌫----|--|-⌫|-|-⌫--|
Liautr esponzestplus m alués	-|----⌫-|---|--|---|-⌫-----|
E test plusperilleusa ssez	-⌫|--|---|--------|-⌫---|
Qu ainz p arhome ne	-|---|-⌫-|---|-|
Qu ilestcom	-|-|--|--|
espeetranchanz	----|--------|
Et porc etrestotesl esgenz	-|--|-⌫|--------|-⌫-|---|
LapelentLE	|------|-|
Lauéritéuos aicontee	-|-------|--|-|-----|
Detantcon dir euosanpuis.	-|---|--|---⌫|--|-|----|
Etcilli redemandentpuis	-|--|-|----------|---|
Dam eiseleseuosdaig niez	---⌫-----|-|--|----⌫---|
uo iesnosanse i gn i ez.	--⌫--|--|----⌫-⌫--⌫-⌫--|
Etladameiselerespon t	-|-|--------|------⌫|
uezci ladroiteuoieauPont	--|-|-|-----|---|-|---|
D e sozE ueet	-⌫-⌫--|-⌫-|-|
c ele dela	-⌫--|---|
Droit auPontdelE spe eanua.	----|-|---|-||-⌫---⌫|-|--|
adit li cheua lier s	|--|-|-----⌫----⌫|
c harretie rs	-⌫--------⌫-|
Sireieuospart sanzrancune	---|-|--|---|---|------|
P renezdecesdeusuoies l	-⌫----|-|--|---|----||
Etla utrequite me c l amez	-||-⌫---|----|-|-⌫-⌫---|
Prenez celi quemia lzamez.	-----|---|--|---⌫-|----|
fet messireGauua in s	--|------|-----⌫--⌫|
Mo lt estperilleuset greuains	--⌫-|--|--------|-|-------|
Li unsetl iaut res	-|--|-|-⌫|---⌫--|
Delp randrene	--|-⌫-----|-|
puisestresages	---|----|----|
I en esai preuleque l	-⌫|-⌫|--|---|-|---⌫|
iepraig ne	-|-----⌫-|
estpa sdroizqu an m oi	--|--⌫|----|-|-|-⌫-|
Q uantpa rtimanau ez l egeu	-⌫---|--⌫--||-|--⌫-|-⌫|--|
Au Pontde soz Euemeue u.	-|---|--⌫--|--|-|--⌫-|
- Donc estil droi zqueiem	|---|--|-|----⌫|--|-||
A u Po ntdel Esp ee sanz n oise	-⌫|--⌫-|-||---⌫-|---|-⌫---|
Fetlautresetie m i ot roi.	--||-----|-|-|||--⌫---|
Atantsedeparten ttuittroi	|---|-|--------⌫|---|---|
S aliuns l	||-|--||
autrecomande ́	----|-------⌫|
Mol tdeboneire mantaDé .	---⌫|---------⌫---||---⌫|
Etquantelealerlesanuo it	-|----|--|---|--|-|--⌫-|
SiditChascuns deuosme doit	-|--|-------|-|--|-|---|
Unguerred on a mongrérandre	-|-------⌫-||--|---|-----|
Queleore queieluoldraipra ndre	----|--|--|--|------|---⌫---|
Garde znelo bli ̈ ez	-----⌫|-||-⌫---⌫-⌫-|
- Nel fe rons nosuoirdolcea mie	|--|--⌫---|--|---|----|-⌫--|
F ont liche u alier anbedui .	-⌫--|-|---⌫-⌫----|-------⌫|
Atant sanuac hascun s parlui	|---||-|-|-⌫------⌫|--|--|
Etcildel a charretepans e	-|--|-|-⌫|-------|----⌫|
Con cilqui forcenedesfanse	--|--|--|----|-|-------|
Nauers Amorsquile	||---|----|--|-|
Etsespanserse stde tel	-|--|------|-⌫-|-|--|
Q uelu imeïsmes e n obli e	-⌫-|--⌫|-------|-⌫|----⌫|
Ne set sil e stous	-|--||-|-⌫-|-||
Ne ne lima nbre deso nno n	-|-|-|--⌫---|-|--⌫|--⌫|
armezo un on	----|-⌫|-⌫-|
Ne set ouuanesetdonuient	-|--|-|-|-|--|--|----|
Derien nule n e li	-|---|---|-⌫|-|
Forsdune seule et porceli	---||--|----|-|--|---|
Amisle sautresenobli	|--|--⌫|-----|-|---|
A celese ulepanse tant	|---|--⌫--|----|---|
Quilnot neuoit	-|-||-|-|---|
ner iennantant.	-|-⌫--||------|
c heuaxm olttost	-⌫----|-⌫--|---|
ue tmieuoie tort e	--⌫|--|---|----⌫|
Mesla meilloret la plus droite	--|-|------|-|-|---|-----|
Ettant pa r	-|---|--⌫|
auantur ees ploi te	-------⌫|--⌫----⌫-|
lande l a por té.	----|||---⌫---|
Anceleland eauoit	-|---|----⌫|----|
Etdautre part armezestoi t	-||----|---|----|-----⌫|
Unscheualierqui legardoit	--|--------|--|-|------|
dame isele osoi	----⌫----||--|
uen ues urun palefroi.	---⌫-|-⌫-|-|--------|
I aestoitpresdenone basse	-⌫|-----|---|-|---|----|
N ancorn es eremuet	|----|-⌫|-⌫|-----|
Licheu aliersdeso npanser.	-|----⌫-----|-|--⌫|------|
Li cheuaxuoit et	-|-----|---|-|
belet cler	--|-|---|
Leguéquimoltgrant soifau oit	-|---|--|---|----|---|--⌫--|
uersl euec ortquant il lauoit.	---||--|-⌫--|----|-|-|----|
Etcil quifu	-|--|--|-|
d elau trepart	-⌫||--⌫--|---|
Ses c rie C heua l iersgegart	|--⌫-⌫--|-⌫----⌫-⌫---|-|---|
Legue ́ sileuoscontredi.	-|---⌫|-|-|--|--------|
Cilnelanta ntnene loi ̈	--|-||----⌫-|-|-||--⌫|
Ca rsespan sersne	--⌫|--|---⌫---|-|
uoies sesleissa	----||-------|
uersleue molttost .	---||--|---|----⌫|
Ci lliescriequeill ost	--⌫|-|-----|--|-||--|
Loingdelgue ́si f e raque	----|--|---⌫|-|-⌫-⌫-|--|
l ipassages.	-⌫|--------|
Etiu re le cuerdesonuantre	-|--⌫-|-|---|-|--|-----|
Qui lle ferrase	-|-⌫|-|----|-|
ili antre.	-||-----|
Mes licheualiers ne l	--|-|---------|-||
tiercefo iz liescrie	-----|--⌫-|-|-----|
C heualiersnantre z	-⌫--------||-----⌫|
mie elgué	--|-|---|
Sormadesfansee ts or	--|-|-------|-⌫|-⌫-|
Queparmo n chiefi e	--|--|--⌫|----|-⌫|
uosfe rrai	--|--⌫---|
Sit ostcomeelguéuosuerrai.	-|-⌫--|---|-|---|--|------|
