asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
ai dede ssi e ns	--⌫-|--⌫|--⌫-⌫-|
baronsna ses cheual iersnas es hommesne	-----|||--|------⌫---|||-⌫-|-----|-|
bonesuillesdo nt	----|-----|--⌫-|
plainsist.	--------||
etc e n es toitpas demerueillecarce	-|-⌫||--⌫---|--|-|--------|--|-|
fesoit-ilparleconseil	-----||-|--|-|------|
d elabonemerequiestoitauec li dequi	-⌫|-|---|---|--|-----|---|-|-|--|
co n seililouuroi tetdespreudesh o m es quiliesto ien t	--⌫-⌫---|-|------⌫|-|--|------|-⌫-⌫-⌫-|--|-|----⌫---⌫|
demouré du t ensson	-------|-|-⌫--|--|
pereetdute mpsso nayoul .	---|-|-|--⌫--|--⌫|----||
choses d esusditesauintain sicommedieu	-----|-⌫---|----|----|---⌫-|----|---|
uoult qu e	----|--⌫|
unegran tmaladi e prist	--|----⌫|------⌫|----|
lero yaparisdontil	-|--⌫||----|---|-|
fu atelmeschiefsi commeil le	-||--|-------|-|----|-|-|
lun ed esdam esqui	|--⌫|-⌫-|---⌫-|--|
l e gardoitli	-⌫|------|-|
uoul oit traireledrap	----⌫--|-----|-|---|
sus leuisageetd isoit	--|-|-----|-|-⌫----|
queilestoitmo rt .	--|-|-----|--⌫-||
et uneautredamequi estoitalau tre p art	-|--|----|---|--|-----|||--⌫--|-⌫--|
duli tn el isouffri mieaincoi s disoit	-|--⌫|-⌫|-⌫|------|--|------⌫|-----|
que ilauoitencore l ame	--|-|----|-----||--|
comment queil	-------⌫--|-|
oist le descort	---|-|------|
de ces deux	-|--|---|
dames n ostreseig ne uro uuraenli	----|-⌫----|----⌫--⌫-|-⌫---|-|-|
etli enuoia sante	-|-|-----|----|
tant o st.	----⌫-⌫-||
estoitesm uyzetn epouoit	-----|---⌫--|-|-⌫|-----|
ilrequ ist qu eenlidonnastl a	-|----⌫--|--⌫|-|-|------|-⌫|
cro izetsi fi st	---⌫-|-|-|--⌫-|
l orsl a roynesame reoy	-⌫--|-⌫|----|-|--⌫-|-|
direquela paro le	---|--|-|----⌫-|
liestoitre uenu e et elleen	-|-----|--⌫----⌫|-|---|-|
fistsigr an tioie comm eelle	---|-|--⌫--⌫|---|----⌫|---|
etqua ntellesotque ilfu c roisié	-|---⌫-|---|--|--|-|-|-⌫------|
ainsicomme il	----|----|-|
meisme slecontoi t elle	------⌫|-|------⌫|---|
menaaussigra ntdeul comme	---|----|---⌫-|---|----|
se elleleue ist m o rt.	-|---|-|--⌫--|-⌫-⌫-||
apres ceque	----|-|--|
il fucrois ié secroisierentrobert leco nte d	-|-|-----⌫--|-|----------|-----|-|--⌫--||
a rtoisauph ons	-⌫----|----⌫--|
conte depoitier sc harlesc ontedaniou	----|-|-------⌫|-⌫-----|-⌫---||----|
quipuis fu roy	--|---|-|--|
d esezilet ou ztroizfreres	-⌫|-----|-⌫--⌫|----|-----|
croisa hugueducd e bo u rgoingneguillaum econtedeflandresfre re	-----|----|--|-⌫|--⌫-⌫-------|--------⌫|----|-|-------|---⌫-|
guion deflandres n ouuellement mortlebonhue con te de	----|-|-------|-⌫----------|---|-|--|--|---⌫-|-|
saint polmonseigne urgau chierson	----|--|--|------⌫-|---⌫----|--|
ne ueuqui moultbiensema intintoutreme retmoult	--⌫--|--|----|---|-|--⌫-----|-------⌫|-|----|
eust ualuseileus t uescu .	---|---|-|-|---⌫|----||
siifure ntle	-||----⌫-|-|
lam arch e	-|-⌫----⌫|
e t monseigneur	-⌫|--|-------|
huguelebru nsonfilz	----|-|---⌫|--|---|
l econte des aleb ruch e	-⌫|----|-|-⌫----⌫----⌫|
mon seigneurgobert daprem ont so n	--|-------|-----||-----⌫--|--⌫|
frer een quicomp aingnie	----⌫|-|--|----⌫------|
i eiehans eigneur deioinuillepassameslamer en	-⌫|----|-⌫------|-|--------|-------|-|--|-|
unene fq ue	--|--⌫|-⌫-|
no us lo u ame spour	--⌫-|--⌫-⌫---⌫|---|
nousest ions cousins.	---|---⌫---|------||
etpa ssam es	-|--⌫----⌫-|
delaatoutuin tcheuali ersdo nt il	-|-|----|---⌫|-------⌫--|--⌫-|-|
estoit lidisi e s mee tiemoy	-----|-|----⌫-⌫-⌫-|-⌫|-|--|
disies me .	------⌫-||
a pasques enl an	|------|-||-|
de gracequelemilliairecouroit	-|----|--|-|--------|------|
parmil deuxcenzq uarante huitmand e	--|--|---|---|-⌫------|---|----⌫|
-iemeshomes	|-|--|----|
e tmesfieuez aioinuil l e .	-⌫|--|-----||-------⌫-⌫||
etlauegil e	-|-|-----⌫|
dela ditepasqueque	-|-|---|-----|--|
gent que ie auoiemandé estoient uenufu nez iehan	---|--|-|----|-----|-------|---|-|--|----|
monfilzsiredexm	--|---|---|-|-|
dema premier ef emme qui fus eurlec onte	-|-|-------⌫|-⌫---|--|-|-⌫--|-|-⌫---|
de gr ant pr e .	-|--⌫---⌫--⌫||
toute celesemainefumesen festes	----|---|------|----|-|-----|
eten quar ollesque	-|-|----⌫----|--|
mon frere le	--|----|-|
uau quelour etlesautres richeshom esquila	---⌫------|-|--|-----|-----|---⌫-|--|-|
estoient donnerenta	-------|--------||
manger chasc un lunapres	-----|-----⌫-||-|----|
l autrele lun di le mardilemerc redi	|----|-|---⌫-|-|----|-|----⌫---|
i eleu r diz l e	-⌫|---⌫|--|-⌫|
uendrediseigneursie men uoizoutremer	-------|--------|-||-|---|-------|
sce seiereuendre.	--|-|-|-------||
oruenezauant .	-|----|----||
s e ieuousai deriensme sfaitie le	-⌫|-|---|-|-|----|--⌫----|-|-|
uou s deff era i	---⌫|----⌫---⌫|
l un parlautr e	|-|--||----⌫|
si comme ieaiac coustumé	-|----|-|-|--⌫--------|
ceulzquiuourrontriensdemanderneamoy nea	----|--|-------|----|-------|-||--|-||
d effiz parl e sgartdet outl ecommu nde	-⌫----|--||-⌫----|-|-⌫--|-⌫|-----⌫|-|
etpourcequeien eusse	-|---|-|--|-||----|
point demport ie me leuaiduconseilet	----||-----|-|-|----|-|------|-|
entingqu a nqu eilrapo rt erentsanzdebat.	-|---|--⌫-⌫---⌫|-|----⌫--⌫----|---|----||
pourceque ie	---|-|--|-|
uoul oie porternulzdeniers atortiea lel essier a	----⌫--|-----|---|------||---|-|-⌫-|-⌫-----||
mez enlorreinnegrantfoisond emat erreengage	--|-|--------|----|-----|-⌫|-|-⌫---|-|---|
et sachiez queau iour	-|------|--|-|---|
p artid enostre	-⌫---|-⌫|-----|
paizpour aleren la	---|---|---|-|-|
terr es ainte	----⌫|-⌫----|
ie ne t eno iepas	-|-|-⌫---⌫-|--|
milli ureesdeterrecar ma damem a	--|--⌫----|-|----|--|-|---|-⌫|
m ereuiu oit	-⌫--|---⌫--|
alai mo ydisieme	---|--⌫|------|
de cheualiers et moytiersdeb anieres .	-|---------|-|--|----|-|-⌫------||
etces cho sesuousramen teuoi z- iepo ur	-|--|---⌫--|---|-----⌫-----⌫||-|--⌫-|
ce que sed iexnem	-|--|-|-⌫--|-||
eustaidiéqui onques nemefa illi iel	---|-----|--|-----|-|-|--⌫---|-||
eu ssesouffert apein ne par silonc	--⌫--|-------||----⌫-|--|-|---|
temps commeparl	----|----|--||
espacedesisan squ e iedem ouraie n la	-----|-|--|--⌫|--⌫|-|---⌫----|-⌫|-|
terresainte.	----|-----||
en cepointqueieappareillo ie pourmouuo ir iehan	-|-|----|--|-|----------⌫-|---|-----⌫-|----|
sir ed apremontetcont e desalebruchedepar s a	---⌫||-------|-|----⌫|-|---------|-|--|-⌫|
femmeen uoiaa	----|--⌫---||
moyetmemandaque il auoit	--|-|-|----|--|-|----|
sa besoign e	-|-------⌫|
pou ralero utr e merli	---⌫|---|-⌫---⌫|--|-|
disie smedecheual iers.	-----⌫--|-|------⌫---||
mandaq u eseie	----|-⌫-⌫|-|-|
u ousissequenousloiss onsunen efen tre	-⌫------|--|---|-----⌫--|--|-⌫-|--⌫--|
moyeti eliotroia.	--|-|-⌫|-|-----||
sagent etla moielouerent unenefa	-|---|-|-|---|-------|--|--||
marseil l e.	-------⌫-⌫||
leroy manda se sbaronsap ariset	-|--|----|--⌫|-----||-⌫---|-|
l eurfi stf aireserementquefo yetloiaute	-⌫--|--⌫-|-⌫---|-------|--|--⌫|-|------|
por teroien ta sesen fa ns se aucune ch os euenoitd e	---⌫-------⌫||--|--⌫--⌫-|-|-----|--⌫--⌫|-----|-⌫|
ill em edemanda mez ieneu ozfa ire	-|-⌫|-⌫|------|--|-|-|-⌫-|--⌫--|
pointdeser ement	----|-|---⌫----|
carienesto iep a ssonhome .	--|-||----⌫-|-⌫-⌫|--|---||
en demen tre sque ie	--⌫-----⌫---⌫---|-|
uenoieietrouuetr oishomesmorssurune	-----|-|-----|--⌫--|----|---|--|--|
charrettequeun clercau oittuez.	--------|--|-|----|--⌫--|---||
etmedistqueen l e smenoitauroy .	-|-|---|--|-|-⌫-⌫|-----|-|--||
quantieoyceie enuo ieun	----|-|-|-|-|----⌫-|-|
miene scuier aprespoursau oir comm ent	---|-⌫-----|----|---|---⌫--|----⌫--|
ceau oitesté.	-|--⌫--|----||
etco ntamonescuier	-|--⌫--|--|------|
queiey enuoye q u eleroy	--|-||-----|-⌫-⌫|-|--|
issidesachapel le	---|-|-|------⌫-|
alaauperron pourueoirlesmors etdeman da	--|-|-----|---|----|--|---|-|-----⌫-|
aupreuo td eparis co mme ntceauoitesté.	-|-----⌫|-⌫|----|--⌫---⌫-|-|----|----||
pr euost li co ntaque lesmorsestoienttroisdeses	--⌫----|-|--⌫--|--|--|---|-------|----|-|--|
seri ansduc h aste letet licontaqueilaloientp ar	----⌫--|-|-⌫-⌫----⌫--|-|-|----|--|-|------|-⌫-|
les rues forainnespourdesroberla	--|---|--------|---|-------|-|
e t dista uroy que iltrouue rent ceclerc	-⌫|---|-⌫|--|--|-|------⌫---|-|----|
q ueuo us ueez cietlitollirent	-⌫-|--⌫-|---|-|-|-|--------|
toutesarobe.	----|-|---||
l e c lerc senalaen	-⌫|-⌫---||-|--|-|
pure sachemisee nsonhost el et	---|-|------|-⌫|--|----⌫-|-|
pr istsarbales tre etfi st	--⌫--||-------⌫--|-|--⌫-|
un enfantson fa uchon .	-|-----|--|--⌫----||
quantil les uit il lesescriaetl eur	----|-|--|--|-|--|-----|-|-⌫--|
d it queily mourroient.	-⌫-|--|-||---------||
tendisarb alestr eettraiteten feri	----||---⌫------⌫|-|----|-|-|---|
lunparmil ecueret	|-|----|-⌫|---|-|
les deuxtoucherentafuie .	--|---|---------||---||
et le clercpri st lefauchon	-|-|----|---⌫-|-|------|
qu el en fanttenoitet	--⌫||--⌫---|-----|-|
lesensuialalune quie stoit	--|----||-|---|--|-⌫----|
bell eetclere.	----⌫|-|----||
lune ncui dap asserparmiune soif	|-|-⌫|---⌫-|-⌫----|----|--|---|
en uncourtiletlec lercfier t	-|-|------|-|-|-⌫---|----⌫|
du fauchonfistle preuostetl i tr an chato ute	-|------|---|-|------|-|-⌫|--⌫--⌫--|--⌫--|
la iambeentelem aniere	-|----|-|---|-⌫-----|
que ellene tient	--|---|-|----|
estiua ll sicommeuousueez.	------⌫-|-|----|---|---||
lec lercrensuilautrelequel	-|-⌫---|-----||----|-|---|
cui da d escendr een une estrangemeson laou	---⌫-|-⌫-------⌫|-|--|-------|----|-|-|
gentue illoient encor e et le clerc feridu fauchonparm i	---|--⌫-------|-----⌫|-|-|----|---|-|------|----⌫|
lates te siqueil le	-|---⌫-|-|--|-|-|
f endiiusque s esd enssicommeuouspo ez	-⌫---|------⌫|-|-⌫--|-|----|---|--⌫-|
ueoirfistlepreuo stau	----|---|-|-----⌫-|-|
siref ist -ille	---|-⌫--||-|-|
cler cm oust rason	----⌫|-⌫----⌫-|--|
uoisinsdelarueetpuissi s	------|-|-|--|-|---|-||
enuintmettreenuostre prisonsireetie	-|---|-----|-|-----|-----|---|-|-|
leuousam e inne	-|---|--⌫-⌫---|
ferezuostre	----|-----|
uolenteetueez-le-	------|-|---||-||
sireclerc fist leroyuous auez	---|----|---|-|--|---|---|
perduaestreprestreparuostreproesce et	----||----|------|--|-----|------|-|
pour uos tre proesceieuou sretieing	---|---⌫--|------|-|---⌫|-------|
a mesgage seten u en rezauecmoy outreme r.	|--|----⌫|-|-|-⌫--⌫--|---|--|-------⌫||
et cestechose	-|----|----|
uousfoiz-ie encore	---|---||-|-----|
pourcequeieuueil b ienquemagent uoient	---|-|--|-|----|-⌫--|--|-|---|-----|
queieneles soustendraiennulles	--|-|-|--|----------|-|-----|
deleursmauuesties .	-|----|---------||
quantlepeu ple	----|-|---⌫--|
qui laestoitassembléoy ce il	--|-|-----|--------|-|-|-|
seescri erentanost reseigneuret liprier entque	-|-----⌫----||----⌫-|-------|-|-|-----⌫--|--|
d ieuli donnastb o ne	-⌫--|-|------|-⌫-⌫-|
ui e etlong u eet leramenasta	--⌫|-|----⌫-⌫|-|-|-------||
ioie et asante.	---|-||----||
apresces ch osesie reuin gen nostre	----|--|--⌫---|-|-----⌫|-|-----|
pais etattirameslec onte	---|-|--------|-|-⌫---|
desalebrucheet	-|---------|-|
moyquen ous enuo ier ionsnostreh arnoisa	--|--|-⌫--|----⌫---⌫---|-----|-⌫-----||
charrette s a ausonne pour mettrei lec e n la	---------⌫||------|---|-----|-⌫--|-⌫|-|
ri uiere de saonneiusqu esarone.	--⌫----|-|-----|-----⌫-||---||
le iour que ie me pa r ti de	-|---|--|-|-|--⌫-⌫-|-|
i oinuillei e nuoiequerre	-⌫-------||-⌫----|-----|
labbedechem ino n qu eon tesmoing noita u	|---|-|----⌫---⌫|--⌫|-|--------⌫---|-⌫|
pluspre udommede lordre	---|---⌫-----|-||----|
un tesmoingn ageli	-|---------⌫--|-|
oyporter aclereuausleio ur	-|-----||--------|-|--⌫-|
d unefestenostre-dameque	|--|----|-----||---|--|
lesaintroyiestoitau nmoinnequi	-|----|--||-----||-⌫|-----|--|
lemoustraetm e demanda seielecognoissoie	-|------|-|-⌫|------|-|-|-|----------|
et ie lidiz pourquo y ille	-|-|-|--|---|---⌫|-|-|
medema ndo i t	-|----⌫---⌫-⌫|
etilmer espondicar	-|-|-|-⌫------|--|
ie e ntent que	-|-⌫----|--|
cest lepluspreudomme	|--|-|---|--------|
entoute l ordrebla nche.	-|----||----|---⌫---||
e n coresache zfi st -ilque	-⌫-⌫---|-----⌫|--⌫-||-|--|
iai oycon teraunpr e u domm equigisoit	|-|-|---⌫--||-|--⌫-⌫-⌫----⌫|--|-----|
oudortouerlaoulabbe	-|-------|-|-||---|
de chemi nondormoit etau oit	-|-----⌫--|------|-|--⌫--|
labbedescouue rtsa	|---|--------⌫-|-|
poitrinepour la chaleu rque ilauoit.	-------|---|-|------⌫|--|-|----||
cepreudommequig isoit ou do rtoue rou labbe de	-|--------|--|-⌫----|-|--⌫-----⌫|-||---|-|
che minon dor moit lamered ieuquiala au lit	---⌫----|---⌫---|-|---|-⌫--|--|--|-|--|
etliretira sa	-|-|-----|-|
robes ur sonpizpou r cequeleuent	---|-⌫-|--|--|---⌫|-|--|-|---|
nelifeistmal .	-|-|----|--||
celabb ed echeminonsimedonnamescharpeet	--|---⌫|-⌫|-------|-|-|----||-------|-|
mon bour do n.	--|----⌫--⌫||
m epartide ioinuil le	-⌫|----|-|-------⌫-|
sanzrentrerau	---|------|-|
ch aste l iusquesa ma	--⌫----⌫|------||-|
a pi ede schaus	|--⌫|--⌫-----|
etenlangeset ainsialeablechicourtet	-|-|-----|-|----|--||----------|-|
a s ainturbainetautrescors sainsqu i laso nt	|-⌫---|-----|-|-----|---|----|--⌫|-|--⌫-|
etendementieresq ue iealoiea blechicourteta	-|--------------⌫-|-|----||----------|-||
saint urbainie neuozonques	----|-----|-|-|--|-----|
retourne rme sy ex uersioinui lle	--------⌫|--⌫|-⌫-|---|------⌫--|
pou rc e que lecuerne	---⌫|-⌫|--|-|---|-|
meattendrisist dubiauchastel	-|-----------|-|---|------|
queielessoie etdeme sdeux	--|-|------|-|-|--⌫|---|
moy etmes com paingn onsman gamesal a fonteinnel arceues que	--|-|--|---⌫------⌫--|---⌫----||-⌫|--------||-------⌫--|
d euant dongieuz.	-⌫----|-------||
et il lecquesl	-|--⌫------||
abbead amdesa int-	---|--⌫-|-|--⌫--||
urb ainque	---⌫--|--|
diexabsoille	---|-------|
don nag rant foisondeb i aus	---⌫-|-⌫---|-----|-|-⌫-⌫--|
iu iausamoyet	--⌫---||--|-|
a mescheu alier sque	|--|----⌫-----⌫|--|
deslanous alames an	--|-|---|-----|-|
ans o nee tenalamesato utn ostre hernoizque nous auion	---⌫-⌫-|-⌫|-|-----|---⌫-|-⌫----|------|--|---|----|
f aitm ettre	-⌫--|-⌫----|
e s nezdes ansoneiu squesalyoncontreu al la	-⌫|--|--|-----|--⌫----||---|-------⌫-|-|
et e ncostelesnes men o i to nlesgrans	-|-⌫-----|--|--|---⌫-⌫-⌫|-⌫|--|----|
a l yonentramesouro nepouraler	|-⌫--|-------|-|--⌫-|---|---|
a alles le	|----|-|
trouuam es unc hastel	-------⌫-|-|-⌫-----|
quelenappelleroch e	--|--|------|----⌫|
que leroyauoit	--|-|--|----|
fai tabbatrepour cequeroger l es ire	---⌫|------|---|-|--|----|-⌫|-⌫--|
duchasteles toitc riez de	-|------|--⌫---|-⌫---|-|
desrobe rlespelerinse tles	-------⌫|--|-------|-⌫|--|
aum oi s daout	-|-⌫--⌫||---|
entramesenno s neza lar ochede m arsei lle	-------|-|--⌫|--||-|-⌫---|-|-⌫-----⌫--|
ace ll e io urne eque	|--⌫--⌫|--⌫----⌫|--|
nousentr ames e nnosn ezfist	---|----⌫---|-⌫|--|-⌫-|---|
lenouurir la p or te de la	--|-----|-|-⌫--⌫-|-|-|
etmistl en	-|---|-⌫-|
to uznosch euausensq ueno us deuions	--⌫-|--|--⌫----|--|-⌫-|--⌫-|------|
mene r out re mer.	----⌫|---⌫--⌫--||
et puis r eclo stlenlaporte	-|---|-⌫----⌫-|--|-|----|
et l enbouch al en bien aussi commel en nayeu n	-||-------⌫|-⌫-|---|----|----|-⌫-|---|-⌫|
tonnelpourc eque qu an tla	-----|---|-⌫|--|--⌫--⌫|-|
nef en la merto ute la porteeste n	--|-|-|--|--⌫--|-|----|--|-⌫|
quantlescheuaus fur ent ensnostre	----|--|------|---⌫--|--|-----|
mes tre notonnierescriaa s e s notonniersquiestoie ntau	---⌫--|--------|-----||-⌫-⌫|---------|--|------⌫-|-|
bec de lanef et	--|-|-|--|-|
leurditestuostre besoigne	---|--|--|-----|-------|
sireuieingnentauan tlescl ersetlesp roueres.	---|---------|----⌫|--|--⌫--|-|--|-⌫------||
maint ena ntqueilfurent	-----⌫---⌫----|-|-----|
uenusille urescria	----|-|--⌫-|-----|
c hantezdepar	-⌫-----|-|--|
escrierent touza une uo iz .	---------|---||--|--⌫-||
e til escriaasesnot onnie rs faites uoill e de	-⌫|-|-----||--|---⌫-----⌫-|-----|-----⌫|-|
etil si firen t .	-|-|-|-----⌫||
et enbrieftens leuentseferi	-|-|----|---|-|---|-|---|
ouuoilleetnousottolula ueuede	-|-----|-|---|-|---|-|---|-|
laterre quenousneueism esque ci el	-|----|--|---|-|-----⌫-|--|--⌫-|
etchascun io ur nou sesloigna	-|------|--⌫-|---⌫|-------|
leu entdes	-|-⌫--|--|
paisounousaui ons este ́ nez .	---|-|---|---⌫--|----⌫|--||
etcescho sesu ousmoustre-	-|--|---⌫--|-⌫--|------||
ie queceli est	-|--|---|--|
bienfol har diqui	---|--|---⌫-|--|
se ose m ettreentel peril	-|--|-⌫----|-|--|----|
at outautruichatelouen pechie	--⌫--|-----|-----|-|-|-----|
mor telcarlen s e dort lesoirlaouen	---⌫--|--|--|-⌫|---|-|---|-|-|-|
nesce tselen setrouuerra	-|---⌫|-|--|-|--------|
oufons dela mer .	-|---|-|-|--||
en lamern ou sauin t u nefieremerueille	-|-|--|-⌫--⌫|----⌫|-⌫-|----|--------|
que nou strouua mesun e	--|---⌫|------⌫--|--⌫|
mont aign etou terond equiest oit deuantba rbarie.	----⌫----⌫|---⌫-|----⌫|--|---⌫--|-----|--⌫-----||
nouslatrouuames	---|-|--------|
entou rleure deue spreset naiamestout	-----⌫||---|-|--⌫----|-|------|---|
l esoir e tcuid ames bi enauoirfaitpl u s de	-⌫|---|-⌫|----⌫---|--⌫-|----|---|--⌫-⌫|-|
cin quantelieue set lendemainnous nous	---⌫-----|-----⌫|-||-------|---|---|
t rouuam esdeuantice llem iesmesmo n taignee ta insinous	-⌫------⌫-|-----|---⌫--|-⌫-----|--⌫-⌫-----|-⌫|-⌫---|---|
auintp a r d euxfoizoupar trois.	----|-⌫-⌫|-⌫--|---|-|--|----||
q u ant lesmarinn iers	-⌫-⌫--|--|------⌫---|
u irentce ilfurent toute sbah iz etnou s	-⌫----|-|-|-----|---|-⌫----⌫-|-|---⌫|
di strent quenosnefzesto ienten	--⌫-----|--|--|---|----⌫---|-|
grantp eri l.	----|-⌫---⌫||
carn ou sestio n s	--|-⌫--⌫|-----⌫-⌫|
deuantlaterreauss arrazins debarbarie	-----|-|----|--|-⌫-------|-|-------|
lo rsnousdit u npreudommeprestre	--⌫-|---|--|-⌫|--------|------|
que en appeloitdoy en d e malru t c ari l n	--|-|-------|---⌫-|-⌫|-----⌫|-⌫-|-⌫||
otonquespe rsec ucion	-|-----|--⌫----⌫----|
enparoissenepar	-|-------|-|--|
defau tdyau en edetroppluie	-----⌫||---⌫|-⌫|-|---|----|
nedautrepersecucion queaussitostcomme	-||----|----------|--|----|---|----|
ilauoitfait trois processions partr oissa medisquedieu	-|----|---|----|----------|--|--⌫--|--⌫----|--|---|
etsa m ere nedeliurassent .	-|-|-⌫--|-|-----------||
s ame diestoitnous feismeslapr eme ir eprocession	-⌫---⌫-|-----|---|------|-|--⌫---⌫--⌫|---------|
entourles deuxmaz de lanef	-----|--|---|--|-|-|--|
iemeismesmi	-|------|||
fiz port e rpar les	--|----⌫-⌫|--|--|
braz pourc equeie estoie gri efma la de.	---|---|-⌫|--|-|-----|---⌫-|--⌫--⌫-||
onque sp uisnousneueismesl amontaig neet uen imes	-----⌫|-⌫--|---|-|------|-⌫|-------⌫-|-|---⌫---|
ency pre letie rs	-|--⌫--|-|---⌫-|
qua nt nousuenimese n cyprele	---⌫-|---|------|-⌫|----|-|
royestoitiaencypreet tro uuame s	--|-----|-|-|----|-|---⌫-----⌫|
g rantfoi son de la pourueancele	-⌫---|---⌫--|-|-|---------|-|
roy c estasauoi r les celiers le	--||--||-----⌫|--|------|-|
royetles den iers etles	--|-|--|---⌫---|-|--|
g arni er s .	-⌫----⌫--⌫||
lesceliers	--|------|
le roy estoienttiex	-|--|-------|---|
q uesagentauoientfait	-⌫-|-|---|------|---|
enmi leschampssusl ariuede	---|--|-----|--|-⌫|---|-|
moyesde t onniau s deuin	----|-|-⌫------⌫|-|--|
queilauoientacheté de de ux	--|-|------|------|-|--⌫-|
ans d euantquel er oyuenistet lesauoie ntmisles	--|-⌫-------|-⌫|-⌫-|-----|-|--|-----⌫-|--|--|
unessusl es	---|--|-⌫-|
autresquequantlenles ue oitd e u antil sembloitque	-----|--|----|--|--|--⌫--|-⌫-⌫-⌫--|-|-------|--|
cefeussentgran ches.	-|-------|----⌫---||
les fourmensetlesorgesi lles	--|-------|-|--|----|-⌫|--|
rauoient mi sparmonciaus enmi	-------|--⌫|--|-------|---|
leschamps.	--|-----||
etquantenles ue oiti l sembloitque	-|----|-|--|--⌫--|-⌫|-------|--|
cefussentmontaignescarla pluiequiauoitb atules	-|------|---------|--|-|----|--|----|-⌫--|--|
ble zde lonc temps les	---⌫|-|---|----|--|
auoitfa itgermerpa rdessus sique	----|--⌫-|-----|--⌫|-----|-|--|
i par roitqu e l	|---⌫---|--⌫||
erb euert.	---⌫|---||
orauintainsiqueenlesuotmenerene gyp te	-|----|----|--|-|--|--|----|-|-⌫---⌫-|
len abati lescrotes desusatoutl erbe uert	--|----|--|-----|----|----||---|---|
ett rouuale nlef ourment etlo r g e	-|-⌫----|--⌫|-|-⌫------|-||-⌫-⌫-⌫|
a ussif rez commelenleustm aintenantbatu.	-⌫---|-⌫--|----|--||---|-⌫--------|---||
leroyfeust	-|--|----|
moultuolentiers aléauant sanz ar ester enegypte	----|---------|---|----|---|--⌫----|-|-----|
sicom mei elioi diresen efe ussentses	-|---⌫-|-⌫|-|-|---|-|-⌫|--⌫-----|--|
baronsqui liloerent aatt endresa	-----|--|-|------||---⌫----|-|
n es toient	|--⌫-----|
pasencore touzuenuz.	--|-----|---|----||
encepointquele roy seiour noit	-|-|----|--|-|--|------⌫---|
e ncypreenuoia legrantro y	-⌫|----|-----|-|----|--⌫|
destartarinsses messagesa liet	--|--------|--|-------||-|-|
l i mandamo ult de bonnesethonne ste sparolese	-⌫|----|--⌫--|-|-----|-|-----⌫---⌫|------||
ntreles autre s limandaq ueilestoitprest de	---|--|-----⌫|-|----|-⌫-|-|-----|----|-|
liaid ieraconquerrelaterre s ainteetde	-|---⌫--||--------|-|----|-⌫----|-|-|
d el i urer iherusalem	-⌫--⌫-⌫---|---------|
delamainaussarrazins	-|-|---|--|--------|
leroyrecut	-|--|----|
moultdebonnai rement s es me ss ages .	----|--------⌫-----|-⌫-|--⌫--⌫---||
etlirenuoialessiensqui demour erentdeuxa n s auantque	-|-|------|--|----|--|------⌫----|---|-⌫-⌫|-------|
ilreuenissentali	-|----------||-|
etparles messagesen uoialeroy aur o y	-|--|--|-------|--⌫---|-|--|-|-⌫-⌫|
de startarinsun etente	--⌫|--------|--⌫|----|
faiteen la	----|-|-|
guise dune chapel lequimoult cousta	----||--|------⌫-|--|----|-----|
carellef u	--|---|-⌫|
toutefaite	----|----|
debon eescarlate finne .	-|---⌫|--------|----||
et le roy pouru eoirse	-|-|--|---|-⌫---|-|
illes pourroit atrair e ano stre	-|--|-------|------⌫||--⌫---|
creancefi stentaill eren	------|--⌫-|-------⌫-|-|
la ditecha pelle parymage s lan noncia tion nostr e	-|---|---⌫----|--|-----⌫||--⌫------⌫---|-----⌫|
dameettouz	---|-|---|
l es autres poinsdelafoy .	-⌫-|-----|----|-|-|--||
et c escho ses leur enuoia	-|-⌫-|---⌫--|---|-----|
deuxfreres p re escheurs qu isauoie nt les arraz inoispo ur	---|-----|-⌫--⌫-------|--⌫|------⌫-|-|-⌫-----⌫----|--⌫-|
e ulz moustrer	-⌫--|-------|
et enseignerc om m entildeuoientcroire	-|--------|-⌫--⌫-⌫--|-|-------|-----|
ilreuindrentauroy lesdeuxfreres	-|---------|-|--|--|---|-----|
en ce pointqu el es frer esa u	-|-|----|--⌫|-⌫-|----⌫-|-⌫|
ro yreuindrentenfranceet	--⌫|---------|-|-----|-|
tr ouuere nt leroyqui estoitparti d acrela ou	--⌫------⌫-|-|--|--|-----|----||---|-|-|
se s frereslauoientlessié .	--⌫|-----||------|------||
etes toit uenuzace zaire laouilla fermo it	-|--⌫---|----||--⌫----|-|-|-|-|-----⌫-|
auoit nepe znetreu es aus	----|-|--⌫|-|----⌫-|--|
sarrazins.	--------||
c ommentlesmessages leroy de franc efurent	-⌫-----|--|-------|-|--|-|-----⌫|-----|
receusuousdire - ie	-----|---|---||-|
aussi commeilmeismesleconteren tau	----|----|-|------|-|--------⌫|-|
etenc equeilraporte rentau ro ypourrez	-|-|-⌫|--|-|-------⌫---|-|--⌫|------|
oirmoultdemerueille slesquelesie n e u ue ilpas	--|----|-|---------⌫|--|-----|-|-⌫|-⌫--⌫-|--|
con terorepour cequeilme	---⌫--|--|---|-|--|-|-|
conuendr oitderompre	--------⌫--|-------|
m amat i ere que i	-⌫|---⌫-⌫--|--||
aicommencieequi	-|---------|--|
estteleiequi n	--|---|-|--||
