enlenorn ostresegnior	-||---|-⌫----|------|
abeiedesan cte croi z quifuiadismes	----|-|---⌫--|----⌫|--|-|----|--|
l isarrazinlau oien td estruite.	-⌫|-------||--⌫----⌫|-⌫-------||
e turpi nentraenl	|-----⌫|----|-||
trou a cumc laudillel a	----⌫|--|-⌫-------|-⌫|
apres senalarollan z sor bordeu e	----||-|--|------⌫|--|-----||
passal eue a	----||--||
lonc pon teessagualaiousainzseurinsgisoit	---|---⌫||------|--|-|----|------|-----|
em aint o u t rec ors aint.	|-⌫---|-⌫-⌫-⌫-|-⌫-|-⌫---||
etur pinsentra enl iglise	|---⌫---|----|-||-----|
et ro uaenu nmarbre les re ndesque	|-⌫--⌫-|-|-⌫|-----|--|--⌫---|--|
liglise auo it	|-----|---⌫-|
eles u ert u zqui estoi ent.	|--|-⌫---⌫-⌫|--|-----⌫--||
apr essenala r ollanze	---⌫-||-|--|-⌫-----||
turpin al auile la iouil auoit la issé	-----||-⌫|---|--⌫|-|-|----|--⌫----|
les dames.	--|----||
el esdames	|-⌫-|----|
auoientadonc gue rnilo r salecontre les	------|----|---⌫--|--⌫|---|-----|--|
s arrazins.	-⌫-------||
rollanz assa liequiesoico npagnionmoltdurament	------|----⌫-|---||--|--⌫-------|---|-------|
e adoncuns	|----|--|
sarr azins leuauneescha le c on t relas aleou	----⌫----|---|--|-----⌫-|-⌫--⌫-⌫-|-|-⌫--|-|
les estoiente	--|-------||
cui da h imonter erollanzlan ca unpal edona	---⌫-|-⌫|-----||------|---⌫-|-|--||---|
itel ausar ra zi nque m ortlotrebuch e	---|-|---⌫--⌫--⌫|--|-⌫--|-|-------⌫|
e lipa usse fi chaonmur	|-|--⌫-|-|--⌫--|-|--|
qua nt couiren t lioutresarrazinsisen	---⌫-|-|-----⌫|-|----|-------|-||-|
foire nt .	-----⌫-||
e rollanztrenchiale sbaroilz	|------|-------|--⌫|------|
dela porte	-|-|----|
sic omdeu p lot	-|-⌫-|--|-⌫--|
B II .si en traenz iusqu ea	-⌫--⌫|-|--⌫--|--|-----⌫||
une e ue quianomla	--|-⌫-|--||--|-|
equit rouaguoliasque aigu olanzhiauoit laiss éob	---|-⌫---|------|--|----⌫----|-|----|-----⌫-|-|
uintmiresarr azins.	---|---|----⌫----||
e quifumoltgranzlabatalliee si	-⌫--|-|---|----|-|-------||-|
ocidrent dizmiresarraz ins.	-------|--|---|------⌫--||
adoncs en fuili	----||-|--|-|
bugieue rs	----|--⌫-|
arcaisson.	--------||
lisarrazinde	-|-------|-|
lauilequi uogren testre ba ptizé n emorirent	-|---|--|------⌫|----|--⌫-----|-⌫|-------|
miee cil quineuogrent estre	--||--|--|-|------|----|
bap tizésifuren t mort.	---⌫----|-|-----⌫|---||
quantk arles sotque bordeusesteit	----|-⌫----|--|--|------|-----|
prissi uincob	---|-|---|-|
moltdolensper coquil	---|-----|--|-|-|-|
sesteito trol lantson	|-----|-⌫|---⌫---|--|
neuoper gu ane lo	---|--|--⌫---⌫-|
a doncfit pa izotsonneuo.	-⌫---|--|--⌫-|-|--|---||
BI I.aprescoturpins	--⌫-|----|-|------|
cerchia lesyglisesdela	------|--|------|-|-|
la p remeire quil	-|-⌫------|-|-|
cer chiasi	---⌫---|-|
fuiceledesaint seuri n.	-|----|-|----|-----⌫||
mesoutens saint	--|-|---|----|
m arcaulauoitedifieesanctebenedi c te e nl enors a in t	-⌫----||----|------|-----|------⌫-⌫-|-⌫||---|-⌫-⌫--⌫|
esa inzmarc aus enhi fit une	|--⌫--|----⌫--|-|-|--|--|
enlenorsainteste inee h ifit un	-||---|----|----⌫--||-⌫|--|-|
outerdeterre o u ilmi stmo lt	----|-|----|-⌫|-|--⌫-|--⌫-|
preciosesuertuz	--------|-----|
carmissires ainzmarc ausco n uertilop oblede bo rdeu	--|--|---|-⌫---|----⌫--|--⌫-⌫----|-|-⌫---|-|--⌫---|
esanct ebened ictelaueitconuerti perlamor	|-----⌫|-----⌫---||----|-------|--||---|
de stagnequi lai l al aq uer e.	-|-----|--|--||--⌫|-⌫---⌫||
lai libal li ala s ancteu ergie	--|-|---⌫--⌫|-|-⌫----|-⌫----|
quenostresires balliaa	--|-----|----|-----||
s aintpiereemissire	-⌫---|----||--|---|
sain z peres la ball iaamonsegnio rsaintmarcaue	----⌫|----|-|----⌫-||--|------⌫|----|-----||
missire sainz	--|---|----|
marcausenresuscitaunson conp agnionen	------|-|--------|-|--|----⌫-----|-|
l auoie d e rome .	-⌫|---|-⌫|---||
e mada mesanc tebenedicte en franssittotes	|-|--⌫-|----⌫-|--------|-|-------|----|
debordeuqui estoientau quelisarrazin	-|-----|--|-------|-|--|-|-------|
ao roent eengita lo	--⌫----||-|---|-|
diable q ui este it en unetor e	-----|-⌫-|----⌫-|-|--|--||
engarison mar iphili bertquidux	-|---|--|---⌫|-----⌫---|--|--|
estei tdebordeu.	-----⌫|-|-----||
adonccreiguitphi l iberz nostre	----|-------|---⌫-⌫----|-----|
seg nior moltfermamen t.	---⌫---|---|--------⌫||
emi ssiresainzma rcausq uantildep artilesreliques	|--⌫|---|----|--⌫----|-⌫---|-|---⌫---|--|-------|
maur eta gniequesan ct eueronique	----⌫---⌫---|--|---⌫--⌫|--------|
auoit a porté si	----|-⌫-----|-|
ballia u nemoltgran t eschirpe	-----|-⌫-|---|----⌫|-------|
amadamesancteb ened icteel	|-|---|-----|-⌫----⌫---|||
ou trepartietramistenbeagnieelou tr eparti e	--⌫--|-----|------|-|------|||--⌫--⌫|-----⌫|
en portaeleazarsenar uert am a	--⌫----|-------|-|--⌫---||-⌫|
dame sanctema rie en lileou	---|-----|--⌫--|-||--|-|
illesmist enloutere	-|--|---|-||----||
lo utr e par tie remes a.	|-⌫---⌫|---⌫--|----|||
es chirpe esteitliorse	--⌫-----|-----|-|--||
la mirr equ i fu rentoffri a	-|----⌫|--⌫|--⌫---|----||
n ostresegnior	-⌫----|------|
eda ube rcol nostresegnior ede lacrepche	|--⌫|--⌫---|-----|------||-|-|------|
o u ilfumisedaumonume nt	-⌫|-|-|--||--|------⌫-|
o ilfupou sez	|-|-|---⌫--|
e de quiou	||-⌫--|-|
i lfubagnieze li	-⌫|-|------||-|
queilfuliez edela	--|-|-|---||-|-|
gu onele nost redamequantnostresires	--⌫----|----⌫-|---|----|-----|----|
nas quide liela mangie de	---⌫--|-|-||-|-----|-|
lachamisenostredame	-|------|-----|---|
edelamanneede	|-|-|----||-|
la farine donthelie s liprofetesuiue it	-|-----|---|-----⌫|-|-------|----⌫-|
edela pierredont sancte a nne	|-|-|-----|---|-----|-⌫--|
edo sdausdeni e rs qui	|--⌫|---|----⌫-⌫-|--|
corri ontoutensce sa rderome	-----⌫--|-|---|--⌫--⌫|-|---|
e t o t i cofuenu olopé en	|-⌫-⌫|-⌫-|-|---⌫-----|-|
uneaubeenque missiresain z	--|---|-|--|--|---|----⌫|
mar causcha n tot la	---⌫---|---⌫-⌫--|-|
q u ant missiresainzam anztr esp assas imistrenticesteeschirp e	-⌫-⌫--|--|---|----|--⌫--|--⌫---⌫---|-⌫|-------|-----|-------⌫|
sain tamant	----⌫|----|
i quis tfuc onpa in sdemon segniorsai ntseurin.	-⌫----⌫|-|-⌫----⌫--⌫|-|--|------|---⌫-|-----||
eicofuoutensmon seg nior	|--|-|-|---|--|---⌫---|
saintmart inde	----|----⌫-|-|
q uecu mmis siresainzmartinstresp assamis	-⌫-|--⌫|--|---|----|------|-----⌫---|--|
sire sainzs e urinsoit	---|----|-⌫-⌫----|--|
lesangreschant ercum	--|-----|-----⌫-|--|
il enp ortoientl	-|---⌫-------||
arme demon segniorsaint martinsiquil	---|-|--|------|----|-----|-|-|-|
apelaunsonarcidiac re edistliquesa inz	----|-|--|--------⌫-||---|-|--|--⌫--|
martins esteittrespasseze	------|-----|---------||
queli angree npor toentl	--|-|----|-⌫----⌫----||
arm edeluiouc el.	---⌫|-|--|-|-⌫-||
eilnenoirienz.	|-||-|-|----||
distm ett espiezs ore lesmien z e	---|-⌫-|-⌫-|---|-⌫--|--|----⌫||
e ilsi fit .	|-|-|--||
eto tissioit.	|--⌫|---|--||
et tot lot resorde l igl isemidrentsoz terre	-|--|-|-⌫----|-||---⌫--|------|--|----|
tresl out er	---||---⌫-|
saintaubanen	----|----|-|
une cropte per poo rd aiguolant.	--|-----|--|---⌫||--------||
ehi mis trent	|-|---⌫----|
u neschar bonclequesa nctebenedic te auoit	-⌫|------⌫-----|--|--⌫---|-------⌫-|----|
l iglise saintseurin	|-----|----|-----|
apres karles	----|-----|
quesanctebenedicte auoitdoneeal	--|-----|--------|----|----|||
iglisesaintsauueorquesainzmarcaussacrae	-----|----|------|--|----|------|----||
locimentirep er lesmainzdeset euesques	-|--------|-⌫-|--|----|-|--|-------|
cimentire sacré estlig lisesan cte	--------|-----|--||--⌫---|---⌫--|
las aint martin que cl odou eus fi teicele	-|-⌫---|-----|--|--⌫----⌫--|--⌫||----|
saintuincent eicel esaintremei e	----|------||----⌫|----|----||
las aintgermainouiesentmaintboneure.	-|-⌫---|------|-|-----|----|------||
apres fitka rlemainese turpins chenoines reglersen	----|--|--⌫--------||------|--------|------|-|
liglisesai ntseu r ine mist	|-----|---⌫-|---⌫-⌫-||---|
hi arc euesq u esonfilio uturp in.	-|---⌫-----⌫-⌫|--|-----⌫|----⌫-||
totes les demese	----|--|----||
l esy glisesdona	-⌫-|-⌫-----|---|
karles as aintseurinsi cum sainzmar caus	-----||-⌫---|-----|-|--|----|---⌫---|
h oaueitdonédes leire siquen giro nd e e	-⌫|----|----|--|----|-|-|-|----⌫--⌫||
d e si iusquen syron.	-⌫-⌫-|----|-|----||
car ilhidona li gl is edegirontuille	--|-|-|---||-⌫--⌫--⌫|-|----------|
eice les q u iapartenen t a	|---⌫--|-⌫-⌫|---------⌫||
sanctemar ied au syron eiceles	-----|---⌫-|-⌫-|----||-----|
debeline icele saintpoudosengie	-|----||----|----|--||------|
ougist guarins e liglis esaintp ieredecumpree	-|---|------|||-----⌫|----|-⌫---|-|------|
s aintmartin decarcan zo a molt richesanctuaireque	-⌫---|-----|-|------⌫|||---|----|---------|--|
sanctehe len e h i	-----|--⌫---⌫|-⌫|
aportaqui arrib a.	-----|--|-----⌫||
cayphasqui esteit	------|--|-----|
euesqu e sda us i ues hi arribae	------⌫-⌫|--⌫-|-⌫--|-|-----||
uincabordeue fit mol tdaupoble	---||-----||--|---⌫|--|----|
delauileason talan t e	-|-|---||--|-----⌫||
trespas sa	-------⌫-|
equant ilf utre spas s ez sifuseueliz	|----|-|-⌫|---⌫----⌫-⌫-|-|-|------|
iosecsobreu n e	----|----|-⌫-⌫|
eu eefutmisencassadoine e e n	--⌫||--|--|-|---------||-⌫|
eliglised e sain tarlo dequi	||-----|-⌫|----⌫|----⌫-|--|
igli sede solace	----⌫-|-|----||
icele sa intmelion	----|--⌫--|-----|
entre dosarz enquegis ent	----|--|--|-|--|---⌫--|
duicor s aint	--|--|-⌫---|
e rolla nzeso iconpagn ion	|-----⌫-||--⌫|-------⌫--|
s eguir entloreid ebugie	-⌫-----⌫--|-|--|-⌫|----|
terreetr ouarent lo	----||--⌫------|-|
leu siocisd rentdizmire sarrazins	--|-|-----⌫---|--|---|--------|
emurirent hidui mire	|-------|-|--|---|
crestiane g audinsquicompteestoien t	-------||-⌫-----|--|-----|-------⌫|
efurent p ortéas a intes teine en callo neis e li	|-----|-⌫----||-⌫-⌫--|--⌫----|-|-----⌫---||-|
ou t refurent	--⌫-⌫-|-----|
se ue liauuilaraune	--⌫--⌫-|-|----||--|
ch ap eledenostreda me	--⌫--⌫--|-|-----|--⌫-|
quero llanzfitfe re.	--|--⌫----|--|--⌫-||
en liglisedaucoma rci gistlicor ssainta iguo lin	-||-----|--|----⌫--|---|-|---⌫|----|-⌫----⌫--|
et li bra zsaint bercho me e	-|-|---⌫|----|------⌫-||
mainte soutresuer tuzegisent en	------⌫|-----|---⌫--||-----|-|
iglise sai nthyla ire	-----|---⌫-|----⌫--|
dau u alanfurentpo rté	--|-⌫---|-----|--⌫---|
larceuesques arues	|----------|----|
aio rsde borgogniee sisfreir es.	---⌫-|-|--------||--|-----⌫-||
epe ramordeausmist lo mmai nt es u ertuzen	|--⌫|---||---|---|--⌫|---⌫--⌫-|-⌫----|-|
ice stes y glise s	---⌫---|-⌫-----⌫|
qui suntecinome ese	--|---|--|----⌫-||
totesl es outr es qui	----|-⌫-|----⌫-|--|
terresunt sunt aligl isesaintseurin	----|---|---|||---⌫--|----|-----|
periure t ia loch iefdel an	-------⌫|-|-|--⌫--|-||-|
BII.apresco liemp e reiresfitfereliglise	---|----|-|-|---⌫-⌫-----|--|---||-----|
saintmartine la rendeque	----|-----||-|----|--|
clodoueus sis	--------|--|
ancestreshi	--------|-|
auoitd onékarleshi d ona.	----|-⌫---|-----|-|-⌫--||
eturpinsalaa ligl is eeoladequifu	|------|--|||---⌫--⌫|-----|--|-|
premeiramentdesaint	-----------|-|----|
peire qu edagu oberzfundaefithi une	----|--⌫|----⌫----|----||--|-|--|
ab eiedenonainzeper	--⌫--|-|------||--|
col apelentsaint eoladeper coquesigibers	-||------|----|-----|--|-|--|-------|
hi aportalo b raz	-|-----|-|-⌫--|
sancte eoladede bar celo ne emistlo de danzlou ter	-----|-----|-|---⌫----⌫-||---|-|--⌫---||--⌫--|
e o utresuertuzmaintes.	|-⌫----|-----|------||
asancte eoladegistsancte prignanesoz l	|-----|-----|---|-----|-------|--||
outerarres terreehi	----||---|----||-|
gisent dozecorsaintquifurent	-----|---|--|----|--|-----|
martyrihesuc ristefur entarceuesq u ee	-----|----|-⌫---||---⌫--|--------⌫-⌫||
conpagnionsa intbrandan eausetsain zdebreta gnesi	---------|--⌫--|------||-|--|----⌫|-|-----⌫--|-|
que li br etonl e suindrent	--|-|--⌫---|-⌫-⌫|-------|
querree m olt enportarentdauschiepzdeaus	-----||-⌫--|----------|---|-----||---|
e daucors .	|--|---||
un sprecioscorssainzhigist	--⌫|------|---|----|-|---|
sainzclar spercui deusfit maint miracle	----|----⌫|--|--|---|--|----|------|
ep er lamonestamentturpin karleshifi tmolt rich e	|-⌫-||-----------|-----|-----|-|--⌫|---|----⌫|
edau sdamesqueu osauez	|---⌫|----|--|-⌫-|---|
o icaiareire pa rlerdauspaiane ssini o t	-⌫|--|-----|--⌫---|---|------⌫|-|||-⌫|
quant fu r entpaianes	----|--⌫-⌫--|------|
crestianesqui uogr ent nonanz	---------|--|----⌫--|-----|
eka rle ssil esa parelliade molt ric h es	|--⌫---⌫|-|-⌫-|-⌫-------|-|---|---⌫-⌫-|
li glise sanctecroizfundarol lanze	|-⌫----|-----|----|----|---⌫---||
oliuierselidaneisocgierse	-------||-|-----|------||
cloti llelau e itprem eiramentfundee .	-----⌫--||--⌫-⌫-|----⌫-------|-----||
a iceleyglise	|----|-----|
rendire nt totela terre de ela ter re saint	-------⌫-|---|-|----|-||-|---⌫-|----|
machai re.	------⌫-||
to t co libonsroissenala	--⌫|-|-|---|---||-|--|
droit alacitedemo ntclines i	----||-|---|-|--⌫-|---||-⌫|
quant il lotprisesi	----|-||-|----|-|
comandaauducguaisfiertotelaterr e quilauoit	------|-|--|--------|---|-|----⌫|-|-|----|
pr isoltregironde	--⌫-|----|------|
equanthos ot aiguolanz si	|----|-|-⌫-|--------|-|
limanda b a tallie apanpe l one	-|----|-⌫-⌫-----||-----⌫-⌫--|
senpa ssa al areouleepris tla e	|-|--⌫--||-⌫|-----||----⌫|-||
comandal a aguaisfier .	------|-⌫||--------||
ka rlesapeir egui sea enguolesme etua to z les	--⌫---||----⌫----⌫|||---------||--|--⌫|--|
sarrazinsquineuogrentestre	--------|--|-|------|----|
e tuitc il qu iuogrentestre	|---|-⌫-|--⌫|------|----|
crestiensiremansirent.	-------|-|----------||
epuis senal a	|---||-|--⌫|
d equikarl esenf ranc ee aiosta	|---|----⌫-|-|-⌫----⌫||-----|
lorzsenfoia iguolanze t ote	---||-|--|-⌫-------||-⌫--|
so zepas sa les por seuinc	|-⌫||---⌫-|--|---⌫||---|
apanpe lonee	|-----⌫---||
d iloecmand a	|----|----⌫|
ka rlemaine q uill atendroit l aie ot l uise	--⌫-------|-⌫|-||--------|-⌫-||-|-⌫-|-|
conbatreit.	---------||
quantliro is oicoisnelamen t mand a to tesses	----|-|--⌫-|-|-|---------⌫|----⌫|--⌫--|--|
ozdep ar totlai ouill esauei ten	-|-|-⌫-|--|--|-|-|-⌫-|----⌫|-|
sa segnior iee	-|-------⌫-||
coma nd aque tuituenissonalu ienespagnie	----⌫--⌫|--|---|-------||--⌫|-|-------|
eequimo i mecomandaper tote	|---|--⌫-⌫-|------|--|---|
fra n ce que	---⌫-⌫-|--|
tuitli se rqu iestoientso zmauueizsegniore	---|-|--⌫|--⌫|-------|--⌫|------|------||
qui lurrendoientmauuese	--|--|--------|------|
c ostumesquetuitfu s sont fra nchisi q u e	-⌫------|--|---|--⌫-⌫---|---⌫---|-|-⌫-⌫|
ia meisn en peustlom	--⌫---||-|----|--|
nui luendre nequeiameisne rendistquatredenier sde	---⌫|-----|-|--|-----|-|------|-----|------⌫|-|
son chep ee t uitcilqui uifestoient	--|---|||-⌫--|--|--|--|-------|
ecilqui apreseausuend r oient.	|--|--|----|---|----⌫-⌫----||
ecomandaq ueiameisnus francesnes er uist agent	|------|-⌫-|-----|--|------|-|-⌫--⌫---||---|
destrangieterre	|--------|----|
co e st a sauoi r de	-|-⌫-||-----⌫|-|
to z ceaus	--⌫|----|
quiotluiiroie ntenespagn iepe rdestruire	--|-|--|-----⌫-|-|------⌫-|--⌫|--------|
less arrazin s.	--|-⌫-------⌫||
epuiscomanda quetuit	|---|------|--|---|
cil quiestoientte nuen prison	--|--|-------|--⌫-|-|-----|
o e n liensf ussontmishor setuitc il	|-⌫|----|-⌫-----|--|---⌫||---|-⌫-|
es toientuenissont	--⌫-----|--------|
fer oitriches	---⌫--|-----|
esiilestoient	|-|-|-------|
n uill esuestir oit	-⌫|-|-⌫-|------⌫--|
esicomandaquetuitcil qui sen t rai ssoientqu	|-|------|--|---|--|--||--⌫-⌫---⌫------|-|
il fussont	-|------|
aco rdé ea tozceausquiestoientd eserité	---⌫---|||--|----|--|-------|-⌫-------|
quelomlurrendis t	--|--|--|------⌫|
lo rst erres	--⌫-|-⌫----|
esi comandaque	|-|------|--|
tuit cilquiuodro ientestrecheua lier	---|--|--|-----⌫---|----|-----⌫---|
q ue ueni sso ntisnelamentcar	-⌫-|----⌫---⌫-|---------|--|
illordonr r oit	-|--|----⌫-⌫--|
e a toz ceausquilauoient	||--|----|--||------|
serui ede luisestoientpermal talant	----||-|--||-------|--|--|-----|
parti quillo r rendroit	----|-|-|--⌫|-------|
lo rdeser te perla mor de	--⌫|-----⌫-|--||-⌫--|-|
e n icestem and ali bon sroi s sesgens	-⌫|-----|-⌫---⌫|-|---⌫|---⌫|--|---|
e moltenot	|---|-|-|
eieturp insquiauoecluiestoieles fi sconfes	|-|----⌫--|--|----|--|-----|--|--⌫|-----|
delurs pechiezeasos	-|---|------||---|
se gunt la	--⌫---|-|
poetequede usmauoit donee.	----|--|--⌫-||----|----||
quant li bons roiso ttotes	----|-|---|---|-⌫|----|
sesge nza uneessien	--|--⌫-|-⌫----|-|-|
hiot cente qu aranteequatre	-|-|---||--⌫-----||-----|
miretoz armez portens.	---|--|----|------||
lors entrakarlesen espa gnieeala contre	---|----|-----|-|----⌫---||--|-----|
aiguolant.	--------||
e ico sunt linomdesprincesq ui	|--|---|-|--|--|------|-⌫-|
auoeclu ifurentgie	----|--⌫|-----|--|
turpi ns arc euesques de remp zqui	-----⌫-|---⌫-------|-|----⌫|--|
s ermonoie lo	-⌫-------|-|
poble de conbatre ardi emen t ed ensegniersa nctecrestiantee	----|-|-------|----⌫----⌫|||--------|--⌫---|---------||
miar maimaintesfo ize mainz e nhi	||--⌫--|------|--⌫-||----|-⌫|-|
rollanzliduxdes oz licuen s del	------|-|--|--|-|-|----⌫|--|
ma nze li princes	--⌫-||-|------|
linieskarle lif i lzm ilol e	-|---|----|-|-⌫-⌫-|-⌫--|-⌫|
ducdangler snez debertela sero r	--||------⌫|--|-|----|-|----⌫|
karlecistlia menaquat remirehomes	----|---|-|-⌫---|----⌫-|---|----|
oa rmesmolt prozemoltbo nsemolt	|-⌫---|---|---||---|--⌫-||---|
oliuie rslisegu nsduxdesoz molt aigrescheualiers molt	------⌫-|-|----⌫-|--|--|-|---|-----|---------|---|
b atallie emoltpoissanz debra zmo ltbonsfereres	-⌫------||---|-------|-|---⌫|--⌫-|---|------|
despeelifilzraini erleconte l icuen sd	|----|-|---|-----⌫-|-|----|-⌫|----⌫||
lia mena cinquante	-|-⌫---|--------|
trois mire	----|---|
hom eso a rmes bo ns c on bateors .	---⌫-||-⌫---|--⌫-|-⌫--⌫------||
licue nsdelengres lifilzleconteliam ena	-|---⌫-|-|------|-|---|-|----|-|--⌫--|
quatremirech eual iers.	-----|---|--⌫----⌫---||
debretagnieliamenase tmire	-|--------|-|----|--⌫|---|
homes toza armes	----|--||----|
portens desarmes molt prozemoltfo rs.	------|--|----|---|---||---|--⌫-||
lidux daquit ainele namena quatrem ire	-|--||-----⌫---||-⌫|----|-----|-⌫--|
bo nsconba teorsm o lts auoient	--⌫-|-----⌫----|-⌫-⌫-|-⌫------|
d armesm oltsauoi ent d arxsede	|----|-⌫--|-----⌫--||---||-|
icestesteit	----|-----|
nez deguascognieeesteitduxd	--|-|---------||-----|--||
aqui ta ineaquitaineco	----⌫--⌫--|--------|-|
est eit uneci tezqui seet entreee	---⌫--|--|--⌫--|--|---|----|||
quecesa rs	--|----⌫-|
auguste s fundae	-------⌫|----||
aquitainel apelae	--------||----||
q ueequan tquelur	-⌫-||----⌫---|--|
apertene ntfussontsoietes	--------⌫-|------|------|
a ce l ecite sifu li paisapelezaqu it ai ne .	|--⌫-⌫|---|-|-|-|---|-----|---⌫--⌫--⌫-||
icelecitezla	----|----|-|
mort percoqueleperdi son bonsegnior	---|--|-|-|--|----|--|--|------|
gast eca rilen me nat ozles homes auoec	----⌫|--⌫|-|-|--⌫-|-⌫-|--|----|----|
furent mar tyren .	-----|---⌫--|-||
nionques puis ni	-|-----|---|||
hab ite r.	---⌫---⌫||
liroisdeb ordeu li amenatroismile	-|---|-|-⌫----|-|----|----|---|
ho mesob armes.	--⌫--|-|----||
lic onpa in s	-|-⌫----⌫--⌫|
lifr eiresrollant	-|--⌫----|------|
liroisdefris e	-|---|-|----⌫|
cist li amenarent set mirehomes.	---|-|--------|--|---|----||
liduxdediz	-|--|-|--|
ocgiers l iduxdedizmire	------|-⌫|--|-|--|---|
decestuiocgiercon telom e ncore	-|-----|-----|---⌫-|--|-⌫----|
quilfitmer uel li e sanz nomb re .	-|-|--|---⌫---⌫--⌫|---|----⌫-||
li princ esdeus mire	-|-----⌫-|---|---|
li roisde romeui n t mire	-|---|-|---|--⌫-⌫|---|
lia mena rentqua tremirecheualiers	-|-⌫----⌫---|---⌫--|---|---------|
guanelosqui futra itres	-------|--|-|---⌫----|
aprestozcez ta nt eustgentenl ost karle	----|--|--|--⌫-|---|---|-||--|----|
quil hiotquarantemirecheualiers ed e	-|-|-|-|-------|---|---------||-⌫|
ceaus de pie nen	----|-|--||-|
funus numbres.	-|--|------||
icistquisunt nome ́e	----|--|---|----⌫||
nu mbrési	--⌫----|-|
furenttu itchampionihesucr i st	-----|--⌫-|-------|----|--⌫-⌫-|
ebonbaron.	|--|----||
cistfurentnoblebatt ali eor	---|-----|----|----⌫---⌫--|
ecilmaintind r entlacrestiante ou monde	|--|--------⌫-⌫--|-|---------|-|----|
auoec colie mpereires de romeco nqui st	----|-|-|-⌫--------|-|---|--⌫----⌫-|
espagnieotl	-------|-||
segniordeuihesucris tloen gieea	------|--|----|----⌫|----⌫--|||
lagloi r e desonnom.	-|----⌫-⌫|-|--|--||
totecesteplantez de gent sase mblarent	---|----|------|-|---||---⌫-------|
on debordeutotelaterr e courire nt	-|-|-----|---|-|----⌫|-------⌫-|
de lonc e del e de de z	-|---||-|-⌫|-|--⌫|
iorn e essique dedoze lieues	----⌫-⌫-|-|--|-|---|-----|
quilf aizoient elisonse lif rem iss amenz	-|-|-⌫-------||-|---||-|-⌫---⌫---⌫----|
