L AFI LLE	--⌫|--⌫--|
auoequeslepremi er. Liarchier (fol.211)sehasterent	-------|-|-----⌫--|-|------|----|---|-|--------|
et disentSirenosdroist rop	-|-----|---|--|----|-⌫--|
atarge.Onala a le	------|-|--||-|
chartre si amena	------|-|----|
onlefilcouer td emoltbiaxke uiaxsans	-|-|--|-----⌫|-⌫|---|---|--⌫---|---|
barbeetsiestoit	----|-|-|-----|
febles quilne sepooitsou stenir. Etquantla	-----|-|-|-|-|----|---⌫------|-|----|-|
da mele uitsi enotpit iéet	--⌫-|-|--|-|-|-|---⌫--|-|
distSireplaist uo usqueieparoil	---|---|-----|--⌫-|--|-|-----|
encoreacestu i — Damefai ti loïl	-----||-----⌫||---|---⌫|-⌫|---|
uintaluisi li	---||--|-|-|
d ema ndaq ués	-⌫---⌫--|-⌫---|
hom iliertetquiilestoit	--|-|---|-|--|-|-----|
eti llidistDame ie sui fi exau uiel	-|-⌫|-|---|---|-|--|--⌫-|-|---|
pr imerain.Quanteleloïsi dist ase nseign eur	--⌫-------|----|--||--|-|---||--⌫|-----⌫--|
Sir eorm eferésuousgrant bon t éseuous me	---⌫|-|-⌫|-----|---|----|---⌫-⌫-|-|---|-|
dou- nésc he stu icarilse ́tdeskiés	----⌫---|-⌫--⌫---⌫|--|-|--⌫-||------|
etdet ables etdebiaxcon t es asés. Et	-|-|-⌫----|-|-|---|---⌫-⌫-|-----|-|
P ar maloyd amese.c.en	-⌫-|-|--|-⌫--|-|--|-|
----- -------- -- ------ ----------	-----⌫--------⌫--⌫------⌫---------|
uersi onXIII(2)p031	-----⌫-----|--|---|
Eleal e nuoia auoecl autre	--|||-⌫----|----||----|
ensa cambre	-|-|-----|
b. Liarchiersehaster entce tdisentau	-|-|------|-|------⌫---|-⌫|-----|-|
So udan Sire uous nousfaite s tor t	--⌫---|---|---|---|-----⌫|---⌫|
et li iours	-|-|----|
ua adéclin.On enalaal acartre	-||-------|-|-|--||-⌫|-----|
siena menaonlefil	-|-|-⌫---|-|-|--|
lecon tek imout estoit cargiésde caueusetentre -mellé s	-|---⌫-|-⌫|---|-----|-------|-|-----|-|-----⌫-------⌫|
commec ilki p iec ̧anauoitesté	----|-⌫-|-|-⌫---⌫|||----|----|
la ués. Ioueneshomestoitnen cor eenauoit	--⌫----|------|--|-----||--⌫---⌫-||----|
point debarbemaistan t	----|-|----|---|---⌫|
es toi tm agr eset	--⌫---⌫|-⌫---⌫-|-|
mal ad es e tfoibleskeamo utgrantf painese pooit	---⌫--⌫-|-⌫|------|-||--⌫-|-----|----|-|----|
souste n ir.Et	------⌫-⌫--|-|
quan tladamele	----⌫|-|---|-|
otmoutgrant pit ié.Ele uint	-|---|----|---⌫---|--|---|
aluise lidemandaqueus	|--|-|-|------|----|
ho m si lestoitetdontil	--⌫||-⌫|-----|-|---|-|
estoith.Ilres pondiD a me ious uifius	-------|-|---⌫----|-⌫-⌫-|--|-⌫-|---|
a uuieil hommepremerain.Ele s otbienke	-⌫|----|----|---------|--|-⌫-|---|-|
çouestoitsesfreresm ais	---|-----|--|-----|-⌫--|
nulsamblantn	--|-------||
enfist.S ireifai t elekau Soudanor	-|----|-⌫---|---⌫|---|-|-----|-|
me fériés	-|-------|
uousmout grande	---|---|-----|
bonte ́se uo us medouniéscestui.Il1 sétd es	-----⌫|-|--⌫-|-|-------|------|--|---|-⌫-|
eschiésetdes ta bleset d es	-------|-|--|--⌫---|-|-⌫-|
biaus cont eski	----|----⌫-|-|
mou tnouspl airoi entaoi ̈r. Etli	---⌫|---|--⌫-----⌫--||--⌫--|-|-|
so udans li	--⌫----|-|
distDamem par ma	---|---||--|-|
loysil en iauoitcent si	--||-|-||----|---|-|
lesu ousdon-	--|-⌫--|---|
uersionX IIIp032	--------⌫------|
iauoit silesuousdou roie iouuolentiersLa	|----|-|--|---|---⌫---|--|---------|-|
dame l enuoia auoecl es.ii.Onralaa	---||-----|----|-⌫-|---|-|---||
l achartresien ra menao n.i.	-⌫|------|-|-|--⌫---|-⌫|--|
a utre .Eleparlaalu i n en	-⌫----⌫|--|----||--⌫|-⌫-|
conn ut miel iurés	----⌫-|--|-⌫-----|
fuason martire.	-||--|-------|
15. — ABai nsqueleonqu es puets	--|||---⌫-|-|--|----⌫-|---||
e n lacham breusiprison	-⌫|-|----⌫--||-|-----|
estoient etq uant i l	-------|-|-⌫---|-⌫|
leuirentuenirsi firent sanllan tdele uer et	-|-----|----|-|-----|-------⌫|-|--⌫--|-|
eleleu rfist	--|---⌫|---|
signeq uilsesisent	----|-⌫|-|-|-----|
quoi.Eleuint pr ésdausetliquens	----|--|---|--⌫--||--|-|-|----|
li demanda Dame	-|------|---|
quantnousociraonEtel el or	----|---|----|-|-|--⌫|-⌫-|
ni e rtmie sit ost.	|-⌫-⌫-|--|-|-⌫---|
—Dam ef aitilcepoi se nouscarnous auons	|---⌫|-⌫--|-|-|---⌫-|---|--|---|----|
sifain quelicuer no us partent .Etele	-|---|--|-|---|--⌫-|-------⌫|-|--|
senessi et fistaparelleruiandesi leurapor ta	|-|---|-|---|--------|-----|-|---|----⌫-|
ettrenc ham eïsmea s a mainet	-|-----⌫-|-⌫-----||-⌫|---|-|
sidounaachascun.i.mors elet	-|----||------|--|----⌫-|-|
--------- -- -- -------------- ----	---------⌫--⌫--⌫--------------⌫---|
uersionXI I I ( 2)p032	---------⌫-⌫|-⌫-|---|
moiituole n t iers (fol.319e)L ada me len	----|----⌫-⌫-⌫---|----|--|-|-⌫|--⌫-||-|
mier-ciamoute ta	-------|---|-⌫-|
lepr i st et l	-|--⌫-⌫-|-||
e nuoiaerranmentbensa cambr e.Onra la	-⌫----|---------|-|-|-----⌫-|-|--⌫-|
alacartre senr am enaon .i.autre.	|-|-----||-|-⌫--⌫--|-|--|-----|
Lac dames em-partidd i lluec	--|---||-------|||-⌫----|
car elenen counutmie.	--|--|--|-----|---|
Menésefuason	------|-||--|
mar tireet	---⌫---|-|
no stresiresIh es u Crisrec hi uts ame.	--⌫---|----|--⌫--⌫|---|---⌫--⌫-||---|
dames en alaat ant carnésliplaisoit	---||-|--|--⌫--|--|---|-|-------|
pashli mar tyreske	---|-|---⌫----|-|
li Sarraz in faisoient descr estiiens.Eleuinte nsa cambre	-|------⌫-|--------|--|--⌫--------|--|---|-⌫|-|-----|
uliprisounierestoient et quant	|-|---------|-------|-|----|
illeuir e n tuenir	-|-|---⌫-⌫-⌫|----|
si lisent samblant d	-|-----|-------||
eusleueretel e lorfist	--|----|-|--⌫|--|---|
signek llse ten issentchoi.Ele	----||-|-|---⌫-----|----|--|
uinti prie ́s d iaus	---||----⌫-||---|
kimou testo itsagesli1d eman da etdis tDamequant	-|---⌫|----⌫-|----|--|-⌫----⌫-|-|---⌫|---|----|
n ous ocira	-⌫--|----|
on Ele distÇou	-|--|---|---|
encore.—Damefait nilçoup oise	------||---|---||-|---|-⌫---|
nous carnousauo ns sitrèsgrantfain	---|--|---|---⌫-|-|----|----|---|
quepo urpoike	--|--⌫-|--|-|
licue rnenous	-|---⌫|-|---|
partent. Elesen is si etfi stapareillier	-------|--||-|--⌫-|-|--⌫-|----------|
uiande s iloraportaet0en	-----|-⌫|--|-----|-||-|
dounaacascun un peu	----||-----|-|--|
uersionXIIp 033	-----------⌫--|
petitaboire. Et qu antil orentchoupris	----||-----|-|--⌫--|-|----|---|---|
pl us fainque deua nt .Ensil or	--⌫-|---|--|----⌫--⌫|---|-⌫-|
dounaa me ngierpar	----||--⌫----|--|
. x. foisle	|-|---|-|
io uretachas cunefois	--⌫-|-||----⌫---|---|
. i.morsel	|-|-----|
ou .ii.La nui t a	-||--|-|---⌫||
aise iurent(f o l.211	---|-----|--⌫-⌫-|--|
b)E nsila d ametous les.	-|-⌫--|-|-⌫--|---|--||
uiii . iourslespe ute taais aachas cune foi sp eti t	----⌫|----|--|--⌫-|-⌫|----⌫||----⌫---|---⌫|-⌫---⌫|
ett a n t quil furent si f ortque leleur	-|-⌫-⌫-⌫|-|-|-----|-|-⌫--|-|-⌫-|---|
abandouna uiand e et	--------|-----⌫|-|
bo ir e. Aus iil eurenteskiés et taules etiuerent	--⌫--⌫-|---⌫|-|-----|------|-|-----|-|------|
si f ur enttôt a ise.Lisoudans estoit uol entiers auoec	-|-⌫--⌫--|---|-⌫---|-|------|-----|---⌫------|----|
auspourueïrio ueret la damesisa geme nt	--|---|----|--⌫--|-|-|---|-|--⌫----⌫-|
se w ardadeu antausc on-ques	-|-⌫---|---⌫--|--||------|
niotce luiquie ustoeul	||-|--⌫--|--|-⌫--|---|
nepenseealiconnoistre .	-|-----||-|----------⌫|
16.— Petitdemo ur aaprèskel i	--||----|----⌫--⌫|-----|-|-⌫|
sou dansot afa irecar .i.soudansqui	---⌫---|-||--⌫--|--|--|------|--|
aluimarc isoit	|--|----⌫----|
silifi st s at er elaideet ilpor	-|-|--⌫-|-⌫|-⌫--⌫|----|-|-|--|
------------ -- ---------------- -	------------⌫--⌫----------------⌫|
uersionXIII(2)	----------|--|
aboire.Et qu an til	|-----|-|--⌫--⌫|-|
orentçouprissieu r entplus fa inakedeuant.	----|---|---|-|--⌫-⌫--|---|--⌫--|-|------|
Ensi lord ouna a mang ier.x. fois	---|--|-⌫---||----⌫--|--|---|
leiorpe t it e t	-|--|--⌫-⌫-|-⌫|
elesedouto itkesl lmangaisenta aba ndonke	--|-|-----⌫-|-||-⌫|---------||---⌫---|-|
il ne npres is sent tant	-||-⌫|----⌫--⌫---|---|
lorgreuastet po iirçot i lesfaisoitb	--|------|-|--⌫--|----⌫|--|-------|
ensimangierat empreement.Ensic laboine	---|------|--⌫----------|----|-|----|
damele sapeüs	---|--⌫||----|
e t aes te ́deuant iaustous(fol. 319 f)les	-⌫||--⌫--⌫|-----|---|---|----|---⌫-|--|
.uiii.iourspremerai n setiesnu is	-----|----|--------⌫-⌫|-|--|--⌫-|
eleles faisoitiesir a	--|--|------|----||
aiseet fistc osterleur mauuaisd r as et	---|-|----|----|---|------|-⌫-⌫-|-|
lor fist douner	--|---|-----|
nés. Apri é sle s .- uiii.iors elelespeutpetit	----|----⌫--⌫|--⌫|--⌫----|---|--|--|---|----|
etpeti tet p lus	-|----⌫|-|-⌫--|
etplusetflo rfist aportcreaboire	-|---|--|--⌫|---|-------||----|
alauenantet tantkilfurent	||------|-|---||-|-----|
s ifortke e leior abandonnalauiandeet	-⌫|---|-|-⌫-|--|--------|-|-----|-|
ausi.Ilore nteschiés et tables s iiuerentet	----|-|---⌫-|-------|-|-----|-⌫|------|-|
fur entto utaaise.Li	---⌫--|--⌫-||----|-|
soudanse stoits ouuentauo eciaus e t	------|-⌫----|-⌫-----|---⌫-|---|-⌫|
uolentierslesueoitiueretmoutliplaisoitet la	---------|--|----|---|-|---|-|-------|-|-|
dame sageme nt secontenoithsikeonquesn	---|------⌫-|-|--------||-|-|-----||
celuiki lecouneü s t n epar dit	----|-|-|-------⌫-⌫|-⌫|--|--|
ne p arf ait.	-|-⌫-|-⌫---|
1 6.—Pe titdemouraapres c e st afaire	-⌫-||--⌫--|------|----|-⌫-⌫-|-----|
contes distkelisoudanso ta faire	-----|---|-|-|------|-⌫||----|
carunssoudansm out richeski aluimarchissoi t li	--|--|------|-⌫--|-----|-||--|----------⌫|-|
tierelaide etle commencha a	----|----|-|-|--------||
uersionXIIIp034	--------------|
u engierm andagent.Et quantladamele	-⌫-----|-⌫---|----|-|----|-|---|-|
seutsiuinten	---|-|---|-|
lacan bre u sipr isou nier	-|---⌫--||-|--⌫----⌫---|
estoient etiliere ntsiacous - tume ́que pour	-------|-|-|----⌫-|-|-----⌫-⌫----⌫|--|---|
senalerneporsenu enir il ne s e	--|---|-|--|--|-⌫---|-|-|-⌫|
mou-uoie nt. El esasit	--------⌫--|--⌫||---|
en une kaieredeuant aus si lesapela	-|--|-----|-----|--|-|--|----|
etdistSeigneu ruous m aué sdit deuost re a fa ire	-|---|-------⌫|---||----⌫|--|-|----⌫-|-⌫--⌫--|
unep art i eorueu	--|-⌫---⌫-⌫|-|--|
seuo irs estche qu euousm auésdi t.	-|--⌫--|--|--|--⌫|---||----|--⌫-|
uousmedésistéskeuousestiésquensdePontieu	---|-|---------|-|---|------|----|-|------|
etquecileut	-|--|--|--|
uostre fille etqueci lest uostre	-----|----|-|--|--⌫|--|-----|
fiex.Iesui Sarras ine	----|-|--|------⌫--|
ets aid art.	-|-⌫-||---|
Si uousdique u ou snefust esonquesp rés	-|---|-|--|-⌫--⌫|-|----⌫-|-----|-⌫---|
d esihonteu semortque	-⌫|-|------⌫-|---|--|
uou seste s or eseuo us uoirne me di tes et	---⌫|----⌫|--⌫|-|--⌫-|---|-|-|--⌫--|-|
iousaraibiense uousdirés	--|----|---|-|---|-----|
uoir.u ofille que cilcheualiers	----|-⌫|----|--|--|---------|
otespouseeq ue deu intele —Damefaitl i	-|-------|-⌫-|---⌫--|--||---|---|-⌫|
quensioucuit quel e s oit morte.— Coumentmor u t	----|--|---|-|--⌫|-⌫--|-----||------|---⌫-⌫|
elefaitla d ame. —Dame f aitli	--|---|-|-⌫---||---|-⌫--|-|
quensparune	----|--|--|
-------------------------------	------------------------------|
ue rsionXIII(2)p034	--⌫--------|--|---|
guerroii er etilpou r ueng iers o n anu imand ag e nt	--------⌫-|-|-|---⌫|----⌫--|-⌫-⌫|---⌫|----⌫|-⌫-⌫-|
detout esparset assambla	-|----⌫-|---|-|-------|
granto st.Qu a nt	----|-⌫--|--⌫-⌫-|
la damealesot s i uint	-|----|-|--|-⌫|---|
la cam breu	-|---⌫--||
li p ris ones t oient. Elesasistdeuantiaus	-|-⌫---⌫-|--⌫-⌫-----|--||----|-----|---|
sil es api ela cet	-|-⌫-|---⌫---⌫|-|
distSeignour uous mau és ditdeuost reafaire	---|-------|---||--⌫--|--|-|----⌫-|-----|
unepartieor uoeli ousauo irse	--|-----|-|---|-⌫-|----⌫-|-|
çou estuoi rsdk euous	---|--|---⌫--|-⌫|---|
mauésd it u no n ecar	|----|-⌫-||--⌫-⌫|--|
uousme désistéskeuou s estiésquens	---|-|---------|-|---⌫|------|----|
dePontiu auiourke	-|-----|-|---|-|
uousfemp artistesetkecilhom la auoit	---||-|-⌫-------|-|-|--|--|-|----|
eü euos tre filleet ke	---⌫|---⌫--|----|-|-|
cilautreslaestoit	--|-----|-|-----|
uostresfiu s. IousuiSarrazi ne	------|---⌫-|--|--|-------⌫-|
sisai dartetgdastrenomie. Si	-|--||--|-|||----------|-|
uousnef ust es	---|-|-⌫---⌫-|
onq uessi priés	---⌫--|-|-----|
de honteuse mortco mu ous est esore	-|-------|---|--⌫|-⌫--|---⌫-|--|
uériténemedites deço u	-------|-|-|----|-|---⌫|
keiouuous deman d eraihet	-|--|---|-----⌫-⌫----|-|
bien saura ise	---|-----⌫|-|
uous uoir1 medi tes.uostre	---|----|-|--⌫---|-----|
fillekecisc heualie rsotkedeu intele —	----|-|--|-⌫-------⌫-|-|-|---⌫--|--||
Dame fist li quenscio ucroike el e	---|---|-|----||--⌫|---|-|--⌫|
soitmorte. —	---|-----||
Comment moru tele	------|----⌫|--|
faitladamei.—	---|-|-----||
uCertesd ame fai tl iq uensp arune	|-----|-⌫--|---⌫|-⌫|-⌫---|-⌫-|--|
o ccoisonkeledesie r ui.	-⌫------||--|-----⌫-⌫--|
uersionXII p035	----------⌫---|
oquoisonquele deserui.—Kele fu loquois onsfai t	-------|-|--|-------||---|-||------⌫--|---⌫|
lada me.Liquenslicommence	-|--⌫--|-|----|-|-------|
aconte rlem ariageetlata rgem entdoir	|-----⌫|-|-⌫-----|-||---⌫----⌫--||--|
quele ne potauoir.Li boinscheualiers	-|--|-|--|-----|-|----|---------|
pramist(fol. 212)lau oiea	------|----|-|-|-|-⌫--||
monseigne ursaint Iakeelelirequistd	---------⌫-|----|---|--|-|------||
alerauoec luiet illi otroiaet	---|----|--|-|-|-|-----|-|
alerent sent .Il uinrent	------||---⌫|-|------|
lieuou i lf u rentsanscon- paignie	---|-|-⌫|-⌫-⌫---|---|----⌫------|
sit rouerentlarrons en uneforest .Li	-|-⌫-------|------|-|--|------⌫--|
bo inscheualiers ne	--⌫--|---------|-|
puetmiecontretou smais ilentua.ii i. .u.	------|-----|---⌫|---|-|-|--|---⌫-|--|
enidemourerentetpr isent le	-||----------|-|--⌫----|-|
b oncheualieret	-⌫-|--------|-|
ledes -uestirent ensac emise	-|---⌫---------|-|-|-⌫----|
luietla dame.	--|-|-|----|
li loie-rent l espiésetles	-|--------|-⌫-|----|-|--|
mainse tle ieterenten.i.bui so n	----|-⌫|-|-------|-||-|---⌫--⌫|
d eronc es . Ilui rentl ad amebe lesi	-⌫|----⌫--⌫|-|--⌫---|-⌫|-⌫--|--⌫-|-|
ch as cunsauoir.	--⌫--⌫---|-----|
----- ---------- ----------------	-----⌫----------⌫---------------|
uersio nXIII (2) p035	------⌫----|--|---|
Q uelefuliocoiso ns faitl adam e. Liquen s	-⌫---|-|-|------⌫-|---|-⌫|---⌫-|-|----⌫|
c ommenchaa contertout3emplou rantcomment b	-⌫-------||-----|----|-|----⌫---|-------⌫|
il lauoitmarieeet l ata rgementkilc	-||----|-----|-||---⌫------||--|
ne p ooienta uoirenfant	-|-⌫-----|-⌫---|-----|
etcommentliboi nsdieualiersproumist se	-|------|-|---⌫-|---------|-------|-|
uoiea monseignor saint Ia keenGalisseet	---||---------|----|--⌫-|-|------|-|
keladamelirequ istke illel ais sastaler	-|-|---|-|----⌫--|-|-|-|-⌫---⌫---|---|
auoecluieti i liotriauolentie rs.Ilmure nt	----|--|-|-⌫|-|----|--------⌫--|-|----⌫-|
a grantioie etsena le rent etta n tk	|----|---|-||-|-⌫--⌫---|-|--⌫-⌫||
i lu inr ente n.i .liu	-⌫|-⌫---⌫--|-⌫|--⌫|--|
fure ntsanscompaignie	----⌫-|---|---------|
si trouuèrent larronsen une	-|----------|------|-|--|
forest bien armés.Illorcouru rents us.Liboinscheualiers	-----|---|------|-|--|-----⌫---|-⌫--|-|----|---------|
notmiepooircontreiaustoitscaril	|-|--|----|-----|---|----|--|-|
estoitsansarmes	-----|---|----|
maisparm itoutçouenoc i stil	---|--|-⌫|---|---|-|--⌫-⌫-|-|
. iii.e t.u.en	|---|-⌫|--|-|
demou reren t ki licoururent	-----⌫-----⌫|-|-|--------|
susetl ioc isent	--|-|-⌫|--⌫----|
sonpalefroi	--|-------|
e tpris ent lecheualie r etledespouillierent iusca	-⌫|----⌫--|-|--------⌫|-|-|--------------|---||
la chemise etlil oieren tl espiéset	-|------|-|-|-⌫------⌫|-⌫-|----|-|
les mainse t le ieterent gen.i.	--|----|-⌫|-|-------||-|--|
bu i ssonderonsceset	--⌫-⌫---|-|------|-|
lad amedespoullierentetlitolirent sonpa lef ro i. Il	-|-⌫--|---------------|-|-------|--|--⌫---⌫--⌫-|-|
( fol.3 20b)esgard eren tladame et u i rentke	-⌫---|-⌫-|-|------⌫----⌫|-|---|-|-⌫-⌫---|-|
eleesto itmol tbieleet i	--|----⌫-|---⌫|----|-||
leuautcas cun s auoiretapr iés	-|---|---⌫---⌫|----|-|---⌫---|
ilsacorde rent a	-||------⌫---||
uers ionXIIIp036	----⌫----------|
Achousa corder entens anlle que tout .u.	|---||-⌫------⌫--|---⌫----|--|---|--|
iurenta lui.	-----||---|
E t quant il	-⌫|----|-|
orent ch e fait sisenpartirentet	----|--⌫|---|-||-|--------|-|
ele rem est.Li	--|---⌫---|-|
boinsch eualiers	----|--⌫-------|
le uit e tlipr iamolt	-|--|-⌫|-|--⌫-|---|
doucementDame	--------|---|
ormedes lo iéssinous	-|-|---⌫--⌫---|-|---|
enirons. E leuitune espeequi	-|-----|-⌫-|--|--|----|--|
a.i .deslarronsestoit keüesi	||-⌫|--|------|-----|----|-|
lepristetuintuers	-|----|-|---|---|
san llant demoltgrantireet	---⌫----|-|---|----|--|-|
lidis t Ieu ous	-|---⌫|-|-⌫--|
d eslierai.Ele tin tlesp een ueetlencuida	-⌫--------|--|---⌫||---⌫-|-⌫-|-||-|----|
ferirparm ilec ors.	----|----⌫|-|-⌫---|
Parl euolentédeDi euetpar leuiguerdu	--|-⌫|-------|-|--⌫-|-|--|-|-----|-|
boincheualierilsetournach oudesousdeseure.	---|--------|-|-|-----|--⌫-|-----|-------|
Eleataintlesloi e ns	--|-----|--|---⌫-⌫-|
siles tr encha etli blecha	-|--|--⌫----|-|-|-----|
lesbras.Lesmainzli lasquierentet	--|----|--|----|-|----------|-|
ilro mpi lesloiens desespiés et	-|--⌫--|--|-----|-|--|----|-|
salis ussib leciés	---|-⌫-|-|-⌫------|
cornilestoit	---|-|-----|
et dist 1li DameseDie uplaist	-|---||-|---|-|---⌫|-----|
uo u snem oc i réshuima isEtele lidist	--⌫-⌫|-||--⌫-⌫---|-----⌫-|-|--|-|---|
Cepoise mo i.—Afaitladame	-|----|--⌫-|||---|-|---|
bi en saique u oir aués	--⌫-|--|--|-⌫--|----|
---- -- - ------ ---- --------------	----⌫--⌫-⌫------⌫----⌫-------------|
uersionXIII(2)p036	----------|--|---|
durentiesi ra	-----|----⌫||
ladameeten lisen tleuruolentésmaugré	-|---|-|-|-----⌫|---|--------|------|
li. Etquant ilorentçou	--|-|----|-|----|---|
se n alerent	|-⌫|------|
etael e remest	--|--⌫|-----|
mout dolante etmouttris tre.Liboinsc heualiers	---|------|-|---|----⌫---|-|----|-⌫--------|
le uitsel ip roia mo ut doucement	-|--|-|-⌫|-⌫---|--⌫-|--------|
et distbc D ame orc	-|----||-⌫--|--|
medesloiié smesmains sinous	-|---------⌫|--|----|-|---|
en ir ons. Eleduit eune	-|--⌫---|---|--||--|
espeefaundes laron skiocis estoit el eprist	-----||-|--|-----⌫|-|---|-----|--⌫|----|
uintenuierssonsegnour ki ens igissoitetuinten	---|------|--|------|-|---⌫|------|-|---|-|
sa mbl ant de	--⌫---⌫--|-|
g rantireet distIouu ous desl oiera iia.Ele tint	-⌫---|--|-|---|--|-⌫--|----⌫-----⌫|--|--|---|
le speetout enueetlel i au ce•am ont e t	|-⌫---|----⌫|--|-|-|-⌫-⌫--⌫-||--⌫--|-⌫|
lequidaferir parmilecorsmais	-|----|----|----|-|---|---|
p ar la uol enté iIhesuCrist etpar lauigo r	-⌫-|-|---⌫----||----|----|-|--|-|----⌫|
aupreud oumeilseto rnaçou desous dese ur e. Ele	-|-----⌫---|-|-|--⌫--|---|-----|----⌫--⌫-|--|
atai nstlesl oi ie ns1dontil estoit	----⌫--|--|-⌫--⌫--⌫--|---|-|-----|
tollés silestrencaetils ailli	------|-|--|-----|-|-|-⌫----|
s usTMtou s	-⌫---|---⌫|
sibl echiéscom il	-|--⌫------|--|-|
f u etdist	-⌫|-|---|
D iu pl aistuousnemocirés mie	-⌫-|--⌫---|---|-||------|--|
li uimais1—Ha	--⌫-----|||-|
1nf istla dame biensa i	-|-⌫--|-|---|---|--⌫|
uersionXIIIp037	--------------|
it et b ie n sai po r	-|-|-⌫--⌫|--|--⌫|
quoi elel euautocirre.—D amepor q uoi—	---|--|-⌫|---|-------|-⌫--|--|-⌫--||
Por legrant	--|-|----|
hont equilauoit ueüqueeleauoitsouffert e	----⌫|-|-|----|---|--|--|----|--------⌫|
etre chutdeuant lui. E tquantmesiresTie-baus	-|--⌫---|-----|---|-⌫|----|------|-------|
sic ommenchaaplorer(fol.212b)	-|-⌫-------||-----|----|--|-|
moltten-remen tetdistElasqués	---|---------⌫|-|---|---|----|
au oitele DamefaitllsimeuoelleDiexdéliurer	--⌫--|--|---|---|-|-|-|-----|---|--------|
prisonuies ui	-----||-|-⌫-|
ia por cepieursanllan tne l	-|--|-|----|-------⌫|-||
e ne üs sefait. —Sirefaitelechen ecuidoit	-⌫|-⌫---⌫-|----||---|---|--|--|-⌫|------|
elemieadon t.	--|--|----⌫-|
17. — Or meditesfait	--||-|-|----|---|
eleleq uellecuidiésu ou s miexouu iu eou	--|---⌫--|-|-------|-⌫--⌫|---|-|-⌫--⌫|-|
morte—Damefontllnous	----||---|---|-|---|
n esau onsmieleke l.—Maisbie n	-⌫|---⌫--|--|----⌫-||---|---⌫|
saifaitl iquensquecrueluen i ancheen fuprise.	--|---|-⌫|----|--|----|---⌫-⌫----|-|-|-----|
s ilplaisoita . Die ufaitladamek	|-|-------|||---⌫----|-|---||
elef ustescapeedeceltourment	--|-⌫--|------|-|--|-------|
et uou sen	-|---⌫|-|
poiésno uelesoïr ken	-----|--⌫--------||-|
diriésuo us—Dame	------|--⌫-||---|
fa itli quens	--⌫-|-|----|
ieneser o ie mie si liés	-|-|---⌫-⌫-|--|-|----|
déliurésde	---------|-|
-------- -------------------- ---	--------⌫--------------------⌫--|
uer si onXIII(2)p037	---⌫--⌫-----|--|---|
uoir a uésditae tbi en sai	---|-⌫---|---|-⌫|--⌫-|--|
p ourco iele le ua iitfaire.—Damedis t	-⌫--|--⌫|--|-|--⌫--|-----||---|---⌫|
ilbpourcoi	-||---|--|
—Ciertescf ait	|-------|-⌫--|
elleporlagr anthonteki	---|--|-|--⌫--|----|-|
auenueliestoit.Quantmesi re d Thi e baus	-----|-|------|----|----⌫-||---⌫-⌫---|
l oÿs icommençaa p loure rmout	|--|-⌫|--------||-⌫-----⌫|---|
tenremente tdistHa-las	--------|-⌫|---|-----|
quele coupei auoitele Dame	----|----||----|--|---|
faiteilsif	----|-|--|
Diex déliurance dela p risonu	---|----------|-|-|-⌫----||
iousui iapou rc ̧oupioursamb lant	--|--|-|---⌫|-⌫--|----|----⌫---|
(fol.320c)neleneu ̈sse	----|--|-|-||-|--⌫---|
faitcar cefumau-grésien . —Sire	---|--|-|-|-------|----⌫||---|
fait lada m eçou	---|-|--⌫-⌫|---|
n equidoit elepas .	-⌫|------|--|---⌫|
17.— Or medi tes f a itla dame	--||-|-|--⌫--|-⌫-⌫-|-|---|
alequ elquid ie ́ suousmius kelesoit morteu	|----⌫-|----⌫--⌫-⌫|---|---||--|---|----||
ui ue— Damedistilnousnesauons.	--⌫-||---|---|-|---|-|------|
li q uenske lagrans painne que	-|-⌫---|-|-|----|-----|--|
nousauons souff ertekeDius	---|----|-----⌫---|-|---|
lenous af a its	-|---||-⌫-⌫--|
pour le pec hiéke iou fisen li. —Ets	---|-|---⌫---|-|--|--|-|--|--||
il plaisoitaDiufaitladameke ele	-|-------||--|---|-|---|-|--|
fu stu iue e tke	--⌫-|-⌫--|-⌫|-|
peüssiésoi ̈r uraies nouuielesk endi riés uous—	---------|--⌫-|-----|--------||-|--⌫----|---||
Da mef aitl iquens	--⌫-|-⌫--|-⌫|----|
iouneseroiemiesiliésd	--|-|-----|--|-|----||
e str edeliurésde ceste pri so n ne d auoir autant	-⌫---⌫|--------|-|----|---⌫--⌫|-||----|-----|
uersionX I IIp038	--------⌫-⌫-----|
ceste prisonet dauoir a u t antde te rre	----|-----|-||----|-⌫-⌫-⌫--|-|--⌫--|
encrutures que iou	-|-------|--|--|
oionques— Damef ait mesire	-|-----||---|-⌫--|-----|
T.etieneseroie mi esi liésdauoir	-|-|-|-|-----|--⌫|-|----||----|
leplusbeledame	-|---|---|---|
d umonte t d au oir	-⌫|---|-⌫||--⌫--|
leroiaume de F ra ncea uoeclui—Chertes	-|------|-|-⌫--⌫--|-⌫---|--||------|
damefaitli	---|---|-|
io ulesnon	--⌫---||-|
ne meporroit dounerneprametr edequoi ie	-|-|------|-----|-|-------⌫|-|---|-|
fusse si liésQuantladam eoï	----|-|----|----|-|---⌫|--|
lorparoles sil iate ndr ilicu e r setd ist Diex	--|------|-|-⌫|---⌫---⌫|-|--⌫-⌫-⌫|-|-⌫--|---|
en s oitaou-résOrgard e ́s	-|-⌫--|-------|-|----⌫-⌫-|
quilnaitfa in tiseen uosparoles.	-|-||--|--⌫--⌫---|-|--|-------|
