Cycom me nc e	-|---⌫--⌫--⌫|
Helastr es haultet	----|--⌫--⌫----|-|
puissantroyqui pourroituo usre compance rletres ha ult	-------|--|--|-------|--⌫-|--⌫--------⌫|-|----⌫--⌫--|
biene tsecours quedeuost rebenigne graceauez	---|-⌫|------|--|-|----⌫-|------|----|---|
don néacestepouu reca pti ue Cestchose	---⌫--||----|----⌫-|--⌫---⌫-||--|----|
imposs i ble atous	------⌫-⌫--||---|
les h u mainsma isnost r e	--|-⌫-⌫----|--⌫-|----⌫-⌫|
Iesuscr istd oint g racea monse igneu r monmaryet a	-------⌫--|-⌫---|-⌫---||-----⌫-----⌫|--|---|-||
moydefaire	--|-|----|
leposs i bl e et	-|----⌫-⌫--⌫|-|
Dieuuueill e leresidu	---|------⌫|-|-----|
parfaireensasaincte gloire	-------|-|-|------|-----|
Bel le seurdit leroy	---⌫-|---|--|-|--|
q u i fortfutcontantdes onrecueil cela est	-⌫-⌫|---|--|------|-|-⌫-|------|---|--|
toutcompense ́ neparlons plus que de fairebonnechiere	---|--------⌫|-|------|---|--|-|----|----|-----|
E tallezueoir uostremaryquiuienticy après	-⌫|----|----|-----|---|--|----|--|-----|
aueclesprisonnierset g e nsdeuo streroyau lme	---|--|----------|-|-⌫-⌫-|-|--⌫---|-----⌫--|
Sir e dit ell equan tieuousuoyi euoytout	---⌫|--|---⌫|----⌫|-|---|--|-⌫|--|---|
sine uouslais sera y	-|-|---|----⌫----⌫|
maisqueie neuousd espl ais e	---|--|-|-|---|-⌫----⌫---⌫|
iusques ala uille	------||-|----|
Qua ntleroyuit la grant h umilité d eces te	---⌫-|-|--|--|-|----|-⌫-------|-⌫|---⌫-|
femme illafit mo nterac heu al	----|-|-|--|--⌫---||-⌫---⌫-|
ets en retournaa rrier eetla mena	-||-|-------|-⌫-----⌫|-|-|---|
auecqlu ya forcedeuersler oyd	----|--⌫||----|-----|-|-⌫-||
Espaigne s onmaryqu igran t fes telu y	-------|-⌫-|---|--⌫|----⌫|---⌫-|--⌫|
Sisenallerentmou lt	-||-|-------|---⌫-|
ioyeusementendeuisant demoultdechoses	----------|-|-------|-|----|-|-----|
iusquese nla	------|-⌫|-|
uille laquel lefut t outetendueleplus	----|------⌫-|--|-⌫---|-----|-|---|
r ichementqu elo npeu tfaire	-⌫-------|--⌫||-⌫|---⌫|----|
Etfut receu lenobleroyde	-|--|----|-|----|--|-|
Franceauplusgran thonneuret hum ilitéque lon	-----|-|---|----⌫|------|-|---⌫-----|--||-|
peutdontluyet tousses	---|---|--|-|---|--|
c ontenterentmoult fortetfu r entbien	-⌫----------|----|---|-|--⌫-⌫--|---|
ioyeuxdeueoir	-----|-|----|
cet teb elle uilleet	---⌫-|-⌫---|----|-|
sibienac o ustreecommeelle est oitcaroncquesnauoient	-|---|--⌫-⌫-----|----|---|---⌫--|--|------||------|
ueutelles besongnes	--|-----|--------|
C o mmelenoble	-⌫-⌫--|-|----|
Fr anceentrae nla nobleu illed e	--⌫---|----|-⌫|-|----|-⌫---|-⌫|
Seguo nyeauecleroy etlaroyne d	-----⌫--|---|-|--|-|-|----||
Espaigneetaussilesprisonniers	-------|-|----|--|----------|
qu ilme noit apr èsluypourenfaire	-|-|--⌫---|---⌫--|--|---|-|----|
lapugnitiontel lequ	-|--------|---⌫-|-|
ilap partenoit	-|--⌫--------|
Quinzeioursduralafesteen	-----|----|---|-|----|-|
Seguonyeou il	-------|-|-|
fut fa itdemoultbeaulxesba temensetio ustes	--|--⌫-|-|----|-----|----⌫-----|-|--⌫----|
q ueie lai sse	-⌫-|-|---⌫--|
pour cause debriefuetémaistous ioursfaisoitfa ire leno bl e	---|----|-|---------|---|----⌫----|------|--⌫--|-|--⌫--⌫|
Franceiustice deceulxquiauoientencommanc élin iur e	-----|------|-|----|--|------|---------⌫-||--⌫---⌫|
contre ler oyd	-----|-|-⌫-||
boutdequ inze	---|-|--⌫---|
ioursdrecerungeschaff aultau	----|-----|--|-------⌫---|-|
milieudelauilleet illec	-----|-|-|----|-|----|
de uant tou tlep euple	--⌫---|---⌫|-|-⌫----|
fitdecolerles quatre plusprinc ipa u lx	--|------|--|-----|---|-----⌫---⌫-⌫-|
coulp ablesduc as	-----⌫----|-|-⌫-|
pu ise nuoyaen ch a scunebonne	--⌫-|-⌫----|-|--⌫-⌫----|----|
u ille ci nqdesaultre s pourmonstrerexempleau	-⌫---|--⌫-|--|------⌫|---|-------|------|-|
peuple debienseru iret	-----|-|---|----⌫-|-|
o beyr ale ur r oy mie u lx	-⌫---||--⌫-|-⌫-|---⌫-⌫-|
quil zn auoientfa itparauant et	-|--⌫||------|--⌫-|--|----|-|
queung chas cuny prist exemple	--|--|----⌫--||----|------|
Après ce mit le royd	-----|-|--|-|--||
Espaigneen sonroyaulme et futmieulxobe y	-------|-|--|-------|-|--|-----|---⌫|
etcrai nctqueiamais nauoit estépara uant	-|----⌫--|--|-----||----|----|--|-⌫---|
Celafaitdesliberasenret ourner en	---|---|--------||-|---⌫-----|-|
Franceau ecqso narme e cari lauoitmistout	-----|--⌫--|--⌫|----⌫|--|-⌫|----|--|---|
lepays en bonn epaixe tcon corde	-|---|-|----⌫|---|-⌫|---⌫----|
Commentleroy d	------|-|--||
Espaigne etlaroyn euoyant que leroy de	-------|-|-|----⌫|-----|--|-|--|-|
France senuouloi tretour n erse	-----||-|------⌫|------⌫-⌫-|-|
uin d r entageno illierdeuant luyenluyremerciantlebien	---⌫-⌫-⌫--|-----⌫-----|-----|--|-|--|---------|-|---|
lhonneuretleseruicequilleur au oit	|------|-|-|------|-|-|---|--⌫--|
faitetluy re commandere ntleurfille	---|-|--|--⌫----------⌫-|---|----|
Quantle roy	----|-|--|
Espaign e etlaroyneuiren tque	-------⌫|-|-|----|-----⌫|--|
Fr an cesenuoul oitret ournere n	--⌫--⌫-||-|----⌫--|---⌫-----|-⌫|
Fra ncesin e sçauo ienten	---⌫--|-|-⌫|------⌫---|-|
quelle maniere ilzledeuoient	-----|------|--|-|-------|
rem ercier ne	---⌫-----|-|
re graci erlebiene t l	--⌫-----⌫-|-|---|-⌫||
ho nneur quilleurauoitf ait	--⌫----|-|-|---|----|-⌫--|
parqu oysen uindrentdeuanttoutlepeupl e	--|--⌫-||-|-------|-----|---|-|-----⌫|
mectreasespiez en	-----||--|---|-|
Treshau ltetpuissantroybiensauons	-------⌫-|-|-------|--|---|-----|
queicynepouezbonnementguieresdemourerpourles	--|--|-|----|--------|------|-------|---|--|
gransaffairesdeuostreroy aulme	----|-------|-|-----|---⌫----|
Sisauonsbienquea	-|-----|---|--||
nou snest pas de u ous pouuoirrecompanceren aulcune	---⌫||--|--|-|-⌫--|------|----------|-|------|
manie remais toutesfoiz ce que en	-----⌫-|---|---------|-|--|-|
nouss eradesiro nsfort d efai r eetacomplirenuers	---|-⌫--|------⌫-|---|-⌫|---⌫-⌫|-|-------|-----|
uoussiuous	---|-|---|
prionsetrequer onsqueuueillezm ectre	-----|-|------⌫--|--|-------|-⌫----|
sur nousetnoz succe s seurstel	--|---|-|--|-----⌫-⌫----|--|
tribute treuenu co m me	-----|-⌫|-----|--⌫-⌫-|
iluou splai racardeuous etuoz su cces seurs	-|---⌫|----⌫-|--|-|---|-|--|--⌫----⌫----|
uoullonsdores na uant tenirnostreroyaulmecommebons	-------|-----⌫--⌫---|----|-----|-------|----|---|
etloyaulx subgetzcarcest bienraison	-|------|------|--||--|---|-----|
Quan tleroy	----⌫|-|--|
ouytsesp ar ollesileneut moul tgrant pitié	---|--|-⌫--⌫----|-|-|--|----⌫|----|-----|
si leurre spondit en	-|---|--⌫------|-|
les rel e uant	--|---⌫-⌫---|
Mesamyscr oyez	--|---|--⌫---|
queenuiedegaig neret	--|----|-|----⌫--|-|
acque r irpaysnemapasfa it uenir	-----⌫-⌫-|---|-|||--|--⌫-|----|
en ceroyaulmemaisle	-|-|-------|---|-|
iustice au gment eretles	------|--⌫-----⌫-|-|--|
honneursroyaulx garder	-------|------|-----|
et entretenir	-|---------|
Siuouspriequeplusneso itp arlédeces	-|---|---|--|---|-|--⌫-|-⌫----|-|--|
parolles a insle uou s deffe ns	-------|-⌫--|-|---⌫|-----⌫-|
ena ut ant q uecraigneza	-|-⌫--⌫--|-⌫-|-------||
medesplairemais pensez debie nfa ireets agement	-|--------|---|-----|-|---⌫|--⌫--|-|-⌫------|
gouue rneruozsubgetz	-----⌫---|--|------|
iu sticeetencr aincte de	--⌫----|-|-|--⌫-----|-|
Dieu carpar cemo yenprosperer ezetnon	---|--|--|-|--⌫--|---------⌫-|-|--|
aul trement	---⌫------|
Etsi r iensuoussuruien tfaict es le	-|-|-⌫---|---|-------⌫|-----⌫-|-|
moysauoircarsansnu llefaulteuous secour r ayet	--|-----|--|---|--⌫--|-----|---|------⌫-⌫-|-|
Qua nt ilzuirentla g ran t amou retcordialitéque	---⌫-|--|-----|-|-⌫---⌫|----⌫|-|----------|--|
leroyauoiten uerseulx la royn eprint sa	-|--|----|--⌫---|---|-|----⌫|----|-|
fi llequi estoitdeleagede cinq asix	--⌫--|--|-----|-||---|-|---||--|
moisentresesbra s etui ndr entdeuant	---|----|--|---⌫|-|--⌫---⌫--|-----|
France lu yrequerant que son plaisi rfust ouyret	-----|--⌫|--------|--|--|------⌫|---|---|-|
esc ou terun e peti terequeste qu	---⌫--⌫--|--⌫|----⌫-|-------|-|
u oulo ie n tfaire	-⌫----⌫--⌫-⌫|----|
Iel e u eulx b ien d itleroy	-|-⌫|-⌫---|-⌫--|-⌫-|-|--|
Adonclaroyn e comm ença	----|-|----⌫|----⌫----|
aparler ainsi	|-----|----|
que ainsi estque au ous d u	--|----|--|--||-⌫--|-⌫|
to utauonsn ostr e	--⌫-|----|-⌫----⌫|
espera nc euo usprionsetrequeronsq u e	------⌫--⌫|--⌫-|-----|-|--------|-⌫-⌫|
c estep ouurefill equeuoyezicyentreme s bras	-⌫---|-⌫----|----⌫|--|----|--|----|--⌫|---|
uous soit pour r e comman deecariamai s	---|---|---|-⌫-⌫------⌫--|--|-----⌫|
n auonsesperanc edauoiraultrese nfanspour ce que	|----|--------⌫||----|------|-⌫----|---|-|--|
s ommesdes ia forts usl e agepa r	-⌫----|---⌫-|---|-⌫-||-⌫--|--⌫|
Dieuluy donnegrace	---|--|----|----|
deui ureeagecompetan t pourmarier	-|--⌫--|---|--------⌫|---|-----|
uostrepla isir soitlapourueoir demarycommeil	-----|---⌫---|---|-|--------|-|---|----|-|
uousplairaet queuerrezqueluyser a	---|-----|-|--|-----|--|--|---⌫|
necessai re etaicelluybaillerlere gimeetgouu ernementde	--------⌫-|-||------|------|-|--⌫---|-|----⌫-------|-|
c estuypa ys	-⌫----|--⌫-|
car nousuou llonsquedeparuous ysoit mis	--|---|---⌫----|--|-|--|---||---|--|
etordonnéroycomme bon	-|-------|--|----|--|
uoussembl era carcestraison	---|-----⌫--|--||--|-----|
Quantleroyde	----|-|--|-|
France ui tleur g rant	-----|--⌫|---|-⌫---|
humi litée t affection lecueurluy	----⌫----|-⌫|--------|-|----|--|
attendritet e ut grant	--------|-|-⌫-|----|
pitiédeulxe tleurrespondi t	-----||---|-⌫|---|--------⌫|
en c estemaniere	-|-⌫---|------|
Chersamys ieuous remerciela granta ffec tionetamo ur	----|---|-|---|-------|-|----|-⌫----⌫---|-|---⌫-|
queauezenuersmoyetsa che z queuostrefil le n	--|---|-----|--|-|--⌫---⌫|--|-----|---⌫-||
est pasa re fu zer	--|--||--⌫--⌫--|
Di eudonnegrace	--⌫-|----|----|
amonfilzdeuen ireneagepar faitetuo stre	|--|---|-|---⌫-|-|---|---⌫---|-|--⌫---|
fille auss i ie seroye moult i oye ux	----|----⌫|-|-----|----|-⌫---⌫-|
que fussent conioinspa r mariageens embleet si	--|------|-------|--⌫|------|---⌫----|-|-|
Dieumedonne	---|-|----|
graced e uiure	----|-⌫|----|
iusquesalheureieuousprometz que	------|||----|-|---|------|--|
mon fi lz nauraaultrefemme	--|--⌫-||---|-----|----|
que uos trefille	--|---⌫--|----|
Helassire p our	----|---|-⌫--|
Di eumercyn entendez pa s que	--⌫-|----||-------|--⌫|--|
monseign eurmon	--------⌫--|--|
maryetm oysoyonssipresumpt ueuxqu ele uousa yons	---|-|-⌫-|-----|-|--------⌫---|--⌫|-|---|-⌫---|
dit etrequisacellefin quelaprenez	--|-|-----||----|--|--|-|-----|
maisseullement	---|---------|
pourquelques eigneurdeuozbaron s telq ue uo str e	---|------|-⌫------|-|--|-----⌫|--|-⌫-|--⌫---⌫|
bonpl aisir sera	--|--⌫----|---|
c ar tropnozferie z del honneurde luy	-⌫-|---|--|-----⌫|-||------|-|--|
donneruostre filz	-----|-----|---|
Certes ditleroy	-----|--|-|--|
ce quiest ditestdit	-|--|--|--|--|--|
et senousuiuonsil	-|-|---|-----|-|
ensera plus	-|---|---|
auantp arlécarm aintenan tnen	----|-⌫----|--|-⌫--------⌫||-|
pouuo nsb onnementaultrechose	-----⌫-|-⌫-------|-----|----|
faire s iprendronsco ngéde	----|-⌫|--------|--⌫---|-|
ur ayeme ntditlaroyne	--⌫-----⌫-|--|-|----|
s il uo us plaistm onseign eurmon mary et	|-|--⌫-|-----|-⌫-------⌫--|--|---|-|
moyuouscon duyronsiusques a	--|---|---⌫------|------||
Pariscar ia ygrant	----|--||-⌫|----|
des irdeueo irmatres honnor ee	---⌫-|-|---⌫-|-|----⌫------⌫-|
da mela royne	--⌫-|-|----|
Me samy sre sponditler oyuous	--⌫|---⌫|--⌫------|-|-⌫-|---|
bonnem e ntbougernene deuezquan ta pr esent	------⌫-⌫-|-----|-|-|----|----⌫||--⌫----|
peupleque nouuelleme ntae stére dui t	-----|--|----------⌫-||-⌫---|--⌫---⌫|
po urroitfacilleme ntenuo stre ab sence estresed uiten	--⌫-----|---------⌫-|-|--⌫---|--⌫----|----|---⌫--|-|
pe udetempscartousl escoulpa b l esnesontp as	--⌫|-|----|--|---|-⌫-|------⌫-⌫-⌫-|-|---|-⌫-|
aussiles parens	----|--|-----|
despu gnis quepourroient faire a lencontredeuo us	--|--⌫---|--|---------|----|||-------|-|--⌫-|
quelque uenge nce ouqu elquemaulu aiseconspirationpar quoyneueulx	------|-----⌫--|-|--⌫----|-----⌫---|-----------|--|---|-|----|
que nullementuou suous desparte zdi c y	--|--------|---⌫|---|--------⌫||-⌫-⌫|
maisq uese ullem entle s ent rete nez	---|-⌫-|--⌫-----⌫--|--⌫|---⌫----⌫--|
am ouretuo ustenezs uruozgardes	--⌫--|-|--⌫-|----|-⌫-|--|-----|
et tenezbonneiust ice	-|----|----|----⌫--|
et craignez etaymez	-|-------|-|----|
Dieuetle seru ez car	---|-|-|----⌫-|--|
tout bienuousen adu iendraetsan s sagraceuous	---|---|---|-|---⌫-----|-|---⌫|-|----|---|
ne p ouueznulbienauoi r	-|-⌫----|--|---|----⌫|
I e uousr e com mandeauss il estat de	-⌫|---|-⌫-⌫---⌫----|----⌫||----|-|
l e sgl i seetlesp ouures etg ar de zbienqu	|-⌫---⌫-⌫-|-|--|-⌫-----|-|-⌫--⌫--⌫|---|-|
ilznesoientopprimez	--|-|-----|-------|
nef ollezet	-|-⌫----|-|
Dieuuousayme ra	---|---|----⌫-|
Ences bellesremons tranceseten seigne me ns queleroyleur	-|--|-----|------⌫------|-|--⌫------⌫--⌫-|--|-|--|---|
fitpresentplusieursbarons pr indrentco ngi é	--|------|--------|-----|--⌫------|--⌫---⌫-|
les ungsdesaultre sagrans	--|---|--|------⌫||----|
souspirsetregret z	-------|-|------⌫|
Com ment leroy de	---⌫---|-|--|-|
Franceprintco ngié duroyd	-----|----|--⌫----|-|--||
Espai gneetd e la	-----⌫--|-|-⌫|-|
royneetcommentle	----|-|------|-|
peupledu pays ac om paignerent	-----|-|---|--⌫--⌫---------|
leroy grantchemin	-|--|----|-----|
Toutesfoizpour abregierleroysede spa rtit	---------|---|-------|-|--|-|--⌫---⌫---|
granspleurse t	----|-----|-⌫|
lamenta tio nsduroyd ela	-------⌫---⌫-|-|--|-⌫|-|
r oyneetd e ceulxdupays	-⌫---|-|-⌫|----|-|---|
quil aco mpaignerentgrantespacedetem ps	--||---⌫----------|----|-----|-|---⌫-|
e tdo nnale	-⌫|--⌫--|-|
Espaignede gransetriches	-------|-|----|-|-----|
don saur oyetaux baronset ch eualiers telle mentqu	---⌫|-|-⌫-|-|--|-----|-|--⌫-------|-----⌫---|-|
yauoit en toutel	|----|-|----||
armeepetitneg ra ntquine	----|----|-|-⌫--⌫-|--|-|
sen louastet	|-|-----|-|
quin e tint le	--|-⌫|---|-|
Espaigne auailla n tetpuiss ant	-------||------⌫-⌫|-|-----⌫--|
Sifirentta nt	-|-----|--⌫-|
iourneesquilzuindrenta	-------|-|--|-------||
Parisou i lzfurent moult ioyeu sem ent	----|-|-⌫-|-----|----|-----⌫---⌫--|
et honnor ablementreceuzetdura la fest edixiours	-|------⌫-------|-----|-|---|-|----⌫|--|----|
Puisp rintchascuncongi é	---|-⌫---|------|-----⌫-|
qui b ie nles enu oya ioyeulxetcon ta nsenleu rs	--|-⌫--⌫|--|---⌫--|------|-|---⌫--⌫-|-|---⌫-|
Commentleroyde	------|-|--|-|
Fra ncemorutdont futde mené grantdueil pa r tout	---⌫--|----|---|--|--⌫----|----|----|--⌫|---|
leroyaulme	-|-------|
Lebon roy de	-|--|--|-|
F ranceau bout dequatre	-⌫----|-|---|-|-----|
ansprintune malad iequel onguementluydurae t	--|----|--|-----⌫-|--|-⌫--------|--|---|-⌫|
en la finen morutdon tfutgrant dommaige	-|-|--|-|----|---⌫|--|----|-------|
aupaysetenfut demenégrantdueil	-|---|-|-|--|------|----|----|
partou t leroyaulme et expre ssementlaro yne que	--|---⌫|-|-------|-|-----⌫------|-|--⌫--|--|
moul tlaymoit	----⌫||-----|
Si fut enbasmé comme a tel	-|--|-------|----||--|
prince et s ei gn eurappartenoit	-----|-|-⌫--⌫--⌫--|----------|
La roynequis aig e d am e est oit	-|----|--|-⌫---⌫|-⌫--⌫|---⌫--|
aprèsl asepu ltu re	-----|-⌫|----⌫---⌫-|
duroyprint le gouuernement	-|--|----|-|-----------|
du royaulme p ource que son	-|-------|-⌫--|-|--|--|
filzest oitencores	---|---⌫--|------|
ieune et legouuerna	----|-|-|-------|
enbonnepaixettr ansquilitée t unio nde iu stice	-|----|---|-|--⌫----------|-⌫|----⌫|-|--⌫----|
Que lqueespacedetemp sapr ès fu t	---⌫---|-----|-|----⌫|---⌫--|--⌫|
sacréa roymonsei gneur	-----||--|------⌫----|
Ieh a nsonfilzdontfutf ait partout lepaïs	---⌫-⌫|--|---|---|--|-⌫--|--|---|-|----|
une merueilleuseioye	--|-----------|---|
Silaisse r onsaparler deulxet	-|------⌫-⌫--||-----||---|-|
retorneron s au	----------⌫|-|
Espaign e etala ro ynequisi	-------⌫|-||-|--⌫--|--|-|
b ienen suiuirentet garde rent	-⌫--|--⌫--------|-|-----⌫---|
lesbo nsenseignemens que leroyd e	--|--⌫-|-----------|--|-|--|-⌫|
Fr a n celeurau oi tfaitzquilz garderentetgouuerneren t	--⌫-⌫-⌫-|---|--⌫--⌫|----|-|--|--------|-|-----------⌫|
leurpaïse troya ulme en bonn epaixiusticeetamour	---|----|-⌫|----⌫---|-|----⌫|---|------|-|----|
d eleurssub g etz	-⌫|----|---⌫-⌫--|
Co mme ntle ro yetlaroyned	--⌫---⌫-|-|--⌫|-|-|----||
Espaignesceurent	-------|-------|
qu e lebonroyde	--⌫|-|--|--|-|
Franceestoitmor t dont	-----|-----|---⌫|---|
ilz d emenerentgrantdueil	--|-⌫--------|----|----|
Ence tempsuintn ouuelle s en	-|-|----|---|-⌫-------⌫|-|
Espaigne comme le royde	-------|----|-|--|-|
France a ll a de	-----|-⌫--⌫|-|
uieat respas don t futdemenéung merueille u xdueilpar	--||-⌫-----|---⌫|--|------|--|---------⌫-⌫|----|--|
leroy etlar oyneetlesbarons	-|--|-|-|-⌫---|-|--|-----|
dupayse t nyeut	-|---|-⌫|||--|
mon astereesgliseneconu entou le royne	---⌫-----|------|-|----⌫--|-|-|--|-|
fitfaire obse que spri ereset	--|----|----⌫---⌫|---⌫---|-|
orai sonspou rlame	----⌫---|---⌫||--|
dubonroyete nporterentleroyet	-|--|--|-|-⌫|--------|-|--|-|
