domineexaudiorationemmeam	domine exaudi orationem meam
diesmeisicutumbradeclinaveruntetegosicut	dies mei sicut umbra declinaverunt et ego sicut
fenumaruituautemdomine	fenum arui tu autem domine
ineternumpermanes	in eternum permanes
etmemorialetuumingenerationemetgenerationemtuexurgensdomine	et memoriale tuum in generationem et generationem tu exurgens domine
misereberissionquiatempusmiserendiejus	mi sereberis sion quia tempus miserendi ejus
quiavenittempusquoniamplacueruntservistuislapidesejuset	quia venit tempus quoniam placuerunt servis tuis lapides ejus et
terreejusmiserebunturettimebuntgentesnomentuum	terre ejus miserebuntur et timebunt gentes nomen tuum
domineetomnes	domine et omnes
regesterregloriamtuam	reges terre gloriam tuam
quiaedificavitdomin᷒syonetvidebitur	quia edificavit domin᷒ syon et videbitur
ingloriasuarespexitinorationemhumiliumetnonsprevit	in gloria sua respexit in orationem humilium et non sprevit
sprevitprecemeorum	sprevit precem eorum
scribanturhecingenerationealteraetpopulusquicreabitur	scribantur hec in generatione altera et populus qui creabitur
laudabitdominumquia	laudabit dominum quia
prospexitdeexcelso	prospexit de excelso
sanctosuodominusdecelointerram	sancto suo dominus de celo in terram
aspexitutaudiretgemituscõpeditorumutsolveret	aspexit ut audiret gemitus cõpeditorum ut solveret
filiosinteremptorumut	filios interemptorum ut
annuntientin	annuntient in
syonnomendominiet	syon nomen domini et
laudemejusin	laudem ejus in
jerusaleminconveniendopopulosinunumet	jerusalem in conveniendo popu los in unum et
regesutserviantdominoresponditeiinviavirtutissue	reges ut serviant domino respondit ei in via virtutis sue
paucitatemdierummeorumnuntiamichinerevoces	paucitatem dierum meorum nuntia michi ne revoces
meindimidiodierummeorumingenerationem⁊generationemãni	me in dimidio dierum meorum in generationem ⁊ generationem ãni
tuiinitiotu	tui initio tu
domineterramfundastietoperamanuumtuarum	domine terram fundasti et opera manuum tuarum
suntceliipsi	sunt celi ipsi
peribunttuautempermanesetomnessicut	peribunt tu autem permanes et omnes sicut
vestimentumveterascent	vestimentum veterascent
etsicutopertoriummutabis	et sicut opertorium mu tabis
eosetmutabunturtuautemidemipseest	eos et mutabuntur tu autem idem ipse est
etannitui	et anni tui
nondeficientfilii	non deficient filii
servorumtuorumhabitabuntetsemeneoꝝinseculumdirigeturpsalm᷒	servorum tuorum habitabunt et semen eoꝝ in seculum dirigetur psalm᷒
domineexaudior̃onem	domine exaudi or̃onem
meã⁊clamormeus	meã ⁊ clamor meus
adteveniatnon	ad te veniat non
avertasfaciemtuamameinquacumqdietribulorinclina	avertas faciem tuam a me in quacumq die tribulor inclina
admeauremtuaminquacumquedie	ad me aurem tuam in quacumque die
invocaverote	invocavero te
velociterexaudi	velociter exaudi
mequiadefeceruntsicut	me quia defecerunt sicut
fumusdiesmei⁊ossameasicutcremium	fumus dies mei ⁊ ossa mea sicut cremium
arueruntpercussussumutfenum	aruerunt percussus sum ut fenum
⁊aruitcormeũquiaoblitussumcomederepanem	⁊ aruit cor meũ quia oblitus sum comedere panem
meũavocegemit᷒meiadhesitosmeum	meũ a voce gemit᷒ mei adhesit os meum
carnimeesimilisfactussumpellicanosolitudinisfactus	carni mee similis factus sum pellicano solitudinis factus
sumsicutnocticoraxindomiciliovigilavi⁊factussumsicut	sum sicut nocticorax in domicilio vigilavi ⁊ factus sum sicut
passersolitariusĩtecto.totadieexprobrabantmͥinimici	passer solitarius ĩ tecto . tota die exprobrabant mͥ inimici
mei⁊quilaudabãtme	mei ⁊ qui laudabãt me
adversummejurabant.quiacinerẽtanqͣm	adversum me jurabant . quia cinerẽ tanqͣm
panẽmanducabam	panẽ manducabam
⁊potũmeũcumfletumiscebam	⁊ potũ meũ cum fletu miscebam
afacieireetindignationistue.quiaelevans	a facie ire et indignationis tue . quia elevans
allisistimedies	allisisti me dies
meisicut	mei sicut
umbradeclinaver̃tetegosicutfenumaruitu	umbra declinaver̃t et ego sicut fenum arui tu
autẽdomine	autẽ domine
ineternumpermanes⁊	in eternum permanes ⁊
memorialetuumingenerationem⁊generationem.	memoriale tuum in generationem ⁊ generationem .
tuexsurgensdominemisereberissyonquiatempusmiserendi	tu exsurgens domine misereberis syon quia tempus miserendi
ejusquiavenittempus.	ejus quia venit tempus .
quoniãplacueruntservistuis	quoniã placuerunt servis tuis
lapidesejus⁊terreejus	lapides ejus ⁊ terre ejus
miserebunturettimebuntgentesnomentuumdomineet	miserebuntur et timebunt gentes nomen tuum domine et
õesregesterregloriamtuã	ões reges terre gloriam tuã
.quiaedificavit	. quia edificavit
dñssyon.⁊videbituringl̃a	dñs syon . ⁊ videbitur in gl̃a
suarespexitinor̃onemhumilium⁊nonsprevit	sua respexit in or̃onem humilium ⁊ non sprevit 
cemeorum.scribanturhecingenerationealtera	cem eorum . scribantur hec in generatione altera
⁊populusquicreabiturlaudabit	⁊ populus qui creabitur laudabit
dñmquiaprospexitdeexcelsosc̃osuodominusde	dñm quia prospexit de excelso sc̃o suo dominus de
celointerrã	celo in terrã
aspexitutaudiretgemituscõpeditorum	aspexit ut audiret gemitus cõpeditorum
⁊solveretfiliosinteremptorumutannuntientinsyonnomendomini	⁊ solveret filios interemptorum ut annuntient in syon nomen domini
⁊laudemejusin	⁊ laudem ejus in
iherusaleminconveniendoppl̃os	iherusalem in conveniendo ppl̃os
inunũ⁊	in unũ ⁊
regesutserviantdñoresponditeiin	reges ut serviant dño respondit ei in
viavirtutissuepaucitatemdierummeorũnuntiamichi	via virtutis sue paucitatem dierum meorũ nuntia michi
.nerevoces	. ne revoces
meindimidio	me in dimidio
dierummeoꝝ	dierum meoꝝ
ingenerationemetgenerationemannituiinitio	in generationem et generationem anni tui initio
tudomineterrãfundasti.et	tu domine terrã fundasti . et
oꝑamanuũtuarumsuntceliipsiꝑibunttu	oꝑa manuũ tuarum sunt celi ipsi ꝑibunt tu
autempermanes.⁊ões	autem permanes . ⁊ ões
sicutvestimẽtumveterascent.etsicutopertoriũmutabis	sicut vestimẽtum veterascent . et sicut opertoriũ mutabis
eos⁊mutabunturtuautẽidem	eos ⁊ mutabuntur tu autẽ idem
ipsees.etannituinondeficient	ipse es . et anni tui non deficient
filiiservorumtuorũhabitab̃tetsemen	filii servorum tuorũ habitab̃t et semen
eoruminseculumdirigetur.	eorum in seculum dirigetur .
psalmus.d̃d.domineexaudior̃onem	psalmus . d̃d . domine exaudi or̃onem
meametclamormeus	meam et clamor meus
adteveniatnonavertasfaciemtuamame	ad te veniat non avertas faciem tuam a me
inquacumqdietribulorinclinaadmeauremtuam.	in quacumq die tribulor inclina ad me aurem tuam .
inquacumqdieĩvocaverotevelociterexaudime.	in quacumq die ĩvocavero te velociter exaudi me .
quiadefeceruntsicutfumusdiesmeietossa	quia defecerunt sicut fumus dies mei et ossa
measicutcremiũ	mea sicut cremiũ
aruer̃t.percussussumutfenũetaruit	aruer̃t . percussus sum ut fenũ et aruit
cormeũquiaoblitussũcomederepanẽmeũ.	cor meũ quia oblitus sũ comedere panẽ meũ .
avocegemitusmei	a voce gemitus mei
adhesit	ad hesit
osmeumcarni	os meum carni
meesimilisfactussũ	mee similis factus sũ
pellicanosolitudinisfc̃ssumsicutnicticorax	pellicano solitudinis fc̃s sum sicut nicticorax
indomicilio.vigilavi	in domicilio . vigilavi
etfc̃ssumsicutpassersolitariusĩtectotota	et fc̃s sum sicut passer solitarius ĩ tecto tota
dieexprobrabantmichi	die exprobrabant michi
inimicimeietqui	inimici mei et qui
laudabantmeadversũmejurabant.quia	laudabant me adversũ me jurabant . quia
cineremtanqͣmpanemmanducabametpotummeumcumfletumiscebam	cinerem tanqͣm panem manducabam et potum meum cum fletu miscebam
.afacieireetindignatiõistue	. a facie ire et indignatiõis tue
quiaelevansallisistime.dies	quia elevans allisisti me . dies
meisicutumbradeclinaveruntetegosicut	mei sicut umbra declinaverunt et ego sicut
fenumarui.tuautem	fenum arui . tu autem
domĩeineternumpermanesetmemorialetuumin	domĩe in eternum permanes et me moriale tuum in
generationemetgenerationem	generationem et generationem
.tuexurgensdomĩemisereberissyonquiatemp᷒miserendiejus	. tu exurgens domĩe misereberis syon quia temp᷒ miserendi ejus
quiavenittempus.qm̃	quia venit tempus . qm̃
placueruntservistuislapidesejusetterreejusmiserebuntur	placuerunt servis tuis lapides ejus et terre ejus miserebuntur
.ettimebuntgentesnomentuũdomine	. et timebunt gentes nomen tuũ domine
etõsregesterregloriam	et õs reges terre gloriam
tuamquiaedificavitdomin᷒syonetvidebituringloria	tuam quia edificavit domin᷒ syon et videbitur in gloria
sua.respexitinorationemhumiliumetnonsvit	sua . respexit in orationem humilium et non svit
precemeorum.scribanturhecingenerationealtera	precem eorum . scribantur hec in generatione altera
etpopulusquicreabiturlaudabitdominum	et populus qui creabitur laudabit dominum
.quiaprospexitdeexcelsosc̃osuodominusde	. quia prospexit de excelso sc̃o suo dominus de
celoĩterramaspexit.ut	celo ĩ terram aspexit . ut
audiretgemituscõpeditorumutsolveretfiliosinteremptorum	audiret gemitus cõpeditorum ut solveret filios interemptorum
.utannuntientinsyonnomendñietlaudem	. ut annuntient in syon nomen dñi et laudem
ei᷒iniherusalem	ei᷒ in iherusalem
.inconveniendoppl̃os	. in conveniendo ppl̃os
inunumetreges	in unum et reges
utserviantdomino.respondit	ut servi ant domino . respondit
eiinviavirtutis	ei in via virtutis
suepaucitatemdierum	sue paucitatem dierum
meoꝝnuntiamͥ.nerevocesmeĩdimidio	meoꝝ nuntia mͥ . ne revoces me ĩ dimidio
dierummeoꝝingñatõeetgenerationẽanni	dierum meoꝝ in gñatõe et generationẽ anni
tui.initiotu	tui . initio tu
dominet͛ramfundastietopera	domine t͛ram fundasti et opera
manuumtuarumsuntceli	manuum tuarum sunt celi
.ipsiperibunt	. ipsi peribunt
tuautempermanes	tu autem permanes
etomnessicutvestimentumveterassẽt.etsicutoportoriũ	et omnes sicut vestimentum veterassẽt . et sicut oportoriũ
mutabiseosetmutabunt᷑tuautemidemip̃e	mutabis eos et mutabunt᷑ tu autem idem ip̃e
esetãnituinondeficient	es et ãni tui non deficient
.filiiservorum	. filii servorum
tuoꝝhabitabunt	tuoꝝ habitabunt
etsemeneoꝝinscl̃m	et semen eoꝝ in scl̃m
dirigetur.domineexaudioratio	dirigetur . domine exaudi oratio
nemmeametclamormeusadte	nem meam et clamor meus ad te
veniat.non	veniat . non
avertasfaciemtuama	avertas faciem tuam a
meinquacũq	me in quacũq
dietribulorinclinaadmeauremtuã.inquacũq	die tribulor inclina ad me aurem tuã . in quacũq
dieinvocaverotevelociter	die invocavero te velociter
exaudime.quiadefecerũtsicutfumusdiesmeiet	exaudi me . quia defecerũt sicut fumus dies mei et
ossameasicutcremiũaruerunt.percussussũut	ossa mea sicut cremiũ aruerunt . percussus sũ ut
fenumetaruit	fenum et aruit
cormeũquiaoblitus	cor meũ quia oblitus
sumcomedere	sum comedere
panemmeũ.avocegemitusmeiadhesitos	panem meũ . a voce gemitus mei adhesit os
meũcarnimee.similisfactussumpellicano	meũ carni mee . similis factus sum pellicano
solitudinisfactussumsicutnicticoraxindomicilio.vigilavi	solitudinis factus sum sicut nicticorax in domicilio . vigilavi
etfactussumsicutpasser	et factus sum sicut passer
solitariusintecto.tota	solitarius in tecto . tota
dieexprobrabantmihiinimicimeietquilaudabant	die exprobrabant mihi inimici mei et qui laudabant
meadversummejurabant.	me adversum me jurabant .
quiacyneremtanꝙͣpanemmanducabametpotummeũcum	quia cynerem tanꝙͣ panem manducabam et potum meũ cum
fletumiscebã	fletu miscebã
.afacieireetindignationis	. a facie ire et indignationis
tuequiaelevansallisistimediesmeisicutumbradeclinaverunt	tue quia elevans allisisti me dies mei sicut umbra declinaverunt
etegosicutfenumarui.tu	et ego sicut fenum arui . tu
autemdñeineternumꝑmaneset	autem dñe in eternum ꝑmanes et
memorialetuũingenerationemetgenerationem.tuexurgens	memoriale tuũ in generationem et generationem . tu exurgens
dñemisereberissyonquiatempusmiserendiejusquiavenit	dñe misereberis syon quia tempus miserendi ejus quia venit
tempus.qm̃placuerũt	tempus . qm̃ placuerũt
servistuislapidesejusetterreejusmiserebũtur.	servis tuis lapides ejus et terre ejus miserebũtur .
ettimebũtgentesnomentuumdñeetomnes	et timebũt gentes nomen tuum dñe et omnes
regesterregl̃amtuam.quiaedificavitdñssion	reges terre gl̃am tuam . quia edificavit dñs sion
etvidebitur	et videbitur
ingloriasua.respexitinorationemhumiliũetnon	in gloria sua . respexit in orationem humiliũ et non
sprevitprecemeorũ	sprevit precem eorũ
.scribanturhecingenerationealteraet	. scribantur hec in generatione altera et
populusquicreabiturlaudabitdñm.quiaprospexit	populus qui creabitur laudabit dñm . quia prospexit
deexcelsosanctosuodñsde	de excelso sancto suo dñs de
celointerrãaspexitutaudiret	celo in terrã aspexit ut audiret
gemituscompeditoꝝutsolveretfiliosinteremptoꝝ.ut	gemitus compeditoꝝ ut solveret filios interemptoꝝ . ut
annũtientinsyonnomen	annũtient in syon nomen
dñietlaudemejusiniherusalem.inconveniendo	dñi et laudem ejus in iherusalem . in conveniendo
populosin	populos in
unũetregesutserviantdño.respondit	unũ et reges ut serviant dño . respondit
eiinviavirtutis	ei in via virtutis
suepaucitatemdierũmeorũnuntiamichi.nerevocesme	sue paucitatem dierũ meorũ nuntia michi . ne revoces me
indimidiodierummeoꝝingenerationemetgenerationemanni	in dimidio dierum meoꝝ in generationem et generationem anni
tui.initiotudñeterrãfundastietoperamanuũ	tui . initio tu dñe terrã fundasti et opera manuũ
tuarumsuntceli.ipsiperibũttu	tuarum sunt celi . ipsi peribũt tu
autemꝑmanesetomnessicutvestimentũveterascent.	autem ꝑmanes et omnes sicut vestimentũ veterascent .
etsicut	et sicut
opertoriũmutabiseosetmutabũtur	opertoriũ mutabis eos et mutabũtur
tuautemidemipsees	tu autem idem ipse es
etannituinondeficient.filii	et anni tui non deficient . filii
servoꝝtuoꝝhabitabũtetsemeneorũ	servoꝝ tuoꝝ habitabũt et semen eorũ
inseculum	in seculum
dirigetur.gl̃apatri	dirigetur . gl̃a patri
.ps̃.domine	. ps̃ . domine
exaudiorationemmeametclamormeusadteveniat	exaudi orationem meam et clamor meus ad te veniat
nonavertas	non avertas
faciemtuamameĩquacũqdie	faciem tuam a me ĩ quacũq die
tribulorĩclinaadmeauremtuaminquacũqdieinvocavero	tribulor ĩclina ad me aurem tuam in quacũq die invocavero
tevelociterexaudimequiadefeceruntsicutfumus	te velociter exaudi me quia defecerunt sicut fumus
diesmeietossamea	dies mei et ossa mea
sicutcremiumarueruntpercussussumutfenũ	sicut cremium aruerunt percussus sum ut fenũ
etaruitcormeumquiaoblitus	et aruit cor meum quia oblitus
sumcomederepanemmeãavocegemitusmei	sum comedere panem meã a voce gemitus mei
adhesitosmeumcarnimeesimilis	adhesit os meum carni mee similis
factussumpellicanosolitudinisfactussũsicutnicticorax	factus sum pellicano solitudinis factus sũ sicut nicticorax
indomiciliovigilavietfactussumsicutpasser	in domicilio vigilavi et factus sum sicut passer
solitariiusintectototadieexprobrabantmichiĩimici	solitariius in tecto tota die exprobrabant michi ĩimici
meietquilaudabant	mei et qui laudabant
meadversummejurabantquiacyneremtãꝙͣ	me adversum me jurabant quia cynerem tãꝙͣ
panemmãducabametpotummeũcumfletumiscebam	panem mãducabam et potum meũ cum fletu miscebam
afacieire	a facie ire
etindignationis	et indignationis
tuequiaelevansallisistimedies	tue quia elevans allisisti me dies
meisicutumbradeclinaveruntetegosicut	mei sicut umbra declinaverunt et ego sicut
fenumaruituautemdomineineternũ	fenum arui tu au tem domine in eternũ
permanesetmemorialetuũ	permanes et memoriale tuũ
ingenerationemet	in generationem et
generationemtuexurgensdñemisereberissyonquiatempus	generationem tu exurgens dñe misereberis syon quia tempus
miserendiejusquiavenit	miserendi ejus quia venit
tempusqm̃placuer̃tservistuislapidesejusetterreejus	tempus qm̃ placuer̃t servis tuis lapides ejus et terre ejus
miserebunturettimeb̃tgentesnomentuumdñeet	miserebuntur et timeb̃t gentes nomen tuum dñe et
om̃sregesterre	om̃s reges terre
gloriamtuamqͥaedificavitdñssyonet	gloriam tuam qͥa edificavit dñs syon et
videbiturĩgloriasuarespexitinorationem	videbitur ĩ gloria sua respexit in orationem
humiliũetnonsprevitcemeorumscribanturhec	humiliũ et non sprevit cem eorum scribantur hec
ingenerationealteraetpopulusquicreabiturlaudabitdñmquia	in generatione altera et populus qui creabitur laudabit dñm quia
prospexitdeexcelsosãctosuo	prospexit de excelso sãcto suo
dñsdeceloin	dñs de celo in
terramaspexitutaudiretgemituscompeditorumutsolveretfilios	terram aspexit ut audiret gemitus compeditorum ut solveret filios
