tandus.si	tandus . si
apl̃c.Quẽfructumergohabuististunc.	apl̃c . Quẽ fructum ergo habuistis tunc .
inquib;nuncerubescitis:antiquoetiam⁊	in quib; nunc erubescitis : antiquo etiam ⁊
usitatoꝓuerbiodicisolet.qꝛpecc̃auet̃a.	usitato ꝓuerbio dici solet . qꝛ pecc̃a uet̃a .
nouampariuntꝮfusionẽ.ñillaminqͣmꝮfusionem	nouam pariunt Ꝯfusionẽ . ñ illam inqͣm Ꝯfusionem
.dequascͥptumest.	. de qua scͥptum est .
estꝮfusioadducensgl̃am.s;	est Ꝯfusio adducens gl̃am . s;
illamdequadicit᷑.estconfusioadducens	illam de qua dicit᷑ . est confusio adducens
.pecc̃m.talisenimꝮfusiopecc̃madducit	. pecc̃m . talis enim Ꝯfusio pecc̃m adducit
.ñadimit.qꝛqd̃ꝑ	. ñ adimit . qꝛ qd̃ ꝑ
ostensionẽdeleredebuerat:ꝑ	ostensionẽ delere debuerat : ꝑ
occultationẽ.magisaugm̃tat.	occultationẽ . magis augm̃tat .
audiatquesoquisicconfundit᷑.⁊diligent̃attendat	audiat queso qui sic confundit᷑ . ⁊ diligent̃ attendat
ũbumilludbeatiiob.	ũbum illud beati iob .
memoriadignum.⁊adh᷒modiꝮfusionẽpenit᷒elimandã	memoria dignum . ⁊ ad h᷒modi Ꝯfusionẽ penit᷒ elimandã
.sũmenecessariũ.sicut	. sũme necessariũ . sicut
inquitnubesꝮsumit᷑⁊ꝑtransit:sicquidescendit	inquit nubes Ꝯsumit᷑ ⁊ ꝑ transit : sic qui descendit
ad̃iferosñascendet.necreuertet᷑ultraindomum	ad̃ iferos ñ ascendet . nec reuertet᷑ ultra in domum
suam.neq;cognosceteum.ampliuslocuseius.	suam . neq; cognoscet eum . amplius locus eius .
Quap̃p⁊egononpartamorimeo.loqͣr	Qua p̃p ⁊ ego non partam ori meo . loqͣr
ĩtribulatõnesp̃cmei	ĩ tribulatõne sp̃c mei
.confabulabor	. confabulabor
cumamarituadineanime	cum amarituadine anime
meẽ.suꝑh̃c	meẽ . suꝑ h̃c
locumsicaitbeatusgregorius.Orisuoparcit.	locum sic ait beatus gregorius . Ori suo parcit .
quiꝮfit̃imalumꝙfeciterubescit.Inlaboremuͦ	qui Ꝯfit̃i malum ꝙ fecit erubescit . In laborem uͦ
osmittit:quiadconfessionẽ	os mittit : qui ad confessionẽ
osaꝑit.timoretiamĩordinatus	os aꝑit . timor etiam ĩordinatus
.uirtutemꝮfessioniseuacuat.dũpeccatorꝓprie	. uirtutem Ꝯfessionis euacuat . dũ peccator ꝓprie
fragilitatimetuens.onussatisfactionisꝓpeccatissuissubireformidat	fragilitati metuens . onus satisfactionis ꝓ peccatis suis subire formidat
.Dehuiusmodiinlibro	. De huiusmodi in libro
iobscͥptũest.	iob scͥptũ est .
Quitimentpruinam.irruetsr̃eosnix	Qui timent pruinam . irruet sr̃ eos nix
.scitisquia	. scitis quia
nixruitdesuꝑiorib;	nix ruit de suꝑiorib;
.pruinauͦcongelescit	. pruina uͦ congelescit
inferius.	inferius .
ꝑpruinamigiturpenatemꝑalis⁊tͣnsitoria.ꝑ	ꝑ pruinam igitur pena temꝑalis ⁊ tͣnsitoria . ꝑ
niuemuͦdesignaturet̃na.uñin	niuem uͦ designatur et̃na . uñ in
eodemlibroiobdereꝓbisscͥptumẽ	eodem libro iob de reꝓbis scͥptum ẽ
.transibuntabaquisniuiumadcaloremnimium	. transibunt ab aquis niuium ad calorem nimium
.Etinꝓuerbiis.demuliereforti.	. Et in ꝓuerbiis . de muliere forti .
uideliceteccl̃ia.dicit᷑.nontimebitdomui	uidelicet eccl̃ia . dicit᷑ . non timebit domui
sueafrigorib;niuis.Om̃senimdomesticieius	sue a frigorib; niuis . Om̃s enim domestici eius
uestitist̃duplicib;.rectegͦ	uestiti st̃ duplicib; . recte gͦ
dc̃mest.Qui	dc̃m est . Qui
timentpruinãirruetsuꝑeosnix	timent pruinã irruet suꝑ eos nix
.qꝛqͥpenam	. qꝛ qͥ penam
tẽporalemꝓsatisfactionepecc̃oꝝsubiremetuunt:ĩ	tẽporalem ꝓ satisfactione pecc̃oꝝ subire metuunt : ĩ
futurodistrictumd̃i	futuro districtum d̃i
iudiciũexcipient.qd̃	iudiciũ excipient . qd̃
euadereñualebũt.hincetiãsalomõait	euadere ñ ualebũt . hinc etiã salomõ ait
.Quiobseruatuentos:	. Qui obseruat uentos :
ñseminat.hocestqͥpenitentietemporal̃laborem	ñ seminat . hoc est qͥ penitentie temporal̃ laborem
subirerefugit:fructusbonoꝝ	subire refugit : fructus bonoꝝ
oꝑuminfut̃a	oꝑum in fut̃a
uitaꝑcipiendos:ĩp̃sentinõmultiplicat.	uita ꝑcipiendos : ĩ p̃senti nõ multiplicat .
similit̃.spesuirtutemꝮfessionis	similit̃ . spes uirtutem Ꝯfessionis
minuit.dumpecc̃orcõmodum	minuit . dum pecc̃or cõmodum
tẽporaleconsequidesiderans.illiᷤpenitus	tẽporale consequi desiderans . illiᷤ penitus
occultatur.aquib;effectumreiconcupitelatent̃	occultatur . a quib; effectum rei concupite latent̃
obtiñenititur.	obtiñe nititur .
nesiforte	ne si forte
pecc̃mqd̃	pecc̃m qd̃
latet:ĩ	latet : ĩ
Ꝯfessionedetegat:	Ꝯfessione detegat :
afructuspeiconcepteuacuusomninoremaneat.	a fructu spei concepte uacuus omnino remaneat .
qꝛqd̃adipiscidesideratꝑstudiumcupiditatis:	qꝛ qd̃ adipisci desiderat ꝑ studium cupiditatis :
nonestdignusassequi.meritoiniqͥtatislatentis.	non est dignus assequi . merito iniqͥtatis latentis .
DesꝑatioetiamiurtutiꝮfessionisobiuat.	Desꝑatio etiam iurtuti Ꝯfessionis obiuat .
dumpecc̃orscelerũ	dum pecc̃or scelerũ
suoꝝmultitudinẽ.magnitudinẽ	suoꝝ multitudinẽ . magnitudinẽ
.dut᷑nitatemconsid̃ans.deip̃isapudd̃mueniãse	. dut᷑nitatem consid̃ans . de ip̃is apud d̃m ueniã se
consequipossedesꝑat.Quorũsimilitudinemgessitcayn	consequi posse desꝑat . Quorũ similitudinem gessit cayn
illemaledictuscum	ille maledictus cum
ait.maior	ait . maior
estinqͥtasmeaqͣmutueniãmerear.	est inqͥtas mea qͣm ut ueniã merear .
Etdetalib;	Et de talib;
alibiscͥptũest.Ipiuscũ	alibi scͥptũ est . Ipius cũ
inꝓfundumueñit:cõtempnit.contemptusenimdesꝑationemgenerat	in ꝓfundum ueñit : cõtempnit . contemptus enim desꝑationem generat
.desꝑatio	. desꝑatio
aũ:spemquauiuimus	aũ : spem qua uiuimus
.⁊adcelestia	. ⁊ ad celestia
subleuam᷑:penit᷒eliminat.	subleuam᷑ : penit᷒ eliminat .
Exclusisigituhisquatuorqueconfessioniseuacuantmeritũ.iiiiͦ	Exclusis igitu his quatuor que confessionis euacuant meritũ . iiiiͦ
.aliadiligenti᷒attendam᷒	. alia diligenti᷒ attendam᷒
.q̃inꝮfitentib;	. q̃ in Ꝯfitentib;
ꝑfectionisoꝑanturaugm̃tũ.ꝑfectaautẽeritconfessio:	ꝑfectionis oꝑantur augm̃tũ . ꝑfecta autẽ erit confessio :
sinuda.siintegra.si	si nuda . si integra . si
fidelissit	fidelis sit
⁊ordinata.nudaest	⁊ ordinata . nuda est
confessioqueũborũfoliisñpalliat᷑	confessio que ũborũ foliis ñ palliat᷑
.integra:queꝑ	. integra : que ꝑ
partesñdiuiditur	partes ñ diuiditur
.stultumestenimut	. stultum est enim ut
scͥpturaait.dimidiam	scͥptura ait . dimidiam
sꝑareueniam.ĩmoĩconfessione	sꝑare ueniam . ĩmo ĩ confessione
diuid̃epeccata:semꝑestcarereuenia.fidelis	diuid̃e peccata : semꝑ est carere uenia . fidelis
autemeritconfessio.siisquiconfitet᷑.piam	autem erit confessio . si is qui confitet᷑ . piam
deremissionepecc̃oꝝfiduciam	de remissione pecc̃oꝝ fiduciam
concipiat.ordinata	concipiat . ordinata
:siprelatosuo.ñ	: si prelato suo . ñ
alii.culpas	alii . culpas
suashumiliterexponendo	suas humiliter exponendo
deplangat.Illiusenĩ	deplangat . Illius enĩ
estadhibereremedium.quiincurasuscep̃	est adhibere remedium . qui incura suscep̃
egrotum.OrisꝮfessionemsequituroꝑiscorrectio.que	egrotum . Oris Ꝯfessionem sequitur oꝑis correctio . que
inobseruationemãdatoꝝd̃iconsistit⁊ꝑseũantia.	in obseruatione mãdatoꝝ d̃i consistit ⁊ ꝑseũantia .
uͭpeccatorcreatorisuoreconciliari	uͭ peccator creatori suo reconciliari
desiderans:declineta	desiderans : declinet a
malo.⁊faciatbonũ.⁊in	malo . ⁊ faciat bonũ . ⁊ in
bonoopereusq;	bono opere usq;
infinemꝑseũans.asuꝑnoremuñatoresalutis	in finem ꝑseũans . a suꝑno remuñatore salutis
et̃necõsequaturp̃mium.Qui	et̃ne cõsequatur p̃mium . Qui
enimꝑseueraueritusq;infinem:	enim ꝑseuera uerit usq; in finem :
hicsaluuserit.cruxetiampenitentis	hic saluus erit . crux etiam penitentis
.sic̃p̃dixim᷒Ꝯsilitĩiniuriarũremissione.scitisqꝛ	. sic̃ p̃dixim᷒ Ꝯsilit ĩ iniuriarũ remissione . scitis qꝛ
irrogateiniurieintusanimumcruciant.	irrogate iniurie intus animum cruciant .
forismanũ	foris manũ
aduindictãꝓuocant.uñquiin	ad uindictã ꝓuocant . uñ qui in
sepeccanitib;excordedimittit.crucemꝓpͥeuoluntati	se peccanitib; ex corde dimittit . crucem ꝓpͥe uoluntati
:uindictamꝓĩiuriisillatisexpetenti:qͦdammodouiolent̃imponit	: uindictam ꝓ ĩiuriis illatis expetenti : qͦdammodo uiolent̃ imponit
.adhanccrucemsaluatornos	. ad hanc crucem saluator nos
ĩuitatdumpecc̃oresip̃mĩiniqͥtatib;suisincessant̃exac̃bantes	ĩuitat dum pecc̃ores ip̃m ĩ iniqͥtatib; suis incessant̃ exac̃bantes
.ñsolumpatient̃sustinet.	. ñ solum patient̃ sustinet .
s;etiampenitentib;	s; etiam penitentib;
:ueniãremissionis.clem̃tiasuepietatisindulget.	: ueniã remissionis . clem̃tia sue pietatis indulget .
cuiusindulgentietriplicemgr̃am.totadeuotionerecolendam.diligentissime	cuius indulgentie triplicem gr̃am . tota deuotione recolendam . diligentissime
debem᷒attend̃e.sicenimplenariammisericors⁊	debem᷒ attend̃e . sic enim plenariam misericors ⁊
miseratordñspenitentib;largiturindulgentiam.ut	miserator dñs penitentib; largitur indulgentiam . ut
deincepsnecdampnetulciscendo.necꝮfundatĩꝓꝑandonec	deinceps nec dampnet ulciscendo . nec Ꝯfundat ĩꝓꝑando nec
minusdiligat.inputando.audianthocq̃soclaustrales.	minus diligat . inputando . audiant hoc q̃so claustrales .
⁊ardentiusunitaristudeant.	⁊ ardentius unitari studeant .
suntenim	sunt enim
qͥdamqui	qͥdam qui
siqualibetoccasionelesifuerint:	si qualibet occasione lesi fuerint :
donantfortassisĩniuriam:s;	donant fortassis ĩniuriam : s;
ꝙomninoremisisseuisist̃:freq̃ntiusinꝓꝑareñuerent᷑	ꝙ omnino remisisse uisi st̃ : freq̃ntius inꝓꝑare ñ uerent᷑
.sunt⁊aliiqͥ⁊sipostacceptasiniurias	. sunt ⁊ alii qͥ ⁊ si post acceptas iniurias
sileant.rancorẽtam̃incessant̃urentẽseruantĩ	sileant . rancorẽ tam̃ incessant̃ urentẽ seruant ĩ
animomanet	animo manet
altam̃terepositũ.siquiddictuml̃fc̃mfũit	alta m̃te repositũ . si quid dictum l̃ fc̃m fũit
.uñip̃isoffẽsiõismat̃̄ia.scandalioccasio	. uñ ip̃is offẽsiõis mat̃̄ia . scandali occasio
p̃stitauideat᷑.adeout	p̃stita uideat᷑ . ad eo ut
graueseisetiamaduidendũ.quizeloreligionis	graues eis etiam ad uidendũ . qui zelo religionis
⁊discipline:excessus	⁊ discipline : excessus
eorumcorrectionedignos.ul̃leni	eorum correctione dignos . ul̃ leni
rep̃hensionenotauerint.contrahoᷤbeneineccl̃iasticoscͥptum	rep̃hensione notauerint . contra hoᷤ bene in eccl̃iastico scͥptum
est.homohominiseruat	est . homo homini seruat
iram.⁊adeoqueritmedelam:longeab	iram . ⁊ a deo querit medelam : longe ab
hiisestdiuinemiserationisbenignissimalib̃alitaᷤque	hiis est diuine miserationis benignissima lib̃alitaᷤ que
sicindulgetplenarie:utpecc̃oreᷤs;penitentes.ñ	sic indulget plenarie : ut pecc̃oreᷤ s; penitentes . ñ
solũareatup̃uaricationisclem̃terabsoluat.s;⁊	solũ a reatu p̃uaricationis clem̃ter absoluat . s; ⁊
habundantioredilectioniscumulo.ingr̃amdulcissime	habundantiore dilectionis cumulo . in gr̃am dulcissime
familiaritatisadmittat.probathocpetrusapl̃sconsciussecretoꝝdei	familiaritatis admittat . probat hoc petrus apl̃s conscius secretoꝝ dei
.cuiposttͥnamnegationem:	. cui post tͥnam negationem :
Ꝯmissaestuniũsaliseccl̃iecustodia.ꝓbatḣidem	Ꝯmissa est uniũsalis eccl̃ie custodia . ꝓbat ḣ idem
famosissimapeccatrix	famosissima peccatrix
inquasic̃scͥptumẽ.postqͣmhabundauitpecc̃m:	in qua sic̃ scͥptum ẽ . postqͣm habundauit pecc̃m :
suꝑhabundauit⁊gr̃a.crucemlatronisinsultantis.	suꝑ habundauit ⁊ gr̃a . crucem latronis insultantis .
penãꝑhennẽpecc̃oriseẽdiximus	penã ꝑhennẽ pecc̃oris eẽ diximus
.finalit̃	. finalit̃
ĩmaloꝑseuerantis.Etheccruxquatuor	ĩ malo ꝑseuerantis . Et hec crux quatuor
insebrachia	in se brachia
Ꝯtinet.uidelicetũmẽ	Ꝯtinet . uidelicet ũmẽ
Ꝯscĩe.	Ꝯscĩe .
horroremgehenne.tenebrarũcaliginẽ.	horrorem gehenne . tenebrarũ caliginẽ .
penaꝝacerbitatẽ.	penaꝝ acerbitatẽ .
Deuerme	De uerme
conscĩescͥptumestineuͣngl̃io.simul⁊	conscĩe scͥptum est in euͣngl̃io . simul ⁊
ĩysaia.uermiseoꝝnonmoriet᷑.	ĩ ysaia . uermis eoꝝ non moriet᷑ .
Quodlicetplanumsitadlitt̃am:	Quod licet planum sit adlitt̃am :
tñadaccusatõnemremordentisꝮscĩe:	tñ ad accusatõnem remordentis Ꝯscĩe :
recteretorq̃tur	recte retorq̃tur
.qͣntũadspiritalemĩtelligentiã.De	. qͣntũ ad spiritalem ĩtelligentiã . De
horroregehennein	horrore gehenne in
libroiobscͥptum	libro iob scͥptum
.ubiumbra	. ubi umbra
mortis.⁊nullusordo	mortis . ⁊ nullus ordo
.s;sempit̃nus.	. s; sempit̃nus .
horrorinhabitans	horror inhabitans
.tenebrarũcaliginẽ.sermoexpͥmit	. tenebrarũ caliginẽ . sermo expͥmit
euͣgl̃ic᷒.ubidicit.	euͣgl̃ic᷒ . ubi dicit .
mittent᷑intenebrasext̃iores.penarũacerbitatẽ:ubisubiungit	mittent᷑ in tenebras ext̃iores . penarũ acerbitatẽ : ubi subiungit
.Ibierit	. Ibi erit
fletus⁊stridordentium.caueam᷒	fletus ⁊ stridor dentium . caueam᷒
dilectissimifratresnehuiccrucipeccatisnr̃isexigentib;et̃nalit̃affigam᷑	dilectissimi fratres ne huic cruci peccatis nr̃is exigentib; et̃nalit̃ affigam᷑
carnalesconcupiscentiasuolũtariacastigationecohibentes	carnales concupiscentias uolũtaria castigatione cohibentes
.temporalit̃potius	. temporalit̃ potius
macerem᷑.qͣmsuppliciisdeputemuret̃nis.⁊	macerem᷑ . qͣm suppliciis deputemur et̃nis . ⁊
sicrucemxp̃i.crucemĩnocentie	si crucem xp̃i . crucem ĩnocentie
.utpote	. ut pote
rei⁊nocenteᷤbaiulareñpossumus:saltẽcrucem	rei ⁊ nocenteᷤ baiulare ñ possumus : saltẽ crucem
penĩe.q̃nosab	penĩe . q̃ nos ab
et̃nocruciatulib̃et:dieb;istisp̃cipue.	et̃no cruciatu lib̃et : dieb; istis p̃cipue .
nob̃assumamus	nob̃ assumamus
.Quienĩxp̃ist̃.	. Qui enĩ xp̃i st̃ .
carnẽsuãcrucifixerunt.cũuiciis⁊	carnẽ suã crucifixe runt . cũ uiciis ⁊
concupiscentiis.Obseruandũnob̃est.utxp̃isumus.	concupiscentiis . Obseruandũ nob̃ est . ut xp̃i sumus .
⁊carnẽ	⁊ carnẽ
nr̃amcũuicĩs⁊	nr̃am cũ uicĩs ⁊
Ꝯcupiscẽtiiscͧcifigamus	Ꝯcupiscẽtiis cͧcifigamus
.multienĩ	. multi enĩ
carnẽsuãcrucifigunt.	carnẽ suã crucifigunt .
⁊t̃nxp̃i	⁊ t̃n xp̃i
ñst̃.ut	ñ st̃ . ut
poteexoꝑib;suisq̃rectauident᷑	pote ex oꝑib; suis q̃ recta uident᷑
:humanamstudiosiusappetuntgl̃am.	: humanam studiosius appetunt gl̃am .
s;tanqͣmfatueuirginesobeumĩuasis	s; tanqͣm fatue uirgines ob eum ĩ uasis
ñhabentes:uacuamuirtutib;	ñ habentes : uacuam uirtutib;
hñtꝮscĩam.lucentquidem	hñt Ꝯscĩam . lucent quidem
.s;ñardent.quiꝑlucẽ	. s; ñ ardent . qui ꝑ lucẽ
bonoꝝoꝑum:forissimulantuite	bonoꝝ oꝑum : foris simulant uite
ꝑfectionem.s;intusignecaritatisnõaccendunt᷑ad	ꝑfectionem . s; intus igne caritatis nõ accendunt᷑ ad
salutem.utigiturfructuosasit	salutem . ut igitur fructuosa sit
carnisnr̃emortifioatõext̃ioriꝮũsationiꝮcordetinteriormentisĩtentio.	carnis nr̃e mortifioatõ ext̃iori Ꝯũsationi Ꝯcordet interior mentis ĩtentio .
utsicoꝑanr̃aluceant	ut sic oꝑa nr̃a luceant
coramhom̃ib;:qͣtinus⁊illiꝑomniaplaceam᷒.	coram hom̃ib; : qͣtinus ⁊ illi ꝑ omnia placeam᷒ .
quicordiũscrutatorẽintim᷒	qui cordiũ scrutator ẽ intim᷒
.Ih̃cxp̃cdñsnr̃	. Ih̃c xp̃c dñs nr̃
.cui᷒regnũ⁊imꝑium	. cui᷒ regnũ ⁊ imꝑium
.ꝑmane,inseculaseculorum.	. ꝑmane, in secula seculorum .
amensmoIn	amen smo In
generalicapituloEgosumpastor	generali capitulo Ego sum pastor
bon᷒.quipascoouesmeas.⁊ꝓouib;	bon᷒ . qui pasco oues meas . ⁊ ꝓ ouib;
meisponoaĩammeã.necessariumfueratfr̃es⁊patres	meis pono aĩam meã . necessarium fuerat fr̃es ⁊ patres
dilectissimi.utdieip̃sentisexhortationẽ.lingue.torrenti	dilectissimi . ut diei p̃sentis exhortationẽ . lingue . torrenti
.⁊fecundopectoriꝮmisissẽ.decui᷒plenitudinenos	. ⁊ fecundo pectori Ꝯmisissẽ . de cui᷒ plenitudine nos
om̃saccipientes.⁊sacrescͥpt᷑edulcedinem.palatocordis	om̃s accipientes . ⁊ sacre scͥpt᷑e dulcedinem . palato cordis
degustantes.ũbisdiuinisquasiqͥb᷒dãcarbonib;uastatoriis	degustantes . ũbis diuinis quasi qͥb᷒dã carbonib; uastatoriis
.adamorẽp̃ceptoꝝdei.uehementi᷒accenderem᷑.	. ad amorẽ p̃ceptoꝝ dei . uehementi᷒ accenderem᷑ .
netamencaritatiur̃e	ne tamen caritati ur̃e
uideat᷑iniuriosũ.si	uideat᷑ iniuriosũ . si
scd̃umoremdiei	scd̃u morem diei
.uerbũ	. uerbũ
deiñꝓcedat:aliqͥddicere.licet	dei ñ ꝓcedat : aliqͥd dicere . licet
p̃sumptuosusaudebo.⁊intab̃naculodñi.	p̃sumptuosus audebo . ⁊ in tab̃naculo dñi .
ñqd̃uolo.s;ꝙualeo.deuotus	ñ qd̃ uolo . s; ꝙ ualeo . deuotus
offeram.inhocmaximeloquendi	offeram . in hoc maxime loquendi
sumensfiduciam.qꝛdeusmunusqͣntumlibet	sumens fiduciam . qꝛ deus munus qͣntumlibet
paruũñrespuit.ꝙoblatumfũit	paruũ ñ respuit . ꝙ oblatum fũit
boneuoluntatisaffcũ.s;uereor	bone uoluntatis affcũ . s; uereor
nedelicatasauresoffẽdat	ne delicatas aures offẽdat
sermorusticior.⁊qͥnoua	sermo rusticior . ⁊ qͥ noua
frequent̃auditis:	frequent̃ auditis :
uet̃a.⁊siueradespiciatis	uet̃a . ⁊ si uera despiciatis
.sedetisenimadm̃samdiuitis.⁊nuptiisagni	. sedetis enim ad m̃sam diuitis . ⁊ nuptiis agni
Ꝯmunicatis.⁊	Ꝯmunicatis . ⁊
icircoquasiꝮuiuedelicatiq̃q;min᷒sapida.min᷒	icirco quasi Ꝯuiue delicati q̃q; min᷒ sapida . min᷒
p̃parata:nõĩmeritofastiditis.s;	p̃parata : nõ ĩmerito fastiditis . s;
rursusattendoꝙint̃cibos	rursus attendo ꝙ int̃ cibos
delicatiores.groᷤsioraq̃q;ñ	delicatiores . groᷤsiora q̃q; ñ
nũqͣmdulci᷒sapiunt.⁊human᷒anim᷒grata	nũqͣm dulci᷒ sapiunt . ⁊ human᷒ anim᷒ grata
uicissitudinesequandoq;Ꝯmunib;applicat.uͭ	uicissitudine se quandoq; Ꝯmunib; applicat . uͭ
adpenetͣndam	ad penetͣndam
subtiliumꝓfunditatẽ.ardenti᷒p᷒modũ	subtilium ꝓfunditatẽ . ardenti᷒ p᷒modũ
recurrat.scioquidempr̃eskm̃i.plureᷤ	recurrat . scio quidem pr̃es km̃i . plureᷤ
eẽinteruosuerbidiuinidispensatoresydoneos.	eẽ inter uos uerbi diuini dispensatores ydoneos .
quilegem	qui legem
diuinamdigitodeiincordib;eorum	diuinam digito dei in cordib; eorum
scriptam.ñsoluminsermonefreq̃nt̃annuntiant.	scriptam . ñ solum in sermone freq̃nt̃ annuntiant .
s;etiamefficacit̃inoꝑedemonstarnt.	s; etiam efficacit̃ in oꝑe demonstarnt .
qꝛtam̃fratũꝓfectib;	qꝛ tam̃ fratũ ꝓfectib;
exĩiunctoteneorofficiodeseruire	ex ĩ iuncto teneor officio deseruire
.ñabreiudico.ad	. ñ abre iudico . ad
edificationẽsimpliciũ.saltemꝮmunia	edificationẽ simpliciũ . saltem Ꝯmunia
.⁊quasi	. ⁊ quasi
om̃ib;notaꝓpoñe.Insufficentiã	om̃ib; nota ꝓpoñe . Insufficentiã
itaq;meamuobisñincognitã	itaq; meam uobis ñ incognitã
:penesuosexcusans.	: penes uos excusans .
ueniamdep̃sentionepostulo.quialinguãcuisilentiumscientie	ueniam de p̃sentione postulo . quia linguã cui silentium scientie
defectusimponit⁊imperat	defectus imponit ⁊ imperat
.frat̃ne	. frat̃ne
caritatisaffectusad	caritatis affectus ad
loquendumresoluit⁊Ꝯfortat.Egosumpastorbon᷒	loquendum resoluit ⁊ Ꝯfortat . Ego sum pastor bon᷒
.⁊c̃.In	. ⁊c̃ . In
ũbisistisfratrestͥapͥmoꝮsid̃anda	ũbis istis fratres tͥa pͥmo Ꝯsid̃anda
nob̃occ᷑runt.bonitasredẽptorisnr̃i:cumdicitur.	nob̃ occ᷑runt . bonitas redẽptoris nr̃i : cum dicitur .
Egosumpastorbonus.sollicitudo⁊affectus	Ego sum pastor bonus . sollicitudo ⁊ affectus
eiuserganoᷤ.cumaddit᷑qui	eius erga noᷤ . cum addit᷑ qui
pascoouesmeas.bonitatis	pasco oues meas . bonitatis
⁊sollicitudinisei᷒dem.ĩenarrabiliseffc̃s.cum	⁊ sollicitudinis ei᷒dem . ĩenarrabilis ef fc̃s . cum
adextremũꝮcludit᷑.	ad extremũ Ꝯcludit᷑ .
⁊ꝓouib;meisponoaĩammeã.Etpͥmo	⁊ ꝓ ouib; meis pono aĩam meã . Et pͥmo
qͥdemadbontatis	qͥdem ad bontatis
ip̃iushabundantiã.m̃tisocuos	ip̃ius habundantiã . m̃tis ocuos
retorq̃amus:⁊ĩueniemusꝓculdubio.	retorq̃amus : ⁊ ĩueniemus ꝓculdubio .
multiplicesboneficioꝝei᷒Ꝯsolationes.quib;quasiqͥb᷒damstimulisĩ	multiplices boneficioꝝ ei᷒ Ꝯsolationes . quib; quasi qͥb᷒dam stimulis ĩ
amorẽip̃i᷒totom̃tisaffecturapͥamur.Intͥb;aũ	amorẽ ip̃i᷒ toto m̃tis affectu rapͥamur . In tͥb; aũ
p̃cipuebonitatẽdiuinãpossumusattend̃e	p̃cipue bonitatẽ diuinã possumus attend̃e
:uidelicetĩhomĩscreatione.ĩip̃ius	: uidelicet ĩ homĩs creatione . ĩ ip̃ius
recreatio.⁊	recreatio . ⁊
ĩei᷒demgl̃ificatione.Increationequidem	ĩ ei᷒dem gl̃ificatione . In creatione quidem
.qꝛp̃pbonitatẽ	. qꝛ p̃p bonitatẽ
diuinãcreatus	diuinã creatus
esthomo.sicuttestaturbeatusaug᷒.in	est homo . sicut testatur beatus aug᷒ . in
librodedoctͥnaxp̃iana.ubi	libro de doctͥna xp̃iana . ubi
ait:qꝛdeusbon᷒	ait : qꝛ deus bon᷒
est.nossumus.	est . nos sumus .
⁊ĩqͣntum	⁊ ĩ qͣntum
sum᷒:bonisum᷒.Ecceqꝛcreat᷒	sum᷒ : boni sum᷒ . Ecce qꝛ creat᷒
esthõ.ꝓpt̃bonitatẽ	est hõ . ꝓpt̃ bonitatẽ
diuinã:creatusestetiamp̃putilitatẽsuam.	diuinã : creatus est etiam p̃p utilitatẽ suam .
utileẽ	utile ẽ
enimhominiseruired̃o	enim homini seruire d̃o
:utpostmodũ	: ut postmodũ
fruat᷑eo.	fruat᷑ eo .
deoenĩseruireregareẽ.	deo enĩ seruire regare ẽ .
⁊sicordinauitdiuinamod̃atio.ut	⁊ sic ordinauit diuina mod̃atio . ut
omniaquep̃p	omnia que p̃p
hoĩemfc̃ast̃.⁊subip̃oexistuntusib;	hoĩem fc̃a st̃ . ⁊ sub ip̃o existunt usib;
eiusdeseruiant.utip̃eordinelegitimo.suo	eius deseruiant . ut ip̃e ordine legitimo . suo
suꝑiori.i.d̃o	suꝑiori . i. d̃o
debitũexibeatfamulatũ	debitũ exibeat famulatũ
.Inrecreationeaũhom̃is:maiorẽcumulũ	. In recreatione aũ hom̃is : maiorẽ cumulũ
diuinebonitatisp᷒sumusattendere.Quanta	diuine bonitatis p᷒sumus attendere . Quanta
enĩdignatio.utfili᷒d̃i	enĩ dignatio . ut fili᷒ d̃i
añsecula.fc̃shom̃isfili᷒infine	añ secula . fc̃s hom̃is fili᷒ in fine
seculoꝝ.defectusnr̃ecarniᷤsintsusciꝑet.	seculoꝝ . defectus nr̃e carniᷤ sint susciꝑet .
⁊humanigenerismiseriemisericordit̃Ꝯpatiens.hoĩemꝑditũad	⁊ humani generis miserie misericordit̃ Ꝯpatiens . hoĩem ꝑditũ ad
regnacelestiareuocaret:o	regna celestia reuocaret : o
quamdiuesĩmicd̃ia.qͣm	quam diues ĩ micd̃ia . qͣm
munific᷒ĩgr̃a	munific᷒ ĩ gr̃a
.redẽptornoster.qͥdesinupatris	. redẽptor noster . qͥ de sinu patris
descendens.ouem	descendens . ouem
ꝑditamꝓpͥishumeris	ꝑditam ꝓpͥis humeris
adgregẽreportauit:⁊pͥmep̃uaricationisreatumdiluens.	ad gregẽ reportauit : ⁊ pͥme p̃uaricationis reatum diluens .
seip̃mꝓ	se ip̃m ꝓ
nob̃p̃cium	nob̃ p̃cium
redemptionisoptulit.Inhoĩs	redemptionis optulit . In hoĩs
uͦglorificatione:multomagiselucetdiuinerespectusmiscd̃ie.	uͦ glorificatione : multo magis elucet diuine respectus miscd̃ie .
Queenĩmaiorgr̃a.quamut	Que enĩ maior gr̃a . quam ut
destructacaptiuitate.seruusintretĩgaudiũdñisui	destructa captiuitate . seruus intret ĩ gaudiũ dñi sui
