P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
Posthec Deus cumillumtoti us gentisd ucemcons tituisset,He breo squidemacerbissimaapud hostesseruitute liberauit:tyran nor umautemgen us celitusinflictissupplic iiseius operaultus est ;	------|---|--|----|----⌫-|-----|-⌫---|----⌫---------|--⌫----⌫|-----|----------|---|-----|--------|---------|-----⌫---⌫-|----|---⌫-|------|--------|-------⌫--|---|----|----|---⌫|
u e tus,inqua m,hech istoria,in starfab uleamu ltisaccepta , om nium auresmortaliumimpleuit.	-⌫-⌫---|-----⌫-|--|-⌫-------|--⌫---|---⌫--||--⌫---|-------⌫|--⌫---|----|--------|--------|
Nuncueroidem nobisDeusmaioraomnibusfabulis miraculaip sis oc u lisspect a reco ncessit ,q uod genusspectaculi apudeosquirecensuiderunt, omni auditionef i dedignius h abetur.	---|---|---|----|---|-----|------|------|-------|--⌫--|--⌫-⌫--|-----⌫-⌫-|--⌫-------⌫|-⌫--|----|---------|---|--|--|-----|--------|---|--------|-⌫-⌫-|------|-⌫------|
Nos traenim etatetyranniquidemqui aduersus Deum summumomniumRegem bellummouerein stituerant, eius Eccles iamgrauiteroppresserun t .	---⌫--|---|----|------|-----|--|-------|---|-----|-----|----|-----|-----|--⌫----------|---|------⌫--|-------|-----------⌫-⌫|
CAPUTXIII.	----|----|
Cum imper i umR om anuma quatuorAugus tisregeretur, hicd iuersuma collegiss uisuiteins titutum emulatus,soluscum Deore ru m omniummoderatorepacem firmauit.	--|-----⌫-⌫-|-⌫--⌫---||------|-----⌫--|---------|--|-⌫------||-------|-⌫--|---|---⌫------|--------|----|--|--|--⌫--⌫|-----|---------|----|--------|
Illienimecc lesiasDeiexpugn areadorti, soloequ arunt,etoratoria unacumipsis fundamentis aboleue run t.	---|---|---⌫-----|--|------⌫--|------|---|---⌫-----|-|-------|--|--|----|----------|-------⌫---⌫-|
Hicueroanefariaillo rumimpietatepu ra smanusatqu eintegras seruauit, necseull atenuseo ru msimilemprestitit.	--|---||------|----⌫--|--------|--⌫--⌫|----|----⌫|-------|--------|--|-|---⌫-----|--⌫--⌫|------|---------|
E tilliquidem Deic ultoru mta m uiroru mquammulierum cedibu s,tanquamciuiliqu odam belloprouincia ssibisubiectas polluerunt.	-⌫|---|-----|--|-⌫------⌫|--⌫|------⌫|---|-------|------⌫-|------|-----|--⌫---|----|---------⌫|---|--------|----------|
Hicueroanimum abhui u smodi sce lere purum atque inuiol atum semper seruauit.	--|---|-----|-|---⌫-⌫----|---⌫---|----|----|------⌫---|-----|--------|
Cum hicpri nceps crebrishominum s ermonibus celebraretur , q uodm i tis essetac placidus;	--|--|---⌫----|------|------|-⌫--------|------------⌫|-⌫--|-⌫-⌫--|----|-|--------|
qu od o ptim usDeiqueamantissimus;	--⌫-|-⌫----⌫-|-----|------------|
quodqueobi ncredibilemer ga subdito sindul gentiam,nullampecuniaminthesaurisreconditamhaberet:imperat or isqui tunc temporissupremumimper iigradu mobtinebat,missisadeumqui busdamho mi nibus, obi u rgau iteius i nrepublicageren danegli gent iam:e tpaupertatemipsiprobrouertit.	------|-|-⌫----------|--⌫-|-------⌫|-----⌫-------|-----|-------|-|--------|---------|-------|-------⌫-|-|--|---|-------|-------|-----⌫-|-----⌫|---------|-----|-|--|---⌫-----|--⌫--⌫-----|---⌫-⌫----⌫-|---|-⌫|--------|-----⌫-|-----⌫----⌫---|-⌫|----------|---|-----|------|
hocma ximear gument ofidemdictisfaciens,qu o dnich ilinthe s aurisreconditumh abere t.	--|--⌫---|--⌫------⌫|----|-----|-------|--⌫-⌫|----⌫-|-|---⌫-⌫----|---------|-⌫-----⌫-|
At ille eosquiab imperatoreuener an trogauit , utap ud sealiquantis permar ari uellent.	-|---|--|--|-|---------|-----⌫--⌫|-------⌫|-|--⌫-|-|----------⌫--|---⌫--|-------|
Deindeexomnib usprouinciisqueipsiusimperio parebantconuoc ato opulentis s imoquoque, sep ecu niaopushabereiissignificauit.	-----|-|-----⌫-|---------|--|-----|------|-------|------⌫--|---------⌫-⌫--|------|-|-⌫---⌫--|---|-----|--|------------|
hancqu e occasione moblatamesse,quasuamqui squeergap rinc ipembeneuolentiams ponte d eclararedeberet.	------⌫|---------⌫|------|----|--|---|---⌫---|---|-⌫----⌫---|------------|-⌫----|-⌫-------|-------|
CA PUT Xu.	--⌫--|--|
Pre s ides proui nciarumper uniuersum orbemu iro sdiuino cultuideditosi mpe ratorumiuss upersequebantur.	---⌫-⌫---|-----⌫------|--|--------|----|-⌫---⌫|-----|-----|------|-⌫---⌫------|----⌫|--------------|
Primiqueomnium ex ipsisim perialibuspala t iisprogres siDei a mantiss imimartyres,prore ligionecertaminaob i erunt.	-------|-----|-|----|--⌫---------|----⌫-⌫--|-------⌫-|--|-⌫-------⌫--|--------|--|--⌫------|--------|--⌫-⌫-----|
ig nemetgladiosma risquealtiss im osgurgites,etcunctamortisgeneraalacrianimop erpes si.	--⌫--|-|------|--⌫-----|------⌫--⌫-|--------|-|-----|-----|-----|-----|----|-⌫-----⌫--|
Soli Constantiosapien squ od damcon siliumuenitinme ntem.	---|---------|------⌫|--⌫--⌫--|---⌫-----|----|-|--⌫----|
Acresquidemipsa quamgessi t mi rabilisest audi tu.	----|-----|---|---|-----⌫|--⌫------|--|----⌫--|
factu tamenlong ea d mirabil ior ;	----|----|----⌫|-⌫-⌫-------⌫---⌫|
Pal ati niso mnibusquiinipsiusaulamilitabant, adipsosus quei udice sinsummi s po test atibu sc onst itutos,dataeligendiutrummallent facultate,hanccondi tionemd etulit,utsiquide m d emon ibu s sacrificassent, manereipsisinpalati o et c ons uetis honoribu s fruili cere t:siu eroidfac ererenu iss ent, abipsius ad itu excluderent ur,etabipsius noti tia acfamiliarita teremotidisc ederent.	---⌫---⌫--|-⌫-----|--|-|-----|---|----------|-|----|--⌫--|-⌫-----⌫|-|-----⌫|--⌫----⌫-----⌫|-⌫----⌫------|---|-------|----|------|---------|---|-----⌫-----|-⌫------|-|-------⌫|-⌫----⌫---⌫|--------------|-----|----|-|------⌫|-|-⌫---⌫----|--------⌫|---|--⌫----⌫-|-|-⌫--|-|---⌫--|----⌫---⌫---|-|-----|--⌫--|-----------⌫--|-|-|-----|----⌫--|-|-----------⌫-|-----|----⌫-------|
C um ergo uni uersi bifariamdiremptiessent?	-⌫-|---|---⌫----|-------|-------|------|
aliusqu einhan c, aliusinillampartemdis cessi ss et;	-------⌫|-|---⌫-|----|-|----|-----|---⌫-----⌫--⌫--|
CAPUTXuII.	----|----|
Hu iu smodi fuitConstantinipaters icutano bis breuiterindic atumest.	--⌫--⌫----|---|----------|----|-⌫---||--⌫--|-------|-----⌫---|---|
Qualisautemexitusuite illi con tigerit ,cumsetale m erga D e um prestiti sset,q ua ntumque discrimeninterillume treliq uosimp eriiconsortesisquem co l ueratDeus esseuoluerit,q uisquis remipsamattent iu sexpende rit,facile cognoscet.	-----|----|-----|---|---|---⌫-------⌫|--|-|----⌫|---|-⌫-⌫-|--------⌫----|-⌫--⌫------|--------|----|----|-⌫|-----⌫--|---⌫---|--------|-|---|--⌫-⌫----|---|---|--------|-⌫------|--|----|------⌫--⌫|-------⌫---|-----|---------|
Postquamenim multa re gie uirtuti s indi c ia d iutiss ime preb uisset,unumquidemsu mmum omniumDeuma gnoscens,eorum ueroqu i pluresDeos,colere nt impietat emcondemnan s, etsanctorum hominumpreca tio nibusdomum sua mundiquemu niuisset,reliquumd einceps uite te mpuse xped iteact r anquillesummac umgl oriaexegisse dicitu r:co mposeiu sfelicitatis quamuulgop erhibent ineopositamesse, utneque abaliis affi ciamur neque aliosipsiafficiamusm olest ia.	-------|---|----|--⌫--|-------⌫|----⌫-⌫-|-⌫------⌫--|----⌫------|---|-----|--⌫---|-----|---|-⌫--------|----|---|--⌫|-----|----|------⌫-|--------⌫-|---------⌫-|-|--------|------|-----⌫---⌫----|----|---⌫|------|--⌫--------|-------|-⌫------|---|--⌫---|-⌫----⌫--|-|-⌫-⌫-------|----|-⌫-|--⌫---|-------|------⌫-|--⌫---|---⌫|----------|---|----|-⌫-------|-|-|------|----|-|----|-|----|----⌫-----|----|----|---|---------|-⌫-----⌫--|
CAPUT XuIII.	----|-----|
Porroeasobresn o n diuposthac mercedem aD eoes tc onsec u tus:in tantumutprimumi mperiilocumobtinere t .	----|--|-|--|-⌫-⌫|--|------|-------||-⌫-|--⌫|-⌫-----⌫-⌫---|-|-----|-|-----|-⌫-----|----|--------⌫-⌫|
Nam cum seniores Augusti n escio quopactoimperioseab dicassent,que repent ina mu tat ioproximopost eccles iarum euersio nemannoillis con tigit.	--|--|-------|------|-⌫----|--|----|------|-|--⌫---------|--|------⌫--|--⌫---⌫-|------|---|------⌫----|-------⌫--|---|----|---⌫-----|
solu s exi ndeConstantiusprimusAugustusrenun tiatusest.	----⌫|---⌫--|----------|-----|-------|-----⌫-----|---|
Q uiinitioqui demCesarum diad ematecum Galeriod eco ratuspri oremg radu m obtinuerat:p os tea uerocu mi ni llaCesaris digni tate egregiumsui spec imenedidisset,summumapudRomanos honoris fa sti giumade ptus est.	-⌫-|-----|---⌫--|------|----⌫----|--|------|-⌫---⌫----|---⌫---|-⌫----⌫|----------|-⌫--⌫--|---|--⌫|-⌫|-⌫--|------|-----⌫---|-------|--|----⌫---|---------|-----|---|------|------|--⌫---⌫---|---⌫---|---|
Quippehicun acumimperat oribu s patrissuicollegisuersa b atur,et quemadmodumu etus illeDei propheta M osesinmedioillo rum,sicut iamdix imu s,degebat.	-----|--|--⌫|--|-------⌫-----⌫|-----|--|-------|-----⌫-⌫----|-|----------|-⌫---|---|--|-------|-⌫---|-|----|----⌫---|----|--|---⌫---⌫-|-------|
C um quetransac tapueritia iam adolescentie annosingressus esset, summ o inhonoreapudsupra dictos imper atoreserat.	-⌫--⌫--|-------⌫-|-------|--|-----------|----|--------|-----|----⌫|-|-----|---|----|-----|-----⌫-----|----|
Cuiusmodinosqu oqueeum uidimus ,cumperPalestinamprouincia mtra nsir e t una cum seniore Augusto.	--------|--|--⌫---|--|-------⌫|--|--|---------|---------⌫|---⌫----⌫-⌫|--|--|------|-------|
A dcuiusdextrama ss is ten s , cunctisquiuide ndidesiderio tenebanturprestantis simus apparebat,etqui regi ecu i usdam cels itudinisa nim iiamtumindiciapreberet.	-⌫|----|------|-⌫--⌫--⌫---⌫-⌫|------|--|----⌫--|--------|---------|----------⌫----|---------|-|--|----⌫|--⌫-⌫----|----⌫-------|-⌫---⌫|-----|------|--------|
Namquo dadpulchritudin emetproceritatem corpor is at tine t, nemo era tqui cum illo conferriposset.	--|---⌫|-|------------⌫-|-|-----------|------⌫-|--⌫----⌫-|---|---⌫|--|--|---|-------|------|
Atimperato resilliustemporis, c umadolescentem u ider en t genero sumacfortem,mag numqueetexcels o animo pr editum, inuidiasimu lac metuobid torqueric e pe re.	-|--------⌫--|-----|--------|-⌫-|-----------|-⌫----⌫--⌫|------⌫--|-|------|---⌫-----|-|------⌫|----|--⌫------|------|----⌫|-|---|-|-|-------|-⌫-⌫--⌫--|
Itaq uetempusopportunu mcaptabant, utma lo atqueignominiaiuuenemaffi cerent.	----⌫-|-----|---------⌫|---------|-|--⌫-|----|--------|------|----⌫------|
CAPUTXXI .	----|---⌫|
Cumergoeuitat is insidiar u mdolis,celericu rs uadp a trem profectuse sse t,ipse quidempo stlongumtempo risspatiumin patris conspectumuenit.	--|---|------⌫-|--------⌫-⌫|-----|-----|--⌫--⌫|-|-⌫-⌫---|--------|-⌫---⌫-|---|-----|--⌫-|-----|-----⌫--|------|-|-----|---------|-----|
A tConsta nti osubidemtempusultimusu it ediesimmin ebat.	-⌫|------⌫---⌫|--|---|-----|------|-⌫--⌫|---|-----⌫----|
Quicumfiliuminsper ato sib i adessecerneret,lectoexili ens,ambabusulni seumamplexusest:huncqueu num quoang eb a t urdolo rem, exabsentia scili cetfilii conceptum, iam exanim o penitusexcuss umesseaffirman s,gratiasDeomax imas egit,postha cmor tem omniimmo rtalitate poti oremsibiessetestatus.	--|--|-----|------⌫--|---⌫|-----|--------|----|-----⌫---|------|----⌫|--|-------|---|------|-⌫--|--|---⌫--⌫-⌫-⌫-|----⌫---|-|-------|-----⌫--|----|---------|--|-|----⌫|------|------⌫-|---|--------⌫-|------|--|---⌫---|----|------⌫|---⌫--|---|----⌫--------|----⌫---|---|---|--------|
CAP UTXXII.	---⌫-|----|
Neque ta menidcirco absq ue imperatore rem ans it respub lica,quipp eConsta nti nuspater naor natus purp ura,e t expa ternisedibuspro gr essus,Cons tantium patremtanqu amred iuiuumetinfilioadhucregnantemcunctisexhibuit.	----|--⌫--|------|----⌫-|---------|---⌫---⌫-|------⌫----|-----⌫|------⌫---⌫--|-----⌫-|--⌫----|----⌫---|-⌫|-|--⌫-----|-----|---⌫--⌫-----|----⌫------|-----|-----⌫-|---⌫-----|-|-|----|----|--------|------|--------|
Posthecfu nusp aternumantecedenscumingentipatern or umam icorummult itudine, quorumaliia nteibant,a l ii subsequeban tur,pulcherrimoap paratuexequias Deo de uotiprincipisc el ebrauit;	------|--⌫--|-⌫------|---------|--|------|------⌫--⌫-|--⌫-----|----⌫-------|-----|---|-⌫--------|-⌫-⌫-|-----------⌫---|----------|--⌫-----|-------|--|--⌫---|--------|-⌫--⌫-------|
Cuncti beatissim um imperatoremacc la mationibusetlaudibus pros equ ebantur .	-----|---------⌫-|----------|---⌫--⌫---------|-|-------|----⌫---⌫-------⌫|
unoqueanimorumcon s ensumortuum prin cipat ufiliir est ituiatquein l ucem reuocaricens e ban t;	-----|-------|---⌫-⌫---|------|----⌫-----⌫|----|-⌫---⌫---|----|-|-⌫---|-------|----⌫-⌫---⌫-|
etfau stisacc lamationib u snouum principem, imperatorem ,Augustum,primo sta tim impet ua ppellabant.	-|---⌫---|---⌫----------⌫-⌫|----|---------|-----------⌫|--------|----|---⌫--|-----⌫|-⌫----------|
CAPUTXXII I.	----|----⌫-|
Qualisuero exi tusfuerit aliorumquiEccles ias Deitanquam indictobellooppugnarun t,nequaqu am h i ccommemorand um essedux i,necbon orummemoria m,m al orumattexta commemo rati o neesse ui o landam.	-----|---|---⌫--|-----|------|--|------⌫--|--|------|------|----|----------⌫-|-------⌫-|-⌫-⌫|-----------⌫-|---|---⌫-|--|---⌫---|-------⌫-|-⌫--⌫---|------|-------⌫----⌫-⌫-|---|--⌫-⌫------|
C APUT XXIu.	-⌫---|----|
Inhuncmodumuniue rso rumauctoret toti u smundimoderator DeusConstantinumtalip ar ente genitum,pr incipem a tqu eimperat orem perseipse prouexit :ade out, cum ceteriomnesaliorumsuffragioh unchonoremconsecuti sint,solushic fueritde cuiuspromot ionen emomorta liumgloriaretur.	-|---|----|-----⌫---⌫--|-----|-|----⌫-⌫|----|--------|---|-----------|---|-⌫--⌫---|-------|--⌫------|-⌫---⌫|-------⌫---|--|-|---|--------⌫|---⌫|--|--|-----|----|------|--------|-⌫--|------|--------|----|----|--|-----|-|----|------⌫---|-⌫--|-----⌫---|-----------|
Postquamigitu rinimperiofirmatus es t,primu mqui demimperii parti bus sibia patretranscriptis pro s picerecepit;	-------|-----⌫|-|------|-------|--⌫-|-----⌫|---⌫--|------|-----⌫--|---||----|-----------|---⌫-⌫-----|-----|
uniu ersaspro uin cias q ueantea subpatrisadminist r atio ne fuerant,cumsumma humani tateperlustrans.	----⌫----|---⌫---⌫---|-⌫-|----|--|-----|--------⌫-⌫----⌫-|-------|--|----|------⌫---|-----------|
Sed etBarbarosqui ad Rhen umetocc identalemoceanu m positi n ouo smotusconcitareausi essent,cu nctossuedomin a tio nisubii ci ens,exferismans u etosreddidi t.	--|-|-------|--|-|----⌫-|-|---⌫--------|------⌫|-----|-⌫---⌫|----|--------|---|------|--⌫----|--|-----⌫-⌫---⌫-|-----⌫--⌫---|-|----|----⌫-⌫---|-------⌫-|
CAP UTXXuI.	---⌫-|----|
P o sthec uniuers umterraru m orb eminsta ruasticuiusdam corporisanimo c omplexus, ipsamquetotiu smundi ca putetim perii Romanido minatr icemurbem,tyranni cadom i natione oppressamconspiciens;	-⌫-⌫----|-------⌫-|-------⌫|---⌫-|-----⌫|----|-------|-------|----|-⌫--------|-------|-----⌫|----|--⌫--|-|--⌫----|-----|--⌫------⌫---|-----|-------⌫-|---⌫-⌫------|--------|-----------|
primumquidemea muindicandiac li berand ipa rte s iiscess itquire liquasimperiiromaniportionesobtinebant, ut poteetatepotioribus;	-----|-----|--⌫|---------|-|--⌫------⌫|--⌫---⌫|--|----⌫-|--|--⌫-----|------|-----|--------|----------|--⌫---|----|----------|
CAP UTXXuII.	---⌫-|-----|
Iamuerocu m i n telligere t p retermilitarescopiaspres tantiorealiquosubsidiosibi o pusess e,obmaleficasartesmag ic asqueprestigiasquastyrannusstudiosec onsect abatur: Deumsibiadi utor emquesiuit, armorumqu idem apparatumetmilitumcopiassecundolocod ucens;	--|---|--⌫|-⌫-⌫---------⌫|-⌫----|--------|-----|----⌫-------|-----|-------|---|-⌫--|---⌫-|-|--------|----|---⌫--⌫----|---------|---|-------|-------|-⌫------⌫------|---|---|---⌫----⌫-|--------|------|--⌫---|--------|-|------|-----|------|---|-⌫-----|
auxi liuma utem diuininuminisinuictum etinexpugnabileessesibi pers ua dens .	----⌫---|-⌫---|-----|------|-------|-|------------|---|---|----⌫--⌫----⌫|
Igitur cogi tareapu ds ec epit,quemnam sibiDeumadscisc eret.	-----|----⌫---|---⌫|-⌫|-⌫----|------|---|---|-------⌫----|
Quoddu msolliciteinquirit, hecillisu biit cogitatio:expl urim isqui ante seimper iumtenuerant, eosq uidemquiin d eoru mmulti tu dinesp emsuamcollocassent,et qui uic timisillosac donar iis c oluissent,primum uati c iniis adass entation emcomp ositis, etoraculisfaustaom nia pollicen tib usdelusos, ta nde minfaustom ortisgenere interiisse;	---|--⌫|--------|--------|--|---|--⌫---|---------|-|--⌫----⌫-|--|---|-|-----⌫--|---------|--|-⌫----|--|-|-⌫----⌫|-----⌫--⌫---|--⌫-|---|------------|-|--|---⌫----|----|-|-----⌫--|-⌫---------|-----|----⌫-⌫----|-|---⌫--------⌫-|----⌫------|-|-------|-----|--⌫--|--------⌫---⌫-|-------|--⌫---⌫|-------|-⌫----|-----|----------|
necdeorum quem quam pres toillisadfui sse,quieosinuecto diu initusexitioli beraret ;	--|-----|----⌫---|----⌫-|----|-----⌫---|--|--|------|---⌫-----|-----|--⌫-------⌫|
