PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
11 3G regoriu s,n atione Romanus, expatreGordiano,se ditannostredecim, men ses sex, d iesdecem[a1Kb] .	--⌫|-⌫-------⌫-|-⌫-----|-------|-|----|--------|--⌫--|----|--------|---⌫--|---|-⌫--|----|-|---||
Hicex posuithomiliasEu angel iorum qu adragin ta;	--|--⌫-----|-------|--⌫-----⌫----|--⌫-------⌫--|
Iob[b1K b]l ibriXXXu;	--|-|--⌫-|-⌫---|----|
sup er Ezechiel em li briXXII.	---⌫-|--------⌫-|--⌫--|----|
Dialogo ru ml ibr os Iu,etPas toralem.	-------⌫--⌫|-⌫---⌫-|--|-|---⌫-------|
e tmultabo na alia, queenu mer are non possumus[c 1Kb].	-⌫|----|--⌫-|----|--|---⌫---⌫--|--|-------|-|---||
Eodem te mp ore uenitRomanuspatr ic iusetexarch usRomam,etdumr euerteretur Rauenn am,re tinuit ciu ita te squas Lon gobar diten ebant,id estSutrium , Po l im artiu m,Hortas,Tudertum ,Ameria m,Perusi a m ,Luc eoliset aliasmultas.	----|--⌫--⌫--|----|------|----⌫--⌫--|-|------⌫-|-----|-|--|-⌫----------|------⌫--|--⌫-----|---⌫---⌫--⌫|---|---⌫-----⌫-|---⌫-----|-|--|-------⌫|--⌫-⌫--⌫-----⌫-|------|--------⌫|------⌫-|------⌫-⌫-⌫|---⌫----|-|----|------|
[d 1Kb]Eodem temp orebeatis simusGregorius misitseruo sDei,Me llitum,Aug ustinumet Ioannem,etal iosplurescu meismonachostim entes D eum,inpr edicationem [e1Kb] Anglorum ,uteosconuert erentadDominumI esumChristum;	-|---|----|----⌫--|------⌫----|--------|----|-----⌫|---|--⌫------|---⌫------|-|-------|-|--⌫--|-----|--⌫|--|-------|---⌫----|-⌫---|-|--⌫----------|-|---|--------⌫|-|--|-------⌫----|-|------|-⌫---|--------|
Hi c aug mentaui tinprecatione[f 1Kb ]Canonis:Di esqueno strosintuapacedisponas ,etcetera.	--⌫|---⌫-------⌫|-|---------|-|---⌫|-------|--⌫----|--⌫----|-|--|---|--------⌫|-|------|
[ 3Kb] [Baldinus: 8Kb][Bencinu s:2Kb][Bi niu s,Seuerinu s;	-⌫---|---------|---|--------⌫-|---|---⌫---⌫-|--------⌫-|
114Sabinianus,natione Tuscus,deCiuitat eUlera[a1Kb],expatreB ono,sedi tannum un um,mensesquinqu e,d iesn ouem[b 1Kb].	--|----------|------|------|-|-------⌫|----|-|---||-|----|-⌫---|----⌫|----|--⌫--|-----|------⌫-|-⌫--|-⌫---|-|---||
Eodemte mporefuitfa mesinciuitat e Romana gra uis.	----|--⌫----|---|--⌫--|-|-------⌫|-----|---⌫---|
Fact a aute mpace cu mg enteL o ngobard orum,etiussit a perirehorrea E cclesie, etuenundari frumentumpopulopersolidumu n um[c 1Kb] triticimodiostriginta.	----⌫|----⌫|---|--⌫|-⌫---|-⌫-⌫-------⌫----|-|-----|-⌫-----|-----|-⌫-------|-|--------|--------|-----|--|------|-⌫-⌫-|-|---|------|-----|--------|
Hic inecc lesiabea tiPetri apostol iluminaria ded it[d 1Kb].	--|-|---⌫----|---⌫-|----|-------⌫|--------|---⌫-|-|---||
[3Kb] [Altaserra,Antoni us:2Kb][ Bencinus:3Kb] [Binius , S euerinus;	----|----------|------⌫--|---|-⌫--------|---|-------⌫|-⌫--------|
1 15Bonifaci us, natione Roma nus,ex patreIoanneCataa udioce,seditmense socto,dieuigintiocto[a1Kb] .	-⌫-|--------⌫--|------|----⌫---|-|----|-----|-----⌫------|----|-----⌫|----|--|------|---|-|---||
Hi cobtinu itap ud Phocam[ b 1Kb]principem,utsedesapos tolica beatiPe triapostolicaputess etomniumEcclesiarum ,idest, EcclesiaRomana,quiaEcclesiaCons ta nt inopoli tanaprima mse omniumEcclesi arum scribebat [c 1Kb].	--⌫|------⌫-|--⌫-|-----|-⌫|---|---------|-|----|----⌫-----|----|--⌫--|-------|----|---⌫-|-----|-----------⌫|-|---|-------|------|---|-------|----⌫--⌫--⌫-------⌫---|-----⌫|-|-----|-------⌫---|--------|-|---||
Hicf ec i tconstitutum[d 1Kb]i necclesiabe ati Petri,in quasederuntep iscopis eptuagin taduo ,presbyteriRoma ni trigin ta quatuor , d i aconi etomniscleru s,subanathemate,u tnullu spontifice ui u ente,au t episcopociuitat issue ,p r esuma tlo qu i de successore, aut pa rtess ibiface re,nisi tertiodiede positioniseiu s,adunato cl e roetf ilii sE cclesie,tunc electiofiat,etquem quisqueuol u erit habebit[ e1K b] licent iamelige ndisi bisacerdotem.	--|-⌫--⌫-⌫|----------|-|---|-⌫|-------|--⌫--|-----|-|--|-------|--⌫-----|-⌫--------⌫-|---⌫|---------|----⌫-|------⌫-|-------⌫|-⌫-⌫----|-|----|-----⌫-|--|----------|-⌫|-----⌫|--------|--⌫-⌫----|--⌫|-------|-------⌫-|---⌫|-⌫-⌫-----⌫|--⌫--⌫|-|----------|--|--⌫---|-⌫--|----⌫--|---|-----|--|--⌫---------|---⌫-|------|--⌫-⌫-|-|-⌫----⌫|-⌫-------|---|------|----|-|---|------|---⌫-⌫---|------|-⌫|--⌫-|------⌫--|-----⌫--|--⌫-|----------|
[3Kb] [Al taserra, Antonius:2Kb] [B al di nus :8Kb][Benc in us: 1Kb][Bi nius,S e ueri nus;	----|---⌫-------|--------|---|--⌫--⌫--⌫---⌫|---|-----⌫--⌫--|---|---⌫----|-⌫-⌫----⌫---|
116B onifacius,n atione Marsorum,deciuitateuaeria,expa treIoannemedico,sedi tann ossex,mense socto, diestredecim.	--|-⌫---------|-⌫-----|--------|-|-------|-|----|-|--⌫--|-----|------|----⌫|---⌫-|---|-----⌫|----|---|--------|
Huiu s te mporibus fami s,pestilent ieet inundat ionesa quarum grauissimefuerunt.	----⌫|--⌫-------|----⌫-|---------⌫-|-|-------⌫----|-⌫-----|---------|-------|
Eodemtemporepetiit aPhocate[a1Kb] principe temp lum ,quod appellaturPantheon.	----|------|-----||------|-|---|-------|----⌫---⌫|---|---------|--------|
I n quofecitecclesiamsa nc te Marie semper uirginis, etomn iummartyrum[ b1Kb].	-⌫|--|----|--------|--⌫--⌫-|----|-----|--------|-|---⌫--|-------|-⌫|---||
SANCT US DE USDEDIT.	-----⌫-|--⌫-------|
[4Kb] [Altaserra,Antonius: 2Kb][Baldinus: 6Kb][Be ncinu s:11Kb ][ Bin i us, Seuer inus;	----|----------|--------|---|---------|---|---⌫-----⌫-|----⌫|-⌫---⌫-⌫--|-----⌫----|
117Deusd edit, nation eRomanus,expatreSte phan osubd iacono,sed i tannostres ,di e suiginti quatuor[a1Kb].	--|-----⌫----|------⌫|-------|-|----|---⌫----⌫|----⌫------|---⌫-⌫|----|----⌫|--⌫-⌫|------|------|-|---||
Hic clerummultu m dilexit,sacer do tesetclerumadloc a pristina reuocauit.	--|-----|-----⌫|-------|-----⌫--⌫--|-|-----|-|---⌫|-------|---------|
[b1Kb]Eodemtemp oreueniensEleu the riuspa tricius et cubicularius, Rauen nam,occiditomnesquiinnece Ioannisexarchietiudicis[c1K b]reipublice fuerantmisti.	-|---|----|----⌫--|------|----⌫---⌫---|--⌫------|-|------------|-----⌫---|------|----|--|-|---|------|------|-|------|-|--⌫-|---------|------|-----|
HicuenitRo m am,etsusceptusestas anctissimoDeusdeditpapaoptime.	--|----|--⌫-⌫--|-|--------|--||-⌫---------|--------|---|------|
QuiegressusdeR oma,ueni tNeapolim, q u etenebatura IoanneCompsinoIntart a [d1 Kb].	--|-------|-|-⌫---|----⌫|--------|-⌫-⌫|--------||-----|-------|------⌫|-|-⌫--||
QuiEleutheri u s patriciuspu gnand oing r essusestNeapo lim,et interf ecittyr annum,reuersusqueestR auennam,etdatarogamili tibu s,paxfactaestintotaItalia.	--|---------⌫-⌫|--------|--⌫-----⌫|---⌫-⌫----|--|-----⌫---|-|------⌫---|---⌫-----|----------|--|-⌫-------|-|---|---|----⌫----⌫-|--|----|--|-|---|------|
Hic co nstitu it secundamm iss a mincle ro .	--|--⌫------⌫-|-------|-⌫---⌫-⌫|-|---⌫--⌫|
BO NIF ACIUSu.	--⌫---⌫----|-|
[11Kb][A ltaser ra, Anto nius:2Kb][Bencinus:5Kb ] [ Biniu s ,Seue rinus ;	-----|--⌫------⌫--|----⌫----|---|---------|---⌫|-⌫-----⌫-⌫|----⌫-----⌫|
118Bonifacius, nationeCampanus,deciuitateNeapoli, sedi t annosq uin que, diestredecim[a1Kb] .	--|----------|------|--------|-|-------|-------|----⌫|----|-⌫---⌫---|---|-------|-|---||
Hicconst ituitu t testamentumualeat secun dumiussion emprincipis.	--|-----⌫----|-⌫|----------|-----|-----⌫--|-------⌫-|---------|
Hi cconstituitutnullu strah aturde eccles ia.	--⌫|---------|-|-----⌫|----⌫---|-|------⌫--|
Hic constituitutac ol yt husnonpresumatreliquiassanctorum martyru ml euare,nis ipresb yter.	--|---------|-|--⌫--⌫--⌫--|--|-------|--------|--------|-------⌫|-⌫-----|---⌫|-----⌫----|
Hic c onsti tuitutin Lateranisacolythusnonbaptizaretc umdiac ono,sedsubdiaconisequentes.	--|-⌫-----⌫---|-|-|--------|--------|--|---------|-⌫-|----⌫---|--|---------|---------|
Hicp erfecit cemet eriumsa nctiN icod emi [b1Kb],et dedicauit ill ud.	--|-⌫------|-----⌫----|--⌫---|-⌫----⌫--|-|---||-|--------|---⌫--|
Eratenimbeati ssimusBonifaciusm itissimussuperomnes homin es e t miserico rs.	---|---|-----⌫-----|---------|-⌫--------|----|----|-----⌫-|-⌫|--------⌫--|
HONO RIUS.	----⌫----|
[8Kb][Altas erra,Antonius:4Kb][Baldinu s :7Kb ] [Bencinus: 3Kb] [Biniu s,Seuerinus;	----|------⌫----|--------|---|--------⌫-⌫|---⌫|---------|---|------⌫-|---------|
119Ho norius nat ioneCampanus,expa t re Petronioco nsul e,se ditannos 12, men ses 11,die s17 [a1Kb].	--|--⌫-----|---⌫---|--------|-|--⌫-⌫-|-------|--⌫----⌫-|--⌫--|----|--|---⌫--|--|---⌫|-|-|---||
Hictempor i bussuismul tabonafec it.	--|------⌫-⌫--|---|---⌫-|---|---⌫--|
Hice rudiuitcle rum.	--|-⌫------|---⌫---|
Temporibussuisrenouau itomnemfamiliambeati Petri apostoli[b1K b], et in uestiuitc onfessio nembeat iP etriex argento puro,quo dpensat l ibr ascen tum o ctuaginta etseptem.	---------|---|-------⌫-|----|-------|----|----|-------|-|--⌫-||-|--⌫-------|-⌫--------⌫--|----⌫|-⌫---|-|------|----|---⌫|-----|-⌫---⌫-|---⌫--|-⌫--------|-|------|
Inue stiuitregiasianu asin ingressu ecc lesiem a iores,qu e a ppellanturmedianeexa rgento,quepens an tlibrasnoningen tassep tua gintaq uinqu e, fecitet cerosta tasmaiores [c 1Kb]e xa rge ntopariaduo,que suntantecorpus be atiPetriap ostol i,pe nsan .	----⌫-----|-----|----⌫-|-|-------|---⌫----|-⌫-⌫-----|--⌫|-⌫---------|------|-|-⌫------|--|----⌫--⌫|-----|--------⌫--|---⌫---⌫----|-⌫-----⌫-|----|-|-------⌫--|------|-|---|-⌫|-⌫---⌫--|----|---|--|---|---|-----|--⌫--|----|--⌫-----⌫-|--⌫----⌫|
libra s272.	-----⌫|---|
Fec itet ad beatu mAndreama postolum, ubi supra,ante confessionemta bulas exarg e nto,quepen s.	---⌫-|-|-|-----⌫|------|-⌫--------|--|-----|---|-----------|--⌫----|-|---⌫-⌫---|--|---⌫-|
septu a g in tat res.	-----⌫-⌫-⌫--⌫-|-⌫---|
Huius temporibus leuatesunt trabes inecclesiabe a tiPe triapostolinumerosexdeci m .	----|---------|-----|---|-----|-|-------|--⌫-⌫-|--⌫--|-------|-----|-------⌫-⌫|
120 Hi c fecitconstitutum inEcclesia,etdecreuitutperomnemnebd omadamSabbatodie exeatLitan ia a dbe atumApollin arem,etadbeatumP etrumapo stolumc umhymnisetc anticisp o pulus om nisoccurr er edebeat.	--|--⌫|----|----------|-|--------|-|-------|-|--|----|----⌫-----|------|--|----|-----⌫-|-⌫|--⌫---|-------⌫----|-|-|-----|-⌫----|---⌫-----|-⌫-|-----|-|-⌫------|-⌫-⌫----|--⌫--|------⌫--⌫|------|
FecitetecclesiambeatoCyriaco m artyr i asolo uiaOstiensimilli arioseptimo,ubi etdon u mobt ulit.	----|-|--------|----|------|-⌫-----⌫||---|--|-------|-----⌫---|-------|--|-|---⌫-⌫|---⌫----|
Eodemt emporefeciteccles ia mbeatoru mMartyrum quatuorCoronatorum,quamet dedicauit,et donumo btulit.	----|-⌫-----|----|------⌫--⌫|-------⌫|-------|------|-----------|---|-|---------|-|----|-⌫------|
Fe c itecclesiambeatoSeueri noa sol oiuxtaciuitatemTib urtina m,m illiarioabur beRomanauicesimo,quamip se dedicauit, etdonamul taobtulit .	--⌫-⌫-|--------|----|------⌫-||---⌫|----|--------|---⌫------⌫-|-⌫-------|-|--⌫-|-----|--------|---|--⌫-|---------|-|---|---⌫-|-------⌫|
R e nouauite t cemete riu m beat orumma r tyrumMarcellini etPe tri , uiaLauicana.	-⌫-⌫------|-⌫|------⌫---⌫|----⌫---|--⌫-⌫----|---------|-|--⌫---⌫|--|--------|
Eodem t empore fecitbasil i cam b eatoPancratiomartyri,uiaAurelia,milliariosecun doasolo, etor nauitsepulcrumeiusexarg en to,quodpensan.	----|-⌫-----|----|-----⌫-⌫--|-⌫---|--------|-------|--|-------|--------|-----⌫-||----|-|--⌫----|--------|---|-|---⌫--⌫--|---|------|
librasc e ntumuigint i.	-----|-⌫-⌫---|------⌫-|
Etibiconst ituitmolai nmurumin locoTraiani iu xtamurumciu ita ti s, etformamq ue deducit aqua min lacum Sabbatinum,etsu bse for mam queconducita quam Tibe ris.	-|--|-----⌫----|---|-⌫|----|-|---|------|--⌫--|----|---⌫---⌫--⌫-|-|-----|-⌫-|------|----⌫|-|----|----------|-|--⌫|-|---⌫--|--|-------|-⌫---|----⌫---|
Fecit etciboriumsuper altareexarge nto,qu odpens a n.	----|-|-------|----|-----|-|----⌫---|--⌫-|----⌫-⌫-|
libras287 [a1Kb]etarcusargenteos quinque,qui p ens.	-----|--|-|---|-|----|--------|-------|--|-⌫---|
S EuERINUS.	-⌫--------|
[6K b][Altaser ra ,Antonius:4Kb] [Bencinus:6Kb] [Binius,Seuerinus;	---⌫-|--------⌫--⌫|--------|---|---------|---|-------|---------|
121Seuerinus, n ation eRomanus,ex patre Abieno,sed itme ns e sdu os , diesquatu or [a1Kb ].	--|---------|-⌫-----⌫|-------|-|----|------|---⌫-|--⌫--⌫-⌫|--⌫--⌫|---|-----⌫-|-|---⌫||
Huius temporibusdeu astatu mes tepisco p i umLat erane nseaM aurici ochartulari o etIs aciopatricioet exa rchoItalie,cu madh uc el ectusessetdom nusSe uerin us.	----|---------|---⌫------⌫|--⌫|------⌫-⌫-⌫-|---⌫-----⌫--||-⌫------⌫|----------⌫|-|--⌫---|-------|-|---⌫---|------|--⌫|---⌫-|--⌫----|----|---⌫--|--⌫-----⌫--|
122T unc uide ns h o cMau ri cius, quia nichilpotueruntfacer e, dolo du ctusfecitibiexer citumresidere,intraep iscopium Lateranen se,etfuerunti bid ies tres.	--|-⌫--|----⌫-|-⌫-⌫|---⌫--⌫----|---|-----|--------|-----⌫-|---|--⌫---|----|--|----⌫----|--------|----|--⌫-------|---------⌫--|-|------|-⌫-|-⌫--|----|
Posttriduu mautemintroiuitMauriciuscumi udicibus, q uiinuentisuntc umips o inconsil io, etsigill aue runt[b1 Kb ]omne ues t iariume cclesie , seucimby liaepi scopii,quediuers i Christianissi miimperatores,seu patri cii et consules,proredempti on eanimarumsuarum b eato Petroapostolorel iquer ant,utpauperib ussi ngulis tempo rib usproal imon i a[c 1 Kb]erogar entur,seu propterredemtionem captiuor u m;	---|------⌫|----|--------|--------|--|-⌫--------|-⌫-|------|---|-⌫-|---⌫|-|------⌫--|-|------⌫---⌫---|-|-⌫--⌫|---|---⌫-⌫-----|-⌫-------⌫|--|-----⌫--|---⌫------|--|------⌫|-------------⌫-|-----------|--|-----⌫--|-|--------|--|--------⌫--⌫|-------|-----|-⌫---|----|-------|---⌫-----⌫---|-|--------⌫-|--⌫-----|-----⌫---⌫-|--|--⌫----⌫-⌫|-|-⌫--|------⌫-----|--|------|----------|--------⌫-⌫-|
Etpos tmodummis itMauric iusepis tolassuasadIsaci umpatriciumRauenn amdehocquod actumest,quomodoipsecumexe rcitusigilla ssetom ne uestiarium ep i s copii.	-|---⌫-----|---⌫-|------⌫--|----⌫----|---|-|-----⌫-|--------|------⌫-|-|--|---|----|---|------|---|--|---⌫----|-------⌫---|--⌫-|---------|--⌫-⌫-⌫-----|
12 3Eodem tempore d i r exitexin deex parteexsubstant iaipsa[e 1Kb]in ciuitatemregiamad Herac lium imperatorem.	--⌫|----|------|-⌫-⌫-⌫---|----⌫-|-|----|-|--------⌫-|---|-|---|-|--------|-----|-|-----⌫---|-----------|
Po st m odumo rdinatusestsanctissimusSe uerin us ,etreuer susestIsaciusRa uennam.	--⌫--⌫-⌫---|-⌫-------|--|-----------|--⌫-----⌫--⌫|-|-----⌫--|--|------|--⌫------|
Hic reno uauitabsidam[ f1Kb]be atiPetriApos toli exm usiuo,quoddirut um erat.	--|----⌫----|------|-⌫|---|--⌫--|----|----⌫---|-|-⌫-----|---|-----⌫-|----|
Hicdilexitc lerum,etomnibus d onum [g1Kb] augmentauit.	--|------|-⌫-----|-|------|-⌫---|-|---|-----------|
IO ANNESIu.	--⌫----|--|
[2Kb ][Ben cinus:6Kb][Biniu s, Seuerinus;	----⌫|----⌫-----|---|------⌫-|---------|
124Ioannes,n at ioneDalmata,expatr euenantioscholast ico,seditannum unum,m ense snou em, diesoct odecim [a1Kb ].	--|-------|-⌫--⌫---|-------|-|----⌫|-------|--------⌫---|----|----|----|-⌫----⌫|---⌫--|---|---⌫-----|-|---⌫||
Hicte mp oribuss uism isitpe romn em Dal ma ti am, seu I striam,multas pecuniaspersanctissimumetfidelissimumMartinumabbatem, propterr e demptionemcaptiuor um,quidepr edatierantagentibus[b 1Kb ].	--|--⌫--⌫-----|-⌫--|-⌫---|--⌫|---⌫-|---⌫--⌫--⌫--|--|-⌫------|-----|-------|--|-----------|-|-----------|-------|-------|------|-⌫-⌫---------|--------⌫--|--|----⌫----|----||-------|-|---⌫||
Eodem temporefecitecclesiambe atismartyribusuenanti o, Anas tasio,Mauroet al ii smultis mar tyribu s.	----|------|----|--------|--⌫---|---------|-------⌫-|----⌫-----|----|-|--⌫--⌫|-----|---⌫------⌫-|
Quo rum reliquiasdeDal mat iaetIst ria adducipreceperat, etrecondidite asin ecclesia suprascriptaiuxtafontemLatera nen sem,iuxtaorato r ium b eati Ioanni se uangelist e[c 1Kb], quamornau it etdiuers a donaobtulit.	---⌫--|--------|-|---⌫---⌫-|-|---⌫--|-----|----------|-|---------|-⌫-|-|-------|-----------|----|-----|------⌫---⌫---|----|-----⌫-⌫--|-⌫---|------⌫|-⌫---------⌫|-|---||---|-----⌫-|-|------⌫|---|-------|
Fe cit , u bisupra, arcusargente osd uos,quip ens.	--⌫---⌫|-⌫-|-----|----|-------⌫-|-⌫---|--|-⌫---|
THEODORUS.	---------|
[10Kb] [Altaserra, Anton iu s:14Kb] [Bencinus :11Kb]Binius, Seueri nus;	-----|----------|-----⌫--⌫-|----|---------⌫|----|------|------⌫---|
125Th eodoru s,natione Gr ecus, expatre T heodoro episc opo, dec iuitateH ieros olyma,seditann os sex,mensesqui nque, diesdecem[a1Kb] etocto.	--|--⌫------⌫-|------|--⌫----|-|----|-⌫------|-----⌫---|-|-⌫------|-⌫-----⌫-----|----|---⌫-|---|-----|---⌫----|---|----|-|---|-|----|
Hicfuit amatorpauperum, largus,benignus superomn es,etmultum misericors.	--|---|-----|--------|------|-------|----|---⌫--|-|-----|----------|
Huiu s tempo ribusMauri ciuschartularius,pe rqu emmulta mala operatusestIsacius patricius,cumiami ncrebuissentpec cataeius, beatoPetro apostolo[b1Kb],uteos [c1Kb] hereditaretignisinex stinguibilis,consilio du ctussuprasc rip tusMauricius cumipsis,quibus anteadeuastaueratEcclesi amDeii ntar ti zauit[d1Kb] adue rsusIsaciu mpatricium, etmisi t peromnia castra que er ants ubciuitat eR om anap ercirc uitum,etc ongregauit eos,et con strinxitsecumipsisins acramentum[e1Kb ],u tde incepsnul lusex ipsisdebui ssetobedireIsacio,neq uehominibuse iu s,quiaffirmabante u m , quia sibiregnumimponerenoluisset [f 1K b] .	----⌫|-----⌫----|-----⌫---|------------|--⌫|--⌫-|----|---|-------|--|------|---------|--|--|-⌫-----------|---⌫---|----|----|----|-------|-|---||-|--|-|---|----------|----|----⌫------------|-------|--⌫---|-------⌫---⌫--|--------|--|-----|-----|----|-----------|-------⌫-|--|-⌫----⌫--⌫----|-|---|----⌫---|------⌫|---------|-|----⌫|--|----|-----|--|--⌫--|-⌫-|-------⌫|-⌫--⌫--|-⌫-|----⌫-----|-|-⌫---------|---|-|---⌫-------|-|--|----|-|-⌫---------|-|---⌫||-⌫|--⌫-----|---⌫--|-|----|-----⌫---|------|------|---⌫-|--------|-⌫--⌫-|--|----------|-⌫-⌫-⌫|---|---|-----|-------|--------|-|--⌫-||
126[d1Kb]E tingressoeoR omam fugitMauric iusadbea tamMariamadPresepe,quem tollentesde e cclesiamiserunt bo ia m[e 1 Kb]in col lumeius.	--|-|---|-⌫|-------|-|-⌫---|----|------⌫--|-|---⌫--|-----|-|-------|---|--------|-|-⌫------|-------|--⌫--⌫|-|-⌫--|-|---⌫--|----|
Similiteretomn es, q ui inconsiliocumipsofu erant,in bo iatos[f1Kb ]misitRauennam per manu sMauri niscr ibonis,et Thomati[g1Kb]chartularii.	--------|-|---⌫--|-⌫-|-|-------|--|---|--⌫-----|--⌫--⌫----|-|---⌫|----|-------|--|----⌫|-----⌫-|---⌫------|-|------|-|---|-----------|
Quidedocent eseosperue ne ru ntiuxtaciuitatem R auennate min locu m q uidi citurFiculas [h1Kb]duodecimom illiarioa c iuitate,etibidecolla uerunt Mauricium,quiasicinm andat isacceperantasuprascriptoIsacio,utun ius c iuitatem Rauennatemno ni ngrederetur.	--|--------⌫-|--|-----⌫--⌫--⌫-|----|--------|-⌫--------⌫|-|----⌫|-⌫-|--⌫----|------|-|---|--------|-⌫-------||-⌫-------|-|--|-------⌫-----|---------|---|--|-|-⌫-----⌫-|---------||-----------|------|-|--⌫--|-⌫-------|---------|--⌫|-⌫-----------|
Etpost q uam dec ollatus e st, leuantescaput eius,du xerunt[i1Kb]Rauennam;	-|----⌫-⌫--|---⌫------|-⌫--|-------|----|----|--⌫-----|-|---|--------|
uidensautem Isacius caputMau ricii,gauisus est.	-----|----|------|----|---⌫-----|------|---|
12 7Ipsistemp oribus uenitPy r rhus e x Africa,quifueratpa tri archaConstantinopolitanus,inurb emRomamadli minaapostolor um[l1Kb] .	--⌫|----|----⌫-----|----|--⌫-⌫---|-⌫|------|--|-----|--⌫---⌫----|--------------------|-|---⌫-|----|-|--⌫---|---------⌫-|-|---||
Quiing re ssusl ibellumobtulitcumsuasubscriptioneapos toliceno stresedisin presenti a c uncti clerietpop u li,condem nansineo demlib el loomniaqu easeue lad e cessoribus suis scripta uelact asuntaduersus immaculatamnostramfidem.	--|---⌫--⌫---|-⌫------|------|--|--|------------|----⌫-----|--⌫---|----|-|--------⌫|-⌫----|----|-|---⌫-⌫--|------⌫---|-|--⌫--|---⌫--⌫-|----|--⌫||-|--⌫||-⌫-⌫---------|---|------|--|---⌫|---|-------|----------|------|-----|
His itaqueabeop eractis,fecite ummuneraerogare in populum [m1 Kb],et cathedrameipo niiuxtaalt are, honoranseum ut sac erdo te mregie ciui tatis.	--|-----|-|-|-⌫-------|----|-⌫-|-----|------|-|------|-|-⌫--||-|--------|-|--⌫-|----|---⌫---|-------|--|-|---⌫----⌫--⌫|----|----⌫-----|
128Eodemtemporereleuata sun t corporasanctor ummartyru mP rimi,etFeliciani,quee rant i n are nariosepulta,uia Nument ana,etadduct asunt in urbe mRo mam.	--|----|------|-------|---⌫|------|-------⌫-|-------⌫|-⌫----|-|---------|--|-⌫---|-⌫|---⌫----|-------|--|------⌫---|-|------⌫|---|-|----⌫|--⌫---|
Que etrec onditasuntinba silicabeatiStephaniprotomartyr is[q 1Kb],u bietdonao bt ulit,gab athasaureastr es, t abula sexargent oanteco n fes s ion em, arcu s argent eosduos.	--|-|---⌫-----|---|-|--⌫-----|----|-------|-----------⌫-|-|---||-⌫-|-|---|-⌫--⌫----|---⌫----|-----|--⌫--|-⌫-----⌫|-|------⌫|---|--⌫-⌫---⌫-⌫---⌫--|----⌫|------⌫--|----|
F ecitecclesiam beato ua l enti no, uiaFlaminia,i uxtaponte mMilu i uma solo, quamipsededicauit, e tdonamultaobtulit .	-⌫---|--------|----|--⌫-⌫----⌫--|--|--------|-⌫---|-----⌫|----⌫-⌫-||----|---|---|---------|-⌫|---|----|-------⌫|
1 29 [s1 Kb]Tuncsanc tissimusTheodor u s papa scrip sit Paulopatriarcheregieciuita tis,tamr ogansq uamqueregulariterin cre pans, necnonpe rapo crisarios ,ut d i c tumest,prohocmaximedestinatospresen tia literadmone ns etc ontestans,q uatenuspropriumemendaret commentum,a tqueadorthodoxamfidem cath oliceEcc lesier eme are t.	-⌫-|-|-⌫--|---|----⌫-------|-------⌫-⌫|---|-----⌫--|----|---------|----|------⌫---|--|-⌫----|-⌫-----|----------|--⌫---⌫----|-----|--⌫|---⌫---------⌫|-|-⌫-⌫-⌫--|---|--|--|-----|---------|------⌫---⌫----|------⌫-|-|-⌫---------|-⌫------|-------|--------|---------|-⌫---|-|---------|----|----⌫----|---⌫----|-⌫---⌫---⌫-|
Etneque rogantes,nequ e inc repantespotuerunteum asuocona minequoquo modoreuo care.	-|----|--------|----⌫|---⌫-------|--------|--||--|----⌫---|-----|---|----⌫----|
Prop t erquodab apostolicased e ipse dep osit io nis ultio n ep erculsu ses t [a1Kb] .	----⌫-⌫-|---|-|---------|---⌫|---|---⌫----⌫--⌫--|-----⌫-⌫|-⌫-------⌫|--⌫|-|---||
MARTI NUS.	-----⌫---|
[12Kb] [Al taserra ,A ntonius: 184K b] [Bencinus:1Kb][Binius,Se uerinus;	-----|---⌫-------⌫|-⌫-------|----⌫-|---------|---|-------|--⌫-------|
130 Martinus, de c iuitat e Tudert in a, prouin cia Tuscie,sedit a n nossex,me ns emunum , di es uigintisex [a 1 Kb].	--|--------|-|-⌫------⌫|------⌫--⌫-|------⌫--|------|----|-⌫-⌫--|---|--⌫--⌫-|----⌫|--⌫-|------|--|-|-⌫--||
[b 1Kb]Huiu stempor ibusPaulusConstantin opolitaneurbis e piscopus, infla tussuperbiespirituaduersusrectum sanc te D e iEcclesied ogma,audacter pres umpsitpat ernis de fin itionibus c ontraire.	-|---|----⌫|------⌫---|-----|----------⌫--------|----|-⌫--------|-----⌫--|-------|------|-------|-----|----⌫-|-⌫-⌫|-------|-⌫----|-------|----⌫-----|---⌫----|--⌫---⌫--------|-⌫--------|
insuper studuitadcoope ri mentum[c 1Kb]propr ii e rrorisquo rumdamsubreptioni [d1Kb],utet cl ementis sim o prin cipisua deret typumexpone re, qui[ e1Kb]cath ol ic umdogmadestruere t .	------|------|-|-----⌫--⌫-----|-|---|-----⌫-|-⌫-----|---⌫-----|----------|-|---||-|-|--⌫-------⌫---⌫|----⌫---|---⌫----|----|------⌫--|--|-⌫|---|----⌫--⌫--⌫-|----|---------⌫-⌫|
