Etuocetube	Et uoce tube
benedicitd̃oꝑrõnẽmotusillicitosꝯprimendoscd̃m	benedicit d̃o ꝑ rõnẽ motus illicitos ꝯprimendo scd̃m
illd̃capite	illd̃ capite
nob̃uulpeculasq̃dẽui.dominisabaoth⁊de	nob̃ uulpeculas q̃ dẽ ui. domini sabaoth ⁊ de
.q̃tme.Mediabenedicitd̃oab	. q̃t me . Media benedicit d̃o ab
illicitisabstinendo	illicitis abstinendo
utqñnõnimisꝯmeditul̃dormit	ut qñ nõ nimis ꝯmedit ul̃ dormit
quenob̃ꝯuĩasuntcumbrutis	que nob̃ ꝯuĩa sunt cum brutis
dehocdicitapl̃s	de hoc dicit apl̃s
infame⁊siti,in	in fame ⁊ siti , in
frigore⁊nuditate.sr̃iorbenedicitd̃otp̃raliabene	frigore ⁊ nuditate . sr̃ior benedicit d̃o tp̃ralia bene
disponendoutsciamusbñꝯũsariĩ	disponendo ut sciamus bñ ꝯũsari ĩ
mediopraue⁊ꝑversenationis	medio praue ⁊ ꝑverse nationis
istiusꝯ.Notaq̃dtͥplex	istius ꝯ . Nota q̃d tͥplex
ẽretributiodr̃denĩretͥbutõiteratatributiouñretribueẜuo	ẽ retributio dr̃d enĩ retͥbutõ iterata tributio uñ retribue ẜuo
tuo.i.iterũ⁊	tuo .i. iterũ ⁊
it̃mtͥbuedr̃d	it̃m tͥbue dr̃d
retͥbõpri᷒fc̃isrespondẽstributõuñred⁊	retͥbõ pri᷒ fc̃is respondẽs tributõ uñ red⁊
unicuiqscd̃moꝑa	unicuiq scd̃m oꝑa
suadr̃dretͥbõꝯtrariatributõuñquidretͥbuã	sua dr̃d retͥbõ ꝯtraria tributõ uñ quid retͥbuã
dñonoseimala	dño nos ei mala
ip̃enob̃tͥbuitbõa	ip̃e nob̃ tͥbuit bõa
Notaq̃dẽsil̃itudoequalitatisutiͥ	Nota q̃d ẽ sil̃itudo equalitatis ut iͥ
erũtsic̃	erũt sic̃
angl̃id̃iet	angl̃i d̃i et
ĩnouitatisutibiEstoteꝑfectisic̃pat̃	ĩnouitatis ut ibi Estote ꝑfecti sic̃ pat̃
ur̃ꝑfect᷒ẽEtmaioritatissic̃hͥNõ	ur̃ ꝑfect᷒ ẽ Et maioritatis sic̃ hͥ Nõ
solũenĩrenouabimurutaquila	solũ enĩ renouabimur ut aquila
setplusquamaquila⁊c̃Quiponisnubẽ	set plus quam aquila ⁊ c̃ Qui ponis nubẽ
ascensumtuumNotaq̃duoluntasd̃iattenditur	ascensum tuum Nota q̃d uoluntas d̃i attenditur
ĩimm̃sitateẜmilld̃	ĩ imm̃sitate ẜm illd̃
attĩgẽsafineusqĩ	attĩgẽs a fine usq ĩ
finẽInꝯgͥtione⁊ꝑspicatiõequiaõiaꝯgnoscit	finẽ In ꝯgͥtione ⁊ ꝑspicatiõe quia õia ꝯgnoscit
qm̃ocl̃iseiussuntnudaõia⁊aꝑta	qm̃ ocl̃is eius sunt nuda õia ⁊ aꝑta
ẜmilld̃uiu᷒	ẜm illd̃ uiu᷒
ẽẜmod̃i⁊penetrabl̃iorõi	ẽ ẜmo d̃i ⁊ penetrabl̃ior õi
gladioancipitiInpotestateẜmilld̃	gladio ancipiti In potestate ẜm illd̃
dixitetfacta	dixit et facta
sunt⁊alibivelociter	sunt ⁊ alibi velociter
curritẜmoeiusRigansmontesno.q̃d	currit ẜmo eius Rigans montes no. q̃d
mõsdr̃dgr̃arigansuthicdr̃dprelat᷒doctrinã	mõs dr̃d gr̃a rigans ut hic dr̃d prelat᷒ doctrinã
seminãsuñegoplantauiapollorigauit	seminãs uñ ego plantaui apollo rigauit
d̃saũ⁊	d̃s aũ ⁊
c̃dnr̃d	c̃ dnr̃d
sb̃ditiquiserigant	sb̃ diti qui se rigant
uallibaquapenit̃nes̃millum	uallib aqua penit̃ne s̃m illum
lacͥmisstratũmeumrigaboetcinsipientesinpopulo&stulti	lacͥmis stratũ meum rigabo etc insipientes in populo & stulti
aliquandosapiteQuiplantauitaurẽ	aliquando sapite Qui plantauit aurẽ
ñaudietautquifinxit	ñ audiet aut qui finxit
oculũñc̃sideratQui	oculũ ñ c̃siderat Qui
corripitgentesñarguetquidocethominẽscientiãDñsscit	corripit gentes ñ arguet qui docet hominẽ scientiã Dñs scit
cogitationeshominũqm̃uanęsuntBeatus	cogitationes hominũ qm̃ uanę sunt Beatus
homoquẽtuerudieridñeetdelege	homo quẽ tu erudieri dñe et de lege
tuadocueriseũVtmitigesei	tua docueris eũ Vt mitiges ei
adiebusmalisdonecfodiat᷑peccatori	a diebus malis donec fodiat᷑ peccatori
foueaQuiañrepelletdñsplebẽsuã&hereditatẽ	fouea Quia ñ repellet dñs plebẽ suã & hereditatẽ
suamñderelinquetQuoadusq.iusticia	suam ñ derelinquet Quoadusq. iusticia
c̃uertat᷑iniudiciũ&	c̃uertat᷑ in iudiciũ &
quiiuxtaillãom̃squirectosuntcordeQuisc̃surget	qui iuxta illã om̃s qui recto sunt corde Quis c̃surget
michiaduersusmalignantesautquisstabitmecũaduersusoperantes	michi aduersus malignantes aut quis stabit mecũ aduersus operantes
iniquitatẽNisiquiadñsadiuuitmepaulominushabitauit	iniquitatẽ Nisi quia dñs adiuuit me paulominus habitauit
ininfernoanima	in inferno anima
meaSidicebãmotusẽpesm̃smisericordiatua	mea Si dicebã motus ẽ pes m̃s misericordia tua
dñeadiuuabatmeScd̃mmultitudinẽdolorũmeorũ	dñe adiuuabat me Scd̃m multitudinẽ dolorũ meorũ
incordemeo	in corde meo
c̃solationestuę	c̃solationes tuę
lętificaueruntanimãmeãNumquidadheret	lętificauerunt animã meã Numquid adheret
tibisedesiniquitatisqui	tibi sedes iniquitatis qui
fingislaborẽincepto	fingis laborẽ in cepto
Captabuntinanimãiusti&sanguinẽinnocentẽc̃dempnabuntEtfactus	Captabunt in animã iusti & sanguinẽ innocentẽ c̃dempnabunt Et factus
ẽdñsmichiinrefugiũ&d̃sm̃s	ẽ dñs michi in refugiũ & d̃s m̃s
inadiutoriũ	in adiutoriũ
speimeiEtreddetillisiniquitatẽ	spei mei Et reddet illis iniquitatẽ
ipsorũ&inmaliciaeorũ	ipsorũ & in malicia eorũ
disꝑdeteosdisꝑdetillosdñsd̃snr̃Lauscantici	disꝑdet eos disꝑdet illos dñs d̃s nr̃ Laus cantici
ipsid̃dXCIIIIUENITEEXVLTEM᷒dñoiubilem᷒	ipsi d̃d XCIIII UENITE EXVLTEM᷒ dño iubilem᷒
d̃osalutarinr̃oocupem᷒faciẽei᷒inc̃fessione&in	d̃o salutari nr̃o ocupem᷒ faciẽ ei᷒ in c̃fessione & in
psalmisiubilem᷒eiQm̃d̃smagn᷒dñs	psalmis iubilem᷒ ei Qm̃ d̃s magn᷒ dñs
&rexmagn᷒suꝑ	& rex magn᷒ suꝑ
õsdeosQuiain	õs deos Quia in
manueiusfinesterrę	manu eius fines terrę
&altitudinesmontiũipsiussunt	& altitudines montiũ ipsius sunt
Qm̃ipsius	Qm̃ ipsius
ẽmare&ipse	ẽ mare & ipse
fecitillud&siccãman᷒ei᷒formauerunt	fecit illud & siccã man᷒ ei᷒ formauerunt
Veniteadorem᷒&	Venite adorem᷒ &
ꝓcidamus&plorem᷒	ꝓcidamus & plorem᷒
antedominumquifecitnosquiaipse	ante dominum qui fecit nos quia ipse
ẽdñsd̃s	ẽ dñs d̃s
nr̃Etnos	nr̃ Et nos
populuspascuęei᷒&ouesman᷒ei᷒hodie	populus pascuę ei᷒ & oues man᷒ ei᷒ hodie
siuocẽei᷒audieritisnoliteobdurarecordaur̃a	si uocẽ ei᷒ audieritis nolite obdurare corda ur̃a
Sicutinirritationescd̃mdiẽtẽptacionisindesertoVbitẽptauer̃	Sicut in irritatione scd̃m diẽ tẽptacionis in deserto Vbi tẽptauer̃
mepatresur̃i	me patres ur̃i
ꝓbauer̃&uider̃operameaQuadragintaannisoffensusfuigenerationi	ꝓbauer̃ & uider̃ opera mea Quadraginta annis offensus fui generationi
illi&dixi	illi & dixi
semꝑerrantcordeEtistiñ	semꝑ errant corde Et isti ñ
cognouer̃uiasmeasut	cognouer̃ uias meas ut
iurauiin	iuraui in
irameasiintrabuntinrequiẽmeã	ira mea si intrabunt in requiẽ meã
CanticumdauidquandodomusedificabiturpostcaptiuitatemXCVCantate	Canticum dauid quando domus edificabitur post captiuitatem XCV Cantate
dñocanticũ	dño canticũ
nouũcantatedñoom̃isterraCantatedño	nouũ cantate dño om̃is terra Cantate dño
&bedicite	& bedicite
sicnominiei᷒adnuntiatede	sic nomini ei᷒ adnuntiate de
dieindiẽsalutareei᷒	die in diẽ salutare ei᷒
Adnuntiateintergentesgl̃amei᷒in	Adnuntiate inter gentes gl̃am ei᷒ in
omnibpopulismirabiliaei᷒Qm̃magnusdñs&laudabilis	omnib populis mirabilia ei᷒ Qm̃ magnus dñs & laudabilis
nimisterribilisẽsuꝑom̃sdeos	nimis terribilis ẽ suꝑ om̃s deos
Qm̃om̃sdiigentiũdemoniadñsautẽcęlosfecit	Qm̃ om̃s dii gentiũ demonia dñs autẽ cęlos fecit
Confessio&pulcritudoinc̃spectuei᷒sc̃imonia&magnificentiain	Confessio & pulcritudo in c̃spectu ei᷒ sc̃imonia & magnificentia in
sc̃ificationeei᷒Affertedño	sc̃ificatione ei᷒ Afferte dño
patrięgentiũaffertedñogl̃am&honorẽ	patrię gentiũ afferte dño gl̃am & honorẽ
affertedñogl̃amnominiei᷒Tollitehostias	afferte dño gl̃am nomini ei᷒ Tollite hostias
&introiteinatria	& introite in atria
ei᷒adoratedñm	ei᷒ adorate dñm
inatriosc̃oei᷒Cõmoueat᷑afacie	in atrio sc̃o ei᷒ Cõmoueat᷑ a facie
ei᷒uniuersaterradicite	ei᷒ uniuersa terra dicite
ingentibquiadñsregnauit	in gentib quia dñs regnauit
Etenĩcorrexitorbẽterrequiñcõmouebit᷑	Et enĩ correxit orbẽ terre qui ñ cõmouebit᷑
iudicabitpopulosinequitateLętent᷑cęli&exultetterra	iudicabit populos in equitate Lętent᷑ cęli & exultet terra
cõmoueat᷑mare&plenitudoei᷒gaudebuntcãpi&om̃aquę	cõmoueat᷑ mare & plenitudo ei᷒ gaudebunt cãpi & om̃a quę
ineissuntTuncexultabuntom̃aligna	in eis sunt Tunc exultabunt om̃a ligna
siluarumafaciedñiquiauenitqm̃	siluarum a facie dñi quia uenit qm̃
uenitiudicareterrã	uenit iudicare terrã
Iudicabitorbẽterręinęquitate&populosinueritate	Iudicabit orbẽ terrę in ęquitate & populos in ueritate
suaPsalm᷒dauidquandot̃raeirestituta	sua Psalm᷒ dauid quando t̃ra ei restituta
Dñsregnauitexultetterralętent᷑insulę	Dñs regnauit exultet terra lętent᷑ insulę
multęNubes&caligoin	multę Nubes & caligo in
circuituei᷒iusticia&iudiciũcorrectiosedisei᷒	circuitu ei᷒ iusticia & iudiciũ correctio sedis ei᷒
Ignisanteipsũcedet&inflammabitincircuitu	Ignis ante ipsũ cedet & inflammabit in circuitu
inimicosei᷒Adluxeruntfulguraei᷒orbi	inimicos ei᷒ Adluxerunt fulgura ei᷒ orbi
terręuidit&cõmotaẽ	terrę uidit & cõmota ẽ
terraMontessic̃cęrafluxer̃	terra Montes sic̃ cęra fluxer̃
afaciędñiafaciedñi	a facię dñi a facie dñi
õisterraAdnuntiauer̃cęliiusticiãei᷒&uider̃om̃spopuli	õis terra Adnuntiauer̃ cęli iusticiã ei᷒ & uider̃ om̃s populi
gl̃amei᷒Confundant᷑om̃squiadorant	gl̃am ei᷒ Confundant᷑ om̃s qui adorant
sculptilia&quigloriant᷑insimulacrissuisAdorate	sculptilia & qui gloriant᷑ in simulacris suis Adorate
eũom̃s	eũ om̃s
angelieiusaudiuitetlętataẽsionEtexultaueruntfilię	angeli eius audiuit et lętata ẽ sion Et exultauerunt filię
iudęꝓpt̃iudiciatuadñeQm̃tu	iudę ꝓpt̃ iudicia tua dñe Qm̃ tu
dñsaltissim᷒suꝑomnẽterrãnimis	dñs altissim᷒ suꝑ omnẽ terrã nimis
exaltatuses	exaltatus es
suꝑom̃sdeosQuidiligitisdñmoditemalũ	suꝑ om̃s deos Qui diligitis dñm odite malũ
custoditdñsanimassc̃orũsuorũdemanu	custodit dñs animas sc̃orũ suorũ de manu
peccatorisliberabit	peccatoris liberabit
eosluxortaẽ	eos lux orta ẽ
iusto&rectiscordelęticia	iusto & rectis corde lęticia
Lętaminiiustiindño&c̃fiteminimemorięsc̃ificationiseiusPsalmus	Lętamini iusti in dño & c̃fitemini memorię sc̃ificationis eius Psalmus
ipsidauid	ipsi dauid
XCIICantatedñocanticũnouũquia	XCII Cantate dño canticũ nouũ quia
mirabiliafecitSaluauit	mirabilia fecit Saluauit
sibidextera	sibi dextera
ei᷒&brachiũsc̃mei᷒Notũfecitdñs	ei᷒ & brachiũ sc̃m ei᷒ Notũ fecit dñs
salutaresuũin	salutare suũ in
c̃spectugentiũreuelauitiusticiã	c̃spectu gentiũ reuelauit iusticiã
suãRecordatusẽmisericordięsuę	suã Recordatus ẽ misericordię suę
&ueritatisuędomui	& ueritati suę domui
isr̃lVider̃om̃stermini	isr̃l Vider̃ om̃s termini
tersicterręsalutared̃inr̃iIubilatedñoõisterracantate	tersic terrę salutare d̃i nr̃i Iubilate dño õis terra cantate
&exultate&psallitePsallitedñoincytharain	& exultate & psallite Psallite dño in cythara in
cythara&uocepsalmiin	cythara & uoce psalmi in
tubisductilib&uocetubęcorneęIubilateinc̃specturegis	tubis ductilib & uoce tubę corneę Iubilate in c̃spectu regis
dñimoueat᷑mare&plenitudoei᷒orbisterrarũ&qui	dñi moueat᷑ mare & plenitudo ei᷒ orbis terrarũ & qui
habitantin	habitant in
eoFluminaplaudentmanusimulmontes	eo Flumina plaudent manu simul montes
exultabuntac̃spectudñiqm̃uenitiudicare	exultabunt a c̃spectu dñi qm̃ uenit iudicare
terrãIudicabitorbẽterrarũ	terrã Iudicabit orbẽ terrarũ
iniusticia&populosinęquitate	in iusticia & populos in ęquitate
SPSALM᷒DAVIDXCVIIIdominusregnauitirascant᷑populiqui	SPSALM᷒ DAVID XCVIII dominus regnauit irascant᷑ populi qui
sedessuꝑcherubinmoueat᷑terradñsinsion	sedes suꝑ cherubin moueat᷑ terra dñs in sion
magnus&excelsussuꝑomnespopulosConfiteant᷑nominituo	magnus & excelsus suꝑ omnes populos Confiteant᷑ nomini tuo
magnoqm̃terribile&sc̃m	magno qm̃ terribile & sc̃m
ẽ&honorregisiudiciumdiligitTuparastidirectiones	ẽ & honor regis iudicium diligit Tu parasti directiones
iudiciũ&iusticiã	iudiciũ & iusticiã
iniacobtufecisti	in iacob tu fecisti
Exaltatedñmd̃mnr̃m	Exaltate dñm d̃m nr̃m
&adorate	& adorate
scabellũpedũei᷒qm̃	scabellũ pedũ ei᷒ qm̃
sc̃mẽMoyses&	sc̃m ẽ Moyses &
aaroninsacerdotib	aaron in sacerdotib
ei᷒&samuhelintereosquiinuocantnomenei᷒	ei᷒ & samuhel inter eos qui inuocant nomen ei᷒
Inuocabantdñm&ipse	Inuocabant dñm & ipse
exaudiebateosincolũmnasicnubisloquebat᷑ad	exaudiebat eos in colũmna sic nubis loquebat᷑ ad
eosCustodiebant	eos Custodiebant
testimoniaei᷒&ceptũq̃ddeditillisDñe	testimonia ei᷒ & ceptũ q̃d dedit illis Dñe
d̃snr̃tuexaudiebaseos	d̃s nr̃ tu exaudiebas eos
d̃stuꝓpitiusfuistieis&ulciscens	d̃s tu ꝓpitius fuisti eis & ulciscens
inom̃sadinuentioneseorũExaltatedñmd̃mnr̃m	in om̃s adinuentiones eorũ Exaltate dñm d̃m nr̃m
&adorate	& adorate
inmontesc̃o	in monte sc̃o
ei᷒qm̃sc̃sdñsd̃s	ei᷒ qm̃ sc̃s dñs d̃s
nr̃psalmus	nr̃ psalmus
inconfessione	in confessione
XCVIIIIIubilatedño	XCVIIII Iubilate dño
õisterraseruitedñoinlętitia	õis terra seruite dño in lętitia
Introiteinc̃spectuei᷒	Introite in c̃spectu ei᷒
inexultiationescitote	in exultiatione scitote
qm̃dñsipseẽd̃sipsefecitnos&	qm̃ dñs ipse ẽ d̃s ipse fecit nos &
ñipsinos	ñ ipsi nos
Populusei᷒&ouespascuęei᷒introiteportasei᷒	Populus ei᷒ & oues pascuę ei᷒ introite portas ei᷒
inc̃fessione	in c̃fessione
atriaei᷒	atria ei᷒
inymnisc̃fiteminiilli	in ymnis c̃fitemini illi
Laudatenomenei᷒qm̃suauisdñsin	Laudate nomen ei᷒ qm̃ suauis dñs in
ęternũmisericordiaei᷒&usq.in	ęternũ misericordia ei᷒ & usq. in
generationẽ&generacionẽueritasei᷒Psalmusipsidauidc	generationẽ & generacionẽ ueritas ei᷒ Psalmus ipsi dauid c
Misericordiã&iudiciũ	Misericordiã & iudiciũ
cantabotibidñePsallã	cantabo tibi dñe Psallã
&intellegãinuiainmaculataquandouenies	& intellegã in uia inmaculata quando uenies
admeꝑambulabãininnocentiacordis	ad me ꝑambulabã in innocentia cordis
meiinmediodom᷒meęNon	mei in medio dom᷒ meę Non
ꝓponebãanteoculosmeosrẽ	ꝓponebã ante oculos meos rẽ
iniustãfacientesuaricatio	iniustã facientes uaricatio
nesodiuiNonadhesitmichicorprauũ	nes odiui Non adhesit michi cor prauũ
declinantẽamemalignũñcognoscebãDetrahentẽsecretoꝓximo	declinantẽ a me malignũ ñ cognoscebã Detrahentẽ secreto ꝓximo
suohunc	suo hunc
ꝑsequebarSuꝑbooculo&insaciabilicordecũhoc	ꝑsequebar Suꝑbo oculo & insaciabili corde cũ hoc
ñedebã	ñ edebã
Oculimeiadfidelesterręutsedeantmecũ	Oculi mei ad fideles terrę ut sedeant mecũ
ambulansinuiainmaculatahic	ambulans in uia inmaculata hic
michiministrabatNonhabitabit	michi ministrabat Non habitabit
inmediodom᷒meęquifacitsuꝑbiãqui	in medio dom᷒ meę qui facit suꝑbiã qui
loquit᷑iniquañdirexit	loquit᷑ iniqua ñ direxit
inc̃spectuoculorũmeorũInmatutinointerficiebãom̃speccatoresterrę	in c̃spectu oculorũ meorũ In matutino interficiebã om̃s peccatores terrę
utdisꝑderẽdecitatesicdñiom̃soperantesiniquitatẽOratio	ut disꝑderẽ de citate sicdñi om̃s operantes iniquitatẽ Oratio
pauperiscum	pauperis cum
anxiatusfuerit&coramdñoeffuderitprecemsuamCIDÑE	anxiatus fuerit & coram dño effuderit precem suam CI DÑE
EXAUDIORATIOnẽmeã&clamorm̃sad	EXAUDI ORATIOnẽ meã & clamor m̃s ad
teueniatNonauertasfaciẽtuãame	te ueniat Non auertas faciẽ tuã a me
inquacũq.	in quacũq.
dietribulorinclinaadmeaurẽtuãInquacũq.die	die tribulor inclina ad me aurẽ tuã In quacũq. die
inuocaueroteuelociterexaudimeQuiadefeceruntsicutfum᷒dies	inuocauero te uelociter exaudi me Quia defecerunt sicut fum᷒ dies
mei&ossa	mei & ossa
measicutgremiũarueruntꝑercussũẽ	mea sicut gremiũ aruerunt ꝑercussũ ẽ
utfoenũetaruitcormeũquiaoblitussumcomedere	ut foenũ et aruit cor meũ quia oblitus sum comedere
panẽmeumAuocegemitusmei	panẽ meum A uoce gemitus mei
adhesitosmeũcarnimeęSimilisfactussũpellicanosolitudinis	adhesit os meũ carni meę Similis factus sũ pellicano solitudinis
factussũsicutmeticorax	factus sũ sicut meticorax
indomicilioVigilaui&factussũsic̃passersolitarius	in domicilio Vigilaui & factus sũ sic̃ passer solitarius
intectoTotadieexꝓbrabantmichiinimicimei	in tecto Tota die exꝓbrabant michi inimici mei
&quilaudabant	& qui laudabant
meaduersũmeiurabantQuia	me aduersũ me iurabant Quia
cinerẽtãquãpanẽmanducabã&poculũmeũ	cinerẽ tãquã panẽ manducabã & poculũ meũ
cũfletumiscebãAfacieirę&indignationis	cũ fletu miscebã A facie irę & indignationis
tuęquiaeleuansallisistimeDies	tuę quia eleuans allisisti me Dies
meisicutumbradeclinauer̃&egosicutfęnũ	mei sicut umbra declinauer̃ & ego sicut fęnũ
aruiTuautẽdñe	arui Tu autẽ dñe
inęternũ	in ęternũ
ꝑmanes&memorialetuũingeneratione&generationẽ	ꝑmanes & memoriale tuũ in generatione & generationẽ
Tuexsurgensmisereberissionquiatemp᷒	Tu exsurgens misereberis sion quia temp᷒
miserendiei᷒	miserendi ei᷒
quiauenittemp᷒Qm̃placuer̃seruis	quia uenit temp᷒ Qm̃ placuer̃ seruis
tuislapidesei᷒	tuis lapides ei᷒
&terręei᷒	& terrę ei᷒
miserebunt᷑Ettimebuntgentesnomendñi	miserebunt᷑ Et timebunt gentes nomen dñi
&om̃sregesterrę	& om̃s reges terrę
gl̃amtuãQuiaędificauit	gl̃am tuã Quia ędificauit
dñssion&	dñs sion &
uidebit᷑ingl̃asuaRespexitinorationẽ	uidebit᷑ in gl̃a sua Respexit in orationẽ
humiliũ&ñ	humiliũ & ñ
spreuitprecẽeorũScribant᷑hęcingenerationealtera	spreuit precẽ eorũ Scribant᷑ hęc in generatione altera
&populusqui	& populus qui
creabit᷑laudabitdñmQuiaꝓspexitdeexcęlosc̃osuodñs	creabit᷑ laudabit dñm Quia ꝓspexit de excęlo sc̃o suo dñs
decęlointerrã	de cęlo in terrã
aspexitVtaudiret	aspexit Vt audiret
gemitũcompeditorũ&solueretfiliosinteremptorũ	gemitũ compeditorũ & solueret filios interemptorũ
Vtadnuntientinsionnomen	Vt adnuntient in sion nomen
dñi&laudẽ	dñi & laudẽ
ei᷒inhierusalẽInc̃ueniendopopulos	ei᷒ in hierusalẽ In c̃ueniendo populos
inunũ&	in unũ &
regesutseruiantdñoResponditeiinuiauirtutissuę	reges ut seruiant dño Respondit ei in uia uirtutis suę
paucitatẽdierũmeorũnuntiamichiNereuocesme	paucitatẽ dierũ meorũ nuntia michi Ne reuoces me
indimidiodierũmeorũingenerationẽetgenerationẽannitui	in dimidio dierũ meorũ in generationẽ et generationẽ anni tui
Iniciotu	Inicio tu
dñeterrãfundasti&operamanuũtuarũ	dñe terrã fundasti & opera manuũ tuarũ
suntcęliIpsiperibunttuautẽpermanes	sunt cęli Ipsi peribunt tu autẽ permanes
&om̃ssicutuestimentũueterascentEt	& om̃s sicut uestimentũ ueterascent Et
sic̃opertoriũmutabiseos&mutabunt᷑tuautẽidẽ	sic̃ opertoriũ mutabis eos & mutabunt᷑ tu autẽ idẽ
ipsees&annituiñ	ipse es & anni tui ñ
deficientfiliiseruorũ	deficient filii seruorũ
tuorũhabitabunt&semeneorũinsęculũdiriget᷑Psalm᷒	tuorũ habitabunt & semen eorũ in sęculũ diriget᷑ Psalm᷒
ipsidauidCIIBENEDICANIMAmeadño&om̃a	ipsi dauid CII BENEDIC ANIMA mea dño & om̃a
quęintra	quę intra
mesuntnominisc̃oei᷒Benedicanimameadño&	me sunt nomini sc̃o ei᷒ Benedic anima mea dño &
noliobliuisciom̃sretributiones	noli obliuisci om̃s retributiones
ei᷒Quiꝓpiciat᷑	ei᷒ Qui ꝓpiciat᷑
omnibiniquitatibtuisquisanatom̃sinfirmitatestuasQuiredimit	omnib iniquitatib tuis qui sanat om̃s infirmitates tuas Qui redimit
deinterituuitã	de interitu uitã
tuãquicoronatteinmisericordia	tuã qui coronat te in misericordia
&miseracionibQuirepletin	& miseracionib Qui replet in
bonisdesideriũtuũrenouabit᷑ut	bonis desideriũ tuũ renouabit᷑ ut
aquilæiuuent᷒	aquilæ iuuent᷒
tuaFaciensmisericordiasdñs&iudiciũomnibiniuriãpacientib	tua Faciens misericordias dñs & iudiciũ omnib iniuriã pacientib
Notasfecituiassuasmoysifiliis	Notas fecit uias suas moysi filiis
isr̃luoluntatessuasMisericors	isr̃l uoluntates suas Misericors
etmiseratordñslonganimis	et miserator dñs longanimis
&multũmisericorsNoninꝑpetuũ	& multũ misericors Non in ꝑpetuũ
irascet᷑neq.inęt̃nũcõminabit᷑Nonscd̃mpeccatanr̃a	irascet᷑ neq. in ęt̃nũ cõminabit᷑ Non scd̃m peccata nr̃a
fecitnobisneq.scd̃m	fecit nobis neq. scd̃m
iniquitatesnr̃asDPretribuit	iniquitates nr̃as DPretribuit
nob̃Qm̃scd̃m	nob̃ Qm̃ scd̃m
altitudinẽcęliaterracorroborabitmisericordiãsuãsuꝑtimentesse	altitudinẽ cęli a terra corroborabit misericordiã suã suꝑ timentes se
Quantũdistatortusaboccidentelongefecit	Quantũ distat ortus ab occidente longe fecit
anob̃iniquitatesnr̃as	a nob̃ iniquitates nr̃as
Quomodomiseret᷑pat̃	Quomodo miseret᷑ pat̃
filiorũmisertusẽdñstimentibse	filiorũ misertus ẽ dñs timentib se
qm̃ipsecognouitfigm̃tũnr̃mRecordatus	qm̃ ipse cognouit figm̃tũ nr̃m Recordatus
ẽqm̃puluissum᷒homosicut	ẽ qm̃ puluis sum᷒ homo sicut
fęnũdiesei᷒tãquãflos	fęnũ dies ei᷒ tãquã flos
agrisicefflorebitQm̃sp̃s	agri sic efflorebit Qm̃ sp̃s
ꝑtransibitinillo&ñsubsistet	ꝑtransibit in illo & ñ subsistet
&ñcognoscet	& ñ cognoscet
ampliuslocũsuũMisericordiaautẽdñiabęterno&usq.	amplius locũ suũ Misericordia autẽ dñi ab ęterno & usq.
inęt̃nũsuꝑtimenteseũEtiusticiailliusin	in ęt̃nũ suꝑ timentes eũ Et iusticia illius in
filiosfiliorũhisquiseruanttestamentũei᷒Et	filios filiorũ his qui seruant testamentũ ei᷒ Et
memoressuntmandatorũipsius	memores sunt mandatorũ ipsius
adfaciendũ	ad faciendũ
eaDñsincęlo	ea Dñs in cęlo
parauitsedẽsuã	parauit sedẽ suã
