fecitconstantin᷒	fecit constantin᷒
utgͤgemsͥcõmissũsollicitepascantnõuttondeantuel	ut gͤgem sͥ cõmissũ sollicite pascant nõ ut tondeant uel
excorientdehocpͭexpõiquoddr̃dIͣ	excorient de hoc pͭ expõi quod dr̃d Iͣ
pe.Vpascite	pe. V pascite
quiinuobis	qui in uobis
estgͤgemcõmissũs.pͣcõnisũbout	est gͤgem cõmissũ s. pͣcõnis ũbo ut
indilectionedeietcogͥtione	in dilectione dei et cogͥtione
suiꝓficiatcõũsacionisexonegͤgeminuiamoꝝerrare	sui ꝓficiat cõũsacionis exo ne gͤgem in uia moꝝ errare
faciatAmbulateindilc̃onesicut	faciat Ambulate in dilc̃one sicut
etxᷤdilexitnosad	et xᷤ dilexit nos ad
ephesᷤVsapiensinꝓũbiis	ephesᷤ V sapiens in ꝓũbiis
uitamiusticõꝑatluce.ꝓu͛biisiiii	uitam iusti cõꝑat luce . ꝓu͛ biis iiii
iustoꝝsemitaq.luxsplendẽsproceditet	iustoꝝ semita q. lux splendẽs procedit et
cͤscitusadꝑfc̃m	cͤscit us ad ꝑfc̃m
diemluxaũdiei	diem lux aũ diei
sicseh̃t	sic se h̃t
quodsemꝑcͤscitueldecͤscitnõꝙͣineod̃statuꝑmanet	quod semꝑ cͤscit uel decͤscit nõꝙͣ in eod̃ statu ꝑmanet
Sicestde	Sic est de
uitaiusti	uita iusti
semꝑ·H·cͤsc̃	semꝑ ·H· cͤsc̃
ueldecͤscitinbonosicutdicitBernardus	uel decͤscit in bono  sicut dicit Ber nardus
inuiadei	in uia dei
nõꝓgͤdiregͤdiestetidcircoapl̃usin	nõ ꝓgͤdi regͤdi est et idcirco apl̃us in
ũbisꝓpoĩtisnonhortaturadꝓficiendũin	ũbis ꝓpoĩtis non hortatur ad ꝓficiendũ in
uiamoꝝdicẽsambulateetc̃Inquibusũbis	uia moꝝ dicẽs ambulateetc̃ In quibus ũbis
pͦnoshortaturapl̃usadꝓfectumcontinuũambulatescd̃o	pͦ nos hortatur apl̃us ad ꝓfectum continuũ ambulate scd̃o
subditmodũꝯgruũ	subdit modũ ꝯgruũ
indilectionedeit̃ciosubiũg̃exẽplũpͤcipuũSicutetxᷤ	in dilectione dei t̃cio subiũg̃ exẽplũ pͤcipuũ Sicut et xᷤ
dilexitnosPrimogͥnoshortaturapl̃usad	dilexit nos Primo gͥ nos hortatur apl̃us ad
ꝑfc̃mcontinuũcũdicitur	ꝑfc̃m continuũ cũ dicitur
ambulatenõpedibuscorporis	ambulate nõ pedibus corporis
sedoꝑibusuirtutisꝑficiendos.	sed oꝑibus uirtutis ꝑficiendo s.
deuirtuteinuirtutemnõiacendocũuoluptuosis	de uirtute in uirtutem nõ iacendo cũ uoluptuosis
ꝑcarnalemcõcupĩamnõsedendocũ	ꝑ carnalem cõcupĩam nõ sedendo cũ
insidiosisꝑ	insidiosis ꝑ
intentionismalitiamnõstãdo	intentionis malitiam nõ stãdo
cũaccidiosisperignauiametpigͥtiamnõequitandocũ	cũ accidiosis per ignauiam et pigͥtiam nõ equitando cũ
põposisetambitiosisꝑelacõm	põposis et ambitiosis ꝑ elacõm
etsuꝑbiam	et suꝑbiam
sedambulãdocũlaboriosisetfestinantibusadpr̃iamde	sed ambulãdo cũ laboriosis et festinantibus ad pr̃iam de
istoꝑfc̃ũambul̃onisdr̃dMicheeVIiudicabotͥ	isto ꝑfc̃ũ ambul̃onis dr̃d Michee VI iudicabo tͥ
ohomogeliiSecunduMatheum	o homo gelii Secundu Matheum
ixINillo	ix IN illo
tp̃reAngl̃sdñiapparuitin	tp̃re Angl̃s dñi apparuit in
sõnisiosephdicẽs	sõnis ioseph dicẽs
Surgeaccipe	Surge  accipe
puerũet	puerũ et
matrẽeiusfugeinegiptũestoibi	matrẽ eius  fuge in egiptũ  esto ibi
usqdũdicamtibiEt	usq dũ dicam tibi Et
rel̃homelialectiõiseiusdeminxpma	rel̃ homelia lectiõis eiusdem in xp ma
mariũfidmẽe	mari ũ fid mẽ e
ꝑproredd	ꝑ pro redd
ramꝑegͥnusꝑficiopericl̃mperiuriũperseũanͣpeticiopetr᷒apl̃s	ram ꝑegͥnus ꝑficio pericl̃m periuriũ perseũanͣ peticio petr᷒ apl̃s
petr᷒martirpietaspigriciapiscatorpolluciopotencia	petr᷒ martir pietas pigricia piscator pollucio potencia
potuspreceptũpredestinacõpredicaciopredicatorpredoprelatusprelaciopositus	potus preceptũ predestinacõ predicacio predicator predo prelatus prelacio positus
scienciasermoserpenss̃uiciũ	sciencia sermo serpens s̃uiciũ
seũitassignũsilenciũsiluest̃simia	seũitas signũ silenciũ siluest̃ simia
symonmag᷒symoniudassymoniasĩplicitassimulaciosingl̃aritassitis	symon mag᷒ symon  iudas symonia sĩplicitas simulacio singl̃aritas sitis
sobrietassompn᷒sortilegiũspectacl̃msolitudosoluciosponsalia	sobrietas sompn᷒ sortilegiũ spectacl̃m solitudo solucio sponsalia
statusFinishuicuenitecce	status Finis huic uenit  ecce
nũcuenithi᷒alphabetifinisilligr̃asqui÷alpha	nũc uenit hi᷒ alphabeti finis illi gr̃as qui÷ alpha
opͥncipiũ	 o pͥncipiũ
finisꝘqͥhũclibꝝlecturisuntorare	 finis Ꝙ qͥ hũc libꝝ lecturi sunt orare
deuotedignent᷑uthoꝝꝯpilatorc᷒nom̃	deuote dignent᷑ ut hoꝝ ꝯpilator c᷒ nom̃
ĩꝓlogoꝯtinet᷑eoꝝoracõibadiutusfinẽlegatũꝯsequim̃eat᷑	ĩ ꝓlogo ꝯtinet᷑ eoꝝ oracõib adiutus finẽ legatũ ꝯsequi m̃eat᷑
Ꝙipepr̃aredignetursc̃atrinitasun᷒de᷒sñfine	Ꝙ ipe pr̃are dignetur sc̃a trinitas un᷒ de᷒ sñ fine
benedc̃usinscl̃ascl̃oꝝamenAnno	benedc̃us in scl̃a scl̃oꝝ amen Anno
dñimͦcccmoviiiFRatrẽGuill̃m	dñi mͦ cccmo viii FRatrẽ Guill̃m
petridegodinobaioneñord̃fr̃mdicatoꝝ	petri de godino baioneñ ord̃ fr̃m dicatoꝝ
magr̃mĩtheologiaꝑisĩassũpsitin	magr̃m ĩ theologia ꝑisĩ assũpsit in
presbiteriumcardinalẽtitulisc̃e	presbiterium cardinalẽ tituli sc̃e
cecilieidemdñsclemens	cecilie idem dñs clemens
ppͣv᷒sabb̃o	ppͣ v᷒ sabb̃o
inieiuniisiiiiortp̃oꝝinaduẽtuxͦkls̃ianuariiAnno	in ieiuniis iiiior tp̃oꝝ in aduẽtu xͦ kls̃ ianuarii Anno
dñimͦcccͦxiiͦpõtificatsui	dñi mͦ cccͦ xiiͦ põtificat sui
annoviiiͦEratãttc̃l̃ctor	anno viiiͦ Erat ãt tc̃ l̃ctor
sacripalaciiuͥlegeratiãviannisfueratqpͥor	sacri palacii uͥ legerat iã vi annis fueratq pͥor
ꝓuĩcial̃ĩꝓuinciaꝓuĩcieord̃dic̃primoetin	ꝓuĩcial̃ ĩ ꝓuincia ꝓuĩcie ord̃ dic̃ primo et in
ꝓuinciatholosanahũcp᷒modũfec̃ep̃mcardinalẽsabinẽcẽdñsioh̃es	ꝓuincia tholosana hũc p᷒modũ fec̃ ep̃m cardinalẽ sabinẽcẽ dñs ioh̃es
papahicfec̃construitotã	papa hic fec̃ construi totã
eccamt̃capusfr̃md̃tholosesuissũptib	eccam t̃ capus fr̃m d̃ tholose suis sũptib
etexpẽcisRatrẽmatheũdeurssinis	et expẽcis Ratrẽ matheũ de urssinis
dec̃itateromanamagr̃mĩtheulogia	de c̃itate romana magr̃m ĩ theulogia
ꝑisĩde	ꝑisĩ de
cuiospicioañ	cui ospicio añ
longefuerãt	longe fuerãt
assũptiaqͥdam	assũpti a qͥdam
papeeteciãinperatoresnͨnõ	pape et eciã inperatores nͨ nõ
etplurescardinalesassũpsitinpresbiteꝝcardinalem	et plures cardinales assũpsit in presbiteꝝ cardinalem
tͥtͥsc̃oꝝioh̃isetpauli	tͥtͥ sc̃oꝝ ioh̃is et pauli
dñsioh̃espapainieiuniisiiiior	dñs ioh̃es papa in ieiuniis iiiior
tẽpoꝝaduẽtus	tẽpoꝝ aduẽtus
xiiiiͦkl̃ianuariiannodñimͦ	xiiiiͦ kl̃ ianuarii anno dñi mͦ
cccͦxxͦ	cccͦ xxͦ
viiͦistefuitinviicapogñaliburdegal̃celebratoanno	viiͦ iste fuit in vii capo gñali burdegal̃ celebrato anno
dñimͦcccͦ	dñi mͦ cccͦ
xxͦiiiiͦerateĩpͥorꝓuĩcial̃romaneꝓuĩcieinquo	xxͦ iiiiͦ erat eĩ pͥor ꝓuĩcial̃ romane ꝓuĩcie in quo
capl̃ofuitgrauit̃	capl̃o fuit grauit̃
infirmFr̃emGeraldũdedomaroBriueñord̃fr̃mdicaꝝ	infirm Fr̃em Geraldũ de domaro Briueñ ord̃ fr̃m dicaꝝ
magr̃mĩtheologiaꝑisĩ	magr̃m ĩ theologia ꝑisĩ
assũpsitĩbr̃mcard̃tͥtͥsc̃esabinedñsclemenspapa	assũpsit ĩ br̃m card̃ tͥtͥ sc̃e sabine dñs clemens papa
vi᷒sasab̃toĩieiuniisiiiiorfest̃exaltacõissc̃e	vi᷒ sa sab̃to ĩ ieiuniis iiiior fest̃ exaltacõis sc̃e
cruciscũuomitucipueinegͥtudinibacutisethoris	crucis cũ uomitu cipue in egͥtudinib acutis et horis
crisisEtqñestcũcõitate	crisis Et qñ est cũ cõitate
ñuoꝝuenientiũad	ñuoꝝ uenientiũ ad
eaac̃ebronuchacũ	ea a c̃ebro  nucha cũ
ꝯũitatequãc̃ebꝝh̃t	ꝯũitate quã c̃ebꝝ h̃t
cũeisFennouadedispositionibusgutturis	cũ eis Fen noua de dispositionibus gutturis
cuiusestunustractatuscõtinenstresdecimcapitulaCapitulũprimũest	cuius est unus tractatus cõtinens tresdecim capitula Capitulũ primũ est
deanathomiagutturiᷤPErgutturintelligim᷒spatiũĩ	de anathomia gutturiᷤ PEr guttur intelligim᷒ spatiũ ĩ
quosunt	quo sunt
meat᷒hanelit᷒etcibiEtdeeosunt	meat᷒ hanelit᷒ et cibi Et de eo sunt
additõqueestunaEtamigdaleEtgalsamathiEttu	additõ que est una Et amigdale Et galsamathi Et tu
quid̃iamsciuistianathomiãmeryetanͣm	quid̃ iam sciuisti anathomiã mery et anͣm
epyglotisUnauõestsub̃iacarnosapendenssuprasupremãꝑtẽ	epyglotis Una uõ est sub̃ia carnosa pendens supra supremã ꝑtẽ
epiglotissicutuelam̃Eteiusquid̃iuuam̃tũest	epiglotis sicut uelam̃ Et eius quid̃ iuuam̃tũ est
gͣdatõaerisutnon	gͣdatõ aeris ut non
ꝑcutiatsuofrigorepl̃monemsubito	ꝑcutiat suo frigore pl̃monem subito
Etꝓh̃eatpulũemfumũEtut	Et ꝓh̃eat pulũem  fumũ Et ut
sitꝑcutiensuocemqua	sit ꝑcutiens uocem qua
confortet᷑etmagnificeturqiͣipa	confortet᷑ et magnificetur qiͣ ipa
sitportacustodienssuꝑexitũuocis	sit porta custodiens suꝑ exitũ uocis
qͣntitatesuaEtp̃phocuocetei᷒	qͣntitate sua Et p̃p hoc uocet ei᷒
incisiouocietꝑatpl̃monẽad	incisio uoci et ꝑat pl̃monẽ ad
recipiendũfrig᷒etnocum̃tũ	recipiendũ frig᷒ et nocum̃tũ
ei᷒ettussim	ei᷒ et tussim
abeoDueuõamigdalesuntduecarnesnatein	ab eo Due uõ amigdale sunt due carnes nate in
radicelinguetendentesadsuꝑioraacdubiumnon	radice lingue tendentes ad suꝑiora ac dubium non
estIdemqͣrediedominicosac̃dotũordinacões	est Idem qͣre die dominico sac̃dotũ ordinacões
celebrant᷑QUodindiedñicoordinacionessac̃dotũep̃oꝝ	celebrant᷑ QUod in die dñico ordinaciones sac̃dotũ ep̃oꝝ
celebrãturnõtm̃	celebrãtur nõ tm̃
exconsuetudĩeseteciãexapl̃icanouim᷒uẽire	ex consuetudĩe set eciã ex apl̃ica nouim᷒ uẽire
doctrinascripturaact᷒xiiiũsuspͥnmãifestanteq̃dcũ	doctrina scriptura act᷒ xiii ũsus pͥn mãifestante q̃d cũ
apl̃ipaulũbarnabamexsp̃ssc̃iceptoad	apl̃i paulũ  barnabam ex sp̃s sc̃i cepto ad
euͣngl̃iumgentibmitt̃entdicandũieiunantesorantesimposũunteis	euͣngl̃ium gentib mitt̃ent dicandũ ieiunantes  orantes imposũunt eis
manusutintl̃ligamus	manus ut intl̃ligamus
qͣntadanciũaccipienciũdeuocionecurand̃	qͣnta  danciũ  accipienciũ deuocione curand̃
sitnetante	sit ne tante
bñdc̃onissacr̃mneggligent̃uideat᷑impletũiõpie	bñdc̃onis sacr̃m neggligent̃ uideat᷑ impletũ  iõ pie 
laudabl̃rapl̃icismorẽgesẜisinstitutissi	laudabl̃r apl̃icis morẽ gesẜis institutis si
hͣncordinãdorũsac̃doctũforͣmꝑ	hͣnc ordinãdorũ sac̃do c tũ forͣm ꝑ
eccl̃iasquibusdñsesseteuoluit	eccl̃ias quibus dñs esse te uoluit
̃ipeẜuaũisicii	̃ ipe ẜuaũis icii
acmedianeebdomadesabb̃iieiuniocircauesꝑasip̃asordĩacões	ac mediane ebdomade  sabb̃i ieiunio circa uesꝑas ip̃as ordĩacões
noũitiscelebͣndasNeccuiuslibutilitatis	noũitis celebͣndas Nec cuiuslib utilitatis
c̃apbr̃mseu	c̃a pbr̃m seu
dyaconẽhiisferreaudeantquiañiposfũintordinatidist̃	dyaconẽ hiis ferre audeant qui añ ipos fũint ordinati dist̃
lxxviQUibtp̃ribieiunia	lxxvi QUib tp̃rib ieiunia
celebͣndasuntcalixtusppͣdet̃minatscͥbensbñdc̃oep̃oquibtp̃rib	celebͣnda sunt calixtus ppͣ det̃minat scͥbens bñdc̃o ep̃o quib tp̃rib
ieiuniacelebrenturIEiuniũq̃dteriap̃	ieiunia celebrentur IEiuniũ q̃d ter i ap̃
nosinannocelebraredidicistisꝯuẽienciusnob̃	nos in anno celebrare didicistis ꝯuẽiencius nob̃
nũcꝑqͣtuor	nũc ꝑ qͣtuor
temꝑaf̃i	temꝑa f̃i
dec̃nim᷒utsic̃annusꝑqͣtuoruoluit̃tpr̃	dec̃nim᷒ ut sic̃ annus ꝑ qͣtuor uoluit̃ tpr̃
sicnosqͣternũsollempneagam᷒ieiuniũꝑqͣtuor	sic  nos qͣternũ sollempne agam᷒ ieiuniũ ꝑ qͣtuor
ãnitpr̃Item	ãni tpr̃ Item
excon.magociẽside	ex con. magociẽsi de
eodẽConstituim᷒utqͣtuortpr̃anniabõibhom̃ibꝯ	eodẽ Constituim᷒ ut qͣtuor tpr̃ anni ab õib hom̃ib ꝯ
Inparidelictouelcausapociorestconditõpossidentis	In pari delicto uel causa pocior est conditõ possidentis
IDemCUmconstat	IDem CUm con stat
pereumquomin᷒conditõimpleaturh̃ridꝑindeac	per eum quomin᷒ conditõ impleatur h̃ri d ꝑinde ac
siimpletafuissIDem	si impleta fuiss IDem
Quodalicui	Quod alicui
suononlicetnoĩenec	suo non licet noĩe nec
alienolicebitIDem	alieno licebit IDem
Potestquisperalium	Potest quis per alium
quodpotestfac̃eꝑse	quod potest fac̃e ꝑ se
ip̃mIDemInmalispromissisfidemnõexpedit	ip̃m IDem In malis promissis fidem nõ expedit
obẜuariIDemIn	obẜuari IDem In
alt̃natiuisdebitorisẽelectõ	alt̃natiuis debitoris ẽ electõ
etsufficitalt̃madĩpleriIDemQuiadagendũadmittit᷑	et sufficit alt̃m adĩpleri IDem Qui ad agendũ admittit᷑
ẽadexcipiẽdũml̃tomagis	ẽ ad excipiẽdũ ml̃to magis
admittẽd᷒IDemQuifacitꝑaliumestꝑinde	admittẽd᷒ IDem Qui facit ꝑ alium est ꝑinde
acsifaciatꝑ	ac si faciat ꝑ
seip̃mIDemFactũ	se ip̃m IDem Factũ
legitime.i.	legitime .i.
ꝯpleteretractarinõdebet	ꝯplete retractari nõ debet
licetcasusposteaeueniat	licet casus postea eueniat
exactumit̃mexigatur	exactum it̃m exigatur
IDemCUmquid	IDem CUm quid
unauianõprohibeturalicuiadid	una uia nõ prohibetur alicui ad id
alianõdadmittiIDem	alia nõ d admitti IDem
Contractusexconuẽtõne	Contractus ex conuẽtõne
legemacciꝑedinoscũt᷑IDeDanpnũ	legem acciꝑe dinoscũt᷑ IDe Danpnũ
quodquissuaculpasentitsibidnõ	quod quis sua culpa sentit sibi d nõ
aliisĩputariIDeInfamibportenõpateãtdignitumIDemCertum	aliis ĩputari IDe Infamib porte nõ pateãt dignitum IDem Certum
estꝙisꝯmͭtit	est ꝙ is ꝯmͭtit
inlegemquilegisuerbacõplectenscontra	in legem qui legis uerba cõplectens contra
legisnittituruoluntatemExplicitlibersextusdecretalium	legis nittitur uoluntatem Explicit liber sextus decretalium
conpletusperdieluneĩuigilia	conpletus per die lune ĩ uigilia
b̃timartinihyemalisdeograciasannodñimͦcccͦ	b̃ti martini hyemalis deo gracias anno dñi mͦ cccͦ
xvͦInstudiodictihicẽuerꝓphetaqui	xvͦ In studio dicti hic ẽ uer ꝓpheta qui
uẽturĩmũdũEstaut̃	uẽtur ĩ mũdũ Est aut̃
ualdeꝯuẽensꝙaduẽtdñi	ualde ꝯuẽens ꝙ aduẽt dñi
ĩcedẽtedñicainchoet᷑ut	ĩ cedẽte dñica inchoet᷑ ut
ecciaadaduẽtũxp̃ieic̃tifica	eccia ad aduẽtũ xp̃i ei c̃tifica
ꝓmissiõeꝯsolata	ꝓmissiõe ꝯsolata
respirãsdeuoci⁊uericlamatAtteleuaui	respirãs deuoci ⁊ ueri clamat At te leuaui
aĩameãAdcuiꝯtẽplacõeaĩenr̃esicleuẽt᷑ut	aĩa meã Ad cui ꝯtẽplacõe aĩe nr̃e sic leuẽt᷑ ut
ĩaduẽtudistrictiiudic̃beat̃sociẽt᷑	ĩ aduẽtu districti iudic̃ beat̃ sociẽt᷑
ꝙgraciosenob̃ꝯcedat	ꝙ graciose nob̃ ꝯcedat
quisñfĩeuiuit	qui sñ fĩe uiuit
⁊regnatamenaͦdñimͦccccͦisto	⁊ regnat amen aͦ dñi mͦ ccccͦ isto
ãnofinit⁊ꝯpletẽistelib̃laus	ãno finit ⁊ ꝯplet ẽ iste lib̃ laus
tibisitxp̃e	tibi sit xp̃e
quoniamliberexplicitistepermanusiohãnisleufferswillen	quoniam liber explicit iste per manus iohãnis leufferswillen
scriptorẽnostiamconsideransdicitquidet̃ra	scriptorẽ nos tiam considerans dicit qui de t̃ra
estdeterraloquiturqͥdecelo	est de terra loquitur qͥ de celo
uenitsuperomnesẽTuautemdominer̃	uenit super omnes ẽ Tu autem domine r̃
DescẽdetdominussicutpluuiainuellusOrietur	Descẽdet dominus sicut pluuia in uellus Orietur
indiebeius	in dieb eius
i᷒ticiaethabundanciapacisũEtadorabunt	i᷒ticiaet habundancia pacis ũ Et adorabunt
eumomnes	eum omnes
regesom̃s	reges om̃s
gentesseruient	gentes seruient
eiOrieturl̃viiiͣCurincarc̃epositusmittens	ei Orietur l̃ viiiͣ Cur in carc̃e positus mittens
discipulosrequirittuesquiuenturuseᷤan	discipulos requirit tu es qui uenturus eᷤ an
aliumexpectamustãꝙͣsiignoretquemõnderatetanipe	alium expectamus tãꝙͣ si ignoret quem õnderat et an ipe
sitnesciat	sit nesciat
quemip̃meẽꝓph̃andobaptisandoostendendoclamaueratshec	quem ip̃m eẽ ꝓph̃ando baptisando ostendendo clamauerat s hec
ciciusquestio	cicius questio
soluitursigestereitempusetordo	soluitur si geste rei tempus et ordo
penseturTu	pensetur Tu
autẽr̃monteᷤremanip̃eueniatrequiritnonquia	autẽ r̃ monteᷤ rem an ip̃e ueniat requirit non quia
ip̃meẽmundi	ip̃m eẽ mundi
redemptorẽdubitatsedqueritut	redemptorẽ dubitat sed querit ut
sciatsiisquiperseinmundumueneratper	sciat si is qui per se in mundum uenerat per
seeciamadinferniclaustradescendatQuemenimprecurrens	se eciam ad inferni claustra descendat Quem enim precurrens
mundonunciauerathuncmoriendoetadinferoscurrebat	mundo nunciauerat hunc moriendo et ad inferos currebat
Tuaut̃r̃Ecceradix	Tu aut̃ r̃ Ecce radix
iesseascendet	iesse ascendet
insalutempopulorumip̃mgentesdeprecabuntur	in salutem populorum ip̃m gentes deprecabuntur
EteritnomẽeiusgloriosumũDabitillidominusdeus	Et erit nomẽ eius gloriosum ũ Dabit illi dominus deus
sedemdauidpr̃iseiusetregnabitdomoiacobĩet̃num	sedem dauid pr̃is eius et regnabit domo iacob ĩ et̃num
EteritGloriapr̃ir̃Ecceradixũañl̃	Et erit Gloria pr̃i r̃ Ecce radix ũ añ l̃
OstendeInl̃ã	Ostende In l̃ ã
Uenietdominusetnõtardabit	Ueniet dominus et nõ tardabit
etilluminabitdumscelestis	et illuminabit dum scelestis
primoqchristiquadringentesimo	primoq christi quadringentesimo
natidieq	nati dieq
ueresecundauicesimaiani	uere secunda uicesima iani
AntoniusdictussanciicognominefultusIspanusnatuastigie	Antonius dictus sancii cognomine fultus Ispanus natu astigie
fõteperunctushunclibrumscripsitiussusanctissimipatrisQuicunctis	fõte perunctus hunc librum scripsit iussu sanctissimi patris Qui cunctis
panditcelestiaRegnabeatisProhuius	pandit celestia Regna beatis Pro huius
statuoretplebs	statu oret plebs
christifidelisQuiuteam	christi fidelis Qui ut eam
saluetpressuras	saluet pressuras
subitinterrisymoutplebischristusabstergatpeccataPius	subit in terris ymo ut plebis christus abstergat peccata Pius
pastororetquiestdignus	pastor oret qui est dignus
uitabeataQuifec̃hosũsusdeuotusnim᷒ꝓhẽialit̃dicta	uita beata Qui fec̃ hos ũsus deuotus nim᷒ ꝓhẽialit̃ dicta
sinttantaDIcamusautemresumẽtesquoniamomniscogͥtioet	sint tanta DIcamus autem resumẽtes quoniam omnis cogͥtio et
electiobonũaliq̃d	electio bonũ aliq̃d
desideratquidesthoc	desiderat quid est hoc
q̃ddicimusCiuilemdesiderareetquidestomnium	q̃d dicimus Ciuilem desiderare et quid est omnium
operatorumsũmũ	operatorum sũmũ
bonũNominequidẽig᷑ferea	bonũ Nomine quidẽ ig᷑ fere a
pl̃imiscõfessũestfelicitatemeniet	pl̃imis cõfessũ est felicitatem eni et
multietexcellentesdicũt	multi et excellentes dicũt
beneuiũeaut̃etbñoꝑariidem	bene uiũe aut̃ et bñ oꝑari idem
existimãteiq̃destessefelicem	existimãt ei q̃d est esse felicem
defelicitateaut̃	de felicitate aut̃
29Deqͣlitateuisionis	29 De qͣlitate uisionis
quaĩfuturoscl̃osc̃ideumuidebunt30Deeterna	qua ĩ futuro scl̃o sc̃i deum uidebunt 30 De eterna
felicitateciuitatisdei	felicitate ciuitatis dei
sabb̃oqꝑpetuo31De	sabb̃oq ꝑpetuo 31 De
oꝑisꝯsũmatõnecum	oꝑis ꝯsũmatõne cum
gr̃aꝝactioneExplicit	gr̃aꝝ actione Explicit
tabulalibrideciuitatedeibt̃iAugustiniquescripta	tabula libri de ciuitate dei bt̃i Augustini que scripta
fuitAnno	fuit Anno
dñiMͦCCCCͦ	dñi Mͦ CCCCͦ
pͥMarciidie26ͣuigente	pͥ Marcii die 26ͣ uigente
scismateetppͣbenedc̃o13ͦinpalatioAuinioneñsub	scismate et ppͣ benedc̃o 13ͦ in palatio Auinioneñ sub
clausuraiamperbienniũ	clausura iam per bienniũ
detẽtoꝓth	detẽto ꝓ th
dolorCeescripstGuylleminCronierpourdesprelats	dolor Ce escripst Guyllemin Cronier pour des prelats
lepermierEt	le per mier Et
sebiensonnomweulz	se bien son nom weulz
scavoirPren	scavoir Pren
leRouge	le Rouge
etlaysselenoirOmortaliummiserandaconditioquesemper	et laysse le noir O mortalium miseranda conditio que semper
inarduumlabentiuminanitertendis	in arduum labentium inaniter tendis
utlapsugrauioreruasQueris	ut lapsu grauiore ruas Queris
hicfulgentiadunores	hic fulgentia du nores
eximioslongosqpotentatusubinullapotentiapotense	eximios longosq potentatus ubi nulla potentia potens e
uerushonosnullumconsistensdyademasomnia	uerus honos nullum consistens dyadema s omnia
casushumanetquicquidinaltumfortunatulitruitura	casus human et quicquid in altum fortuna tulit ruitura
leuatRespiceregesetregnaquonperiainterlaudantiumora	leuat Respice reges et regna quon peria inter laudantium ora
atqmirantiumrepentecorruisseutdeturintesectanturnonad	atq mirantium repente corruisse ut detur inte sectantur non ad
idquotendunt	id quo tendunt
euolantsadymadedecorosesepissimeiuxtaeuangelicumdictum	euolant s ad yma dedecorose sepissime iuxta euangelicum dictum
Quiseexaltathumiliabiturlucexiiii	Qui se exaltat humiliabitur luce xiiii
Quisꝗsmesuirtutumesseconcupiscit	Quisꝗs mes uirtutum esse concupiscit
stabilifixoqgradu	stabili fixoq gradu
manereinterradiantchorosfelicitercollocarinormamuirtutumuthic	manere inter radiant choros feliciter collocari normam uirtutum ut hic
duxnosterfecitdiscat	dux noster fecit discat
uniutinquitTulliusinphilippicis	uni ut inquit Tullius in philippicis
Omniaaliaincertasunt	Omnia alia incerta sunt
caducaetmobiliaestunaaltissimisinfixaradicibusquenulla	caduca et mobilia est una altissimis infixa radicibus que nulla
uilabefactaripotestnecdimoQuicũqgͦuirtutis	ui labefactari potest nec dimo Quicũq gͦ uirtutis
uestigiasequeturuthicdux	uestigia sequetur ut hic dux
inclitusmeritosibi	inclitus merito sibi
diceturquprincipiodiximusposuiteumducemuirtutumuniuersarum	dicetur qu principio diximus posuit eum ducem uirtutum uniuersarum
q̃dfuitthcuius	q̃d fuit th cuius
declarationepotesttalisratioformariQuisꝗscompositementis	declaratione potest talis ratio formari Quisꝗs composite mentis
inpresentiseterniducis	in presentis eterni ducis
signasequituranimoseillum	signa sequitur animose illum
deusponitducemuiruersarumsdux	deus ponit ducem uir uersarum s dux
nosterinclitusmentecelo	noster inclitus mente celo
dedituseterniducissignamucutusergo	deditus eterni ducis signa mu cutus ergo
illumdeusposuitducemuirtutumuniuersarum	illum deus posuit ducem uirtutum uniuersarum
Primaparsanpatetperilludapostolisecundethesalõicensespͥmo	Prima pars an patet per illud apostoli secunde thesalõicenses pͥmo
Nonenimdeditnobisdeus	Non enim dedit nobis deus
timorisseduirtutisEteccͥxluirtutesexaltant	timoris sed uirtutis Et eccͥ xl uirtutes exaltant
cor.Ethec	cor . Et hec
paucadeprimap	pauca de prima p
detissecũda	detis secũda
parsantecedẽtisqueestsduxnosterĩclitus⁊c̃	pars antecedẽtis que est s dux noster ĩclitus ⁊ c̃
patetperilld̃ioIN	patet per illd̃ io IN
pͥncipioẽatũbũetũbũ	pͥncipio ẽat ũbũ et ũbũ
ẽataputd̃mdeusẽatũbũhoc	ẽat aput d̃m  deus ẽat ũbũ hoc
ẽatinpͥncipioaputd̃m	ẽat in pͥncipio aput d̃m
Om̃iaꝑip̃mfc̃as̃t	Om̃ia ꝑ ip̃m fc̃a s̃t 
sineipofc̃m÷nichilQͦtfc̃m÷	sine ipo fc̃m ÷ nichil Qͦt fc̃m ÷
inipouitaẽat	in ipo uita ẽat
EtuitaẽatluxhoĩmEt	Et uita ẽat lux hoĩm Et
luxintenebͥslucettenebreeã	lux in tenebͥs lucet  tenebre eã
nonꝯhenderũtfuithomomissusadeocui	non ꝯhenderũt fuit homo missus a deo cui
nomẽẽatiohãnesHicuenit	nomẽ ẽat iohãnes Hic uenit
ĩtestimõiͫuttestimõͫꝑhib̃et	ĩ testimõiͫ ut testimõͫ ꝑhib̃et
delumĩeutom̃es	de lumĩe ut om̃es
cred̃entꝑillũNonẽatilleluxsut	cred̃ent ꝑ illũ Non ẽat ille lux s ut
testimomꝑhib̃etdelumĩeẼatlux	testimom ꝑhib̃et de lumĩe Ẽat lux
ũaq̃illuĩat	ũa q̃ illuĩat
